,,,Subject,Relationship,Object,Original Sentence
liability,liability,criminal_triples/case_15.txt,Section,creates,species of tort liability,"Section 1983 creates a ""species of tort liability,"" Imbler v. Pachtman, 424 U. S. 409, 417 (1976), for ""the deprivation of any rights, privileges, or immunities secured by the Constitution,"" §1983"
limitations,limitations,criminal_triples/case_15.txt,his unlawful arrest claim,applicable two-year statute of,limitations,"The District Court dismissed Manuel's suit, holding, first, that the applicable two-year statute of limitations barred his unlawful arrest claim, and, second, that under binding Circuit precedent, pretrial detention following the start of legal process (here, the judge's probable-cause determination) could not give rise to a Fourth Amendment claim"
limited,limited,criminal_triples/case_16.txt,helpful,can find,confirmation of limited scope of Omnibus Clause,Those who find legislative history helpful can find confirmation of the more limited scope of the Omnibus Clause in the House and Senate Reports written when Congress first enacted the Omnibus Clause
mean,mean,criminal_triples/case_15.txt,legal process,mean,called,"I agree with the Court's holding up to a point: The protection provided by the Fourth Amendment continues to apply after ""the start of legal process,"" ante, at 1, if legal process is understood to mean the issuance of an arrest warrant or what is called a ""first appearance"" under Illinois law and an ""initial appearance"" under federal law"
obvious,obvious,criminal_triples/case_17.txt,McWilliams ' obvious deficit,be related to,his frustration tolerance,"The report added that McWilliams' ""obvious neuropsychological deficit"" could be related to his ""low frustration tolerance and impulsivity,"" and suggested a diagnosis of ""organic personality syndrome."
off,off,criminal_triples/case_11.txt,he,been better off in,end,"It instead has made clear that the prejudice inquiry is the same as in Strickland, which requires a defendant to establish that he would have been better off in the end had his counsel not erred"
ordinary,ordinary,criminal_triples/case_11.txt,I,Applying,ordinary Strickland standard,"Applying the ordinary Strickland standard in this case, I do not think a defendant in petitioner's circumstances could show a reasonable probability that the result of his criminal proceeding would have been different had he not pleaded guilty"
out,out,criminal_triples/case_11.txt,Lee,set out,graduating,"After graduating from a business high school in Manhattan, Lee set out on his own to Memphis, Tennessee, where he started working at a restaurant"
overwhelming,overwhelming,criminal_triples/case_11.txt,evidence,is,overwhelming,"In circumstances where a defendant has admitted his guilt, the evidence against him is overwhelming, and he has no bona fide defense strategy, I see no justification for imposing these costs"
politics,politics,criminal_triples/case_20.txt,users,can debate,politics,"On Facebook, for example, users can debate religion and politics with their friends and neighbors or share vacation photos"
poor,poor,criminal_triples/case_18.txt,poor effort,experiencing,depression,"The CCA found, however, that Moore's score was unlikely to be in the lower end of the error-generated range because he was likely exerting poor effort and experiencing depression at the time the test was administered--both factors that Moore's experts agreed could artificially deflate IQ scores"
psychotic,psychotic,criminal_triples/case_17.txt,McWilliams,had,psychotic thought disorder,"McWilliams also described his history of psychiatric and psychological evaluations, reading from the prearrest report of one psychologist, who concluded that McWilliams had a ""blatantly psychotic thought disorder"" and needed inpatient treatment"
racist,racist,criminal_triples/case_13.txt,Court,must,must disturbed by racist rhetoric,"The Court must be disturbed by the racist rhetoric in that affidavit, and must want to do something about it"
rank,rank,criminal_triples/case_14.txt,I,would rank,clerk 's transmission of amended judgment to Court,"29, I would rank the clerk's transmission of the amended judgment to the Court of Appeals as an adequate substitute for a second notice of appeal."
redundancy,redundancy,criminal_triples/case_16.txt,redundancy,better abounds in,criminal law,"For better or worse, redundancy abounds in both the criminal law and the Tax Code"
redundant,redundant,criminal_triples/case_16.txt,Code 's misdemeanor provisions,making,them redundant,"Interpreting the Omnibus Clause to apply to all Code administration could transform the Code's numerous misdemeanor provisions into felonies, making them redundant or perhaps the subject matter of plea bargaining"
remains,remains,criminal_triples/case_19.txt,money,remains,their property under state law,Petitioners contend that the money remains their property under state law
repeated,repeated,criminal_triples/case_15.txt,Court,repeated,idea,The Court repeated the same idea in a follow-on decision to Gerstein
scrutiny,scrutiny,criminal_triples/case_20.txt,law,survive,scrutiny,"In order to survive intermediate scrutiny, a law must be ""narrowly tailored to serve a significant governmental interest."
sights,sights,criminal_triples/case_19.txt,dissent,from,sights,"Shut from the dissent's sights, however, the convictions pursuant to which the State took petitioners' money were invalid, hence the State had no legal right to retain their money"
slow,slow,criminal_triples/case_18.txt,teachers,called for,his slow reading,"Moore's father, teachers, and peers called him ""stupid"" for his slow reading and speech"
speech,speech,criminal_triples/case_12.txt,His speech,is,slurred,His speech is slurred
standard,standard,criminal_triples/case_11.txt,counsel 's representation,fell below,objective standard of reasonableness,"To demonstrate that counsel was constitutionally ineffective, a defendant must show that counsel's representation ""fell below an objective standard of reasonableness"" and that he was prejudiced as a result"
stereotypes,stereotypes,criminal_triples/case_18.txt,medical profession,counter,stereotypes,"The medical profession has endeavored to counter lay stereotypes, and the Briseno factors are an outlier, in comparison both to other States' handling of intellectual-disability pleas and to Texas' own practices in contexts other than the death penalty"
victim,victim,criminal_triples/case_13.txt,case,has,victim factfinding by state court,"This case also has a victim, a second affidavit, numerous depositions, factfinding by a state court, and several decisions from federal judges that provide multiple grounds for denying a COA"
victims,victims,criminal_triples/case_14.txt,petitioner,pay restitution to,one his victims,"Months later, the District Court entered an amended judgment, ordering petitioner to pay restitution to one of his victims"
void,void,criminal_triples/case_17.txt,void,is in,record,"McWilliams's failure to call him as a witness there creates a ""void in the record"" that prevents McWilliams from carrying his burden of showing ""how additional time with Dr. Goff (and his report) would have benefited the defense."
