source_sentence	target_sentence	annotation
Dr. John Goff, a psychologist hired by Madison's counsel, reported that Madison's strokes have rendered him unable to remember "numerous events that have occurred over the past thirty years or more."	Asked at the hearing whether Madison understands that Alabama is seeking retribution against him for his criminal act, Dr. Kirkland answered, "Certainly."	Shift-in-View
Dr. John Goff, a psychologist hired by Madison's counsel, reported that Madison's strokes have rendered him unable to remember "numerous events that have occurred over the past thirty years or more."	Asked at the hearing whether Madison understands that Alabama is seeking retribution against him for his criminal act, Dr. Kirkland answered, "Certainly."	Shift-in-View
The District Court also noted that Tharpe could not overcome that procedural default because he had failed to produce any clear and convincing evidence contradicting the state court's determination that Gattie's presence on the jury did not prejudice him.	The District Court denied the motion on the ground that, among other things, Tharpe's claim was procedurally defaulted in state court.	Shift-in-View
But because Freeman and her family were "good black folks," the affidavit continued, Gattie thought Tharpe "should get the electric chair for what he did."	Tharpe "wasn't in the 'good' black folks category," according to the affidavit, and if Freeman had been "the type Tharpe is, then picking between life and death for Tharpe wouldn't have mattered so much."	Shift-in-View
The Court is not willing to say that Tharpe can satisfy this standard.	To obtain a COA, Tharpe must show "that jurists of reason would find it debatable whether the petition states a valid claim of the denial of a constitutional right" and "that jurists of reason would find it debatable whether the district court was correct in its procedural ruling."	Shift-in-View
It does not read the decision as reaching cause, and it declines to consider that or any other alternative reason to affirm the Eleventh Circuit.	First, it "read[s]" the decision below as resting "solely" on Tharpe's "fail[ure] to show prejudice" to overcome his procedural default.	Shift-in-View
But the Court does not explain why it nonetheless limits itself to the question of prejudice.	The Court acknowledges that our review "is certainly not limited to grounds expressly addressed by the court whose decision is under review."	Shift-in-View
The only cause that Tharpe raised in state court was ineffective assistance of counsel.	Second, no reasonable jurist could argue that Tharpe demonstrated cause for his procedural default.	Shift-in-View
In his reply brief in support of certiorari in this Court, Tharpe argues that he did not have to raise his claim of juror bias on direct appeal.	Nor could a reasonable jurist debate the cause argument that Tharpe raises here.	Shift-in-View
Even if Tharpe could show that Pena-Rodriguez is retroactive under Teague and could overcome his procedural default, no reasonable jurist could argue that he has stated a valid juror-bias claim on the merits.	He has already received the benefit of the rule announced in Pena-Rodriguez.	Shift-in-View
If he fails to do so and the Government objects, he may not challenge the restitution order on appeal.	Held: A defendant wishing to appeal an order imposing restitution in a deferred restitution case must file a notice of appeal from that order.	Shift-in-View
Instead, the Court recognized, "strong arguments" supported the proposition that both the initial judgment and the restitution order were each immediately appealable final judgments.	The Dolan Court did not decide the question presented here, but the Court was not persuaded by the argument that "a sentencing judgment is not 'final' until it contains a definitive determination of the amount of restitution."	Shift-in-View
We hold that it is not, at least where, as here, the Government objects to the defendant's failure to file a notice of appeal following the amended judgment.	We must decide whether a single notice of appeal, filed between the initial judgment and the amended judgment, is sufficient to invoke appellate review of the later-determined restitution amount.	Shift-in-View
Notwithstanding his failure to file a second notice of appeal, petitioner challenged the restitution amount before the Eleventh Circuit, arguing in his brief that the Government had not shown he was the proximate cause of the victim's injuries and that the restitution amount bore no rational relationship to the damages she claimed.	Petitioner did not file a second notice of appeal from the court's order imposing restitution or from the amended judgment.	Shift-in-View
The Government countered that petitioner had forfeited his right to challenge the restitution amount by failing to file a second notice of appeal.	Notwithstanding his failure to file a second notice of appeal, petitioner challenged the restitution amount before the Eleventh Circuit, arguing in his brief that the Government had not shown he was the proximate cause of the victim's injuries and that the restitution amount bore no rational relationship to the damages she claimed.	Shift-in-View
Although we did not decide "whether or when a party can, or must, appeal"--the question presented here--we were not persuaded by the argument that "a sentencing judgment is not 'final' until it contains a definitive determination of the amount of restitution."	The petitioner in that case argued that the amended judgment imposing restitution is the only final, appealable judgment in a deferred restitution case.	Shift-in-View
To the contrary, we recognized "strong arguments" supporting the proposition that both the "initial judgment [that] imposed a sentence of imprisonment and supervised release" and the subsequent " 'sentence that impose[d] an order of restitution' " were each immediately appealable final judgments.	Although we did not decide "whether or when a party can, or must, appeal"--the question presented here--we were not persuaded by the argument that "a sentencing judgment is not 'final' until it contains a definitive determination of the amount of restitution."	Shift-in-View
But the court relied on another basis in rejecting Manuel's challenge to his subsequent detention (which stretched from March 18 to May 5, 2011).	The court first held that the applicable two-year statute of limitations barred Manuel's claim for unlawful arrest, because more than two years had elapsed between the date of his arrest (March 18, 2011) and the filing of his complaint (April 22, 2013).	Shift-in-View
