according	 criminal_triples/case_14.txt	 position	 follows according to	 Government 	 This position follows, according to the Government, from many of our cases emphasizing the "jurisdictional significance" of a notice of appeal
accordingly	 criminal_triples/case_14.txt	 judgment	 is	 accordingly affirmed 	 The judgment of the Court of Appeals, accordingly, is affirmed
account	 criminal_triples/case_16.txt	 § 7212	 provides on account of	 performance by agents 	 According to the House Report, §7212 "provides for the punishment of threats or threatening acts against agents of the Internal Revenue Service, or any other officer or employee of the United States, or members of the families of such persons, on account of the performance by such agents or officers or employees of their official duties" and "will also punish the corrupt solicitation of an internal revenue employee.
accountant	 criminal_triples/case_16.txt	 his tax accountant	 is with	 complete 	 In respect to the Omnibus Clause the Government claimed that Marinello had engaged in at least one of eight different specified activities, including "failing to maintain corporate books and records," "failing to provide" his tax accountant "with complete and accurate" tax "information," "destroying . . . business records," "hiding income," and "paying employees . . . with cash.
accrual	 criminal_triples/case_15.txt	 Seventh Circuit	 should determine	 claim 's accrual date 	 On remand, the Seventh Circuit should determine the claim's accrual date, unless it finds that the City has previously waived its timeliness argument
accrue	 criminal_triples/case_15.txt	 claim	 accrue on	 date of appearance 	 I would leave for another case (one where the question is dispositive) whether an unreasonable-seizure claim would accrue on the date of the first appearance if that appearance occurred on some day after the arrest
accrued	 criminal_triples/case_15.txt	 Manuel 's claim	 is untimely	 it accrued on April 22 2011 	 Since the statute of limitations requires the commencement of suit within two years of accrual, Manuel's claim is untimely unless it accrued on or after April 22, 2011
accrues	 criminal_triples/case_15.txt	 such Fourth Amendment claim	 accrues on	 date of initiation 	 The City, however, contends that any such Fourth Amendment claim accrues (and the limitations period starts to run) on the date of the initiation of legal process--here, on March 18, 2011, more than two years before Manuel filed suit
achieves	 criminal_triples/case_17.txt	 Court	 achieves	 unfortunate result 	 But to make matters worse, the Court achieves this unfortunate result by deciding a separate question on which we expressly declined review
acknowledge	 criminal_triples/case_19.txt	 practice	 carried over	 parties acknowledge 	 As both parties acknowledge, this practice carried over to criminal cases
acknowledged	 criminal_triples/case_14.txt	 court	 acknowledged At	 sentencing hearing 	 At the sentencing hearing, the court acknowledged that restitution was mandatory
acknowledges	 criminal_triples/case_19.txt	 Colorado	 acknowledges	 petitioners would need 	 And Colorado acknowledges that the procedural hurdles it could impose before returning the money "would be fairly minimal," id., at 51, because petitioners would need to prove only that their convictions had been reversed and that they had paid a certain sum of money, see ibid
acknowledgment	 criminal_triples/case_14.txt	 District Court	 has	 acknowledgment in initial judgment 	 Even if the District Court's acknowledgment in the initial judgment that restitution was mandatory could qualify as a "sentence" that the District Court "announced" under Rule 4(b)(2), petitioner has never disputed that restitution is mandatory for his offense
acquitted	 criminal_triples/case_19.txt	 she	 was acquitted of	 charges 	 On appeal, Nelson's conviction was reversed for trial error, and on retrial, she was acquitted of all charges
act	 criminal_triples/case_12.txt	 Alabama	 seeking	 retribution for his criminal act 	 Asked at the hearing whether Madison understands that Alabama is seeking retribution against him for his criminal act, Dr. Kirkland answered, "Certainly.
acting	 criminal_triples/case_16.txt	 employee	 acting in	 official capacity 	 "Whoever corruptly or by force or threats of force (including any threatening letter or communication) endeavors to intimidate or impede any officer or employee of the United States acting in an official capacity under this title, or in any other way corruptly or by force or threats of force (including any threatening letter or communication) obstructs or impedes, or endeavors to obstruct or impede, the due administration of this title, shall, upon conviction thereof, be fined not more than $5,000, or imprisoned not more than 3 years, or both, except that if the offense is committed only by threats of force, the person convicted thereof shall be fined not more than $3,000, or imprisoned not more than 1 year, or both
action	 criminal_triples/case_14.txt	 petitioner	 filed notice from	 judgment entered in action on day 	 On July 8, petitioner filed a notice of appeal "from the final judgment and sentence entered in this action on the 24th day of June, 2014.
actions	 criminal_triples/case_16.txt	 clauses	 are limited to	 actions taken 	 First, the Court contends that the Omnibus Clause must be limited to pending or imminent proceedings because the other clauses of §7212 are limited to actions "taken against individual identifiable persons or property.
active	 criminal_triples/case_20.txt	 Facebook	 has	 1.79 billion active users 	 According to sources cited to the Court in this case, Facebook has 1.79 billion active users
activities	 criminal_triples/case_16.txt	 Internal Revenue Service	 intermittently investigated	 petitioner Marinello 's tax activities 	 Between 2004 and 2009, the Internal Revenue Service (IRS) intermittently investigated petitioner Marinello's tax activities
activity	 criminal_triples/case_11.txt	 Lee	 engaged in	 activity 	 At the same time he was running his lawful businesses, Lee also engaged in some illegitimate activity
acts	 criminal_triples/case_16.txt	 text	 refers to	 specific targeted acts 	 Here statutory context confirms that the text refers to specific, targeted acts of administration
actual	 criminal_triples/case_18.txt	 SEM-generated range	 reflected	 prisoner 's actual IQ .1 Indeed 	 Hall provided no definitive guidance on this sort of approach: recognizing the inherent imprecision of IQ tests, but considering additional evidence to determine whether an SEM-generated range of scores accurately reflected a prisoner's actual IQ.1 Indeed, in its catalog of States that "ha[d] taken a position contrary to that of Florida," the Court in Hall included a State that granted trial courts discretion to draw "reasonable inferences" about IQ scores and, where appropriate, decline to consider the full range of the SEM
actually	 criminal_triples/case_11.txt	 representation	 prejudiced defendant by	 actually ha effect 	 The Court in Strickland held that a defendant may establish a claim of ineffective assistance of counsel by showing that his "counsel's representation fell below an objective standard of reasonableness" and, as relevant here, that the representation prejudiced the defendant by "actually ha[ving] an adverse effect on the defense.
acutely	 criminal_triples/case_17.txt	 our approach	 is acutely unfair by	 ing 	 (Nor do we agree with the dissent that our approach is "acutely unfair to Alabama" by not "giv[ing] the State a fair chance to respond.
adaptive	 criminal_triples/case_18.txt	 significant adaptive deficits	 is in	 three skill sets 	 And relying on testimony from mental-health professionals, the court found significant adaptive deficits in all three skill sets (conceptual, social, and practical)
addition	 criminal_triples/case_18.txt	 Dr. Compton	 in addition to	 expert testimony 	 The CCA explained that, in addition to Dr. Compton's expert testimony, consideration of the seven Briseno factors reinforced that relatedness conclusion
additional	 criminal_triples/case_17.txt	 he	 Rather asked for	 additional help at sentencing hearing 	 Rather, he asked for additional help at the judicial sentencing hearing, but was rebuffed
address	 criminal_triples/case_15.txt	 us	 address questions anyway on	 ground 	 The dissent would have us address these questions anyway, on the ground that "the conflict on the malicious prosecution question was the centerpiece of Manuel's argument in favor of certiorari.
addressed	 criminal_triples/case_12.txt	 Court	 addressed question In	 Panetti 	 In Panetti, this Court addressed the question whether the Eighth Amendment forbids the execution of a prisoner who lacks "the mental capacity to understand that [he] is being executed as a punishment for a crime.
addresses	 criminal_triples/case_15.txt	 It	 addresses	 threshold inquiry 	 It addresses only the threshold inquiry in a §1983 suit, which requires courts to "identify the specific constitutional right" at issue
addressing	 criminal_triples/case_15.txt	 addressing	 possibility of	 waiver 	 See Reply to Brief in Opposition 1-2 (addressing the possibility of waiver); Tr
adequate	 criminal_triples/case_15.txt	 state law	 provide	 adequate remedy 	 According to that line of decisions, a §1983 plaintiff challenging such detention must allege a breach of the Due Process Clause--and must show, to recover on that theory, that state law fails to provide an adequate remedy
adherence	 criminal_triples/case_18.txt	 CCA 's adherence	 comply with	 Eighth Amendment 	 We granted certiorari to determine whether the CCA's adherence to superseded medical standards and its reliance on Briseno comply with the Eighth Amendment and this Court's precedents
adjourned	 criminal_triples/case_17.txt	 court	 adjourned until	 2 p.m. 	 The court then adjourned until 2 p.m
adjudicating	 criminal_triples/case_15.txt	 tort	 has	 favorable-termination element adjudicating 	 And even if malicious prosecution were the better comparison, the City continues, a court should decline to adopt that tort's favorable-termination element and associated accrual rule in adjudicating a §1983 claim involving pretrial detention
adjudication	 criminal_triples/case_12.txt	 state trial court 's adjudication	 involved	 unreasonable application 	 As a state prisoner, Madison is entitled to federal habeas relief under the Antiterrorism and Effective Death Penalty Act of 1996 (AEDPA) only if the state trial court's adjudication of his incompetence claim "was contrary to, or involved an unreasonable application of, clearly established Federal law, as determined by" this Court, or else was "based on an unreasonable determination of the facts in light of the evidence presented" in state court
adjusted	 criminal_triples/case_18.txt	 CCA	 had	 range of Moore 's adjusted IQ score of 74 falls 	 Because the lower range of Moore's adjusted IQ score of 74 falls at or below 70, the CCA had to move on to consider Moore's adaptive functioning
administer	 criminal_triples/case_12.txt	 State	 administer	 death penalty 	 The issue whether a State may administer the death penalty to a person whose disability leaves him without memory of his commission of a capital offense is a substantial question not yet addressed by the Court
administered	 criminal_triples/case_18.txt	 test	 was	 administered 	 The CCA found, however, that Moore's score was unlikely to be in the lower end of the error-generated range because he was likely exerting poor effort and experiencing depression at the time the test was administered--both factors that Moore's experts agreed could artificially deflate IQ scores
administration	 criminal_triples/case_12.txt	 basic problems	 is with	 administration of death penalty itself 	 I write separately to underline the fact that this case illustrates one of the basic problems with the administration of the death penalty itself
administrative	 criminal_triples/case_16.txt	 P administrative proceeding	 is	 defined 	 [P]articular administrative proceeding" is defined negatively as "not . . . every act carried out by IRS employees in the course of their 'continuous, ubiquitous, and universally known' administration of the Tax Code.
admission	 criminal_triples/case_11.txt	 counseled plea	 is	 admission reliable 	 That is because "a counseled plea of guilty is an admission of factual guilt so reliable that, where voluntary and intelligent, it quite validly removes the issue of factual guilt from the case.
admits	 criminal_triples/case_16.txt	 its narrow reading	 is supported	 it admits 	 The Court contends that its narrow reading of "due administration of this title" is supported by three decisions interpreting other obstruction statutes, though it admits that the "language and history" of the Omnibus Clause "differ somewhat" from those other obstruction provisions
admitted	 criminal_triples/case_11.txt	 defendant	 has admitted	 his guilt 	 In circumstances where a defendant has admitted his guilt, the evidence against him is overwhelming, and he has no bona fide defense strategy, I see no justification for imposing these costs
adopt	 criminal_triples/case_11.txt	 we	 adopt	 per rule 	 The Government asks that we, like the Court of Appeals below, adopt a per se rule that a defendant with no viable defense cannot show prejudice from the denial of his right to trial
adopted	 criminal_triples/case_16.txt	 we	 adopted	 same requirement 	 And we adopted the same requirement
adopting	 criminal_triples/case_13.txt	 majority	 adopting	 reading of Eleventh Circuit 's decision 	 By adopting the least charitable reading of the Eleventh Circuit's decision, the majority "disrespects the judges of the courts of appeals, who are appointed and confirmed as we are.
adoption	 criminal_triples/case_11.txt	 Government	 urging	 adoption of rule 	 (b) The Government makes two errors in urging the adoption of a per se rule that a defendant with no viable defense cannot show prejudice from the denial of his right to trial
ads	 criminal_triples/case_20.txt	 website	 derives	 revenue from ads 	 The website (1) derives revenue from ads and (2) facilitates social introductions for the purpose of information exchanges
adult	 criminal_triples/case_20.txt	 State	 preclude	 adult convicted 	 May a State preclude an adult previously convicted of molesting children from visiting a dating site for teenagers
advanced	 criminal_triples/case_18.txt	 perceptions	 advanced by	 Briseno 	 By design and in operation, the lay perceptions advanced by Briseno "creat[e] an unacceptable risk that persons with intellectual disability will be executed.
adversarial	 criminal_triples/case_17.txt	 norm	 is in	 our adversarial system 	 These limitations are at odds with the defense-expert model, which McWilliams characterizes as "the norm in our adversarial system.
adversary	 criminal_triples/case_17.txt	 they	 are	 in our adversary system customarily performed by expert 	 While it is possible for a neutral expert to provide these services, in our adversary system they are customarily performed by an expert working exclusively for one of the parties
adverse	 criminal_triples/case_11.txt	 representation	 prejudiced defendant by	 ha adverse effect 	 The Court in Strickland held that a defendant may establish a claim of ineffective assistance of counsel by showing that his "counsel's representation fell below an objective standard of reasonableness" and, as relevant here, that the representation prejudiced the defendant by "actually ha[ving] an adverse effect on the defense.
advertise	 criminal_triples/case_20.txt	 users	 advertise for	 employees 	 On LinkedIn, users can look for work, advertise for employees, or review tips on entrepreneurship
advice	 criminal_triples/case_11.txt	 he	 was contrary to	 so his attorney 's advice subject to deportation as result 	 Lee had in fact pleaded guilty to an "aggravated felony" under the Immigration and Nationality Act, 8 U. S. C. §1101(a)(43)(B), so he was, contrary to his attorney's advice, subject to mandatory deportation as a result of that plea
advise	 criminal_triples/case_14.txt	 District Court	 advise	 Manrique 	 The Government agrees that the District Court was "absolutely" required to advise Manrique of his right to appeal the restitution order, and anticipates that the required advice "will prevent cases like this from arising again in the future.
advised	 criminal_triples/case_11.txt	 attorney	 advised	 Lee 	 The attorney advised Lee that going to trial was "very risky" and that, if he pleaded guilty, he would receive a lighter sentence than he would if convicted at trial
advocate	 criminal_triples/case_17.txt	 indigent	 is entitled to	 his own independent advocate 	 J. 401, 403 (2002) ("[C]ourts have struggled with whether an indigent is entitled to his own independent advocate or a neutral expert provided by the state," and the Supreme Court "has . . . failed to confront this ambiguity"); Sullivan, Psychiatric Defenses in Arkansas Criminal Trials, 48 Ark
advocates	 criminal_triples/case_20.txt	 he	 advocates id.	 more demanding standard 	 Packingham responds that the challenged statute is "unlike any law this Court has considered as a time, place, or manner restriction," Brief for Petitioner 37, and he advocates a more demanding standard of review, id., at 37-39
advocating	 criminal_triples/case_17.txt	 expert	 advocating for	 defense 	 400, 426 (2011) ("[T]he Supreme Court should affirmatively state whether a defendant is entitled to a neutral expert working for the defense and the government, or an expert advocating for the defense"); Groendyke, Ake v. Oklahoma: Proposals for Making the Right a Reality, 10 N. Y. U. J. Legis
affect	 criminal_triples/case_11.txt	 criminal conviction	 affect	 his status 	 Although he has lived in this country for most of his life, Lee is not a United States citizen, and he feared that a criminal conviction might affect his status as a lawful permanent resident
affected	 criminal_triples/case_13.txt	 Tharpe 's race	 affected	 Gattie 's vote 	 Gattie's remarkable affidavit--which he never retracted--presents a strong factual basis for the argument that Tharpe's race affected Gattie's vote for a death verdict
affidavit	 criminal_triples/case_13.txt	 Tharpe	 produced	 sworn affidavit signed by Gattie 	 Here, however, Tharpe produced a sworn affidavit, signed by Gattie, indicating Gattie's view that "there are two types of black people: 1
affidavits	 criminal_triples/case_18.txt	 court	 received	 affidavits 	 The court received affidavits and heard testimony from Moore's family members, former counsel, and a number of court-appointed mental-health experts
affirmative	 criminal_triples/case_15.txt	 rest	 did indeed express view	 what would follow from affirmative answer 	 The rest of Manuel's question did indeed express a view as to what would follow from an affirmative answer ("so as to allow a malicious prosecution claim")
affirmed	 criminal_triples/case_11.txt	 Court	 affirmed	 denial 	 The Court of Appeals for the Sixth Circuit affirmed the denial of relief
afford	 criminal_triples/case_17.txt	 judges	 afford	 state courts 	 Put another way, "[w]hen reviewing state criminal convictions on collateral review, federal judges are required to afford state courts due respect by overturning their decisions only when there could be no reasonable dispute that they were wrong.
afield	 criminal_triples/case_16.txt	 Arthur Anderson	 is	 even further afield 	 Arthur Anderson is even further afield
after	 criminal_triples/case_14.txt	 District Court clerk	 transmitted	 judgment five days after 	 Without awaiting another appeal notice, the District Court clerk transmitted the amended judgment, five days after its entry, to the Court of Appeals, which filed that judgment on the docket of the appeal from the conviction and sentence already pending in that court
aftermath	 criminal_triples/case_17.txt	 Court 's actions	 is in	 aftermath of Ake 	 The Court's actions in the aftermath of Ake lend support to this conclusion
afternoon	 criminal_triples/case_17.txt	 judge	 give defense counsel until	 2 p.m. afternoon 	 The judge offered to give defense counsel until 2 p.m. that afternoon
again	 criminal_triples/case_13.txt	 Tharpe	 shot again	 her 	 Tharpe shot Freeman, rolled her body into a ditch, reloaded, and shot her again, killing her
against	 criminal_triples/case_11.txt	 Guilty pleas	 are therefore entitled to	 protections against collateral attack 	 Guilty pleas, like completed trials, are therefore entitled to the protections against collateral attack that the Strickland prejudice standard affords
age	 criminal_triples/case_18.txt	 Moore	 had	 difficulties beginning at age 	 The evidence revealed that Moore had significant mental and social difficulties beginning at an early age
agent	 criminal_triples/case_16.txt	 investigating agent	 is in	 Aguilar 	 But the same could have been said of the defendant's effort to mislead the investigating agent in Aguilar
agents	 criminal_triples/case_14.txt	 he	 pleaded After	 federal agents 	 After federal agents found child pornography on petitioner's computer, he pleaded guilty to possessing a visual depiction of a minor engaging in sexually explicit conduct, in violation of 18 U. S. C. §§2252(a)(4)(B) and (b)(2), an offense requiring a district court to "make restitution to the victim of the offense," §3663A(a)(1)
aggregated	 criminal_triples/case_20.txt	 other users	 can see	 their aggregated comments 	 It obtains revenue from advertisements.12 It facilitates information exchanges--via message boards that allow users to engage in public discussion of an assortment of health issues.13 It allows users to create basic profile pages: Users can upload a picture and some basic information about themselves, and other users can see their aggregated comments and "likes
ago	 criminal_triples/case_12.txt	 Vernon Madison	 ago crept up behind	 police officer Julius Schulte 	 More than 30 years ago, Vernon Madison crept up behind police officer Julius Schulte and shot him twice in the head at close range
agree	 criminal_triples/case_16.txt	 I	 agree with	 Court 's interpretations 	 I agree with the Court's interpretations of "obstruct or impede" and "due administration," which together refer to conduct that hinders the IRS' performance of its official duties
agreement	 criminal_triples/case_17.txt	 Other courts	 reach	 agreement 	 Other courts struggled to reach agreement on the question
agreements	 criminal_triples/case_11.txt	 Court 's standard	 generate	 volume of challenges to existing plea agreements 	 For one thing, the Court's artificially cabined standard for prejudice in the plea context is likely to generate a high volume of challenges to existing and future plea agreements
agrees	 criminal_triples/case_13.txt	 Eleventh Circuit	 agrees with	 District Court 's decision 	 In fact, "[a]n appropriately self-respecting response to today's summary vacatur would be summary reissuance of the same opinion," ibid., with a sentence clarifying that the Eleventh Circuit agrees with the District Court's decision on cause
aimed	 criminal_triples/case_13.txt	 Tharpe	 aimed	 shotgun 	 Tharpe aimed a shotgun at the car and ordered his wife to get into his truck
airing	 criminal_triples/case_12.txt	 issue	 would warrant	 full airing 	 Appropriately presented, the issue would warrant full airing
airport	 criminal_triples/case_20.txt	 prohibiting	 protected expression at	 single airport 	 If a law prohibiting "all protected expression" at a single airport is not constitutional, id., at 574 (emphasis deleted), it follows with even greater force that the State may not enact this complete bar to the exercise of First Amendment rights on websites integral to the fabric of our modern society and culture
alcohol	 criminal_triples/case_13.txt	 he	 consumed	 substantial amount of alcohol 	 He also denied having sworn to the first affidavit and explained that he had consumed a substantial amount of alcohol on the day he signed it
all	 criminal_triples/case_15.txt	 he	 had spent In	 all 	 In all, he had spent 48 days in pretrial detention
allegation	 criminal_triples/case_13.txt	 Tharpe 's allegation	 was insufficient	 he had failed 	 Tharpe's allegation of ineffective assistance of counsel was insufficient to establish cause because he had "failed to establish the requisite deficiency or prejudice.
allegations	 criminal_triples/case_15.txt	 we	 accept as	 factual allegations in complaint 	 Because we here review an order dismissing Manuel's suit, we accept as true all the factual allegations in his complaint
alleged	 criminal_triples/case_15.txt	 Illinois	 calls	 related information provided by alleged purchaser 	 Oliver testified at what Illinois calls a preliminary examination and apparently related the information provided by the alleged purchaser
allegedly	 criminal_triples/case_15.txt	 they	 were allegedly unsupported by	 probable cause 	 That the pretrial restraints in Albright arose pursuant to legal process made no difference, given that they were allegedly unsupported by probable cause
alleges	 criminal_triples/case_11.txt	 defendant	 alleges	 his counsel 's performance 	 When a defendant alleges his counsel's deficient performance led him to accept a guilty plea rather than go to trial, we do not ask whether, had he gone to trial, the result of that trial "would have been different" than the result of the plea bargain
alleging	 criminal_triples/case_15.txt	 Manuel 's complaint	 alleging	 Amendment violation 	 So the Seventh Circuit held that Manuel's complaint, in alleging only a Fourth Amendment violation, rested on the wrong part of the Constitution: A person detained following the onset of legal process could at most (although, the court agreed, not in Illinois) challenge his pretrial confinement via the Due Process Clause
allocated	 criminal_triples/case_19.txt	 funds	 were	 In cases allocated to costs 	 In both cases, the funds were allocated to costs, fees, and restitution
allow	 criminal_triples/case_13.txt	 their odiousness	 allow	 us 	 But their odiousness does not excuse us from doing our job correctly, or allow us to pretend that the lower courts have not done theirs
allowed	 criminal_triples/case_19.txt	 postconviction court	 allowed refund In	 Madden 's case 	 In Madden's case, the postconviction court allowed the refund of costs and fees, but not restitution
allowing	 criminal_triples/case_17.txt	 Alabama	 allowing	 Dr. Goff 	 And Alabama, by "allowing Dr. Goff to examine" McWilliams, had satisfied those requirements
allows	 criminal_triples/case_20.txt	 Social media	 allows	 users 	 Social media allows users to gain access to information and communicate with one another on any subject that might come to mind
almost	 criminal_triples/case_11.txt	 Court	 relies almost exclusively on	 single line 	 In reaching this conclusion, the Court relies almost exclusively on the single line from Hill that "the defendant must show that there is a reasonable probability that, but for counsel's errors, he would not have pleaded guilty and would have insisted on going to trial.
alone	 criminal_triples/case_17.txt	 Sixth Circuit	 's experience is	 standing alone 	 The Sixth Circuit's experience, standing alone, is a telling reflection of Ake's ambiguity
along	 criminal_triples/case_18.txt	 Moore 's record	 detracted along with	 history 	 (2) The CCA further concluded that Moore's record of academic failure, along with a history of childhood abuse and suffering, detracted from a determination that his intellectual and adaptive deficits were related
alongside	 criminal_triples/case_18.txt	 clinicians	 would consider	 adaptive strengths alongside weaknesses 	 But even if clinicians would consider adaptive strengths alongside adaptive weaknesses within the same adaptive-skill domain, neither Texas nor the dissent identifies any clinical authority permitting the arbitrary offsetting of deficits against unconnected strengths in which the CCA engaged, see 470 S. W. 3d, at 520-526
already	 criminal_triples/case_14.txt	 judgment	 already pending in	 court 	 Without awaiting another appeal notice, the District Court clerk transmitted the amended judgment, five days after its entry, to the Court of Appeals, which filed that judgment on the docket of the appeal from the conviction and sentence already pending in that court
also	 criminal_triples/case_11.txt	 Lee	 also engaged in	 illegitimate activity 	 At the same time he was running his lawful businesses, Lee also engaged in some illegitimate activity
alter	 criminal_triples/case_11.txt	 nothing	 alter	 standard 	 In both Frye and Lafler, the Court highlighted this difference: Immediately following the sentence that the dissent plucks from Frye, post, at 5 (opinion of Thomas, J.), the Court explained that its "application of Strickland to the instances of an uncommunicated, lapsed plea does nothing to alter the standard laid out in Hill.
alteration	 criminal_triples/case_16.txt	 alteration	 is in	 original 	 698, 704 (CA2 2010); alteration in original)
alternative	 criminal_triples/case_13.txt	 Court	 consider	 alternative grounds for affirmance 	 Putting aside its misreading of the decision below, the Court inexplicably declines to consider alternative grounds for affirmance
altogether	 criminal_triples/case_20.txt	 users	 Foreclosing altogether	 access to social media 	 Foreclosing access to social media altogether thus prevents users from engaging in the legitimate exercise of First Amendment rights
always	 criminal_triples/case_11.txt	 Deportation	 is	 always penalty 	 Deportation is always "a particularly severe penalty," Padilla, 559 U. S., at 365 (internal quotation marks omitted), and we have "recognized that 'preserving the client's right to remain in the United States may be more important to the client than any potential jail sentence,' " id., at 368 (quoting St. Cyr, 533 U. S., at 322; alteration and some internal quotation marks omitted); see also Padilla, 559 U. S., at 364 ("[D]eportation is an integral part--indeed, sometimes the most important part--of the penalty that may be imposed on noncitizen defendants who plead guilty to specified crimes.
am	 criminal_triples/case_18.txt	 I	 am	 unwilling 	 But, unlike the Court, I am unwilling to upset the considered judgment of the forensic psychologist that the factfinding court deemed the most credible based on my own interpretation of a few sentences excised from medical texts
ambiguity	 criminal_triples/case_16.txt	 ambiguity	 is in	 statute Court must simply guess 	 But the rule of lenity applies only if after applying ordinary tools of statutory interpretation, "there remains a grievous ambiguity or uncertainty in the statute such that the Court must simply guess as to what Congress intended.
ambushed	 criminal_triples/case_13.txt	 Tharpe	 ambushed	 his wife 	 The next morning, Tharpe ambushed his wife and her sister, Jaquelin Freeman, as they drove to work, pulling his truck in front of their car and forcing them to stop
amended	 criminal_triples/case_14.txt	 District Court	 entered	 amended judgment 	 Months later, the District Court entered an amended judgment, ordering petitioner to pay restitution to one of his victims
amending	 criminal_triples/case_14.txt	 court	 amending	 its judgment 	 29; that court gave no such advice upon amending its judgment on September 18, 2014 to include the amount of restitution ordered, see id., at 10, 46-65
among	 criminal_triples/case_12.txt	 Mr. Madison	 Moreover is one among	 number 	 Moreover, Mr. Madison is one among a growing number of aging prisoners who remain on death row in this country for ever longer periods of time
amount	 criminal_triples/case_13.txt	 he	 consumed	 substantial amount of alcohol 	 He also denied having sworn to the first affidavit and explained that he had consumed a substantial amount of alcohol on the day he signed it
amounts	 criminal_triples/case_19.txt	 legislation	 provide	 r eimbursement of amounts 	 While these cases were pending in this Court, Colorado passed new legislation to provide "[r]eimbursement of amounts paid following a vacated conviction.
an	 criminal_triples/case_18.txt	 70	 of an is	 IQ 	 Significantly subaverage intellectual functioning is "generally shown by an [IQ] of 70 or less.
analog	 criminal_triples/case_15.txt	 reasons	 For analog is	 y 	 For all these reasons, malicious prosecution is a strikingly inapt "tort analog[y]," Wilson, 471 U. S., at 277, for Fourth Amendment violations
analogies	 criminal_triples/case_15.txt	 we	 must look for	 tort analogies 	 In order to flesh out the elements of this constitutional tort, we must look for "tort analogies.
