(February 27 2017, Decided at_time, May 30 2017)
(state statute, categorically fits within, definition of felony)
(state statute, fits within, federal definition)
(state statute, categorically fits within, federal definition of felony)
(state statute, categorically fits within, federal definition of corresponding felony)
(state statute, fits within, generic federal definition of aggravated felony)
(state statute, defining, crime of conviction)
(state statute, fits within, definition)
(state statute, categorically fits within, generic federal definition of aggravated felony)
(Petitioner 's state conviction, is felony, only least of acts criminalized falls within definition of sexual abuse of minor)
(Petitioner 's state conviction, is aggravated felony, only least of acts falls within definition of abuse)
(Petitioner 's state conviction, is thus felony, only least falls within federal definition)
(Petitioner 's state conviction, is felony, only least falls within federal definition of sexual abuse)
(Petitioner 's state conviction, is thus felony, only least falls within generic federal definition)
(Petitioner 's state conviction, is aggravated felony, only least of acts criminalized falls within generic definition of abuse of minor)
(Petitioner 's state conviction, is felony, only least falls within definition of sexual abuse of minor)
(Petitioner 's state conviction, is thus felony, only least of acts falls within federal definition of abuse)
(Petitioner 's state conviction, is thus aggravated felony, only least of acts falls)
(Petitioner 's state conviction, is aggravated felony, only least of acts criminalized falls within generic federal definition of sexual abuse)
(Petitioner 's state conviction, is thus felony, least of acts falls within definition of sexual abuse of minor)
(Petitioner 's state conviction, is thus aggravated felony, only least of acts falls within generic federal definition of sexual abuse of minor)
(least, falls within, generic federal definition)
(Petitioner 's state conviction, is felony, least of acts criminalized falls within generic federal definition of sexual abuse)
(Petitioner 's state conviction, is thus felony, least falls within generic federal definition of abuse of minor)
(Petitioner 's state conviction, is thus aggravated felony, only least of acts falls within generic definition of abuse)
(Petitioner 's state conviction, is thus felony, only least falls within federal definition of abuse)
(Petitioner 's state conviction, is thus felony, least of acts falls within federal definition of abuse of minor)
(least, falls within, generic federal definition of abuse of minor)
(Petitioner 's state conviction, is thus felony, only least falls within generic definition of sexual abuse of minor)
(Petitioner 's state conviction, is felony, only least of acts falls within generic federal definition of abuse of minor)
(Petitioner 's state conviction, is aggravated felony, only least of acts falls within generic federal definition of abuse of minor)
(Petitioner 's state conviction, is aggravated felony, only least of acts criminalized falls within federal definition of sexual abuse)
(Petitioner 's state conviction, is aggravated felony, only least falls within generic federal definition)
(Petitioner 's state conviction, is thus felony, least of acts criminalized falls within generic federal definition)
(Petitioner 's state conviction, is felony, least of acts criminalized falls within definition)
(Petitioner 's state conviction, is aggravated felony, only least of acts criminalized falls within generic federal definition)
(Petitioner 's state conviction, is felony, only least of acts falls)
(Petitioner 's state conviction, is thus felony, only least of acts falls within definition of sexual abuse of minor)
(least, falls within, generic federal definition of abuse)
(Petitioner 's state conviction, is thus felony, least of acts falls within federal definition of sexual abuse)
(Petitioner 's state conviction, is thus felony, only least falls within generic federal definition of abuse)
(Petitioner 's state conviction, is thus felony, only least falls within generic definition of sexual abuse)
(Petitioner 's state conviction, is thus aggravated felony, least of acts falls within generic definition)
(Petitioner 's state conviction, is felony, least falls within generic federal definition of sexual abuse of minor)
(Petitioner 's state conviction, is felony, least of acts falls within definition of abuse)
(Petitioner 's state conviction, is felony, only least of acts criminalized falls within generic definition of abuse of minor)
(Petitioner 's state conviction, is aggravated felony, least falls within generic federal definition of abuse)
(Petitioner 's state conviction, is felony, least of acts falls within generic federal definition of abuse of minor)
(Petitioner 's state conviction, is thus aggravated felony, only least of acts falls within federal definition of abuse)
(Petitioner 's state conviction, is aggravated felony, only least of acts falls within federal definition of sexual abuse of minor)
(Petitioner 's state conviction, is thus aggravated felony, least of acts falls within generic definition of abuse)
(Petitioner 's state conviction, is thus aggravated felony, only least of acts criminalized falls within federal definition)
(Petitioner 's state conviction, is thus aggravated felony, least falls within generic federal definition of sexual abuse of minor)
(Petitioner 's state conviction, is thus aggravated felony, only least of acts criminalized falls within definition of sexual abuse of minor)
(Petitioner 's state conviction, is thus felony, only least falls within definition of abuse)
(Petitioner 's state conviction, is thus felony, only least of acts falls within federal definition of sexual abuse of minor)
(Petitioner 's state conviction, is thus felony, least of acts falls within generic federal definition of sexual abuse)
(Petitioner 's state conviction, is thus aggravated felony, only least of acts falls within generic federal definition of sexual abuse)
(Petitioner 's state conviction, is thus felony, only least of acts criminalized falls within federal definition of sexual abuse of minor)
(Petitioner 's state conviction, is thus aggravated felony, least of acts criminalized falls within definition of sexual abuse of minor)
(Petitioner 's state conviction, is thus aggravated felony, least falls within generic federal definition of sexual abuse)
(Petitioner 's state conviction, is felony, only least of acts falls within generic definition of abuse of minor)
(Petitioner 's state conviction, is aggravated felony, least of acts criminalized falls within definition of sexual abuse of minor)
(Petitioner 's state conviction, is thus aggravated felony, least of acts falls within generic federal definition of sexual abuse)
(Petitioner 's state conviction, is thus aggravated felony, least of acts falls within federal definition of sexual abuse)
(Petitioner 's state conviction, is thus felony, least falls within generic definition of sexual abuse of minor)
(Petitioner 's state conviction, is aggravated felony, only least of acts falls within generic definition of abuse of minor)
(Petitioner 's state conviction, is thus felony, least falls within generic definition of abuse of minor)
(Petitioner 's state conviction, is thus felony, least of acts falls within federal definition of abuse)
(Petitioner 's state conviction, is thus felony, least of acts falls within definition of abuse of minor)
(Petitioner 's state conviction, is thus aggravated felony, least falls within federal definition of sexual abuse)
(Petitioner 's state conviction, is felony, only least of acts falls within definition of abuse of minor)
(Petitioner 's state conviction, is felony, only least falls within generic definition of abuse of minor)
(Petitioner 's state conviction, is thus aggravated felony, least of acts falls within definition of sexual abuse)
(Petitioner 's state conviction, is thus felony, only least of acts criminalized falls within federal definition of abuse of minor)
(Petitioner 's state conviction, is, thus felony)
(Petitioner 's state conviction, is felony, least of acts falls within generic federal definition of abuse)
(Petitioner 's state conviction, is felony, only least of acts falls within generic definition of sexual abuse)
(Petitioner 's state conviction, is thus felony, least falls within definition of abuse)
(Petitioner 's state conviction, is felony, least falls within generic definition of sexual abuse of minor)
(Petitioner 's state conviction, is thus felony, least of acts falls within definition of sexual abuse)
(Petitioner 's state conviction, is felony, least falls within definition of abuse)
(Petitioner 's state conviction, is thus aggravated felony, least of acts falls within definition of abuse of minor)
(least, only falls within, definition of abuse of minor)
(Petitioner 's state conviction, is aggravated felony, only least falls within generic federal definition of sexual abuse)
(Petitioner 's state conviction, is felony, only least of acts criminalized falls within generic definition)
(Petitioner 's state conviction, is thus aggravated felony, only least falls within generic definition of abuse of minor)
(Petitioner 's state conviction, is thus felony, least of acts falls within generic definition of sexual abuse of minor)
(Petitioner 's state conviction, is thus aggravated felony, only least of acts falls within definition of abuse)
(Petitioner 's state conviction, is thus aggravated felony, least of acts falls within federal definition of abuse)
(Petitioner 's state conviction, is felony, least falls within generic definition)
(Petitioner 's state conviction, is thus felony, only least of acts falls within generic definition)
(Petitioner 's state conviction, is felony, least of acts falls within federal definition)
(Petitioner 's state conviction, is felony, only least of acts falls within definition of sexual abuse)
(Petitioner 's state conviction, is thus aggravated felony, only least falls within generic federal definition of abuse)
(Petitioner 's state conviction, is felony, only least of acts falls within generic federal definition of abuse)
(Petitioner 's state conviction, is thus aggravated felony, least of acts falls)
(Petitioner 's state conviction, is felony, only least falls within definition)
(Petitioner 's state conviction, is thus felony, least of acts criminalized falls within generic federal definition of sexual abuse)
(Petitioner 's state conviction, is thus felony, only least of acts falls within definition)
(Petitioner 's state conviction, is thus aggravated felony, only least falls within generic federal definition)
(Petitioner 's state conviction, is aggravated felony, least falls within generic federal definition of abuse of minor)
(Petitioner 's state conviction, is thus felony, least of acts criminalized falls within definition of abuse)
(Petitioner 's state conviction, is thus aggravated felony, only least of acts criminalized falls within federal definition of abuse)
(Petitioner 's state conviction, is aggravated felony, only least falls within federal definition of abuse of minor)
(Petitioner 's state conviction, is thus felony, least of acts criminalized falls within federal definition)
(Petitioner 's state conviction, is aggravated felony, only least of acts falls within generic federal definition of abuse)
(Petitioner 's state conviction, is aggravated felony, only least of acts falls within generic definition)
(Petitioner 's state conviction, is thus felony, least of acts falls within generic definition of abuse)
(Petitioner 's state conviction, is aggravated felony, least of acts falls within definition of abuse of minor)
(Petitioner 's state conviction, is felony, least falls within generic federal definition of abuse)
(Petitioner 's state conviction, is thus aggravated felony, only least of acts falls within federal definition of abuse of minor)
(Petitioner 's state conviction, is felony, least of acts criminalized falls within generic federal definition of abuse)
(Petitioner 's state conviction, is felony, only least of acts criminalized falls)
(Petitioner 's state conviction, is thus felony, only least of acts falls within generic federal definition)
(Petitioner 's state conviction, is thus felony, only least of acts criminalized falls within federal definition)
(Petitioner 's state conviction, is thus aggravated felony, only least of acts criminalized falls within generic definition of abuse of minor)
(Petitioner 's state conviction, is felony, least falls within definition of abuse of minor)
(Petitioner 's state conviction, is thus aggravated felony, only least of acts criminalized falls within definition)
(Petitioner 's state conviction, is thus felony, least falls within generic federal definition)
(Petitioner 's state conviction, is felony, only least of acts criminalized falls within federal definition of sexual abuse of minor)
(Petitioner 's state conviction, is thus felony, only least falls within federal definition of abuse of minor)
(Petitioner 's state conviction, is thus aggravated felony, least falls within generic federal definition of abuse)
(Petitioner 's state conviction, is felony, only least of acts falls within generic definition of sexual abuse of minor)
(Petitioner 's state conviction, is thus aggravated felony, least of acts criminalized falls within federal definition of sexual abuse)
(Petitioner 's state conviction, is thus aggravated felony, only least of acts criminalized falls within generic federal definition of abuse)
(Petitioner 's state conviction, is thus felony, only least falls within generic definition of abuse)
(Petitioner 's state conviction, is felony, least of acts criminalized falls within generic definition of sexual abuse of minor)
(Petitioner 's state conviction, is thus felony, only least of acts criminalized falls within generic federal definition of abuse)
(Petitioner 's state conviction, is thus felony, least of acts falls within generic federal definition of sexual abuse of minor)
(Petitioner 's state conviction, is thus felony, least of acts criminalized falls)
(Petitioner 's state conviction, is aggravated felony, least falls within generic federal definition)
(Petitioner 's state conviction, is aggravated felony, least of acts falls within generic federal definition of sexual abuse of minor)
(Petitioner 's state conviction, is thus felony, least of acts criminalized falls within definition)
(Petitioner 's state conviction, is aggravated felony, only least of acts falls within federal definition of sexual abuse)
(Petitioner 's state conviction, is thus felony, only least of acts falls within generic federal definition of sexual abuse of minor)
(Petitioner 's state conviction, is felony, only least of acts falls within generic definition)
(Petitioner 's state conviction, is aggravated felony, least of acts falls within federal definition of sexual abuse of minor)
(Petitioner 's state conviction, is thus aggravated felony, least of acts criminalized falls within definition of abuse)
(Petitioner 's state conviction, is aggravated felony, only least falls within definition of abuse)
(Petitioner 's state conviction, is aggravated felony, only least of acts criminalized falls within generic definition)
(Petitioner 's state conviction, is aggravated felony, least of acts criminalized falls within federal definition of abuse of minor)
(Petitioner 's state conviction, is felony, least of acts criminalized falls within federal definition of abuse of minor)
(Petitioner 's state conviction, is thus aggravated felony, only least of acts criminalized falls within generic definition of abuse)
(Petitioner 's state conviction, is aggravated felony, only least of acts falls within generic federal definition of sexual abuse of minor)
(Petitioner 's state conviction, is thus aggravated felony, least of acts falls within generic federal definition of abuse)
(Petitioner 's state conviction, is thus aggravated felony, least of acts criminalized falls within generic federal definition of sexual abuse of minor)
(Petitioner 's state conviction, is felony, only least falls within generic definition)
(Petitioner 's state conviction, is thus aggravated felony, only least falls within generic federal definition of sexual abuse)
(Petitioner 's state conviction, is aggravated felony, only least falls within generic definition of abuse of minor)
(Petitioner 's state conviction, is aggravated felony, only least of acts falls within definition of abuse of minor)
(Petitioner 's state conviction, is aggravated felony, only least of acts falls within generic federal definition)
(Petitioner 's state conviction, is thus aggravated felony, least falls within federal definition of sexual abuse of minor)
(Petitioner 's state conviction, is thus felony, only least of acts criminalized falls)
(Petitioner 's state conviction, is thus felony, only least of acts criminalized falls within generic definition of sexual abuse of minor)
(Petitioner 's state conviction, is thus felony, least falls)
(least, falls within, generic federal definition of sexual abuse)
(Petitioner 's state conviction, is felony, only least of acts criminalized falls within generic federal definition of sexual abuse)
(Petitioner 's state conviction, is aggravated felony, only least of acts criminalized falls within definition)
(Petitioner 's state conviction, is thus felony, only least of acts criminalized falls within generic federal definition)
(Petitioner 's state conviction, is felony, least of acts criminalized falls within federal definition)
(Petitioner 's state conviction, is felony, least of acts falls within generic definition of sexual abuse)
(least, only falls within, generic definition of sexual abuse)
(Petitioner 's state conviction, is aggravated felony, only least of acts falls within definition)
(Petitioner 's state conviction, is felony, least of acts falls within generic federal definition of sexual abuse of minor)
(Petitioner 's state conviction, is felony, least of acts falls within generic definition)
(Petitioner 's state conviction, is thus felony, only least falls within definition of sexual abuse of minor)
(Petitioner 's state conviction, is aggravated felony, only least falls within definition)
(Petitioner 's state conviction, is felony, only least of acts falls within federal definition of sexual abuse)
(Petitioner 's state conviction, is felony, only least falls within generic federal definition of abuse)
(Petitioner 's state conviction, is felony, only least of acts falls within federal definition of abuse)
(Petitioner 's state conviction, is thus felony, least of acts falls within generic federal definition of abuse)
(Petitioner 's state conviction, is felony, only least of acts criminalized falls within generic federal definition of abuse)
(least, falls within, federal definition of abuse)
(Petitioner 's state conviction, is felony, least of acts falls within federal definition of abuse of minor)
(Petitioner 's state conviction, is thus felony, least falls within federal definition of sexual abuse)
(Petitioner 's state conviction, is thus aggravated felony, least falls within generic federal definition)
(Petitioner 's state conviction, is thus felony, only least of acts falls within generic definition of abuse of minor)
(Petitioner 's state conviction, is thus felony, least falls within definition of sexual abuse of minor)
(Petitioner 's state conviction, is thus aggravated felony, only least of acts criminalized falls within generic definition of sexual abuse)
(Petitioner 's state conviction, is thus felony, least of acts falls within federal definition)
(Petitioner 's state conviction, is felony, only least of acts criminalized falls within generic definition of sexual abuse of minor)
(Petitioner 's state conviction, is thus aggravated felony, least of acts criminalized falls within generic federal definition of abuse of minor)
(Petitioner 's state conviction, is aggravated felony, least of acts falls within definition)
(Petitioner 's state conviction, is aggravated felony, only least of acts criminalized falls within federal definition)
(least, falls within, definition of abuse of minor)
(Petitioner 's state conviction, is felony, least falls within generic federal definition of sexual abuse)
(Petitioner 's state conviction, is aggravated felony, least of acts criminalized falls within federal definition of sexual abuse of minor)
(Petitioner 's state conviction, is thus felony, only least of acts criminalized falls within definition of sexual abuse)
(Petitioner 's state conviction, is thus felony, least falls within generic definition)
(Petitioner 's state conviction, is felony, only least of acts criminalized falls within definition of sexual abuse)
(Petitioner 's state conviction, is felony, least of acts criminalized falls within federal definition of sexual abuse of minor)
(Petitioner 's state conviction, is thus felony, least of acts criminalized falls within federal definition of sexual abuse of minor)
(Petitioner 's state conviction, is thus aggravated felony, only least of acts criminalized falls within definition of sexual abuse)
(Petitioner 's state conviction, is thus aggravated felony, only least of acts criminalized falls within federal definition of sexual abuse)
(Petitioner 's state conviction, is thus felony, least falls within generic definition of sexual abuse)
(Petitioner 's state conviction, is thus aggravated felony, only least falls within generic definition of sexual abuse)
(Petitioner 's state conviction, is thus felony, only least of acts falls within generic federal definition of abuse)
(Petitioner 's state conviction, is thus aggravated felony, least of acts falls within definition)
(Petitioner 's state conviction, is thus aggravated felony, only least of acts falls within generic federal definition of abuse)
(Petitioner 's state conviction, is aggravated felony, only least of acts falls within definition of sexual abuse)
(Petitioner 's state conviction, is aggravated felony, least falls within federal definition)
(Petitioner 's state conviction, is thus felony, only least of acts criminalized falls within generic definition)
(Petitioner 's state conviction, is thus felony, least of acts falls within generic definition of sexual abuse)
(Petitioner 's state conviction, is felony, least of acts criminalized falls within definition of sexual abuse of minor)
(Petitioner 's state conviction, is thus felony, only least of acts criminalized falls within generic federal definition of abuse of minor)
(Petitioner 's state conviction, is aggravated felony, least of acts criminalized falls within federal definition)
(Petitioner 's state conviction, is thus felony, only least of acts criminalized falls within definition of abuse of minor)
(Petitioner 's state conviction, is aggravated felony, least of acts falls within generic federal definition)
(Petitioner 's state conviction, is felony, only least of acts falls within generic definition of abuse)
(Petitioner 's state conviction, is, aggravated felony)
(Petitioner 's state conviction, is thus aggravated felony, only least falls within generic federal definition of sexual abuse of minor)
(Petitioner 's state conviction, is aggravated felony, least falls within definition of sexual abuse)
(Petitioner 's state conviction, is thus aggravated felony, least of acts falls within definition of abuse)
(Petitioner 's state conviction, is felony, least of acts falls within definition of abuse of minor)
(Petitioner 's state conviction, is felony, least falls within generic federal definition of abuse of minor)
(Petitioner 's state conviction, is thus felony, least of acts criminalized falls within definition of sexual abuse of minor)
(Petitioner 's state conviction, is thus felony, only least of acts falls within federal definition of abuse of minor)
(Petitioner 's state conviction, is felony, only least falls within generic definition of sexual abuse of minor)
(Petitioner 's state conviction, is thus felony, only least of acts criminalized falls within generic definition of abuse)
(Petitioner 's state conviction, is aggravated felony, only least of acts criminalized falls within generic federal definition of abuse)
(Petitioner 's state conviction, is felony, least falls within federal definition of sexual abuse of minor)
(Petitioner 's state conviction, is thus aggravated felony, least falls within generic definition of abuse of minor)
(Petitioner 's state conviction, is aggravated felony, least of acts criminalized falls within generic definition of sexual abuse)
(Petitioner 's state conviction, is felony, least of acts criminalized falls within definition of abuse)
(Petitioner 's state conviction, is aggravated felony, least falls within federal definition of sexual abuse)
(Petitioner 's state conviction, is thus aggravated felony, only least of acts falls within definition of abuse of minor)
(Petitioner 's state conviction, is felony, only least falls within federal definition of sexual abuse of minor)
(Petitioner 's state conviction, is felony, least falls within generic definition of abuse)
(Petitioner 's state conviction, is aggravated felony, least of acts falls within federal definition of abuse)
(Petitioner 's state conviction, is thus aggravated felony, only least falls within definition of sexual abuse of minor)
(Petitioner 's state conviction, is felony, only least of acts criminalized falls within generic federal definition)
(Petitioner 's state conviction, is thus aggravated felony, only least falls within generic definition)
(Petitioner 's state conviction, is thus felony, least of acts falls within federal definition of sexual abuse of minor)
(conviction, is, aggravated)
(Petitioner 's state conviction, is thus aggravated felony, least falls within definition of sexual abuse of minor)
(Petitioner 's state conviction, is aggravated felony, least of acts falls within federal definition of abuse of minor)
(Petitioner 's state conviction, is felony, least of acts criminalized falls within generic definition)
(Petitioner 's state conviction, is felony, least of acts criminalized falls within definition of abuse of minor)
(Petitioner 's state conviction, is aggravated felony, only least of acts criminalized falls within definition of sexual abuse of minor)
(Petitioner 's state conviction, is aggravated felony, least falls)
(Petitioner 's state conviction, is felony, least falls within federal definition of abuse)
(Petitioner 's state conviction, is thus aggravated felony, only least of acts criminalized falls within generic federal definition)
(Petitioner 's state conviction, is thus aggravated felony, least of acts criminalized falls within definition of sexual abuse)
(Petitioner 's state conviction, is thus aggravated felony, least of acts criminalized falls within generic federal definition)
(Petitioner 's state conviction, is thus aggravated felony, least falls within definition of abuse of minor)
(Petitioner 's state conviction, is aggravated felony, least falls within definition of sexual abuse of minor)
(Petitioner 's state conviction, is thus felony, least falls within federal definition of abuse of minor)
(Petitioner 's state conviction, is aggravated felony, least of acts criminalized falls within generic federal definition of abuse)
(Petitioner 's state conviction, is thus felony, only least of acts criminalized falls within federal definition of abuse)
(Petitioner 's state conviction, is thus felony, only least falls within generic federal definition of abuse of minor)
(Petitioner 's state conviction, is felony, only least of acts criminalized falls within generic federal definition of abuse of minor)
(Petitioner 's state conviction, is thus aggravated felony, only least falls within definition of abuse)
(Petitioner 's state conviction, is thus felony, least of acts criminalized falls within generic definition of abuse of minor)
(Petitioner 's state conviction, is thus felony, least of acts criminalized falls within generic federal definition of abuse)
(Petitioner 's state conviction, is thus felony, only least of acts falls within generic federal definition of abuse of minor)
(Petitioner 's state conviction, is felony, only least of acts criminalized falls within definition)
(Petitioner 's state conviction, is aggravated felony, only least of acts falls)
(Petitioner 's state conviction, is thus felony, least of acts criminalized falls within generic definition of sexual abuse)
(Petitioner 's state conviction, is thus aggravated felony, only least falls within generic federal definition of abuse of minor)
(Petitioner 's state conviction, is thus aggravated felony, least of acts criminalized falls within generic definition of sexual abuse)
(Petitioner 's state conviction, is thus felony, only least of acts falls within generic definition of abuse)
(Petitioner 's state conviction, is thus aggravated felony, least of acts criminalized falls within generic federal definition of abuse)
(Petitioner 's state conviction, is aggravated felony, least of acts falls within federal definition of sexual abuse)
(Petitioner 's state conviction, is aggravated felony, least of acts falls within generic definition of abuse)
(Petitioner 's state conviction, is aggravated felony, least falls within federal definition of sexual abuse of minor)
(Petitioner 's state conviction, is thus aggravated felony, least falls within generic definition of abuse)
(Petitioner 's state conviction, is, felony)
(Petitioner 's state conviction, is aggravated felony, least of acts criminalized falls within definition of sexual abuse)
(Petitioner 's state conviction, is aggravated felony, only least falls within definition of abuse of minor)
(Petitioner 's state conviction, is thus felony, least of acts criminalized falls within federal definition of abuse of minor)
(Petitioner 's state conviction, is thus felony, least of acts falls within generic definition)
(Petitioner 's state conviction, is aggravated felony, least of acts falls within definition of sexual abuse)
(Petitioner 's state conviction, is aggravated felony, least of acts falls within generic definition)
(Petitioner 's state conviction, is felony, only least of acts criminalized falls within generic definition of sexual abuse)
(Petitioner 's state conviction, is aggravated felony, least falls within generic federal definition of sexual abuse of minor)
(Petitioner 's state conviction, is thus felony, only least of acts falls)
(Petitioner 's state conviction, is thus felony, least falls within federal definition)
(least, falls within, generic definition of abuse)
(Petitioner 's state conviction, is felony, least of acts falls within generic definition of abuse of minor)
(Petitioner 's state conviction, is thus felony, least falls within generic federal definition of abuse)
(least, only falls within, generic federal definition of sexual abuse)
(least, falls within, federal definition of sexual abuse of minor)
(Petitioner 's state conviction, is thus aggravated felony, least of acts criminalized falls)
(Petitioner 's state conviction, is aggravated felony, least falls within definition of abuse of minor)
(Petitioner 's state conviction, is thus aggravated felony, only least of acts criminalized falls within definition of abuse of minor)
(Petitioner 's state conviction, is felony, least of acts falls within federal definition of sexual abuse of minor)
(Petitioner 's state conviction, is felony, only least of acts falls within federal definition of abuse of minor)
(Petitioner 's state conviction, is aggravated felony, only least falls within generic federal definition of sexual abuse of minor)
(Petitioner 's state conviction, is aggravated felony, least of acts criminalized falls within generic definition of abuse of minor)
(Petitioner 's state conviction, is aggravated felony, only least falls within generic federal definition of abuse)
(Petitioner 's state conviction, is aggravated felony, least of acts falls within generic definition of abuse of minor)
(Petitioner 's state conviction, is thus felony, only least of acts falls within definition of sexual abuse)
(Petitioner 's state conviction, is aggravated felony, only least of acts falls within federal definition)
(Petitioner 's state conviction, is thus aggravated felony, least of acts falls within generic federal definition of sexual abuse of minor)
(Petitioner 's state conviction, is aggravated felony, least falls within generic definition of abuse)
(Petitioner 's state conviction, is felony, only least of acts criminalized falls within federal definition of sexual abuse)
(Petitioner 's state conviction, is thus aggravated felony, least falls within federal definition of abuse)
(Petitioner 's state conviction, is thus felony, only least of acts criminalized falls within generic definition of abuse of minor)
(Petitioner 's state conviction, is thus felony, only least of acts criminalized falls within definition of abuse)
(Petitioner 's state conviction, is felony, only least of acts falls within generic federal definition of sexual abuse)
(Petitioner 's state conviction, is thus aggravated felony, least falls within federal definition of abuse of minor)
(Petitioner 's state conviction, is felony, only least of acts criminalized falls within federal definition of abuse of minor)
(Petitioner 's state conviction, is thus aggravated felony, least of acts criminalized falls within generic federal definition of sexual abuse)
(Petitioner 's state conviction, is aggravated felony, least of acts falls within generic definition of sexual abuse)
(Petitioner 's state conviction, is aggravated felony, only least of acts falls within federal definition of abuse of minor)
(Petitioner 's state conviction, is aggravated felony, least of acts criminalized falls within generic federal definition)
(Petitioner 's state conviction, is thus aggravated felony, least falls within generic definition of sexual abuse)
(Petitioner 's state conviction, is aggravated felony, only least of acts criminalized falls within definition of sexual abuse)
(Petitioner 's state conviction, is felony, least of acts criminalized falls within federal definition of abuse)
(Petitioner 's state conviction, is thus aggravated felony, only least falls within federal definition of abuse of minor)
(Petitioner 's state conviction, is aggravated felony, only least of acts criminalized falls within federal definition of abuse)
(Petitioner 's state conviction, is thus aggravated felony, only least of acts criminalized falls within generic definition of sexual abuse of minor)
(Petitioner 's state conviction, is felony, least of acts criminalized falls within generic definition of abuse of minor)
(Petitioner 's state conviction, is thus aggravated felony, least falls within federal definition)
(Petitioner 's state conviction, is thus felony, only least falls within generic definition of abuse of minor)
(Petitioner 's state conviction, is thus felony, only least of acts falls within definition of abuse of minor)
(least, only falls within, generic definition of abuse)
(Petitioner 's state conviction, is felony, least falls within federal definition)
(Petitioner 's state conviction, is thus aggravated felony, only least falls within federal definition)
(Petitioner 's state conviction, is thus felony, least of acts criminalized falls within definition of sexual abuse)
(Petitioner 's state conviction, is felony, only least of acts falls within federal definition of sexual abuse of minor)
(Petitioner 's state conviction, is thus felony, least of acts criminalized falls within generic definition)
(least, only falls within, generic federal definition of abuse of minor)
(least, falls within, definition of sexual abuse)
(Petitioner 's state conviction, is aggravated felony, least falls within definition)
(Petitioner 's state conviction, is aggravated felony, only least of acts falls within federal definition of abuse)
(least, falls within, definition)
(Petitioner 's state conviction, is aggravated felony, only least of acts falls within generic definition of sexual abuse)
(Petitioner 's state conviction, is aggravated felony, least of acts falls within federal definition)
(Petitioner 's state conviction, is thus felony, least falls within generic federal definition of sexual abuse of minor)
(Petitioner 's state conviction, is thus felony, least of acts criminalized falls within federal definition of abuse)
