(UNITED STATES, v. YATES is, 2015)
(case, is, remanded)
(judgment, is, reversed)
(JUSTICE GINSBURG, joined by, CHIEF JUSTICE)
(§ 1519, within, compass)
(JUSTICE GINSBURG, joined by, JUSTICE)
(statutory term, is, unambiguous)
(language, is, used)
(term, is, unambiguous)
(language, used sometimes in, different statutes)
(Identical language, used sometimes in, different statutes)
(language, used in, statutes)
(language, used in, different statutes)
(language, may convey, varying content)
(Identical language, may convey, content)
(Identical language, used sometimes in, statutes)
(Identical language, may convey, varying content)
(language, used sometimes in, statutes)
(language, may convey, content)
(Identical language, used in, statutes)
(Identical language, used in, different statutes)
(b Familiar guides, aid, construction of object)
(b Familiar interpretive guides, aid, construction)
(b interpretive guides, aid, construction of object)
(b Familiar interpretive guides, aid, construction of object)
(b interpretive guides, aid, construction)
(b Familiar guides, aid, construction)
(b interpretive guides, aid, construction of tangible object)
(b guides, aid, construction)
(b Familiar guides, aid, construction of tangible object)
(b guides, aid, construction of object)
(b Familiar interpretive guides, aid, construction of tangible object)
(b guides, aid, construction of tangible object)
(records, is in, Federal investigations)
(Section 1519, has, position within Title 18)
(Congress, placed, § 1519)
(use, is in, official proceeding)
(contemporaneous passage, is with, intent impair for use in official proceeding)
(object, has, integrity)
(§ 1519, has, reference to tangible object)
(§ 1519 's reference, already included, physical objects)
(§ 1519 's reference, included, physical objects)
(false entry, is in, record)
(words, surrounding, object in § 1519)
(words, surrounding, tangible object in § 1519)
(words, surrounding, tangible object)
(words, immediately surrounding, tangible object)
(tangible object, is in, § 1519)
(words, immediately surrounding, tangible object in § 1519)
(words, surrounding, object)
(words, immediately surrounding, object)
(words, immediately surrounding, object in § 1519)
(object, Applying, canons)
(tangible object, Applying, canons)
(moderate interpretation accords, is with, list of actions)
(false entry, is in, typically take)
(meaning, is in, provision of 1962 Model Penal Code)
(it, invoke, rule of lenity)
(recourse, doubt about, meaning of tangible object in § 1519)
(it, would, Finally would appropriate)
(it, would, would appropriate)
(recourse, leaves, doubt about meaning of tangible object in § 1519)
(it, invoke, rule)
(Yates, has, better argument)
(Yates, has, argument)
(list, tip case in, favor of Yates)
(Title 18 U. S. C. § 1519, has, list)
(list, tip case in, favor)
(list, tip, case)
(title, tip, case)
(title, tip case in, favor)
(title, tip case in, favor of Yates)
(term object, refer to, something)
(term object, refer to, something similar to records)
(document, Applying, canons)
(term tangible object, refer to, something similar)
(term object, refer to, something similar)
(term tangible object, refer to, something)
(term tangible object, refer to, something similar to records)
(§ 1519, has, verbs)
(records, is in, Federal investigations)
(§ 1519, has, title)
(BREYER, joined, SOTOMAYOR)
(BREYER, ROBERTS, SOTOMAYOR)
(GINSBURG, announced, judgment of Court)
(GINSBURG, announced, judgment)
(ALITO, filed opinion concurring in, judgment)
(ALITO, filed, opinion concurring)
(opinion, is subject to, revision in print of United States Reports)
(opinion, is subject to, formal revision in preliminary print)
(opinion, is subject to, revision)
(opinion, is subject to, formal revision)
(opinion, is subject to, revision in print)
(opinion, is subject to, formal revision before publication)
(opinion, is subject to, formal revision in print of United States Reports)
(formal revision, is in, preliminary print of United States Reports)
(opinion, is subject to, revision before publication in preliminary print)
(opinion, is subject to, formal revision before publication in preliminary print)
(opinion, is subject to, formal revision before publication in print of United States Reports)
(opinion, is subject to, revision before publication)
(opinion, is subject to, formal revision in print)
(opinion, is, subject)
(opinion, is subject to, revision in preliminary print)
(opinion, is subject to, revision before publication in print)
(opinion, is subject to, formal revision in preliminary print of United States Reports)
(opinion, is subject to, revision before publication in preliminary print of United States Reports)
(opinion, is subject to, revision in preliminary print of United States Reports)
(opinion, is subject to, formal revision before publication in print)
(opinion, is subject to, revision before publication in print of United States Reports)
(opinion, is subject to, formal revision before publication in preliminary print of United States Reports)
(Readers, notify, Reporter)
(Readers, notify, Reporter of Decisions)
(Supreme Court, is in, order)
(Readers, are, requested)
(typographical formal errors, of States is, Washington)
(typographical formal errors, of States is, D. C. 20543)
(JOHN L. YATES, PETITIONER v., UNITED STATES)
(JUSTICE GINSBURG, announced, judgment)
(JUSTICE GINSBURG, announced, judgment of Court)
(John Yates, caught, grouper)
(John Yates, caught grouper in, waters)
(federal waters, is in, Gulf of Mexico)
(John Yates, caught, undersized red grouper)
(John Yates, caught, red grouper)
(John Yates, caught grouper in, federal waters in Gulf of Mexico)
(John Yates, caught, undersized grouper)
(John Yates, caught grouper in, waters in Gulf of Mexico)
(John Yates, caught grouper in, federal waters)
(John Yates, caught grouper in, federal waters in Gulf)
(John Yates, caught grouper in, waters in Gulf)
(Yates, prevent, federal authorities)
(he, harvested, undersized fish)
(Yates, prevent, authorities)
(Yates, prevent authorities, confirming)
(Yates, ordered, crew member)
(crew member, toss, suspect catch)
(he, harvested, fish)
(crew member, toss catch into, sea)
(crew member, toss, catch)
(he, was charged For, offense)
(he, was, For offense charged with)
(he, was, charged with)
(he, was, charged)
(false entry, is in, record)
(Yates, was, indicted)
(Yates, was, also indicted)
(wastes, disposes during, damages)
(wastes, before disposes of, transfers)
(wastes, before disposes during, damages)
(Government, has, lawful authority take into custody)
(wastes, disposes of, transfers)
(Yates, violating, a)
(Yates, violating, § 2232)
(Section 1519, was, enacted)
(Section, was enacted as, part)
(Section 1519, was enacted as, part of Sarbanes-Oxley Act)
(Section, was, enacted)
(Section 1519, was enacted as, part)
(Section 1519, was enacted as, part of Sarbanes-Oxley Act of 2002)
(Section, was enacted as, part of Sarbanes-Oxley Act)
(Section, was enacted as, part of Sarbanes-Oxley Act of 2002)
(it, would cut, § 1519 loose)
(Congress, trained, its attention)
(Congress, trained, its attention on deception)
(Congress, trained, its attention on corporate deception)
(Miss Katie, was, six days)
(Miss Katie, was, On August 23 2007 six days)
(Miss Katie, was, six days into expedition)
(Miss Katie, was, six days into expedition in Gulf)
(Miss Katie, was, On August 23 2007 six days into expedition)
(expedition, is in, Gulf of Mexico)
(Miss Katie, was, On August 23 2007 six days into expedition in Gulf)
(Miss Katie, was, On August 23 2007 six days into expedition in Gulf of Mexico)
(Miss Katie, was, six days into expedition in Gulf of Mexico)
(Yates, including three is, captain)
(Her crew, numbered, captain)
(vessel 's compliance, is with, fishing rules)
(Officer John Jones, board, Miss Katie)
(vessel, on, compliance with fishing rules)
(Officer John Jones, board Miss Katie, check on vessel 's compliance with fishing rules)
(Officer John Jones, board Miss Katie, check)
(Officer John Jones, board Miss Katie, check on vessel 's compliance)
(she, was within, Officer Jones 's jurisdiction)
(she, was within, nevertheless Officer Jones 's jurisdiction)
(he, had, had deputized as federal agent by National Marine Fisheries Service)
(he, had, had deputized by National Marine Fisheries Service)
(he, had, had deputized)
(he, had, had deputized as federal agent)
(authority, enforce, state fishing laws)
(he, had, had deputized as agent by National Marine Fisheries Service)
(authority, enforce, federal)
(he, had, had deputized as agent)
(Officer Jones, boarding, Miss Katie)
(conservation regulations, required, immediate release of grouper)
(conservation regulations, required, immediate release)
(federal conservation regulations, required, immediate release)
(federal conservation regulations, required, release of red grouper)
(federal conservation regulations, required, release)
(federal conservation regulations, required, immediate release long)
(conservation regulations, required, release of red grouper long)
(conservation regulations, required, release of grouper)
(conservation regulations, required, release long)
(conservation regulations, required, release of grouper long)
(conservation regulations, required At, time)
(conservation regulations, required, release of red grouper)
(federal conservation regulations, required, immediate release of grouper long)
(conservation regulations, required, immediate release long)
(conservation regulations, required, release)
(conservation regulations, required, immediate release of grouper long)
(conservation regulations, required, immediate release of red grouper)
(federal conservation regulations, required, immediate release of red grouper)
(conservation regulations, required release At, time)
(federal conservation regulations, required release At, time)
(federal conservation regulations, required, release of red grouper long)
(federal conservation regulations, required, release long)
(federal conservation regulations, required, immediate release of grouper)
(federal conservation regulations, required, immediate release of red grouper long)
(federal conservation regulations, required, release of grouper)
(federal conservation regulations, required At, time)
(conservation regulations, required, immediate release of red grouper long)
(federal conservation regulations, required, release of grouper long)
(CFR, §, d)
(50 CFR, §, d)
(Violation, is, civil offense)
(regulations, Violation of is, offense punishable by fine license suspension)
(regulations, Violation of is, civil offense punishable)
(Violation, is, offense)
(Violation, is, civil offense punishable by fine license suspension)
(regulations, Violation of is, offense)
(Violation, is, civil offense punishable)
(Violation, is, offense punishable by fine license suspension)
(Violation, is, offense punishable)
(Violation, is, punishable)
(regulations, Violation of is, offense punishable)
(Violation, is, civil)
(regulations, Violation of is, civil offense punishable by fine license suspension)
(regulations, Violation of is, civil offense)
(ship, has, catch)
(fish, be on, board)
(Officer Jones, inspect, ship 's catch)
(other fish, be on, board)
(other undersized fish, be on, board)
(undersized fish, be on, board)
(officer, recorded, length of each undersized fish)
(fellow officer, recorded, length of each of undersized fish)
(fellow officer, recorded length on, catch measurement verification form)
(fellow officer, recorded, length of each undersized fish)
(officer, recorded, length)
(officer, recorded, length of each of undersized fish)
(officer, recorded length on, catch measurement verification form)
(fellow officer, recorded, length)
(19 inches, is With, few exceptions)
(fish, measuring below, 20 inches rest)
(Officer Jones, separating, fish measuring below 20 inches)
(Yates, segregated in, crates Miss Katie returned to port)
(Officer Jones, separating, fish measuring)
(fish, measuring below, 20 inches rest catch)
(Yates, segregated in, crates Miss Katie returned)
(Yates, thus segregated in, crates Miss Katie returned to port)
(fish, measuring below, 20 inches)
(Yates, thus segregated in, crates Miss Katie returned)
(Officer Jones, directed, Yates)
(Officer Jones, separating, fish)
(Officer Jones, separating, fish measuring below 20 inches from rest)
(Officer Jones, separating, fish measuring below 20 inches from rest of catch)
(Officer Jones, leave, fish)
(Officer Jones, issued, citation for possession)
(Officer Jones, issued citation, departing)
(Officer Jones, issued, Yates)
(Officer Jones, issued, citation for possession of undersized fish)
(Officer Jones, issued, citation for possession of fish)
(Officer Jones, issued, citation)
(fish, contained in, crates)
(Officer Jones, measured in, Cortez)
(Officer Jones, later measured in, Cortez)
(Officer Jones, later measured, Miss Katie had docked)
(Officer Jones, measured, Miss Katie had docked)
(fish, contained in, wooden crates)
(fish, brought to, port)
(Yates, had replaced grouper with, fish from rest of catch)
(he, had replaced grouper with, fish from rest of catch)
(Yates, at, direction)
(Yates, had replaced, grouper)
(he, had replaced, tossed grouper)
(he, had replaced, grouper)
(Yates, had replaced grouper with, fish)
(he, had replaced grouper with, fish from rest)
(Yates, had replaced grouper with, fish from rest)
(he, had replaced grouper with, fish)
(Yates, had replaced, tossed grouper)
(he, thrown at, Yates 's direction)
(he, was, indicted)
(he, destroying, property)
(property, prevent seizure in, violation of § 1519.1)
(property, prevent seizure in, violation of § 1519.1 By time)
(property, prevent seizure in, violation)
(property, prevent seizure in, violation)
(length, had, had lowered)
(property, prevent seizure in, violation of § 2232)
(property, prevent, seizure)
(property, prevent seizure in, violation of § 1519.1 By time of indictment)
(he, was indicted On, May 5 2010)
(property, prevent seizure in, violation By time)
(property, prevent seizure in, violation By time of indictment)
(CFR, §, d)
(50 CFR, §, d)
(Yates, was, tried)
(Yates, was tried on, criminal charges)
(Yates, was tried on, charges)
(Yates, was tried on, charges in August 2011)
(Yates, was tried on, criminal charges in August 2011)
(criminal charges, is in, August 2011)
(he, moved At, end of Government 's case in chief)
(he, moved for, judgment)
(Government, of, case in chief)
(Government 's case, is in, chief)
(he, moved on, § 1519 charge)
(he, moved At, end of Government 's case)
(he, moved At, end)
(he, moved for, judgment of acquittal)
(§ 1519, to, title)
(section, sets, documents offense)
(its reference, subsumes, computer hard drives)
(section, sets forth, documents offense)
(drives, things of, nature)
(Yates, Pointing to, § 1519 's title)
(its reference, subsumes, computer drives)
(overnment, pursue, it wished)
(it, prosecute, him)
(1-2, at Section is, a)
(tangible object, is, something)
(tangible object, is, something other than document)
(object, is, something other)
(§ 1519, within, compass)
(tangible object, is, simply something)
(tangible object, is, simply something other than document)
(object, is, something)
(object, is, simply something other)
(object, is, something other than document)
(object, is, simply something)
(object, is, simply something other than document)
(tangible object, is, simply something other)
(tangible object, is, something other)
(misgivings, reading, object)
(misgivings, reading broadly, object)
(misgivings, reading broadly, tangible object)
(misgivings, reading as broadly, tangible object)
(misgivings, reading, tangible object)
(misgivings, reading as broadly, object)
(you, take look at, line of words)
(you, take, look)
(you, take look at, line)
(you, interpret, words)
(you, interpret consistently, words)
(you, opposed to, fish)
(records, are tangible objects in, nature)
(you, 're talking about, documents)
(you, 're talking, opposed)
(tangible objects, is in, nature of document)
(records, are, tangible objects)
(you, 're talking, opposed to fish)
(records, are tangible objects in, nature of document)
(records, are objects in, nature)
(records, are, objects)
(records, are objects in, nature of document)
(judge, controlling, Eleventh Circuit precedent)
(first-instance judge, controlling, Eleventh Circuit precedent)
(language, covering, areas)
(§ 1519, was, passed)
(Congress, is, free)
(Congress, pass, laws)
(§ 1519, was passed as, part)
(§ 1519, was passed as, part of legislation)
(trial court, read, tangible object as independent)
(trial court, read, tangible object as independent of record)
(trial court, read, object as independent)
(trial court, Accordingly read, tangible object)
(trial court, Accordingly read, tangible object as independent of record)
(trial court, read, tangible object)
(trial court, Accordingly read, object)
(trial court, Accordingly read, tangible object as independent)
(trial court, read, object as independent of record)
(trial court, read, object)
(trial court, Accordingly read, object as independent of record)
(trial court, Accordingly read, object as independent)
(court, sentenced Yates for, 30 days)
(court, sentenced, Yates)
(court, followed by, release)
(court, followed by, release for three years)
(court, followed by, supervised release)
(court, sentenced Yates to, imprisonment)
(court, violating, § 2232)
(court, followed by, supervised release for three years)
(Eleventh Circuit, found, plain)
(Eleventh Circuit, found On, appeal)
(object, was undefined in, statute)
(Court, gave, its dictionary definition)
(tangible object, was, undefined)
(object, was, undefined)
(tangible object, was undefined in, statute)
(Black, has, Law Dictionary 1592)
(We, granted, 572 U. S. ___)
(We, granted, certiorari)
(We, granted, 2014)
(Eleventh Circuit, has, judgment)
(Enron, of, massive accounting fraud)
(company 's outside auditor, incriminating, documents)
(company, has, outside auditor)
(company 's auditor, potentially incriminating, documents)
(company 's outside auditor, potentially incriminating, documents)
(company 's auditor, incriminating, documents)
(company, 's auditor is, Arthur Andersen LLP)
(document-shredding, hide, evidence of financial wrongdoing)
(§ 1519, was, intended)
(corporate document-shredding, hide, evidence of financial wrongdoing)
(document-shredding, hide, evidence of wrongdoing)
(corporate document-shredding, hide, evidence of wrongdoing)
(corporate document-shredding, hide, evidence)
(document-shredding, hide, evidence)
(it, offense, intimidat to shred documents)
(Prior law, made, it offense intimidat to shred documents)
(law, made, it offense intimidat)
(it, offense, intimidat)
(Prior law, made, it offense intimidat)
(law, made, it offense intimidat to shred documents)
(Section, cured, conspicuous omission)
(Section, imposing, liability)
(Section 1519, cured, conspicuous omission)
(Section, cured, omission)
(Section 1519, cured, omission)
(Section 1519, imposing, liability)
(new section, expanded law, including matter within jurisdiction)
(section, also expanded, prior law)
(section, expanded law, including matter within jurisdiction)
(section, also expanded, law)
(new section, expanded, prior law)
(new section, also expanded, law)
(new section, also expanded law, including within provision 's reach matter within jurisdiction)
(provision, within, reach)
(section, also expanded law, including within provision 's reach matter within jurisdiction)
(section, expanded, law)
(new section, also expanded, prior law)
(new section, expanded, law)
(section, also expanded law, including matter within jurisdiction)
(section, expanded law, including within provision 's reach matter within jurisdiction)
(new section, expanded law, including within provision 's reach matter within jurisdiction)
(section, expanded, prior law)
(new section, also expanded law, including matter within jurisdiction)
(Government, In, view)
(§ 1519, extends beyond, principal evil)
(§ 1519, extends In, Government 's view)
(§ 1519, extends beyond, evil)
(Yates, urges, placement in particular)
(Yates, urges, reading)
(Yates, tying, object)
(tying, tangible object to, surrounding words)
(tying, object to, surrounding words)
(related provisions, enacted at, time)
(tying, object to, words)
(Yates, urges, provisions enacted at same time)
(related provisions, enacted at, same time)
(Yates, urges, contextual reading)
(Yates, tying, object to words)
(Yates, urges, related provisions enacted)
(Yates, tying, object to surrounding words)
(Yates, urges, reading of § 1519)
(Yates, urges, placement of provision in particular)
(Yates, tying, tangible object to surrounding words)
(Yates, urges, related provisions)
(provisions, enacted at, time)
(provisions, enacted at, same time)
(Yates, urges, placement of provision within Sarbanes-Oxley Act)
(Yates, urges, related provisions enacted at same time)
(tying, tangible object to, words)
(Yates, urges, contextual reading of § 1519)
(Yates, urges, placement)
(Yates, urges, provisions enacted at time)
(placement, is in, particular)
(Yates, tying, tangible object to words)
(Yates, urges, provisions)
(Yates, urges, placement of provision)
(Yates, urges, provisions enacted)
(Yates, urges, related provisions enacted at time)
(Yates, tying, tangible object)
(Yates, urges, placement of provision within Sarbanes-Oxley Act in particular)
(information, is, stored)
(We, agree with, Yates)
(We, reject, Government 's unrestrained reading)
(Government, has, unrestrained reading)
(We, reject, Government 's reading)
(Tangible object, is in, § 1519)
(meaning, is, discrete)
(Webster, 's Dictionary is, 2002)
(Black, has, Law Dictionary 1683)
(Webster, has, Third New International Dictionary 1555)
(tangible object, covers, waterfront)
(object, covers, waterfront including fish)
(Government, concludes From, premise)
(tangible object, covers, waterfront including fish)
(object, covers, waterfront)
(tangible object, covers, waterfront including fish from sea)
(object, covers, waterfront including fish from sea)
(term, appears in, § 1519)
(statutory term, is, unambiguous)
(term, is, unambiguous)
(ambiguity, is determined by, reference to language)
(ambiguity, is, determined)
(ambiguity, is determined by, reference)
(language, is, used)
(ambiguity, is determined by, reference to language itself)
(it, is, fundamental)
(word, has, usage accords with dictionary definition)
(word 's usage accords, is with, its dictionary definition)
(same words, however mean, different things)
(words, however mean things In, law as in life)
(words, sometimes mean things In, law)
(words, sometimes mean things In, law as in life)
(same words, however sometimes mean, different things)
(words, however sometimes mean, different things)
(words, however mean things In, law)
(words, however sometimes mean things In, law)
(same words, however sometimes mean things In, law)
(words, sometimes mean, things)
(same words, however mean things In, law)
(same words, mean things In, law)
(same words, placed in, different contexts)
(words, mean, different things)
(same words, however sometimes mean, things)
(same words, mean things In, law as in life)
(words, placed in, different contexts)
(same words, however mean, things)
(words, mean, things)
(same words, however sometimes mean things In, law as in life)
(words, sometimes mean, different things)
(same words, placed in, contexts)
(words, however mean, different things)
(same words, sometimes mean things In, law)
(same words, mean, different things)
(law, is in, as life)
(words, however sometimes mean things In, law as in life)
(words, placed in, contexts)
(words, mean things In, law as in life)
(words, however mean, things)
(words, however sometimes mean, things)
(same words, sometimes mean, different things)
(same words, however mean things In, law as in life)
(same words, sometimes mean things In, law as in life)
(words, mean things In, law)
(same words, mean, things)
(same words, sometimes mean, things)
(identical language, convey content in, sometimes even provisions)
(language, convey content in, even different provisions)
(language, convey content in, even provisions of statute)
(identical language, convey content in, sometimes even provisions of statute)
(identical language, convey content in, provisions of statute)
(identical language, convey content in, different provisions of same statute)
(identical language, convey content in, provisions)
(language, convey content in, provisions)
(identical language, convey, content)
(identical language, convey content in, even provisions)
(language, convey content in, even different provisions of statute)
(identical language, convey, varying content)
(language, convey, content)
(identical language, used in, statutes)
(language, convey content in, different provisions of same statute)
(identical language, convey content in, even provisions of statute)
(language, convey content in, even different provisions of same statute)
(identical language, convey content in, different provisions)
(language, convey content in, provisions of same statute)
(language, convey content in, even provisions of same statute)
(identical language, convey content in, sometimes even different provisions of same statute)
(language, convey content in, sometimes even provisions)
(identical language, convey content in, sometimes even provisions of same statute)
(language, convey, varying content)
(language, convey content in, sometimes even provisions of statute)
(identical language, convey content in, even different provisions)
(language, used in, statutes)
(language, convey content in, even provisions)
(language, convey content in, different provisions of statute)
(identical language, convey content in, different provisions of statute)
(language, convey content in, sometimes even different provisions of same statute)
(language, convey content in, sometimes even different provisions of statute)
(language, used in, different statutes)
(identical language, convey content in, sometimes even different provisions)
(language, convey content in, sometimes even provisions of same statute)
(identical language, convey content in, sometimes even different provisions of statute)
(identical language, convey content in, even provisions of same statute)
(identical language, convey content in, even different provisions of statute)
(identical language, convey content in, provisions of same statute)
(identical language, convey content in, even different provisions of same statute)
(identical language, used in, different statutes)
(language, convey content in, sometimes even different provisions)
(language, convey content in, different provisions)
(language, convey content in, provisions of statute)
(FAA, slip at, 6-7)
(different meanings, is in, different sections of Title VII of Civil Rights Act of 1964)
(General Dynamics Land Systems, Inc. v., Cline)
(different meanings, is in, different provisions of Age Discrimination)
(different meanings, is in, U. S. Const.)
(different meanings, is in, different provisions of National Bank Act)
(Age Discrimination, is in, Employment Act of 1967)
(Columbia, of District is, 409 U. S. 418)
(different meanings, is in, 42 U. S. C. § 1982)
(Columbia, of District is, 420-421 1973)
(Court, observed at, 433)
(Court, observed in, 286 U. S.)
(Court, observed in, Atlantic Cleaners)
(words, have, shades)
(Most words, have, different shades)
(Most words, have, shades of meaning)
(Most words, have, shades)
(words, have, different shades of meaning)
(words, be, construed)
(words, be, consequently variously construed)
(Most words, be, consequently variously construed)
(Most words, be, variously construed)
(Most words, be, construed)
(Most words, be, consequently construed)
(words, be, variously construed)
(words, have, shades of meaning)
(words, have, different shades)
(words, be, consequently construed)
(Most words, have, different shades of meaning)
(conditions, are, different)
(purposes, are, expressed)
(meaning, meet purposes, arrived at)
(scope, is broader than, that exercised in another)
(meaning, meet, purposes)
(scope, is broader than, that exercised)
(meaning, meet purposes, arrived)
(scope, is broader than, that)
(meaning, meet purposes, arrived at by consideration)
(meaning, meet purposes, arrived by consideration)
(scope, is, broader)
(meaning, meet, purposes of law)
(language, was, employed)
(appearance, is in, Federal Rule of Criminal Procedure 16)
(accord, is with, dictionary definitions)
(Government, within, control)
(Rule, requires, prosecution)
(defendant, has, request inspect)
(Rule 16, has, reference to tangible objects)
(Rule 16, is, discovery rule)
(Rule, is, discovery rule)
(Rule, is, discovery rule designed)
(Rule 16, is, discovery rule designed)
(comprehensive construction, is fitting In, context)
(construction, is, fitting)
(construction, is fitting In, context)
(comprehensive construction, is, fitting)
(tangible object, is in, relation to request for information relevant to specific court proceeding)
(§ 1519, is provision, refers)
(§ 1519, is penal provision, refers)
(1519, is, penal)
(penal provision, is In, contrast)
(meaning, as broad as, its dictionary definition)
(meaning, broad as, its dictionary definition)
(context, is in, strongly favor of narrower reading)
(they, appear in, § 1519)
(records, is in, Federal investigations)
(We, note, § 1519 's caption)
(We, note, first § 1519 's caption)
(addresses, subset of, records)
(addresses, only subset of, records)
(addresses, specific subset of, records)
(addresses, only specific subset of, records)
(he title, are, tools available)
(heading, are, tools)
(he, See, United States)
(section, heading of are, tools available)
(he title, are, tools)
(section, heading of are, tools)
(heading, are, tools available)
(he title, are, tools available for resolution)
(statute, title of are, tools)
(he, See, 523 U. S. 224 234 1998)
(statute, title of are, tools available)
(statute, title of are, tools available for resolution)
(he, See, U. S. 224 1998)
(he, See, U. S. 224 234 1998)
(he, See, 523 U. S. 224 1998)
(Congress, make, § 1519 all-encompassing ban)
(Congress, make, § 1519 ban on spoliation of evidence)
(Congress, make, § 1519 all-encompassing ban on spoliation)
(Congress, make, § 1519 ban)
(Congress, indeed meant, dissent believes)
(Congress, make, § 1519 ban on spoliation)
(Congress, make, § 1519 all-encompassing ban on spoliation of evidence)
(Congress, meant, dissent believes)
(Section 1519, has, position within Chapter 73 of Title 18)
(acts, relating to, proceedings)
(obstructive acts, relating broadly to, proceedings)
(acts, relating to, official proceedings)
(obstructive acts, relating to, official proceedings)
(obstructive acts, relating broadly to, official proceedings)
(acts, relating broadly to, proceedings)
(obstructive acts, relating to, proceedings)
(acts, relating broadly to, official proceedings)
(informant, is in, official proceeding)
(Congress specialized provisions, aimed at, fraud)
(Congress provisions, aimed at, fraud)
(Congress specialized provisions, expressly aimed at, fraud)
(Congress provisions, aimed at, corporate fraud)
(Congress specialized provisions, expressly aimed at, corporate fraud)
(Congress specialized provisions, aimed at, corporate fraud)
(Congress provisions, expressly aimed at, fraud)
(Congress provisions, expressly aimed at, corporate fraud)
(Congress ' conception, was, limited)
(Congress ' conception, was limited than, Government 's .4)
(Congress ' conception, was more limited than, Government 's .4)
(Congress ' conception, was, considerably limited)
(§ 1519, of, coverage)
(Congress ' conception, was considerably limited than, Government 's .4)
(Congress ' conception, was, considerably more limited)
(placement accords, is with, view)
(Government, than, .4)
(Congress ' conception, was considerably more limited than, Government 's .4)
