(February 29 2016, Decided at_time, June 27 2016)
(formal revision, is in, preliminary print of United States Reports)
(opinion, is subject to, revision before publication in preliminary print)
(opinion, is subject to, formal revision before publication in preliminary print)
(opinion, is subject to, formal revision before publication in print of United States Reports)
(opinion, is subject to, revision before publication)
(opinion, is subject to, formal revision in print)
(opinion, is, subject)
(opinion, is subject to, revision in preliminary print)
(opinion, is subject to, revision before publication in print)
(opinion, is subject to, formal revision in preliminary print of United States Reports)
(opinion, is subject to, revision before publication in preliminary print of United States Reports)
(opinion, is subject to, revision in preliminary print of United States Reports)
(opinion, is subject to, formal revision before publication in print)
(opinion, is subject to, revision before publication in print of United States Reports)
(opinion, is subject to, formal revision before publication in preliminary print of United States Reports)
(Readers, notify, Reporter)
(Readers, notify, Reporter of Decisions)
(Supreme Court, is in, order)
(Readers, are, requested)
(typographical formal errors, of States is, Washington)
(typographical formal errors, of States is, D. C. 20543)
(WILLIAM E. ARMSTRONG, PETITIONERS v., UNITED STATES)
(JUSTICE KAGAN, delivered, opinion of Court)
(JUSTICE KAGAN, delivered, opinion)
(Federal law, prohibits, person convicted of misdemeanor crime of domestic violence)
(Federal law, possessing, firearm)
(phrase, is, defined)
(Congress, close, loophole in gun control laws)
(Congress, close, dangerous loophole)
(Congress, close, dangerous loophole in gun control laws)
(Congress, close, loophole)
(dangerous loophole, is in, gun control laws)
(provision, already barred, felons)
(existing provision, possessing, firearms)
(existing provision, barred, convicted felons)
(provision, barred, convicted felons)
(provision, possessing, firearms)
(existing provision, already barred, convicted felons)
(existing provision, barred, felons)
(provision, already barred, convicted felons)
(provision, barred, felons)
(existing provision, already barred, felons)
(irearms, are, deadly)
(domestic strife, are, potentially deadly combination)
(f irearms, are, potentially deadly combination)
(strife, are, combination)
(strife, are, deadly combination)
(domestic strife, are, combination)
(f irearms, are, combination)
(strife, are, deadly)
(domestic strife, are, deadly combination)
(f irearms, are, deadly combination)
(strife, are, potentially deadly combination)
(427, at Hayes is, 555 U. S.)
(Congress, added, 9)
(Congress, Accordingly added, 9)
(phrase, is in, § 921)
(person, is with, specified domestic relationship)
(specified domestic relationship, is with, victim)
(Court, considered in, case)
(Court, ago considered scope in, case)
(Court, considered, scope of definition)
(Court, ago considered in, case)
(Court, considered scope in, case)
(involving, conviction for, assault)
(Court, ago considered, scope)
(Court, considered, scope)
(Court, ago considered, scope of definition)
(involving, conviction for, knowing assault)
(we, initially held In, Castleman)
(word force, bears, its common-law meaning)
(we, held In, Castleman)
(word force, is in, § 921)
(force, application of is, use)
(force, knowing or intentional application of is, use of force)
(application, is, use)
(application, is use of, force)
(such force, application of is, use)
(force, knowing or intentional application of is, use)
(such force, knowing or intentional application of is, use)
(such force, knowing or intentional application of is, use of force)
(assault, also qualifies as, use)
(reckless assault, also qualifies as, use of force)
(reckless assault, also qualifies as, use)
(assault, qualifies as, use of force)
(we, left, open)
(we, expressly left, open)
(reckless assault, qualifies as, use)
(reckless assault, qualifies as, use of force)
(assault, also qualifies as, use of force)
(assault, qualifies as, use)
(us, now raise, issue)
(us, raise, issue)
(it, misdemeanor to, intentionally)
(Petitioner Stephen Voisine, pleaded, guilty)
(Petitioner Stephen Voisine, pleaded in, 2004)
(Petitioner Stephen Voisine, assaulting, his girlfriend)
(Voisine, again found, himself)
(Voisine, found, himself)
(Voisine, later again found, himself)
(Voisine, later found, himself)
(Voisine, owned, rifle)
(Government, charged, him)
(background check, turned up, his misdemeanor conviction)
(Government, violating, g)
(background check, turned up, his prior misdemeanor conviction)
(Government, violating, 18 U. S. C. § 922)
(Government, violating, 9)
(it, commit, assault prohibited)
(it, commit, assault prohibited by § 207)
(it, commit, assault)
(Petitioner William Armstrong, pleaded in, 2008)
(Petitioner William Armstrong, pleaded, guilty)
(Voisine, was, convicted)
(assault, prohibited by, § 207)
(it, commit assault against, family)
(Petitioner William Armstrong, assaulting, his wife)
(law enforcement officers, searched, Armstrong 's home)
(Armstrong, has, home)
(law enforcement officers, later searched, Armstrong 's home)
(They, discovered, six guns)
(They, discovered, quantity of ammunition)
(They, discovered, large quantity)
(They, discovered, large quantity of ammunition)
(They, discovered, quantity)
(Armstrong, was, Like Voisine charged under § 922)
(Armstrong, unlawfully possessing, firearms)
(Armstrong, possessing, firearms)
(Armstrong, was charged Like, Voisine)
(Armstrong, was charged under, 9)
(Armstrong, was charged under, § 922)
(Armstrong, was, charged)
(Armstrong, was charged under, g)
(District Court, rejected, claims)
(petitioner, entered, guilty plea conditioned)
(District Court, has, ruling)
(petitioner, entered, guilty plea)
(petitioner, entered, plea)
(petitioner, entered, plea conditioned)
(petitioner, entered, guilty plea conditioned on right appeal)
(petitioner, entered, plea conditioned on right appeal)
(offense, qualify under, 9)
(offense, qualify as, misdemeanor crime)
(offense, qualify under, § 922)
(offense, is with, mens rea of recklessness)
(Court, affirmed, two convictions)
(offense, qualify as, misdemeanor crime of violence)
(offense, qualify under, g)
(United States, see, Voisine)
(United States, see, 495 Fed)
(United States, see, United States)
(Armstrong, filed, petition)
(Armstrong, issuing, Castleman)
(further consideration, is in, light of decision)
(Castleman, remanded cases for, consideration)
(Castleman, remanded cases for, further consideration in light of decision)
(Armstrong, shortly issuing, Castleman)
(Castleman, remanded cases for, further consideration in light)
(First Circuit, has, judgments)
(Castleman, remanded cases for, consideration in light)
(Castleman, remanded cases for, consideration in light of decision)
(First Circuit 's judgments, Court without, opinion)
(Castleman, remanded cases for, further consideration)
(Castleman, remanded, cases)
(Court, vacated, First Circuit 's judgments)
(Voisine, filed, petition)
(Voisine, filed, joint petition)
(Court, again upheld, convictions)
(Court, upheld convictions On, remand)
(Court, upheld convictions on, same ground)
(Court, upheld, convictions)
(Court, again upheld convictions on, ground)
(Court, again upheld convictions on, same ground)
(Court, again upheld convictions On, remand)
(Court, upheld convictions on, ground)
(We, granted, certiorari)
(We, granted, 577 U. S. ___)
(it, does, knowing)
(it, knowing, ones)
(conduct, cause harm to, another)
(conduct, cause, harm)
(mind, of state is, rea)
(act 's consequences, is in, first case aware)
(act, has, consequences in first case aware)
(assault, qualifies under, 9)
(text, alike lead, us)
(assault, qualifies as, misdemeanor crime)
(domestic assault, qualifies under, g)
(domestic assault, qualifies under, § 922)
(background, alike lead, us)
(reckless domestic assault, qualifies under, 9)
(reckless assault, qualifies as, misdemeanor crime of domestic violence)
(domestic assault, qualifies under, 9)
(domestic assault, qualifies as, misdemeanor crime)
(reckless domestic assault, qualifies under, § 922)
(background, lead, us)
(reckless domestic assault, qualifies as, misdemeanor crime)
(domestic assault, qualifies as, misdemeanor crime of domestic violence)
(reckless assault, qualifies under, § 922)
(reckless domestic assault, qualifies as, misdemeanor crime of violence)
(reckless domestic assault, qualifies under, g)
(Statutory text, alike lead, us)
(text, lead, us)
(reckless assault, qualifies under, g)
(Statutory text, lead, us)
(assault, qualifies as, misdemeanor crime of violence)
(reckless assault, qualifies as, misdemeanor crime of violence)
(assault, qualifies under, § 922)
(assault, qualifies under, g)
(reckless assault, qualifies under, 9)
(domestic assault, qualifies as, misdemeanor crime of violence)
(assault, qualifies as, misdemeanor crime of domestic violence)
(reckless domestic assault, qualifies as, misdemeanor crime of domestic violence)
(reckless assault, qualifies as, misdemeanor crime)
(Congress, defined, phrase)
(Reckless assaults, less than, knowing ones)
(Congress, prohibit, abusers convicted under misdemeanor assault)
(Congress, enacted, g)
(Congress, prohibit, domestic abusers convicted)
(abusers, convicted under, misdemeanor assault)
(Congress, prohibit, abusers convicted)
(Congress, prohibit, domestic abusers convicted under misdemeanor assault)
(abusers, convicted under, run-of-the-mill misdemeanor assault)
(domestic abusers, convicted under, run-of-the-mill misdemeanor assault)
(Congress, prohibit, domestic abusers)
(Congress, prohibit, abusers convicted under run-of-the-mill misdemeanor assault)
(domestic abusers, convicted under, misdemeanor assault)
(Congress, prohibit, abusers)
(Congress, prohibit, domestic abusers convicted under run-of-the-mill misdemeanor assault)
(Congress, Further enacted, g)
(provision 's design, construing, g)
(provision 's design, construing, 9)
(provision 's design, construing, § 922)
(provision, has, design)
(two-thirds, extend to, recklessness)
(party, thinks, relevant)
(Nothing, is in, word use)
(Webster, has, New International Dictionary 2806)
(Black, has, Law Dictionary 1541)
(thing, been made, user 's instrument)
(user, has, instrument)
(word use, is in, context)
(his grip, person with, hands)
(his grip, person with, soapy hands)
(person, is with, soapy hands)
(person, loses, his grip)
(his wife, shard from, plate)
(shard, ricochet, his wife)
(he, hold, open)
(he, is trying, hold)
(he, is trying, hold for his girlfriend)
(he, hold for, his girlfriend)
(he, slams, door shut with his girlfriend)
(he, slams, door shut)
(he, slams, door)
(example, use of, physical force)
(example, use of, force)
(example, involves, use of physical force)
(example, involves, use of force)
(example, involves, use)
(nothing, is in, Leocal)
(use, line between, reckless)
(use, marks, line between reckless)
(nothing, suggests conclusion contrary to, petitioners ' view)
(use, marks, dividing line)
(nothing, suggests, conclusion)
(use, dividing line between, reckless)
(use, marks, dividing line between reckless)
(nothing, suggests contrary to, petitioners ' view)
(use, marks, line)
(U. S. C., §, 16)
(18 U. S. C., §, 16)
(reasoning, accords with, our analysis here)
(reasoning, fully accords with, our analysis here)
(reasoning, fully accords with, our analysis)
(reasoning, accords with, our analysis)
(reasoning accords, is with, our analysis here)
(injury, arising from, it)
(Conduct, is, true)
(injury, so too arising from, it)
(injury, too arising from, it)
(acts, undertaken with, awareness)
(Leocal, indeed recognized, distinction)
(definition, is in, § 16)
(definition, embraces, conduct)
(conduct, definition in, § 16)
(conduct, see, 543 U. S. at 13)
(we, does, .4)
(reckless conduct, see, 543 U. S. at 13)
(Leocal, reserving, issue)
(Leocal, specifically reserving, issue)
(conduct, see, 543 U. S.)
(definition, embraces, reckless conduct)
(reckless conduct, see, 543 U. S.)
(§ 921 A, does, .4)
(reckless conduct, definition in, § 16)
(Leocal, recognized, distinction)
(Congress, has, definition of misdemeanor crime of violence)
(text, prohibiting, petitioners)
(others, is with, similar criminal records)
(relevant text, prohibiting, petitioners)
(Congress, enacted, g)
(___, at Castleman is, 572 U. S.)
(426-427, at Hayes is, 555 U. S.)
(2, at Castleman is, 572 U. S.)
(7a-19a, collecting, statutes)
(mens rea, establish, criminal liability)
(mens rea, establish, criminal liability including for assault)
(Model Penal Code, had taken, position)
(Model Penal Code, earlier had taken, position)
(mens rea, establish, liability)
(mens rea, establish, liability including for assault)
(States, quickly incorporated, that)
(States, incorporated, that)
(Congress, linking, § 922)
(Congress, linking, g)
(Congress, linking, 9)
(it, misdemeanor to, intentionally knowingly)
(Maine, has, statute)
(it, misdemeanor to, intentionally)
(single crime, Assuming, provision)
(crime, Assuming, provision)
(we, construe, § 921 A)
(we, construe so, § 921 A)
(we, declined In, Castleman)
(petitioners ' view, would jeopardize, many)
(petitioners ' view, would jeopardize, § 922 9 's force)
(we, ignore, battery laws)
(Congress, enacted, g)
(we, ignore, assault)
(they, construing, statute)
(common law, defined, crimes)
(law, defined, crimes)
(law, defined crimes in, age)
(common law, defined crimes in, age)
(law, defined crimes in, earlier age)
(common law, defined crimes in, earlier age)
(law, required, mens rea)
(common law, required, mens rea)
(law, required, mens rea greater than recklessness)
(common law, required, mens rea greater)
(common law, required, mens rea greater than recklessness)
(law, required, mens rea greater)
(Congress, Once again passed, g)
(Congress, take guns in, general use)
(Congress, take guns out of, hands of abusers convicted under misdemeanor assault laws)
(general use, is in, States)
(Congress, take guns in, use in States)
(Congress, take guns out of, hands of abusers convicted)
(Congress, passed, g)
(Congress, take guns in, use)
(Congress, take guns out of, hands)
(Congress, take guns out of, hands of abusers)
(Congress, again passed, g)
(Congress, take guns in, general use in States)
(Congress, take, guns)
(common law, has, approach to mens rea drafting)
(Model Penal Code, following, lead)
(most, Indeed had gone down, road decades)
(most, had gone down, road decades before)
(most, had gone down, road decades)
(most, Indeed had gone down, road decades before)
(Congress, was, legislating)
(Congress, enacting, § 922)
(Congress, wished, look beyond real world)
(Congress, wished, look)
(Congress, enacting, 9)
(Congress, wished, look beyond world)
(Congress, look beyond, world)
(Congress, look beyond, real world)
(Congress, enacting, g)
(Congress, has, aim)
(courts, did begin in, mid)
(courts, address behavior in, terms)
(courts, did begin in, mid to late-1800 's)
(courts, address, behavior)
(idea, is in, its conceptual framework)
(Recklessness, idea in, its conceptual framework)
(Recklessness, idea in, its framework)
(courts, did begin in, only mid)
(courts, address, reckless behavior)
(courts, did begin in, only mid to late-1800 's)
(230, at Code is, Comment 1)
(we, describe as, fits)
(Government 's ones, resolving, counterfactual question)
(conduct, is, anyone 's guess)
(Government, has, competing ones)
(Government 's competing ones, resolving, question)
(we, describe as, reckless fits)
(we, describe into, obscure scheme)
(we, describe at_time, today)
(Government 's ones, resolving, question)
(Government 's competing ones, resolving, counterfactual question)
(we, describe into, scheme)
(conduct, is, where anyone 's guess)
(indeterminacy, confirms, our conclusion)
(provision, corresponds to, misdemeanor assault)
(provision, corresponds to, misdemeanor assault used)
(provision, corresponds to, ordinary misdemeanor assault used)
(provision, instead corresponds to, misdemeanor assault)
(provision, instead corresponds to, ordinary misdemeanor assault)
(provision, corresponds regardless to, misdemeanor assault)
(provision, instead corresponds regardless to, misdemeanor assault)
(provision, corresponds regardless to, misdemeanor assault used)
(provision, instead corresponds regardless to, misdemeanor assault used)
(provision, instead corresponds to, ordinary misdemeanor assault used)
(provision, corresponds to, ordinary misdemeanor assault)
(provision, instead corresponds to, misdemeanor assault used)
(ban, applies to, person)
(federal ban, applies to, person)
(We, affirm, judgment of Court of Appeals)
(We, affirm, judgment of Court)
(We, accordingly affirm, judgment of Court)
(We, affirm, judgment)
(We, accordingly affirm, judgment)
(We, accordingly affirm, judgment of Court of Appeals)
(It, is, ordered)
(It, is, so ordered)
(WILLIAM E. ARMSTRONG, PETITIONERS v., UNITED STATES)
(JUSTICE SOTOMAYOR, joins as to, Parts I)
(firearm, is in, commerce)
(Federal law, makes, it crime)
(Federal law, makes, it crime convicted of misdemeanor crime)
(Federal law, makes, it crime for anyone previously convicted of misdemeanor crime of domestic violence)
(Federal law, makes, it crime previously convicted)
(it crime, convicted of, misdemeanor crime violence)
(Federal law, makes, it crime convicted of misdemeanor crime of domestic violence)
(Federal law, makes, it crime for anyone convicted of misdemeanor crime of domestic violence)
(it crime, convicted of, misdemeanor crime)
(it, convicted of, misdemeanor crime of domestic violence)
(it crime, previously convicted of, misdemeanor crime domestic violence)
(it crime, previously convicted of, misdemeanor crime)
(it, crime for, anyone)
(Federal law, makes, it crime for anyone)
(Federal law, makes, it crime convicted)
(Federal law, makes, it crime for anyone convicted of misdemeanor crime)
(it crime, previously convicted of, misdemeanor crime violence)
(it, previously convicted of, misdemeanor crime of violence)
(it, convicted of, misdemeanor crime of violence)
(it, previously convicted of, misdemeanor crime of domestic violence)
(Federal law, makes, it crime for anyone convicted of misdemeanor crime of violence)
(Federal law, makes, it crime previously convicted of misdemeanor crime of domestic violence)
(Federal law, makes, it crime previously convicted of misdemeanor crime)
(Federal law, makes, it crime for anyone previously convicted)
(Federal law, makes, it crime for anyone convicted)
(Federal law, makes, it crime for anyone previously convicted of misdemeanor crime of violence)
(Federal law, makes, it crime previously convicted of misdemeanor crime of violence)
(it, previously convicted of, misdemeanor crime)
(it crime, convicted of, misdemeanor crime domestic violence)
(it, convicted of, misdemeanor crime)
(Federal law, makes, it crime convicted of misdemeanor crime of violence)
(Federal law, makes, it crime for anyone previously convicted of misdemeanor crime)
(misdemeanor crime, includes, offense)
(they, had, convictions for assault)
(Maine, under, statute prohibiting)
(they, possessed, firearms)
(they, had convictions under, Maine 's statute prohibiting)
(petitioners, were, convicted)
(they, had convictions under, Maine 's statute)
(they, had, convictions)
(they, had, prior convictions)
(conviction, can strip, someone)
(majority, errs, holding otherwise)
(majority, errs, holding)
(Maine assault statute, must have, qualify as misdemeanor crime)
(Maine assault statute, must have as, element)
(Maine assault statute, must have, qualify)
(Maine assault statute, must have, qualify as misdemeanor crime of domestic violence)
(Maine assault statute, must have, qualify as misdemeanor crime of violence)
(Maine assault statute, qualify as, misdemeanor crime)
(Maine assault statute, qualify as, misdemeanor crime of domestic violence)
(Maine assault statute, qualify as, misdemeanor crime of violence)
(recklessness, is, sufficient)
(recklessness, sustain, conviction)
(mere recklessness, is, sufficient thus)
(recklessness, is, sufficient thus)
(mere recklessness, sustain, conviction)
(conviction, use of, physical force)
(mere recklessness, is, sufficient)
(features, establish of, 33)
(use, requires, intentional conduct)
(intentional conduct, use of, force)
(conduct, use of, physical force)
(conduct, use of, force)
(Three features, establish of, § 921)
(use, requires, conduct)
(intentional conduct, use of, physical force)
(features, establish of, § 921)
(Three features, establish of, 33)
(word use, is, read)
(word use, require, conduct)
(word use, is, First best read)
(word use, is in, provision)
(word use, is, First read)
(word use, require, intentional conduct)
(word use, is, best read)
(use, is, act)
(he, employing, thing for purpose)
(use, is, therefore inherently intentional act)
(use, is, intentional act)
(use, is, therefore act)
(use, is, therefore intentional act)
(use, is, act)
(use, is, intentional)
(use, is, inherently intentional act)
(Torts, of Restatement is, Second)
(We, have defined, use)
(conduct, be, intentional)
(We, have routinely defined, use)
(example, for S. is, 1995)
(more, use of, force)
(use, requires, more)
(use, requires, more than negligent)
(one, actively employ something in, manner)
(one, actively employ something in, theory)
(one, actively employ something in, accidental manner)
(one, employ something in, theory)
(it, is, less natural)
(one, employ something in, accidental manner)
(it, is, natural)
(one, employ something in, manner)
(it, is, much less natural)
(one, employ, something)
(one, actively employ, something)
(firearm, shooting, gun)
(148, at Bailey is, supra)
(one, in, trunk)
(gun, is in, trunk)
(force, generally connotes, use of violence against another)
(force, generally connotes, use)
(force, generally connotes, use of violence)
(force, is in, especially legal context)
(force, connotes, use)
(force, generally connotes, use against another)
(force, connotes, use against another)
(force, connotes, use of violence)
(force, connotes, use of violence against another)
(Black 's Law Dictionary, defines force, mean)
(Black, has, Law Dictionary)
(pressure, directed against, person)
(Black 's Law Dictionary, defines force for, example)
(Black 's Law Dictionary, defines, force)
(Black, has, Law)
(dictionaries, offer, definitions)
(Other dictionaries, offer, definitions)
(dictionaries, offer, similar definitions)
(Other dictionaries, offer, similar definitions)
(E.g., Dictionary of, English Language 748)
(unlawful violence, committed against, persons)
(violence, committed against, persons)
(Black, has, Law Dictionary 1564)
(force, exercised with, intent harm)
(physical force, exercised with, intent harm)
(physical force, unlawfully exercised with, intent harm)
(force, unlawfully exercised with, intent harm)
(use, connotes, intentional act)
(intentional act, use of, physical force)
(act, use of, force)
(use, connotes, act)
(intentional act, use of, force)
(act, use of, physical force)
(Section prohibitions, also include, use of weapon)
(Section 921 prohibitions, include, threatened use of deadly weapon)
(Section prohibitions, also include, threatened use of deadly weapon)
(Section 921 prohibitions, include, use of deadly weapon)
(Section prohibitions, include, use)
(Section prohibitions, also include, use of deadly weapon)
(Section 921 prohibitions, include, threatened use of weapon)
(Section prohibitions, also include, threatened use)
(Section prohibitions, include, use of weapon)
(Section prohibitions, include, threatened use of weapon)
(Section prohibitions, include, use of deadly weapon)
(Section 921 prohibitions, also include, threatened use)
(Section prohibitions, include, threatened use)
(Section 921 prohibitions, also include, use of weapon)
(Section 921 prohibitions, also include, threatened use of deadly weapon)
(Section 921 prohibitions, include, use)
(Section 921 prohibitions, also include, use)
(Section prohibitions, include, threatened use of deadly weapon)
(Section 921 prohibitions, include, threatened use)
(Section 921 prohibitions, include, use of weapon)
(Section prohibitions, also include, threatened use of weapon)
(Section prohibitions, also include, use)
(Section 921 prohibitions, also include, use of deadly weapon)
(Section 921 prohibitions, also include, threatened use of weapon)
(use, is In, neighboring prohibition)
(it, would, would odd)
(use, is in, provision)
(same words, is in, statute)
(use, refers to, acts against family member)
(use, Thus refers to, acts)
(use, Thus refers to, intentional acts)
(use, refers to, acts of violence)
(use, refers to, intentional acts against family member)
(use, Thus refers to, intentional acts against family member)
(use, refers to, intentional acts)
(use, Thus refers to, intentional acts of violence)
(use, Thus refers to, acts against family member)
(use, Thus refers to, acts of violence)
(use, Thus refers to, intentional acts of violence against family member)
(use, refers to, intentional acts of violence against family member)
(use, Thus refers to, acts of violence against family member)
(use, refers to, intentional acts of violence)
(use, refers to, acts)
(use, refers to, acts of violence against family member)
(Maine, has, assault statute)
(Maine statute, lack use as, required element)
(Maine statute, lack use as, required element)
(attempted use, use of, force)
(use, use of, force)
(Maine statute, lack use as, element)
(Maine statute, lack use as, element)
(Maine statute, lack, attempted use)
(use, use of, physical force)
(Maine statute, lack, use of physical force)
(Maine statute, lack, use of force)
(Maine statute, lack, use)
(Maine statute, lack, use)
(attempted use, use of, physical force)
(Maine, has, statute)
(Section, criminalizes, recklessly caus bodily injury)
(Section, criminalizes, recklessly caus injury)
(Section 207, criminalizes, offensive contact)
(Section 207, criminalizes, recklessly caus bodily injury)
(Section, criminalizes, offensive physical contact)
(Section 207, criminalizes, offensive physical contact)
(Section, criminalizes, caus bodily injury)
(Section, criminalizes, caus injury)
(Section 207, criminalizes, caus bodily injury)
(Section 207, criminalizes, contact)
(Section, criminalizes, offensive contact)
(Section 207, criminalizes, caus injury)
(Section 207, criminalizes, physical contact)
(Section, criminalizes, physical contact)
(Section, criminalizes, contact)
(Section 207, criminalizes, recklessly caus injury)
(conduct, recklessly injuring, passenger)
(conduct, injuring passenger, texting)
(conduct, recklessly injuring passenger, texting)
(conduct, injuring, passenger)
(Maine statute, criminalizing, reckless conduct)
(language, charging, documents)
(statutory language, charging, documents)
(Maine 's statute, Accordingly appears, treat)
(Maine, has, statute)
(Maine 's statute, appears, treat)
(petitioners ' convictions, be, accordingly should reversed)
(petitioners ' convictions, be, should reversed)
(Maine, has, assault statute)
(Maine 's assault statute, is, divisible)
(statutory interpretation question, is in, first instance)
(First Circuit, determine, that)
(Court, vacate, First Circuit determine)
(Court, vacate, divisible)
(person, can throw, punch)
(I, part, ways)
(person, can throw, person)
(I, part, ways with majority)
(person, apply First, force .2)
(person, can intentionally throw, punch)
(I, ways with, majority)
(person, create, force)
(person, apply, force .2)
(person, crash, his car)
(person, can intentionally throw, person)
(ways, is with, majority)
(person, Second can intentionally or recklessly harm object as, result)
(person, can or harm, person)
(person, can harm person as, result of force)
(person, can or harm object as, result of force)
(person, can intentionally or recklessly harm object as, result)
(person, Second can harm object as, result of force)
(person, Second can or harm object as, result)
(person, Second can harm, particular person)
(person, can or recklessly harm, particular person)
(person, Second can or recklessly harm person as, result of force)
(person, can or harm object as, result)
(person, can or harm person as, result)
(person, Second can or harm object as, result of force)
(person, can harm, object)
(person, can intentionally or harm object as, result of force)
(person, Second can intentionally or recklessly harm person as, result)
(person, Second can harm, object)
(person, can harm, person)
(person, Second can or harm person as, result)
(person, Second can intentionally or harm, person)
(person, Second can intentionally or recklessly harm object as, result of force)
(person, Second can harm person as, result)
