(UNITED STATES, v. MARINELLO is, 2018)
(opinion, is subject to, formal revision before publication in preliminary print of United States Reports)
(Readers, notify, Reporter)
(Readers, notify, Reporter of Decisions)
(Supreme Court, is in, order)
(Readers, are, requested)
(typographical formal errors, of States is, Washington)
(typographical formal errors, of States is, D. C. 20543)
(Justice Breyer, delivered, opinion of Court)
(Justice Breyer, delivered, opinion)
(clause, makes, it felony corruptly or)
(Internal Revenue Code, of 7212 is, a)
(clause, is in, § 7212 of Internal Revenue Code)
(clause, makes, it felony)
(clause, makes, it felony or)
(question, concerns, breadth)
(question, here concerns, breadth of statutory phrase)
(question, concerns, breadth of phrase)
(question, here concerns, breadth)
(question, here concerns, breadth of phrase)
(question, concerns, breadth of statutory phrase)
(it, does have, narrower scope)
(it, does have, scope)
(due administration, is In, our view)
(clause, refers to, specific interference with proceedings)
(clause, refers to, interference with targeted tax-related proceedings)
(clause, refers to, interference with targeted governmental tax-related proceedings)
(clause, refers to, specific interference with targeted governmental tax-related proceedings)
(clause, refers to, interference with governmental tax-related proceedings)
(clause, Rather refers to, specific interference with targeted proceedings)
(clause, Rather refers to, specific interference with proceedings)
(clause, refers to, interference with targeted proceedings)
(clause, Rather refers to, interference with tax-related proceedings)
(clause, Rather refers to, interference with governmental tax-related proceedings)
(clause, refers to, specific interference with governmental tax-related proceedings)
(clause, refers to, specific interference with tax-related proceedings)
(clause, Rather refers to, specific interference with tax-related proceedings)
(clause, Rather refers to, interference)
(clause, refers to, interference with targeted governmental proceedings)
(clause, refers to, specific interference with targeted tax-related proceedings)
(clause, Rather refers to, specific interference with targeted governmental proceedings)
(clause, Rather refers to, specific interference with targeted tax-related proceedings)
(clause, refers to, specific interference with targeted proceedings)
(clause, Rather refers to, interference with targeted governmental tax-related proceedings)
(clause, refers to, interference)
(clause, Rather refers to, interference with proceedings)
(clause, Rather refers to, interference with governmental proceedings)
(clause, Rather refers to, specific interference with governmental proceedings)
(clause, Rather refers to, interference with targeted governmental proceedings)
(specific interference, is with, targeted governmental tax-related proceedings such particular investigation)
(clause, refers to, interference with proceedings)
(clause, Rather refers to, specific interference with targeted governmental tax-related proceedings)
(clause, Rather refers to, specific interference)
(clause, refers to, interference with governmental proceedings)
(clause, refers to, interference with tax-related proceedings)
(clause, Rather refers to, interference with targeted tax-related proceedings)
(clause, Rather refers to, interference with targeted proceedings)
(clause, refers to, specific interference with governmental proceedings)
(clause, Rather refers to, specific interference with governmental tax-related proceedings)
(clause, refers to, specific interference)
(clause, refers to, specific interference with targeted governmental proceedings)
(Internal Revenue Code provision, has, two clauses)
(Internal Revenue Code provision, has, two substantive clauses)
(we, shall call, Officer Clause)
(we, shall call, Omnibus Clause)
(we, consider scope, we said)
(we, here consider, scope of Omnibus Clause)
(we, here consider, scope)
(we, consider, scope)
(we, here consider, we said at outset)
(we, here consider scope, we said)
(we, here consider scope, we said at outset)
(we, said at, outset)
(we, consider scope, we said at outset)
(we, consider, we said)
(we, consider, we said at outset)
(we, consider, scope of Omnibus Clause)
(we, here consider, we said)
(We, have placed, text)
(We, have placed, text of § 7212)
(We, have placed text in, infra)
(We, have placed, full text)
(We, have placed text in, Appendix)
(We, have placed, full text of § 7212)
(Government, indicted Marinello In, 2012)
(Government, indicted, Marinello)
(Government, charging, him)
(income, paying employees with, cash)
(business records, is In, respect to Omnibus Clause)
(his tax accountant, is with, complete)
(income, paying, employees)
(jury, consider, charges)
(it, convict, Marinello)
(judge, instructed, it)
(jury, retired, consider)
(p. 432, is in, No. 15-2224)
(jury, convicted Marinello on, counts)
(jury, subsequently convicted Marinello on, counts)
(Marinello, appealed for, Second Circuit)
(Marinello, appealed to, Court)
(Marinello, appealed to, Court of Appeals)
(Government, violation of, Omnibus Clause)
(He, argued such as, particular investigation)
(violation, requires, Government)
(defendant, interfere with, pending IRS proceeding)
(defendant, interfere with, IRS proceeding)
(He, argued among, other things)
(defendant, tried, interfere with IRS proceeding)
(He, argued such as, investigation)
(defendant, tried, interfere with pending IRS proceeding)
(He, argued among, things)
(defendant, tried, interfere)
(alteration, is in, original)
(Court, rejected, Marinello 's petition for rehearing)
(Court, rejected, two judges)
(full Court, rejected, Marinello 's petition for rehearing)
(Court, rejected, Marinello 's petition)
(Court, rejected, two judges dissenting)
(Marinello, has, petition for rehearing)
(full Court, rejected, two judges dissenting)
(full Court, rejected, two judges)
(full Court, rejected, Marinello 's petition)
(Marinello, asking, us)
(Marinello, petitioned for, certiorari)
(Omnibus Clause, requires, Government)
(he, engaged in, conduct)
(he, engaged in, obstructive conduct)
(defendant, was, aware)
(he, engaged in, purportedly obstructive conduct)
(we, granted petition In, light of division among Circuits)
(we, granted petition In, light of division)
(we, granted petition In, light of division of opinion among Circuits)
(we, granted, petition)
(we, granted petition In, light)
(we, granted petition In, light of division of opinion among Circuits on point)
(we, granted petition In, light of division of opinion)
(we, granted petition In, light of division among Circuits on point)
(we, interpreted, criminal statute)
(we, interpreted, similarly worded criminal statute)
(we, interpreted, similarly worded statute)
(we, interpreted, statute)
(we, interpreted statute In, United States)
(we, interpreted, worded statute)
(we, interpreted, worded criminal statute)
(statute, made, it felony)
(statute, made, it felony or)
(statute, made, it felony corruptly or)
(We, have placed, text)
(We, have placed text in, Appendix)
(We, have placed text in, infra)
(We, have placed, full text)
(We, have placed, full text of § 1503)
(We, have placed, text of § 1503)
(defendant, have relationship in, time)
(defendant, have relationship in, time with judicial proceedings)
(defendant, have, relationship)
(time, is with, judicial proceedings)
(act, have relationship in, time)
(defendant, have relationship in, time with proceedings)
(act, have relationship in, time with proceedings)
(act, have relationship in, time with judicial proceedings)
(act, have, relationship)
(courts, imposed, nexus requirement)
(599, at Aguilar is, supra)
(we, adopted, same requirement)
(we, adopted, requirement)
(We, set forth, two reasons doing so)
(We, set, two important reasons doing so)
(We, set forth, two important reasons doing so)
(We, set, two reasons doing so)
(We, set forth, two reasons doing)
(We, set, two reasons doing)
(We, set, two important reasons doing)
(We, set forth, two important reasons doing)
(we, assessing, reach of statute)
(we, exercised restraint out of, deference to prerogatives of Congress)
(we, traditionally exercised restraint out of, deference to prerogatives)
(we, exercised restraint out of, deference to prerogatives)
(warning, be given to, world)
(fair warning, be, given to world in language)
(we, assessing, reach of federal statute)
(fair warning, be given to, world)
(we, exercised restraint out of, concern)
(we, traditionally exercised, restraint)
(we, traditionally exercised restraint out of, deference to prerogatives of Congress)
(warning, be, given to world in language)
(we, exercised, restraint)
(line, is, passed)
(warning, be given in, language)
(we, traditionally exercised restraint out of, deference)
(certain line, is, passed)
(we, assessing, reach of federal criminal statute)
(fair warning, be, given)
(we, assessing, reach)
(we, traditionally exercised restraint out of, concern)
(warning, be, given)
(we, assessing, reach of criminal statute)
(fair warning, be given in, language)
(we, exercised restraint out of, deference)
(600, at Aguilar is, supra)
(reasons, apply here with, similar strength)
(reasons, apply with, strength)
(reasons, apply here with, strength)
(reasons, apply with, similar strength)
(language, is neutral As to, Congress ' intent)
(literal language, is neutral As to, Congress ' intent)
(language, is, neutral)
(literal language, is, neutral)
(statutory words obstruct, are, broad)
(words obstruct, are, broad)
(They, can refer to, anything)
(Black, has, Law)
(Webster, has, New International Dictionary)
(taxpayer, must hinder, person)
(taxpayer, must hinder, thing)
(taxpayer, must hinder, particular person)
(object, is due administration of, title)
(object, is, Here administration)
(object, is, Here due administration)
(object, Here is due administration of, title)
(object, Here is administration of, title)
(object, is, administration)
(object, is administration of, title)
(object, is, due administration)
(word administration, can, can read)
(word administration, can, can read literally)
(word administration, refer to, every)
(phrase, is, viewed)
(whole phrase, is, viewed)
(whole phrase, is best viewed like, due administration)
(phrase, is best viewed like, due administration of justice)
(whole phrase, is viewed like, due administration)
(phrase, is viewed like, administration of justice)
(phrase, is best viewed like, administration of justice)
(whole phrase, is viewed, referring)
(whole phrase, is best viewed like, administration)
(whole phrase, is best viewed like, administration of justice)
(whole phrase, is best viewed like, due administration of justice)
(phrase, is viewed, referring)
(whole phrase, is viewed like, due administration of justice)
(phrase, is viewed like, administration)
(phrase, is viewed like, due administration)
(whole phrase, is, best viewed)
(whole phrase, is viewed like, administration)
(phrase, is viewed like, due administration of justice)
(phrase, is, best viewed)
(phrase, is best viewed like, administration)
(whole phrase, is viewed like, administration of justice)
(phrase, is best viewed like, due administration)
(600-601, at Aguilar is, supra)
(text, refers to, specific targeted acts)
(text, refers to, specific targeted acts of administration)
(text, refers to, specific acts of administration)
(text, refers to, acts)
(text, refers to, specific acts)
(text, refers to, targeted acts of administration)
(text, refers to, acts of administration)
(text, refers to, targeted acts)
(Omnibus Clause, appears in, middle)
(part, also refers, force)
(part, refers, force)
(first part, also refers, force)
(first part, refers, force)
(following subsection, refers to, e)
(subsection, refers to, e)
(property, of rescu is, e)
(Omnibus Clause, serves in, context)
(Omnibus Clause, serves as, catchall)
(Omnibus Clause, logically serves as, catchall)
(Omnibus Clause, logically serves in, context)
(helpful, confirmation of, scope of Omnibus Clause in House written)
(helpful, confirmation of, scope of Omnibus Clause written)
(helpful, can find, confirmation of limited scope of Omnibus Clause)
(Congress, first enacted, Omnibus Clause)
(helpful, confirmation of, limited scope of Omnibus Clause)
(helpful, can find, confirmation of limited scope)
(helpful, can find, confirmation of scope written)
(helpful, can find, confirmation of more limited scope of Omnibus Clause in House)
(helpful, can find, confirmation of limited scope written)
(helpful, can find, confirmation of limited scope of Omnibus Clause written)
(helpful, can find, confirmation of more limited scope of Omnibus Clause)
(helpful, can find, confirmation of scope of Omnibus Clause)
(helpful, can find, confirmation of scope of Omnibus Clause in House)
(helpful, can find, confirmation)
(helpful, can find, confirmation of more limited scope)
(helpful, can find, confirmation of scope of Omnibus Clause in House written)
(helpful, confirmation of, more limited scope written)
(helpful, can find, confirmation of more limited scope of Omnibus Clause in House written)
(helpful, confirmation of, limited scope)
(helpful, can find, confirmation of more limited scope written)
(helpful, can find, confirmation of limited scope of Omnibus Clause in House)
(helpful, can find, confirmation of scope)
(Omnibus Clause, is in, House)
(helpful, can find, confirmation of more limited scope of Omnibus Clause written)
(helpful, confirmation of, scope of Omnibus Clause in House)
(helpful, confirmation of, limited scope of Omnibus Clause in House written)
(helpful, confirmation of, scope written)
(helpful, confirmation of, more limited scope of Omnibus Clause written)
(helpful, confirmation of, scope of Omnibus Clause)
(helpful, confirmation of, more limited scope of Omnibus Clause)
(helpful, confirmation of, limited scope of Omnibus Clause written)
(helpful, confirmation of, limited scope written)
(helpful, confirmation of, more limited scope of Omnibus Clause in House written)
(helpful, confirmation of, more limited scope)
(Congress, enacted, Omnibus Clause)
(helpful, can find, confirmation of scope of Omnibus Clause written)
(helpful, confirmation of, more limited scope of Omnibus Clause in House)
(helpful, can find, confirmation of limited scope of Omnibus Clause in House written)
(helpful, confirmation of, scope)
(helpful, confirmation of, limited scope of Omnibus Clause in House)
(H. R. Rep. No., 2d, Sess)
(H. R. Rep. No. 1337, 2d, Sess)
(§ 7212, also punish, corrupt solicitation)
(§ 7212, also punish, solicitation of internal revenue employee)
(§ 7212, punish, corrupt solicitation of internal revenue employee)
(§ 7212, punish, solicitation of revenue employee)
(§ 7212, provides on account of, performance by agents)
(§ 7212, provides on account of, performance)
(§ 7212, punish, corrupt solicitation)
(§ 7212, also punish, solicitation of revenue employee)
(§ 7212, provides for, punishment of threats)
(§ 7212, also punish, corrupt solicitation of internal revenue employee)
(§ 7212, punish, solicitation of internal revenue employee)
(§ 7212, punish, solicitation)
(§ 7212, punish, corrupt solicitation of revenue employee)
(§ 7212, also punish, corrupt solicitation of revenue employee)
(§ 7212, provides for, punishment)
(§ 7212, also punish, solicitation)
(Senate Report, also refers to, section)
(Senate Report, refers, aimed)
(Senate Report, refers to, section)
(Senate Report, also refers, aimed)
(attempt, impede, administration of internal-revenue laws)
(attempt, is, where corruptly by force by communication made)
(attempt, corruptly is made by, communication)
(attempt, is, where corruptly made)
(attempt, where corruptly is made by, communication)
(attempt, corruptly is made by, force)
(attempt, is, made)
(attempt, where corruptly is made by, force)
(attempt, is, corruptly by force by communication made)
(attempt, is made by, force)
(attempt, is, corruptly made)
(attempt, is made by, communication)
(attempt, is, by force by communication made)
(attempt, impede, administration of laws)
(attempt, impede, administration)
(Congress, intended as, catchall applicable to Code including routine processing of tax returns)
(Congress, receipt of, tax payments)
(We, have found nothing in, statute 's history)
(Congress, intended Omnibus Clause as, catchall applicable to entire Code including processing of tax returns)
(Congress, intended Omnibus Clause as, catchall applicable to Code including processing of tax returns)
(Congress, intended as, catchall applicable)
(Congress, intended Omnibus Clause as, catchall applicable to entire Code including processing)
(Congress, issuance of, tax refunds)
(Congress, intended Omnibus Clause as, catchall applicable to entire Code including routine processing of tax returns)
(Congress, intended as, catchall applicable to entire Code including routine processing)
(statute, in, history)
(Congress, intended Omnibus Clause as, catchall applicable to Code)
(Congress, intended as, catchall applicable to entire Code including processing of tax returns)
(Congress, intended as, catchall applicable to Code including routine processing)
(Congress, intended as, catchall applicable to Code)
(Congress, intended as, catchall applicable to entire Code including processing)
(Congress, intended as, catchall applicable to Code including processing of tax returns)
(Congress, intended Omnibus Clause as, catchall applicable to entire Code including routine processing)
(Congress, intended Omnibus Clause as, catchall applicable to Code including routine processing)
(Congress, intended as, catchall applicable to entire Code including routine processing of tax returns)
(Congress, intended Omnibus Clause as, catchall applicable to Code including processing)
(Congress, intended Omnibus Clause as, catchall applicable to entire Code)
(Congress, intended Omnibus Clause as, catchall applicable)
(Congress, intended Omnibus Clause as, catchall applicable to Code including routine processing of tax returns)
(Congress, intended as, catchall applicable to Code including processing)
(We, have found, nothing)
(Congress, intended as, catchall applicable to entire Code)
(Congress, intended as, catchall)
(Congress, intended Omnibus Clause as, catchall)
(Congress, intended, Omnibus Clause)
(Government, has, broad reading)
(failure, to 7204 is, however small amount)
(failure, to 7204 is, § 7203)
(failure, to 7204 is, § 7203)
(Code, creates, § 7203)
(specific provisions, perhaps matter of, plea bargaining)
(provisions, perhaps matter of, plea bargaining)
(provisions, subject matter of, plea bargaining)
(provisions, perhaps subject matter of, plea bargaining)
(many, interpret Omnibus Clause, applying to Code administration)
(specific provisions, perhaps subject matter of, plea bargaining)
(specific provisions, subject matter of, plea bargaining)
(specific provisions, matter of, plea bargaining)
(many, interpret, Omnibus Clause)
(provisions, matter of, plea bargaining)
(Some overlap, is, inevitable)
(Some overlap, is inevitable of, course)
(Some, overlap in, criminal provisions)
(Some, overlap in, provisions)
(Marinello, has, preferred reading of § 7212)
(it, superfluous provisions in, enactment)
(it, would render, provisions in enactment)
(it, would render, other provisions)
(it, would render, superfluous other provisions)
(it, would render, superfluous provisions)
(it, would render, superfluous other provisions in enactment)
(it, would render, other provisions in same enactment)
(it, superfluous other provisions in, enactment)
(it, particularly would render, superfluous provisions in same enactment)
(it, particularly would render, superfluous other provisions)
(it, particularly would render, other provisions in enactment)
(it, would render, provisions)
(it, superfluous other provisions in, same enactment)
(it, would render, superfluous other provisions in same enactment)
(it, other provisions in, enactment)
(it, other provisions in, same enactment)
(it, would render, provisions in same enactment)
(it, particularly would render, provisions)
(it, particularly would render, superfluous provisions)
(superfluous other provisions, is in, same enactment)
(it, would render, other provisions in enactment)
(it, particularly would render, other provisions)
(it, would render, superfluous provisions in enactment)
(it, particularly would render, provisions in enactment)
(it, particularly would render, superfluous provisions in enactment)
(it, particularly would render, superfluous other provisions in same enactment)
(it, provisions in, enactment)
(Government, from, broad reading of § 7212)
(it, would render, superfluous provisions in same enactment)
(it, particularly would render, provisions in same enactment)
(it, superfluous provisions in, same enactment)
(it, particularly would render, other provisions in same enactment)
(it, particularly would render, superfluous other provisions in enactment)
(it, provisions in, same enactment)
(Court, exercise, interpretive restraint)
(Court, exercise, restraint)
(26 CFR, §, 2017)
(CFR, §, 2017)
(26 CFR, §, a)
(large cash tip, is in, restaurant)
(Congress, Had intended, outcome)
(defendant, has, obstructive conduct)
(someone, obtain, advantage)
(someone, obtain, unlawful advantage)
(we, struggle, imagine)
(taxpayer, would violate, Tax Code)
(we, Yet struggle, imagine)
(taxpayer, would willfully violate, Tax Code)
(taxpayer, obtain, benefit for another)
(taxpayer, obtain, unlawful benefit)
(defendant, knew of, duty)
(law, duty on, defendant)
(taxpayer, obtain, benefit)
(law, imposed, duty on defendant)
(law, imposed, duty)
(taxpayer, obtain, unlawful benefit for another)
(jury, could readily find, so)
(jury, could find, so)
(distinction, meaningful difference in, culpability)
(distinction, reflects, meaningful difference in culpability)
(we, find, unconvincing dissent 's argument)
(we, find, dissent 's argument)
(we, narrow, statute 's scope)
(we, Neither can rely upon, prosecutorial discretion)
(we, can rely upon, prosecutorial discretion)
(statute, has, scope)
(we, can rely upon, discretion)
(we, Neither can rely upon, discretion)
(Government, used sparingly during, decades after enactment)
(Government, used during, first few decades after enactment)
(Government, True used during, first decades after enactment)
(Government, used Omnibus Clause during, decades after enactment)
(Government, True used Omnibus Clause during, decades after its enactment)
(Government, True used Omnibus Clause only sparingly during, few decades after enactment)
(Government, True used Omnibus Clause only sparingly during, decades after its enactment)
(Government, True used Omnibus Clause during, decades after enactment)
(Government, used Omnibus Clause only sparingly during, first decades after enactment)
(Government, used during, first decades after its enactment)
(Government, True used Omnibus Clause only sparingly during, first few decades after enactment)
(Government, True used Omnibus Clause only sparingly during, first few decades after its enactment)
(Government, used only sparingly during, few decades after its enactment)
(Government, used during, few decades after its enactment)
(Government, True used Omnibus Clause during, first few decades after enactment)
(Government, True used Omnibus Clause only sparingly during, first decades after its enactment)
(Government, True used Omnibus Clause sparingly during, first few decades after its enactment)
(Government, used Omnibus Clause sparingly during, decades after enactment)
(Government, used Omnibus Clause during, first decades after enactment)
(Government, used during, decades after enactment)
(Government, True used only sparingly during, few decades after enactment)
(Government, True used sparingly during, few decades after enactment)
(Government, used Omnibus Clause only sparingly during, decades after enactment)
(Government, True used Omnibus Clause during, few decades after its enactment)
(Government, used Omnibus Clause only sparingly during, first decades after its enactment)
(Government, used sparingly during, first few decades after enactment)
(Government, True used Omnibus Clause during, first decades after enactment)
(Government, True used only sparingly during, decades after its enactment)
(Government, used Omnibus Clause sparingly during, first decades after enactment)
(Government, used only sparingly during, first decades after its enactment)
(Government, used Omnibus Clause during, first few decades after its enactment)
(Government, used Omnibus Clause sparingly during, few decades after its enactment)
(Government, used Omnibus Clause during, first decades after its enactment)
(Government, used sparingly during, first decades after enactment)
(Government, True used Omnibus Clause sparingly during, first decades after enactment)
(Government, used sparingly during, decades after its enactment)
(Government, True used sparingly during, first decades after enactment)
(Government, True used sparingly during, first few decades after its enactment)
(Government, used only sparingly during, first decades after enactment)
(Government, True used only sparingly during, few decades after its enactment)
(Government, used only sparingly during, few decades after enactment)
(Government, True used sparingly during, decades after its enactment)
(Government, True used Omnibus Clause sparingly during, first decades after its enactment)
(Government, True used Omnibus Clause sparingly during, few decades after its enactment)
(Government, True used sparingly during, few decades after its enactment)
(Government, used only sparingly during, first few decades after its enactment)
(Government, used sparingly during, first decades after its enactment)
(Government, used Omnibus Clause only sparingly during, first few decades after its enactment)
(Government, used only sparingly during, decades after enactment)
(Government, used Omnibus Clause only sparingly during, first few decades after enactment)
(Government, used Omnibus Clause during, first few decades after enactment)
(Government, used Omnibus Clause only sparingly during, few decades after its enactment)
(Government, used Omnibus Clause during, decades after its enactment)
(Government, used Omnibus Clause sparingly during, first few decades after enactment)
(Government, True used Omnibus Clause sparingly during, decades after its enactment)
(Government, True used Omnibus Clause only sparingly during, few decades after its enactment)
(Government, used during, first decades after enactment)
(Government, True used only sparingly during, first decades after enactment)
(Government, used Omnibus Clause only sparingly during, decades after its enactment)
(Government, used sparingly during, first few decades after its enactment)
(Government, used Omnibus Clause during, few decades after its enactment)
(Government, used during, few decades after enactment)
(Government, True used during, few decades after its enactment)
(Government, used during, first few decades after its enactment)
(Government, True used only sparingly during, first few decades after its enactment)
(Government, True used Omnibus Clause during, first few decades after its enactment)
(Government, True used only sparingly during, decades after enactment)
(Government, used Omnibus Clause only sparingly during, few decades after enactment)
(Government, True used sparingly during, decades after enactment)
(Government, True used during, first few decades after enactment)
(Government, True used during, few decades after enactment)
(Government, used Omnibus Clause during, few decades after enactment)
(Government, True used during, first decades after its enactment)
(Government, True used Omnibus Clause sparingly during, first few decades after enactment)
(Government, True used only sparingly during, first decades after its enactment)
(Government, True used Omnibus Clause sparingly during, few decades after enactment)
(Government, used Omnibus Clause sparingly during, first decades after its enactment)
(Government, used only sparingly during, first few decades after enactment)
(Government, used sparingly during, few decades after enactment)
