(October 4 2017, Decided at_time, January 22 2018)
(she, began, yelling)
(she, hanging up, time)
(sergeant, called, her back)
(officers, eventually got Peaches on, phone)
(officers, eventually got, Peaches)
(officers, got Peaches on, phone)
(officers, eventually got again, Peaches)
(officers, got again, Peaches)
(officers, got, Peaches)
(officers, eventually got Peaches again on, phone)
(officers, got Peaches again on, phone)
(officers, contacted, owner)
(lease, is with, Peaches)
(officers, arrested, 21 partygoers)
(lieutenant, charge, them)
(police, transported, partygoers)
(partygoers, were, released)
(charges, were eventually dropped, .1)
(charges, were dropped, .1)
(They, sued, officers)
(They, sued, Rev. Stat)
(They, sued officers for, false arrest under Amendment)
(They, sued officers for, false arrest)
(They, sued Rev. Stat for, false arrest under Fourth Amendment)
(They, sued officers for, false arrest under Fourth Amendment)
(They, sued Rev. Stat for, false arrest under Amendment)
(They, sued Rev. Stat for, false arrest)
(They, sued, District)
(They, sued District for, false arrest)
(They, sued District for, false arrest under District law)
(partygoers ' claims, were predicated upon, allegation)
(partygoers ' claims, were, predicated)
(District Court, awarded summary judgment On, cross-motions)
(District Court, awarded, summary judgment)
(District Court, awarded, partial summary judgment)
(District Court, awarded summary judgment On, cross-motions for summary judgment)
(District Court, awarded summary judgment to, partygoers)
(probable cause, arrest, partygoers)
(probable cause, arrest partygoers at, 32-33)
(probable cause, arrest partygoers for, entry .2 Id.)
(probable cause, arrest partygoers for, unlawful entry .2 Id.)
(officers, were, told)
(they, entering, will)
(officers, learned in, their investigation)
(case, proceeded to, trial)
(case, proceeded, liability resolved)
(case, proceeded to, trial on damages)
(jury, awarded, total)
(jury, awarded, total in compensatory damages)
(total, is in, compensatory damages)
(jury, awarded, total in damages)
(jury, awarded, partygoers)
(total award, was, $ 1 million)
(attorney, has, fees)
(award, was, $ 1 million)
(total award, was, nearly $ 1 million)
(District Court, awarded, attorney 's fees)
(award, was, nearly $ 1 million)
(divided panel, affirmed On, appeal)
(panel, affirmed On, appeal)
(panel majority, made On, question of probable cause)
(probable cause, arrest partygoers for, entry)
(panel majority, made On, question)
(panel majority, made, Peaches ' invitation central to its determination)
(probable cause, arrest partygoers for, unlawful entry)
(probable cause, arrest, partygoers)
(Peaches ' invitation, central to, its determination)
(panel majority, made, Peaches ' invitation central)
(intent, person with, good purpose)
(intent, person with, good purpose of her right enter)
(panel majority, determined On, question)
(person, lacks, intent for unlawful entry)
(it, was, clear)
(necessary intent, person with, purpose of her right enter)
(person, lacks, intent for entry)
(person, lacks, necessary intent)
(intent, person with, purpose of her right enter)
(panel majority, determined On, question of immunity)
(panel majority, determined On, question of qualified immunity)
(person, lacks, necessary intent for unlawful entry)
(person, lacks, intent)
(necessary intent, person with, purpose)
(necessary intent, person with, good purpose of her right enter)
(intent, person with, purpose)
(it, was, perfectly clear)
(person, lacks, necessary intent for entry)
(person, is with, good purpose of her right enter)
(necessary intent, person with, good purpose)
(officers, needed evidence In, other words)
(officers, needed, evidence)
(they, entering against, will)
(they, entering against, will of owner)
(officers, needed evidence In, words)
(they, entering against, will of lawful owner)
(uncontroverted evidence, vitiate, probable cause)
(evidence, vitiate, probable cause for unlawful entry)
(uncontroverted evidence, vitiate, probable cause for unlawful entry)
(evidence, vitiate, probable cause for entry)
(evidence, vitiate, probable cause)
(uncontroverted evidence, vitiate, probable cause for entry)
(partygoers, ', claim of innocent entry)
(reasonable officer, could disbelieve, partygoers ' claim)
(reasonable officer, could disbelieve, partygoers ' claim of innocent entry)
(officer, could disbelieve, partygoers ' claim of entry)
(summary judgment, was, improper)
(reasonable officer, could disbelieve, partygoers ' claim of entry)
(officer, could disbelieve, partygoers ' claim of innocent entry)
(officer, could disbelieve, partygoers ' claim)
(She, disagreed with, denial of qualified immunity)
(She, disagreed with, denial of immunity)
(She, also disagreed with, denial of immunity)
(She, also disagreed with, denial of qualified immunity)
(She, also disagreed, contending)
(She, also disagreed with, denial)
(She, disagreed, contending)
(She, disagreed with, denial)
(D. C. Circuit, denied, rehearing en banc)
(D. C. Circuit, denied rehearing over, dissent of four judges)
(D. C. Circuit, denied, rehearing)
(D. C. Circuit, denied rehearing over, dissent)
(dissenters, focused on, immunity)
(dissenters, focused on, qualified immunity)
(dissenters, focused, contending)
(panel majority, responded in, concurrence)
(panel majority, responded in, joint concurrence)
(circumstantial evidence, is in, record)
(their disagreement, was assessment of, evidence)
(their disagreement, was assessment of, circumstantial evidence in record)
(their disagreement, was, assessment)
(their disagreement, was, case-specific assessment)
(their disagreement, was case-specific assessment of, circumstantial evidence in record)
(their disagreement, was mere assessment of, circumstantial evidence)
(their disagreement, was mere case-specific assessment of, evidence in record)
(disagreement, was, case-specific)
(their disagreement, was mere case-specific assessment of, evidence)
(their disagreement, was mere assessment of, circumstantial evidence in record)
(disagreement, was, mere)
(their disagreement, was case-specific assessment of, circumstantial evidence)
(panel opinion, law of, qualified immunity)
(their disagreement, was mere assessment of, evidence)
(their disagreement, is with, dissenters)
(their disagreement, was mere assessment of, evidence in record)
(their disagreement, was case-specific assessment of, evidence)
(their disagreement, was, mere assessment)
(their disagreement, was, mere case-specific assessment)
(their disagreement, was case-specific assessment of, evidence in record)
(their disagreement, was assessment of, circumstantial evidence)
(their disagreement, was assessment of, evidence in record)
(their disagreement, was mere case-specific assessment of, circumstantial evidence)
(their disagreement, was mere case-specific assessment of, circumstantial evidence in record)
(officers, were, entitled)
(We, resolve, two questions)
(officers, were entitled to, qualified immunity)
(We, granted, certiorari)
(probable cause, arrest, partygoers)
(officers, were entitled to, immunity)
(We, address, question)
(We, address question in, turn)
(arrests, are, seizures)
(they, must, must reasonable under circumstances)
(they, must, must reasonable)
(arrests, are seizures of, persons)
(officer, in, presence)
(warrantless arrest, is, reasonable)
(arrest, is, reasonable)
(crime, is in, officer 's presence)
(officer, has, probable cause believe)
(officer, had, probable cause)
(we, examine events, determine)
(officer, had, probable cause for arrest)
(facts, amount to, probable cause)
(we, examine, events)
(we, examine, events leading up to arrest)
(we, examine, events leading up)
(we, examine, events leading)
(historical facts, amount to, probable cause)
(leading, up to, arrest)
(probable cause, depends on, totality)
(probable cause deals, is with, probabilities)
(probable cause, depends on, totality of circumstances)
(probable cause, deals with, probabilities)
(It, requires, substantial chance of activity)
(It, requires, chance)
(It, requires, chance of criminal activity)
(probability, showing of, such activity)
(It, requires, chance of activity)
(It, requires, substantial chance)
(It, requires, substantial chance of criminal activity)
(United States, v. Kaley is, ___ 2014)
(officers, lacked, probable cause)
(officers, arrest, them)
(officers, Considering, totality of circumstances)
(partygoers, taking advantage of, vacant house)
(partygoers, taking, advantage)
(partygoers, knowingly taking advantage as, venue for their party)
(officers, Considering, totality)
(partygoers, knowingly taking advantage as, venue)
(partygoers, taking advantage as, venue for their party)
(partygoers, knowingly taking advantage as, venue for their late-night party)
(partygoers, knowingly taking, advantage)
(partygoers, taking advantage as, venue)
(partygoers, knowingly taking advantage of, house)
(partygoers, taking advantage as, venue for their late-night party)
(officers, made, entirely reasonable inference)
(partygoers, taking advantage of, house)
(partygoers, knowingly taking advantage of, vacant house)
(officers, made, reasonable inference)
(officers, made, inference)
(372, at Pringle is, supra)
(neighbors, informed, officers)
(house, been, vacant)
(house, been vacant for, months .4)
(house, been vacant for, several months .4)
(Multiple neighbors, informed, officers)
(rest, save for, fixtures)
(rest, was, empty)
(house, had, signs)
(toiletries, is in, bathroom)
(house, had, few signs)
(working electricity, is in, refrigerator)
(he, looked for, new tenant)
(he, looked for, tenant)
(owner, kept, blinds)
(woman, told, officers)
(one woman, told, officers)
(clothes, is in, closet)
(someone, lived, there)
(officers, arrived after, 1 a.m.)
(party, was still going with, music so loud)
(party, was still going with, music)
(party, was going with, music loud)
(party, was still going with, music loud)
(party, was going with, music so loud)
(party, was going, strong)
(party, was still going, strong)
(party, was going with, music)
(officers, entering, house)
(marijuana partygoers, left, beer bottles)
(marijuana .5 partygoers, left cups on, floor)
(they, left, floor)
(marijuana partygoers, left, cups)
(marijuana .5 partygoers, left beer bottles on, floor)
(multiple officers, entering, house)
(marijuana partygoers, cups of, liquor)
(marijuana .5 partygoers, left, cups)
(marijuana partygoers, left, cups of liquor)
(marijuana .5 partygoers, left, beer bottles)
(marijuana partygoers, left cups on, floor)
(marijuana .5 partygoers, left, cups of liquor)
(marijuana .5 partygoers, cups of, liquor)
(marijuana partygoers, left beer bottles on, floor)
(living room, had, had converted into strip club)
(living room, had, had converted)
(living room, had, had converted into makeshift strip club)
(Strippers, is with, cash stuffed in their garter belts)
(Strippers, is in, bras)
(Strippers, were giving, lap dances)
(officers, found, group with woman on mattress)
(officers, Upstairs found, group with single naked woman)
(officers, Upstairs found, group with naked woman on mattress)
(officers, found, group with naked woman)
(officers, found, group with single woman)
(only bed, is in, house)
(officers, Upstairs found, group with single naked woman on bare mattress)
(officers, Upstairs found, group)
(officers, Upstairs found, group with naked woman on bare mattress)
(officers, Upstairs found, group with single woman on mattress)
(officers, Upstairs found, group with single woman)
(officers, found, group with single naked woman on bare mattress)
(officers, found, group)
(officers, found, group with single naked woman)
(officers, Upstairs found, group with single naked woman on mattress)
(officers, found, group with woman)
(officers, found, group with naked woman on bare mattress)
(officers, found, group with single woman on bare mattress)
(officers, found, group with single naked woman on mattress)
(officers, Upstairs found, group with woman)
(officers, found, group with single woman on mattress)
(officers, Upstairs found, group with woman on mattress)
(officers, found, group with woman on bare mattress)
(officers, Upstairs found, group with naked woman)
(officers, Upstairs found, group with single woman on bare mattress)
(officers, found, group with naked woman on mattress)
(group, is with, single naked woman on bare mattress)
(officers, Upstairs found, group with woman on bare mattress)
(condition, allowed, make)
(condition, allowed, officers)
(officers, make, several)
(231, at Gates is, supra)
(partygoers ' reaction, gave, further reason believe)
(partygoers ' reaction, gave, them)
(partygoers ' reaction, gave, reason believe)
(Many, scattered at, sight)
(Many, scattered at, sight of uniformed officers)
(Many, scattered at, sight of officers)
(Two, hid, themselves)
(furtive actions, is In, fact)
(partygoers ' scattering, was, indication)
(hiding, was, indication)
(partygoers ' answers, suggested, their state of mind)
(partygoers ' answers, suggested, their state)
(partygoers ' answers, also suggested, their state)
(partygoers ' answers, also suggested, their guilty state)
(partygoers ' answers, also suggested, their state of mind)
(partygoers ' answers, suggested, their guilty state of mind)
(partygoers ' answers, also suggested, their guilty state of mind)
(partygoers ' answers, suggested, their guilty state)
(partygoers, gave, vague responses)
(partygoers, gave, responses)
(they, attending, it)
(they, were working, party)
(Peaches, was, hostess)
(none, mentioned, her name)
(her name, none of, partygoers)
(it, was odd, hostess)
(it, was, odd)
(their lies, suggested, mind)
(their lies, suggested, guilty mind)
(suspect, has, untruthful answers to police)
(panel majority, relied on, fact)
(panel majority, relied heavily on, fact)
(she, was, nervous)
(officers, spoke with, Peaches)
(124, at Wardlow is, supra)
(suspect, has, nervous evasive behavior)
(she, confessed, initially insisting)
(she, ultimately confessed, initially insisting)
(permission, use, house)
(she, confessed, insisting)
(she, ultimately confessed, insisting)
(she, had told, them)
(Peaches, lied to, them)
(she, eventually told, police)
(she, told, police)
(panel majority, engaged, concluding otherwise)
(panel majority, engaged in, dissection)
(panel majority, engaged in, technical dissection of factors)
(panel majority, engaged in, excessively technical dissection)
(panel majority, engaged in, excessively technical dissection of factors)
(panel majority, engaged, concluding)
(panel majority, engaged in, dissection of factors)
(panel majority, engaged in, technical dissection)
(234, at Gates is, 462 U. S.)
(panel majority, follow, two basic principles)
(panel majority, follow, two principles)
(panel majority, follow, two basic principles of law)
(panel majority, follow, two principles of law)
(panel majority, viewed, fact)
(panel majority, First viewed, fact)
(rather factor, is in, totality of circumstances)
(372, at Pringle is, 540 U. S.)
(This, was mistaken in, light of our precedents)
(courts, consider, picture)
(courts, consider, whole picture)
(totality, requires, courts)
(417, at Cortez is, supra)
(whole, is, often greater)
(whole, is often greater than, sum)
(whole, is greater than, sum)
(parts, are, especially viewed)
(parts, are, when viewed in isolation)
(parts, are, especially when viewed)
(parts, are viewed in, isolation)
(parts, are, when viewed)
(parts, are, viewed)
(whole, is greater than, sum of its parts)
(parts, especially are viewed in, isolation)
(parts, are, especially when viewed in isolation)
(whole, is often greater than, sum of its parts)
(whole, is, greater)
(panel majority, took, them one by one)
(panel majority, considering facts as, whole)
(panel majority, considering, facts)
(it, dismissed, fact)
(it, dismissed fact For, example)
(police, entered, house)
(condition, alerted partygoers on, its own)
(it, found, nothing in record)
(it, found, nothing in record suggesting)
(partygoers, condition of, house)
(it, found, nothing)
(they, were, unwelcome)
(condition, alerted, partygoers)
(nothing, is in, record)
(it, Similarly found, nothing)
(it, found, nothing suggesting)
(it, Similarly found, nothing suggesting)
(it, Similarly found, nothing in record suggesting)
(it, Similarly found, nothing in record)
(totality-of-the-circumstances test, precludes, sort)
(totality-of-the-circumstances test, precludes, sort of divide-and-conquer analysis)
(totality-of-the-circumstances test, precludes, sort of analysis)
(274, at Arvizu is, 534 U. S.)
(panel majority, brushed, drinking)
(panel majority, brushed aside lap dances as, consistent)
(panel majority, brushed aside lap dances as, consistent with partygoers ' explanation)
(panel majority, brushed, lap dances)
(they, having, bachelor party)
(panel majority, brushed drinking For, example)
(panel majority, brushed aside lap dances For, example)
(panel majority, brushed aside drinking For, example)
(panel majority, brushed aside, drinking)
(panel majority, brushed aside drinking as, consistent)
(panel majority, brushed lap dances as, consistent with partygoers ' explanation)
(panel majority, brushed aside, lap dances)
(panel majority, brushed aside drinking as, consistent with partygoers ' explanation)
(panel majority, brushed drinking as, consistent)
(panel majority, brushed drinking as, consistent with partygoers ' explanation)
(panel majority, brushed lap dances For, example)
(panel majority, brushed lap dances as, consistent)
(it, similarly dismissed condition as, entirely consistent with Peaches)
(it, similarly dismissed, condition)
(it, similarly dismissed condition as, entirely consistent)
(it, similarly dismissed condition as, consistent)
(it, similarly dismissed, condition of house)
(it, similarly dismissed condition as, consistent with Peaches)
(it, dismissed, condition)
(it, dismissed condition as, entirely consistent with Peaches)
(it, dismissed condition as, entirely consistent)
(it, dismissed, condition of house)
(it, dismissed condition as, consistent)
(it, dismissed condition as, consistent with Peaches)
(244, at Gates is, 462 U. S.)
(circumstances, suggested, activity)
(circumstances, certainly suggested, criminal activity)
(circumstances, suggested, criminal activity)
(circumstances, certainly suggested, activity)
(officers, found, who fled at sign)
(officers, found, group)
(group, is in, near-empty house)
(living room, is in, bedroom)
(officers, found, who fled at sign of police)
(officers, found, who fled)
(officers, found, group with strippers)
(officers, found, group with strippers in living room)
(officers, found, group in near-empty house)
(officers, found, who fled at first sign)
(officers, found, group in house with strippers)
(officers, found, group with strippers in living room in bedroom)
(group, is with, strippers in living room in bedroom)
(strippers, is in, living room)
(officers, found group, explained)
(officers, found, group in house)
(officers, found, group in near-empty house with strippers)
(officers, found, who fled at first sign of police)
(panel majority, identified, innocent explanations)
(panel majority, identified explanations in, isolation)
(panel majority, identified, innocent explanations for most)
(panel majority, identified, explanations for most of circumstances)
(panel majority, identified, explanations for most)
(panel majority, identified, explanations)
(panel majority, identified, innocent explanations for most of circumstances)
(kind, is, again improper)
(kind, is, improper)
(factor, is often more susceptible to, explanation than one viewed as part)
(factor, is often readily susceptible to, innocent explanation)
(factor, is readily susceptible to, explanation than one viewed as part)
(factor, is more readily susceptible to, explanation than one viewed as part)
(factor, is readily susceptible to, innocent explanation than one viewed)
(factor, is often readily susceptible to, explanation than one viewed)
(factor, is susceptible to, explanation than one viewed as part)
(factor, is often more susceptible to, innocent explanation)
(factor, is more readily susceptible to, innocent explanation than one viewed as part of totality)
(factor, is readily susceptible to, explanation)
(factor, is often more susceptible to, explanation)
(factor, is often readily susceptible to, innocent explanation than one viewed)
(factor, is, more susceptible)
(factor, is often more susceptible to, explanation than one viewed)
(factor, is often more readily susceptible to, innocent explanation than one viewed as part)
(factor, is, readily susceptible)
(factor, is more readily susceptible to, explanation than one viewed as part of totality)
(factor, is more readily susceptible to, explanation than one viewed)
(factor, is often more readily susceptible to, explanation than one viewed)
(factor, is often readily susceptible to, explanation)
(factor, is more susceptible to, innocent explanation)
(factor, is susceptible to, innocent explanation than one viewed)
(factor, is often more readily susceptible to, explanation than one viewed as part of totality)
(factor, is often more susceptible to, innocent explanation than one viewed as part)
(factor, is, often more readily susceptible)
(factor, is often susceptible to, explanation)
(factor, is, more readily susceptible)
(factor, is often susceptible to, innocent explanation)
(factor, is often susceptible to, explanation than one viewed)
(factor, is susceptible to, explanation)
(factor, is, often readily susceptible)
(factor, is often more susceptible to, innocent explanation than one viewed)
(factor, is more readily susceptible to, innocent explanation than one viewed)
(factor, is often readily susceptible to, innocent explanation than one viewed as part of totality)
(factor, is readily susceptible to, explanation than one viewed as part of totality)
(factor, is more readily susceptible to, explanation)
(factor, is more readily susceptible to, innocent explanation)
(factor, is readily susceptible to, explanation than one viewed)
(factor, is often susceptible to, explanation than one viewed as part)
(factor, is more susceptible to, explanation than one viewed as part of totality)
(factor, is often susceptible to, explanation than one viewed as part of totality)
(factor, is readily susceptible to, innocent explanation)
(factor, is often more readily susceptible to, innocent explanation)
(factor, is often susceptible to, innocent explanation than one viewed)
(factor, is often readily susceptible to, explanation than one viewed as part of totality)
(factor, is readily susceptible to, innocent explanation than one viewed as part of totality)
(factor, is often more susceptible to, explanation than one viewed as part of totality)
(factor, is susceptible to, innocent explanation)
(factor, is often readily susceptible to, explanation than one viewed as part)
(factor, is often more readily susceptible to, explanation than one viewed as part)
(factor, is often more readily susceptible to, innocent explanation than one viewed)
(factor, is susceptible to, explanation than one viewed as part of totality)
(factor, is susceptible to, explanation than one viewed)
(factor, is susceptible to, innocent explanation than one viewed as part)
(factor, is often readily susceptible to, innocent explanation than one viewed as part)
(factor, is often more readily susceptible to, explanation)
(factor, is, often more susceptible)
(factor, is often susceptible to, innocent explanation than one viewed as part)
(factor, is often susceptible to, innocent explanation than one viewed as part of totality)
(factor, is more susceptible to, explanation)
(factor, is more susceptible to, innocent explanation than one viewed as part)
