(UNITED STATES, v. ELONIS is, 2015)
(state requirement, must apply, id. at 73 nature of communication)
(crucial element, is, id. nature)
(crucial element, is nature of, communication)
(element, is nature of, communication)
(state requirement, must apply, id. nature)
(crucial element, id. is threatening nature of, communication)
(crucial element, is, id. threatening nature)
(crucial element, is threatening nature at, 73)
(state requirement, must apply, threatening nature)
(element, is, at 73 nature of communication)
(element, is, nature)
(element, id. is threatening nature at, 73)
(crucial element, is, threatening nature)
(crucial element, is threatening nature of, communication)
(crucial element, is, id. at 73 nature of communication)
(state requirement, must apply, id. at 73 threatening nature)
(communication, contains, threat)
(mental state requirement, must apply, nature)
(state requirement, must apply, at 73 threatening nature)
(element, is, id. nature)
(element, separating innocence from, conduct)
(element, separating innocence from, wrongful conduct)
(element, is, id. at 73 nature of communication)
(state requirement, must apply, id. nature of communication)
(crucial element, separating legal innocence from, wrongful conduct)
(state requirement, must apply, id. threatening nature)
(element, separating legal innocence from, wrongful conduct)
(element, is nature at, 73)
(his posts, be, how would viewed by reasonable person)
(his posts, be, would viewed by person)
(Elonis, has, conviction)
(reasonable person, feature of, civil liability in tort law)
(civil liability, is in, tort law)
(his posts, be, would viewed by reasonable person)
(his posts, be, how would viewed by person)
(his posts, be, would viewed)
(his posts, be, how would viewed)
(negligence standard, was intended in, criminal statutes)
(ha s, been, reluctant)
(ha s, been, long reluctant)
(negligence standard, was, intended)
(negligence standard, was intended in, statutes)
(instructions, is in, case)
(instructions, required, more)
(instructions, required, more than mental state)
(instructions, required, more than state)
(more, instructions in, case)
(Government, fails, show)
(instructions, required, more than mental state of negligence)
(instructions, required, more than state of negligence)
(Section 875, has, mental state requirement)
(communication, be, viewed)
(defendant, transmits, communication)
(communication, be viewed as, threat)
(Court, declines, address)
(it, is, unnecessary)
(it, is unnecessary Given, disposition here)
(it, consider, First Amendment issues)
(it, is unnecessary Given, disposition)
(ROBERTS, delivered, opinion)
(ALITO, filed, opinion concurring)
(ALITO, filed opinion concurring in, part)
(ALITO, dissenting in, part)
(THOMAS, filed, opinion)
(THOMAS, filed, dissenting opinion)
(opinion, is subject to, revision in print of United States Reports)
(opinion, is subject to, formal revision in preliminary print)
(opinion, is subject to, revision)
(opinion, is subject to, formal revision)
(opinion, is subject to, revision in print)
(opinion, is subject to, formal revision before publication)
(opinion, is subject to, formal revision in print of United States Reports)
(formal revision, is in, preliminary print of United States Reports)
(opinion, is subject to, revision before publication in preliminary print)
(opinion, is subject to, formal revision before publication in preliminary print)
(opinion, is subject to, formal revision before publication in print of United States Reports)
(opinion, is subject to, revision before publication)
(opinion, is subject to, formal revision in print)
(opinion, is, subject)
(opinion, is subject to, revision in preliminary print)
(opinion, is subject to, revision before publication in print)
(opinion, is subject to, formal revision in preliminary print of United States Reports)
(opinion, is subject to, revision before publication in preliminary print of United States Reports)
(opinion, is subject to, revision in preliminary print of United States Reports)
(opinion, is subject to, formal revision before publication in print)
(opinion, is subject to, revision before publication in print of United States Reports)
(opinion, is subject to, formal revision before publication in preliminary print of United States Reports)
(Readers, notify, Reporter)
(Readers, notify, Reporter of Decisions)
(Supreme Court, is in, order)
(Readers, are, requested)
(typographical formal errors, of States is, Washington)
(typographical formal errors, of States is, D. C. 20543)
(ANTHONY DOUGLAS ELONIS, PETITIONER v., UNITED STATES)
(JUSTICE ROBERTS, delivered, opinion of Court)
(CHIEF JUSTICE ROBERTS, delivered, opinion of Court)
(CHIEF JUSTICE ROBERTS, delivered, opinion)
(JUSTICE ROBERTS, delivered, opinion)
(Petitioner, was, convicted)
(Petitioner, violating, provision)
(First Amendment, requires, showing)
(defendant, be aware of, threatening nature of communication)
(defendant, be aware of, nature of communication)
(First Amendment, requires, such showing)
(defendant, be aware of, threatening nature)
(defendant, be, aware)
(defendant, be aware of, nature)
(Anthony Douglas Elonis, was, user)
(Anthony Douglas Elonis, was active user of, networking Web site Facebook)
(Anthony Douglas Elonis, was, active user)
(Anthony Douglas Elonis, was user of, networking Web site Facebook)
(Anthony Douglas Elonis, was user of, social networking Web site Facebook)
(Anthony Douglas Elonis, was active user of, social networking Web site Facebook)
(Elonis, was, active)
(Elonis, has, wife of nearly seven years)
(Elonis, Eventually changed user name from, his actual name to nom de plume)
(Elonis, Eventually changed user name from, his name)
(Elonis, Eventually changed user name from, his actual name to rap-style nom de plume)
(Elonis, changed user name from, his actual name)
(Elonis, Eventually changed user name from, his actual name)
(Elonis, changed user name from, his name)
(Elonis, changed user name on, his Facebook page)
(Elonis, changed user name from, his actual name to nom de plume)
(Elonis, changed user name from, his name to rap-style nom de plume)
(Elonis, changed user name from, his name to nom de plume)
(Elonis, Eventually changed user name from, his name to nom de plume)
(Elonis, Eventually changed user name on, his Facebook page)
(Elonis, changed, user name)
(user name, distinguish, himself)
(Elonis, changed user name from, his actual name to rap-style nom de plume)
(Elonis, Eventually changed user name from, his name to rap-style nom de plume)
(Elonis, Eventually changed, user name)
(lyrics Elonis, posted as, Tone Dougie)
(lyrics, were, fictitious)
(Elonis, posted, explanation)
(I, doing for, me)
(My writing, is, therapeutic)
(Elonis, has, co-workers)
(Elonis 's co-workers, viewed posts in, light)
(friends, viewed posts in, different light)
(Elonis 's co-workers, viewed, posts)
(friends, viewed posts in, light)
(friends, viewed, posts)
(Elonis 's co-workers, viewed posts in, different light)
(Elonis, posted co-worker Around, Halloween)
(Elonis, posted photograph Around, Halloween of 2010)
(Elonis, posted photograph Around, Halloween)
(Elonis, posted, photograph of himself)
(Elonis, posted, co-worker)
(Elonis, posted, co-worker at Halloween Haunt event)
(Elonis, posted, photograph)
(Elonis, posted co-worker Around, Halloween of 2010)
(Elonis, wrote in, caption Elonis)
(Elonis, was holding, toy knife)
(Elonis, was holding toy knife In, photograph)
(Elonis, was holding toy knife against, his co-worker 's neck)
(co-worker, against, neck)
(Facebook friends, is with, co-worker)
(chief, was, Facebook friend)
(chief, was, Facebook friend of Elonis)
(chief, fired, him)
(park security, chief of was, Facebook friend of Elonis)
(chief, saw, photograph)
(park security, chief of was, Facebook friend)
(Elonis, posted, new entry)
(Elonis, posted, entry)
(Elonis, posted, new entry on his Facebook page)
(Elonis, posted, entry on his Facebook page)
(Elonis, posted entry In, response)
(I, have, plans for friends)
(I, have, sinister plans for my friends)
(I, have, sinister plans for friends)
(I, have, plans for my friends)
(I, 'm, still attraction)
(I, 'm, still main attraction)
(I, 'm, attraction)
(I, 'm, main attraction)
(post, threatening, park patrons)
(post, basis for, Count One Elonis 's indictment)
(post, became, basis for Count One)
(post, became, basis for Count One of Elonis 's subsequent indictment)
(post, threatening, employees)
(post, basis for, Count One of Elonis 's indictment)
(post, basis for, Count One)
(post, became, basis for Count One Elonis 's indictment)
(post, basis for, Count One of Elonis 's subsequent indictment)
(post, became, basis for Count One of Elonis 's indictment)
(post, basis for, Count One Elonis 's subsequent indictment)
(post, became, basis for Count One Elonis 's subsequent indictment)
(post, became, basis)
(Elonis, of, subsequent indictment)
(Elonis 's posts, included, violent material about his ex-wife)
(Elonis 's posts, frequently included, material about his soon-to-be ex-wife)
(Elonis 's posts, included, material)
(Elonis 's posts, included, material about his ex-wife)
(Elonis 's posts, frequently included, violent material)
(Elonis 's posts, frequently included, violent material about his ex-wife)
(Elonis 's posts, included, violent material about his soon-to-be ex-wife)
(Elonis 's posts, included, crude)
(Elonis 's posts, frequently included, violent material about his soon-to-be ex-wife)
(Elonis 's posts, frequently included, degrading)
(Elonis 's posts, included, violent material)
(Elonis 's posts, frequently included, material about his ex-wife)
(Elonis, has, posts)
(Elonis 's posts, included, degrading)
(Elonis 's posts, frequently included, crude)
(Elonis 's posts, frequently included, material)
(Elonis 's posts, included, material about his soon-to-be ex-wife)
(Elonis, posted, adaptation)
(he, was, fired)
(he, was, Shortly fired)
(Elonis, posted adaptation, Shortly fired)
(Elonis, posted adaptation, fired)
(it, is illegal, person say)
(It, has, Illegal)
(it, is, illegal)
(he, however substituted, his wife)
(Elonis, posted, script)
(Elonis, posted, script of sketch)
(Elonis, script of, sketch)
(he, substituted, his wife)
(posting, was part of, basis for Count Two indictment)
(posting, was part of, basis)
(posting, threatening, his wife)
(posting, was part of, basis for Count Two)
(posting, was, part)
(posting, was part of, basis for Count Two of indictment)
(I, 'm, Tone Elonis)
(it, 's illegal, me say)
(it, has, illegal)
(it, Now was okay, me say)
(it, was, okay)
(it, was okay, me say)
(it, was, Now okay)
(it, has, very illegal)
(it, has, illegal)
(it, has, illegal)
(it, has, incredibly illegal)
(details, were, accurate)
(Elonis, included, link to video of original skit)
(Elonis, included, link)
(Elonis, included, link to video of skit)
(Elonis, included link At, bottom of post)
(Elonis, included link At, bottom)
(Elonis, included, link to video)
(I, go to, jail)
(I, 'm, willing)
(I, go for, my Constitutional rights)
(Elonis, of, posts)
(his wife, felt, afraid for her life)
(his wife, felt, afraid)
(his wife, viewing, some)
(his wife, viewing, some Elonis 's posts)
(his wife, felt, extremely afraid for her life)
(his wife, viewing, some of Elonis 's posts)
(his wife, felt, extremely afraid)
(state court, granted, her)
(state court, granted, protection-from-abuse order against Elonis)
(state court, granted, restraining order)
(state court, granted, essentially restraining order)
(state court, granted, protection-from-abuse order)
(state court, granted, three-year protection-from-abuse order)
(state court, granted, essentially order)
(Elonis, against order is, essentially restraining order)
(state court, granted, three-year protection-from-abuse order against Elonis)
(state court, granted, order)
(Elonis, referred on, his Tone Dougie page)
(Elonis, referred to, order)
(your, put, it)
(it, Is stop, bullet)
(prison time, 'll add, zeros)
(prison time, 'll add zeros to, my settlement)
(worse, comes to, worse)
(I, 've got enough, explosives)
(I, 've got, explosives)
(Sheriff, has, Department)
(link, was At, bottom)
(link, was At, bottom of post)
(Elonis 's reference, was basis for, Count Three his indictment)
(Elonis 's reference, was, basis)
(Elonis, has, reference to police)
(Elonis 's reference, was basis for, Count Three)
(Elonis 's reference, was basis for, Count Three of his indictment)
(Elonis 's reference, threatening, law enforcement officers)
(comedian, on, social commentary id. at 356-358)
(I, making, name for myself)
(I, making, name)
(making, name for, myself)
(Enough elementary schools, is in, ten mile radius)
(park security, had informed, local police)
(park security, had informed, Federal Bureau)
(park security, Meanwhile had informed, Federal Bureau of Investigation)
(park security, Meanwhile had informed, Federal Bureau)
(park security, Meanwhile had informed, police)
(park security, had informed, police)
(park security, Meanwhile had informed, local police)
(park security, had informed, Federal Bureau of Investigation)
(park security, Meanwhile had informed police about, Elonis 's posts)
(Elonis, about, posts)
(park security, had informed police about, Elonis 's posts)
(park security, had informed Federal Bureau about, Elonis 's posts)
(park security, Meanwhile had informed Federal Bureau about, Elonis 's posts)
(Agent Stevens, visited Elonis After, post about school shooting)
(her partner, visited Elonis After, post about school shooting)
(her partner, visited, Elonis)
(Agent Stevens, visited, Elonis)
(Agent Stevens, visited Elonis at, his house)
(her partner, visited Elonis at, his house)
(Agent Stevens, visited Elonis After, post)
(her partner, visited Elonis After, post)
(Elonis, was, polite)
(FBI, knockin at, yo)
(her, bleedin from, her jugular in arms)
(her, bleedin from, her jugular in arms of her partner)
(her, bleedin from, her jugular)
(you, be serving, warrant)
(you, best be serving, warrant)
(you, 're at, it)
(Cause, did y', know)
(Cause, little did y', know)
(I, was, jus)
(we, 're, goin)
(I, 'm, just crazy sociopath)
(I, 'm just crazy sociopath at_time, S ***)
(I, 'm, crazy sociopath)
(I, 'm, just sociopath)
(I, 'm just sociopath at_time, S ***)
(I, 'm crazy sociopath at_time, S ***)
(I, 'm sociopath at_time, S ***)
(I, 'm, sociopath)
(I, 'm, crazy)
(I, 'm, aspiring)
(his estranged wife, is in, all violation of 18 U. S. C. § 875)
(his, wife, kindergarten class)
(jury, indicted, Elonis)
(threats, injure, employees)
(employees, patrons of, park)
(threats, injure, patrons)
(his, wife, police officers)
(violation, in wife is, kindergarten class)
(grand jury, indicted, Elonis)
(violation, in wife is, police officers)
(threats, injure, patrons of park)
(Elonis, dismiss indictment, failing)
(Elonis, dismiss, indictment)
(he, threaten, anyone)
(Elonis, moved In, District Court)
(Elonis, only made, communication)
(Elonis, intentionally made not, communication)
(Elonis, made, communication)
(Elonis, made not, communication)
(Elonis, only made not, communication)
(Elonis, intentionally made, communication)
(Elonis, only intentionally made, communication)
(Elonis, only intentionally made not, communication)
(District Court, denied, motion)
(Elonis, testified At, trial)
(his posts, emulated, rap lyrics)
(fantasies, killing, his ex-wife)
(Elonis, In, view)
(witnesses Elonis, as, wife)
(Elonis, has, posts)
(Elonis, requested, jury instruction)
(he, communicate, true threat)
(he, communicate, threat)
(District Court, denied, request)
(jury instructions, instead informed, jury)
(jury instructions, informed, jury)
(defendant, intentionally makes, statement in context)
(defendant, intentionally makes, statement)
(statement, is in, context)
(statement, be, interpreted)
(defendant, statement in, context)
(maker, communicates statement as, serious expression)
(maker, communicates, statement)
(maker, communicates statement as, expression)
(statement, is, true)
(defendant, makes, statement)
(defendant, makes, statement in context)
(Government, has, closing argument)
(it, was, irrelevant)
(Elonis, intended, postings)
(jury, convicted, Elonis)
(Elonis, acquitting on, charge of park patrons)
(Elonis, acquitting on, charge)
(Elonis, acquitting on, only charge)
(Elonis, acquitting on, only charge of threatening park patrons)
(Elonis, acquitting on, charge of threatening park patrons)
(Elonis, acquitting on, only charge of park patrons)
(Elonis, was, sentenced)
(Elonis, was sentenced to, three years)
(Elonis, was sentenced to, eight months ' imprisonment)
(jury, been, required)
(he, intended, threats)
(jury instructions, is in, Court of Appeals)
(Elonis, renewed, his challenge)
(he, intended, his posts)
(jury, been required, find)
(his posts, be, threats)
(Court, disagreed, holding)
(intent, is, intent)
(person, would view as, threat)
(intent, is, only intent)
(reasonable person, would view as, threat)
(We, granted, certiorari)
(communication, contain, threat)
(communication, be, transmitted)
(word threat, is in, Section 875)
(one, has, intention inflicting)
(Webster, has, New International Dictionary 2633)
(specif., expression of, intention inflict by illegal means)
(Black, has, Law Dictionary 1519)
(intent, inflict harm on, another)
(intent, inflict, harm)
(intent, inflict, loss)
(intent, inflict loss on, another)
(author, regardless of, intent)
(letter, is in, mail)
(threat, letter in, mail)
(letter, received, threat)
(Government, argues For, its part)
(provisions, expressly include, mental state requirement)
(provisions, expressly include, state requirement)
(provisions, also prohibit, certain types of threats)
(provisions, include, mental state requirement)
(provisions, include, state requirement of intent extort)
(provisions, prohibit, certain types)
(provisions, prohibit, types of threats)
(provisions, include, mental state requirement of intent extort)
(provisions, also prohibit, types)
(provisions, include, state requirement)
(provisions, expressly include, state requirement of intent extort)
(provisions, also prohibit, types of threats)
(provisions, prohibit, types)
(provisions, prohibit, certain types of threats)
(provisions, expressly include, mental state requirement of intent extort)
(provisions, also prohibit, certain types)
(intent, extort, requirements)
(intent, extort, requirements in Sections 875)
(requirement, is in, Section 875)
(requirements, is in, Sections 875)
(Congress, omits, it)
(Congress, language in, one section of statute)
(Congress, language in, one section)
(it, is, presumed)
(Congress, particular language in, one section)
(it, is, generally presumed)
(Congress, here includes, language in one section)
(Congress, acts intentionally and purposely in, inclusion)
(Congress, acts intentionally in, disparate inclusion)
(particular language, is in, one section of statute)
(Congress, acts in, disparate inclusion)
(Congress, here includes, particular language in one section of statute)
(Congress, includes, particular language in one section)
(Congress, includes, language in one section)
(Congress, here includes, particular language in one section)
(Congress, here includes, language in one section of statute)
(Congress, includes, particular language)
(Congress, acts intentionally in, inclusion)
(Congress, here includes, particular language)
(Congress, acts intentionally and purposely in, disparate inclusion)
(Congress, includes, particular language in one section of statute)
(Congress, particular language in, one section of statute)
(Congress, includes, language in one section of statute)
(Congress, includes, language)
(Congress, here includes, language)
(Congress, acts in, inclusion)
(Government, takes too far, expressio unius est exclusio alterius canon)
(Government, takes far, expressio unius est exclusio alterius canon)
(Government, takes, expressio unius est exclusio alterius canon)
(Congress, excluded, requirement)
(Congress, requirement of, intent extort)
(Congress, excluded, requirement of intent extort)
(we, can conclude from, language of Section 875)
(we, most can conclude from, language)
(Congress, proscribe, class of threats)
(Congress, proscribe, broad class of threats)
(Congress, proscribe class in, Section 875)
(we, most can conclude from, language of Section 875)
(Congress, proscribe, broad class)
(Congress, proscribe, class)
(we, can conclude from, language)
(Congress, proscribe class in, c)
(omission, dispensing with, it)
(mere omission, dispensing with, it)
(rule, reflects, principle)
(rule, reflects, basic principle)
(wrongdoing, be, conscious)
(principle, consequent ability, choose)
(principle, is as, universal)
(principle, ability, choose)
(belief, is in, freedom of human will)
(he, can, can found)
(defendant, be blameworthy in, mind)
(defendant, be, blameworthy)
(concept courts, have expressed through, terms)
(concept courts, have expressed over, time)
(defendant, be blameworthy, can found)
(necessary element, is in, indictment of crime)
(mind, is, necessary element)
(mind, is, necessary)
(mind, is, element)
(guilty mind, is necessary element in, indictment of crime)
(mind, is necessary element in, indictment of crime)
(guilty mind, is, element)
(general rule, is, are exceptions)
(mind, is element in, indictment of crime)
(guilty mind, is, necessary element)
(guilty mind, is element in, indictment of crime)
(rule, is, are exceptions)
(them, statute by, its terms)
(his conduct, fit, definition)
(his conduct, fit, definition of offense)
(Morissette, believing, have abandoned)
(Morissette, believing, them)
(them, been, abandoned)
(Court, reversed, defendant 's conviction)
(defendant, has, conviction)
(he, had, know)
(we, considered, statute)
(we, considered, statute making)
(we, considered statute By, token)
(it, possess food stamps in, unauthorized manner)
(we, considered in, Liparota)
(we, considered statute By, same token)
(it, knowingly possess food stamps in, unauthorized manner)
(we, considered By, same token)
(it, possess, food stamps)
(it, possess food stamps in, manner)
(we, considered By, token)
(it, knowingly possess, food stamps)
(we, considered statute in, Liparota)
(it, knowingly possess food stamps in, manner)
(use, was unauthorized in, fact)
(Government, has, argument similar to position in case)
(defendant 's conviction, be, upheld)
(he, knowingly possessed, food stamps)
(use, was, unauthorized)
(its position, is in, case)
(he, possessed, food stamps)
(his possession, was, unauthorized)
(use, was, in fact unauthorized)
(defendant, has, conviction)
(his possession, was unauthorized in, fact)
(Court, rejected, that)
(it, use, food stamps)
(statute, made For, example)
(Government, under, interpretation)
(mental state requirement, is in, statute)
(Congress, intended, result)
(Court, require, knowledge)
(Court, construed, statute)
(Court, instead construed, statute)
(Court, take Ltd. in, Posters 'N' Things)
(Court, take, Ltd.)
(Court, take, Ltd. v. United States)
(prohibiting, sale of, drug paraphernalia)
(Court, interpreted, statute)
(Court, interpreted, federal statute)
(items, is in, question qualified)
(paraphernalia, was, objective)
(defendant, has, culpable state of mind)
(we, considered, statute)
(we, again considered, statute)
(we, considered in, X-Citement Video)
(criminalizing, distribution of, depictions of minors engaged in explicit conduct)
(criminalizing, distribution of, depictions of minors engaged in conduct)
(criminalizing, distribution of, depictions)
(we, considered statute in, X-Citement Video)
(we, again considered in, X-Citement Video)
(criminalizing, distribution of, visual depictions of minors engaged)
(criminalizing, distribution of, visual depictions of minors)
(criminalizing, distribution of, visual depictions of minors engaged in sexually explicit conduct)
(criminalizing, distribution of, visual depictions)
(criminalizing, distribution of, visual depictions of minors engaged in explicit conduct)
(criminalizing, distribution of, visual depictions of minors engaged in conduct)
(criminalizing, distribution of, depictions of minors engaged)
(criminalizing, distribution of, depictions of minors engaged in sexually explicit conduct)
(we, again considered statute in, X-Citement Video)
(criminalizing, distribution of, depictions of minors)
(defendant, only knowingly send regardless, prohibited materials)
(defendant, only send regardless, materials)
(defendant, only send regardless, prohibited materials)
(defendant, knowingly send, prohibited materials)
(defendant, knowingly send regardless, prohibited materials)
(defendant, only send, prohibited materials)
(defendant, only knowingly send, materials)
(defendant, knowingly send regardless, materials)
(defendant, send, materials)
(defendant, only knowingly send, prohibited materials)
(defendant, send regardless, materials)
(defendant, only send, materials)
(defendant, send regardless, prohibited materials)
(defendant, only knowingly send regardless, materials)
(defendant, knowingly send, materials)
(We, rejected, reading)
(defendant, send, prohibited materials)
(those, were minors, element)
(element, separating legal innocence from, wrongful conduct)
(crucial element, separating legal innocence from, wrongful conduct)
(element, separating, innocence)
(crucial element, separating legal innocence from, conduct)
(element, separating, legal innocence)
(those, were minors, crucial element)
(element, separating legal innocence from, conduct)
(crucial element, separating, legal innocence)
(element, separating innocence from, conduct)
(crucial element, separating innocence from, wrongful conduct)
(those, were, minors)
(crucial element, separating, innocence)
(crucial element, separating innocence from, conduct)
(element, separating innocence from, wrongful conduct)
(defendant, must know at, 619)
(we, considered For, example)
(defendant, have, intent steal)
(concerns, are satisfied for, taking)
(concerns, are, fully satisfied)
(concerns, underlying, presumption)
(concerns, underlying, presumption in favor of scienter)
(underlying, presumption in, favor of scienter)
(concerns, are fully satisfied for, taking)
(defendant, forcibly took, money)
(concerns, are fully satisfied for, forceful taking)
(concerns, underlying, presumption in favor)
(concerns, are satisfied for, forceful taking)
(concerns, are, satisfied)
(presumption, is in, favor of scienter)
(defendant, took, money)
(underlying, presumption in, favor)
(defendant, take, money)
(defendant, take money with, intent steal)
(it, contained, threat)
(communication, was, transmitted)
(presumption, is in, favor of scienter requirement)
(72, at Video is, 513 U. S.)
(he, transmitting, communication)
(crucial element, separating legal innocence from, wrongful conduct)
(crucial element, separating, legal innocence)
(crucial element, is, nature)
(crucial element, separating innocence from, wrongful conduct)
(crucial element, is, threatening nature)
(element, separating legal innocence from, conduct)
(crucial element, is, Here threatening nature)
(crucial element, is threatening nature of, communication)
(element, Here is threatening nature of, communication)
(element, Here is nature of, communication)
(element, separating innocence from, wrongful conduct)
(crucial element, is, Here nature)
(element, is threatening nature of, communication)
(element, separating, innocence)
(element, separating innocence from, conduct)
(element, separating legal innocence from, wrongful conduct)
(element, separating, legal innocence)
(crucial element, is nature of, communication)
(element, is, Here threatening nature)
(element, is, Here nature)
(element, is, threatening nature)
(element, is, nature)
(crucial element, Here is threatening nature of, communication)
(crucial element, Here is nature of, communication)
(element, is nature of, communication)
(crucial element, separating innocence from, conduct)
(crucial element, separating, innocence)
(crucial element, separating legal innocence from, conduct)
(state requirement, must apply to, fact)
(communication, contains, threat)
(mental state requirement, must therefore apply to, fact)
(mental state requirement, must apply to, fact)
(state requirement, must therefore apply to, fact)
(his posts, would, how would understood by reasonable person)
(Elonis 's conviction, was premised solely, how would understood by person)
(Elonis 's conviction, however was premised solely, how would understood)
(Elonis 's conviction, was premised solely, would understood by person)
(Elonis 's conviction, was, premised)
(Elonis 's conviction, however was premised, would understood)
(Elonis 's conviction, however was premised solely, how would understood by reasonable person)
(his posts, would, would understood by reasonable person)
(Elonis 's conviction, was premised, how would understood by person)
(Elonis 's conviction, however was premised solely, how would understood by person)
(his posts, would, would understood by person)
(Elonis 's conviction, was, however premised solely)
(Elonis 's conviction, was premised, would understood by reasonable person)
(Elonis 's conviction, however was premised, how would understood by reasonable person)
(Elonis 's conviction, was premised, would understood)
(Elonis 's conviction, was, premised solely)
(his posts, would, how would understood)
(Elonis 's conviction, however was premised, how would understood by person)
(Elonis 's conviction, was, however premised)
(Elonis 's conviction, however was premised solely, would understood)
(his posts, would, how would understood by person)
(Elonis 's conviction, was premised, how would understood by reasonable person)
(Elonis 's conviction, was premised, how would understood)
(Elonis 's conviction, however was premised solely, would understood by reasonable person)
(Elonis 's conviction, however was premised solely, would understood by person)
(Elonis 's conviction, was premised solely, how would understood by reasonable person)
(Elonis 's conviction, was premised, would understood by person)
(Elonis 's conviction, however was premised, would understood by reasonable person)
(Elonis 's conviction, was premised solely, would understood by reasonable person)
(his posts, would, would understood)
(Elonis 's conviction, however was premised, would understood by person)
(Elonis, has, conviction)
(Elonis 's conviction, was premised solely, would understood)
(Elonis 's conviction, however was premised, how would understood)
(Elonis 's conviction, was premised solely, how would understood)
(standard, is, familiar)
(civil liability, is in, tort law)
(606-607, at Staples is, 511 U. S.)
(reasonable person, regards communication as, threat)
(person, regards communication as, threat)
(person, regards, communication)
