(October 7 2015, Decided at_time, January 20 2016)
(Gleason, killed, one of his co-conspirators)
(Gleason, killed, one his co-conspirators)
(Carrs ' notorious Wichita crime spree, culminated in, rape)
(Carrs ' notorious Wichita crime spree, culminated in, brutal rape)
(Carrs ' Wichita crime spree, culminated in, rape)
(Carrs ' Wichita crime spree, culminated in, brutal rape)
(Constitution, required, sentencing courts)
(Sidney Gleason, was paroled from, his sentence)
(he, joined companion, paroled)
(Sidney Gleason, was paroled from, his sentence for attempted manslaughter)
(he, joined companion, paroled from his sentence for attempted manslaughter)
(Sidney Gleason, was paroled from, his sentence for voluntary manslaughter)
(he, joined companion, paroled from his sentence for manslaughter)
(he, joined companion, paroled from his sentence for attempted voluntary manslaughter)
(Sidney Gleason, was paroled from, his sentence for manslaughter)
(he, joined companion, paroled from his sentence for voluntary manslaughter)
(he, joined, companion)
(he, joined companion, paroled from his sentence)
(Sidney Gleason, was paroled from, his sentence for attempted voluntary manslaughter)
(Sidney Gleason, was, paroled)
(his, cousin, Damien Thompson)
(his cousin, kill, co-conspirator Mikiala Martinez)
(Gleason shot, drove Martinez to, Gleason standing by gun for final shot)
(Gleason, drove Martinez to, Gleason standing for shot)
(Gleason, drove Martinez to, Gleason standing for final shot)
(Thompson, shot, her)
(Gleason shot, drove, Martinez)
(Gleason shot, drove Martinez to, Gleason standing by gun for shot)
(Thompson, strangled, her)
(Gleason shot, drove Martinez to, Gleason standing for shot)
(Gleason, drove Martinez to, Gleason standing)
(Gleason shot, drove Martinez to, Gleason standing by gun)
(Gleason, drove Martinez to, Gleason standing by gun)
(rural location, standing for, final shot)
(Martinez, has, boyfriend)
(Gleason shot, drove Martinez to, Gleason standing for final shot)
(rural location, standing by, gun)
(Gleason, drove, Thompson)
(Gleason, drove, Martinez)
(Gleason shot, drove Martinez to, Gleason standing)
(Gleason, drove Martinez to, Gleason standing by gun for shot)
(Gleason, drove Martinez to, Gleason standing by gun for final shot)
(State, ultimately charged, Gleason)
(State, charged Gleason with, capital murder)
(State, attempted, murder)
(State, attempted, first-degree murder)
(State, ultimately charged Gleason with, capital murder)
(State, aggravated robbery of, man)
(State, robbery of, man)
(State, killing, Martinez kidnaping of Martinez)
(her boyfriend, murder of, boyfriend)
(State, aggravated robbery of, elderly man)
(State, killing, Martinez kidnaping)
(State, possession of, firearm)
(State, robbery of, elderly man)
(State, charged, Gleason)
(State, criminal possession of, firearm)
(State, killing, Martinez aggravating kidnaping of Martinez)
(her, boyfriend, first-degree premeditated murder of boyfriend)
(State, killing, Martinez aggravating kidnaping)
(He, was, convicted on counts except murder charge)
(He, was, convicted on counts except attempted murder charge)
(He, was, convicted on counts except attempted first-degree murder charge)
(He, was convicted on, counts)
(He, was, convicted on counts except first-degree murder charge)
(State, proved beyond, doubt)
(State, proved beyond, reasonable doubt)
(him, make cash withdrawals at, ATMs)
(Jonathan Carr, set out, man)
(Jonathan Carr, set out, Reginald Carr)
(Jonathan Carr, held, gun)
(brothers Reginald, set out, Reginald Carr)
(brothers Reginald, set out Reginald Carr In, December 2000)
(brothers Reginald, set out, unknown man)
(Jonathan Carr, held gun to, his head)
(Jonathan Carr, forced, him)
(Jonathan Carr, set out, unknown man)
(brothers Reginald, set out, man)
(him, make cash withdrawals at, various ATMs)
(Jonathan Carr, set out man In, December 2000)
(brothers Reginald, set out man In, December 2000)
(Jonathan Carr, set out Reginald Carr In, December 2000)
(him, make, cash withdrawals)
(brothers, followed, cellist)
(brothers, followed Linda Ann Walenta On, night of December 11)
(Linda Ann Walenta, home from, orchestra practice)
(brothers, followed, cellist for Wichita symphony)
(brothers, followed Linda Ann Walenta On, night)
(brothers, followed, home from orchestra practice)
(brothers, followed, home)
(brothers, followed, Linda Ann Walenta)
(Linda Ann Walenta, cellist for, Wichita symphony)
(he, pointed at, her head)
(he, pointed, gun)
(he, pointed gun at, her head)
(she, rolled down, her window)
(he, ran back to, his brother 's car)
(he, fled, scene)
(he, ran to, his brother 's car)
(brother, to, car)
(she, shifted, escape)
(she, shifted into, reverse)
(he, shot, three times)
(she, died later as, result)
(Walenta, has, spine)
(she, died as, result of her injuries)
(she, died as, result)
(she, died later as, result of her injuries)
(brothers, burst On, night of December 14)
(brothers, burst On, night)
(brothers, burst into, triplex)
(Heather, friend 's, of Aaron)
(Heather, friend of, of Aaron)
(Jason 's girlfriend, were in, also house)
(Jason 's girlfriend, were in, house)
(Heather, were in, house)
(Heather, were in, also house)
(Jason, has, girlfriend)
(Jason, 's girlfriend is, Holly)
(Jason, into, bedroom)
(brothers, forced, all five into Jason 's bedroom)
(brothers, Armed with, handguns)
(naked, ordered, them)
(later, ordered, them)
(They, took, Heather)
(Carrs, barked, orders)
(they, perform, oral sex)
(They, took Heather from, bedroom)
(They, took, Holly)
(they, perform, sex)
(They, took Holly from, bedroom)
(sex, is with, Holly)
(They, forced, each of men)
(They, forced, each men)
(Holly, performed sex on, him)
(Holly, performed, oral sex)
(Holly, performed, sex)
(he, was ordered out by, brothers)
(Jason, for, life)
(Holly, fearing for, Jason 's life)
(Holly, performed sex in, closet)
(Jonathan, snatched Holly from, closet)
(Jonathan, snatched, Holly)
(she, digitally penetrate, herself)
(she, penetrate, herself)
(He, set, his gun)
(he, raped, her)
(he, raped, Heather)
(Reginald, took, Brad)
(Reginald, took Brad one-by-one to, various ATMs)
(Reginald, took Brad to, ATMs)
(Reginald, took Brad one-by-one to, ATMs)
(Reginald, took Brad to, various ATMs)
(Reginald, took one-by-one, Brad)
(victims, returned to, house)
(Holly, uri-nated because of, fright)
(Holly, uri-nated in, closet)
(Jason, was keeping as, surprise)
(Jonathan, found, engagement ring hidden)
(Jonathan, found, engagement ring)
(Jason, was keeping as, surprise for Holly)
(Jason, identify ring, Holly was sitting in closet)
(Holly, was sitting nearby in, closet)
(he, Pointing, his gun)
(Jason, identify, ring)
(Jason, identify ring, Holly was sitting)
(Jason, identify ring, Holly was sitting nearby)
(Jason, identify ring, Holly was sitting nearby in closet)
(Holly, was sitting in, closet)
(floor, strewn with, boxes)
(dining-room floor, strewn with, boxes Christmas decorations)
(dining-room floor, strewn with, boxes)
(Reginald, took Holly from, closet)
(floor, strewn with, boxes Christmas decorations)
(Reginald, took, Holly)
(He, ejaculated into, her mouth)
(He, forced, her)
(He, forced, her)
(He, forced, swallow)
(Jonathan, again raped, Heather)
(Jonathan, again raped Heather In, nearby bathroom)
(Jonathan, again raped Heather In, bathroom)
(Jonathan, raped, Heather)
(Jonathan, raped, Holly)
(Jonathan, again raped, Holly)
(Jonathan, raped Heather In, bathroom)
(Jonathan, raped Heather In, nearby bathroom)
(it, leave, house)
(They, put, all five victims)
(Aaron, of, Honda Civic)
(they, jammed, three men)
(they, jammed, three young men)
(They, directed Heather to, front)
(They, directed Heather to, front to Jason 's pickup truck)
(They, directed, Heather)
(Jason, to, pickup truck)
(They, directed Heather to, front of car)
(They, directed Heather to, front of car to Jason 's pickup truck)
(they, instructed Aaron, kneel in snow)
(vehicles, arrived at, snow-covered field)
(they, instructed Brad, kneel)
(they, instructed Brad, kneel in snow)
(they, instructed Jason, kneel in snow)
(they, instructed, Aaron)
(they, instructed Jason, kneel)
(they, instructed, Brad)
(they, instructed, Jason naked)
(they, instructed Aaron, kneel)
(they, instructed, Jason)
(vehicles, Once arrived at, snow-covered field)
(they, instructed, Jason still naked)
(vehicles, Once arrived at, field)
(they, kneel in, snow)
(vehicles, arrived at, field)
(they, shoot, us)
(Holly, kneel in, snow)
(Heather, were, then ordered)
(Heather, were, ordered)
(Jason, to, side)
(Holly, heard, first shot)
(Aaron, plead with, brothers)
(Holly, heard, second shot)
(Holly, heard, third shot)
(Holly, heard, shot)
(Holly, heard, shot)
(Holly, heard, screams)
(Holly, heard, shot)
(She, remained, kneeling)
(She, felt, blow of shot to her head)
(She, felt, blow to her head)
(She, felt, blow of shot)
(She, felt, blow of fifth shot to her head)
(She, felt, blow of fifth shot)
(She, felt, blow)
(They, kicked, her)
(she, ran over, over pickup truck)
(she, would fall face-first into, snow)
(she, ran, her)
(she, would fall into, snow)
(night, deflected, bullet)
(she, survived, hair clip)
(she, fastened to, her hair)
(She, took off, her sweater)
(She, only scrap, brothers had let)
(She, went to, Jason)
(She, scrap, brothers had let)
(She, tied, it)
(She, rushed to, Brad)
(She, rushed, then Heather)
(She, rushed, then Aaron)
(She, rushed, Aaron)
(She, rushed Aaron to, Brad)
(She, rushed, Heather)
(She, rushed Heather to, Brad)
(Holly, Spotting, house)
(Holly, Spotting house with, Christmas lights)
(Holly, started, running)
(Holly, Spotting house with, Christmas lights in distance)
(Holly, running for, help)
(Holly, started, running for help)
(Holly, Spotting house with, white Christmas lights)
(Holly, running toward, it)
(Holly, Spotting house with, white Christmas lights in distance)
(Holly, started, running toward it)
(Holly, started, running toward it for help)
(white Christmas lights, is in, distance)
(brothers, returning, herself)
(it, was, brothers)
(it, returning, herself)
(She, made, it)
(man, opened, door)
(night, of, events to jury)
(retold, play-by-play of, night 's events to jury)
(retold, play-by-play of, night 's events)
(Holly, retold, play-by-play of night 's events to jury)
(Holly, retold, play-by-play)
(Holly, retold, play-by-play of night 's events)
(brothers, returned to, Birchwood house)
(they, ransacked place to, death)
(they, ransacked place to, death with golf club)
(they, ransacked, place for valuables)
(beat Holly, 's dog is, Nikki)
(beat Holly, has, dog)
(they, ransacked, place)
(brothers, leaving, five friends)
(death, is with, golf club)
(they, place for, valuables)
(jury, returned, guilty verdicts)
(State, charged, each of brothers)
(State, charged, each brothers)
(jury, returned, verdicts)
(jury, returned, separate verdicts)
(jury, returned, separate guilty verdicts)
(It, convicted, aggravated battery)
(one count, of Reginald is, aggravated battery)
(It, convicted, damage)
(It, convicted, Reginald)
(It, convicted, one count of first-degree felony murder for Walenta shooting)
(It, convicted, one count of first-degree felony murder)
(It, convicted, Reginald of one count of kidnaping)
(It, convicted, one count)
(It, convicted, one count of felony murder for Walenta shooting)
(It, convicted, robbery)
(It, convicted, Reginald of one count)
(It, convicted, battery)
(one count, of Reginald is, aggravated robbery)
(It, convicted, aggravated robbery)
(It, convicted, one count of felony murder)
(jury, convicted, Reginald of three counts of unlawful possession of firearm)
(jury, also convicted, Reginald of three counts of unlawful possession of firearm)
(jury, convicted, Reginald of three counts of possession of firearm)
(jury, also convicted, Reginald)
(jury, also convicted, Reginald of three counts)
(jury, convicted, Reginald of three counts)
(jury, convicted, Reginald of three counts of possession)
(jury, convicted, Reginald of three counts of unlawful possession)
(jury, convicted, Reginald)
(jury, also convicted, Reginald of three counts of unlawful possession)
(jury, also convicted, Reginald of three counts of possession of firearm)
(jury, also convicted, Reginald of three counts of possession)
(brothers, were, sentenced together)
(State, sought death penalty for, each of four Birchwood murders)
(State, sought death penalty for, each four Birchwood murders)
(brothers, were, sentenced)
(State, sought, death penalty)
(defendants, knowingly killed, great risk of death)
(defendants, knowingly or purposely killed, risk of death)
(they, committed, crimes)
(they, committed, crimes)
(they, committed, crimes)
(State, relied on, guilt-phase evidence including Holly 's two days)
(Holly, including, two days of testimony)
(items, money of, value)
(defendants, killed, great risk)
(State, relied on, guilt-phase evidence including Holly 's two days as evidence of four aggravating circumstances)
(they, prevent, arrest)
(State, relied on, guilt-phase evidence as evidence of four circumstances)
(they, committed crimes in, heinous manner)
(defendants, knowingly killed, risk)
(defendants, great risk of, death)
(defendants, killed, risk of death)
(they, committed crimes in, manner)
(defendants, knowingly or purposely killed, great risk)
(defendants, knowingly killed, great risk)
(State, relied on, guilt-phase evidence)
(defendants, knowingly killed, risk of death)
(defendants, knowingly or purposely killed, risk)
(defendants, killed, risk)
(State, relied on, guilt-phase evidence including Holly 's two days of testimony as evidence of four circumstances)
(State, relied on, guilt-phase evidence including Holly 's two days as evidence)
(defendants, killed, great risk of death)
(State, relied on, guilt-phase evidence including Holly 's two days of testimony)
(State, relied on, guilt-phase evidence including Holly 's two days as evidence of four circumstances)
(defendants, knowingly or purposely killed, great risk of death)
(State, relied on, guilt-phase evidence including Holly 's two days of testimony as evidence)
(State, relied on, guilt-phase evidence as evidence)
(they, prevent, prosecution)
(State, relied on, guilt-phase evidence including Holly 's two days of testimony as evidence of four aggravating circumstances)
(they, committed crimes in, especially heinous manner)
(State, relied on, guilt-phase evidence as evidence of four aggravating circumstances)
(defendants, risk of, death)
(items, money of, monetary value)
(jury, issued, verdicts for Reginald)
(jury, hearing, brother 's case for mitigation)
(brother, has, case for mitigation)
(jury, issued, verdicts of death)
(jury, issued, verdicts of death for Reginald)
(jury, hearing, case)
(jury, issued, separate verdicts of death for Reginald)
(jury, verdicts of, death)
(jury, hearing, case for mitigation)
(jury, verdicts for, Reginald)
(jury, issued, verdicts)
(jury, issued, separate verdicts of death)
(jury, separate verdicts of, death)
(jury, issued, separate verdicts for Reginald)
(jury, issued, separate verdicts)
(jury, separate verdicts for, Reginald)
(jury, hearing, brother 's case)
(State, proved, existence of four circumstances)
(State, proved existence beyond, doubt)
(State, proved, existence of four aggravating circumstances)
(State, proved, existence)
(aggravating circumstances, outweighed, mitigating circumstances)
(circumstances, outweighed, mitigating circumstances)
(State, existence of, four aggravating circumstances)
(State, proved existence beyond, reasonable doubt)
(State, proved beyond, doubt)
(aggravating circumstances, outweighed, circumstances)
(State, proved beyond, reasonable doubt)
(circumstances, outweighed, circumstances)
(State, existence of, four circumstances)
(Kansas Supreme Court, vacated, death penalties in cases)
(death penalties, is in, cases)
(satisfaction, is in, juror 's sentencing decision)
(they, affirmatively inform, jury)
(instructions, violated, Eighth Amendment)
(they, inform, jury)
(instructions, violated Eighth Amendment, they failed)
(juror, in, sentencing decision)
(1147, at Kan. is, 329 P. 3d)
(733, at Kan. is, 331 P. 3d)
(jury, speculate as to, correct burden)
(jury, was left Without, instruction)
(jury, was left according to, court)
(jury, speculate as to, burden)
(jury, was left, speculate)
(jury, was, left)
(1148, at Kan. is, 329 P. 3d)
(jurors, exclude, relevant evidence)
(jurors, exclude, relevant evidence from their consideration)
(jurors, exclude, relevant mitigating evidence from their consideration)
(jurors, exclude, mitigating evidence)
(jurors, exclude, mitigating evidence from their consideration)
(jurors, exclude, evidence)
(jurors, exclude, evidence from their consideration)
(jurors, exclude, relevant mitigating evidence)
(trial court, because of, failure sever)
(1212, at Kan. is, 329 P. 3d)
(717, at Kan. is, 331 P. 3d)
(joint trial, inhibited, jury 's consideration of Jonathan)
(jury, has, individualized consideration of Jonathan)
(his brother 's visible handcuffs, prejudiced, jury 's consideration)
(joint trial, inhibited, jury 's consideration)
(jury, has, consideration of sentence)
(joint trial, inhibited, jury 's individualized consideration)
(he, shared with, his brother)
(his brother 's visible handcuffs, prejudiced, jury 's consideration of his sentence)
(his brother 's handcuffs, prejudiced, jury 's consideration of his sentence)
(brother, has, visible handcuffs)
(trial, inhibited, jury 's consideration of Jonathan)
(trial, inhibited, jury 's consideration)
(joint trial, inhibited, jury 's individualized consideration of Jonathan)
(his brother 's handcuffs, prejudiced, jury 's consideration)
(trial, inhibited, jury 's individualized consideration)
(trial, inhibited, jury 's individualized consideration of Jonathan)
(717, at Kan. is, 331 P. 3d)
(he, was prejudiced As for, Reginald)
(he, was prejudiced by, Jonathan 's portrayal as corrupting older brother)
(he, was prejudiced by, Jonathan 's portrayal of him as corrupting brother)
(he, was prejudiced by, Jonathan 's portrayal of him as brother)
(he, was prejudiced by, Jonathan 's portrayal)
(he, was prejudiced by, Jonathan 's portrayal as corrupting brother)
(he, was, prejudiced)
(he, was prejudiced by, Jonathan 's portrayal of him)
(he, was prejudiced by, Jonathan 's portrayal of him as older brother)
(he, was prejudiced according to, Kansas Supreme Court)
(he, was prejudiced by, Jonathan 's portrayal as brother)
(he, was prejudiced by, Jonathan 's portrayal as older brother)
(he, was prejudiced by, Jonathan 's portrayal of him as corrupting older brother)
(Jonathan, by, portrayal of him as corrupting older brother)
(Reginald, Moreover was prejudiced by, his brother 's cross-examination)
(Reginald, was, Moreover prejudiced)
(brother, by, cross-examination of sister)
(Reginald, was prejudiced by, his brother 's cross-examination)
(Reginald, was, prejudiced)
(Kansas Supreme Court, opined, that)
(defendants ' joint upbringing, is in, maelstrom)
(719-720, at Ibid. is, 331 P. 3d)
(Kansas Supreme Court, found, itself unable)
(itself, unable, say)
(We, granted, certiorari)
(Kansas Supreme Court, to, contention)
(We, first turn to, Kansas Supreme Court 's contention)
(Eighth Amendment, required, courts)
(Eighth Amendment, required, capital-sentencing courts)
(We, turn to, Kansas Supreme Court 's contention)
(Gleason, has, challenge to jurisdiction)
(we, consider, Gleason 's challenge)
(we, considering, merits)
(we, consider, Gleason 's challenge to our jurisdiction)
(we, considering, merits of contention)
(Kansas Supreme Court 's decision, rests on, grounds)
(Kansas Supreme Court 's decision, rests on, adequate grounds)
(Kansas Supreme Court, has, decision)
(Kansas Supreme Court 's decision, rests on, adequate state-law grounds)
(Kansas Supreme Court 's decision, rests According to, Gleason)
(Kansas Supreme Court 's decision, rests on, state-law grounds)
(argument, is, familiar)
(argument, is, familiar one)
(We, rejected, it)
(286 Kan. 54, 3d per, curiam)
(defendant, is in, case)
(curiam, per 3d is, 2001)
(curiam, per 3d is, 2008)
(itself, rested, we stated)
(itself, rested on, law)
(Kleypas, rested on, federal law)
(Kleypas, rested, we stated in Marsh)
(itself, rested, we stated in Marsh)
(Kleypas, rested, we stated)
(Kleypas, rested on, law)
(we, stated in, Marsh)
(itself, rested on, federal law)
(Kleypas, on, discussion of constitutional rule)
(sentencer, has, consideration of relevant mitigating evidence)
(Kansas Supreme Court 's opinion, acknowledged, as much)
(Kansas Supreme Court 's opinion, is in, case)
(Kansas Supreme Court 's opinion, acknowledged, much)
(Kansas Supreme Court, has, opinion in case)
(1147, at Kan. is, 329 P. 3d)
(Kansas Supreme Court, has, opinion)
(Eighth Amendment error, of onsequen is, ce)
(Gleason, has, right to individualized sentencing under Eighth Amendment)
(capital defendant, has, Eighth Amendment right to individualized sentencing)
(Gleason, of, death sentence)
(criticism, is, misdirected)
(criticism, is misdirected For, reason)
(It, would, would have none)
(Gleason, has, death sentences on state-law grounds)
(It, would, would have none of our business)
(It, would, generally would have none)
(It, would, generally would have none of our business)
(184, at Marsh is, 548 U. S.)
(Kansas Supreme Court time, invalidates death sentences, it says)
(Kansas Supreme Court time, invalidates, death sentences)
(again, invalidates death sentences, it says)
(again, invalidates, death sentences)
(state court, has, federal errors)
(we, correct, state court 's errors)
(we, correct, state court 's federal errors)
(they, do in, wake of Court 's decisions)
(they, often do in, wake)
(they, often do in, wake of Court 's decisions)
(Court, of, decisions)
(they, do in, wake)
(Its, Aftermath, 94 Va.)
(Court, has, review)
(experiment, is with, our Federal Constitution)
(law, Turning, blind eye in cases)
(uniform law, Turning, blind eye)
(blind eye, is in, such cases)
(Turning, blind eye in, such cases)
(law, Turning, eye in cases)
(Turning, eye in, cases)
(law, Turning, eye)
(law, Turning, blind eye)
(uniform law, Turning, blind eye in cases)
(law, Turning, blind eye in such cases)
(uniform law, Turning, eye in such cases)
(uniform law, Turning, eye in cases)
(law, Turning, eye in such cases)
(Turning, eye in, such cases)
(uniform law, Turning, blind eye in such cases)
(Turning, blind eye in, cases)
(uniform law, Turning, eye)
(185, at Marsh is, supra)
(state courts, blame, death-sentence reprieve of most horrible criminals)
(state courts, blame, death-sentence reprieve)
(it, is in, when fact)
(it, is in, fact)
(state courts, blame, unpopular death-sentence reprieve of horrible criminals)
(state courts, blame, unpopular death-sentence reprieve of most horrible criminals)
(state courts, blame death-sentence reprieve in, fact)
(state courts, blame, death-sentence reprieve of criminals)
(it, would enable, state courts)
(state courts, blame death-sentence reprieve upon, Federal Constitution)
(state courts, blame death-sentence reprieve in, when fact)
(state courts, blame, unpopular death-sentence reprieve of criminals)
(state courts, blame, unpopular death-sentence reprieve)
(state courts, blame, death-sentence reprieve of horrible criminals)
(We, turn to, merits)
(Eighth Amendment, requires, capital-sentencing courts in Kansas)
(Eighth Amendment, courts in, Kansas)
(Eighth Amendment, requires, courts in Kansas)
(Kansas Supreme Court, of, conclusion)
(Eighth Amendment, capital-sentencing courts in, Kansas)
(Eighth Amendment, requires, courts)
(Eighth Amendment, requires, capital-sentencing courts)
(capital-sentencing courts, is in, Kansas)
(We, turn to, merits of Kansas Supreme Court 's conclusion)
(1148, at Kan. is, 329 P. 3d)
(we, Approaching, question in abstract)
(it, apply standard to, determination)
(question, is in, abstract)
(it, apply, standard)
(it, apply standard to, mitigating-factor determination)
(we, Approaching, question)
(it, apply, standard of proof)
(it, is, possible)
(it, is, even possible)
(It, do for, eligibility phase)
(It, do so for, aggravating-factor determination)
(It, is, possible)
(It, do for, aggravating-factor determination)
(It, do for, determination)
(It, is possible, purely factual determination)
(It, do so for, determination)
(that, is, factual)
(It, is possible, determination)
(It, do so for, eligibility phase)
(It, is possible, factual determination)
(It, do so for, so-called eligibility phase)
(It, do for, so-called eligibility phase)
(facts, justifying, death set)
(facts, justifying death set forth in, Kansas statute)
(they, be made beyond, reasonable doubt)
(they, exist, made)
(facts, justifying death set in, Kansas statute)
(they, exist, made beyond doubt)
(facts, justifying forth, death set)
(they, be, made)
(they, exist, made beyond reasonable doubt)
(one, can require, finding)
(they, be made beyond, doubt)
(ultimate question, is, question)
(ultimate question, is, mostly question)
(mitigating circumstances, aggravating, circumstances)
(ultimate question, is mostly question of, course)
(ultimate question, is question of, course)
(question, is question of, course)
(circumstances, aggravating, circumstances)
(question, is mostly question of, course)
(question, is, question)
(question, is, mostly question)
(defendants, deserve, mercy)
(defendants, deserve, it)
(defendants, deserve mercy beyond, reasonable doubt)
(defendants, more-likely-than-not deserve, it)
(defendants, deserve mercy beyond, doubt)
(It, tell, jury)
(facts, are, indeed mitigating)
(It, would, would possible)
(facts, establishing, circumstances)
(they, outweigh aggravators to, jury 's discretion without standard)
(they, outweigh, aggravators)
(It, leaving, judgment)
(they, outweigh aggravators to, jury 's discretion)
(facts, establishing, mitigating circumstances)
(facts, are, mitigating)
(jury, to, discretion without standard of proof)
(It, instruct, jury)
(they, outweigh aggravators to, jury 's discretion without standard of proof)
(It, would, would possible of course)
(we, were, hold)
(we, doubt, we were)
