(UNITED STATES, v. BECKLES is, 2017)
(Eleventh Circuit, distinguishing, ACCA 's unconstitutionally vague clause from clause in Guidelines)
(Eleventh Circuit, distinguishing, ACCA 's clause from clause)
(ACCA, has, unconstitutionally vague residual clause from residual clause in Sentencing Guidelines)
(Eleventh Circuit, affirmed On, remand)
(Eleventh Circuit, distinguishing, ACCA 's vague residual clause from residual clause)
(Eleventh Circuit, distinguishing, ACCA 's unconstitutionally vague residual clause)
(Eleventh Circuit, distinguishing, ACCA 's unconstitutionally vague residual clause from clause)
(Eleventh Circuit, distinguishing, ACCA 's unconstitutionally vague clause from residual clause)
(Eleventh Circuit, distinguishing, ACCA 's clause from residual clause)
(Eleventh Circuit, distinguishing, ACCA 's unconstitutionally vague residual clause from residual clause)
(Eleventh Circuit, distinguishing, ACCA 's clause)
(Eleventh Circuit, distinguishing, ACCA 's clause from clause in Sentencing Guidelines)
(Eleventh Circuit, distinguishing, ACCA 's residual clause from residual clause)
(Eleventh Circuit, distinguishing, ACCA 's vague clause)
(Eleventh Circuit, distinguishing, ACCA 's clause from residual clause in Sentencing Guidelines)
(Eleventh Circuit, distinguishing, ACCA 's unconstitutionally vague residual clause from clause in Guidelines)
(Eleventh Circuit, distinguishing, ACCA 's residual clause from clause)
(Eleventh Circuit, distinguishing, ACCA 's vague residual clause)
(it, give, ordinary people)
(it, give, standardless)
(Due Process Clause, taking, property)
(it, give, people)
(it, give, fair notice)
(Process Clause, prohibits, Government)
(Due Process Clause, prohibits, Government)
(Due Process Clause, taking property under, law)
(Process Clause, taking property under, criminal law)
(it, invites, enforcement)
(it, give, notice)
(Process Clause, taking, property)
(Due Process Clause, taking liberty under, law)
(Due Process Clause, taking, someone 's life)
(it, invites, arbitrary enforcement)
(it, give, so standardless)
(Process Clause, taking, someone 's life)
(Due Process Clause, taking, liberty)
(Process Clause, taking liberty under, law)
(Due Process Clause, taking liberty under, criminal law)
(Process Clause, taking liberty under, criminal law)
(Process Clause, taking property under, law)
(Process Clause, taking, liberty)
(Due Process Clause, taking property under, criminal law)
(someone, has, life)
(___, at Johnson is, supra)
(ACCA 's residual clause, range of, sentences)
(ACCA 's clause, fixed, higher range of sentences for certain defendants)
(ACCA 's residual clause, higher range for, certain defendants)
(ACCA 's clause, range for, defendants)
(ACCA 's residual clause, fixed, range of sentences for defendants)
(ACCA 's residual clause, fixed, higher range of sentences for defendants)
(Court, held In, Johnson)
(ACCA 's clause, fixed, range of sentences for certain defendants)
(ACCA 's residual clause, fixed, range for certain defendants)
(ACCA 's clause, range of, sentences)
(ACCA 's clause, fixed, higher range of sentences)
(ACCA 's residual clause, fixed, higher range)
(ACCA 's residual clause, range for, defendants)
(ACCA 's clause, fixed, higher range of sentences for defendants)
(ACCA 's clause, higher range of, sentences)
(ACCA 's clause, higher range for, defendants)
(ACCA, has, residual clause)
(ACCA 's clause, fixed, range of sentences)
(ACCA 's residual clause, fixed, higher range for defendants)
(ACCA 's clause, fixed, higher range for defendants)
(ACCA 's residual clause, fixed, higher range of sentences)
(ACCA 's residual clause, fixed, range for defendants)
(ACCA 's clause, higher range for, certain defendants)
(ACCA 's clause, range for, certain defendants)
(ACCA 's residual clause, higher range for, defendants)
(ACCA 's clause, fixed, higher range)
(ACCA 's residual clause, fixed, higher range for certain defendants)
(ACCA 's clause, fixed, range for certain defendants)
(ACCA 's residual clause, fixed, higher range of sentences for certain defendants)
(ACCA 's clause, fixed, range for defendants)
(ACCA 's residual clause, fixed, range of sentences for certain defendants)
(ACCA 's residual clause, range for, certain defendants)
(ACCA 's clause, fixed, range of sentences for defendants)
(ACCA 's residual clause, fixed, range of sentences)
(ACCA 's clause, fixed, range)
(ACCA 's residual clause, fixed, range)
(ACCA 's residual clause, higher range of, sentences)
(ACCA 's clause, fixed, higher range for certain defendants)
(court, of, discretion)
(They, guide, exercise)
(They, choosing, sentence within range)
(They, choosing, sentence)
(They, choosing, sentence within statutory range)
(They, choosing, appropriate sentence within statutory range)
(They, merely guide, exercise)
(They, choosing, appropriate sentence within range)
(They, guide, exercise of court 's discretion)
(They, merely guide, exercise of court 's discretion)
(They, choosing, appropriate sentence)
(limited scope, is rooted in, history)
(limited scope, is, rooted)
(scope, is rooted in, history)
(limited scope, is in, context)
(limited scope, is rooted in, history of sentencing)
(scope, is, rooted)
(scope, is rooted in, history of federal sentencing)
(limited scope, is rooted in, history of federal sentencing)
(scope, is rooted in, history of sentencing)
(district courts, wide discretion, decide)
(district courts, discretion, decide)
(offender, be, incarcerated)
(Sentencing Reform Act, establishing, several factors)
(Sentencing Reform Act, establishing, factors)
(Sentencing Reform Act, departed from, regime)
(factors, guide, district courts)
(several factors, guide, district courts)
(It, charged, it)
(It, also created, United States)
(It, created, United States)
(Guidelines, have, have rendered)
(Guidelines, have, have rendered by Court)
(they, exercising, their discretion)
(they, guide, district courts)
(notice, preventing, enforcement)
(they, do implicate, twin concerns)
(notice, preventing, arbitrary enforcement)
(they, do implicate, concerns)
(they, Neither do implicate, concerns)
(they, Neither do implicate, twin concerns)
(they, providing, notice)
(court, of, sentencing discretion)
(sentencing, ranges, available)
(sentencing court, prohibit, behavior)
(they, sentencing, courts)
(courts, exercise, their discretion)
(procedure s, immune from, scrutiny)
(procedure s, entirely immune under, process clause)
(procedure s, immune under, process clause)
(procedure s, immune under, due process clause)
(holding, is in, case)
(procedure s, entirely immune from, scrutiny)
(procedure s, entirely immune under, due process clause)
(courts, exercising, their sentencing discretion)
(sentencing courts, exercising, their sentencing discretion)
(holding, however would cast, serious doubt)
(contrary holding, however would cast doubt on, other factors)
(holding, however would cast, doubt)
(holding, would cast doubt on, other factors)
(contrary holding, would cast doubt on, factors)
(them, appear, as unclear as § 4B1 .2)
(contrary holding, however would cast, serious doubt)
(contrary holding, however would cast, doubt)
(contrary holding, would cast doubt, them appear)
(holding, however would cast doubt on, other factors)
(holding, would cast doubt on, factors)
(contrary holding, however would cast doubt, them appear)
(them, appear, unclear as § 4B1 .2)
(holding, would cast doubt, them appear)
(them, appear, as unclear)
(holding, would cast, serious doubt)
(contrary holding, would cast, serious doubt)
(contrary holding, however would cast doubt on, factors)
(contrary holding, would cast, doubt)
(them, appear, unclear)
(holding, however would cast doubt, them appear)
(contrary holding, would cast doubt on, other factors)
(holding, would cast, doubt)
(holding, however would cast doubt on, factors)
(Government, has, argument)
(sentencing, required by, other factors)
(individualized sentencing, required by, other factors)
(individualized sentencing, is distinguishable from, that required by Guidelines)
(sentencing, is distinguishable from, that required by Guidelines)
(individualized sentencing, is distinguishable from, that required)
(sentencing, is distinguishable from, that)
(sentencing, is, distinguishable)
(Court, rejects, Government 's argument)
(sentencing, is distinguishable from, that required)
(individualized sentencing, required by, factors)
(individualized sentencing, is, distinguishable)
(individualized sentencing, is distinguishable from, that)
(sentencing, required by, factors)
(It, is far from, obvious)
(Kennedy, joined, Alito)
(Kennedy, joined, Breyer)
(Thomas, delivered, opinion)
(Kennedy, filed, opinion)
(Kennedy, filed, concurring opinion)
(Sotomayor, filed, opinions concurring in judgment)
(J., filed, opinions concurring in judgment)
(J., filed, opinions concurring)
(Ginsburg, filed, opinions)
(Sotomayor, filed, opinions concurring)
(Ginsburg, filed, opinions concurring in judgment)
(Sotomayor, filed, opinions)
(Ginsburg, filed, opinions concurring)
(opinions, concurring in, judgment)
(J., filed, opinions)
(opinion, is subject to, revision in print of United States Reports)
(opinion, is subject to, formal revision in preliminary print)
(opinion, is subject to, revision)
(opinion, is subject to, formal revision)
(opinion, is subject to, revision in print)
(opinion, is subject to, formal revision before publication)
(opinion, is subject to, formal revision in print of United States Reports)
(formal revision, is in, preliminary print of United States Reports)
(opinion, is subject to, revision before publication in preliminary print)
(opinion, is subject to, formal revision before publication in preliminary print)
(opinion, is subject to, formal revision before publication in print of United States Reports)
(opinion, is subject to, revision before publication)
(opinion, is subject to, formal revision in print)
(opinion, is, subject)
(opinion, is subject to, revision in preliminary print)
(opinion, is subject to, revision before publication in print)
(opinion, is subject to, formal revision in preliminary print of United States Reports)
(opinion, is subject to, revision before publication in preliminary print of United States Reports)
(opinion, is subject to, revision in preliminary print of United States Reports)
(opinion, is subject to, formal revision before publication in print)
(opinion, is subject to, revision before publication in print of United States Reports)
(opinion, is subject to, formal revision before publication in preliminary print of United States Reports)
(Readers, notify, Reporter)
(Readers, notify, Reporter of Decisions)
(Supreme Court, is in, order)
(Readers, are, requested)
(typographical formal errors, of States is, Washington)
(typographical formal errors, of States is, D. C. 20543)
(TRAVIS BECKLES, PETITIONER v., UNITED STATES)
(Justice Thomas, delivered, opinion of Court)
(Justice Thomas, delivered, opinion)
(advisory Sentencing Guidelines, included, clause)
(advisory Guidelines, included clause At, time of petitioner 's sentencing)
(petitioner, of, sentencing)
(advisory Guidelines, included, clause)
(Guidelines, included, clause)
(Guidelines, included clause At, time of petitioner 's sentencing)
(Sentencing Guidelines, included clause At, time of petitioner 's sentencing)
(advisory Sentencing Guidelines, included clause At, time of petitioner 's sentencing)
(advisory Sentencing Guidelines, included, residual clause)
(Sentencing Guidelines, included, residual clause)
(Sentencing Guidelines, included clause At, time)
(Guidelines, included, residual clause)
(Sentencing Guidelines, included, clause)
(advisory Sentencing Guidelines, included clause At, time)
(advisory Guidelines, included, residual clause)
(advisory Guidelines, included clause At, time)
(Guidelines, included clause At, time)
(Court, held v., Johnson v. United States)
(Court, held v., 576 U. S. ___)
(worded residual clause, is in, Armed Career Criminal Act of 1984)
(1984, of Act is, ACCA)
(Guidelines ' residual clause, is void for, vagueness)
(Guidelines ' clause, is also void for, vagueness)
(Guidelines ' residual clause, is also void for, vagueness)
(Guidelines ' residual clause, is, also void)
(Guidelines ' clause, is void for, vagueness)
(Guidelines ' residual clause, is, void)
(Guidelines ' clause, is, void)
(Guidelines ' clause, is, also void)
(we, reject, petitioner 's argument)
(petitioner, has, argument)
(Petitioner Travis Beckles, was, convicted in 2007 possession of firearm by felon)
(Petitioner Travis Beckles, was, convicted in 2007 of possession by convicted felon)
(Petitioner Travis Beckles, was convicted by, felon)
(Petitioner Travis Beckles, was, convicted in 2007 possession of firearm by convicted felon)
(Petitioner Travis Beckles, was, convicted in 2007 possession by felon)
(Petitioner Travis Beckles, was, convicted in 2007 possession by convicted felon)
(Petitioner Travis Beckles, was convicted in, 2007 of possession)
(Petitioner Travis Beckles, was convicted by, convicted felon)
(Petitioner Travis Beckles, was convicted in, 2007 possession)
(Petitioner Travis Beckles, was, convicted)
(Petitioner Travis Beckles, was, convicted in 2007 of possession of firearm by convicted felon)
(Petitioner Travis Beckles, was convicted in, 2007 of possession of firearm)
(Petitioner Travis Beckles, was convicted in, 2007 possession of firearm)
(Petitioner Travis Beckles, was convicted by, § 922)
(Petitioner Travis Beckles, was, convicted in 2007 of possession by felon)
(Petitioner Travis Beckles, was, convicted in 2007 of possession of firearm by felon)
(petitioner, was therefore eligible as, career offender under Sentencing Guidelines)
(petitioner, was, eligible for sentencing enhancement as career offender under Guidelines)
(petitioner, was, therefore eligible for sentencing enhancement as career offender under Guidelines)
(petitioner, was, eligible for sentencing enhancement as career offender)
(petitioner, was, therefore eligible)
(petitioner, was eligible for, sentencing enhancement)
(firearm, was sawed-off shotgun According to, presentence investigation report)
(firearm, was, shotgun)
(petitioner, was, therefore eligible for sentencing enhancement as career offender under Sentencing Guidelines)
(firearm, was shotgun According to, presentence investigation report)
(petitioner, was, eligible for sentencing enhancement as career offender under Sentencing Guidelines)
(petitioner, was eligible as, career offender)
(firearm, was, sawed-off shotgun)
(petitioner, was, therefore eligible for sentencing enhancement as career offender)
(firearm, was, sawed-off)
(petitioner, was eligible as, career offender under Sentencing Guidelines)
(petitioner, was therefore eligible for, sentencing enhancement)
(petitioner, was eligible as, career offender under Guidelines)
(petitioner, was, eligible)
(petitioner, was therefore eligible as, career offender under Guidelines)
(petitioner, was therefore eligible as, career offender)
(defendant, is, career offender)
(petitioner, was, sentenced)
(,1, provided, career offender)
(petitioner, was, when sentenced)
(defendant, committed offense at, time)
(defendant, has, at least two prior felony convictions of crime of violence)
(defendant, was, old)
(defendant, committed, instant offense of conviction)
(defendant, has, at least two prior felony convictions of crime)
(defendant, has, at least two felony convictions of crime)
(defendant, committed, instant offense)
(defendant, committed, offense of conviction)
(defendant, offense of, conviction)
(defendant, committed, offense)
(defendant, has, at least two felony convictions)
(defendant, has, at least two prior felony convictions)
(defendant, instant offense of, conviction)
(defendant, has, at least two felony convictions of crime of violence)
(Guidelines, defined, crime)
(Guidelines, defined, crime of violence)
(clause, is known as, clause)
(clause, is known as, residual clause)
(clause, is, known)
(shotgun, possession of was, crime)
(sawed-off shotgun, possession of was, crime)
(possession, was crime of, violence)
(possession, was, crime)
(§ 4B1 .2, crime at_time, n. 1)
(§ 4B1 .2, crime of, violence)
(firearm, described in, 26 U. S. C. § 5845)
(petitioner, qualified as, career offender)
(petitioner, qualified as, career offender under Guidelines)
(his criminal history, included, felony convictions)
(his criminal history, included, prior felony convictions)
(his history, included, multiple felony convictions)
(his criminal history, included, prior felony convictions for substance offenses)
(Petitioner, was over, 18 years)
(his history, included, multiple prior felony convictions)
(Petitioner, was over, 18 years of age at time of his offense)
(his history, included, multiple prior felony convictions for substance offenses)
(his history, included, felony convictions for controlled substance offenses)
(his criminal history, included, multiple prior felony convictions)
(his history, included, prior felony convictions for substance offenses)
(Petitioner, was over, 18 years of age)
(his history, included, felony convictions for substance offenses)
(his history, included, prior felony convictions)
(his criminal history, included, prior felony convictions for controlled substance offenses)
(his criminal history, included, multiple felony convictions for controlled substance offenses)
(his history, included, multiple felony convictions for substance offenses)
(Petitioner, was over, 18 years of age at time)
(Petitioner, was over, 18 years at time)
(his criminal history, included, felony convictions for controlled substance offenses)
(his criminal history, included, multiple felony convictions for substance offenses)
(Petitioner, was over, 18 years at time of his offense)
(his history, included, multiple prior felony convictions for controlled substance offenses)
(his history, included, felony convictions)
(his history, included, prior felony convictions for controlled substance offenses)
(his criminal history, included, multiple prior felony convictions for controlled substance offenses)
(his criminal history, included, felony convictions for substance offenses)
(his criminal history, included, multiple prior felony convictions for substance offenses)
(his history, included, multiple felony convictions for controlled substance offenses)
(his criminal history, included, multiple felony convictions)
(petitioner, has, § 922 conviction)
(District Court, in, view)
(petitioner, has, Guidelines range)
(petitioner 's Guidelines range, was, 360 months)
(he, qualified as, career offender)
(petitioner 's Guidelines range, was, 360 months to life imprisonment)
(District Court, sentenced, petitioner)
(District Court, sentenced petitioner to, 360 months)
(Court, denied, certiorari)
(Court, affirmed, sentence)
(Court, affirmed, petitioner 's conviction)
(petitioner, has, conviction)
(cert, denied, 558 U. S. 906)
(cert, denied, 2009)
(petitioner, vacate, his sentence)
(District Court, denied, motion)
(Petitioner, filed, petition)
(Petitioner, filed, petition for certiorari)
(Petitioner, filed, second petition for certiorari)
(Petitioner, filed petition in, Court)
(Petitioner, filed, second petition)
(Constitution, has, guarantee of due process)
(Court, decided Johnson, pending)
(Court, decided, Johnson)
(his petition, was, pending)
(Court, decided, pending)
(clause, was, vague)
(clause, was, unconstitutionally vague)
(We, subsequently granted, remanded for further consideration in light of Johnson)
(We, granted, remanded for consideration in light)
(We, subsequently granted, remanded for consideration in light)
(We, granted, remanded)
(We, subsequently granted, remanded for further consideration in light)
(We, granted, remanded in light of Johnson)
(We, subsequently granted, remanded for further consideration)
(vacated, judgment of, Court)
(We, subsequently granted, remanded in light of Johnson)
(We, granted, remanded for further consideration in light)
(We, granted, remanded for further consideration)
(vacated, judgment of, Court of Appeals)
(We, granted, remanded in light)
(We, granted, remanded for consideration in light of Johnson)
(We, subsequently granted, remanded)
(We, subsequently granted, remanded for consideration)
(We, subsequently granted, remanded in light)
(We, granted, his petition)
(We, subsequently granted, his petition)
(We, granted, remanded for further consideration in light of Johnson)
(We, granted, remanded for consideration)
(We, subsequently granted, remanded for consideration in light of Johnson)
(his sentence, was based on, § 4B1 .2)
(his sentence, was, based)
(his enhanced sentence, was, based)
(petitioner, argued On, remand)
(his enhanced sentence, was based on, § 4B1 .2)
(express language, is in, Sentencing Guidelines classifying)
(petitioner, was, sentenced)
(Johnson, decided under, Sentencing Guidelines)
(Johnson, decided nothing about, Guidelines commentary)
(Johnson, decided about, Guidelines commentary)
(Johnson, decided under, Guidelines)
(Johnson, decided nothing under, Sentencing Guidelines)
(Johnson, decided, nothing about enhancements)
(Johnson, decided, nothing about career-offender enhancements)
(Johnson, decided, nothing)
(Johnson, decided nothing under, Guidelines)
(Court, denied, rehearing)
(Court, denied, rehearing en banc)
(Petitioner, contending, that)
(Petitioner, again contending, that)
(Johnson 's vagueness holding, applies in, § 4B1 .2 of Guidelines ,2)
(Johnson 's vagueness holding, applies to, residual clause)
(Guidelines ,2, of .2 is, a)
(Johnson, has, vagueness holding)
(Johnson 's vagueness holding, applies to, clause)
(we, granted, certiorari)
(Johnson 's vagueness holding, applies in, § 4B1 .2)
(Guidelines, are subject to, vagueness challenges)
(Court, appointed Adam K. Mortara, United States as respondent agrees with petitioner)
(Court, appointed Adam K. Mortara, United States agrees)
(Court, appointed Adam K. Mortara, United States agrees with petitioner)
(Guidelines, are, subject)
(United States, agrees as, respondent)
(Court, appointed Adam K. Mortara, United States as respondent agrees)
(United States, agrees with, petitioner)
(Court, appointed, Adam K. Mortara)
(Court, appointed Adam K. Mortara as, amicus curiae argue)
(He, has ably discharged, his responsibilities)
(He, has discharged, his responsibilities)
(Due Process Clause, taking away, someone 's life)
(it, give, ordinary people)
(Due Process Clause, taking away liberty under, criminal law)
(it, give, standardless)
(Process Clause, taking away, someone 's life)
(Due Process Clause, taking, property)
(it, give, people)
(it, give, fair notice)
(Process Clause, prohibits, Government)
(Due Process Clause, prohibits, Government)
(Due Process Clause, taking property under, law)
(Process Clause, taking away property under, criminal law)
(Process Clause, taking property under, criminal law)
(Due Process Clause, taking away liberty under, law)
(Due Process Clause, taking away, liberty)
(it, invites, enforcement)
(it, give, notice)
(Process Clause, taking, property)
(Due Process Clause, taking liberty under, law)
(Due Process Clause, taking, someone 's life)
(Process Clause, taking away liberty under, law)
(Due Process Clause, taking away property under, criminal law)
(Due Process Clause, taking away, property)
(it, invites, arbitrary enforcement)
(Process Clause, taking away property under, law)
(it, give, so standardless)
(Process Clause, taking, someone 's life)
(Process Clause, taking away liberty under, criminal law)
(Due Process Clause, taking, liberty)
(Process Clause, taking liberty under, law)
(Due Process Clause, taking liberty under, criminal law)
(Process Clause, taking liberty under, criminal law)
(Process Clause, taking away, property)
(Process Clause, taking property under, law)
(Due Process Clause, taking away property under, law)
(Process Clause, taking, liberty)
(Due Process Clause, taking property under, criminal law)
(Process Clause, taking away, liberty)
(someone, has, life)
(Court, has invalidated, two kinds of laws)
(Court, has invalidated, two kinds)
(Court, has invalidated, two kinds of criminal laws)
(Court, Applying, standard)
(Court, has explained For, former)
(penal statute, define offense with, definiteness)
(penal statute, define offense with, sufficient definiteness)
(statute, define offense with, sufficient definiteness)
(statute, define, offense)
(statute, define offense with, definiteness)
(penal statute, define, criminal offense)
(penal statute, define, offense)
(statute, define, criminal offense)
(___, at Johnson is, supra)
(statutes, fixing, sentences)
(Johnson, range of, sentences)
(Johnson, range of, available sentences)
(Court, has explained For, latter)
(statutes Johnson, fixing, sentences)
(we, applied vagueness rule to, statute)
(we, applied, vagueness rule)
(we, applied vagueness rule In, Johnson)
(ACCA, has, residual clause)
(defendant, has, prison term)
(requirement, thus fixed, range for certain defendants)
(requirement, thus fixed, range of sentences for defendants)
(requirement, thus fixed, higher range of sentences)
(requirement, fixed, range of sentences for defendants)
(requirement, thus fixed, higher range for defendants)
(requirement, fixed, higher range for defendants)
(requirement, thus fixed, higher range for certain defendants)
(requirement, fixed, range of sentences)
(requirement, thus fixed, higher range of sentences for certain defendants)
(requirement, thus fixed, higher range)
(requirement, fixed, range for certain defendants)
(requirement, thus fixed, range of sentences)
(requirement, fixed, range of sentences for certain defendants)
(requirement, fixed, higher range)
(requirement, fixed, higher range of sentences for defendants)
(requirement, thus fixed, range of sentences for certain defendants)
(requirement, fixed, range for defendants)
(requirement, thus fixed, range for defendants)
(requirement, fixed, range)
(requirement, fixed, higher range for certain defendants)
(requirement, thus fixed, range)
(requirement, fixed, higher range of sentences for certain defendants)
(requirement, thus fixed, higher range of sentences for defendants)
(requirement, fixed, higher range of sentences)
(United States, describing, prescribed range)
(United States, describing, prescribed range of sentences)
(United States, prescribed range of, available sentences)
(United States, range of, sentences)
(United States, describing, legally prescribed range)
(United States, describing, legally prescribed range of sentences)
(United States, describing, legally prescribed range of available sentences)
(United States, describing, range of sentences)
(United States, describing range, penalty fixed)
(penalty, fixed to, crime)
(United States, legally prescribed range of, available sentences)
(United States, describing range, penalty fixed to crime)
(United States, describing, range)
(United States, range of, available sentences)
(United States, prescribed range of, sentences)
(United States, describing, range of available sentences)
(United States, describing, prescribed range of available sentences)
(United States, legally prescribed range of, sentences)
(court, of, discretion)
(they, merely guide, exercise)
(they, choosing, appropriate sentence within range)
(they, choosing, appropriate sentence within statutory range)
(they, choosing, sentence)
(they, choosing, sentence within range)
(they, choosing, sentence within statutory range)
(they, guide, exercise of court 's discretion)
(they, merely guide exercise To, contrary)
(they, choosing, appropriate sentence)
(they, guide exercise To, contrary)
(they, guide, exercise)
(they, merely guide, exercise of court 's discretion)
(residual clause, is in, § 4B1 .2)
(limited scope, is rooted in, history)
(limited scope, is, rooted)
(scope, is rooted in, history)
(limited scope, is in, context)
(limited scope, is rooted in, history of sentencing)
(scope, is, rooted)
(scope, is rooted in, history of federal sentencing)
(limited scope, is rooted in, history of federal sentencing)
(scope, is rooted in, history of sentencing)
(district courts, wide discretion, decide)
(Congress, enacting, sentences)
(Congress, enacting, specific sentences)
(Congress, enacting sentences for, federal crimes)
(Congress, enacting sentences for, crimes)
(Congress, enacting sentences for, particular federal crimes)
(Congress, enacting sentences for, particular crimes)
(district courts, discretion, decide)
(offender, be, incarcerated)
(actual length, enacted within, wide range)
(defendant, of, sentence)
(sentencing courts, had, almost unfettered discretion)
(length, enacted within, range)
(actual length, enacted within, customarily wide range)
(sentencing courts, had discretion, select)
(courts, had discretion, select)
(actual length, enacted within, range)
(courts, had, discretion)
(length, enacted within, customarily wide range)
(sentencing courts, had, discretion)
(sentencing courts, had, unfettered discretion)
(courts, had, almost unfettered discretion)
(length, enacted within, wide range)
(courts, had, unfettered discretion)
(discretion, allowed, district courts)
(district courts, craft, individualized sentences)
(district courts, craft, sentences)
(s erious disparities, is in, sentences)
(365, at Mistretta is, supra)
(405, at Giaccio is, supra)
(it, imposing, judgment)
(it, imposing judgment within, range)
(N othing, is in, history)
(judges, exercise, discretion)
(it, imposing judgment within, range prescribed by statute)
(it, imposing judgment within, range prescribed)
(it, is, impermissible)
(our reasoning, suggests In, fact)
(our reasoning, suggests, opposite)
(our reasoning, is in, Batchelder)
(Court, considered, constitutionality)
(Court, considered in, case)
(Congress, specifying, range)
(Sentencing Reform Act, establishing, several factors)
(Sentencing Reform Act, establishing, factors)
(Sentencing Reform Act, departed from, regime)
(factors, guide, district courts)
(several factors, guide, district courts)
(Congress, created, United States)
(Congress, created United States in, Act)
(guidelines, be, used)
(guidelines, be used for, sentencing)
(Congress, created United States in, same Act)
(Congress, charged, it)
(367, at tretta is, supra)
(Commission, of, work)
(Act, requires, courts)
(Court, rendered, advisory)
(Guidelines, initially binding on, Booker)
(Guidelines, binding on, district courts)
(Guidelines, binding on, Booker)
(Court, is in, Booker)
(Court, rendered, effectively advisory)
(Guidelines, initially binding on, district courts)
(Guidelines, initially binding at, 233)
(Guidelines, binding at, 233)
(court, rather must make, assessment)
