(March 29 2017, Decided at_time, June 22 2017)
(112, at Agurs is, supra)
(Brady, has, standards)
(Fuller, was, killed)
(Fuller, was killed by, large group of perpetrators)
(Fuller, was killed by, group of perpetrators)
(group attack, was, cornerstone)
(Fuller, was killed by, large group)
(Government, of, case)
(group attack, was cornerstone of, Government 's case)
(group attack, was very cornerstone of, Government 's case)
(Fuller, was killed by, group)
(group attack, was, very cornerstone)
(Yarborough, yet gave, account how it occurred)
(Bennett, confessed, participants)
(Thomas, wholly fabricated, his story)
(Montgomery, identify Fuller as, target)
(Bennett, confessed, active participants)
(active participants, is in, group attack)
(Yarborough, gave, highly similar account how it occurred)
(Yarborough, yet gave, similar account how it occurred)
(Yarborough, gave, account how it occurred)
(Bennett, being, participants)
(Bennett, falsely confessed, participants)
(Thomas, fabricated, his story)
(Montgomery, is in, fact)
(Montgomery, identify, Fuller)
(Yarborough, gave, highly similar account it occurred)
(their alternative theory, persuade, jury)
(Yarborough, gave, similar account how it occurred)
(Bennett, being, active participants)
(Yarborough, yet gave, highly similar account how it occurred)
(Yarborough, gave, account it occurred)
(Yarborough, yet gave, highly similar account it occurred)
(Yarborough, yet gave, similar account it occurred)
(Bennett, falsely confessed, active participants)
(others, Montgomery in, fact)
(Yarborough, yet gave, account it occurred)
(Yarborough, gave, similar account it occurred)
(their current alternative theory, persuade, jury)
(record, shows As for, impeachment evidence)
(record, shows As for, undisclosed impeachment evidence)
(it, was, cumulative)
(it, was cumulative of, impeachment evidence petitioners)
(it, was largely cumulative of, impeachment evidence petitioners)
(it, was, largely cumulative)
(effect, is, insufficient)
(effect, undermine, confidence in jury 's verdict)
(confidence, is in, jury 's verdict)
(cumulative effect, undermine, confidence)
(jury, in, verdict)
(effect, is insufficient with, with witnesses)
(effect, undermine, confidence)
(cumulative effect, is insufficient with, with witnesses)
(cumulative effect, is, insufficient)
(cumulative effect, undermine, confidence in jury 's verdict)
(Breyer, delivered, opinion)
(Kennedy, joined, Alito)
(Kennedy, joined, Sotomayor)
(Kennedy, joined, Thomas)
(opinion, is subject to, revision in print of United States Reports)
(opinion, is subject to, formal revision in preliminary print)
(opinion, is subject to, revision)
(opinion, is subject to, formal revision)
(opinion, is subject to, revision in print)
(opinion, is subject to, formal revision before publication)
(opinion, is subject to, formal revision in print of United States Reports)
(formal revision, is in, preliminary print of United States Reports)
(opinion, is subject to, revision before publication in preliminary print)
(opinion, is subject to, formal revision before publication in preliminary print)
(opinion, is subject to, formal revision before publication in print of United States Reports)
(opinion, is subject to, revision before publication)
(opinion, is subject to, formal revision in print)
(opinion, is, subject)
(opinion, is subject to, revision in preliminary print)
(opinion, is subject to, revision before publication in print)
(opinion, is subject to, formal revision in preliminary print of United States Reports)
(opinion, is subject to, revision before publication in preliminary print of United States Reports)
(opinion, is subject to, revision in preliminary print of United States Reports)
(opinion, is subject to, formal revision before publication in print)
(opinion, is subject to, revision before publication in print of United States Reports)
(opinion, is subject to, formal revision before publication in preliminary print of United States Reports)
(Readers, notify, Reporter)
(Readers, notify, Reporter of Decisions)
(Supreme Court, is in, order)
(Readers, are, requested)
(typographical formal errors, of States is, Washington)
(typographical formal errors, of States is, D. C. 20543)
(Justice Breyer, delivered, opinion of Court)
(Justice Breyer, delivered, opinion)
(defendant, to, guilt)
(Constitution, has, Process Clause)
(seven petitioners, is in, cases)
(seven petitioners, were tried together in, Superior Court)
(petitioners, were tried In, 1985)
(seven petitioners, were tried together In, 1985)
(seven petitioners, were tried in, Superior Court)
(petitioners, were tried in, Superior Court)
(petitioners, were tried together in, Superior Court)
(petitioners, were tried together In, 1985)
(seven petitioners, were tried In, 1985)
(it, emerged, Long petitioners ' convictions became)
(Government, possessed, certain evidence)
(it, failed, disclose to defense)
(it, failed, disclose)
(it, emerged, petitioners ' convictions became)
(petitioners ' convictions, Long became, final)
(it, disclose to, defense)
(Government, possessed, evidence)
(petitioners ' convictions, became, final)
(evidence, was, material)
(evidence, was material under, Brady)
(withheld evidence, was material under, Brady)
(withheld evidence, was, material)
(D. C. Court, affirmed, Superior Court)
(D. C. Court, reached, same conclusion)
(D. C. Court, reviewed, record)
(D. C. Court, reached, conclusion)
(we, reach, conclusion)
(we, reviewing, record)
(we, reach, same conclusion)
(we, set out here, basic description)
(we, set out here, description of record facts)
(we, set out, basic description of record facts)
(we, set out, only basic description of record facts)
(we, set out description In, fact-intensive cases)
(we, set out, only basic description)
(we, set out description In, cases)
(we, set out here, only basic description)
(we, set out here description In, fact-intensive cases)
(we, set out, only description)
(we, set out here, only basic description of record facts)
(we, set out, only description of record facts)
(we, set out here, only description of record facts)
(we, set out here, only description)
(we, set out here, description)
(we, set out here, basic description of record facts)
(we, set out, description)
(we, set out, basic description)
(we, set out here description In, cases)
(we, set out, description of record facts)
(grand jury, indicted, others)
(grand jury, indicted others On, March 22 1985)
(grand jury, indicted, several others for)
(jury, indicted, others for)
(grand jury, indicted, several others)
(grand jury, indicted, others for)
(jury, indicted, several others)
(jury, indicted, several others for)
(jury, indicted others On, March 22 1985)
(grand jury, indicted, seven petitioners)
(jury, indicted, others)
(jury, indicted, seven petitioners)
(evidence, produced at, their trial)
(Catherine Fuller, go, shopping)
(Catherine Fuller, left, her home)
(evidence, produced at, their joint trial)
(William Freeman, found, Fuller 's body)
(Fuller, has, body)
(alley garage, blocks from, Fuller 's home)
(Fuller, from, home)
(Eighth, between garage is, just few blocks from Fuller 's home)
(Fuller, had, had robbed)
(Fuller, been attacked by, group including petitioners)
(Government, advanced codefendants Steve Webb at, trial)
(Fuller, been, attacked in alley by large group of individuals including petitioners)
(Fuller, been, attacked in alley by group of individuals)
(Fuller, been, attacked in alley by large group of individuals)
(Fuller, been attacked by, large group of individuals including petitioners)
(Fuller, been attacked by, large group including petitioners)
(Fuller, been attacked by, large group)
(Government, advanced, theory)
(Fuller, been, attacked in alley by large group including petitioners)
(Government, advanced theory at, trial)
(Government, advanced, Calvin Alston)
(Fuller, been attacked by, group)
(Government, advanced, Felicia Ruffin)
(Fuller, been, attacked in alley by group of individuals including petitioners)
(Government, advanced, codefendants Steve Webb)
(Fuller, been attacked in, alley)
(Fuller, been, attacked in alley by large group)
(Fuller, been attacked by, large group of individuals)
(Government, advanced Felicia Ruffin at, trial)
(Fuller, been, attacked in alley by group)
(Fuller, been attacked by, group of individuals)
(Fuller, been, attacked)
(Government, advanced Calvin Alston at, trial)
(Fuller, been attacked by, group of individuals including petitioners)
(Fuller, been, attacked in alley by group including petitioners)
(Bennett, confessed, participating)
(Bennett, confessed, participating in offense)
(Bennett, participating in, offense)
(Government 's centerpiece, consisted of, testimony)
(Government, has, evidentiary centerpiece)
(Government 's evidentiary centerpiece, consisted of, testimony)
(it, was consistent, stating)
(it, was consistent, testimony of Alston diverged on details)
(it, was, consistent)
(it, was consistent, testimony diverged on minor details)
(Fuller, was attacked by, group including petitioners)
(Fuller, was attacked by, sizable group of individuals)
(it, was consistent, testimony of Alston diverged)
(it, was consistent, testimony of Alston diverged on minor details)
(it, was consistent, testimony diverged)
(testimony, diverged on, minor details)
(Fuller, was attacked by, sizable group)
(Fuller, was, attacked)
(Fuller, was attacked by, group)
(Fuller, was attacked by, sizable group including petitioners)
(Fuller, was attacked by, group of individuals including petitioners)
(Fuller, was attacked by, group of individuals)
(Fuller, was attacked by, sizable group of individuals including petitioners)
(testimony, diverged on, details)
(it, was consistent, testimony diverged on details)
(he, arrived at, about 4:10 p.m.)
(he, arrived in, park located)
(he, arrived at, about 4:10 p.m. on day)
(he, arrived at, about 4:10 p.m. on day of murder)
(he, arrived in, park)
(he, arrived in, park located on H Street between Eighth)
(he, arrived in, park located on H Street)
(It, included, Timothy Catlett)
(It, included, petitioners Levy Rouse)
(It, included, Russell Overton)
(It, included, Charles Turner)
(It, included, Clifton Yarborough)
(It, included, Christopher Turner)
(It, included, Kelvin Smith)
(Catlett, was banging out, beat)
(Alston, getting, paid)
(Alston, suggested, paid)
(H Street, followed, Fuller down Eighth Street)
(H Street, followed, Fuller)
(H Street, moving toward, Eighth Street)
(followed, Fuller down, Eighth Street)
(rest, crossed, H Street)
(rest, moved toward, Ninth Street)
(Charles Turner, shoved, her)
(Alston, has, group)
(Alston 's group, approached, Fuller)
(Alston, punching, Fuller)
(They, were joined by, Smith)
(They, were soon joined by, Christopher Turner)
(They, were, soon joined)
(They, were joined by, Christopher Turner)
(They, were, joined)
(They, were soon joined by, Smith)
(she, fell to, ground)
(Rouse, carried, Fuller)
(Rouse, carried Fuller to, center)
(Rouse, dropped, her)
(Charles Turner, carried Fuller to, center)
(Rouse, carried Fuller to, center of alley)
(Charles Turner, carried, Fuller)
(Charles Turner, carried Fuller to, center of alley)
(Someone, dragged, Fuller)
(Someone, dragged Fuller into, garage)
(Others, stood, outside)
(Members, struggled over, her change purse)
(Members, tore off, Fuller 's clothes)
(Fuller, has, clothes)
(Catlett, stood around, her)
(Fuller, has, legs)
(Charles Turner, held, Fuller 's legs)
(Rouse, sodomized, her)
(Harris, stood around, her)
(Yarborough, stood around, her)
(Alston, stood around, her)
(group, left, alley)
(Harry Bennett, has, testimony)
(Harry Bennett 's testimony, was, similar)
(Bennett, described, group attack)
(Bennett, also described, group attack)
(Alston, etting, paid)
(Alston, was talking to, group)
(Alston, was talking, paid)
(Charles Turner, followed in, group)
(Alston, crossed H Street At, point)
(Alston, crossed H Street, Catlett followed)
(Alston, crossed H Street, Catlett followed in group)
(Rouse, crossed H Street, Catlett followed in group)
(Rouse, crossed H Street At, point)
(Webb, crossed H Street, Catlett followed)
(Webb, crossed H Street At, point)
(Webb, approached, Fuller)
(Catlett, followed in, group)
(Rouse, crossed, H Street)
(Rouse, crossed H Street, Catlett followed)
(Charles Turner, followed in, separate group)
(Rouse, crossed H Street, Catlett followed in separate group)
(Overton, crossed H Street, Catlett followed in separate group)
(Alston, crossed H Street, Catlett followed in separate group)
(Catlett, followed in, separate group)
(Webb, crossed, H Street)
(Overton, crossed H Street, Catlett followed)
(Overton, crossed, H Street)
(Overton, crossed H Street, Catlett followed in group)
(Alston, crossed, H Street)
(Harris, followed in, group)
(Webb, crossed H Street, Catlett followed in group)
(Christopher Turner, followed in, separate group)
(Christopher Turner, followed in, group)
(Harris, followed in, separate group)
(Overton, crossed H Street At, point)
(Webb, crossed H Street, Catlett followed in separate group)
(he, went, watch)
(he, went to, corner of Eighth)
(he, went, watch for police)
(he, went to, corner)
(he, watch for, police)
(He, went into, alley)
(He, joined, group)
(Overton, dragged, Fuller)
(Fuller, has, legs)
(Alston Webb, held, Fuller 's legs)
(Rouse, sodomized, her)
(group, dispersed from, garage)
(Bennett, has, testimony)
(Fuller, was, attacked)
(Fuller, was attacked by, group)
(he, was in, H Street park on afternoon of murder)
(he, was in, H Street park on afternoon)
(he, was in, H Street park)
(group, was, was noisy)
(Overton, pointing to, woman)
(Overton, pointing to, woman standing)
(Overton, pointing to, woman standing on corner)
(Overton, pointing to, woman standing on corner of Eighth Street)
(Overton, crossed, H Street)
(Catlett, crossed, H Street)
(Rouse, crossed, H Street)
(others, crossed, H Street)
(Charles Turner, crossed, H Street)
(others, went toward, Ninth Street)
(Some, headed toward, Eighth Street)
(Some, headed, others went toward Ninth Street)
(Some, headed, others went)
(Maurice Thomas, old, 14 years)
(he, witnessed, attack)
(he, witnessed, attack itself)
(Maurice Thomas, old, years)
(Thomas, lived in, neighborhood)
(he, glanced down, he was walking)
(he, glanced down Eighth Street alley, he was walking)
(he, was walking, home)
(he, glanced down, Eighth Street alley)
(he, saw, group)
(Thomas, saw down, Catlett pat Fuller)
(Thomas, hit, her)
(Thomas, saw, Catlett pat Fuller)
(He, saw, everyone in group)
(everyone, is in, group join)
(He, saw, everyone in group join)
(He, saw, everyone)
(Catlett, say to, someone)
(Thomas, saw, Catlett)
(Thomas, saw Catlett at_time, day)
(Thomas, saw Catlett at_time, Later day)
(Thomas, saw Catlett at, corner store)
(Eleby, has, boyfriend)
(Carrie Eleby, were looking near, corner of H)
(Carrie Eleby, were looking On, afternoon of murder)
(Linda Jacobs, were looking near, corner of H)
(Linda Jacobs, were looking On, afternoon)
(Carrie Eleby, were looking On, afternoon)
(Linda Jacobs, were looking near, corner)
(Linda Jacobs, were looking On, afternoon of murder)
(Carrie Eleby, were looking near, corner)
(gang, was beating, somebody)
(gang, was beating somebody near, garage in alley)
(gang, was beating somebody near, garage)
(They, heard, screams)
(They, heard, screams coming)
(garage, is in, alley)
(somebody, gang of, boys)
(Jacobs, approached, group)
(Eleby, approached, group)
(Eleby, recognized, Christopher Turner)
(Eleby, recognized, Smith)
(Eleby, recognized Christopher Turner, Yarborough stood)
(Eleby, recognized Christopher Turner, Yarborough stood nearby)
(Rouse, sodomize, Fuller)
(Rouse, sodomize Fuller with, pole)
(Fuller, has, legs)
(Overton, held, Fuller 's legs)
(Government, played, videotape of statement)
(Government, played, videotape of recorded statement)
(Yarborough, given on, December 9 1984 approximately two months after)
(Government, played, videotape)
(Government, Finally played, videotape of recorded statement)
(Government, Finally played, videotape)
(Government, Finally played, videotape of statement)
(Yarborough, given to, detectives)
(Yarborough, given on, December 9 1984)
(Names, were, redacted)
(he, jointly robbed, her)
(he, was, part)
(he, robbed, her)
(he, dragged, her)
(Yarborough, describing in, detail)
(he, was, how part)
(Each, establish, defense)
(Fuller, of, murder)
(Some, provided, evidence)
(PCP, day of, Fuller 's murder)
(Eleby, used, PCP)
(Some, provided evidence for, example)
(Jacobs, used, PCP)
(Some, establish alibis for, time of Fuller 's death)
(Some, establish alibis for, time)
(Some, establish, alibis)
(Fuller, of, death)
(jury, acquitted, codefendants Alfonso Harris)
(jury, acquitted, Felicia Ruffin)
(D. C. Court, affirmed, petitioners ' convictions)
(it, remanded for, resentencing)
(trial court, resentenced petitioners to, amount)
(trial court, resentenced petitioners to, same amount)
(trial court, resentenced petitioners to, amount of prison time)
(trial court, resentenced, petitioners)
(trial court, resentenced petitioners to, same amount of prison time)
(n. 2, is in, No. 15-1503)
(they, vacate, their convictions)
(their convictions, be granted, new trial)
(their convictions, be granted, trial)
(petitioners, Beginning in, 2010)
(n. 4, is in, No. 15-1503)
(it, withheld at, time)
(Government, possessed, certain evidence)
(it, emerged, petitioners ' convictions became)
(it, withheld from, defense)
(Government, possessed, evidence)
(petitioners ' convictions, became, final)
(it, withheld at, time of trial)
(Petitioners, discovered, evidence)
(Petitioners, discovered, withheld evidence in their review)
(Petitioners, discovered, other withheld evidence in their review)
(trial prosecutor, of, case file)
(Petitioners, discovered, withheld evidence)
(other withheld evidence, is in, their review of trial prosecutor 's case file)
(Petitioners, discovered, other evidence in their review)
(Petitioners, discovered, evidence in their review)
(Petitioners, discovered, other evidence)
(Petitioners, discovered, other withheld evidence)
(evidence, entitling, them)
(withheld evidence, entitling, them)
(petitioners, contended Among, postconviction claims)
(evidence, was, favorable)
(petitioners, contended Among, other postconviction claims)
(withheld evidence, was, favorable)
(petitioners ' Brady, claims as, part)
(petitioners ' Brady, claims as, part of evidentiary hearing)
(petitioners ' Brady, claims as, part of 16-day evidentiary hearing)
(petitioners ' Brady, claims as, part of 16-day hearing)
(petitioners ' Brady, claims as, part of hearing)
(none, was, material)
(information, none of was, material)
(undisclosed information, none of was, material)
(It, rejected, claims)
(issue, is in, proceedings)
(two men, stop, running away)
(men, run into, alley)
(men, stop near, garage)
(two men, run into, alley)
(he, was waiting, police arrive)
(two men, stop, running)
(two men, stop near, garage)
(men, stop, running)
(Fuller, has, body)
(he, saw, he was waiting)
(two men, stop for, about five minutes)
(men, stop, running away)
(men, stop for, about five minutes)
(codefendant Harris ' counsel, had requested, identity)
(codefendant Harris ' counsel, Early had requested, identity)
(codefendant Harris ' counsel, Early had requested, identity of two men)
(codefendant Harris ' counsel, had requested, identity of two men)
(Government, disclose, men 's identity)
(men, has, identity)
(petitioners, learned In, their postconviction review)
(prosecutor, of, files)
(he, saw in, alley)
(petitioners, learned In, their postconviction review of prosecutor 's files)
(McMillan, beating, two women)
(McMillan, was, arrested)
(McMillan, was, In weeks following Fuller 's murder before petitioners ' trial arrested)
(McMillan, was arrested In, weeks)
(McMillan, was, In weeks before petitioners ' trial arrested)
(Fuller, following, murder)
(McMillan, was arrested before, petitioners ' trial)
(McMillan, was arrested In, weeks following Fuller 's murder)
(McMillan, murdered, young woman)
(McMillan, murdered, woman)
(McMillan, murdered woman in, alley)
(interview, is with, Willie Luchie)
(prosecutor 's notes, recorded, interview)
(undisclosed interview, is with, Willie Luchie)
(prosecutor 's notes, also recorded, interview)
(prosecutor, has, notes)
(prosecutor 's notes, also recorded, undisclosed interview)
(prosecutor 's notes, recorded, undisclosed interview)
(Luchie, heard, several groans)
(group, walked by, garage)
(Luchie, heard, groans)
(other persons, hearing, anything unusual)
(person, is in, group)
(other two persons, hearing, anything unusual)
(two persons, hearing, anything unusual)
(group, walking, looking)
(group, continued, walking)
(group, walking, looking into garage)
(interviews, is with, Ammie Davis)
(Undisclosed notes, refer to, two interviews)
(Undisclosed notes, written by, police officer)
(notes, refer to, two interviews)
(two interviews, is with, Ammie Davis)
(notes, written by, police officer)
(Fuller, after, murder)
(death, is in, alley)
(Davis, told, police investigator)
(Davis, initially told, police investigator)
(She, call investigator with, details)
(She, call investigator with, more details)
(investigator, of, notes)
(prosecutor, interviewed, Davis)
(prosecutor, learned of, investigator 's notes)
(prosecutor, later learned of, investigator 's notes)
(prosecutor, has, notes)
(petitioners ' trial, Davis in, unrelated drug dispute)
(Blue murdered Davis, is in, unrelated drug dispute)
(petitioners, ' trial is, Blue murdered Davis in unrelated drug dispute)
(Davis, accused Blue of, murder)
(Davis, previously accused Blue of, murder)
(Davis, falsely accused, different individual of different murder)
(Davis, accused, individual)
(Davis, falsely accused, Blue)
(Davis, accused, individual of different murder)
(Davis, falsely accused, individual)
(Davis, falsely accused Blue of, murder)
(Davis, falsely accused, individual of murder)
(Davis, previously falsely accused Blue of, different murder)
(Davis, previously falsely accused, Blue)
(Davis, accused, different individual of murder)
(Davis, falsely accused Blue of, different murder)
(Davis, accused, different individual of different murder)
(Davis, previously accused, Blue)
(Davis, accused, different individual)
(Davis, falsely accused, different individual)
(Davis, accused Blue of, different murder)
(Davis, previously falsely accused Blue of, murder)
(Davis, accused, Blue)
(Davis, falsely accused, different individual of murder)
(Davis, previously accused Blue of, different murder)
(Davis, accused, individual of murder)
(Davis, falsely accused, individual of different murder)
(Kaye Porter, accompanied Eleby during, initial interview with homicide detectives)
(Kaye Porter, accompanied Eleby during, interview)
(Kaye Porter, accompanied, Eleby)
(Kaye Porter, accompanied Eleby during, initial interview)
(Kaye Porter, accompanied Eleby during, interview with homicide detectives)
(initial interview, is with, homicide detectives)
(she, also heard, Alston state)
(he, robbing, Fuller)
(she, heard, Alston state)
(he, was, involved)
(Porter, agreed with, Eleby)
(she, just went along, Eleby said)
(later interview, is with, detectives)
(she, went along, Eleby said)
(Porter, support, her)
(Alston, during, statement)
(she, lied about, Porter)
(Eleby, asked, Porter)
(she, lied, present)
(she, lied, present during Alston 's statement)
(prosecutor, has, un-disclosed note)
(interview, is with, Linda Jacobs)
(detective, smacking, his hand)
(detective, raising, his voice)
(interview, is with, Maurice Thomas ' aunt)
(overriding concern, is with, justice of finding of guilt)
(Government 's interest, is in, criminal prosecution)
(It, does, it must)
(Government, has, interest in criminal prosecution)
(it, policy of, discovery)
(it, subsequent has adopted, policy of discovery)
(it, has adopted, generous policy of discovery)
(Government, assured Court at, argument)
(it, has adopted, generous policy)
(it, subsequent has adopted, policy)
(it, subsequent has adopted, generous policy of discovery)
(it, subsequent has adopted, generous policy)
(it, generous policy of, discovery)
(Government, assured Court at, oral argument)
(it, has adopted, policy)
(it, has adopted, policy of discovery)
(Government, assured, Court)
(it, is, be)
(his, is, be)
(439, at Kyles is, supra)
(Petitioners, however do contest, materiality)
(Government, do contest, materiality of Brady information)
(Petitioners, do contest, materiality)
(Government, however do contest, materiality of Brady information)
(Petitioners, do contest, materiality of Brady information)
(Petitioners, however do contest, materiality of Brady information)
(Petitioners, however do contest, materiality of undisclosed Brady information)
(Government, do contest, materiality of undisclosed Brady information)
(Petitioners, do contest, materiality of undisclosed Brady information)
(Government, do contest, materiality)
(Government, however do contest, materiality)
(Government, however do contest, materiality of undisclosed Brady information)
(E vidence, is material within, meaning of Brady)
(E vidence, is material within, meaning)
(result, been, different)
(evidence, been, disclosed)
(E vidence, is, material)
(suppressed evidence, undermines, confidence)
(suppressed evidence, undermines, confidence in outcome of trial)
(evidence, confidence in, outcome)
(confidence, is in, outcome of trial)
(evidence, undermines, confidence)
(evidence, undermines, confidence in outcome)
(evidence, confidence in, outcome of trial)
(suppressed evidence, undermines, confidence in outcome)
(suppressed evidence, confidence in, outcome of trial)
(evidence, undermines, confidence in outcome of trial)
(suppressed evidence, confidence in, outcome)
(434, at Kyles is, supra)
(petitioners, are entitled to, new trial)
(petitioners, are, In words entitled to new trial)
(petitioners, are entitled to, trial)
(petitioners, are entitled In, other words)
(petitioners, are, In other words entitled to trial)
(petitioners, are, In words entitled to trial)
(petitioners, are, In other words entitled to new trial)
(petitioners, are, entitled)
(petitioners, are entitled In, words)
(282, at Strickler is, supra)
(issue, is, Consequently legally simple)
(issue, is, legally simple)
(issue, is, Consequently simple)
(issue, is, simple)
(112, at Agurs is, supra)
(We, must examine, trial record)
(we, agree with, lower courts)
(we, agree with, courts)
(Luchie, has, statement)
(Fuller, was, killed)
(McMillan, about, identity)
(Fuller, was killed in, group attack)
(Government, has, basic theory)
(they, raised, theory namely)
(they, raised, alternative theory namely)
(they, raised, theory)
(they, raised, alternative theory)
(they, walked through, alley)
(attack, taking place at, moment)
(attack, taking place inside, garage)
(attack, taking, place)
(Luchie, has, group)
(garage, was, small)
(one, is in, alley)
(Freeman, has, recollection combined with recollection)
(Luchie, left, Freeman arrived)
(McMillan, has, criminal convictions in months before trial)
(Freeman, enter, alley)
(McMillan, has, identity men)
(Fuller 's body, revealed, McMillan 's criminal convictions)
(McMillan 's criminal convictions, is in, months)
(Freeman, enter alley, Freeman discovered)
(Fuller 's body, revealed, McMillan 's convictions before petitioners ' trial)
(Fuller, has, body)
(Fuller 's body, revealed, McMillan 's criminal convictions before petitioners ' trial)
(Fuller 's body, revealed, McMillan 's convictions)
(Fuller 's body, revealed, McMillan 's criminal convictions in months)
(Fuller 's body, revealed, McMillan 's convictions in months)
(Fuller 's body, revealed, McMillan 's convictions in months before petitioners ' trial)
(Fuller 's body, revealed, McMillan 's criminal convictions in months before petitioners ' trial)
(it, was, actually McMillan or)
(it, was, actually McMillan)
(it, was, McMillan alone or)
(it, was, McMillan)
(it, was, actually McMillan alone or)
(it, was, McMillan or)
(investigation, accusing, wrong persons)
(incomplete investigation, accusing, wrong persons)
(investigation, accusing, persons)
(They, pieces, suggest)
(incomplete investigation, accusing, persons)
(They, various pieces, suggest)
(Brady, has, standards)
(McMillan, has, guilt)
(group attack, was, cornerstone)
(Government, of, case)
(group attack, was cornerstone of, Government 's case)
(group attack, was very cornerstone of, Government 's case)
(group attack, was, very cornerstone)
(Fuller, was, killed)
(Fuller, was killed by, large group of perpetrators)
(Fuller, was killed by, group of perpetrators)
(Fuller, was killed by, large group)
(Fuller, was killed by, group)
(Fuller, has, body)
(evidence, was, such)
(Bennett, falsely confessed, participants)
(he, happened upon, attack)
(Montgomery, is in, fact)
(Bennett, confessed, participants)
(Montgomery, identify, Fuller)
(Catlett, refer at_time, night)
(Montgomery, identify Fuller as, target)
(Bennett, confessed, active participants)
(active participants, is in, group attack)
(their alternative theory, persuade, jury)
(Bennett, falsely confessed, active participants)
(Catlett, refer to, it)
(others, Montgomery in, fact)
(Montgomery, leave, park)
(Catlett, refer at_time, later night)
(their current alternative theory, persuade, jury)
(it, was, cumulative)
(it, was cumulative of, impeachment evidence petitioners)
(it, was largely cumulative of, impeachment evidence petitioners)
(record, shows With, With undisclosed impeachment evidence)
(record, shows With, With impeachment evidence)
