(HENDRICKSON ET AL., v. KINGSLEY is, 2015)
(they, used in, violation of Fourteenth Amendment 's Process Clause)
(they, used force against, him)
(parties, disagree, excessive)
(force, was, excessive)
(Michael Kingsley, was arrested on, drug charge)
(Michael Kingsley, detained prior in, Wisconsin county jail)
(Michael Kingsley, detained in, Wisconsin county jail)
(Michael Kingsley, was, arrested)
(covering, fixture above, Kingsley 's bed)
(covering, light fixture above, Kingsley 's bed)
(Kingsley, above, bed)
(other officers, subsequently told, Kingsley)
(officers, subsequently told, Kingsley)
(Kingsley, remove, it)
(officers, told, Kingsley)
(Kingsley, remove, paper)
(Kingsley, time, Kingsley refused)
(other officers, told, Kingsley)
(jail administrator, ordered, Kingsley)
(Kingsley, remove, paper)
(jail administrator, ordered Kingsley at_time, next morning)
(jail administrator, ordered Kingsley at_time, morning)
(receiving cell, is in, interim)
(Conroy, told, Kingsley)
(officers, handcuffed, him)
(him, face down on, bunk with his hands)
(Kingsley, refused, comply)
(him, handcuffed behind, his back)
(bunk, is with, his hands)
(officers, forcibly removed from, cell)
(him, face down on, bunk)
(officers, carried, him)
(officers, forcibly removed, him)
(officers, removed from, cell)
(officers, removed, him)
(Kingsley, in, back)
(Sergeant Hendrickson, placed, his knee)
(Kingsley, told, him)
(Hendrickson, slammed, his head)
(Degner, slammed, his head)
(Degner, applied Taser to, Kingsley 's back)
(Degner, stun, Kingsley)
(officers, left, handcuffed Kingsley)
(officers, left Kingsley in, receiving cell)
(Degner, applied Taser for, approximately five seconds)
(Degner, applied, Taser)
(officers, returned later to, cell 15 minutes)
(Degner, stun Kingsley with, Taser)
(officers, left, Kingsley)
(officers, left, handcuffed Kingsley alone)
(officers, left, Kingsley alone)
(officers, returned to, cell 15 minutes)
(Kingsley, has, handcuffs)
(officers, removed, Kingsley 's handcuffs)
(Kingsley, to, back)
(Fourteenth Amendment, of, Due Process Clause)
(§ 1983 complaint, is in, Federal District Court)
(Kingsley, filed, 1983 complaint in Federal District Court)
(Kingsley, filed, 1983 complaint claiming)
(Kingsley, filed, 1983 complaint in Federal District Court claiming)
(Kingsley, filed, 1983 complaint)
(they, used, force)
(officers, intended, harm)
(officers, acted with, malice)
(they, force against, him)
(they, used, force against him)
(Kingsley, App to, Pet)
(Kingsley 's excessive force claim, proceeded to, trial)
(Kingsley, has, excessive force claim)
(Kingsley 's force claim, proceeded to, trial)
(Kingsley 's force claim, accordingly proceeded to, trial)
(Kingsley 's excessive force claim, accordingly proceeded to, trial)
(District Court, instructed jury At, conclusion)
(District Court, instructed jury, follows)
(District Court, instructed, jury)
(District Court, instructed jury At, conclusion of trial)
(plaintiff, must prove, succeed on his claim of excessive use)
(plaintiff, Thus must prove, succeed on his claim)
(plaintiff, must prove, succeed on his claim of use)
(plaintiff, must prove, each of following factors)
(plaintiff, Thus must prove, succeed)
(plaintiff, must prove, succeed on his claim of use of force)
(plaintiff, Thus must prove, succeed on his claim of excessive use of force)
(plaintiff, Thus must prove by, preponderance)
(plaintiff, Thus must prove by, preponderance of evidence)
(plaintiff, must prove, each following factors)
(plaintiff, succeed on, his claim of use of force)
(plaintiff, Thus must prove, succeed on his claim of excessive use)
(plaintiff, succeed on, his claim of use)
(plaintiff, Thus must prove, succeed on his claim of use)
(plaintiff, must prove, succeed on his claim of excessive use of force)
(plaintiff, must prove by, preponderance)
(plaintiff, must prove, succeed on his claim)
(plaintiff, succeed on, his claim of excessive use)
(plaintiff, must prove, succeed)
(plaintiff, succeed on, his claim of excessive use of force)
(plaintiff, Thus must prove, each following factors)
(plaintiff, must prove by, preponderance of evidence)
(plaintiff, Thus must prove, each of following factors)
(plaintiff, succeed on, his claim)
(plaintiff, Thus must prove, succeed on his claim of use of force)
(Defendants ' use, was unreasonable in, light of facts)
(Defendants ' use, was unreasonable in, light)
(Defendants ' use, was, unreasonable)
(Defendants ' use, was unreasonable in, light of facts at time)
(risk, using, force)
(they, recklessly disregarded, plaintiff 's safety)
(measures, minimize, risk of harm)
(plaintiff, has, safety)
(measures, minimize, risk to plaintiff)
(measures, minimize, risk of harm to plaintiff)
(reasonable measures, minimize, risk to plaintiff)
(reasonable measures, minimize, risk of harm to plaintiff)
(they, disregarded, plaintiff 's safety)
(reasonable measures, minimize, risk)
(measures, minimize, risk)
(reasonable measures, minimize, risk of harm)
(Defendants ' conduct, caused harm to, plaintiff)
(Defendants ' conduct, caused, harm)
(defendants, used, force)
(defendants, used, unreasonable force against plaintiff)
(it, was unreasonable from, perspective of officer)
(defendants, used, force against plaintiff)
(defendants, used, unreasonable force)
(it, was, unreasonable)
(defendants, force against, plaintiff)
(defendants, unreasonable force against, plaintiff)
(it, was unreasonable from, perspective)
(it, was unreasonable from, perspective of reasonable officer)
(You, must make, decision)
(You, must make, decision based)
(plaintiff, of, rights)
(you, Also may consider, deciding)
(you, Also may consider, factors)
(defendants, used, force)
(you, may consider, factors)
(you, may consider factors, deciding)
(defendants, used, unreasonable force)
(you, may consider, deciding)
(you, Also may consider factors, deciding)
(plaintiff, of, injury)
(jury, found in, officers favor)
(pretrial detainee, has, excessive force claim)
(Kingsley, argued On, appeal)
(panel, disagreed with, one judge dissenting)
(law, required, inquiry into officer 's state)
(law, required, subjective inquiry into officer 's state of mind)
(law, subjective inquiry into, officer 's state of mind)
(law, required, inquiry into officer 's state of mind)
(law, required, inquiry)
(officer, into, state of mind)
(law, inquiry into, officer 's state of mind)
(law, subjective inquiry into, officer 's state)
(law, required, subjective inquiry into officer 's state)
(law, inquiry into, officer 's state)
(law, required, subjective inquiry)
(plaintiff, has, rights)
(force, show, unreasonable)
(force, show, only objectively unreasonable)
(use, was, unreasonable)
(excessive force, show, unreasonable)
(use, was, only objectively unreasonable)
(force, show, only unreasonable)
(use, was, objectively unreasonable)
(use, was, only unreasonable)
(excessive force, show, only objectively unreasonable)
(force, show, objectively unreasonable)
(excessive force, show, only unreasonable)
(excessive force, show, objectively unreasonable)
(District Court 's use, added, element)
(District Court, has, use of reckless in jury instruction)
(District Court 's use, added, unnecessary element)
(subjective standard, requirements of, § 1983 excessive force claim brought by pretrial detainee)
(standard, requirements of, 1983 excessive force claim brought by pretrial detainee)
(subjective standard, requirements of, 1983 excessive force claim brought by pretrial detainee)
(certiorari, asking, us)
(standard, requirements of, § excessive force claim brought by pretrial detainee)
(subjective standard, requirements of, § excessive force claim brought by pretrial detainee)
(standard, requirements of, § 1983 excessive force claim brought by pretrial detainee)
(Kingsley, filed petition for, certiorari)
(standard, requirements of, excessive force claim brought by pretrial detainee)
(subjective standard, requirements of, excessive force claim brought by pretrial detainee)
(Kingsley, filed, petition)
(we, agreed, do so)
(we, agreed, do)
(we, agreed In, light of disagreement among Circuits)
(we, agreed In, light)
(we, agreed In, light of disagreement)
(curiam, per 1271 is, CA11 2005)
(Orum, v. Bozeman is, 609 F. 3d 858)
(Bozeman, is with, Aldini)
(Aldini, with Bozeman is, 609 F. 3d 858)
(We, consider, requisite state)
(We, consider, state)
(We, consider, state of mind)
(We, consider, legally requisite state)
(We, consider, legally requisite state of mind)
(We, consider, requisite state of mind)
(two separate state-of-mind questions, are In, case like one)
(separate state-of-mind questions, are in, sense)
(two separate state-of-mind questions, are In, case)
(separate state-of-mind questions, are In, case like one)
(separate state-of-mind questions, are In, case)
(two separate state-of-mind questions, are in, sense)
(defendant, has, state of mind with physical acts)
(about certain physical consequences, is in, world)
(his use, was, excessive)
(defendant, has, state of mind)
(defendant 's physical acts, is in, world)
(dispute, interpret, defendant 's acts in world)
(defendant, has, physical acts in world)
(dispute, interpret, defendant 's acts)
(dispute, interpret, defendant 's physical acts in world)
(dispute, is As to, second)
(dispute, interpret, defendant 's physical acts)
(We, conclude with respect to, question)
(relevant standard, is, objective)
(standard, is, objective)
(defendant, has, state of mind)
(defendant, possibly state of, mind)
(defendant, possess state as to, series)
(defendant, possess, possibly reckless state)
(defendant, possibly reckless state of, mind)
(defendant, reckless state of, mind)
(defendant, possess, possibly state)
(defendant, possess, state of mind)
(defendant, possess, possibly reckless state of mind)
(purposeful, possibly state of, mind)
(defendant, possess, purposeful)
(defendant, possess, reckless state)
(defendant, possess, knowing)
(defendant, possess, reckless state of mind)
(purposeful, reckless state of, mind)
(defendant, possess, possibly state of mind)
(defendant, state of, mind)
(defendant, possess, state)
(purposeful, state of, mind)
(purposeful, possibly reckless state of, mind)
(liability, is beneath, threshold)
(liability, is beneath, categorically threshold)
(liability, is beneath, threshold of constitutional process)
(liability, is beneath, threshold of due process)
(liability, is beneath, threshold of process)
(liability, is beneath, categorically threshold of process)
(liability, is beneath, categorically threshold of constitutional process)
(liability, is beneath, categorically threshold of due process)
(liability, is beneath, categorically threshold of constitutional due process)
(liability, is beneath, threshold of constitutional due process)
(Sacramento, of County is, 523 U. S. 833 849 1998)
(Historically, guarantee of, due process)
(officer, has, Taser)
(detainee, causing, him harm)
(officer, falls on, detainee)
(officer 's Taser, goes by, accident)
(officer 's Taser, goes off by, accident)
(pretrial detainee, causing, him harm)
(detainee 's claim, may proceed, deliberate)
(pretrial detainee 's claim, may proceed, deliberate)
(pretrial detainee, has, claim)
(use, is, deliberate)
(recklessness, is in, cases)
(Court, noted, so holding)
(Court, noted, though holding)
(Court, noted, holding)
(Court, noted, though so holding)
(We, now consider question before, us)
(We, consider question before, us)
(We, now consider, defendant 's state)
(We, now consider, defendant 's state of mind)
(We, consider, question)
(We, consider, defendant 's state)
(We, consider question before, us here)
(We, now consider before, us)
(We, consider before, us)
(We, now consider question before, us here)
(We, consider, defendant 's state of mind)
(events, is in, world)
(We, now consider, question)
(We, consider before, us here)
(defendant, has, state of mind with proper interpretation of force)
(We, now consider before, us here)
(courts, should use, objective standard)
(courts, should use standard only, deciding)
(courts, should use, standard)
(courts, should use only, objective standard)
(defendant, has, state of mind)
(courts, should use standard, deciding)
(courts, should use only, standard)
(courts, use, objective standard)
(It, is with respect to, question)
(courts, use, standard)
(we, agree with, Seventh Circuit 's jury instruction committee)
(pretrial detainee, show, only unreasonable)
(we, agree In, short)
(dissenting appeals court judge, committee 's, Seventh Circuit)
(detainee, show, objectively unreasonable)
(force, was, objectively unreasonable)
(pretrial detainee, show, only objectively unreasonable)
(detainee, show, only objectively unreasonable)
(detainee, show, unreasonable)
(we, agree with, dissenting appeals court judge)
(we, agree with, appeals court judge)
(pretrial detainee, show, unreasonable)
(detainee, show, only unreasonable)
(Seventh Circuit, has, jury instruction committee)
(force, was, unreasonable)
(force, was, only objectively unreasonable)
(force, used against, him)
(pretrial detainee, show, objectively unreasonable)
(force, purposely or knowingly used against, him)
(force, was, only unreasonable)
(force, purposely used against, him)
(objective reasonableness, Rather turns on, facts of particular case)
(reasonableness, Rather turns on, facts of particular case)
(objective reasonableness, turns on, facts of particular case)
(reasonableness, turns on, facts of particular case)
(court, must make, determination from perspective)
(court, must make, determination)
(individual, is, detained)
(Considerations, relationship between, need)
(Considerations, relationship between, need for use)
(Considerations, severity of, security problem)
(severity, extent of, plaintiff 's injury)
(plaintiff, of, injury)
(Considerations, extent of, plaintiff 's injury)
(Considerations, relationship between, need for use of force)
(Considerations, severity at, issue)
(396, at Graham is, supra)
(factors, only illustrate, types of circumstances relevant to determination of excessive force)
(factors, only illustrate, types of objective circumstances relevant to determination)
(factors, only illustrate, types relevant to determination of excessive force)
(factors, only illustrate, types potentially relevant to determination)
(factors, illustrate, types relevant)
(factors, only illustrate, types of circumstances relevant to determination)
(factors, illustrate, types of circumstances potentially relevant to determination)
(factors, illustrate, types of circumstances potentially relevant to determination of excessive force)
(factors, only illustrate, types of objective circumstances relevant)
(types, potentially relevant to, determination of excessive force)
(factors, illustrate, types of objective circumstances relevant to determination of force)
(factors, illustrate, types of objective circumstances potentially relevant to determination of excessive force)
(factors, illustrate, types relevant to determination)
(factors, only illustrate, types of objective circumstances potentially relevant)
(types, relevant to, determination of force)
(factors, illustrate, types of circumstances relevant to determination of force)
(factors, illustrate, types potentially relevant to determination)
(factors, illustrate, types of objective circumstances relevant to determination of excessive force)
(factors, illustrate, types of circumstances potentially relevant to determination of force)
(factors, only illustrate, types of objective circumstances relevant to determination of force)
(types, relevant to, determination)
(factors, illustrate, types of objective circumstances potentially relevant)
(factors, illustrate, types of objective circumstances potentially relevant to determination)
(factors, illustrate, types relevant to determination of excessive force)
(factors, illustrate, types potentially relevant to determination of force)
(factors, only illustrate, types of objective circumstances potentially relevant to determination of excessive force)
(factors, only illustrate, types of objective circumstances potentially relevant to determination)
(factors, only illustrate, types of circumstances potentially relevant)
(factors, only illustrate, types of objective circumstances potentially relevant to determination of force)
(types, relevant to, determination of excessive force)
(factors, illustrate, types of objective circumstances relevant to determination)
(factors, only illustrate, types of circumstances relevant to determination of force)
(factors, only illustrate, types relevant to determination)
(factors, only illustrate, types potentially relevant to determination of force)
(types, potentially relevant to, determination of force)
(factors, only illustrate, types of circumstances potentially relevant to determination)
(factors, illustrate, types relevant to determination of force)
(factors, illustrate, types of circumstances relevant)
(factors, illustrate, types of circumstances potentially relevant)
(factors, illustrate, types potentially relevant)
(factors, illustrate, types of objective circumstances relevant)
(factors, only illustrate, types of circumstances relevant)
(factors, only illustrate, types of circumstances potentially relevant to determination of force)
(factors, illustrate, types potentially relevant to determination of excessive force)
(types, potentially relevant to, determination)
(factors, illustrate, types of circumstances relevant to determination)
(factors, only illustrate, types potentially relevant to determination of excessive force)
(factors, illustrate, types of objective circumstances potentially relevant to determination of force)
(factors, only illustrate, types potentially relevant)
(factors, only illustrate, types of circumstances potentially relevant to determination of excessive force)
(factors, only illustrate, types relevant)
(factors, illustrate, types of circumstances relevant to determination of excessive force)
(factors, only illustrate, types of objective circumstances relevant to determination of excessive force)
(factors, only illustrate, types relevant to determination of force)
(We, mention, factors)
(Several considerations, have led, us)
(considerations, have led, us)
(standard, is, objective)
(pretrial detainee, for, excessive force claim)
(it, is consistent with, our precedent)
(it, is consistent For, one thing)
(it, is, consistent)
(it, is, For one thing consistent with our precedent)
(395, at Graham is, supra)
(10, n. Graham is, supra)
(such punishment, consist of, actions taken with expressed intent punish)
(such punishment, consist of, actions)
(punishment, consist of, actions taken with expressed intent punish)
(punishment, consist of, actions)
(such punishment, consist of, actions taken with intent punish)
(punishment, consist of, actions taken)
(punishment, consist of, actions taken with intent punish)
(we, explained in, Bell)
(such punishment, consist of, actions taken)
(detainee, nevertheless prevail in, absence of intent punish)
(detainee, nevertheless prevail in, absence)
(detainee, prevail in, absence)
(actions, appear, excessive in relation)
(pretrial detainee, prevail in, absence of intent punish)
(actions, appear, excessive)
(pretrial detainee, prevail in, absence of expressed intent punish)
(detainee, prevail in, absence of intent punish)
(Bell Court, went on, explain)
(detainee, prevail in, absence of expressed intent punish)
(detainee, nevertheless prevail in, absence of expressed intent punish)
(pretrial detainee, nevertheless prevail in, absence)
(pretrial detainee, prevail in, absence)
(pretrial detainee, nevertheless prevail in, absence of intent punish)
(actions, appear, excessive in relation to purpose)
(pretrial detainee, nevertheless prevail in, absence of expressed intent punish)
(prison, including, practice of double-bunking)
(Bell Court, applied, latter standard)
(Bell Court, applied, latter objective standard)
(Bell Court, applied, standard)
(Bell Court, applied, objective standard)
(Court, examined evidence, concluding)
(Court, Rather examined, evidence)
(Court, examined, objective evidence)
(Court, Rather examined, objective evidence)
(Court, examined, evidence)
(Court, Rather examined evidence, concluding)
(Bell, has, focus on punishment)
(it, is excessive in, relation to purpose)
(it, is, excessive)
(it, is excessive in, relation)
(may connected, is assignable for, it)
(it, appears, excessive in relation to alternative purpose assigned)
(it, appears, excessive)
(may connected, is, assignable)
(it, appears, excessive in relation to purpose assigned to it)
(alternative purpose, may, may rationally connected)
(it, appears, excessive in relation)
(it, appears, excessive in relation to purpose assigned)
(it, appears, excessive in relation to purpose)
(alternative purpose, may, may connected)
(it, appears, excessive in relation to alternative purpose)
(purpose, may, may rationally connected)
(it, appears, excessive in relation to alternative purpose assigned to it)
(purpose, may, may connected)
(Our standard, is also consistent with, our use)
(Our standard, is consistent with, our use)
(Our standard, is, consistent)
(Our standard, is, also consistent)
(officers, apply, force)
(standard, is, workable)
(objective standard, is, workable)
(It, is, consistent)
(It, is consistent with, pattern jury instructions)
(pattern jury instructions, used in, several Circuits)
(It, is consistent with, pattern jury instructions used in several Circuits)
(It, is consistent with, pattern jury instructions used in Circuits)
(It, is consistent with, pattern jury instructions used)
(pattern jury instructions, used in, Circuits)
(facility, including facilities is, train officers interact with detainees)
(r, is, difficult undertaking)
(r, is, difficult)
(r, is, undertaking)
(r, unning, prison)
(r, is, inordinately difficult undertaking)
(Officers, make, judgments)
(Officers, facing, disturbances)
(Officers, are, forced)
(split-second judgments, is in, circumstances)
(Officers, are, often forced)
(Officers, make, split-second judgments)
(397, at Graham is, 490 U. S.)
(court, reasonableness of, force used)
(court, judge, reasonableness of force used)
(court, judge, reasonableness of force)
(we, have stressed For, reasons)
(court, judge, reasonableness)
(court, reasonableness of, force)
(court, judge, reasonableness of force used from perspective)
(court, reasonableness of, force used from perspective)
(deference, is, appropriate)
(court, take, account)
(court, acknowledging as, part of reasonableness analysis)
(court, acknowledging as, part of objective reasonableness analysis)
(court, acknowledging as, part)
(force, use of was, result)
(we, have limited liability, we leave)
(we, have limited, we leave)
(use, was result of, intentional act)
(use, was result of, act)
(use, was, result)
(we, have limited, liability)
(we, have limited, liability for force)
(we, have limited, liability for excessive force)
(officer, acted in, faith)
(officer, acted in, good faith)
(It, is, unlikely)
(plaintiff, overcome, hurdles)
(they, refer to, several cases)
(they, refer to, cases)
(Fourteenth Amendment, under, Due Process Clause)
(Eighth Amendment, under, Cruel)
(320, at Whitley is, supra)
(6-7, at Hudson is, supra)
(10 1989, n. Graham is, supra)
(395, at Graham is, supra)
(Hudson, are, relevant here only insofar)
(Whitley, are, relevant here)
(Whitley, are, relevant insofar)
(Hudson, are, relevant insofar)
(Whitley, are, relevant here only insofar)
(Whitley, are, relevant)
(Whitley, are, relevant only insofar)
(Whitley, are, relevant here insofar)
(Hudson, are, relevant only insofar)
(Hudson, are, relevant here insofar)
(Hudson, are, relevant)
(Hudson, are, relevant here)
(we, believe, explained above)
(we, believe, explained)
(Court, considered, claim)
(Court, There considered, claim)
(ust, is needed for, Eighth Amendment liability)
(ust, is, needed)
(Eighth Amendment liability, is in, prison riot case)
(due process liability, is in, pursuit case)
(ust, is needed for, Eighth Amendment liability in prison riot case)
(Other portions, make, clear)
(portions, make however, clear)
(defendant, to, intent commit in question)
(portions, make, clear)
(Other portions, make however, clear)
(Glick, does provide, respondents with significant support)
(Glick, does provide, respondents with support)
(respondents, is with, significant support)
(Glick, does provide, respondents)
(Fourteenth Amendment, under, Due Process Clause)
(Judge Friendly, considered, excessive force claim brought by detainee under Fourteenth Amendment 's Due Clause)
(Judge Friendly, considered, force claim brought by pretrial detainee under Amendment 's Due Process Clause)
(Judge Friendly, considered, excessive force claim brought by detainee under Fourteenth Amendment 's Due Process Clause)
(Judge Friendly, considered, force claim brought by pretrial detainee)
(Judge Friendly, considered, force claim brought by detainee under Amendment 's Due Process Clause)
(Judge Friendly, considered, force claim brought by detainee under Fourteenth Amendment 's Process Clause)
(Judge Friendly, considered In, case)
(Judge Friendly, considered, excessive force claim brought by pretrial detainee under Amendment 's Clause)
(Judge Friendly, considered, force claim brought under Amendment 's Due Process Clause)
(Judge Friendly, considered, force claim brought by pretrial detainee under Fourteenth Amendment 's Process Clause)
(Judge Friendly, considered, excessive force claim brought by pretrial detainee under Fourteenth Amendment 's Due Clause)
(Judge Friendly, considered, force claim brought by detainee under Amendment 's Clause)
(Judge Friendly, considered, excessive force claim brought by detainee)
(Judge Friendly, considered, excessive force claim brought under Amendment 's Clause)
(Judge Friendly, considered, force claim)
(Judge Friendly, considered, excessive force claim brought under Fourteenth Amendment 's Process Clause)
(Judge Friendly, considered, force claim brought under Amendment 's Due Clause)
(Judge Friendly, considered, force claim brought under Amendment 's Clause)
(Judge Friendly, considered, excessive force claim brought by pretrial detainee)
(Judge Friendly, considered, excessive force claim brought by detainee under Amendment 's Process Clause)
(Judge Friendly, considered, excessive force claim brought under Fourteenth Amendment 's Due Clause)
(Judge Friendly, considered, excessive force claim brought by detainee under Amendment 's Due Clause)
(Judge Friendly, considered, force claim brought under Fourteenth Amendment 's Due Clause)
(Judge Friendly, considered, excessive force claim brought by pretrial detainee under Amendment 's Process Clause)
(Judge Friendly, considered, force claim brought by pretrial detainee under Fourteenth Amendment 's Due Clause)
(Judge Friendly, considered, excessive force claim brought under Amendment 's Due Clause)
(Judge Friendly, considered, force claim brought by pretrial detainee under Fourteenth Amendment 's Clause)
