(April 29 2015, Decided at_time, June 29 2015)
(District Court 's factual findings, are, reviewed)
(District Court 's factual findings, are reviewed under, error standard)
(District Court, has, factual findings)
(District Court 's findings, are, reviewed)
(District Court 's factual findings, First are reviewed under, deferential clear error standard)
(District Court 's factual findings, are reviewed under, deferential error standard)
(District Court 's findings, are reviewed under, error standard)
(District Court 's factual findings, First are reviewed under, error standard)
(District Court 's factual findings, are reviewed under, deferential clear error standard)
(District Court 's findings, are reviewed under, clear error standard)
(District Court 's findings, First are reviewed under, deferential clear error standard)
(District Court 's findings, are reviewed under, deferential error standard)
(District Court 's factual findings, First are reviewed under, clear error standard)
(petitioners, have, burden on question)
(petitioners, Second have, burden of persuasion)
(petitioners, have, burden)
(midazolam, is, effective)
(petitioners, Second have, burden on question)
(petitioners, have, burden of persuasion)
(petitioners, Second have, burden of persuasion on question)
(petitioners, have, burden of persuasion on question)
(petitioners, Second have, burden)
(fact, heightens, deference)
(fact, heightens, deference owed)
(fact, Third heightens, deference owed)
(fact, Third heightens, deference owed to District Court 's findings)
(midazolam, render inmate insensate during, execution)
(fact, Third heightens, deference)
(midazolam, render inmate insensate to, pain)
(District Court, to, findings)
(midazolam, is, likely)
(midazolam, render, inmate insensate)
(fact, heightens, deference owed to District Court 's findings)
(challenges, test, boundaries)
(challenges, Finally test, boundaries)
(51, at Baze is, supra)
(State, has, expert)
(State 's expert, presented, persuasive testimony)
(State 's expert, presented, testimony)
(Expert testimony, lends, support)
(District Court, to, conclusion)
(Expert testimony, lends, support to District Court 's conclusion)
(dose, induce, coma)
(it, produce, lack of response to pain)
(500-milligram dose, induce, coma)
(it, is, expected)
(it, produce, lack)
(coma, 500-milligram dose of, midazolam)
(it, produce, lack of response)
(it, is expected as, dose)
(coma, dose of, midazolam)
(it, is expected as, dose of midazolam increases)
(dose, is, First times higher than dose)
(dose, is higher, times)
(dose, is, many times higher than normal dose)
(500-milligram dose, is, many times higher than normal dose)
(500-milligram dose, is, times higher than dose)
(500-milligram dose, is, many times higher than normal therapeutic dose)
(dose, First is higher, times)
(dose, is, First many times higher than normal dose)
(dose, is, times higher than dose)
(dose, is, First times higher than therapeutic dose)
(500-milligram dose, is, First many times higher than therapeutic dose)
(500-milligram dose, is, First times higher than therapeutic dose)
(dose, is, First times higher than normal therapeutic dose)
(dose, is, times higher than normal therapeutic dose)
(dose, is, many times higher than normal therapeutic dose)
(500-milligram dose, is, First many times higher than normal dose)
(500-milligram dose, is higher, many times)
(500-milligram dose, is, times higher than normal dose)
(dose, is, times higher than therapeutic dose)
(dose, is, First many times higher than therapeutic dose)
(dose, is, First many times higher than dose)
(500-milligram dose, First is higher, times)
(dose, is, times higher than normal dose)
(dose, is, many times higher than dose)
(500-milligram dose, is, First many times higher than normal therapeutic dose)
(500-milligram dose, is, First many times higher than dose)
(500-milligram dose, is, many times higher than therapeutic dose)
(dose, is higher, many times)
(500-milligram dose, is, many times higher than dose)
(500-milligram dose, is, times higher than therapeutic dose)
(500-milligram dose, First is higher, many times)
(500-milligram dose, is, First times higher than dose)
(500-milligram dose, is, First times higher than normal therapeutic dose)
(500-milligram dose, is, times higher than normal therapeutic dose)
(500-milligram dose, is, First times higher than normal dose)
(dose, is, First many times higher than normal therapeutic dose)
(dose, is, many times higher than therapeutic dose)
(dose, is, First times higher than normal dose)
(dose, First is higher, many times)
(500-milligram dose, is higher, times)
(500-milligram dose, conduct, execution)
(midazolam, regarding, ceiling effect)
(increase, is in, dosage)
(person, insensate to, pain)
(person, insensate to, pain caused)
(person, insensate to, pain caused by drugs)
(person, insensate to, pain caused by second drugs)
(Petitioners, deflect attention from, their failure)
(Petitioners, deflect attention from, their failure on point)
(State, of, expert)
(Petitioners, deflect attention from, their failure of proof on point)
(Petitioners, deflect, attention)
(Petitioners, deflect attention from, their failure of proof)
(State, between, expert)
(They, emphasize, apparent conflict between State 's expert)
(They, emphasize, apparent conflict)
(midazolam, has, ceiling effect)
(petitioners ' expert, is, even correct)
(petitioners ' expert, regarding, process)
(it, is beside, point)
(petitioners ' expert, is, correct)
(petitioners ' expert, regarding, biological process)
(it, is beside, largely point)
(it, contained, alleged mathematical error)
(it, contained, mathematical error)
(States, have used in, execution)
(it, referenced, unreliable sources)
(States, have used midazolam in, execution)
(it, contained, error)
(expert report, presented in, District Court)
(it, contained, alleged error)
(report, presented in, District Court)
(States, have used, midazolam)
(it, referenced, sources)
(ALITO, delivered, opinion)
(SCALIA, joined, KENNEDY)
(SCALIA, joined, THOMAS)
(opinion, is subject to, revision in print of United States Reports)
(opinion, is subject to, formal revision in preliminary print)
(opinion, is subject to, revision)
(opinion, is subject to, formal revision)
(opinion, is subject to, revision in print)
(opinion, is subject to, formal revision before publication)
(opinion, is subject to, formal revision in print of United States Reports)
(formal revision, is in, preliminary print of United States Reports)
(opinion, is subject to, revision before publication in preliminary print)
(opinion, is subject to, formal revision before publication in preliminary print)
(opinion, is subject to, formal revision before publication in print of United States Reports)
(opinion, is subject to, revision before publication)
(opinion, is subject to, formal revision in print)
(opinion, is, subject)
(opinion, is subject to, revision in preliminary print)
(opinion, is subject to, revision before publication in print)
(opinion, is subject to, formal revision in preliminary print of United States Reports)
(opinion, is subject to, revision before publication in preliminary print of United States Reports)
(opinion, is subject to, revision in preliminary print of United States Reports)
(opinion, is subject to, formal revision before publication in print)
(opinion, is subject to, revision before publication in print of United States Reports)
(opinion, is subject to, formal revision before publication in preliminary print of United States Reports)
(Readers, notify, Reporter)
(Readers, notify, Reporter of Decisions)
(Supreme Court, is in, order)
(Readers, are, requested)
(typographical formal errors, of States is, Washington)
(typographical formal errors, of States is, D. C. 20543)
(JUSTICE ALITO, delivered, opinion)
(JUSTICE ALITO, delivered, opinion of Court)
(Prisoners, sentenced to, death in State of Oklahoma)
(Prisoners, filed action under, Rev. Stat)
(Prisoners, filed action in, court)
(Prisoners, filed, action)
(death, is in, State of Oklahoma)
(Prisoners, sentenced to, death)
(Prisoners, sentenced to, death in State)
(Prisoners, filed action in, federal court)
(it, unacceptable risk of, severe pain)
(it, creates, risk)
(method, violates, Eighth Amendment)
(it, risk of, pain)
(it, creates, risk of pain)
(method Eighth Amendment, now used by, State)
(it, unacceptable risk of, pain)
(it, creates, unacceptable risk)
(it, risk of, severe pain)
(method Eighth Amendment, used by, State)
(Eighth Amendment, method of, execution)
(it, creates, risk of severe pain)
(it, creates, unacceptable risk of severe pain)
(it, creates, unacceptable risk of pain)
(midazolam, render, person)
(drug, employed in, State current protocol)
(first drug, employed in, State current protocol)
(drug, employed in, State current three-drug protocol)
(midazolam, render, person insensate to pain)
(State, in, current three-drug protocol)
(first drug, employed in, State three-drug protocol)
(midazolam, render, person insensate)
(drug, employed in, State protocol)
(person, insensate to, pain)
(first drug, employed in, State protocol)
(drug, employed in, State three-drug protocol)
(first drug, employed in, State current three-drug protocol)
(midazolam, is, ineffective)
(District Court, holding, evidentiary hearing)
(they, failed, prove)
(District Court, denied, four prisoners ' application)
(District Court, holding, hearing)
(District Court, denied, four prisoners ' application for injunction)
(District Court, denied, four prisoners ' application for preliminary injunction)
(District Court, has, finding of fact regarding)
(Court, affirmed, District Court 's finding of fact)
(midazolam, has, efficacy)
(Court, affirmed, District Court 's finding)
(we, also affirm For, two reasons)
(we, affirm For, two reasons)
(we, affirm For, two independent reasons)
(we, also affirm For, two independent reasons)
(prisoners, First failed, requirement of Eighth Amendment method-of-execution claims)
(prisoners, failed, requirement of Eighth Amendment method-of-execution claims)
(death penalty, was punishment at, time of adoption)
(death penalty, was accepted punishment at, time of adoption of Constitution)
(death penalty, was punishment at, time)
(death penalty, was punishment at, time of adoption of Constitution)
(death penalty, was, accepted punishment)
(death penalty, was accepted punishment at, time of adoption)
(death penalty, was accepted punishment at, time)
(penalty, was, accepted)
(death penalty, was, punishment)
(death sentences, were usually carried out, hanging)
(death sentences, were carried out In, era)
(death sentences, were carried out, hanging)
(death sentences, were usually carried out In, era)
(Death Penalty, is in, America)
(Hanging, remained, standard method of execution)
(century, in, later years)
(Hanging, remained, standard method)
(Hanging, remained through, much)
(Hanging, remained method through, much)
(Hanging, remained method through, much of century)
(Hanging, remained through, much of century)
(Hanging, remained method through, much of 19th century)
(Hanging, remained, method of execution)
(Hanging, remained, method)
(Hanging, remained through, much of 19th century)
(1880, Legislature of, State)
(sentence, is in, capital cases)
(Legislature, enacted, law providing for method)
(Legislature, enacted, law)
(Legislature, enacted law in, 1888)
(commission, recommended, electrocution)
(Legislature, enacted, law providing)
(Legislature, enacted, law providing for method of execution)
(New York, has, lead)
(other States, followed, New York 's lead)
(States, followed, New York 's lead)
(42, at Baze is, 553 U. S.)
(humane manner, known to, science)
(humane manner, known to, modern science)
(manner, known to, modern science)
(manner, known to, science)
(this, known to, modern science)
(use, was, unconstitutional id.)
(use, was, unconstitutional)
(use, was unconstitutional id. at, 435-437)
(use, was unconstitutional at, 435-437)
(Nevada Supreme Court, rejected, argument)
(Nevada, has, lead)
(hanging, were, retained in States)
(hanging, were, retained)
(hanging, were, Nevertheless retained)
(hanging, were, Nevertheless retained in States)
(electrocution, remained until, hiatus)
(electrocution, remained, method)
(electrocution, remained method until, hiatus)
(9-year hiatus, is in, executions)
(electrocution, remained, predominant method)
(our judgment, is in, Gregg)
(electrocution, remained method until, 9-year hiatus)
(electrocution, remained, method of execution)
(electrocution, remained until, 9-year hiatus)
(electrocution, remained, predominant method of execution)
(They, adopted, injection)
(execution, is in, United States)
(They, eventually adopted, lethal injection)
(They, adopted, lethal injection)
(They, eventually adopted, injection)
(42, at Baze is, supra)
(Oklahoma, adopted injection in, 1977)
(Oklahoma, adopted, injection)
(Oklahoma, adopted, lethal injection)
(44, at Baze is, supra)
(State, has, chosen procedure carrying as infliction of cruel punishment)
(methods, have changed over, years)
(Court, upheld sentence by, firing squad)
(99 U. S. 130 134-135, is In, Wilkerson)
(Court, upheld, sentence)
(Court, upheld, sentence of death)
(Court, sentence of, death)
(Court, rejected, challenge)
(Court, rejected, challenge to use of electric chair)
(Court, challenge to, use of electric chair)
(Court, rejected, challenge to use of chair)
(Court, rejected, challenge to use)
(Court, challenge to, use)
(Court, challenge to, use of chair)
(Justices, supra in, Baze)
(Justices, Most recently supra in, Baze)
(Justices, recently supra in, Baze)
(seven Justices, supra in, Baze)
(seven Justices, Most recently supra in, Baze)
(seven Justices, recently supra in, Baze)
(Our decisions, have, have animated in part)
(i t, follows, settled)
(Our decisions, is in, area)
(it, is, settled)
(Our decisions, have, have animated in part by recognition)
(i t, necessarily follows, settled)
(Our decisions, have, have animated by recognition)
(Our decisions, have, have animated)
(capital punishment, is, constitutional)
(punishment, is, constitutional)
(risk, is inherent in, method of execution)
(most humans, die, painless death)
(most humans, die, death)
(humans, die, painless death)
(humans, die, death)
(Holding, would effectively outlaw, death penalty)
(Holding, would effectively outlaw altogether, death penalty)
(Holding, would outlaw altogether, death penalty)
(Eighth Amendment, demands, elimination of risk of pain)
(Holding, would outlaw, death penalty)
(Eighth Amendment, elimination of, essentially risk of pain)
(Eighth Amendment, demands, elimination of essentially risk of pain)
(Eighth Amendment, elimination of, risk of pain)
(Baze, cleared, legal obstacle)
(States, carry out, death penalty)
(States, carry out death penalty in, fashion)
(States, carry out death penalty in, quick fashion)
(manufacturer, cease, production of drug)
(sole American manufacturer, cease, production of drug)
(sole manufacturer, was, persuaded)
(American manufacturer, was persuaded, cease)
(manufacturer, was, persuaded)
(sole manufacturer, was persuaded, cease)
(American manufacturer, was, persuaded)
(sole American manufacturer, cease, production)
(sole American manufacturer, was persuaded, cease)
(sodium thiopental, of manufacturer is, first drug used in standard three-drug protocol)
(sole American manufacturer, was, persuaded)
(American manufacturer, cease, production of drug)
(sole manufacturer, cease, production)
(American manufacturer, cease, production)
(sole manufacturer, cease, production of drug)
(manufacturer, cease, production)
(manufacturer, was persuaded, cease)
(company, resume production in, Italy)
(company, suspending, production)
(company, resume, production)
(company, suspending production in, 2009)
(company, suspending, domestic production)
(Koppel, Raises, Ire)
(Koppel, Raises, Ire of Doctors)
(Italian Government, stop, sale)
(Government, stop, sale of sodium thiopental for use)
(Italian Government, stop, sale of sodium thiopental for use in injections in country)
(Italian Government, stop, sale for use in country)
(Government, stop, sale of sodium thiopental for use in injections)
(Italian Government, stop, sale of sodium thiopental for use in lethal injections)
(Activists, pressured, Italian Government)
(Italian Government, stop, sale of sodium thiopental for use in country)
(Government, stop, sale for use in injections in country)
(Italian Government, stop, sale for use in lethal injections in country)
(Italian Government, stop, sale for use in injections in country)
(Government, stop, sale for use in lethal injections in country)
(Government, stop, sale of sodium thiopental for use in lethal injections)
(Activists, pressured, company)
(use, is in, lethal injections)
(Activists, pressured, Government)
(Government, stop, sale)
(Government, stop, sale of sodium thiopental for use in lethal injections in country)
(Government, stop, sale for use in injections)
(Italian Government, stop, sale of sodium thiopental for use)
(Italian Government, stop, sale for use in lethal injections)
(Government, stop, sale for use in country)
(use, is in, country)
(Government, stop, sale of sodium thiopental)
(Italian Government, stop, sale for use in injections)
(Government, stop, sale of sodium thiopental for use in injections in country)
(Italian Government, stop, sale of sodium thiopental for use in lethal injections in country)
(Italian Government, stop, sale of sodium thiopental)
(Government, stop, sale of sodium thiopental for use in country)
(Italian Government, stop, sale for use)
(Italian Government, stop, sale of sodium thiopental for use in injections)
(Government, stop, sale for use in lethal injections)
(Government, stop, sale for use)
(Bonner, Letter from, Europe)
(Drug Halt, Executions in, p. A1)
(Drug Company, is in, Hairs)
(Drug Halt, Executions in, Jan. 22 2011)
(Drug Halt, Hinders, Executions in U. S.)
(Executions, is in, S.)
(Death Penalty Opponents, of Hairs is, Mar. 30 2011)
(Drug Halt, Executions in, U. S.)
(Drug Halt, Hinders, Executions)
(it, exit entirely, sodium thiopental market)
(it, exit entirely, sodium market)
(it, exit, sodium market)
(company, announced in, January 2011)
(effort, proved, successful)
(it, exit, sodium thiopental market)
(sodium, thiopental with, pentobarbital)
(they, replaced, sodium thiopental)
(they, eventually replaced, sodium thiopental with pentobarbital)
(States, sought, alternative)
(they, eventually replaced, sodium)
(they, replaced, sodium)
(they, eventually replaced, sodium thiopental)
(they, replaced, sodium thiopental with pentobarbital)
(Oklahoma, became In, December 2010)
(inmate, using, pentobarbital)
(New Drug Mix, Used in, Oklahoma Execution)
(States, shifted to, pentobarbital)
(States, shifted as, their supplies)
(execution, occurred without, incident)
(States, shifted as, their supplies of sodium thiopental)
(States, gradually shifted as, their supplies of sodium thiopental)
(States, gradually shifted as, their supplies)
(States, gradually shifted to, pentobarbital)
(It, is, reported)
(Death Penalty Institute, online at, www)
(administration, is in, protocol)
(Eighth Amendment, use in, executions)
(use, is in, executions)
(Eighth Amendment, use of, pentobarbital)
(pentobarbital, however became Before, long)
(pentobarbital, became, unavailable)
(pentobarbital, also became, unavailable)
(pentobarbital, however became, unavailable)
(pentobarbital, however also became Before, long)
(pentobarbital, became Before, long)
(pentobarbital, also became Before, long)
(pentobarbital, however also became, unavailable)
(advocates, lobbied, manufacturer)
(advocates, lobbied, manufacturer of drug)
(Anti-death-penalty advocates, lobbied manufacturer, stop)
(Anti-death-penalty advocates, lobbied, manufacturer)
(Anti-death-penalty advocates, lobbied, stop)
(use, is in, executions)
(advocates, lobbied, Danish manufacturer of drug)
(advocates, lobbied manufacturer, stop)
(Anti-death-penalty advocates, lobbied, Danish manufacturer)
(Anti-death-penalty advocates, lobbied, manufacturer of drug)
(advocates, lobbied, stop)
(advocates, lobbied, Danish manufacturer)
(Anti-death-penalty advocates, lobbied, Danish manufacturer of drug)
(manufacturer, took, steps)
(use, is in, executions)
(manufacturer, opposed, death penalty)
(executions, is in, United States)
(Death Penalty, is in, U. S.)
(Stein, Obstacle to, Death Penalty in U. S.)
(Oklahoma, eventually became, unable)
(Oklahoma, became, unable)
(pentobarbital, are now unavailable to, Oklahoma)
(pentobarbital, are, unavailable)
(pentobarbital, are, now unavailable)
(pentobarbital, are unavailable to, Oklahoma)
(midazolam, sedative in, benzodiazepine family of drugs)
(States, have turned to, sedative in benzodiazepine family of drugs)
(States, have turned to, sedative)
(sedative, is in, benzodiazepine family of drugs)
(States, have turned to, sedative in benzodiazepine family)
(States, have turned to, midazolam)
(Florida, became In, October 2013)
(States, Seek, Drugs)
(States, Seek, Different Drugs)
(Florida, has conducted, 11 executions)
(Oklahoma, also substituted midazolam as, part of its three-drug protocol)
(Oklahoma, also substituted midazolam for, pentobarbital)
(Oklahoma, also substituted, midazolam)
(Oklahoma, substituted midazolam as, part of its three-drug protocol)
(Oklahoma, also substituted midazolam In, 2014)
(Oklahoma, substituted, midazolam)
(Oklahoma, also substituted midazolam as, part of its protocol)
(Oklahoma, also substituted midazolam as, part)
(Oklahoma, substituted midazolam as, part of its protocol)
(Oklahoma, substituted midazolam In, 2014)
(Oklahoma, substituted midazolam for, pentobarbital)
(Oklahoma, substituted midazolam as, part)
(Charles Warner, is in, January 2015)
(Oklahoma, implement, new safety precautions)
(Oklahoma, implement safety precautions as, part)
(Lockett execution, caused, Oklahoma)
(Oklahoma, implement, safety precautions)
(Oklahoma, implement safety precautions as, part of its lethal injection protocol)
(Oklahoma, implement safety precautions as, part of its injection protocol)
(its protocol, called for, administration of 100 milligrams)
(its protocol, called, compared)
(its protocol, called for, administration)
(its protocol, called for, administration of 100 milligrams of midazolam)
(Oklahoma, executed, Lockett)
(Lockett, cut, himself)
(Lockett, cut twice, himself)
(execution team, spent, nearly hour)
(Lockett, to, cardiovascular system including at arms)
(execution team, spent, hour)
(Lockett, through, right femoral vein)
(it, covered injection access point with, sheet)
(it, covered, injection access point)
(Lockett, has, dignity)
(team, next administered, most)
(team, administered, vecuronium bromide)
(team, administered, paralytic agent)
(team, next administered, vecuronium bromide)
(team, administered, most of potassium chloride)
(team, administered, agent)
(team, next administered, paralytic agent)
(team, next administered, most of potassium chloride)
(team, administered, most)
(team, next administered, agent)
(physician, lifted, sheet)
(Lockett, began, move)
(execution team, administering, remaining potassium chloride)
(execution team, administering, potassium chloride)
(midazolam, was, first injected)
(midazolam, was, injected)
(execution team, terminated execution after, about 33 minutes)
(execution team, terminated, execution)
(Lockett, later was pronounced, dead)
(Lockett, was, pronounced)
(Lockett, was, later pronounced)
(Lockett, was, About 10 minutes later pronounced)
(Lockett, was pronounced, dead)
(Oklahoma, adopted protocol with, effective date of September 30 2014)
(Oklahoma, adopted, new protocol)
(Oklahoma, to, execution protocol)
(Oklahoma, adopted protocol with, date)
(Oklahoma, adopted protocol with, date of September 30 2014)
(Oklahoma, adopted protocol with, effective date)
(Oklahoma, adopted, protocol)
(protocol, allows, Oklahoma Department of Corrections)
(protocol, allows, Oklahoma Department)
(Oklahoma Department, choose among, four different drug combinations)
(Oklahoma Department, choose among, four drug combinations)
(Oklahoma, plans, use)
(agent, may, may pancuronium bromide)
(paralytic agent, may, may pancuronium bromide)
(paralytic agent, may, may bromide)
(agent, may, may bromide)
(protocol, also includes, procedural safeguards help)
(protocol, includes, procedural safeguards help)
(protocol, also includes, safeguards help)
(protocol, includes, safeguards help)
(primary IV catheter, pause between, administration of first drugs)
(use, including catheter is, option postpone)
(use, including catheter is, procedures confirm)
(use, including catheter is, mandatory pause between administration of first drugs)
(use, including catheter is, numerous procedures monitoring)
(offender, has, consciousness)
(Oklahoma, executed Warner In, January)
(Oklahoma, executed, Warner)
(Warner, using, combination)
(Warner, using, procedures)
(Warner, using, revised procedures)
(Warner, using, combination of midazolam)
(Oklahoma, executed Warner In, January of year)
(State, has, new lethal injection protocol)
(Eighth Amendment, has, prohibition of cruel punishment)
(Oklahoma 's use, violates, Eighth Amendment 's prohibition of cruel punishment)
(Oklahoma 's use, violates, Eighth Amendment 's prohibition of punishment)
(Oklahoma, has, use of midazolam)
(Oklahoma 's use, violates, Eighth Amendment 's prohibition)
(Benjamin Cole, filed motion for, injunction)
(Glossip, filed motion for, injunction)
(Benjamin Cole, filed, motion)
(John Grant, filed, motion)
(Benjamin Cole, filed motion for, preliminary injunction)
(Warner, filed, motion)
(John Grant, filed motion for, injunction)
(Glossip, filed, motion)
(John Grant, filed motion for, preliminary injunction)
(Glossip, filed motion for, preliminary injunction)
(Warner, filed motion for, preliminary injunction)
(Warner, filed motion for, injunction)
(four men, had, had convicted of murder)
(four men, had, had convicted)
(four men, sentenced to, death)
(four men, sentenced by, Oklahoma juries)
(Glossip, hired, Justin Sneed)
(Justin Sneed, kill, his employer)
(death, is with, baseball bat)
(Van Treese, beat, him)
(Cole her body, snapped, her spine)
(Cole her body, backwards snapped, her spine)
(he, backwards snapped, her spine)
(he, snapped, her spine)
(Cole bent her body, backwards snapped, her spine)
(Cole bent her body, snapped, her spine)
(Cole, played video games, child died)
(Cole, played, video games)
(Grant, serving, terms of imprisonment)
(Grant, serving, terms of imprisonment totaling 130 years)
(her, stabbing times with, shank)
(her, stabbing, times)
(Grant, serving, terms)
(Grant, killed, prison food service supervisor)
(Grant, pulling, her)
(her, stabbing, numerous times)
(Grant, serving, terms of imprisonment totaling)
(Grant, killed, Gay Carter)
(Warner, raped, girl)
(Warner, raped, 11-month-old girl)
(Warner, anally raped, 11-month-old girl)
(Warner, anally raped, girl)
(child 's injuries, included, brain injuries)
(child 's injuries, included, spleen)
(child 's injuries, included, two fractures to her jaw)
(child 's injuries, included, internal brain injuries)
(child, has, injuries)
(child 's injuries, included, lacerated liver)
(child 's injuries, included, liver)
(child 's injuries, included, two skull fractures)
(child 's injuries, included, two fractures)
(child 's injuries, included, bruised spleen)
(Oklahoma Court, affirmed, death sentence)
(Oklahoma Court, affirmed, murder conviction of offender)
(they, moved for, injunction)
(they, exhausted, avenues)
(they, moved for, preliminary injunction)
(they, moved for, injunction against Oklahoma 's lethal injection protocol)
(they, moved for, preliminary injunction against Oklahoma 's lethal injection protocol)
(they, moved for, injunction against Oklahoma 's injection protocol)
(Oklahoma, against, lethal injection protocol)
(they, moved for, preliminary injunction against Oklahoma 's injection protocol)
(District Court, held hearing In, December 2014)
(District Court, held, hearing on preliminary injunction motion)
(District Court, held, evidentiary hearing)
(District Court, held, hearing)
(District Court, held, 3-day hearing on injunction motion)
(District Court, held, hearing on injunction motion)
(District Court, held, 3-day evidentiary hearing)
(District Court, held, 3-day evidentiary hearing on preliminary injunction motion)
(District Court, held, 3-day evidentiary hearing on injunction motion)
(District Court, held hearing after, discovery)
(District Court, held, 3-day hearing on preliminary injunction motion)
(District Court, held, 3-day hearing)
(District Court, held, evidentiary hearing on injunction motion)
(District Court, held, evidentiary hearing on preliminary injunction motion)
(District Court, heard testimony from, 17 witnesses)
(District Court, reviewed, numerous exhibits)
(District Court, reviewed, exhibits)
(District Court, heard, testimony)
(Dr. Larry Sasich, provided, expert testimony about midazolam)
(Dr. David Lubarsky, provided, expert testimony about midazolam)
(Dr. Larry Sasich, provided, testimony about midazolam)
(Dr. Larry Sasich, provided, expert testimony)
(Dr. David Lubarsky, provided, expert testimony about midazolam for petitioners)
(Dr. Roswell Evans, provided, expert testimony for respondents)
(Dr. Larry Sasich, doctor of, pharmacy)
(Dr. Larry Sasich, provided, expert testimony about midazolam for petitioners)
(Dr. Larry Sasich, provided, testimony)
(Dr. Roswell Evans, provided, expert testimony)
(Dr. David Lubarsky, provided, testimony about midazolam for petitioners)
(Dr. Roswell Evans, doctor of, pharmacy)
(Dr. David Lubarsky, provided, testimony about midazolam)
(Dr. David Lubarsky, provided, expert testimony)
(Dr. Larry Sasich, provided, testimony about midazolam for petitioners)
(Dr. David Lubarsky, provided, testimony)
(denying, motion for, preliminary injunction)
(ruling, denying, motion)
(District Court, issued, ruling)
(District Court, reviewing, evidence)
(ruling, denying, motion for preliminary injunction)
(ruling, denying, motion for injunction)
(denying, motion for, injunction)
(oral ruling, denying, motion for injunction)
(oral ruling, denying, motion)
(oral ruling, denying, motion for preliminary injunction)
(District Court, issued, oral ruling)
(District Court, rejected, petitioners ' challenge)
(District Court, first rejected, petitioners ' challenge)
(Dr. Evans, was qualified, testify)
(Dr. Evans, testify about, midazolam 's properties)
(he, offered, testimony)
(Dr. Evans, was, qualified)
(Dr. Evans, was qualified, testify about midazolam 's properties)
(Dr. Evans, was well qualified, testify about midazolam 's properties)
(Dr. Evans, Dean of, Auburn University 's School)
(he, offered, reliable testimony)
(midazolam, about, properties)
(Dr. Evans, was, well qualified)
(Dr. Evans, was well qualified, testify)
