(UNITED STATES, v. SALMAN is, 2016)
(Maher, enjoyed, relationship with his brother known as Michael)
(Maher, enjoyed, close relationship with his older brother)
(Maher, enjoyed, close relationship with his older brother known)
(Maher, enjoyed, relationship with his brother known)
(Maher, enjoyed, close relationship)
(Maher, enjoyed, close relationship with his brother known as Michael)
(close relationship, is with, his older brother known as Michael)
(Maher, enjoyed, relationship with his older brother)
(his, brother, Mounir Kara)
(Maher, enjoyed, relationship with his older brother known as Michael)
(Maher, enjoyed, close relationship with his brother known)
(Maher, enjoyed, relationship with his older brother known)
(Maher, enjoyed, relationship with his brother)
(Maher, enjoyed, close relationship with his older brother known as Michael)
(Maher, enjoyed, relationship)
(Maher, started at, Citigroup)
(he, began, Maher started at Citigroup)
(he, discussing, aspects)
(he, discussing, aspects of his job)
(he, discussing aspects with, Michael)
(he, began, Maher started)
(him, grasp, concepts relevant to his new job)
(him, grasp, concepts)
(scientific concepts, relevant to, his job)
(he, relied, help)
(him, grasp, scientific concepts)
(he, relied on, Michael 's chemistry background)
(him, grasp, scientific concepts relevant)
(concepts, relevant to, his job)
(concepts, relevant to, his new job)
(he, first relied on, Michael 's chemistry background)
(him, grasp, scientific concepts relevant to his new job)
(Michael, on, chemistry background)
(he, first relied, help)
(scientific concepts, relevant to, his new job)
(him, grasp, concepts relevant to his job)
(him, grasp, scientific concepts relevant to his job)
(him, grasp, concepts relevant)
(their father, was battling, cancer)
(Maher, shared with, him)
(Michael, began, trade)
(Maher, was, At first unaware)
(Maher, was unaware of, his brother 's trading activity)
(he, began, suspect)
(it, taking, place)
(he, eventually began, suspect)
(Maher, was, unaware)
(brother, of, trading activity)
(Maher, first was unaware of, his brother 's trading activity)
(information, is with, his brother)
(Michael, has, trading)
(Maher, assist, Michael 's trading)
(Maher, communicate, corporate information)
(Maher, communicate information to, his brother)
(Maher, used, code words)
(Maher, sometimes used, code words)
(Maher, communicate, information)
(he, shared inside, information)
(he, shared at_time, times)
(he, shared at_time, Other times)
(Michael, fed, information)
(Michael, fed information to, others including Salman)
(Michael, has, friend)
(Michael, fed information to, others)
(younger brother, Without, knowledge)
(Maher, has, brother-in-law)
(Michael, fed information Without, his younger brother 's knowledge)
(Michael, fed information Without, his brother 's knowledge)
(Salman, on, behalf)
(Salman, was indicted on, one count)
(Salman, was, indicted)
(Michael, Facing, charges)
(Michael, pleaded, guilty)
(Michael, testified at, Salman 's trial)
(Salman, at, trial)
(Michael, Facing, charges of their own)
(Michael, enjoyed, very close relationship)
(Michael, enjoyed, close relationship)
(Maher, enjoyed, relationship)
(Maher, enjoyed, close relationship)
(Maher, enjoyed, very close relationship)
(Michael, enjoyed, relationship)
(Michael, was like, father to Maher)
(Michael, was best man at, Maher 's wedding)
(Maher, at, wedding to sister)
(Michael, was like, father)
(Michael, was, man)
(Michael, was man at, Maher 's wedding)
(Michael, was, second)
(Michael, was like, second father to Maher)
(Salman, to, sister)
(Michael, was man at, Maher 's wedding to Salman 's sister)
(Michael, was, best man)
(Michael, was like, second father)
(Michael, was best man at, Maher 's wedding to Salman 's sister)
(information, is with, his brother)
(his brother, trade on, it)
(information, is in, large part)
(he, help, him)
(he, also testified, Maher explained)
(he, testified, Maher explained)
(he, tipped, his brother)
(Michael, once called For, instance)
(Michael, called, Maher)
(Michael, called Maher For, instance)
(Michael, once called Maher For, instance)
(Michael, called For, instance)
(Michael, told, him)
(Michael, once called, Maher)
(Michael, asked instead for, information)
(Michael, asked for, information)
(Maher, offered, his brother money)
(Maher, disclosed, upcoming acquisition)
(Maher, disclosed, acquisition)
(Maher, expected, do anyway)
(he, called back, his brother)
(he, instantly regretted, tip)
(he, called, his brother)
(Maher, expected, do)
(Maher, expected, do so)
(Maher, expected, do so anyway)
(he, regretted, tip)
(Michael, told, jury)
(Michael, told jury For, his part)
(brother, has, tips)
(Salman, has, sister)
(he, friends with, Salman)
(he, became, friends)
(Maher, was courting, Salman 's sister)
(Maher, has, tips)
(friends, is with, Salman)
(he, became, friends with Salman)
(he, explained at, trial)
(he, told, Salman)
(Salman, was, After jury trial in Northern District convicted on counts)
(jury trial, is in, Northern District of California)
(Salman, was convicted on, counts)
(Salman, was, After jury trial convicted on counts)
(Salman, was, After jury trial in Northern District of California convicted on counts)
(He, was sentenced to, 36 months of imprisonment)
(He, was sentenced to, 36 months)
(He, was, sentenced)
(Salman, appealed to, Ninth Circuit)
(Second Circuit, issued, its opinion in United States)
(its opinion, is in, United States)
(his appeal, was, pending)
(Second Circuit, issued, its opinion)
(Second Circuit, reversed, convictions)
(Second Circuit, There reversed, convictions)
(Newman defendants, were, steps removed from insiders)
(Newman defendants, were, several steps removed)
(Newman defendants, were, several steps removed from insiders)
(Newman defendants, were, steps)
(Newman defendants, were, steps removed)
(Newman defendants, were, several steps)
(Newman defendants, were, steps removed from corporate insiders)
(Newman defendants, were, several steps removed from corporate insiders)
(factfinder, infer, personal benefit to tipper from gift to trading relative)
(factfinder, infer, personal benefit to tipper from gift)
(factfinder, infer, personal benefit from gift of confidential information)
(factfinder, infer, benefit from gift of information)
(factfinder, infer, personal benefit to tipper)
(factfinder, infer, personal benefit from gift of confidential information to trading relative)
(factfinder, infer, benefit from gift of information to trading relative)
(Dirks Circuit case law, allow, infer)
(factfinder, infer, personal benefit from gift to trading)
(factfinder, infer, benefit to tipper from gift of confidential information to trading)
(factfinder, infer, personal benefit from gift)
(factfinder, infer, benefit to tipper from gift to trading relative)
(factfinder, infer, personal benefit to tipper from gift of information to trading relative)
(factfinder, infer, benefit from gift of information to trading)
(factfinder, infer, benefit to tipper from gift of information to trading)
(factfinder, infer, benefit from gift)
(factfinder, infer, personal benefit from gift of information)
(factfinder, infer, personal benefit from gift of information to trading relative)
(factfinder, infer, personal benefit to tipper from gift to trading)
(factfinder, infer, benefit from gift of confidential information)
(factfinder, infer, benefit from gift of confidential information to trading)
(factfinder, infer, personal benefit to tipper from gift of confidential information to trading relative)
(factfinder, infer, benefit to tipper)
(factfinder, infer, benefit to tipper from gift of information to trading relative)
(factfinder, infer, personal benefit to tipper from gift of information)
(factfinder, infer, personal benefit from gift of information to trading)
(factfinder, infer, personal benefit to tipper from gift of information to trading)
(factfinder, infer, benefit from gift to trading)
(factfinder, infer, personal benefit to tipper from gift of confidential information to trading)
(factfinder, infer, benefit)
(factfinder, infer, personal benefit)
(factfinder, infer, benefit to tipper from gift of confidential information to trading relative)
(factfinder, infer, benefit to tipper from gift of information)
(factfinder, infer, personal benefit from gift to trading relative)
(factfinder, infer, benefit from gift of confidential information to trading relative)
(factfinder, infer, benefit to tipper from gift to trading)
(Dirks Circuit case law, allow, factfinder)
(factfinder, infer, benefit to tipper from gift of confidential information)
(factfinder, infer, benefit from gift to trading relative)
(factfinder, infer, personal benefit to tipper from gift of confidential information)
(factfinder, infer, personal benefit from gift of confidential information to trading)
(factfinder, infer, benefit to tipper from gift)
(inference, is impermissible in, absence of proof)
(Dirks, permits, inference)
(Dirks, permits, such inference)
(inference, is, impermissible)
(inference, is impermissible in, absence)
(Salman, Pointing to, Newman)
(his conviction, be, reversed)
(Salman, has, conviction)
(Ninth Circuit, affirmed, Salman 's conviction)
(case, was, governed)
(Maher 's disclosures, were, precisely gift)
(Maher 's disclosures, were precisely gift of, confidential information)
(Maher 's disclosures, Indeed were precisely gift of, information to trading)
(Maher 's disclosures, Indeed were precisely gift of, confidential information to trading)
(Maher 's disclosures, were gift of, information to trading relative)
(Maher 's disclosures, Indeed were precisely gift of, information to trading relative)
(Maher, has, disclosures to Michael)
(Maher 's disclosures, Indeed were gift of, information to trading relative)
(Maher 's disclosures, were gift of, information)
(Maher 's disclosures, were gift of, confidential information)
(Maher 's disclosures, Indeed were precisely gift of, confidential information to trading relative)
(Maher 's disclosures, were gift of, information to trading)
(Maher 's disclosures, Indeed were gift of, confidential information to trading)
(Maher 's disclosures, were precisely gift of, information to trading relative)
(Maher 's disclosures, were gift of, confidential information to trading relative)
(Maher 's disclosures, were gift of, confidential information to trading)
(Maher 's disclosures, Indeed were gift of, confidential information to trading relative)
(Maher 's disclosures, Indeed were gift of, confidential information)
(Maher 's disclosures, Indeed were gift of, information)
(Maher 's disclosures, Indeed were gift of, information to trading)
(Maher 's disclosures, were precisely gift of, confidential information to trading relative)
(Maher 's disclosures, were, gift)
(Maher 's disclosures, were, Indeed precisely gift)
(Maher 's disclosures, were, Indeed gift)
(Maher 's disclosures, were precisely gift of, confidential information to trading)
(Maher 's disclosures, were precisely gift of, information)
(Maher 's disclosures, were precisely gift of, information to trading)
(Maher 's disclosures, Indeed were precisely gift of, information)
(Maher 's disclosures, Indeed were precisely gift of, confidential information)
(Newman, required gain to, tipper in cases)
(involving, gifts of, information)
(Newman, required to, tipper in cases)
(Newman, required, additional gain)
(Newman, went further To, extent)
(Newman, went To, extent)
(Newman, required, gain)
(Newman, required to, tipper)
(Newman, required gain to, tipper)
(tipper, is in, cases involving)
(involving, gifts of, confidential information)
(involving, gifts to, family)
(Ninth Circuit, has, decision in case)
(Ninth Circuit 's decision, is in, case)
(We, granted, certiorari)
(Second Circuit, between, Newman decision)
(We, resolve, tension)
(We, resolve, tension between Second Circuit 's Newman decision)
(Salman, contends In, case)
(insider, has, gift of confidential information to trading relative)
(insider, for, own tangible monetary profit)
(fraudster, obtain, money)
(fraudster, personally obtain, property)
(his position, is, reinforced)
(his position, is reinforced by, our criminal-fraud precedents)
(fraudster, personally obtain, money)
(his position, is reinforced, cases confirm)
(his position, is reinforced by, our precedents)
(fraudster, obtain, property)
(tipper, has, purpose for disclosure)
(insider-trading offense, defining gift as, personal benefit)
(insider-trading offense, defining gift as, benefit)
(insider-trading offense indeterminate, defining gift as, personal benefit)
(insider-trading offense indeterminate, defining gift as, benefit)
(insider-trading offense, defining, gift)
(insider-trading offense indeterminate, defining, gift)
(we, interpret, Dirks)
(we, interpret, Dirks standard narrowly so)
(we, interpret, Dirks standard so)
(we, interpret, Dirks standard)
(Government, argues, that)
(Dirks, has, personal-benefit test)
(tipper, discloses trading information for, purpose)
(Government, Under, view)
(tipper, discloses, trading information)
(tipper, personally benefits Under, Government 's view)
(tipper, benefits Under, Government 's view)
(tipper, discloses trading information for, noncorporate purpose)
(tipper, discloses, confidential trading information)
(gift, Accordingly would support, inference)
(tipper, exploited trading value for, personal purposes)
(gift, would support, inference)
(tipper, thus benefited from, disclosure)
(tipper, personally benefited from, disclosure)
(tipper, exploited trading value for, purposes)
(tipper, exploited, trading value of information)
(tipper, thus personally benefited from, disclosure)
(tipper, benefited from, disclosure)
(tipper, exploited, trading value of inside information)
(tipper, exploited, trading value)
(Government, find, support)
(Government, find, support for reading in Dirks)
(reading, is in, Dirks)
(Government, find, support for reading)
(fraud, is in, insider-trading case)
(prosecutors, convict, tippee)
(Salman 's concerns, are, alleviated)
(Salman 's concerns, are, significantly alleviated)
(Salman, has, concerns about unlimited liability for remote tippees)
(prosecutors, convict, tippee for insider trading)
(it, establish, defendant 's criminal liability)
(it, establish, defendant 's liability)
(defendant, has, criminal liability)
(tipper, breached, duty)
(tipper, expected, trading ensue)
(duty, is in, other words)
(tipper, disclosed, information for benefit)
(tipper, disclosed, information)
(it, establish, defendant 's liability)
(it, establish, defendant 's criminal liability)
(tipper, breached, duty in words)
(tipper, information for, benefit)
(tipper, disclosed, information for personal benefit)
(tipper, information for, personal benefit)
(defendant, has, criminal liability)
(tipper, breached, duty in other words)
(tippee, is exposed to, liability for trading on inside information)
(tippee, is exposed, only tippee participates in breach of tipper 's fiduciary duty)
(tippee, only participates in, breach of tipper 's duty)
(tippee, participates in, breach)
(tippee, is exposed, tippee participates in breach)
(tippee, is, exposed)
(tippee, participates in, breach of tipper 's fiduciary duty)
(we, explained In, Dirks)
(tippee, is exposed to, liability)
(tipper, of, fiduciary duty)
(tippee, is exposed to, liability for trading)
(tippee, is exposed, only tippee participates)
(tippee, is exposed, tippee participates in breach of tipper 's duty)
(tippee, is exposed to, liability for trading on information)
(tippee, is exposed, only tippee participates in breach)
(tippee, only participates in, breach)
(tippee, is exposed, only tippee participates in breach of tipper 's duty)
(tippee, is exposed, tippee participates in breach of tipper 's fiduciary duty)
(tippee, is exposed, tippee participates)
(tippee, only participates in, breach of tipper 's fiduciary duty)
(tippee, participates in, breach of tipper 's duty)
(duty, depends in, part on purpose)
(duty, depends in, part)
(duty, depends in, part on purpose of disclosure)
(duty, depends in, large part on purpose)
(duty, depends in, large part on purpose of disclosure)
(duty, depends in, large part on purpose of disclosure to tippee)
(duty, depends in, part on purpose of disclosure to tippee)
(duty, depends in, large part)
(insider, personally benefit directly from, his disclosure)
(insider, personally benefit from, his disclosure)
(insider, benefit from, his disclosure)
(insider, benefit directly from, his disclosure)
(insider, benefit directly or indirectly from, his disclosure)
(insider, personally benefit directly or indirectly from, his disclosure)
(we, instructed, courts)
(insider, receives, direct personal benefit)
(insider, receives, benefit)
(courts, focus on, criteria)
(tipper, derived, benefit)
(insider, receives, direct benefit)
(insider, receives, personal benefit)
(insider, receives, direct benefit from disclosure)
(insider, receives, benefit from disclosure)
(tipper, derived, personal benefit)
(insider, receives, personal benefit from disclosure)
(insider, receives, direct personal benefit from disclosure)
(benefit, be, inferred)
(personal benefit, be inferred from, facts)
(benefit, be inferred from, facts)
(benefit, be inferred from, objective facts)
(personal benefit, be, often inferred)
(benefit, often be inferred from, objective facts)
(benefit, often be inferred from, facts)
(personal benefit, often be inferred from, facts)
(personal benefit, often be inferred from, objective facts)
(benefit, be, often inferred)
(personal benefit, be inferred from, objective facts)
(personal benefit, be, inferred)
(we, held In, particular)
(insider, gift of, confidential information)
(insider, gift of, information)
(insider, makes, gift of information)
(insider, makes gift to, trading relative)
(insider, makes, gift)
(insider, makes gift to, trading)
(insider, makes, gift of confidential information)
(he trade, resemble by, insider)
(he, tip In, cases)
(he trade, resemble by, insider followed gift profits)
(he trade, resemble by, insider followed gift)
(he trade, resemble by, insider followed)
(he tip, is In, such cases)
(he trade, resemble by, insider followed gift profits recipient)
(he, tip In, such cases)
(he trade, resemble by, insider followed gift recipient)
(We, applied, gift-giving principle)
(We, resolve, Dirks)
(We, applied, principle)
(We, resolve, Dirks itself)
(Our discussion, giving resolves, case)
(Our discussion, giving, resolves)
(tipper, making, gift of information)
(tipper, making gift to, trading)
(tipper, breaches, fiduciary duty)
(tipper, making, gift of confidential information)
(Dirks, makes, clear)
(tipper, breaches, duty)
(rule, resolve, case)
(rule, resolve case at, hand)
(rule, is, sufficient)
(tipper, making gift to, trading relative)
(tipper, making, gift)
(he, personally traded on, information)
(he, personally traded here on, information)
(himself, given proceeds as, gift)
(Salman, has, counsel)
(Salman 's counsel, acknowledged at, argument)
(himself, given, proceeds)
(he, traded on, information)
(he, traded here on, information)
(Salman 's counsel, acknowledged at, oral argument)
(himself, given proceeds as, gift to his brother)
(Maher, benefit in, situation)
(Maher, personally benefit in, situation)
(It, is, obvious)
(Maher, achieved, result)
(information, allowing, trade on it)
(Maher, effectively achieved, result)
(Maher, effectively achieved, same result)
(Maher, disclosing, information)
(information, allowing, trade)
(Maher, disclosing information to, Michael)
(information, allowing, him)
(Maher, achieved, same result)
(him, trade on, it)
(Dirks, appropriately prohibits, that)
(Dirks, prohibits, that)
(tipper, gives to, trading relative)
(tipper, gives to, trading)
(tipper, provide, equivalent)
(tipper, provide, equivalent of cash gift)
(tipper, gives inside, information)
(same thing, is In, such situations)
(duty Salman, acquired by, trading with knowledge)
(duty Salman, acquired by, trading on information with knowledge)
(gift, is with, expectation)
(Maher, breached, his duty)
(he, trade on, it)
(duty Salman, acquired by, trading)
(Maher, disclosing, information)
(it, been, disclosed)
(duty Salman, breached, himself)
(Maher, breached, his duty of trust)
(Maher, disclosing information as, gift to his brother)
(Maher, disclosing information as, gift with expectation)
(trading, is with, full knowledge)
(duty Salman, acquired by, trading with full knowledge)
(duty Salman, acquired by, trading on information)
(duty Salman, acquired by, trading on information with full knowledge)
(Maher, disclosing, confidential information)
(Maher, disclosing information as, gift to his brother with expectation)
(Maher, disclosing information as, gift)
(it, been, improperly disclosed)
(tipper, also receive something in, exchange for gift to family at 452)
(tipper, something of, pecuniary)
(requirement, is inconsistent with, Dirks)
(tipper, receive, something of pecuniary)
(tipper, also receive something in, exchange)
(tipper, receive something in, exchange for gift to family at 452)
(tipper, also receive something in, exchange for gift)
(tipper, receive something in, exchange for gift to family)
(tipper, also receive something in, exchange for gift at 452)
(we, agree with, Ninth Circuit)
(tipper, receive, something)
(family, to gift is, Newman)
(tipper, receive something in, exchange for gift)
(452, at gift is, Newman)
(tipper, also receive, something of pecuniary)
(tipper, receive something in, exchange)
(tipper, receive something in, exchange for gift at 452)
(tipper, also receive, something)
(tipper, also receive something in, exchange for gift to family)
(requirement, is, inconsistent)
(Salman, also cites, sampling of our criminal-fraud decisions)
(Salman, also cites, sampling of our decisions)
(Salman, cites, sampling)
(Salman, also cites, sampling)
(Salman, cites, sampling of our criminal-fraud decisions)
(Salman, cites, sampling of our decisions)
(cases, are, relevant)
(we, made in, Dirks)
(nothing, is in, them)
(facts, illustrate, point)
(Michael, instead requested, trading information)
(Michael, declined, Maher 's offer)
(Michael, requested, lucrative trading information)
(Michael, declined, Maher 's offer of money)
(Maher, has, offer of money)
(Michael, instead requested, lucrative trading information)
(Michael, requested, trading information)
(Dirks 's gift-giving standard, is, unconstitutionally vague)
(Dirks 's gift-giving standard, is, vague)
