(October 5 2016, Decided at_time, February 22 2017)
(Buck 's assistance claim, was held, defaulted)
(Buck 's ineffective assistance claim, was held, procedurally defaulted)
(Buck 's assistance claim, was held, procedurally defaulted under Coleman)
(State, confess, error)
(Buck 's assistance claim, was held, procedurally defaulted)
(Buck 's assistance claim, was held, defaulted under Coleman)
(Buck 's ineffective assistance claim, was held, defaulted)
(Buck 's ineffective assistance claim, was held, procedurally defaulted under Coleman)
(Buck 's ineffective assistance claim, was, held)
(Buck, has, ineffective assistance claim)
(Court 's later decisions, modified, rule)
(Court 's later decisions, is in, Martinez)
(Court 's decisions, modified, rule of Coleman)
(Court 's later decisions, modified, rule of Coleman)
(Court 's decisions, modified, rule)
(Court, has, later decisions in Martinez)
(they, Had, Had decided)
(Buck, filed, his habeas petition)
(state postconviction counsel, been, ineffective)
(state postconviction counsel, been constitutionally ineffective, failing)
(state postconviction counsel, been ineffective, failing)
(Buck, filed, his federal habeas petition)
(state postconviction counsel, been, constitutionally ineffective)
(Buck 's claim, been heard on, merits)
(Buck, has, claim)
(claim, had, merit)
(Buck 's claim, been, heard)
(decision, is in, Trevino)
(Buck, sought Following, decision)
(Buck, sought Following, decision in Trevino)
(Buck, reopen, his § 2254 case)
(Buck, change in, law)
(Buck, change in, law effected by Martinez)
(Buck, cited, ten factors including introduction of expert testimony)
(Buck, cited, ten other factors)
(Buck, demonstrate, circumstances required for relief)
(Buck, cited, ten other factors including introduction)
(Buck, demonstrate, extraordinary circumstances required for relief)
(Buck, has, race)
(Buck, cited, ten other factors including introduction of expert testimony)
(Buck, demonstrate, circumstances)
(violence, is in, similar cases)
(Buck, change in, law effected)
(Buck, demonstrate, extraordinary circumstances required)
(Buck, demonstrate, circumstances required)
(State, has, confession of error)
(Buck, cited, ten factors including introduction)
(Buck, demonstrate, extraordinary circumstances)
(Buck, cited, ten factors)
(change, is in, law effected by Martinez)
(District Court, denied, relief)
(Buck, demonstrate, assistance)
(circumstances, were, extraordinary)
(Buck, demonstrate, assistance under Strickland)
(Buck, demonstrate, circumstances)
(Buck, failed, extraordinary)
(Buck, demonstrate, ineffective assistance)
(Buck, failed, even extraordinary)
(Buck, demonstrate, ineffective assistance under Strickland)
(Buck, demonstrate, extraordinary circumstances)
(circumstances, were, even extraordinary)
(Buck, sought certificate, appeal)
(Buck, appeal, denial of his Rule 60 motion)
(Buck, appeal, denial of his Rule 60)
(Buck, sought certificate from, Fifth Circuit)
(Buck, sought, certificate)
(Buck, sought, certificate of appealability)
(Buck, appeal, denial)
(his, Rule, b)
(Fifth Circuit, denied, his application)
(Fifth Circuit, exceeded, limited scope)
(Fifth Circuit, exceeded, scope of COA analysis)
(Fifth Circuit, exceeded, limited scope of COA analysis)
(Fifth Circuit, exceeded, scope)
(COA statute, sets forth, two-step process)
(claim, appeal in, course)
(COA statute, sets, process)
(appeal, is in, normal course)
(COA statute, sets, two-step process)
(claim, is, debatable)
(claim, appeal in, normal course)
(COA statute, sets forth, process)
(claim, is, reasonably debatable)
(question, is At, stage)
(issues, are, adequate)
(jurists, disagree with, district court 's resolution)
(issues, deserve encouragement, proceed)
(jurists, disagree with, district court 's resolution of his constitutional claims)
(issues, deserve, encouragement)
(issues, deserve encouragement, proceed further)
(jurists, disagree with, district court 's resolution of his claims)
(district court, with, resolution of constitutional claims)
(its determination, is in, proper terms)
(Fifth Circuit, Here phrased, its determination in terms)
(Fifth Circuit, Here phrased, its determination in proper terms)
(Fifth Circuit, phrased, its determination in terms)
(Fifth Circuit, phrased, its determination)
(Fifth Circuit, phrased, its determination in proper terms)
(Fifth Circuit, Here phrased, its determination)
(it, only deciding, case on merits)
(it, reached, its conclusion)
(it, deciding, case on merits)
(its conclusion, repeatedly faulting, Buck)
(its conclusion, faulting Buck, having failed)
(it, deciding, case)
(it, essentially deciding, case)
(its conclusion, faulting, Buck)
(it, only essentially deciding, case)
(it, essentially deciding, case on merits)
(it, only essentially deciding, case on merits)
(it, only deciding, case)
(its conclusion, repeatedly faulting Buck, having failed)
(issue, jurists of, reason)
(his case, is, extraordinary)
(jurists, debate, issue)
(Fifth Circuit, to, thorough consideration of merits)
(court, has, approach)
(Buck, has demonstrated, assistance of counsel)
(Buck, has demonstrated, assistance under Strickland)
(Buck, has demonstrated, assistance)
(Buck, has demonstrated, ineffective assistance of counsel under Strickland)
(Buck, has demonstrated, assistance of counsel under Strickland)
(Buck, has demonstrated, ineffective assistance under Strickland)
(Buck, has demonstrated, ineffective assistance)
(Buck, has demonstrated, ineffective assistance of counsel)
(Buck, has, future dangerousness)
(Dr. Quijano 's report, reflected, view)
(dispute, point of was, Buck 's future dangerousness)
(Dr. Quijano, has, report)
(Buck 's race, predisposed, him)
(dispute, principal point of was, Buck 's future dangerousness)
(principal point, was, Buck 's future dangerousness)
(point, was, Buck 's future dangerousness)
(Buck, has, race)
(Buck, has, trial counsel)
(Counsel, nevertheless called, testimony)
(Counsel, called Dr. Quijano to, stand)
(Counsel, nevertheless called, Dr. Quijano)
(Dr. Quijano, has, report)
(Counsel, nevertheless called, specifically elicited testimony)
(Counsel, called, elicited testimony)
(Counsel, nevertheless called, elicited testimony about connection)
(Counsel, called, specifically elicited testimony about connection)
(Counsel, nevertheless called testimony to, stand)
(Counsel, nevertheless called, specifically elicited testimony about connection)
(Counsel, called, testimony about connection)
(Counsel, nevertheless called, specifically elicited testimony about connection between race)
(Counsel, nevertheless called, testimony about connection)
(Counsel, called, elicited testimony about connection)
(Counsel, nevertheless called Dr. Quijano to, stand)
(Counsel, called, specifically elicited testimony about connection between race)
(Counsel, called, specifically elicited testimony)
(Counsel, nevertheless called to, stand)
(Counsel, called to, stand)
(Counsel, called, testimony)
(Counsel, nevertheless called, elicited testimony about connection between race)
(Counsel, called, Dr. Quijano)
(Counsel, nevertheless called, elicited testimony)
(Counsel, called, testimony about connection between race)
(Counsel, nevertheless called, testimony about connection between race)
(Counsel, called, elicited testimony about connection between race)
(Counsel, called testimony to, stand)
(result, been different for, counsel 's unprofessional errors)
(result, been, different)
(result, been different for, counsel 's errors)
(counsel, for, unprofessional errors)
(juror, one at, least)
(juror, harbored, reasonable doubt on question of Buck 's future dangerousness)
(juror, harbored, reasonable doubt)
(juror, reasonable doubt on, question of Buck 's future dangerousness)
(juror, harbored, doubt on question)
(Buck, of, future dangerousness)
(Dr. Quijano, without, testimony on race)
(juror, harbored, doubt on question of Buck 's future dangerousness)
(juror, harbored doubt without, Dr. Quijano 's testimony)
(juror, harbored, doubt)
(juror, doubt on, question of Buck 's future dangerousness)
(juror, reasonable doubt on, question)
(juror, harbored, reasonable doubt on question)
(juror, harbored doubt without, Dr. Quijano 's testimony on race)
(It, is, probable)
(It, is, reasonably probable)
(juror, doubt on, question)
(jury, make, judgment)
(issue, required, jury)
(jury, make, predictive judgment)
(Buck, has, race)
(Dr. Quijano 's testimony, been, well valued by jurors as opinion of expert)
(court, has, imprimatur)
(Dr. Quijano 's testimony, been, valued by jurors as opinion)
(Dr. Quijano 's testimony, been, valued)
(Dr. Quijano 's testimony, well been valued as, opinion of expert)
(Dr. Quijano 's testimony, well been valued as, opinion)
(Dr. Quijano 's testimony, been, well valued by jurors as opinion)
(Dr. Quijano 's testimony, well been valued by, jurors)
(Dr. Quijano 's testimony, been, valued by jurors as opinion of medical expert)
(Dr. Quijano 's testimony, been, valued by jurors as opinion of expert)
(Dr. Quijano 's testimony, been valued as, opinion of medical expert)
(Dr. Quijano 's testimony, well been valued as, opinion of medical expert)
(Dr. Quijano 's testimony, been, well valued)
(Dr. Quijano 's testimony, appealed to, powerful stereotype)
(Dr. Quijano 's testimony, been valued by, jurors)
(Dr. Quijano 's testimony, appealed to, racial stereotype)
(Dr. Quijano 's testimony, appealed to, powerful racial stereotype)
(Dr. Quijano, has, testimony)
(Dr. Quijano 's testimony, been, well valued by jurors as opinion of medical expert)
(Dr. Quijano 's testimony, been valued as, opinion of expert)
(Dr. Quijano 's testimony, appealed to, stereotype)
(Dr. Quijano 's testimony, been valued as, opinion)
(District Court, has, conclusion)
(prosecutors, be, reasonably expected)
(government 's evidence, is in, light of its motivations)
(government, has, evidence in light of motivations)
(prosecutors, seek, convictions)
(prosecutors, be, expected)
(damaging evidence, is, introduced)
(it, is in, nature of admission against interest more likely)
(it, is in, nature of admission more likely)
(defendant, by, own lawyer)
(it, is in, nature)
(evidence, is introduced by, defendant 's own lawyer)
(evidence, is, introduced)
(evidence, is, When introduced by defendant 's lawyer)
(evidence, is, When introduced by defendant 's own lawyer)
(evidence, is introduced by, defendant 's lawyer)
(damaging evidence, is introduced by, defendant 's own lawyer)
(evidence, is, When introduced)
(it, is in, nature of admission likely)
(damaging evidence, is introduced by, defendant 's lawyer)
(damaging evidence, is, When introduced by defendant 's lawyer)
(damaging evidence, is, When introduced)
(damaging evidence, is, When introduced by defendant 's own lawyer)
(it, is in, nature of admission against interest likely)
(District Court 's denial, was abuse of, discretion)
(Buck, of, Rule 60 motion)
(Buck 's Rule motion, denial of was, abuse)
(District Court, has, denial of Rule 60 motion)
(Relief, is available in, extraordinary circumstances)
(Relief, is, available)
(Relief, is available in, only extraordinary circumstances)
(Relief, is available in, circumstances)
(Relief, is available in, only circumstances)
(535, at Gonzalez is, 545 U. S.)
(Determining, may include, consideration of range of factors including risk of injustice to parties)
(Determining, may include, consideration of wide range of factors including risk)
(circumstances, are, present)
(Determining, may include, consideration of range)
(Determining, may include, consideration of wide range)
(such circumstances, are, present)
(public, has, confidence in judicial process)
(Determining, may include, consideration of range of factors)
(Determining, may include, consideration of range of factors including risk)
(Determining, may include, consideration of wide range of factors)
(Determining, may include, consideration of wide range of factors including risk of injustice to parties)
(Determining, may include, consideration)
(Determining, may include, consideration of wide range of factors including risk of injustice)
(Determining, may include, consideration of range of factors including risk of injustice)
(public 's confidence, is in, judicial process)
(District Court 's denial, rested on, its determination)
(de minimis role, is in, his sentencing)
(race, played, only de minimis role in his sentencing)
(District Court 's denial, rested largely on, its determination)
(District Court, has, denial of motion)
(race, played, only de minimis role)
(race, played, de minimis role in his sentencing)
(Buck, of, motion)
(race, played, de minimis role)
(Buck, was sentenced because of, his race)
(Buck, was, sentenced)
(Buck, was sentenced in, part)
(Buck, was sentenced to, death)
(Buck, was, sentenced to death in part)
(This, is, disturbing)
(our criminal law, punishes, people)
(our law, punishes, people)
(concerned race, amplifies, problem)
(race, amplifies, problem)
(Dr. Quijano, to, testimony in other cases)
(extraordinary nature, is, confirmed)
(Dr. Quijano 's testimony, is in, other cases)
(nature, is, confirmed)
(State, took in, response to Dr. Quijano 's testimony in other cases)
(State, took in, response)
(response, State, itself)
(State, took in, response to Dr. Quijano 's testimony)
(State, took in, response to Dr. Quijano 's testimony in cases)
(Buck, has, case from Saldano)
(Attorney General, in, public statement)
(Attorney General, with, stated reasons confessing in case)
(it, were, reopened)
(relief, would, would inappropriate)
(his claim, remain, unreviewable)
(6 relief, would, would inappropriate)
(Buck, has, case)
(b, would govern, Buck 's case)
(Buck, to, petition for certiorari)
(its brief, is in, opposition to Buck 's petition for certiorari)
(Roberts, delivered, opinion)
(opinion, is subject to, revision in print of United States Reports)
(opinion, is subject to, formal revision in preliminary print)
(opinion, is subject to, revision)
(opinion, is subject to, formal revision)
(opinion, is subject to, revision in print)
(opinion, is subject to, formal revision before publication)
(opinion, is subject to, formal revision in print of United States Reports)
(formal revision, is in, preliminary print of United States Reports)
(opinion, is subject to, revision before publication in preliminary print)
(opinion, is subject to, formal revision before publication in preliminary print)
(opinion, is subject to, formal revision before publication in print of United States Reports)
(opinion, is subject to, revision before publication)
(opinion, is subject to, formal revision in print)
(opinion, is, subject)
(opinion, is subject to, revision in preliminary print)
(opinion, is subject to, revision before publication in print)
(opinion, is subject to, formal revision in preliminary print of United States Reports)
(opinion, is subject to, revision before publication in preliminary print of United States Reports)
(opinion, is subject to, revision in preliminary print of United States Reports)
(opinion, is subject to, formal revision before publication in print)
(opinion, is subject to, revision before publication in print of United States Reports)
(opinion, is subject to, formal revision before publication in preliminary print of United States Reports)
(Readers, notify, Reporter)
(Readers, notify, Reporter of Decisions)
(Supreme Court, is in, order)
(Readers, are, requested)
(typographical formal errors, of States is, Washington)
(typographical formal errors, of States is, D. C. 20543)
(DUANE EDWARD BUCK, PETITIONER v., LORIE DAVIS)
(LORIE DAVIS, DEPARTMENT OF, CRIMINAL JUSTICE)
(Chief Justice Roberts, delivered, opinion)
(Chief Justice Roberts, delivered, opinion of Court)
(Buck, commit, acts of violence)
(Buck, was, likely)
(jury, could impose death sentence Under, state law)
(Buck, commit, acts)
(jury, could impose death sentence, it found)
(jury, could impose, death sentence)
(Buck, commit acts in, future)
(jury, could impose death sentence, only it found)
(Buck, has, attorney)
(Buck, was more likely, black)
(person, has, propensity for violence)
(Buck, was, likely)
(Buck, was, more likely)
(Buck, was, statistically more likely)
(Buck, was, statistically likely)
(Buck, was likely, black)
(he, is, black)
(Buck, was statistically likely, black)
(Buck, was statistically more likely, black)
(jury, sentenced, Buck)
(jury, sentenced Buck to, death)
(his attorney 's introduction, violated, his Sixth Amendment right to effective assistance)
(his attorney 's introduction, violated, his Sixth Amendment right to effective assistance of counsel)
(his attorney 's introduction, violated, his Sixth Amendment right)
(his attorney 's introduction, violated, his Sixth Amendment right to assistance of counsel)
(attorney, has, introduction of evidence)
(his attorney 's introduction, violated, his Sixth Amendment right to assistance)
(merits, is in, court)
(Federal District Court relied, was, defaulted)
(Federal District Court, relied on, failure properly under then-governing law)
(Federal District Court, relied on, failure)
(Federal District Court, relied In, 2006)
(Federal District Court, hold, Buck 's claim)
(Federal District Court, relied on, failure under then-governing law)
(Federal District Court, relied on, failure properly)
(Federal District Court, relied on, failure under law)
(Federal District Court relied, was, procedurally defaulted)
(Buck, has, claim)
(Federal District Court, relied on, failure properly under law)
(Buck, sought In, 2014)
(Buck, reopen, that)
(Court, has, decisions in Martinez)
(Court 's decisions, changed, law)
(Court 's decisions, permitting, him)
(him, litigate, his claim on merits)
(Court 's decisions, is in, Martinez)
(him, litigate, his claim)
(Buck, has, motion)
(change, is in, law)
(Fifth Circuit, issue, certificate of appealability)
(Fifth Circuit, issue, certificate)
(Fifth Circuit, issue, certificate of appealability requested)
(Fifth Circuit, issue, certificate of appealability requested by Buck)
(District Court, denied, motion)
(We, granted, certiorari)
(his, girlfriend, Debra Gardner)
(Duane Buck, arrived at, home of his former girlfriend)
(Duane Buck, arrived at, home)
(He, was carrying, rifle)
(He, was carrying, shotgun)
(Buck, entered, home)
(Gardner, has, friend Kenneth Butler)
(Buck, entered, his stepsister)
(Buck, entered, shot Phyllis Taylor)
(Gardner, fled, house)
(Gardner, has, young children)
(Buck, shot Gardner, Gardner 's son daughter begged for their mother 's life)
(Buck, shot Gardner, Gardner 's son daughter begged)
(Gardner 's son, begged for, their mother 's life)
(daughter, begged for, their mother 's life)
(Buck, shot Gardner, Gardner 's son begged for their mother 's life)
(Buck, shot, Gardner)
(mother, for, life)
(Gardner, has, son)
(Buck, shot Gardner, daughter begged for their mother 's life)
(Buck, shot Gardner, Gardner 's son begged)
(Buck, shot Gardner in, chest)
(Buck, shot Gardner, daughter begged)
(Gardner, died of, their wounds)
(Butler, died of, their wounds)
(Police officers, placed, Buck)
(Police officers, arrived after, shooting)
(Police officers, arrived soon after, shooting)
(Police officers, placed Buck under, arrest)
(Buck, laughing at, scene)
(He, remained, happy)
(he, was, driven)
(he, was driven to, police station)
(Buck, was, tried)
(Buck, was tried for, capital murder)
(jury, was charged During, penalty phase of trial)
(jury, deciding, two issues)
(jury, was charged During, penalty phase)
(jury, was, charged)
(parties, term, future dangerousness question)
(Texas jury, could impose death penalty, it found and)
(Buck, of, trial)
(Texas jury, could impose death penalty, only it found)
(Texas jury, could impose death penalty, only it found and)
(Texas jury, could impose death penalty At, time of Buck 's trial)
(Texas jury, could impose death penalty At, time)
(Texas jury, could impose death penalty, it found)
(Texas jury, could impose death penalty, it found unanimously and)
(Texas jury, could impose, death penalty)
(Texas jury, could impose death penalty, only it found unanimously and)
(mitigating circumstances, nevertheless warranted, sentence of life imprisonment)
(circumstances, nevertheless warranted, sentence of life imprisonment)
(circumstances, sentence of, life imprisonment)
(circumstances, warranted, sentence)
(mitigating circumstances, warranted, sentence)
(mitigating circumstances, nevertheless warranted sentence instead of, death)
(mitigating circumstances, nevertheless warranted, sentence)
(mitigating circumstances, warranted sentence instead of, death)
(circumstances, nevertheless warranted, sentence)
(circumstances, nevertheless warranted sentence instead of, death)
(mitigating circumstances, sentence of, life imprisonment)
(mitigating circumstances, warranted, sentence of life imprisonment)
(circumstances, warranted sentence instead of, death)
(circumstances, warranted, sentence of life imprisonment)
(parties, focused principally on, first question)
(parties, focused principally on, question)
(parties, focused on, question)
(parties, focused on, first question)
(his evident lack, is in, its aftermath)
(his evident lack, brutality of, Buck 's crime)
(Buck, of, crime)
(his lack, brutality of, Buck 's crime)
(State, called, Vivian Jackson)
(State, also called, Vivian Jackson)
(Buck, pointed gun at, her)
(Buck, hit, her)
(Buck, twice pointed at, her)
(Buck, twice pointed gun at, her)
(Buck, routinely hit, her)
(Buck, pointed at, her)
(Buck, twice pointed, gun)
(Buck, pointed, gun)
(State, Finally introduced, evidence of Buck 's history including convictions for delivery of cocaine)
(State, Finally introduced, evidence of Buck 's criminal history including convictions for delivery)
(State, introduced, evidence of Buck 's criminal history including convictions for delivery)
(State, introduced, evidence of Buck 's criminal history including convictions for delivery of cocaine)
(State, introduced, evidence including convictions)
(State, Finally introduced, evidence including convictions for delivery)
(State, introduced, evidence including convictions for delivery)
(State, Finally introduced, evidence of Buck 's criminal history)
(State, Finally introduced, evidence)
(Buck, of, criminal history)
(State, introduced, evidence of Buck 's history including convictions)
(State, introduced, evidence of Buck 's history including convictions for delivery)
(State, Finally introduced, evidence including convictions)
(State, introduced, evidence)
(State, introduced, evidence of Buck 's history including convictions for delivery of cocaine)
(State, Finally introduced, evidence of Buck 's history including convictions for delivery)
(State, introduced, evidence of Buck 's history)
(State, Finally introduced, evidence of Buck 's history including convictions)
(State, Finally introduced, evidence including convictions for delivery of cocaine)
(State, Finally introduced, evidence of Buck 's history)
(State, Finally introduced, evidence of Buck 's criminal history including convictions for delivery of cocaine)
(State, introduced, evidence of Buck 's criminal history)
(State, introduced, evidence including convictions for delivery of cocaine)
(State, introduced, evidence of Buck 's criminal history including convictions)
(State, Finally introduced, evidence of Buck 's criminal history including convictions)
(Buck, including, father)
(Counsel, called, two psychologists testify as experts)
(Counsel, called, two psychologists testify)
(Counsel, also called, two psychologists testify as experts)
(Counsel, also called, two psychologists testify)
(Buck, previously served, time)
(Buck, time in, prison)
(time, is in, prison)
(Buck, previously served, time in prison)
(Buck, served, time)
(Buck, been held in, custody)
(Buck, served, time in prison)
(Buck, been held in, minimum custody)
(Buck, been, held)
(problems, is in, prison setting)
(5-116, pp., 12-13)
(murders, tend, related)
(murders, tend, gang related)
(Buck, be, danger)
(he, were sentenced to, life)
(Buck, be danger, sentenced to life)
(he, were sentenced to, life in prison)
(life, is in, prison)
(Buck, be danger, sentenced)
(Dr. Lawrence, determined Based on, considerations)
(Buck, be danger, sentenced to life in prison)
(Buck, was, unlikely)
(he, were, sentenced)
(Buck 's expert, conduct, psychological evaluation)
(Buck, has, second expert)
(Buck 's second expert, conduct, evaluation)
(Buck 's second expert, had, had appointed by judge)
(Buck 's expert, had, had appointed by judge)
(Buck 's second expert, had, had appointed by presiding judge)
(Buck, 's expert is, Dr. Walter Quijano)
(Buck 's expert, had, had appointed)
(Buck 's second expert, had, had appointed)
(Buck 's expert, had, had appointed by presiding judge)
(Buck 's expert, conduct, evaluation)
(Buck 's second expert, conduct, psychological evaluation)
(Dr. Quijano, had met in, prison)
(his findings, is with, defense counsel)
(Dr. Quijano, shared, report of his findings)
(Dr. Quijano, shared, report)
(Dr. Quijano, had met with, Buck)
(shared, report of, his findings)
(shared, report of, his findings with defense counsel)
(Dr. Quijano, shared, report of his findings with defense counsel)
(Dr. Quijano, had met prior with, Buck)
(Dr. Quijano, had met prior in, prison)
(romantic relationships, is with, women)
(Dr. Quijano, thought Like, Dr. Lawrence)
(it, arisen from, romantic relationships)
(Buck, has, prior acts of violence)
(it, arisen from, relationships)
(Dr. Quijano, considered, Buck 's behavioral record indicator)
(Dr. Quijano, considered, Buck 's record in prison good indicator)
(Dr. Quijano, likewise considered, Buck 's record good indicator)
(Buck 's behavioral record, is in, prison)
(Dr. Quijano, likewise considered, Buck 's behavioral record in prison indicator)
(Dr. Quijano, considered, Buck 's record good indicator)
(Dr. Quijano, considered, Buck 's behavioral record in prison indicator)
(Dr. Quijano, considered, Buck 's record indicator)
(Dr. Quijano, considered, Buck 's behavioral record in prison good indicator)
(future violence, was, unlikely)
(Dr. Quijano, likewise considered, Buck 's record in prison indicator)
(Dr. Quijano, considered, Buck 's behavioral record good indicator)
(Dr. Quijano, likewise considered, Buck 's behavioral record indicator)
(Dr. Quijano, likewise considered, Buck 's behavioral record good indicator)
(Buck, has, behavioral record in prison)
(Dr. Quijano, likewise considered, Buck 's behavioral record in prison good indicator)
(Dr. Quijano, likewise considered, Buck 's record in prison good indicator)
(Dr. Quijano, considered, Buck 's record in prison indicator)
(Dr. Quijano, likewise considered, Buck 's record indicator)
(Buck, was, likely)
(Buck, pose, danger)
(Dr. Quijano, considered, seven statistical factors)
(Dr. Quijano, considered, determining)
(Dr. Quijano, considered, seven factors)
(Buck, pose, danger in future)
(danger, is in, future)
(fourth factor, was, race)
(factor, was, race)
(His report, read, 4)
(Buck 's race, was, competent evidence)
(Buck 's race, was, evidence)
(defense counsel, called to, stand)
(Buck 's race, was evidence of, increased probability)
(Dr. Quijano, has, view)
(defense counsel, called, Dr. Quijano)
(Buck, has, race)
(Buck 's race, was competent evidence of, increased probability)
(Buck 's race, was evidence of, probability)
(Buck 's race, was competent evidence of, probability)
(defense counsel, asked, him)
(defense counsel, called Dr. Quijano to, stand)
(consistent, identified, race)
(certain factors, know, predict)
(factors, know, predict)
(future dangerousness, identified, race)
(It, has, sad)
(minorities, are, represented in Criminal Justice System)
(It, has, sad commentary)
(minorities, are, represented)
(It, has, commentary)
(counsel, elicited, questioning)
(testimony, thought, favorable)
(counsel, elicited, further questioning)
(Buck, pose, danger)
(testimony, concerning, factors Dr. Quijano)
(testimony, thought, favorable to Buck)
(Buck, pose, danger in future)
(danger, is in, future)
(Buck, was, unlikely)
(his report, was, At close admitted into evidence)
(his report, was, admitted)
(his report, was, At close of Dr. Quijano 's testimony admitted into evidence)
(his report, was admitted At, close of Dr. Quijano 's testimony)
(his report, was admitted into, evidence)
(Dr. Quijano, of, testimony)
(his report, was admitted At, close)
(prosecutor, turned to, report)
(prosecutor, opening, cross-examination)
(prosecutor, likewise turned to, report)
(race factor black, increases, future dangerousness for various complicated reasons)
(She, asked first about, statistical factors of past crimes)
(She, asked about, factors of past crimes)
(She, asked about, statistical factors of past crimes)
(She, asked about, statistical factors)
(She, asked about, factors)
(She, asked first about, factors)
(She, asked first about, factors of past crimes)
(She, asked first about, statistical factors)
(that, is, correct)
(race factor black, future dangerousness for, various complicated reasons)
(defense counsel, emphasized During, closing arguments)
(Buck, proved, controllable in prison population)
(Buck, proved, controllable)
(defense counsel, emphasized During, arguments)
(crime, has, nature)
(State, stressed, crime 's nature)
