(November 29 2016, Decided at_time, March 28 2017)
(habeas court, inquire into, relatedness)
(CCA, history of, failure)
(CCA, suggested Among, causes for Moore 's adaptive deficits)
(CCA, suggested Among, causes)
(CCA, suggested Among, alternative causes)
(CCA, suggested Among, causes for Moore 's deficits)
(CCA, suggested Among, alternative causes for Moore 's deficits)
(CCA, were, childhood)
(CCA, were childhood at, school)
(CCA, were, abuse-filled)
(Moore, for, adaptive deficits)
(CCA, were, abuse-filled childhood)
(CCA, suggested Among, alternative causes for Moore 's adaptive deficits)
(CCA, were abuse-filled childhood at, school)
(CCA, history of, academic failure)
(Briseno, has, seven evidentiary factors)
(Moore, satisfied, relatedness requirement)
(habeas court, has, application of medical guidance)
(CCA, has, decision)
(duty, respect, dignity of persons)
(___, at Hall is, 572 U. S.)
(Atkins, be, informed)
(Atkins, be informed by, community 's framework)
(medical community, by, diagnostic framework)
(Atkins, be informed by, community 's diagnostic framework)
(Atkins, be informed by, medical community 's diagnostic framework)
(Atkins, be informed by, medical community 's framework)
(Court, Relying on, most recent of manuals)
(practices, is in, other States)
(Florida, parted, ways)
(Florida, had disregard practice id. at, ___)
(Court, Relying on, recent)
(Court, Relying on, most recent of leading manuals)
(Court, Relying on, recent of diagnostic manuals)
(Florida, had id., disregard established practice)
(Florida, parted, ways with practices in other States)
(Florida, had, disregard established practice)
(ways, is with, practices in other States)
(Florida, had id., disregard practice)
(Florida, had, disregard practice)
(Court, Relying on, most recent of diagnostic manuals)
(Court, Relying on, most recent of leading diagnostic manuals)
(Florida, had disregard practice at, ___)
(Florida, parted, ways with practices)
(Court, Relying on, recent of leading manuals)
(Florida, had, disregard established medical practice)
(Court, Relying on, recent of leading diagnostic manuals)
(Court, Relying on, most recent)
(Florida, had, disregard medical practice)
(Florida, parted, ways with practices in States)
(Court, Relying on, recent of manuals)
(Court, concluded in, Hall)
(neither, does, precedent license disregard of current standards)
(neither, does, precedent license disregard of medical standards)
(neither, does, precedent license disregard of standards)
(neither, does, precedent license disregard of current medical standards)
(neither, does, precedent license disregard)
(Moore, has, IQ scores)
(test, for, standard error of measurement)
(CCA, has, conclusion)
(CCA, move on, consider)
(CCA, had, range of Moore 's adjusted IQ score of 74 falls)
(CCA, had, range of Moore 's adjusted IQ score falls at 70)
(Moore, of, adjusted IQ score of 74)
(CCA, had, lower range of Moore 's adjusted IQ score falls)
(range, falls at, 70)
(CCA, had, range of Moore 's adjusted IQ score falls)
(CCA, had, lower range of Moore 's adjusted IQ score of 74 falls)
(CCA, had, lower range of Moore 's adjusted IQ score falls at 70)
(CCA, had, lower range of Moore 's IQ score of 74 falls at 70)
(CCA, had, range of Moore 's IQ score falls)
(CCA, had, range of Moore 's IQ score falls at 70)
(CCA, had, range of Moore 's IQ score of 74 falls)
(CCA, had, range of Moore 's adjusted IQ score of 74 falls at 70)
(CCA, had, lower range of Moore 's IQ score falls)
(lower range, falls at, 70)
(CCA, had, lower range of Moore 's adjusted IQ score of 74 falls at 70)
(Moore, has, adaptive functioning)
(CCA, had, lower range falls)
(CCA, had, lower range of Moore 's IQ score falls at 70)
(CCA, had, range of Moore 's IQ score of 74 falls at 70)
(CCA, had, range falls)
(CCA, had, lower range of Moore 's IQ score of 74 falls)
(CCA, had, range falls at 70)
(CCA, had, lower range falls at 70)
(CCA, has, consideration of adaptive functioning)
(CCA, deemed, applicable)
(CCA 's consideration, prevailing, clinical standards)
(Moore, of, adaptive functioning)
(CCA 's consideration, prevailing, standards)
(CCA, overemphasized, Moore 's adaptive strengths)
(community, focuses, adaptive-functioning inquiry on adaptive deficits)
(community, focuses, adaptive-functioning inquiry)
(community, adaptive-functioning inquiry on, adaptive deficits)
(medical community, focuses, inquiry on deficits)
(medical community, inquiry on, adaptive deficits)
(CCA, overemphasized, Moore 's perceived strengths)
(CCA, overemphasized, Moore 's strengths)
(community, inquiry on, deficits)
(community, adaptive-functioning inquiry on, deficits)
(community, focuses, inquiry on adaptive deficits)
(medical community, adaptive-functioning inquiry on, deficits)
(medical community, focuses, inquiry)
(medical community, inquiry on, deficits)
(community, focuses, adaptive-functioning inquiry on deficits)
(medical community, focuses, adaptive-functioning inquiry on deficits)
(medical community, focuses, adaptive-functioning inquiry on adaptive deficits)
(CCA, overemphasized, Moore 's perceived adaptive strengths)
(medical community, adaptive-functioning inquiry on, adaptive deficits)
(community, focuses, inquiry on deficits)
(community, focuses, inquiry)
(Moore, has, perceived adaptive strengths)
(community, inquiry on, adaptive deficits)
(medical community, focuses, adaptive-functioning inquiry)
(medical community, focuses, inquiry on adaptive deficits)
(Moore 's improved behavior, is in, prison)
(clinicians, caution against, reliance on adaptive strengths)
(clinicians, caution against, reliance on strengths developed in controlled settings)
(CCA, stressed, Moore 's improved behavior in prison)
(CCA, also stressed, Moore 's improved behavior in prison)
(CCA, stressed, Moore 's improved behavior)
(clinicians, caution against, reliance on adaptive strengths developed in controlled settings)
(CCA, stressed, Moore 's behavior)
(clinicians, caution against, reliance on strengths)
(clinicians, caution against, reliance on strengths developed in settings)
(CCA, also stressed, Moore 's behavior in prison)
(clinicians, caution against, reliance)
(clinicians, caution against, reliance on adaptive strengths developed)
(clinicians, caution against, reliance on adaptive strengths developed in settings)
(CCA, also stressed, Moore 's behavior)
(clinicians, caution against, reliance on strengths developed)
(CCA, also stressed, Moore 's improved behavior)
(Moore, has, improved behavior in prison)
(CCA, stressed, Moore 's behavior in prison)
(Moore 's record, detracted along with, history)
(his deficits, were, related)
(Moore 's record, detracted from, determination)
(his intellectual deficits, were, related)
(Moore, has, record of academic failure)
(Moore 's record, detracted along with, history of childhood abuse)
(medical community, however counts, experiences)
(community, counts experiences as, risk factors)
(community, however counts experiences as, risk factors)
(community, however counts experiences as, risk factors for disability)
(medical community, counts experiences as, risk factors for intellectual disability)
(medical community, however counts experiences as, risk factors for disability)
(community, counts experiences as, risk factors for intellectual disability)
(medical community, however counts experiences as, risk factors for intellectual disability)
(community, however counts experiences as, risk factors for intellectual disability)
(community, however counts, experiences)
(medical community, however counts experiences as, risk factors)
(medical community, counts, traumatic experiences)
(medical community, however counts, traumatic experiences)
(community, counts, experiences)
(medical community, counts experiences as, risk factors)
(community, however counts, traumatic experiences)
(medical community, counts, experiences)
(community, counts experiences as, risk factors for disability)
(community, counts, traumatic experiences)
(medical community, counts experiences as, risk factors for disability)
(CCA, requiring, Moore)
(CCA, departed from, practice)
(CCA, also departed from, practice)
(CCA, departed from, clinical practice)
(CCA, also departed from, clinical practice)
(people, have, co-existing mental impairments including disorder)
(people, have, other mental impairments)
(people, have, impairments including attention-deficit/hyperactivity disorder)
(people, have, impairments)
(people, have, other impairments including attention-deficit/hyperactivity disorder)
(people, have, other impairments)
(people, have, mental impairments)
(people, have, co-existing mental impairments)
(people, have, other mental impairments including disorder)
(people, have, co-existing impairments)
(people, have, other co-existing mental impairments including disorder)
(people, have, other co-existing mental impairments including attention-deficit/hyperactivity disorder)
(people, have, other co-existing impairments including attention-deficit/hyperactivity disorder)
(people, have, other mental impairments including attention-deficit/hyperactivity disorder)
(people, have, other co-existing mental impairments)
(people, have, co-existing impairments including attention-deficit/hyperactivity disorder)
(people, have, co-existing impairments including disorder)
(people, have, mental impairments including disorder)
(people, have, other impairments including disorder)
(people, have, other co-existing impairments)
(people, have, mental impairments including attention-deficit/hyperactivity disorder)
(people, have, impairments including disorder)
(people, have, other co-existing impairments including disorder)
(people, have, co-existing mental impairments including attention-deficit/hyperactivity disorder)
(CCA, has, attachment to seven Briseno evidentiary factors)
(Moore, of, adaptive functioning)
(perceptions, advanced by, Briseno)
(lay perceptions, creat risk in, operation)
(perceptions, creat risk in, operation)
(persons, is with, intellectual disability)
(lay perceptions, creat risk By, design)
(perceptions, creat, unacceptable risk)
(perceptions, creat risk By, design)
(lay perceptions, creat, unacceptable risk)
(lay perceptions, creat, risk)
(persons, be, executed)
(lay perceptions, advanced by, Briseno)
(perceptions, creat, risk)
(___, at Hall is, 572 U. S.)
(Briseno factors, are outlier in, comparison to other States ' handling to Texas ' own practices in contexts)
(Briseno factors, are outlier in, comparison to States ' handling of intellectual-disability pleas to Texas ' practices in contexts other)
(medical profession, counter, stereotypes)
(Briseno factors, are outlier in, comparison to Texas ' practices in contexts other than death penalty)
(Briseno factors, are outlier in, comparison to other States ' handling of intellectual-disability pleas to Texas ' practices in contexts other)
(Briseno factors, are outlier in, comparison to Texas ' own practices in contexts)
(Briseno factors, are outlier in, comparison to other States ' handling of intellectual-disability pleas to Texas ' own practices in contexts other)
(Briseno factors, are outlier in, comparison to States ' handling to Texas ' practices in contexts other than death penalty)
(Briseno factors, are outlier in, comparison to Texas ' practices in contexts)
(Briseno factors, are outlier in, comparison to other States ' handling of intellectual-disability pleas to Texas ' practices in contexts)
(Briseno factors, are outlier in, comparison to other States ' handling of intellectual-disability pleas to Texas ' own practices in contexts)
(Briseno factors, are outlier in, comparison to other States ' handling of intellectual-disability pleas)
(Briseno factors, are outlier in, comparison to Texas ' own practices)
(Briseno factors, are outlier in, comparison to States ' handling to Texas ' practices)
(Briseno factors, are outlier in, comparison to other States ' handling of intellectual-disability pleas to Texas ' own practices)
(Briseno factors, are outlier in, comparison to other States ' handling to Texas ' practices in contexts)
(Briseno factors, are outlier in, comparison to States ' handling)
(profession, counter, lay stereotypes)
(Briseno factors, are outlier in, comparison to States ' handling of intellectual-disability pleas to Texas ' own practices)
(Briseno factors, are outlier in, comparison to States ' handling of intellectual-disability pleas to Texas ' practices in contexts)
(Briseno factors, are outlier in, comparison to States ' handling of intellectual-disability pleas to Texas ' own practices in contexts other)
(Briseno factors, are outlier in, comparison to other States ' handling to Texas ' practices in contexts other than death penalty)
(Briseno factors, are outlier in, comparison to other States ' handling to Texas ' own practices in contexts other)
(Briseno factors, are outlier in, comparison to other States ' handling of intellectual-disability pleas to Texas ' practices)
(Briseno factors, are outlier in, comparison to States ' handling to Texas ' own practices in contexts)
(Briseno factors, are outlier in, comparison to States ' handling to Texas ' own practices in contexts other than death penalty)
(medical profession, counter, lay stereotypes)
(Briseno factors, are outlier in, comparison to States ' handling to Texas ' own practices)
(profession, counter, stereotypes)
(Briseno factors, are outlier in, comparison to Texas ' own practices in contexts other)
(Briseno factors, are outlier in, comparison to other States ' handling to Texas ' own practices)
(Briseno factors, are outlier in, comparison to other States ' handling of intellectual-disability pleas to Texas ' practices in contexts other than death penalty)
(Briseno factors, are, outlier)
(Briseno factors, are outlier in, comparison to States ' handling to Texas ' practices in contexts)
(Briseno factors, are outlier in, comparison to States ' handling of intellectual-disability pleas to Texas ' practices)
(Briseno factors, are outlier in, comparison to States ' handling of intellectual-disability pleas)
(Briseno factors, are outlier in, comparison to Texas ' practices)
(Briseno factors, are outlier in, comparison to States ' handling to Texas ' own practices in contexts other)
(Briseno factors, are outlier in, comparison to States ' handling of intellectual-disability pleas to Texas ' practices in contexts other than death penalty)
(Briseno factors, are outlier in, comparison to other States ' handling of intellectual-disability pleas to Texas ' own practices in contexts other than death penalty)
(Briseno factors, are outlier in, comparison to other States ' handling to Texas ' own practices in contexts other than death penalty)
(Briseno factors, are outlier in, comparison to other States ' handling to Texas ' practices)
(Briseno factors, are outlier in, comparison to other States ' handling to Texas ' practices in contexts other)
(Texas ' own practices, is in, contexts other than death penalty)
(Briseno factors, are outlier in, comparison to States ' handling of intellectual-disability pleas to Texas ' own practices in contexts)
(outlier, is in, comparison)
(Briseno factors, are outlier in, comparison to States ' handling of intellectual-disability pleas to Texas ' own practices in contexts other than death penalty)
(Briseno factors, are outlier in, comparison to Texas ' own practices in contexts other than death penalty)
(Briseno factors, are outlier in, comparison)
(Briseno factors, are outlier in, comparison to Texas ' practices in contexts other)
(Briseno factors, are outlier in, comparison to other States ' handling)
(Briseno factors, are outlier in, comparison to States ' handling to Texas ' practices in contexts other)
(habeas court, Here applied, current medical standards)
(habeas court, Here applied, standards)
(habeas court, applied, current medical standards)
(habeas court, applied, standards)
(habeas court, applied, current standards)
(habeas court, applied, medical standards)
(habeas court, Here applied, current standards)
(habeas court, Here applied, medical standards)
(it, laid out in, Briseno)
(habeas court, reaching, its conclusion)
(medical community, of, diagnostic framework)
(CCA, inform, itself)
(CCA, has, analysis)
(Briseno, infected, CCA 's analysis)
(Briseno, pervasively infected, CCA 's analysis)
(S. W., 3d, vacated)
(470 S. W., 3d, remanded)
(S. W., 3d, remanded)
(470 S. W., 3d, vacated)
(Ginsburg, delivered, opinion)
(opinion, is subject to, revision in print of United States Reports)
(opinion, is subject to, formal revision in preliminary print)
(opinion, is subject to, revision)
(opinion, is subject to, formal revision)
(opinion, is subject to, revision in print)
(opinion, is subject to, formal revision before publication)
(opinion, is subject to, formal revision in print of United States Reports)
(formal revision, is in, preliminary print of United States Reports)
(opinion, is subject to, revision before publication in preliminary print)
(opinion, is subject to, formal revision before publication in preliminary print)
(opinion, is subject to, formal revision before publication in print of United States Reports)
(opinion, is subject to, revision before publication)
(opinion, is subject to, formal revision in print)
(opinion, is, subject)
(opinion, is subject to, revision in preliminary print)
(opinion, is subject to, revision before publication in print)
(opinion, is subject to, formal revision in preliminary print of United States Reports)
(opinion, is subject to, revision before publication in preliminary print of United States Reports)
(opinion, is subject to, revision in preliminary print of United States Reports)
(opinion, is subject to, formal revision before publication in print)
(opinion, is subject to, revision before publication in print of United States Reports)
(opinion, is subject to, formal revision before publication in preliminary print of United States Reports)
(Readers, notify, Reporter)
(Readers, notify, Reporter of Decisions)
(Supreme Court, is in, order)
(Readers, are, requested)
(typographical formal errors, of States is, Washington)
(typographical formal errors, of States is, D. C. 20543)
(BOBBY JAMES MOORE, PETITIONER v., TEXAS)
(Justice Ginsburg, delivered, opinion of Court)
(Justice Ginsburg, delivered, opinion)
(Bobby James Moore, shot, store clerk)
(Bobby James Moore, shot store clerk during, botched robbery)
(Bobby James Moore, fatally shot store clerk during, botched robbery)
(Bobby James Moore, fatally shot store clerk during, robbery)
(Bobby James Moore, fatally shot, store clerk)
(Bobby James Moore, shot store clerk during, robbery)
(He, sentenced to, death)
(He, was convicted of, capital murder)
(He, was, convicted)
(he, was, disabled)
(Moore, challenged, his death sentence)
(he, was, intellectually disabled)
(court, made, factfindings)
(Court 's decisions, is in, Atkins)
(court, made, detailed factfindings)
(Court, under, decisions in Atkins)
(Moore 's death sentence, violated, Eighth Amendment 's proscription of cruel punishments)
(Eighth Amendment, has, proscription of cruel punishments)
(Moore, has, death sentence)
(Moore 's death sentence, violated, Eighth Amendment 's proscription)
(Moore 's death sentence, violated, Eighth Amendment 's proscription of punishments)
(court, concluded For, reason)
(Moore, be granted, relief)
(1, habeas, court .2)
(1, adopt, judgment recommended by state)
(1992 guides, adopted by, CCA)
(CCA, In, view)
(1, adopt, judgment)
(135 S. W., 3d, 1 2004)
(1, habeas court .2 In, CCA 's view)
(S. W., 3d, 1 2004)
(1992 guides, adopted in, Ex parte Briseno)
(1, adopt, judgment recommended)
(S. W., 3d, 486-487 2015)
(470 S. W., 3d, 486-487 2015)
(factors, upsetting, Moore 's death sentence)
(evidentiary factors, upsetting, Moore 's death sentence)
(factors, announced in, Briseno)
(evidentiary factors, announced in, Briseno)
(Moore, has, death sentence)
(470 S. W., 3d at, 526)
(S. W., 3d at, 526)
(We, vacate, CCA 's judgment)
(CCA, has, judgment)
(adjudications, should, should informed by views)
(adjudications, should, should informed)
(adjudications, should, should informed by views of experts)
(adjudications, should, should informed by views of medical experts)
(we, instructed in, Hall)
(Briseno, set out as, indicators of intellectual disability)
(invention, untied to, acknowledged source)
(Briseno, set out as, indicators of disability)
(Briseno, set out as, indicators)
(persons, be, executed)
(persons, is with, intellectual disability)
(Bobby James Moore, were, engaged)
(others, robbing, grocery store)
(then-20-year-old Bobby James Moore, were, engaged)
(Bobby James Moore, were, In April 1980 engaged)
(then-20-year-old Bobby James Moore, were, In April 1980 engaged)
(two others, robbing, grocery store)
(S. W., 3d, 490-491 Tex.)
(470 S. W., 3d, 490-491 Tex.)
(Moore, shot store clerk During, episode)
(Moore, fatally shot store clerk During, episode)
(Moore, fatally shot, store clerk)
(Moore, shot, store clerk)
(S. W., 3d at, 490)
(470 S. W., 3d at, 490)
(Moore, sentenced to, death)
(Moore, was, later convicted)
(Moore, was, two months later convicted)
(Moore, was, convicted)
(Collins, sentence based on, assistance)
(Collins, sentence based on, assistance of trial counsel)
(sentence, see, 1995 U. S. Dist)
(Collins, sentence based on, ineffective assistance)
(Collins, sentence based on, ineffective assistance of trial counsel)
(sentence, see, Collins)
(sentence, see, Moore)
(Fifth Circuit, see, 194 F. 3d 586)
(Fifth Circuit, see, Johnson)
(Fifth Circuit, see, Moore)
(CCA, affirmed on, direct appeal)
(Moore, was resentenced in, 2001)
(Moore, was, resentenced to death in 2001)
(Moore, was, resentenced)
(Moore, was resentenced to, death)
(CCA, affirmed on, appeal)
(Moore, sought, state habeas relief)
(Moore, subsequently sought, state habeas relief)
(Moore, was, disabled)
(Moore, was, intellectually disabled)
(state, habeas In, 2014)
(heard, testimony from, former counsel)
(Moore, 's members is, former counsel)
(heard, testimony from, Moore 's family members)
(Moore, from, family members)
(court, received, affidavits)
(court, heard, testimony from Moore 's family members)
(court, heard, testimony)
(Moore, had, difficulties beginning at age)
(Moore, had, significant mental difficulties)
(mental difficulties, beginning at, age)
(Moore, had, significant mental difficulties beginning at age)
(Moore, had, significant difficulties beginning)
(Moore, had, mental difficulties beginning at age)
(Moore, had, significant mental difficulties beginning at early age)
(Moore, had, significant difficulties)
(Moore, had, mental difficulties beginning at early age)
(Moore, had, significant difficulties beginning at early age)
(significant mental difficulties, beginning at, early age)
(Moore, had, mental difficulties)
(Moore, had, difficulties)
(Moore, had, significant mental difficulties beginning)
(significant difficulties, beginning at, early age)
(significant difficulties, beginning at, age)
(Moore, had, difficulties beginning at early age)
(Moore, had, significant difficulties beginning at age)
(mental difficulties, beginning at, early age)
(Moore, had, mental difficulties beginning)
(significant mental difficulties, beginning at, age)
(difficulties, beginning at, early age)
(difficulties, beginning at, age)
(Moore, had, difficulties beginning)
(he, could scarcely tell, time)
(Moore, months of, year)
(he, comprehend, standards of measure)
(he, could tell, time)
(he, comprehend, standards)
(he, was, separated)
(he, Often was separated from, rest of class)
(he, Often was separated from, rest)
(he, was, Often separated)
(he, was separated from, rest)
(he, was separated from, rest of class)
(peers, called for, his reading)
(teachers, called for, his slow reading)
(peers, called for, his slow reading)
(Moore 's father, called, stupid)
(Moore 's father, called for, his reading)
(teachers, called, stupid)
(Moore, has, father)
(teachers, called for, his reading)
(Moore 's father, called for, his slow reading)
(peers, called, stupid)
(Moore, dropped out of, school)
(Moore, failing, subject in ninth grade)
(Moore, dropped out of, high school)
(he, Cast out of, his home)
(he, survived, eating after two bouts of food poisoning)
(he, survived, eating from trash cans after two bouts)
(he, survived, eating from trash cans even after two bouts)
(he, eating after, even two bouts)
(he, survived, eating from trash cans even after two bouts of food poisoning)
(he, survived, eating from trash cans after two bouts of food poisoning)
(he, survived, eating even after two bouts)
(he, survived, eating even after two bouts of food poisoning)
(he, eating after, two bouts)
(he, survived, eating after two bouts)
(he, survived, eating)
(he, eating after, even two bouts of food poisoning)
(he, survived, eating from trash cans)
(he, survived on, streets)
(he, eating from, trash cans)
(he, eating after, two bouts of food poisoning)
(Supports, of Systems is, 2010)
(Definition, Systems of, Supports)
(medical standards, see, AAIDD)
(current medical diagnostic standards, see, AAIDD)
(court, consulted, diagnostic standards)
(edition, see, APA)
(state, evaluating, Moore 's assertion of intellectual disability)
(current diagnostic standards, see, AAIDD)
(court, consulted, current medical standards)
(court, consulted, current standards)
(medical diagnostic standards, see, AAIDD)
(current medical diagnostic standards, see, Intellectual Disability)
(standards, see, AAIDD)
(court, consulted, current diagnostic standards)
(court, relying on, Intellectual)
(Classification, see, APA)
(Systems, see, APA)
(Mental Disorders, of APA is, hereinafter DSM-5)
(current medical standards, see, AAIDD)
(court, relying on, 11th edition of American Association)
(Statistical Manual, APA of, Mental Disorders)
(court, relying on, edition)
(Statistical Manual, APA of, Disorders)
(court, consulted, standards)
(5th edition, see, APA)
(court, relying on, 11th edition)
(court, relying on, edition of American Association)
(court, consulted, medical diagnostic standards)
(court, consulted, medical standards)
(Statistical Manual, Systems of, Supports)
(diagnostic standards, see, AAIDD)
(current standards, see, AAIDD)
(court, consulted, current medical diagnostic standards)
(state, evaluating, Moore 's assertion)
(Moore, has, assertion of intellectual disability)
(state, evaluating, Moore 's assertion of disability)
(Moore, has, IQ scores)
(average, indicated, intellectual disability)
(disability, average of, 70.66)
(average, indicated, mild intellectual disability)
(average, indicated, mild disability)
(average, indicated, disability)
(Moore, of, IQ scores)
(mild disability, average of, 70.66)
(intellectual disability, average of, 70.66)
(mild intellectual disability, average of, 70.66)
(habeas court, found, significant adaptive deficits)
(habeas court, found, deficits)
(habeas court, found, significant deficits)
(habeas court, found, adaptive deficits)
(individual 's performance, falls in, any of three skill sets)
(individual 's adaptive performance, falls in, any of three skill sets)
(individual 's adaptive performance, falls in, any of three adaptive skill sets)
(clinicians, look, individual 's performance falls below mean in any of three adaptive skill sets)
(individual 's adaptive performance, falls in, any)
(clinicians, look, individual 's adaptive performance falls below mean)
(clinicians, look, individual 's adaptive performance falls in any of three adaptive skill sets)
(clinicians, look, individual 's performance falls below mean)
(clinicians, determining, significance of adaptive deficits)
(clinicians, look, individual 's adaptive performance falls below mean in any of three adaptive skill sets)
(individual, has, adaptive performance)
(clinicians, determining, significance)
(individual 's performance, falls below, mean)
(clinicians, look, individual 's performance falls in any of three adaptive skill sets)
(clinicians, look, individual 's adaptive performance falls in any of three skill sets)
(clinicians, look, individual 's performance falls below mean in any)
(clinicians, look, individual 's adaptive performance falls in any)
(individual 's adaptive performance, falls below, mean)
(clinicians, look, individual 's adaptive performance falls below mean in any)
(individual 's performance, falls in, any of three adaptive skill sets)
(clinicians, determining, significance of deficits)
(clinicians, look, individual 's performance falls in any)
(clinicians, look, individual 's performance falls below mean in any of three skill sets)
(clinicians, look, individual 's adaptive performance falls below mean in any of three skill sets)
(clinicians, look, individual 's adaptive performance falls)
(clinicians, look, individual 's performance falls)
(clinicians, look, individual 's performance falls in any of three skill sets)
(individual 's performance, falls in, any)
(Moore 's performance, fell, two deviations below mean in three skill categories)
(Moore 's performance, fell, roughly two deviations below mean in three skill categories)
(mean, is in, three skill categories)
(Moore 's performance, fell, roughly two standard deviations)
(Moore, has, performance)
(Moore 's performance, fell, roughly two deviations)
(Moore 's performance, fell, two standard deviations)
(Moore 's performance, fell, roughly two standard deviations below mean in three skill categories)
(Moore 's performance, fell, two standard deviations below mean in three skill categories)
(Moore 's performance, fell, two deviations)
(state, habeas Based on, evidence)
(him, trial on, disability)
(him, trial on, intellectual disability)
(him, new trial on, disability)
(him, new trial on, intellectual disability)
(him new trial, is in, prison)
(him, trial in, prison)
(CCA, reduce, Moore 's sentence)
(Moore, has, sentence)
(him, new trial in, prison)
(CCA, denied, Moore habeas relief)
(habeas court, has, recommendations)
(CCA, rejected, habeas court 's recommendations)
(470 S. W., 3d, 481)
(S. W., 3d, 481)
(CCA, reaffirmed At, outset of its opinion)
(CCA, reaffirmed At, outset)
(intellectual disability, is in, Texas capital cases)
(S. W., 3d at, 486-487)
(470 S. W., 3d at, 486-487)
(disability, contained predecessor in, 1992 edition of American Association)
(intellectual disability, contained predecessor in, 1992 edition of American Association on Mental Retardation)
(disability, contained predecessor in, 1992 edition of American Association on Mental Retardation)
(disability, contained, predecessor to current AAIDD-11 manual)
(intellectual disability, contained predecessor, assessing)
(disability, predecessor to, current AAIDD-11 manual)
(disability, contained predecessor in, 1992 edition)
(disability, predecessor to, AAIDD-11 manual)
(intellectual disability, contained, predecessor)
(disability, contained, predecessor to AAIDD-11 manual)
(intellectual disability, predecessor to, current AAIDD-11 manual)
(intellectual disability, predecessor to, AAIDD-11 manual)
(Briseno, adopted, definition of)
(disability, contained predecessor, assessing)
(intellectual disability, contained predecessor in, 1992 edition)
(intellectual disability, contained, predecessor to AAIDD-11 manual)
(Briseno, adopted, definition)
(disability, contained, predecessor)
(intellectual disability, contained predecessor in, 1992 edition of American Association)
(intellectual disability, contained, predecessor to current AAIDD-11 manual)
(S. W., citing, AAMR)
(S. W., citing, Mental Retardation)
(135 S. W., 3d at, 7)
(S. W., 3d at, 7)
(135 S. W., citing, Mental Retardation)
(135 S. W., citing, AAMR)
(adaptive deficits, be related to, intellectual-functioning deficits)
(AAMR-9, has, requirement)
(adaptive deficits, be related to, deficits)
(deficits, be related to, deficits)
(Briseno, incorporated, AAMR-9 's requirement)
(adaptive deficits, be, related)
(deficits, be, related)
(deficits, be related to, intellectual-functioning deficits)
(135 S. W., 3d, determine)
(defendant, satisfied, relatedness requirement)
(S. W., 3d, determine)
(Texas courts, should attend to, seven evidentiary factors)
(Texas courts, should attend to, seven factors)
(Briseno court, has, recitation of seven factors)
(135 S. W., 3d at, 8-9)
(S. W., 3d at, 8-9)
(470 S. W., 3d at, 486)
(S. W., 3d at, 486)
(appropriate ways, enforce restriction on, execution of intellectually disabled)
(appropriate ways, enforce, constitutional restriction)
(ways, enforce, constitutional restriction)
(Court, has, decision in Atkins)
(ways, enforce restriction on, execution of intellectually disabled)
(appropriate ways, enforce restriction on, execution of disabled)
(ways, enforce restriction on, execution)
(ways, enforce restriction on, execution of disabled)
(Court 's decision, is in, Atkins)
(Court 's decision, left, it)
(appropriate ways, enforce restriction on, execution)
(appropriate ways, enforce, restriction)
(ways, enforce, restriction)
(470 S. W., 3d at, 486)
(S. W., 3d at, 486)
(i t, may, even may true)
