(April 24 2017, Decided at_time, June 26 2017)
(it, right to, effective assistance of trial counsel)
(petitioner, has, rule)
(meritorious claims, receive, review)
(review, claims of, trial error)
(review, meritorious claims of, trial error)
(Martinez, has, chief concern)
(meritorious claims, receive review by, at least one state)
(claims, receive, review)
(claims, receive review by, at least one state)
(claim, will, will have addressed)
(claim, will, will have addressed by trial court)
(appellate counsel, was, required)
(counsel, was, constitutionally required)
(appellate counsel, was, constitutionally required)
(counsel, was, required)
(appellate counsel, raise, it)
(unpreserved trial error, was, so obvious)
(trial error, was, so obvious)
(trial error, was, obvious)
(unpreserved trial error, was, obvious)
(counsel, raise, it)
(prisoner, likely could invoke Martinez In, circumstance)
(prisoner, likely could invoke Coleman In, circumstance)
(Coleman, obtain, review)
(prisoner, could invoke, Martinez)
(Coleman, obtain, review of trial counsel 's failure object)
(trial counsel, of, failure object)
(prisoner, likely could invoke, Martinez)
(prisoner, could invoke Coleman In, circumstance)
(prisoner, could invoke Martinez In, circumstance)
(prisoner, likely could invoke, Coleman)
(prisoner, could invoke, Coleman)
(trial error, claim of was, assistance)
(claim, was, assistance)
(claim, was assistance of, trial counsel premised)
(claim, was assistance of, trial counsel)
(claim, was ineffective assistance of, trial counsel premised on something)
(claim, was ineffective assistance of, trial counsel)
(claim, was ineffective assistance of, trial counsel premised on something other than failure object)
(claim, was ineffective assistance of, trial counsel premised)
(claim, was, ineffective assistance)
(trial error, claim of was, ineffective assistance)
(claim, was assistance of, trial counsel premised on something)
(claim, was assistance of, trial counsel premised on something other than failure object)
(claim, was assistance of, trial counsel premised on something other)
(claim, was ineffective assistance of, trial counsel premised on something other)
(States, deliberately chose, make)
(States, chose In, Martinez)
(States, deliberately chose In, Martinez)
(States, chose, make)
(postconviction process, raising, trial-ineffectiveness claims)
(postconviction process, raising, claims)
(it, be, inequitable)
(State, had channeled, that)
(appellate-ineffectiveness claims, are, considered)
(its exception, impose, significant costs)
(Martinez decision, was, also grounded)
(Martinez decision, was also grounded on, belief)
(Martinez decision, was also grounded in, part)
(its exception, impose, costs)
(its exception, was, unlikely)
(Martinez decision, was, grounded in part on belief)
(Martinez decision, was grounded in, part)
(its narrow exception, impose, systemic costs)
(its exception, impose, systemic costs)
(Martinez decision, was grounded on, belief)
(its exception, impose, significant systemic costs)
(its narrow exception, impose, significant costs)
(its narrow exception, impose, significant systemic costs)
(Martinez decision, was, also grounded in part on belief)
(Martinez decision, was, grounded)
(its narrow exception, was, unlikely)
(its narrow exception, impose, costs)
(could flood, is with, defaulted appellate-ineffectiveness claims)
(petitioner, has, proposed extension)
(federal courts, adopting, petitioner 's extension)
(courts, adopting, petitioner 's proposed extension)
(courts, adopting, petitioner 's extension)
(federal courts, adopting, petitioner 's proposed extension)
(It, would aggravate, harm)
(It, would also aggravate, harm)
(benefit, would, would small as claims heard in federal court solely by virtue of petitioner 's rule)
(benefit, would, would small as claims heard)
(systemic benefit, would, would small as claims heard solely by virtue of petitioner 's rule)
(systemic benefit, would, would small as claims heard in federal court solely by virtue of petitioner 's proposed rule)
(benefit, would, would small as claims heard by virtue)
(systemic benefit, would, would small as claims heard in court solely by virtue)
(benefit, would, would small as claims heard in federal court)
(benefit, would, would small as claims heard in federal court solely by virtue)
(systemic benefit, would, would small as claims)
(benefit, would, would small as claims heard in court)
(benefit, would, would small as claims heard solely by virtue of petitioner 's proposed rule)
(systemic benefit, would, would small as claims heard solely by virtue of petitioner 's proposed rule)
(benefit, would, would small as claims heard in federal court by virtue of petitioner 's proposed rule)
(benefit, would, would small)
(systemic benefit, would, would small as claims heard in court by virtue)
(systemic benefit, would, would small as claims heard in court solely by virtue of petitioner 's proposed rule)
(benefit, would, would small as claims)
(benefit, would, would small as claims heard by virtue of petitioner 's proposed rule)
(benefit, would, would small as claims heard solely by virtue)
(benefit, would, would small as claims heard in federal court solely by virtue of petitioner 's proposed rule)
(systemic benefit, would, would small as claims heard)
(systemic benefit, would, would small as claims heard by virtue of petitioner 's proposed rule)
(benefit, would, would small as claims heard in federal court by virtue of petitioner 's rule)
(benefit, would, would small as claims heard in court solely by virtue of petitioner 's proposed rule)
(systemic benefit, would, would small as claims heard by virtue)
(benefit, would, would small as claims heard in court solely by virtue of petitioner 's rule)
(benefit, would, would small as claims heard in court by virtue of petitioner 's proposed rule)
(systemic benefit, would, would small as claims heard solely by virtue)
(systemic benefit, would, would small as claims heard in court)
(systemic benefit, would, would small as claims heard in federal court solely by virtue of petitioner 's rule)
(benefit, would, would small as claims heard in court solely by virtue)
(systemic benefit, would, would small as claims heard in federal court by virtue of petitioner 's proposed rule)
(systemic benefit, would, would small as claims heard in federal court solely by virtue)
(burdens, be, would severe)
(systemic benefit, would, would small as claims heard in federal court by virtue)
(petitioner, of, proposed rule)
(benefit, would, would small as claims heard solely by virtue of petitioner 's rule)
(benefit, would, would small as claims heard in court by virtue of petitioner 's rule)
(systemic benefit, would, would small as claims heard in federal court)
(systemic benefit, would, would small as claims heard in federal court by virtue of petitioner 's rule)
(systemic benefit, would, would small as claims heard in court solely by virtue of petitioner 's rule)
(systemic benefit, would, would small as claims heard in court by virtue of petitioner 's rule)
(benefit, would, would small as claims heard in court by virtue)
(benefit, would, would small as claims heard by virtue of petitioner 's rule)
(systemic benefit, would, would small as claims heard by virtue of petitioner 's rule)
(benefit, would, would small as claims heard in federal court by virtue)
(systemic benefit, would, would small)
(systemic benefit, would, would small as claims heard in court by virtue of petitioner 's proposed rule)
(Kennedy, joined, Alito)
(Thomas, delivered, opinion)
(Kennedy, joined, Gorsuch)
(opinion, is subject to, revision in print of United States Reports)
(opinion, is subject to, formal revision in preliminary print)
(opinion, is subject to, revision)
(opinion, is subject to, formal revision)
(opinion, is subject to, revision in print)
(opinion, is subject to, formal revision before publication)
(opinion, is subject to, formal revision in print of United States Reports)
(formal revision, is in, preliminary print of United States Reports)
(opinion, is subject to, revision before publication in preliminary print)
(opinion, is subject to, formal revision before publication in preliminary print)
(opinion, is subject to, formal revision before publication in print of United States Reports)
(opinion, is subject to, revision before publication)
(opinion, is subject to, formal revision in print)
(opinion, is, subject)
(opinion, is subject to, revision in preliminary print)
(opinion, is subject to, revision before publication in print)
(opinion, is subject to, formal revision in preliminary print of United States Reports)
(opinion, is subject to, revision before publication in preliminary print of United States Reports)
(opinion, is subject to, revision in preliminary print of United States Reports)
(opinion, is subject to, formal revision before publication in print)
(opinion, is subject to, revision before publication in print of United States Reports)
(opinion, is subject to, formal revision before publication in preliminary print of United States Reports)
(Readers, notify, Reporter)
(Readers, notify, Reporter of Decisions)
(Supreme Court, is in, order)
(Readers, are, requested)
(typographical formal errors, of States is, Washington)
(typographical formal errors, of States is, D. C. 20543)
(ERICK DANIEL DAVILA, PETITIONER v., LORIE DAVIS)
(LORIE DAVIS, DEPARTMENT OF, CRIMINAL JUSTICE)
(Justice Thomas, delivered, opinion of Court)
(Justice Thomas, delivered, opinion)
(reviewing, convictions from, state courts)
(courts, reviewing, convictions from state courts)
(courts, reviewing, convictions)
(state prisoner, may, may able)
(he, excuse, default)
(he, can establish, cause)
(he, suffered, actual prejudice)
(state prisoner, may, may able however)
(he, suffered prejudice from, alleged error)
(state prisoner, overcome, bar)
(he, excuse, procedural default)
(he, suffered prejudice from, error)
(he, suffered, prejudice)
(ineffective assistance, is in, proceedings)
(prisoner, constitutional right to, counsel)
(Coleman, to, general rule)
(exception, treats, assistance)
(exception, treats, ineffective assistance)
(exception, treats assistance by, prisoner 's state postconviction counsel)
(prisoner, by, state postconviction counsel)
(we, extend, exception)
(federal courts, consider, kind of claim)
(courts, consider, different kind)
(courts, consider, kind of claim)
(courts, consider, kind)
(courts, consider, different kind of claim)
(federal courts, consider, kind of defaulted claim)
(federal courts, consider, different kind of defaulted claim)
(we, allow, courts)
(we, extend exception, allow)
(federal courts, consider, different kind)
(courts, consider, different kind of defaulted claim)
(we, allow, federal courts)
(courts, consider, kind of defaulted claim)
(federal courts, consider, kind)
(we, allow, consider)
(question, is in, case)
(federal courts, consider, different kind of claim)
(We, decline, do so)
(We, decline, do)
(Annette Stevenson, at, home)
(group, gathered On, April 6 2008)
(granddaughter, has, birthday)
(group, celebrate, her granddaughter 's birthday)
(group, gathered at, Annette Stevenson 's home)
(Petitioner Erick Daniel Davila, fired, rifle)
(Petitioner Erick Daniel Davila, fired rifle at, group)
(they, were eating, cake cream)
(he, wounded, one woman)
(He, shot, her 5-year-old granddaughter Queshawn)
(he, wounded, three children)
(He, shot, her granddaughter Queshawn)
(He, shot, Annette)
(he, wounded, three other children)
(he, confessed to, killings)
(police, arrested, petitioner)
(Annette, has, son)
(Queshawn, has, father)
(he, kill, Annette 's son)
(guys, were, women)
(other guys, were, apparently women)
(other guys, were, women)
(guys, were, apparently women)
(State, indicted petitioner under, Tex.)
(State, indicted, petitioner)
(State, indicted, petitioner for capital murder)
(jury, to, request for clarification during deliberations)
(trial court, proposed In, response to jury 's request)
(trial court, instructing, jury)
(trial court, instructing jury on, intent)
(trial court, proposed In, response)
(trial court, instructing jury on, transferred intent)
(trial court, proposed In, response to jury 's request for clarification during deliberations)
(trial court, proposed In, response to jury 's request during deliberations)
(trial court, proposed In, response to jury 's request for clarification)
(jury, could find, guilty)
(he, kill, one person)
(jury, could find, guilty of murder)
(jury, killed, person)
(jury, could find, petitioner guilty)
(jury, could find Under, doctrine)
(jury, killed, different person)
(jury, instead killed, person)
(jury, instead killed, different person)
(jury, could find, petitioner guilty of murder)
(jury, could find, it determined)
(Petitioner 's counsel, objected resolution to, additional instruction)
(trial judge, submit, it)
(Petitioner, has, counsel)
(Petitioner 's counsel, objected, arguing)
(Petitioner 's counsel, objected to, additional instruction)
(Petitioner 's counsel, objected to, instruction)
(Petitioner 's counsel, objected resolution to, instruction)
(Petitioner 's counsel, objected, resolution)
(trial court, submitted instruction to, jury)
(trial court, submitted, instruction)
(trial court, overruled, objection)
(jury, convicted, petitioner)
(trial court, sentenced, petitioner)
(trial court, sentenced petitioner to, death)
(jury, convicted, petitioner of capital murder)
(Petitioner, appealed, his conviction)
(Petitioner, appealed, sentence)
(State, presented, insufficient evidence show)
(State, presented, evidence show)
(counsel, instruction about, transferred intent)
(petitioner, has, conviction)
(Texas Court, affirmed, sentence)
(Texas Court, affirmed, petitioner 's conviction)
(habeas relief, is in, Texas state court)
(Petitioner, sought, habeas relief)
(Petitioner, next sought, habeas relief)
(Petitioner, next sought, habeas relief in Texas state court)
(Petitioner, sought, habeas relief in Texas state court)
(Texas Court, denied, relief)
(Petitioner, sought, habeas relief)
(Petitioner, sought habeas relief under, 28 U. S. C. § 2254)
(Petitioner, sought habeas relief in, Federal District Court)
(he, argued As, relevant)
(his appellate counsel, provided, ineffective assistance)
(he, argued As, relevant here)
(his counsel, provided assistance, failing)
(his counsel, provided, assistance)
(his appellate counsel, provided, assistance)
(his counsel, provided, ineffective assistance)
(his appellate counsel, provided assistance, failing)
(he, raise, his claim of assistance of appellate counsel)
(he, raise, his claim of assistance in his state)
(argued, habeas, counsel 's assistance)
(he, raise, his claim of assistance of counsel in his state)
(failure, was result of, his state)
(he, raise, his claim of ineffective assistance of counsel in his state)
(counsel, has, ineffective assistance)
(he, raise, his claim of ineffective assistance)
(he, raise, his claim of assistance)
(he, raise, his claim of assistance of counsel)
(failure, was, result)
(he, raise, his claim of ineffective assistance of counsel)
(he, raise, his claim)
(argued, habeas, counsel 's ineffective assistance)
(he, raise, his claim of ineffective assistance in his state)
(ineffective assistance, is in, his state)
(he, raise, his claim of assistance of appellate counsel in his state)
(he, raise, his claim of ineffective assistance of appellate counsel)
(he, raise, his claim of ineffective assistance of appellate counsel in his state)
(attorney 's ineffective assistance, excuse, default of his claim of ineffective assistance of appellate counsel)
(attorney 's ineffective assistance, excuse, procedural default of his claim of assistance)
(attorney 's assistance, excuse, procedural default of his claim of ineffective assistance of counsel)
(attorney 's ineffective assistance, excuse, default)
(attorney 's ineffective assistance, excuse, procedural default of his claim)
(attorney 's ineffective assistance, excuse, default of his claim of assistance of appellate counsel)
(attorney 's ineffective assistance, excuse, procedural default of his claim of ineffective assistance of counsel)
(attorney 's assistance, excuse, default of his claim of ineffective assistance of appellate counsel)
(attorney 's ineffective assistance, excuse, default of his claim)
(attorney 's assistance, excuse, default of his claim of ineffective assistance)
(attorney, has, ineffective assistance)
(attorney 's assistance, excuse, default of his claim of assistance of counsel)
(Court, has, decisions in Martinez)
(attorney 's ineffective assistance, excuse, default of his claim of assistance of counsel)
(attorney 's ineffective assistance, excuse, procedural default of his claim of ineffective assistance of appellate counsel)
(attorney 's assistance, excuse, procedural default)
(attorney 's assistance, excuse, default of his claim of assistance of appellate counsel)
(attorney 's ineffective assistance, excuse, default of his claim of assistance)
(attorney 's ineffective assistance, excuse, default of his claim of ineffective assistance)
(attorney 's assistance, excuse, procedural default of his claim of assistance of appellate counsel)
(attorney 's ineffective assistance, excuse, procedural default of his claim of ineffective assistance)
(attorney 's ineffective assistance, excuse, procedural default of his claim of assistance of appellate counsel)
(Court 's decisions, is in, Martinez)
(attorney 's assistance, excuse, procedural default of his claim of ineffective assistance)
(attorney 's assistance, excuse, default of his claim of ineffective assistance of counsel)
(attorney 's assistance, excuse, procedural default of his claim of assistance of counsel)
(attorney 's ineffective assistance, excuse, procedural default of his claim of assistance of counsel)
(attorney 's ineffective assistance, excuse, default of his claim of ineffective assistance of counsel)
(attorney 's assistance, excuse, procedural default of his claim)
(attorney 's ineffective assistance, excuse, procedural default)
(Petitioner, invoked, Court 's decisions)
(attorney 's assistance, excuse, procedural default of his claim of ineffective assistance of appellate counsel)
(attorney 's assistance, excuse, procedural default of his claim of assistance)
(attorney 's assistance, excuse, default)
(attorney 's assistance, excuse, default of his claim)
(attorney 's assistance, excuse, default of his claim of assistance)
(Petitioner, invoked, Court 's decisions in Martinez)
(petitioner, has, § 2254 petition)
(District Court, denied, petitioner 's § 2254 petition)
(Trevino, excuse, procedural default of claim of ineffective assistance of appellate counsel)
(Trevino, excuse, procedural default of petitioner 's claim of ineffective assistance of appellate counsel)
(Court, denied, certificate on same ground)
(Court, denied, certificate on ground)
(Court, denied, certificate of appealability on ground)
(Court, denied, certificate)
(Court, denied, certificate of appealability)
(Court, denied, certificate of appealability on same ground)
(us, reverse Fifth Circuit on, ground)
(Trevino, be, extended to claims)
(Trevino, be, extended to claims of ineffective assistance of appellate counsel)
(Trevino, be, extended to claims of ineffective assistance)
(Trevino, be, extended to claims of assistance of appellate counsel)
(Petitioner, asking, us)
(Trevino, be, extended to claims of assistance)
(Trevino, be, extended)
(Petitioner, sought, writ)
(Trevino, be, extended to claims of assistance of counsel)
(Trevino, be, extended to claims of ineffective assistance of counsel)
(Petitioner, sought, writ of certiorari)
(us, reverse, Fifth Circuit)
(We, granted, affirm)
(We, granted, 2017)
(We, granted, certiorari)
(We, granted, 580 U. S. ___)
(We, granted, now affirm)
(Our decision, is guided by, two fundamental tenets of federal review of state convictions)
(Our decision, is guided by, two tenets of review of state convictions)
(Our decision, is guided by, two tenets of federal review)
(Our decision, is guided by, two fundamental tenets of review of state convictions)
(Our decision, is guided by, two fundamental tenets)
(Our decision, is guided by, two fundamental tenets of federal review)
(Our decision, is guided by, two tenets of federal review of state convictions)
(Our decision, is guided by, two tenets of review)
(Our decision, is, guided)
(Our decision, is guided by, two fundamental tenets of review)
(Our decision, is guided by, two tenets)
(Our decision, is in, case)
(state prisoner, First must exhaust, available state remedies)
(state prisoner, First must exhaust, state remedies)
(state prisoner, must exhaust, available state remedies)
(state prisoner, must exhaust, state remedies)
(state prisoner, presenting, his claim)
(exhaustion requirement, avoid, result of federal court)
(exhaustion requirement, avoid, result)
(exhaustion requirement, is designed without, first according state courts)
(exhaustion requirement, avoid, unseemly result of court)
(exhaustion requirement, avoid, result of court upset)
(exhaustion requirement, avoid, result of court)
(exhaustion requirement, avoid, result of federal court upset)
(exhaustion requirement, avoid, unseemly result)
(exhaustion requirement, avoid, unseemly result of federal court)
(exhaustion requirement, is designed without, first)
(exhaustion requirement, avoid, unseemly result of federal court upset)
(exhaustion requirement, is, designed)
(exhaustion requirement, avoid, unseemly result of court upset)
(This, is, important)
(claims, is in, first instance)
(state prisoner, exhaust, state remedies)
(State, has, procedural requirements presenting)
(procedural default doctrine, advances, finality)
(default doctrine, thus advances, federalism interests advanced)
(default doctrine, advances, federalism interests advanced)
(procedural default doctrine, advances, comity)
(default doctrine, advances federalism interests at, 731-732 .1)
(default doctrine, thus advances finality at, 731-732 .1)
(procedural default doctrine, thus advances finality at, 731-732 .1)
(procedural default doctrine, advances, federalism interests advanced by exhaustion doctrine)
(procedural default doctrine, thus advances, federalism interests advanced)
(default doctrine, advances, federalism interests)
(default doctrine, advances, finality)
(default doctrine, thus advances, federalism interests advanced by exhaustion doctrine)
(default doctrine, advances, comity)
(procedural default doctrine, advances comity at, 731-732 .1)
(procedural default doctrine, thus advances, federalism interests advanced by exhaustion doctrine)
(default doctrine, advances, federalism interests advanced by exhaustion doctrine)
(procedural default doctrine, thus advances federalism interests at, 731-732 .1)
(default doctrine, advances, same comity)
(procedural default doctrine, advances finality at, 731-732 .1)
(procedural default doctrine, advances, same comity)
(federalism interests, advanced by, exhaustion doctrine)
(procedural default doctrine, advances federalism interests at, 731-732 .1)
(default doctrine, thus advances federalism interests at, 731-732 .1)
(default doctrine, advances comity at, 731-732 .1)
(procedural default doctrine, thus advances, federalism interests)
(default doctrine, advances finality at, 731-732 .1)
(default doctrine, thus advances, same comity)
(procedural default doctrine, advances, federalism interests)
(default doctrine, thus advances comity at, 731-732 .1)
(procedural default doctrine, thus advances, comity)
(procedural default doctrine, thus advances comity at, 731-732 .1)
(procedural default doctrine, thus advances, finality)
(default doctrine, thus advances, comity)
(default doctrine, thus advances, finality)
(default doctrine, thus advances, federalism interests)
(procedural default doctrine, thus advances, same comity)
(procedural default doctrine, advances, federalism interests advanced)
(state prisoner, may overcome, prohibition reviewing)
(750, at Coleman is, supra)
(objective factor, impeded, counsel 's efforts comply with State 's procedural rule)
(objective factor external, impeded, counsel 's efforts comply)
(objective factor external, impeded, counsel 's efforts comply with State 's rule)
(objective factor, impeded, counsel 's efforts comply)
(objective factor, external to, defense)
(factor, impeded, counsel 's efforts comply)
(factor, impeded, counsel 's efforts comply with State 's procedural rule)
(factor external, impeded, counsel 's efforts comply with State 's procedural rule)
(factor, external to, defense)
(factor, impeded, counsel 's efforts comply with State 's rule)
(State, with, procedural rule)
(counsel, has, efforts comply with procedural rule)
(factor external, impeded, counsel 's efforts comply)
(objective factor external, impeded, counsel 's efforts comply with State 's procedural rule)
(objective factor, impeded, counsel 's efforts comply with State 's rule)
(factor external, impeded, counsel 's efforts comply with State 's rule)
(753, at Coleman is, supra)
(attorney error, is, factor)
(objective external factor, providing, cause)
(attorney error, is, objective factor)
(error, amounted to, deprivation of constitutional right)
(It, has, has rule)
(error, only amounted to, deprivation)
(error, is, objective)
(error, only amounted to, deprivation of constitutional right)
(It, has, has long rule)
(attorney error, is, objective external factor)
(error, amounted to, deprivation of constitutional right to counsel)
(error, only amounted to, deprivation of right to counsel)
(error, amounted to, deprivation of right to counsel)
(error, amounted to, deprivation)
(attorney error, is, external factor)
(error, only amounted to, deprivation of right)
(error, amounted to, deprivation of right)
(factor, providing, cause)
(objective factor, providing, cause)
(external factor, providing, cause)
(error, only amounted to, deprivation of constitutional right to counsel)
(attorney error, providing, cause)
(error, is, external)
(error amounting, is imputed to, State)
(error amounting, is, imputed)
(488, at Murray is, supra)
(754, at Coleman is, supra)
(Constitution, assistance of, counsel)
(attorney error, excuse, default)
(Constitution, right to, counsel)
(Court, announced qualification In, Martinez)
(prisoners, raise, claims of assistance of trial counsel)
(Court, announced, qualification)
(prisoners, raise claims in, collateral proceeding)
(state law, requires, prisoners)
(prisoners, raise, claims of ineffective assistance of trial counsel)
(rule, is in, Coleman)
(prisoners, raise, claims of ineffective assistance)
(prisoners, raise claims in, initial-review collateral proceeding)
(prisoners, raise, claims)
(prisoners, raise, claims of assistance)
(16, at Martinez is, 566 U. S.)
(State, has, procedural framework by reason of design)
(Court, clarified In, Trevino)
(prisoner, has, state postconviction counsel)
(court, hear, claim of assistance of counsel)
(court, hear, substantial claim of assistance of appellate counsel)
(federal court, hear, substantial claim of ineffective assistance)
(federal court, hear, substantial claim of ineffective assistance of appellate counsel)
(federal court, hear, claim of ineffective assistance)
(court, hear, substantial claim of ineffective assistance of appellate counsel)
(federal court, hear, claim of ineffective assistance of appellate counsel)
(court, hear, claim of ineffective assistance)
(federal court, hear, substantial claim of assistance)
(prisoner 's state postconviction counsel, provides assistance, failing)
(federal court, hear, claim)
(court, hear, substantial claim of ineffective assistance of counsel)
(federal court, hear, claim of assistance of appellate counsel)
(us, extend, Martinez)
(federal court, hear, claim of assistance of counsel)
(court, hear, substantial claim of assistance of counsel)
(federal court, hear, substantial claim)
(federal court, hear, claim of ineffective assistance of counsel)
(court, hear, claim of assistance of appellate counsel)
(federal court, hear, substantial claim of assistance of appellate counsel)
(court, hear, claim of ineffective assistance of counsel)
(federal court, hear, substantial claim of assistance of counsel)
(Petitioner, asks, us)
(court, hear, claim)
(federal court, hear, claim of assistance)
(court, hear, substantial claim of ineffective assistance)
(prisoner 's state postconviction counsel, provides, assistance)
(court, hear, claim of ineffective assistance of appellate counsel)
(court, hear, claim of assistance)
(prisoner 's state postconviction counsel, provides, ineffective assistance)
(court, hear, substantial claim of assistance)
(federal court, hear, substantial claim of ineffective assistance of counsel)
(us, extend Martinez, allow)
(court, hear, substantial claim)
(We, decline, do so)
(We, decline, do)
(9, at Martinez is, supra)
(state law, explicitly or forecloses, review of claim on appeal)
(state law, or effectively forecloses, review of claim on appeal)
(state law, forecloses, review)
(state law, forecloses, review of claim)
(state law, explicitly or effectively forecloses, review of claim)
(state law, or effectively forecloses, review)
(state law, forecloses, review of claim on appeal)
(state law, review of, claim on appeal)
(state law, or forecloses, review of claim)
(state law, or forecloses, review of claim on direct appeal)
(state law, explicitly or forecloses, review)
(state law, explicitly or effectively forecloses, review)
(state law, or forecloses, review)
(state law, or effectively forecloses, review of claim on direct appeal)
(state law, explicitly or effectively forecloses, review of claim on direct appeal)
(state law, or forecloses, review of claim on appeal)
(state law, forecloses, review of claim on direct appeal)
(state law, explicitly or forecloses, review of claim)
(state law, or effectively forecloses, review of claim)
(state law, explicitly or effectively forecloses, review of claim on appeal)
(state law, explicitly or forecloses, review of claim on direct appeal)
(state law, review of, claim on direct appeal)
(state law, review of, claim)
(Martinez, made In, all)
(Martinez, made, clear)
(Martinez, has, highly circumscribed equitable exception)
(Petitioner, has, primary argument)
(his claim, expanding exception to, rule in Coleman)
(his claim, expanding exception to, rule)
(rule, is in, Coleman)
(his claim, expanding, exception)
(situation, is, analogous)
(Court, was, principally concerned)
(Court, is in, Martinez)
(Court, was concerned about, trial errors)
(Court, was, concerned)
(Court, was principally concerned about, trial errors)
(petitioner, has, rule)
(allowing, is as concerning, allowing)
(allowing, is, just as concerning)
(allowing, is just as concerning, allowing)
(allowing, is concerning, allowing)
(allowing, is, concerning)
(claim, evade, review)
(allowing, is just concerning, allowing)
(allowing, is, as concerning)
(allowing, is, just concerning)
(criminal trial, enjoys, pride)
(trial, enjoys, pride)
(trial, enjoys pride in, our criminal justice system)
(criminal trial, enjoys pride in, our criminal justice system)
(trial, enjoys, pride of place)
(criminal trial, enjoys, pride of place)
(trial, enjoys pride in, our justice system)
(criminal trial, enjoys pride in, our justice system)
(Constitution, guarantees, right to criminal trial)
(Constitution, twice guarantees, right)
(Constitution, guarantees, right)
(Constitution, twice guarantees, right to trial)
(Constitution, see, Art)
(Constitution, guarantees, right to trial)
(Constitution, twice guarantees, right to criminal trial)
(6, right to, appeal)
(defendant, has, rights)
(defendant 's rights, be, determined)
(defendant 's rights, are, determined)
(stakes, are, where highest)
(stakes, are highest, it is)
(stakes, see, 318-319 1979)
(90, at Wainwright is, 433 U. S.)
(stakes, are, highest)
(stakes, see, 443 U. S. 307)
(defendant, is, adjudged)
(Moffitt, Wainwright at, 90)
(defendant, is adjudged, guilty)
(Cavazos, S. per, curiam under deferential standard of review)
(innocent defendant, is, adjudged)
(innocent defendant, is, where adjudged)
(stakes, see, Jackson)
(defendant, is, where adjudged)
(stakes, see, Virginia)
(innocent defendant, is adjudged, guilty)
