(HOLT, DEPARTMENT OF, CORRECTION)
(Smith, repudiated, method of analysis used in prior exercise cases like Wisconsin)
(Smith, repudiated, method of analysis used in prior exercise cases)
(Smith, largely repudiated, method of analysis used in free exercise cases)
(Smith, repudiated, method of analysis used in free exercise cases like Wisconsin)
(Smith, largely repudiated, method of analysis used in prior exercise cases like Wisconsin)
(Smith, largely repudiated, method of analysis used in prior free exercise cases like Wisconsin)
(Smith, largely repudiated, method of analysis used)
(Smith, repudiated, method of analysis used in free exercise cases)
(Smith, repudiated, method of analysis used in prior free exercise cases)
(Smith, largely repudiated, method)
(Smith, largely repudiated, method of analysis used in exercise cases)
(Smith, largely repudiated, method of analysis)
(Smith, largely repudiated, method of analysis used in prior exercise cases)
(Smith, repudiated, method of analysis used in prior free exercise cases like Wisconsin)
(403, at Sherbert is, supra)
(Congress, provide, protection for exercise)
(Congress, enacted RFRA Following, our decision in Smith)
(Congress, provide, greater protection)
(Congress, provide, protection)
(Congress, enacted RFRA Following, our decision)
(Congress, enacted, RFRA)
(Congress, provide, protection for religious exercise)
(Congress, provide protection, available under First Amendment)
(Congress, provide, greater protection for religious exercise)
(Congress, provide protection, available)
(Congress, provide, greater protection for exercise)
(our decision, is in, Smith)
(2, furthering, compelling governmental interest)
(2, furthering, interest)
(2, furthering, governmental interest)
(2, furthering, compelling interest)
(Congress, relied on, Section 5)
(Court, held in, City of Boerne)
(Court, held in, City)
(Congress, relied on, Section 5 of Amendment)
(RFRA, applicable to, States)
(Congress, relied, making)
(Congress, making, RFRA applicable)
(Congress, relied on, Section 5 of Fourteenth Amendment)
(Congress, making, RFRA applicable to States)
(RFRA, exceeded, Congress ' powers)
(Congress, relied on, Section 5 Amendment)
(Congress, relied on, Section 5 Fourteenth Amendment)
(Congress, responded to, City of Boerne)
(Congress, responded to, City)
(RLUIPA, concerns, two areas of government activity)
(RLUIPA, concerns, two areas)
(burden, results from, rule)
(imposition, furthering, interest)
(n o government, impose burden on, exercise of person residing to institution)
(n o government, impose burden, burden results from rule of general applicability)
(n o government, impose burden on, exercise)
(n o government, impose burden on, religious exercise of person residing to institution)
(n o government, impose burden on, exercise of person residing in)
(burden, results, government demonstrates)
(burden, results from, rule of applicability)
(n o government, impose, burden)
(n o government, impose burden on, exercise of person)
(n o government, impose burden on, exercise of person residing in to institution)
(imposition, furthering, compelling interest)
(imposition, furthering, governmental interest)
(n o government, impose burden, burden results from rule of applicability)
(n o government, impose burden on, exercise of person residing)
(Section 3, mirrors, RFRA)
(n o government, impose burden, burden results from rule)
(burden, results from, rule of general applicability)
(imposition, furthering, compelling governmental interest)
(n o government, impose burden on, religious exercise of person)
(n o government, impose burden on, religious exercise)
(n o government, impose burden, burden results)
(Section, mirrors, RFRA)
(n o government, impose burden on, religious exercise of person residing in to institution)
(n o government, impose burden on, religious exercise of person residing)
(n o government, impose, substantial burden)
(n o government, impose burden on, religious exercise of person residing in)
(RLUIPA, seek accommodations, set)
(RLUIPA, allows, prisoners)
(RLUIPA, seek accommodations, set forth)
(RLUIPA, seek accommodations, set in RFRA)
(RLUIPA, thus allows, prisoners)
(RLUIPA, seek accommodations, set forth in RFRA)
(RLUIPA, seek, religious accommodations)
(RLUIPA, seek, accommodations)
(Gonzales, do, Vegetal 546 U. S. 418 436 2006)
(Gonzales, do, 546 U. S. 418 436 2006)
(provisions, underscore, its protection)
(Several provisions, underscore, its protection)
(Several provisions, underscore, its protection for religious liberty)
(provisions, underscore, its protection for religious liberty)
(provisions, underscore, its expansive protection for religious liberty)
(provisions, underscore, its expansive protection)
(provisions, underscore, its protection for liberty)
(Several provisions, underscore, its expansive protection)
(Several provisions, underscore, its expansive protection for liberty)
(Several provisions, underscore, its protection for liberty)
(Several provisions, underscore, its expansive protection for religious liberty)
(provisions, underscore, its expansive protection for liberty)
(Congress, defined, exercise)
(Congress, defined, religious exercise)
(concept, be construed in, favor of broad protection)
(concept, be, construed in favor of protection of religious exercise to maximum extent permitted)
(concept, be, construed in favor of protection to maximum extent)
(concept, be, construed in favor of protection of religious exercise to maximum extent)
(concept, be construed in, favor of protection of religious exercise)
(concept, be construed in, favor of broad protection of exercise)
(concept, be, construed in favor of broad protection of religious exercise to maximum extent)
(concept, be, construed in favor of broad protection to maximum extent)
(concept, be, construed in favor to maximum extent permitted)
(concept, be, construed in favor of protection of religious exercise to maximum extent permitted by terms)
(concept, be, construed in favor of broad protection to maximum extent permitted)
(concept, be construed in, favor)
(concept, be, construed in favor of broad protection of exercise to maximum extent permitted by terms of chapter)
(concept, be, construed in favor to maximum extent permitted by terms)
(concept, be, construed in favor of protection to maximum extent permitted by terms of chapter)
(concept, be, construed in favor of broad protection to maximum extent permitted by terms of chapter)
(concept, be, construed in favor of broad protection of exercise to maximum extent)
(concept, be, construed in favor to maximum extent)
(concept, be construed in, favor of protection)
(concept, be, construed)
(concept, be, construed in favor of protection of exercise to maximum extent permitted)
(concept, be construed in, favor of broad protection of religious exercise)
(concept, be construed to, maximum extent permitted by terms)
(concept, be, construed in favor of broad protection of religious exercise to maximum extent permitted by terms of chapter)
(concept, be construed to, maximum extent permitted)
(concept, be, construed in favor of protection to maximum extent permitted by terms)
(concept, be, construed in favor of broad protection of exercise to maximum extent permitted)
(concept, be construed in, favor of protection of exercise)
(concept, be, construed in favor of broad protection to maximum extent permitted by terms)
(concept, be, construed in favor of broad protection of religious exercise to maximum extent permitted)
(concept, be construed to, maximum extent)
(concept, be, construed in favor of protection to maximum extent permitted)
(concept, be, construed in favor of protection of religious exercise to maximum extent permitted by terms of chapter)
(concept, be, construed in favor of broad protection of religious exercise to maximum extent permitted by terms)
(concept, be, construed in favor to maximum extent permitted by terms of chapter)
(concept, be, construed in favor of broad protection of exercise to maximum extent permitted by terms)
(concept, be, construed in favor of protection of exercise to maximum extent permitted by terms of chapter)
(concept, be construed to, maximum extent permitted by terms of chapter)
(concept, be, construed in favor of protection of exercise to maximum extent permitted by terms)
(concept, be, construed in favor of protection of exercise to maximum extent)
(government, incur expenses in, its own operations)
(government, incur expenses, avoid)
(RLUIPA, require, government)
(government, incur, expenses)
(government, incur expenses in, its operations)
(Petitioner, is in, custody)
(he, objects on, religious grounds)
(n o inmates, wear, facial hair other)
(Petitioner, is in, custody of Arkansas Department)
(n o inmates, wear, hair)
(n o inmates, wear, facial hair)
(n o inmates, be, permitted)
(Department, to, grooming policy)
(he, objects on, grounds)
(n o inmates, wear, hair other)
(prisoners, is with, medical needs)
(facial hair, inmates with, diagnosed problem)
(hair, inmates with, diagnosed problem)
(it, exemption for, prisoners with medical needs)
(hair, inmates with, dermatological problem)
(inmates, is with, diagnosed dermatological problem)
(it, does contain, exemption)
(it, does contain, exemption for prisoners with needs)
(it, does contain, exemption for prisoners with medical needs)
(it, exemption for, prisoners with needs)
(hair, inmates with, diagnosed dermatological problem)
(facial hair, inmates with, dermatological problem)
(it, does contain, exemption for prisoners)
(it, exemption for, prisoners)
(facial hair, inmates with, diagnosed dermatological problem)
(hair, inmates with, problem)
(facial hair, inmates with, problem)
(permission, grow, beard)
(Petitioner, sought, permission grow)
(you, choose, disobey)
(warden, told, him)
(you, can suffer, consequences)
(p. 6, Letter from, Gaylon Lay)
(p. 6, Letter to, Gregory Holt)
(pro complaint, is in, Federal District Court)
(Petitioner, filed, pro complaint in Federal District Court)
(complaint, challenging, grooming policy)
(pro complaint, challenging policy under, RLUIPA)
(pro complaint, challenging, policy)
(complaint, challenging, policy)
(pro complaint, challenging, grooming policy)
(Petitioner, filed, pro complaint)
(Petitioner, filed, complaint)
(Petitioner, filed, complaint in Federal District Court)
(complaint, challenging policy under, RLUIPA)
(We, refer collectively to, respondent prison officials)
(We, refer as, Department)
(We, refer collectively as, Department)
(We, refer to, respondent prison officials)
(District Court, granted, petitioner)
(District Court, granted injunction In, October 2011)
(District Court, remanded for, hearing)
(District Court, remanded for, evidentiary hearing)
(District Court, granted, injunction)
(District Court, remanded to, Magistrate Judge)
(District Court, granted, preliminary injunction)
(Department, called, two witnesses)
(Department, called At, hearing)
(inmates, hide in, contraband)
(Both, expressed, belief)
(inmates, hide in even, contraband)
(inmates, hide, contraband)
(Gaylon Lay, warden of, petitioner 's prison-testified)
(problems, taking, photograph)
(problems, taking photograph without, practice)
(problems, taking photograph without, practice followed in other prison systems)
(problems, taking, photograph of inmate)
(problems, taking photograph without, practice followed)
(problems, taking photograph without, beard)
(problems, taking photograph without, practice followed in prison systems)
(Lay, voiced, concern)
(prisoner, of, beard)
(Department, be, unable)
(Department, monitor, length)
(Department, kept, track of length)
(Department, monitor, length of prisoner 's beard)
(Department, kept, track)
(Department, kept, track of length of beards)
(petitioner, had beard As, result)
(I, look at, your particular circumstance)
(petitioner, had beard As, result of injunction)
(petitioner, had beard As, result of preliminary injunction)
(Magistrate Judge, commented, I look at your particular circumstance)
(I, look at, your circumstance)
(Magistrate Judge, commented, I look)
(Magistrate Judge, commented, I look at your circumstance)
(petitioner, had beard at, time of hearing)
(petitioner, had, beard)
(petitioner, had beard at, time)
(injunction, be, vacated)
(preliminary injunction, be, vacated)
(petitioner 's complaint, be, dismissed)
(petitioner 's complaint, be dismissed for, failure state)
(petitioner, has, complaint)
(prison officials, are entitled id. to, deference)
(prison officials, are, entitled)
(prison officials, are, entitled to deference at 168)
(prison officials, are entitled id. at, 168)
(prison officials, are, entitled to deference id. at 168)
(petitioner, exercise, his religion)
(prison officials, are, entitled id.)
(prison officials, are entitled to, deference)
(prison officials, are entitled at, 168)
(District Court, adopted, Magistrate Judge 's recommendation)
(Magistrate Judge, has, recommendation)
(courts, ordinarily defer to, judgment)
(courts, ordinarily defer, is substantial evidence)
(courts, ordinarily defer to, expert judgment in security matters)
(courts, ordinarily defer to, expert judgment)
(courts, defer to, expert judgment)
(courts, defer to, judgment in security matters)
(prison, has, response)
(courts, defer to, expert judgment in security matters)
(prison 's response, is, exaggerated)
(courts, ordinarily defer, is evidence)
(expert judgment, is in, security matters)
(courts, defer to, judgment)
(courts, defer, is substantial evidence)
(courts, ordinarily defer to, judgment in security matters)
(courts, defer, is evidence)
(other prisons, allow, inmates)
(inmates, maintain, hair)
(inmates, maintain, facial hair)
(prisons, allow, inmates)
(we, granted, 571 U. S. ___)
(petitioner, of, petition for writ of certiorari)
(we, granted, certiorari)
(We, entered, injunction)
(Department 's grooming policy, implicates, his exercise)
(Department, has, grooming policy)
(petitioner, bore, burden proving)
(Department 's policy, implicates, his religious exercise)
(Department 's policy, implicates, his exercise)
(petitioner, bore, initial burden proving)
(Department 's grooming policy, implicates, his religious exercise)
(prisoner, has, request for accommodation)
(RLUIPA, protects, exercise of religion)
(Department, sincerity of, belief)
(Department, sincerity of, petitioner 's belief)
(Department 's policy, substantially burdened, that)
(relevant exercise, is grounded in, sincerely held belief)
(Department, has, grooming policy)
(exercise, is grounded in, held religious belief)
(relevant exercise, is grounded in, belief)
(exercise, is grounded in, sincerely held belief)
(exercise, is grounded in, sincerely held religious belief)
(relevant exercise, is grounded in, held religious belief)
(exercise, is, grounded)
(exercise, is grounded in, belief)
(Department 's grooming policy, burdened, that)
(exercise, is grounded in, religious belief)
(relevant exercise, is, grounded)
(exercise, is grounded in, held belief)
(relevant exercise, is grounded in, religious belief)
(Department 's policy, burdened, that)
(relevant exercise, is grounded in, held belief)
(relevant exercise, is grounded in, sincerely held religious belief)
(Department 's grooming policy, substantially burdened, that)
(Petitioner, satisfied, obligation)
(Petitioner, easily satisfied, obligation)
(Department 's grooming policy, requires, petitioner)
(Department, has, grooming policy)
(Department 's policy, requires, petitioner)
(petitioner, shave, his beard)
(he, face, serious disciplinary action)
(he, face, action)
(he, face, serious action)
(he, face, disciplinary action)
(it, substantially burdens, his exercise)
(grooming policy, puts, petitioner)
(policy, puts, petitioner)
(policy, puts petitioner to, choice)
(grooming policy, puts petitioner to, choice)
(it, burdens, his exercise)
(it, substantially burdens, his religious exercise)
(it, burdens, his religious exercise)
(its reasoning, misunderstood, analysis)
(District Court, reached, opposite conclusion)
(District Court, reached, conclusion)
(he, correspond with, religious advisor)
(required diet, observe, religious holidays)
(he, was, allowed)
(he, was, allowed)
(he, correspond with, advisor)
(diet, observe, religious holidays)
(diet, observe, holidays)
(required diet, observe, holidays)
(he, was allowed, correspond)
(District Court, taking, approach)
(District Court, imported, strand of reasoning)
(District Court, imported, strand)
(District Court, improperly imported, strand)
(District Court, improperly imported, strand of reasoning)
(District Court, imported strand from, cases)
(District Court, improperly imported strand from, cases)
(availability, is relevant consideration Under, cases)
(availability, is, consideration)
(availability, is, relevant)
(RLUIPA, provides, greater protection)
(availability, is consideration Under, cases)
(availability, is, relevant consideration)
(RLUIPA, provides, protection)
(government, burdened, religious exercise)
(RLUIPA, has, substantial burden inquiry)
(government, substantially burdened, exercise)
(government, burdened, exercise)
(government, substantially burdened, religious exercise)
(attempt, even proved, unsuccessful)
(District Court, Second committed error, suggesting)
(his religion, would credit, him)
(his religion, attempting, attempt proved)
(District Court, Second committed, error)
(District Court, committed, error)
(attempt, proved, unsuccessful)
(District Court, committed, similar error)
(petitioner, according to, testimony)
(burden, was, slight)
(District Court, Second committed, similar error)
(District Court, committed error, suggesting)
(petitioner, on, religious exercise)
(his religion, attempting, even attempt proved)
(RLUIPA, applies to, exercise)
(RLUIPA, applies regardless to, exercise)
(RLUIPA, however applies to, exercise of religion)
(RLUIPA, however applies to, exercise)
(RLUIPA, however applies regardless to, exercise of religion)
(RLUIPA, however applies regardless to, exercise)
(RLUIPA, applies regardless to, exercise of religion)
(RLUIPA, applies to, exercise of religion)
(petitioner, on, testimony)
(Petitioner, has, belief)
(hadith, are widely followed by, Muslims across various schools of Islam)
(hadith, are followed by, Muslims across schools of Islam)
(hadith, are followed by, Muslims across various schools)
(hadith, are followed by, observant Muslims across schools of Islam)
(hadith, are followed by, observant Muslims across various schools of Islam)
(hadith, are widely followed by, observant Muslims across various schools)
(hadith, are widely followed by, observant Muslims)
(hadith, are followed by, observant Muslims across schools)
(hadith, are widely followed by, Muslims across schools)
(hadith, are widely followed by, observant Muslims across various schools of Islam)
(hadith, are, widely followed)
(hadith, are followed by, observant Muslims)
(hadith, are widely followed by, Muslims across schools of Islam)
(hadith, are widely followed by, observant Muslims across schools)
(hadith, are, followed)
(hadith, are followed by, Muslims across schools)
(hadith, are followed by, observant Muslims across various schools)
(hadith, are followed by, Muslims across various schools of Islam)
(hadith, are followed by, Muslims)
(hadith, are widely followed by, observant Muslims across schools of Islam)
(hadith, requiring, beards)
(hadith, are widely followed by, Muslims)
(hadith, are widely followed by, Muslims across various schools)
(Department 's grooming policy, burdened, his exercise of religion)
(Department, has, grooming policy)
(Department 's policy, burdened, his exercise of religion)
(Department 's grooming policy, burdened, his exercise)
(Department 's grooming policy, substantially burdened, his exercise)
(burden, shifted to, Department)
(Department 's policy, burdened, his exercise)
(petitioner, met, his burden showing)
(petitioner, grow, 2-inch beard)
(Department 's grooming policy, substantially burdened, his exercise of religion)
(Department 's policy, substantially burdened, his exercise of religion)
(burden, shifted, show)
(Department 's policy, substantially burdened, his exercise)
(Department 's compelling interest, is in, prison safety)
(Department 's interest, see, Hobby Lobby)
(Department, has, compelling interest in prison safety)
(compelling interest test, is satisfied through, application of challenged law)
(compelling interest test, is, satisfied)
(interest test, is satisfied through, application of law)
(interest test, is satisfied through, application of challenged law to person)
(exercise, is, is burdened)
