(November 2 2015, Decided at_time, May 23 2016)
(Garrett 's name, appeared on, prosecution 's list)
(explanation, is contradicted by, evidence)
(explanation, is, contradicted)
(prosecution, gave for, striking Garrett)
(prosecution, gave for, Garrett)
(defense, asked, Garrett multiple questions on topic)
(State, told, trial court)
(record, reveals For, example)
(defense, asked, Garrett questions on topic)
(State, gave, other justifications)
(State, other justifications for, striking Garrett)
(State, gave, other justifications for striking Garrett)
(State, gave, other facially reasonable justifications)
(State, reasonable justifications for, striking Garrett)
(State, reasonable justifications for, Garrett)
(State, gave, justifications)
(State, other facially reasonable justifications for, Garrett)
(State, gave, other facially reasonable justifications for striking Garrett)
(State, other justifications for, Garrett)
(State, gave, other reasonable justifications)
(State, gave, other reasonable justifications for striking Garrett)
(State, gave, facially reasonable justifications for striking Garrett)
(State, because of, willingness accept with same characteristics)
(State, justifications for, Garrett)
(State, gave, other facially reasonable justifications for Garrett)
(State, other reasonable justifications for, Garrett)
(State, gave, facially reasonable justifications for Garrett)
(State, gave, reasonable justifications for Garrett)
(State, gave, other reasonable justifications for Garrett)
(State, other facially reasonable justifications for, striking Garrett)
(State, facially reasonable justifications for, Garrett)
(State, other reasonable justifications for, striking Garrett)
(State, facially reasonable justifications for, striking Garrett)
(State, gave, justifications for striking Garrett)
(State, gave, facially reasonable justifications)
(State, justifications for, striking Garrett)
(State, gave, justifications for Garrett)
(State, gave, reasonable justifications)
(State, gave, other justifications for Garrett)
(State, gave, reasonable justifications for striking Garrett)
(prosecution, claims For, example)
(record, similarly undermines justifications With regard to, prospective juror Hood)
(record, similarly undermines, justifications proffered)
(record, similarly undermines, justifications proffered by State)
(record, undermines justifications With regard to, prospective juror Hood)
(record, undermines, justifications proffered by State)
(record, undermines, justifications proffered)
(record, undermines justifications to, trial court)
(record, undermines justifications to, trial court for strike)
(record, similarly undermines justifications to, trial court for strike)
(justifications, proffered by, State)
(record, undermines, justifications)
(record, similarly undermines, justifications)
(record, undermines justifications With regard to, juror Hood)
(record, similarly undermines justifications With regard to, juror Hood)
(record, similarly undermines justifications to, trial court)
(his son, was, age)
(its only concern, is with, Hood)
(prosecution, alleged For, example)
(his son, was, same age)
(its only concern, was, fact)
(prosecution, alleged in, response to Foster 's Batson challenge)
(his son, was age as, defendant)
(prosecution, alleged in, response)
(prosecution, alleged in, response to Foster 's pretrial Batson challenge)
(his son, was same age as, defendant)
(Foster, to, pretrial Batson challenge)
(its concern, was, fact)
(Hood 's membership, is in, Church of Christ)
(Hood, with, membership in Church of Christ)
(State, told court at, subsequent hearing)
(State, told, court)
(State, told court at, hearing)
(prosecution, allowed, prospective jurors)
(Hood, of, son)
(prosecution, allowed, white prospective jurors)
(prosecution, allowed with, sons)
(prosecution, allowed, white jurors)
(prosecution, allowed jurors with, sons of age)
(prosecution, allowed jurors with, sons)
(prosecution, allowed As to, age)
(prosecution, allowed jurors As to, age)
(prosecution, allowed As to, age of Hood 's son)
(prosecution, allowed jurors As to, age of Hood 's son)
(prosecution, allowed, jurors)
(prosecution, allowed with, sons of similar age)
(prosecution, allowed with, sons of age)
(prosecution, allowed, serve)
(Foster, has, age)
(prosecution, allowed jurors with, sons of similar age)
(prosecution, erroneously claimed as to, Hood 's religion)
(prosecution, claimed as to, Hood 's religion)
(Hood, as to, religion)
(document, Moreover contains, handwritten note)
(document, acquired from, State file)
(document, contains, note)
(document, Moreover contains, note)
(State, from, file)
(document, contains, handwritten note)
(justifications, withstand, scrutiny)
(Other justifications, withstand, scrutiny)
(prosecutor, has, reasons striking)
(evidence, is compelling along with, prosecution 's explanations)
(evidence, is compelling with respect to, Garrett)
(prosecution, along with, shifting explanations)
(striking, was, motivated)
(evidence, is compelling along with, prosecution 's shifting explanations)
(striking, was, motivated in part by discriminatory intent)
(striking, was, motivated in part by intent)
(striking, was motivated by, intent)
(striking, was, motivated in substantial part by discriminatory intent)
(evidence, is, compelling)
(striking, was motivated in, part)
(striking, was motivated by, discriminatory intent)
(striking, was motivated in, substantial part)
(striking, was, motivated in substantial part by intent)
(485, at Snyder is, 552 U. S.)
(State, asserts, decided months)
(State, asserts, decided only months before Foster 's trial)
(Batson, was decided at_time, only months)
(Foster, before, trial)
(focus, is in, prosecution 's file)
(Batson, was decided at_time, only months before Foster 's trial)
(State, asserts, decided only months)
(State, asserts, decided months before Foster 's trial)
(Batson, was decided at_time, months)
(prosecution, in, file)
(Batson, was decided at_time, months before Foster 's trial)
(Batson, was, decided)
(State, asserts, decided)
(Foster, since, trial)
(246, at Miller-El is, 545 U. S.)
(prosecution, in, file)
(race, is in, prosecution 's file)
(ROBERTS, delivered, opinion)
(ALITO, filed opinion concurring in, judgment)
(ALITO, filed, opinion concurring)
(THOMAS, filed, opinion)
(THOMAS, filed, dissenting opinion)
(opinion, is subject to, revision in print of United States Reports)
(opinion, is subject to, formal revision in preliminary print)
(opinion, is subject to, revision)
(opinion, is subject to, formal revision)
(opinion, is subject to, revision in print)
(opinion, is subject to, formal revision before publication)
(opinion, is subject to, formal revision in print of United States Reports)
(formal revision, is in, preliminary print of United States Reports)
(opinion, is subject to, revision before publication in preliminary print)
(opinion, is subject to, formal revision before publication in preliminary print)
(opinion, is subject to, formal revision before publication in print of United States Reports)
(opinion, is subject to, revision before publication)
(opinion, is subject to, formal revision in print)
(opinion, is, subject)
(opinion, is subject to, revision in preliminary print)
(opinion, is subject to, revision before publication in print)
(opinion, is subject to, formal revision in preliminary print of United States Reports)
(opinion, is subject to, revision before publication in preliminary print of United States Reports)
(opinion, is subject to, revision in preliminary print of United States Reports)
(opinion, is subject to, formal revision before publication in print)
(opinion, is subject to, revision before publication in print of United States Reports)
(opinion, is subject to, formal revision before publication in preliminary print of United States Reports)
(Readers, notify, Reporter)
(Readers, notify, Reporter of Decisions)
(Supreme Court, is in, order)
(Readers, are, requested)
(typographical formal errors, of States is, Washington)
(typographical formal errors, of States is, D. C. 20543)
(TIMOTHY TYRONE FOSTER, PETITIONER v., BRUCE CHATMAN)
(JUSTICE ROBERTS, delivered, opinion of Court)
(CHIEF JUSTICE ROBERTS, delivered, opinion of Court)
(CHIEF JUSTICE ROBERTS, delivered, opinion)
(JUSTICE ROBERTS, delivered, opinion)
(Petitioner Timothy Foster, was convicted of, capital murder)
(Petitioner Timothy Foster, was, convicted)
(Petitioner Timothy Foster, sentenced to, death)
(Petitioner Timothy Foster, sentenced in, Georgia court)
(State, has, use of strikes)
(State 's use, was motivated in, violation of our decision)
(State 's use, was motivated in, violation of our decision in Batson)
(State 's use, was motivated in, violation)
(State 's use, was racially motivated in, violation)
(our decision, is in, Batson)
(State 's use, was, racially motivated)
(State 's use, was racially motivated in, violation of our decision)
(State 's use, was, motivated)
(State 's use, was racially motivated in, violation of our decision in Batson)
(Georgia Supreme Court, rejected, Foster 's Batson claim)
(trial court, rejected, Foster 's Batson claim)
(Foster, has, Batson claim)
(Foster, sought writ from, Superior Court of Butts County)
(Foster, sought, writ of habeas corpus)
(Foster, sought writ from, Superior Court)
(writ, renewing, his Batson objection)
(Foster, sought, writ)
(court, denied, relief)
(Georgia Supreme Court, issue, Certificate of Probable Cause necessary)
(Georgia Supreme Court, issue, Certificate necessary)
(Georgia Supreme Court, issue, Certificate of Probable Cause)
(Georgia Supreme Court, issue, Certificate)
(We, granted, certiorari)
(police, found On, morning of August 28 1986)
(police, found, Queen Madge White dead on floor in Rome)
(police, found, Queen Madge White dead in Rome)
(Queen Madge White, dead in, Rome)
(police, found On, morning)
(police, found, Queen Madge White dead on floor)
(police, found, Queen Madge White dead)
(Queen Madge White, dead on, floor of her home)
(police, found, Queen Madge White dead on floor of her home in Rome)
(Queen Madge White, dead on, floor)
(Queen Madge White, dead in, Georgia)
(police, found, Queen Madge White dead on floor of her home)
(White, had, had beaten)
(White, strangled to, death)
(Her home, had, had burglarized)
(White, has, possessions)
(Foster, from, home)
(Foster, from, two sisters)
(White 's possessions, were, recovered from Foster 's home from Foster 's two sisters)
(White 's possessions, were recovered from, Foster 's two sisters)
(Timothy Foster, killing, White)
(White 's possessions, were recovered from, Foster 's home)
(White 's possessions, were, recovered)
(State, indicted Foster on, charges)
(State, indicted Foster on, charges of malice murder)
(State, indicted, Foster)
(He, faced, death penalty)
(S. E., 2d, 1988)
(374 S. E., 2d, 1988)
(District Attorney Stephen Lanier, represented, State)
(Assistant District Attorney Douglas Pullen, represented State at, trial)
(Assistant District Attorney Douglas Pullen, represented, State)
(District Attorney Stephen Lanier, represented State at, trial)
(Jury selection, proceeded in, two phases)
(trial court, conducted, juror-by-juror voir dire of approximately 90 jurors)
(trial court, conducted, voir dire of approximately 90 jurors)
(trial court, conducted, juror-by-juror voir dire of approximately 90 prospective jurors)
(trial court, conducted, voir dire)
(trial court, conducted, juror-by-juror voir dire)
(trial court, conducted, voir dire of approximately 90 prospective jurors)
(jurors, lodge, challenges for cause)
(lodge, challenges for, cause)
(prospective jurors, lodge, challenges)
(prospective jurors, lodge, challenges for cause)
(jurors, lodge, challenges)
(phase, whittled list down, down 42 qualified jurors)
(first phase, whittled list down, down 42 prospective jurors)
(phase, whittled list down, down 42 prospective jurors)
(first phase, whittled list down, down 42 qualified prospective jurors)
(first phase, whittled list down, down 42 qualified jurors)
(phase, whittled list down, down 42 jurors)
(first phase, whittled list down, down 42 jurors)
(phase, whittled, list)
(phase, whittled list down, down 42 qualified prospective jurors)
(first phase, whittled, list)
(Five, were, black)
(prosecution, had, ten strikes)
(prosecution, had, ten such strikes)
(process, worked, follows)
(State, strike, prospective juror)
(State, strike, particular prospective juror)
(State, strike, particular juror)
(Foster, had, opportunity do)
(State, strike, juror)
(Foster, had, opportunity do so)
(phase, continued, had accepted)
(12 jurors, had, had accepted)
(jurors, had, had accepted)
(second phase, continued, had accepted)
(court, removed Powell for, cause)
(court, removed, Powell)
(court, removed for, cause)
(State, exercised, nine its ten peremptory strikes)
(State, exercised, nine of its ten allotted peremptory strikes)
(State, exercised, nine its ten allotted strikes)
(State, exercised, nine of its ten peremptory strikes)
(State, exercised, nine of its ten strikes)
(State, exercised, nine its ten allotted peremptory strikes)
(State, exercised, nine its ten strikes)
(State, exercised, nine of its ten allotted strikes)
(Foster, immediately lodged, Batson challenge)
(Foster, lodged, Batson challenge)
(trial court, rejected, objection)
(trial court, empaneled, jury)
(jury, sentenced, him)
(jury, convicted, Foster)
(Foster, renewed, his Batson claim)
(trial court, denied motion After, evidentiary hearing)
(trial court, denied motion After, hearing)
(trial court, denied, motion)
(we, denied, Foster)
(S. E., 2d at, 197)
(we, denied, Georgia)
(we, denied, 490 U. S. 1085)
(374 S. E., 2d at, 197)
(we, denied, certiorari)
(we, denied, 1989)
(Foster, sought, writ of habeas corpus)
(Foster, sought writ from, Superior Court of Butts County)
(Foster, subsequently sought, writ)
(writ, pressing, his Batson claim)
(Foster, sought writ from, Superior Court)
(Foster, subsequently sought, writ of habeas corpus)
(Foster, subsequently sought writ from, Superior Court)
(Foster, sought, writ)
(writ, again pressing, his Batson claim)
(Foster, subsequently sought writ from, Superior Court of Butts County)
(proceeding, was, pending)
(§ § 50-18-70, seeking, access)
(§ § 50-18-70, seeking, access to State 's file)
(§ § 50-18-70, seeking, access to State 's file from his 1987 trial)
(seeking, access to, State 's file)
(State, to, file)
(seeking, access from, his 1987 trial)
(§ § 50-18-70, seeking, access from his 1987 trial)
(State, disclosed, documents related to jury selection at trial)
(documents, related to, jury selection at trial)
(State, disclosed documents In, response)
(State, disclosed, documents related to jury selection)
(documents, related to, jury selection)
(State, disclosed, documents)
(State, disclosed, documents related)
(court, admitted, documents)
(State, Over, objections)
(state, habeas Over, State 's objections)
(court, admitted into, evidence)
(court, admitted documents into, evidence)
(They, included, following)
(names, were, On copy highlighted in green)
(names, were, On copy highlighted in bright green)
(names, were highlighted On, copy)
(legend, is in, upper right corner of lists)
(green highlighting, represents, Blacks)
(highlighting, represents, Blacks)
(letter B, appeared next to, name)
(letter B, also appeared next to, name)
(letter B, appeared next to, black prospective juror 's name)
(black prospective juror, next to, name)
(letter B, also appeared next to, black prospective juror 's name)
(highlighted venire lists, were circulated According to, testimony of Clayton Lundy)
(venire lists, were circulated in, district attorney 's office)
(venire lists, were circulated According to, testimony)
(highlighted venire lists, were circulated According to, testimony)
(venire lists, were, circulated)
(venire lists, were circulated According to, testimony of Clayton Lundy)
(highlighted venire lists, were, circulated)
(highlighted venire lists, were circulated during, jury selection)
(venire lists, were, circulated in district attorney 's office during jury selection)
(district attorney, in, office)
(highlighted venire lists, were circulated in, district attorney 's office)
(highlighted venire lists, were, circulated in district attorney 's office during jury selection)
(venire lists, were circulated during, jury selection)
(everybody, is in, office)
(Lanier, at, request)
(Foster, to, motion for new trial)
(detailed Lundy, has, views on ten black prospective jurors stating)
(Lundy, had written Under, name)
(one, might, might okay)
(it, comes down, having)
(it, comes, having)
(This, is, solely my opinion)
(we, had Upon, picking)
(we, had, pick)
(we, had Upon, picking of jury)
(we, had, we had)
(crossed-out language, version of, affidavit)
(crossed-out language, version of, affidavit filed)
(crossed-out language, version of, affidavit filed with trial court)
(redactions, had, had done)
(redactions, had, had done by Lanier)
(Annotations, denoted, individuals)
(Mr. Foster, in, case)
(jury, is in, Mr. Foster 's case)
(It, included, Ns)
(Lundy, told, state)
(file, included, version with markings)
(file, included, version of same list with markings)
(file, also included, version of list with markings)
(file, also included, version of same list with markings)
(file, also included, version of list)
(file, included, version)
(file, also included, handwritten version with markings)
(file, included, handwritten version with markings)
(file, included, handwritten version of same list with markings)
(file, included, version of list with markings)
(file, also included, handwritten version of list with markings)
(file, included, handwritten version)
(file, included, handwritten version of list with markings)
(file, included, version of list with same markings)
(handwritten version, is with, same markings)
(file, also included, handwritten version of same list with markings)
(file, included, version of list)
(file, included, handwritten version of list with same markings)
(file, also included, handwritten version of same list)
(file, also included, handwritten version of list)
(file, also included, handwritten version of list with same markings)
(file, included, version of same list)
(file, also included, version)
(file, also included, version with same markings)
(file, included, handwritten version of list)
(file, also included, handwritten version)
(file, included, handwritten version of same list)
(file, included, handwritten version with same markings)
(file, also included, version with markings)
(file, included, handwritten version of same list with same markings)
(file, also included, version of list with same markings)
(file, also included, handwritten version of same list with same markings)
(file, included, version of same list with same markings)
(file, included, version with same markings)
(file, also included, handwritten version with same markings)
(file, also included, version of same list with same markings)
(file, also included, version of same list)
(he, was, unsure)
(first five, were those of, five qualified jurors)
(first five, were those of, five qualified black prospective jurors)
(first five, were those of, five black prospective jurors)
(first five, were those of, five qualified black jurors)
(first five, were those of, five black jurors)
(first five, were those of, five qualified prospective jurors)
(first five, were those of, five jurors)
(first five, were those of, five prospective jurors)
(first five, were, those)
(preparation, is in, jury selection)
(juror, has, response indicating)
(State, introduced, short affidavits)
(State, introduced, short affidavits from Lanier)
(State, introduced, affidavits)
(State, introduced affidavits In, response to admission of evidence)
(State, introduced affidavits In, response)
(State, introduced, affidavits from Lanier)
(State, introduced affidavits In, response to admission)
(Lanier, has, affidavit)
(It, was practice, highlight)
(common practice, is in, office)
(It, was common practice, highlight)
(It, was, common practice in office highlight)
(It, was, practice in office highlight)
(I, make, green highlighted marks)
(I, reaffirm, my testimony made)
(I, reaffirm, my testimony made during motion)
(I, reaffirm, my testimony)
(Pullen, has, affidavit)
(Pullen, testified in, habeas proceeding)
(court, denied, relief)
(state, considering, evidence)
(Foster, has, Batson claim)
(it, mak findings on, claim)
(it, mak, findings of fact of law)
(it, mak, findings)
(it, mak, findings of fact)
(Foster, has, renewed Batson claim)
(it, referred as, Batson analysis)
(he, demonstrate, purposeful discrimination)
(Foster 's Batson claim, is without, merit)
(he, demonstrate, discrimination)
(Foster 's renewed Batson claim, is without, merit)
(Foster, Certificate of, Probable Cause)
(Georgia Supreme Court, denied, Foster)
(Foster, Certificate necessary of, Probable Cause)
(We, granted, certiorari)
(we, address threshold issue, turning)
(we, address, threshold issue)
(we, address threshold issue, turning to merits)
(we, turning to, merits)
(Foster, of, Batson claim)
(we, address threshold issue, turning to merits of Foster 's Batson claim)
(we, turning to, merits of Foster 's Batson claim)
(subject-matter jurisdiction, exists in, absence of challenge from party)
(jurisdiction, exists in, even absence of challenge from party)
(we, have, obligation determine)
(subject-matter jurisdiction, exists in, absence)
(subject-matter jurisdiction, exists in, even absence)
(we, have, independent obligation determine)
(jurisdiction, exists in, even absence)
(jurisdiction, exists in, absence of challenge from party)
(jurisdiction, exists in, absence)
(subject-matter jurisdiction, exists in, even absence of challenge from party)
(jurisdiction, entertain, federal claim)
(jurisdiction, entertain, federal claim on review)
(jurisdiction, entertain, claim on review)
(jurisdiction, entertain, claim)
(jurisdiction, entertain, claim on review of state court judgment)
(jurisdiction, entertain, federal claim on review of state court judgment)
(court, for, decision)
(jurisdiction, entertain claim, judgment rests)
(Foster, has, Batson claim)
(Georgia Supreme Court, has, unelaborated order on review)
(application, depends on, federal constitutional ruling)
(application, depends on, constitutional ruling)
(application, depends on, ruling)
(application, depends on, federal ruling)
(court, of, holding)
(Georgia habeas court 's analysis, is in, section of its opinion)
(Georgia habeas court, has, analysis in section of opinion)
(court, However will review, Batson claim)
(Georgia Supreme Court, to, ruling)
(court, However will review Batson claim, claims)
(court, will review, Batson claim)
(court, will review Batson claim, claims)
(sufficient change, is in, facts)
(it, evaluated, original trial record including prosecution file)
(it, evaluated, original trial record including uncovered prosecution file)
(Foster, sufficient change in, facts)
(it, evaluated, trial record including newly uncovered prosecution file)
(Foster, alleged, change in facts)
(Foster, change in, facts)
(it, evaluated, trial record)
(it, evaluated, original trial record)
(it, evaluated, original trial record including newly uncovered prosecution file)
(it, evaluated, habeas record)
(Foster, alleged, sufficient change in facts)
(it, evaluated, trial record including prosecution file)
(Foster, alleged, change)
(habeas court, engaged, determine)
(it, evaluated, trial record including uncovered prosecution file)
(Foster, alleged, sufficient change)
(Foster, has, renewed Batson claim)
(Foster 's Batson claim, is without, merit)
(Foster 's renewed Batson claim, is without, merit)
(state, habeas, court 's application of res judicata)
(Foster, to, Batson claim)
(it, is, apparent)
(court, has, application of res judicata)
(it, is apparent In, light)
(it, is apparent In, light of foregoing)
(state, habeas, court 's application)
(Constitution, forbids, striking even prospective juror for purpose)
(Constitution, forbids, even single juror)
(Constitution, forbids, striking even single prospective juror for purpose)
(Constitution, forbids, even juror for discriminatory purpose)
(Constitution, forbids, juror for purpose)
(Constitution, forbids, striking even juror for purpose)
(Constitution, forbids, striking even single prospective juror)
(Constitution, forbids, striking even prospective juror for discriminatory purpose)
(Constitution, forbids, single prospective juror)
(Constitution, forbids, striking single juror)
(Constitution, forbids, juror for discriminatory purpose)
(Constitution, forbids, even prospective juror)
(Constitution, forbids, single prospective juror for purpose)
(Constitution, forbids, even single juror for discriminatory purpose)
(Constitution, forbids, striking juror for purpose)
(Constitution, forbids, striking single prospective juror)
(Constitution, forbids, single juror for purpose)
(Constitution, forbids, even single prospective juror for purpose)
(Constitution, forbids, striking even single juror)
(Constitution, forbids, striking single juror for purpose)
(Constitution, forbids, prospective juror for discriminatory purpose)
(Constitution, forbids, striking even single juror for purpose)
(Constitution, forbids, even juror)
(Constitution, forbids, even single juror for purpose)
(Constitution, forbids, striking single prospective juror for purpose)
(Constitution, forbids, striking single prospective juror for discriminatory purpose)
(Constitution, forbids, striking even juror)
(Constitution, forbids, striking even single juror for discriminatory purpose)
(Constitution, forbids, striking prospective juror)
(Constitution, forbids, striking even juror for discriminatory purpose)
(Constitution, forbids, striking even single prospective juror for discriminatory purpose)
(Constitution, forbids, striking prospective juror for purpose)
(Constitution, forbids, striking prospective juror for discriminatory purpose)
(Constitution, forbids, single juror for discriminatory purpose)
(Constitution, forbids, even juror for purpose)
(Constitution, forbids, single juror)
(Constitution, forbids, striking single juror for discriminatory purpose)
(Constitution, forbids, even single prospective juror for discriminatory purpose)
(Constitution, forbids, striking even prospective juror)
(Constitution, forbids, prospective juror)
(Constitution, forbids, prospective juror for purpose)
(Constitution, forbids, even prospective juror for discriminatory purpose)
(Constitution, forbids, single prospective juror for discriminatory purpose)
(Constitution, forbids, juror)
(Constitution, forbids, even single prospective juror)
(Constitution, forbids, even prospective juror for purpose)
(Constitution, forbids, striking juror for discriminatory purpose)
(Constitution, forbids, striking juror)
(strike, is, discriminatory)
(strike, is, when discriminatory)
(challenge, been exercised on, basis)
(showing, has, has made)
(peremptory challenge, been, exercised)
(trial court, third must determine in, light)
(challenge, been, exercised)
(trial court, must determine in, light of parties ' submissions)
(peremptory challenge, been exercised on, basis)
(trial court, third must determine in, light of parties ' submissions)
(trial court, must determine in, light)
(peremptory challenge, been exercised on, basis of race)
(challenge, been exercised on, basis of race)
(defendant, shown, discrimination)
(defendant, shown, purposeful discrimination)
(476-477, at Snyder is, 552 U. S.)
(prosecutors, have offered, race-neutral reasons for their strikes)
(Foster, demonstrated, prima facie case)
(prosecutors, have offered, reasons for their strikes)
(prosecutors, have offered, race-neutral reasons)
(prosecutors, have offered, reasons)
(prosecutors, race-neutral reasons for, their strikes)
(prosecutors, reasons for, their strikes)
(We, therefore address, only Batson 's step)
(We, address, Batson 's step)
(We, therefore address, only Batson 's third step)
(We, therefore address, Batson 's step)
(We, therefore address, Batson 's third step)
(We, address, only Batson 's third step)
(We, address, only Batson 's step)
(We, address, Batson 's third step)
(we, defer, we conclude)
(we, defer to, state court factual findings)
(they, are, erroneous)
(step, turns in, absence of exceptional circumstances)
(we, defer to, state court findings)
(step, turns on, factual determinations)
(step, turns in, absence)
(step, turns in, absence of circumstances)
(step, turns on, determinations)
(they, are, clearly erroneous)
(477, at Synder is, 552 U. S.)
(prosecution, of, file)
(brief word, regarding, contents)
(brief word, reviewing, factual record)
(word, is in, order)
(brief word, reviewing, record)
(word, reviewing, factual record)
(brief word, is in, order)
(word, reviewing record in, case)
(word, regarding, contents)
(word, reviewing, record)
(Foster, obtained through, his Georgia Open Records Act requests)
(brief word, reviewing record in, case)
(State, of, case file from 1987 trial)
(Foster, received, certif)
(Foster, received certif Pursuant to, requests)
(State, argues For, reasons)
(none, shows, intent discriminate)
(Foster, source of, lists)
(Foster, therefore source of, lists)
(their purpose, is, unknown)
(their purpose, is, hardly unknown)
(prosecutors, authored, documents)
(documents, prosecutors, themselves)
(prosecutors, viewed, others)
(highlighted jury venire lists, were, returned prior)
(jury venire lists, were, returned prior to jury selection)
(highlighted jury venire lists, were, returned to Lanier prior to jury selection)
(highlighted jury venire lists, were, returned)
(jury venire lists, were returned prior to, Lanier)
(jury venire lists, were, returned)
(highlighted jury venire lists, were, returned prior to jury selection)
(jury venire lists, were, returned prior)
(jury venire lists, were returned to, Lanier)
(highlighted jury venire lists, were returned to, Lanier)
(highlighted jury venire lists, were returned prior to, Lanier)
(jury venire lists, were, returned to Lanier prior to jury selection)
(Nothing, is in, record)
(Nothing, identifies author for, example)
(Nothing, identifies, author)
(court, nevertheless admitted into, evidence)
(court, nevertheless admitted file into, evidence)
(court, admitted, file)
(court, reserving, determination)
(Court, put on, any)
(court, reserving, determination in light of objections urged by State)
(court, admitted into, evidence)
(reserving, determination in, light of objections urged)
(court, nevertheless admitted, file)
(reserving, determination in, light)
