(UNITED STATES, v. MCFADDEN is, 2015)
(scienter requirement, adopted here, ambiguous)
(statute, were, even ambiguous)
(scienter requirement, alleviate, s vagueness concerns under Court 's precedents)
(scienter requirement, adopted, ambiguous)
(statute, were, ambiguous)
(scienter requirement, adopted here, even ambiguous)
(error, is in, jury instruction)
(THOMAS, delivered, opinion)
(ROBERTS, concurring in, judgment)
(ROBERTS, filed opinion concurring in, part)
(ROBERTS, filed, opinion concurring)
(opinion, is subject to, revision in print of United States Reports)
(opinion, is subject to, formal revision in preliminary print)
(opinion, is subject to, revision)
(opinion, is subject to, formal revision)
(opinion, is subject to, revision in print)
(opinion, is subject to, formal revision before publication)
(opinion, is subject to, formal revision in print of United States Reports)
(formal revision, is in, preliminary print of United States Reports)
(opinion, is subject to, revision before publication in preliminary print)
(opinion, is subject to, formal revision before publication in preliminary print)
(opinion, is subject to, formal revision before publication in print of United States Reports)
(opinion, is subject to, revision before publication)
(opinion, is subject to, formal revision in print)
(opinion, is, subject)
(opinion, is subject to, revision in preliminary print)
(opinion, is subject to, revision before publication in print)
(opinion, is subject to, formal revision in preliminary print of United States Reports)
(opinion, is subject to, revision before publication in preliminary print of United States Reports)
(opinion, is subject to, revision in preliminary print of United States Reports)
(opinion, is subject to, formal revision before publication in print)
(opinion, is subject to, revision before publication in print of United States Reports)
(opinion, is subject to, formal revision before publication in preliminary print of United States Reports)
(Readers, notify, Reporter)
(Readers, notify, Reporter of Decisions)
(Supreme Court, is in, order)
(Readers, are, requested)
(typographical formal errors, of States is, Washington)
(typographical formal errors, of States is, D. C. 20543)
(JUSTICE THOMAS, delivered, opinion of Court)
(JUSTICE THOMAS, delivered, opinion)
(Controlled Substance Analogue Enforcement Act, instructs courts, controlled substances listed for purposes § 813)
(substances, listed for, purposes)
(Controlled Substance Analogue Enforcement Act, identifies, category)
(Controlled Substance Analogue Enforcement Act, instructs courts, controlled substances listed § 813)
(Controlled Substance Analogue Enforcement Act, instructs courts, controlled substances listed on schedule I for purposes of federal law § 813)
(controlled substances, listed for, purposes federal law)
(Controlled Substance Analogue Enforcement Act, instructs courts, controlled substances listed for purposes of federal law § 813)
(controlled substances, listed for, purposes)
(1986, of Act is, Analogue Act)
(substances, listed on, schedule I)
(Controlled Substance Analogue Enforcement Act, instructs courts, substances § 813)
(Controlled Substance Analogue Enforcement Act, instructs courts, substances listed on schedule I for purposes of law § 813)
(Controlled Substance Analogue Enforcement Act, instructs courts, substances listed for purposes § 813)
(Controlled Substance Analogue Enforcement Act, instructs courts, controlled substances listed on schedule I for purposes of law § 813)
(Controlled Substance Analogue Enforcement Act, instructs courts, substances listed for purposes of law § 813)
(Controlled Substance Analogue Enforcement Act, instructs courts, substances listed § 813)
(controlled substances, listed for, purposes law)
(Controlled Substance Analogue Enforcement Act, instructs courts, substances listed on schedule I for purposes § 813)
(Controlled Substance Analogue Enforcement Act, instructs courts, intended)
(Controlled Substance Analogue Enforcement Act, instructs courts, substances listed on schedule I § 813)
(Controlled Substance Analogue Enforcement Act, instructs courts, controlled substances listed for purposes of law § 813)
(controlled substances, listed on, schedule I)
(substances, listed for, purposes law)
(Controlled Substance Analogue Enforcement Act, instructs courts, substances listed on schedule I for purposes of federal law § 813)
(Controlled Substance Analogue Enforcement Act, instructs courts, controlled substances § 813)
(Controlled Substance Analogue Enforcement Act, instructs courts, controlled substances listed on schedule I § 813)
(substances, listed for, purposes federal law)
(Controlled Substance Analogue Enforcement Act, instructs courts, substances listed for purposes of federal law § 813)
(Controlled Substance Analogue Enforcement Act, instructs, courts)
(Controlled Substance Analogue Enforcement Act, instructs courts, controlled substances listed on schedule I for purposes § 813)
(Controlled Substances Act, makes, it knowingly manufacture)
(Controlled Substances Act, makes, it manufacture)
(Controlled Substances Act, is in, turn)
(turn, in Act is, CSA)
(controlled substance, is in, fact)
(question, concerns, knowledge necessary)
(question, concerns knowledge in, when fact)
(question, concerns, knowledge necessary for conviction)
(knowledge, necessary for, conviction)
(analogue, controlled substance at, issue)
(controlled substance, is in, when fact)
(question, presented in, case)
(analogue, substance at, issue)
(question, concerns, knowledge necessary for conviction under § 841)
(knowledge, necessary for, conviction under § 841)
(substance, is in, when fact)
(question, concerns, knowledge)
(question, concerns knowledge in, fact)
(substance, is in, fact)
(he, dealing with, controlled substance)
(he, dealing with, substance)
(knowledge requirement, is, met)
(substance, was controlled under, CSA)
(substance, is, When analogue)
(substance, was, controlled)
(substance, is, analogue)
(defendant, knew, specific features)
(knowledge requirement, is, also met)
(knowledge requirement, is, met)
(knowledge requirement, is met, defendant knew)
(knowledge requirement, is also met, defendant knew)
(defendant, knew, features)
(error, was, harmless)
(we, vacate, remand)
(we, vacate, its judgment)
(we, vacate remand, determine)
(we, vacate remand for, court)
(law enforcement officials, investigating individuals at, Charlottesville video store for suspected distribution)
(law enforcement officials, investigating individuals at, Charlottesville video store for distribution of bath salts)
(law enforcement officials, investigating individuals at, Charlottesville video store for suspected distribution of bath salts)
(effects, similar to, those)
(law enforcement officials, is in, Charlottesville)
(law enforcement officials, investigating individuals at, Charlottesville video store)
(law enforcement officials, began In, 2011)
(effects, similar to, those of cocaine)
(law enforcement officials, investigating individuals at, Charlottesville video store for distribution)
(law enforcement officials, investigating, individuals)
(McFadden, compared, them)
(McFadden, had marketed substances to, her)
(McFadden, had marketed, substances)
(particular product, listing, substances)
(He, had sold, products)
(product, listing, controlled substances)
(particular product, listing, controlled substances)
(He, had often sold, products)
(labels, borrowing language from, Analogue Act)
(product, listing, substances)
(labels, borrowing, language)
(McDaniel, purchased, bath salts)
(McDaniel, resold, them)
(she, agreed, cooperate in their investigation)
(investigators, had conducted, two controlled buys)
(she, agreed, cooperate)
(investigators, confronted, McDaniel)
(she, cooperate in, their investigation)
(investigators, had conducted, two buys)
(they, arrived at, FedEx store)
(they, arrived at, local FedEx store)
(substances, were, white)
(powders, packaged in, small bags)
(powders, packaged in, bags)
(substances, sold in, video store)
(substances, were white Like, substances)
(powders, packaged in, plastic bags)
(substances, were white Like, substances sold)
(substances, were white Like, substances sold in video store)
(powders, packaged in, small plastic bags)
(Chemical analysis, containing among, 3,4-Methylenedioxypyrovalerone)
(Chemical analysis, containing among, other substances known)
(Chemical analysis, identified powders, containing among substances)
(Chemical analysis, identified powders, containing among substances also known as MDPV)
(Chemical analysis, containing among, other substances)
(Chemical analysis, identified powders, containing among substances also known)
(Chemical analysis, identified, powders)
(Chemical analysis, identified powders, containing among other substances known)
(Chemical analysis, identified powders, containing among substances known)
(Chemical analysis, containing among, substances known as MDPV)
(Chemical analysis, identified powders, containing among other substances also known as MDPV)
(Chemical analysis, identified powders, containing among other substances also known)
(Chemical analysis, identified powders, containing among other substances known as MDPV)
(Chemical analysis, containing among, substances)
(Chemical analysis, containing among, substances also known)
(Chemical analysis, containing among, substances known)
(Chemical analysis, identified powders, containing among substances known as MDPV)
(Chemical analysis, identified powders, containing among other substances)
(Chemical analysis, containing among, other substances known as MDPV)
(Chemical analysis, containing among, other substances also known as MDPV)
(Chemical analysis, containing among, substances also known as MDPV)
(Chemical analysis, containing among, other substances also known)
(Chemical analysis, identified powders, containing)
(grand jury, indicted, McFadden)
(jury, indicted McFadden on, eight counts)
(jury, indicted McFadden on, eight counts of distribution of substance analogues)
(federal grand jury, indicted McFadden on, eight counts of distribution of controlled substance analogues)
(federal grand jury, indicted McFadden on, eight counts of distribution of substance analogues)
(jury, indicted McFadden on, eight counts of distribution)
(federal jury, indicted McFadden on, eight counts)
(grand jury, indicted McFadden on, eight counts)
(federal grand jury, indicted McFadden on, eight counts of distribution)
(federal jury, indicted McFadden on, eight counts of distribution)
(federal jury, indicted, McFadden)
(federal grand jury, indicted McFadden on, eight counts)
(grand jury, indicted McFadden on, eight counts of distribution of substance analogues)
(federal grand jury, indicted, McFadden)
(federal jury, indicted McFadden on, eight counts of distribution of substance analogues)
(grand jury, indicted McFadden on, eight counts of distribution of controlled substance analogues)
(jury, indicted, McFadden)
(grand jury, indicted McFadden on, eight counts of distribution)
(jury, indicted McFadden on, eight counts of distribution of controlled substance analogues)
(federal jury, indicted McFadden on, eight counts of distribution of controlled substance analogues)
(Government, disagreed, required)
(Government, also disagreed, required)
(Government, disagreed, required for conviction)
(He, disagreed, required)
(He, also disagreed, required for conviction)
(He, also disagreed, required)
(He, disagreed, required for conviction)
(Government, also disagreed, required for conviction)
(knowledge, was, required)
(knowledge, was required for, conviction)
(instruction, intentionally distributed, substance)
(controlled substance analogue, is with, intent)
(it, be, consumed)
(hat, was, substance analogue with intent)
(hat, was, substance analogue)
(instruction, intentionally distributed, mixture)
(hat, was, controlled substance analogue)
(instruction, hat, defendant)
(instruction, hat knowingly, defendant)
(it, be consumed by, humans)
(instruction, distributed, mixture)
(hat, was, controlled substance analogue with intent)
(instruction, distributed, substance)
(hat, was, controlled)
(McFadden, sought, more demanding instruction requiring)
(McFadden, sought, demanding instruction requiring)
(McFadden, sought, instruction requiring)
(McFadden, sought, instruction)
(McFadden, sought, more demanding instruction)
(McFadden, sought, demanding instruction)
(substance, has, effects on nervous system)
(substance, has, effects)
(substance, has effects as, substance)
(District Court, instructing, jury)
(substance, has, similar effects on nervous system)
(substance, has, similar effects)
(substance, has, substantially similar effects on system)
(substance, substantially similar effects on, nervous system)
(substance, has, similar effects on system)
(substance, has, substantially similar effects)
(substance, has effects as, controlled substance)
(substance, effects on, nervous system)
(substance, similar effects on, nervous system)
(substance, has, effects on system)
(substance, effects on, system)
(substance, substantially similar effects on, system)
(substance, similar effects on, system)
(substance, has, substantially similar effects on nervous system)
(jury, convicted McFadden on, nine counts)
(government, was required, prove)
(substances, possessed, characteristics)
(McFadden, insisted On, appeal)
(substances, characteristics of, controlled substance analogues)
(substances, possessed, characteristics of substance analogues)
(substances, possessed, characteristics of controlled substance analogues)
(District Court, erred, refusing)
(government, was, required)
(substances, characteristics of, substance analogues)
(Court, Rejecting, argument)
(it, was bound by, Circuit precedent)
(defendant, meant, consumed by humans)
(defendant, meant at, issue)
(defendant, be consumed by, humans)
(intent element, is in, Act)
(it, was, bound)
(intent element, requires, government prove)
(defendant, meant, consumed)
(defendant, be, consumed)
(defendant, meant for, substance)
(We, granted, writ of certiorari)
(We, granted, writ)
(Analogue Act, requires, treated as controlled substance for purposes of federal law)
(Analogue Act, requires, treated)
(Analogue Act, requires, treated as substance in schedule I)
(Analogue Act, requires, treated as controlled substance in schedule I for purposes)
(Analogue Act, requires, treated as substance in schedule I for purposes of law)
(Analogue Act, requires, treated as substance in schedule I for purposes of federal law)
(Analogue Act, requires, treated as substance)
(Analogue Act, requires, treated as substance for purposes)
(Analogue Act, requires, treated as substance for purposes of federal law)
(Analogue Act, requires, treated as controlled substance for purposes)
(Analogue Act, requires, treated as controlled substance for purposes of law)
(Analogue Act, requires, treated as controlled substance)
(Analogue Act, intended for, human consumption)
(Analogue Act, intended for, consumption)
(Analogue Act, requires, treated as substance for purposes of law)
(controlled substance, is in, schedule I)
(Analogue Act, requires, intended for consumption)
(Analogue Act, requires, intended)
(Analogue Act, requires, treated as controlled substance in schedule I for purposes of federal law)
(Analogue Act, requires, intended for human consumption)
(Analogue Act, requires, treated as controlled substance in schedule I)
(Analogue Act, requires, treated as substance in schedule I for purposes)
(Analogue Act, requires, treated as controlled substance in schedule I for purposes of law)
(CSA, makes, manufacture)
(word, knowingly applies to, also object)
(word, knowingly applies Under, most natural reading of provision)
(word, applies to, object of verbs)
(word, knowingly applies to, object)
(word, knowingly applies to, also object of verbs)
(word, applies Under, reading)
(word, applies Under, natural reading of provision)
(word, knowingly applies to, object of verbs)
(word, applies Under, most natural reading of provision)
(word, applies to, also object of verbs)
(statute, to, verbs)
(word, knowingly applies Under, reading of provision)
(word, applies to, statute 's verbs)
(word, applies Under, natural reading)
(word, applies to, object)
(word, applies Under, reading of provision)
(word, knowingly applies to, statute 's verbs)
(word, applies to, also object)
(word, knowingly applies Under, natural reading of provision)
(word, knowingly applies Under, natural reading)
(word, knowingly applies Under, reading)
(word, knowingly applies Under, most natural reading)
(word, applies Under, most natural reading)
(Webster, has, New International Dictionary 1)
(CSA, defines, substance)
(CSA, defines substance as, drug)
(CSA, defines, controlled substance)
(substance, listed on, drug schedules)
(substance, listed on, federal drug schedules)
(unspecified substance, listed on, federal drug schedules)
(unspecified substance, listed on, drug schedules)
(Courts, have recognized, as much)
(Courts, have recognized, much)
(he, possessed, substance)
(he, possessed, substance listed on schedules)
(he, possessed, substance listed)
(knowledge requirement, may, may met)
(role, is in, larger drug organization)
(he, distributing, controlled substance)
(he, knowingly distributing, controlled substance)
(he, knowingly distributing, substance)
(he, distributing, substance)
(he, would, would guilty)
(defendant, knew, identity)
(knowledge requirement, may, may also met)
(knowledge requirement, may, may met)
(United States, v. Bryan is, defendant)
(Analogue Act, extends framework to, substances)
(Analogue Act, extends framework to, analogous substances)
(Analogue Act, extends, framework of CSA)
(Analogue Act, extends, framework)
(Act, defines substance analogue as, substance)
(Act, defines, substance analogue)
(Act, defines, controlled substance analogue)
(controlled substance, is in, schedule)
(controlled substance, is in, schedule)
(controlled substance, is in, schedule)
(controlled substance analogue, be, to extent treated as controlled substance)
(controlled substance analogue, be, treated)
(controlled substance analogue, be, to extent intended for consumption treated as controlled substance)
(substance analogue, be, treated)
(controlled substance analogue, be, to extent intended for human consumption treated as controlled substance)
(substance analogue, be treated as, controlled substance in schedule I.)
(controlled substance analogue, be treated to, extent intended for human consumption)
(controlled substance analogue, be, to extent intended treated as controlled substance in schedule I.)
(substance analogue, be, to extent intended treated for purposes of Federal law as substance)
(controlled substance analogue, be treated to, extent intended for consumption)
(extent, intended for, consumption)
(controlled substance analogue, be treated for, purposes of Federal law)
(substance analogue, be, to extent intended treated for purposes of Federal law as controlled substance in schedule I.)
(substance analogue, be, to extent intended for consumption treated as controlled substance in schedule I.)
(substance analogue, be, to extent treated as substance)
(substance analogue, be, to extent intended for consumption treated as substance)
(controlled substance analogue, be treated as, substance)
(controlled substance analogue, be, to extent intended for human consumption treated as substance in schedule I.)
(controlled substance analogue, be, to extent intended treated for purposes of Federal law as substance in schedule I.)
(substance analogue, be, to extent intended treated as substance)
(substance analogue, be, to extent intended treated as substance in schedule I.)
(substance analogue, be, to extent treated for purposes of Federal law)
(substance analogue, be treated for, purposes of Federal law)
(controlled substance analogue, be, to extent treated for purposes of Federal law)
(controlled substance analogue, be, to extent intended treated for purposes of Federal law as controlled substance)
(controlled substance analogue, be, to extent intended for human consumption treated for purposes of Federal law as controlled substance)
(controlled substance analogue, be treated as, substance in schedule I.)
(controlled substance analogue, be, to extent intended for consumption treated for purposes of Federal law as substance)
(substance analogue, be, to extent treated as substance in schedule I.)
(controlled substance analogue, be treated to, extent intended)
(substance analogue, be, to extent intended treated for purposes of Federal law as substance in schedule I.)
(controlled substance analogue, be, to extent intended for human consumption treated as controlled substance in schedule I.)
(controlled substance analogue, be, to extent intended treated for purposes of Federal law)
(controlled substance analogue, be, to extent treated for purposes of Federal law as substance in schedule I.)
(controlled substance analogue, be, to extent intended for human consumption treated for purposes of Federal law as controlled substance in schedule I.)
(controlled substance analogue, be, to extent intended for human consumption treated for purposes of Federal law as substance)
(controlled substance analogue, be, to extent intended treated as substance in schedule I.)
(substance analogue, be treated to, extent intended for consumption)
(substance analogue, be, to extent intended for consumption treated for purposes of Federal law)
(controlled substance analogue, be, treated for purposes of Federal law as controlled substance)
(controlled substance analogue, be, to extent intended for human consumption treated for purposes of Federal law as substance in schedule I.)
(substance analogue, be, to extent intended treated for purposes of Federal law as controlled substance)
(substance analogue, be, to extent intended for human consumption treated for purposes of Federal law as controlled substance)
(controlled substance analogue, be, to extent treated as substance in schedule I.)
(controlled substance analogue, be, treated for purposes of Federal law as substance in schedule I.)
(controlled substance analogue, be, to extent intended for consumption treated as substance)
(controlled substance analogue, be, to extent intended for consumption treated as controlled substance in schedule I.)
(substance analogue, be, to extent intended for consumption treated for purposes of Federal law as substance)
(substance analogue, be, to extent intended for consumption treated for purposes of Federal law as controlled substance)
(substance analogue, be, treated for purposes of Federal law as controlled substance)
(controlled substance analogue, be, to extent intended treated as controlled substance)
(controlled substance analogue, be, to extent intended for consumption treated for purposes of Federal law)
(substance analogue, be, to extent treated for purposes of Federal law as controlled substance)
(substance analogue, be treated as, substance in schedule I.)
(controlled substance analogue, be, treated for purposes of Federal law as controlled substance in schedule I.)
(substance analogue, be, to extent intended treated as controlled substance)
(controlled substance analogue, be, to extent treated for purposes of Federal law as controlled substance)
(controlled substance analogue, be, to extent intended for consumption treated for purposes of Federal law as controlled substance in schedule I.)
(substance analogue, be, to extent intended for human consumption treated as substance)
(controlled substance analogue, be, to extent intended treated for purposes of Federal law as controlled substance in schedule I.)
(substance analogue, be, to extent intended for consumption treated for purposes of Federal law as substance in schedule I.)
(controlled substance analogue, be, to extent intended treated for purposes of Federal law as substance)
(substance analogue, be, to extent treated as controlled substance in schedule I.)
(controlled substance analogue, be, to extent intended for human consumption treated as substance)
(substance analogue, be, to extent intended for human consumption treated for purposes of Federal law)
(controlled substance analogue, be, to extent intended for consumption treated for purposes of Federal law as controlled substance)
(substance analogue, be treated as, controlled substance)
(substance analogue, be, to extent treated as controlled substance)
(controlled substance analogue, be treated as, controlled substance in schedule I.)
(controlled substance analogue, be, to extent intended for consumption treated for purposes of Federal law as substance in schedule I.)
(substance analogue, be, to extent intended for human consumption treated for purposes of Federal law as controlled substance in schedule I.)
(extent, intended for, human consumption)
(substance analogue, be, treated for purposes of Federal law as substance)
(controlled substance analogue, be, treated for purposes of Federal law as substance)
(substance analogue, be, treated for purposes of Federal law as controlled substance in schedule I.)
(substance analogue, be, to extent intended for human consumption treated for purposes of Federal law as substance in schedule I.)
(controlled substance analogue, be, to extent treated for purposes of Federal law as substance)
(substance analogue, be, to extent intended treated as controlled substance in schedule I.)
(substance analogue, be treated as, substance)
(controlled substance analogue, be treated to, extent)
(substance analogue, be, treated for purposes of Federal law as substance in schedule I.)
(substance analogue, be, to extent intended for human consumption treated as controlled substance in schedule I.)
(substance analogue, be, to extent treated for purposes of Federal law as substance)
(controlled substance analogue, be treated as, controlled substance)
(substance analogue, be, to extent intended for human consumption treated for purposes of Federal law as substance)
(substance analogue, be, to extent intended treated for purposes of Federal law)
(substance analogue, be, to extent treated for purposes of Federal law as substance in schedule I.)
(controlled substance analogue, be, to extent treated for purposes of Federal law as controlled substance in schedule I.)
(substance analogue, be, to extent intended for consumption treated as substance in schedule I.)
(substance analogue, be, to extent intended for human consumption treated as substance in schedule I.)
(substance analogue, be, to extent intended for consumption treated for purposes of Federal law as controlled substance in schedule I.)
(substance analogue, be, to extent intended for human consumption treated as controlled substance)
(controlled substance analogue, be, to extent intended for human consumption treated for purposes of Federal law)
(controlled substance analogue, be, to extent treated as substance)
(controlled substance analogue, be, to extent treated as controlled substance in schedule I.)
(controlled substance analogue, be, to extent intended for consumption treated as substance in schedule I.)
(substance analogue, be treated to, extent)
(substance analogue, be, to extent intended for consumption treated as controlled substance)
(substance analogue, be, to extent treated for purposes of Federal law as controlled substance in schedule I.)
(controlled substance analogue, be, to extent intended treated as substance)
(substance analogue, be treated to, extent intended)
(controlled substance, is in, schedule I.)
(substance analogue, be treated to, extent intended for human consumption)
(controlled substance, is in, fact)
(state requirement, applies in, when fact)
(mental state requirement, applies in, fact)
(mental state requirement, applies in, when fact)
(controlled substance, is in, when fact)
(state requirement, applies in, fact)
(substance, is in, when fact)
(question, is in, case)
(substance, is in, fact)
(answer, begins with, 1)
(he, dealing with, controlled substance)
(he, dealing with, substance)
(it, Applying, command)
(Government, prove in, prosecutions)
(it, Applying, statutory command)
(substance, was, controlled)
(Government, prove in, even prosecutions)
(knowledge requirement, can, can established)
(knowledge requirement, can, can established in two ways)
(it, can, First can established)
(it, can, can established)
(it, can, First can established by evidence)
(it, can, can established by evidence)
(it, can, Second can established by evidence)
(it, can, can established)
(it, can, Second can established)
(it, can, can established by evidence)
(chemical structure, is substantially similar to, chemical structure of controlled substance in schedule)
(chemical structure, is substantially similar to, chemical structure of substance)
(chemical structure, is similar to, chemical structure of controlled substance)
(chemical structure, is similar to, chemical structure)
(chemical structure, is substantially similar to, chemical structure of controlled substance)
(chemical structure, is substantially similar to, chemical structure of substance in schedule)
(chemical structure, is similar to, chemical structure of substance in schedule)
(controlled substance, is in, schedule)
(controlled substance, is in, schedule)
(Analogue Act, defines, substance analogue)
(chemical structure, is similar to, chemical structure of controlled substance in schedule)
(chemical structure, is, similar)
(chemical structure, is substantially similar to, chemical structure)
(chemical structure, is similar to, chemical structure of substance)
(chemical structure, is, substantially similar)
(substance, is with, knowledge of features)
(Court, treat, controlled substance analogue as controlled substance in schedule I)
(it, mental-state requirement in, 1)
(interpretation, is inconsistent with, text)
(we, decline, inconsistent with text of statutes)
(interpretation, is, inconsistent)
(we, decline, inconsistent with text)
(we, decline, inconsistent)
(we, adopt, it)
(interpretation, is inconsistent with, text of statutes)
(McFadden, defends, Court of Appeals ' position)
(McFadden, Unsurprisingly defends, Court of Appeals ' position)
(McFadden, defends, Court)
(McFadden, Unsurprisingly defends, Court)
(it, is met, defendant knew)
(knowledge requirement, is in, § 841)
(he, dealing with, illegal substance)
(it, is, met)
(he, dealing with, substance)
(he, dealing under, law)
(he, dealing with, controlled substance)
(he, dealing with, substance)
(term, includes, only drugs listed on federal drug schedules)
(term, includes, drugs listed on federal drug schedules)
(term, includes, treated by operation of Analogue Act)
(term, includes, treated as such by operation)
(term, includes, drugs listed)
(term, includes, drugs)
(term, includes, treated)
(term, includes, treated as such by operation of Analogue Act)
(term, includes, only drugs listed on drug schedules)
(term, includes, only drugs listed)
(term, includes, treated as such)
(term, includes, treated by operation)
(term, includes, only drugs)
(term, includes, drugs listed on drug schedules)
(knowledge, only be established by, knowledge)
(knowledge, be, in context only established by knowledge)
(knowledge, only be established in, context)
(knowledge, be, established)
(knowledge, be, in context of analogues established by knowledge)
(knowledge, be established in, context of analogues)
(knowledge, only be established in, context of analogues)
(McFadden, contends For, his part)
(knowledge, be, only established)
(knowledge, be established by, knowledge)
(knowledge, be, in context established by knowledge)
(knowledge, be, in context of analogues only established by knowledge)
(knowledge, be established in, context)
(he, relies In, support)
(he, relies In, support of argument)
(he, relies heavily In, support of argument)
(he, relies heavily In, support)
(our conclusion, is in, 511 U. S. 600)
(position, ignores, important textual distinction)
(position, ignores, important distinction)
(position, ignores, textual distinction)
(issue, is in, Staples)
(position, ignores, distinction)
(statute, defined firearm by, its features)
(statute, defined firearm by, its physical features)
(statute, defined, firearm)
(issue, is in, Staples)
(one shot, is with, single function of trigger)
(Knowledge, can, can established)
(substance, listed by, operation)
(Knowledge, can, can established in two ways previously discussed)
(Knowledge, can, can established by knowledge)
(Knowledge, can, can established in two ways by knowledge)
(substance, is listed, listed)
(substance, is listed, listed by operation of Analogue Act)
(substance, is, listed)
(substance, listed by, operation by knowledge)
(Knowledge, can, can established in two ways previously discussed by knowledge)
(Knowledge, can, can established in two ways discussed by knowledge)
(substance, is listed, listed by operation of Analogue Act by knowledge)
(substance, is listed, listed by operation by knowledge)
(Knowledge, can, can established in two ways)
(Knowledge, can, can established in two ways discussed)
(substance, listed by, operation of Analogue Act by knowledge)
(substance, listed by, operation of Analogue Act)
(substance, is listed, listed by operation)
(McFadden, also invokes, canon of avoidance)
(it, be rendered, unconstitutionally vague)
(McFadden, also invokes, canon)
(McFadden, invokes, canon of avoidance)
(it, be, rendered)
(McFadden, also invokes, canon of constitutional avoidance)
