(NORTH DAKOTA, v. BIRCHFIELD is, 2016)
(State 's general interest, encompasses, metabolization)
(Riley, encompasses, metabolization in blood)
(State 's interest, readily encompasses, metabolization)
(State 's interest, readily encompasses, metabolization of alcohol in blood)
(State 's interest, encompasses, metabolization)
(State 's general interest, readily encompasses, metabolization in blood)
(State 's general interest, readily encompasses, metabolization of alcohol in blood)
(State, has, general interest in evidence preservation)
(metabolization, is in, blood)
(Riley, encompasses, metabolization of alcohol in blood)
(___, at Riley is, supra)
(State 's general interest, readily encompasses, metabolization)
(State 's interest, readily encompasses, metabolization of alcohol)
(Bernard, has, view)
(Amendment, permits, warrantless breath tests incident to arrests)
(Amendment, permits, warrantless breath tests)
(Amendment, permits breath tests, slight)
(Fourth Amendment, permits, warrantless breath tests incident)
(impact, is, slight)
(Amendment, permits, breath tests)
(need, is, great)
(Amendment, permits, breath tests incident to arrests)
(Amendment, permits, warrantless breath tests incident)
(Fourth Amendment, permits, warrantless breath tests)
(Amendment, permits, breath tests incident)
(Fourth Amendment, permits breath tests, slight)
(Fourth Amendment, permits, breath tests)
(Fourth Amendment, permits, breath tests incident)
(Fourth Amendment, permits, breath tests incident to arrests)
(Blood tests, are, however intrusive)
(Blood tests, are, significantly more intrusive)
(Blood tests, are, more intrusive)
(Blood tests, are, however more intrusive)
(their reasonableness, must, must judged)
(their reasonableness, must, must judged in light of availability of invasive alternative of breath test)
(their reasonableness, must, must judged in light of availability of less invasive alternative)
(Blood tests, are, intrusive)
(Blood tests, are, significantly intrusive)
(their reasonableness, must, must judged in light of availability of alternative)
(Blood tests, are, however significantly more intrusive)
(their reasonableness, must, must judged in light of availability of alternative of breath test)
(Blood tests, are, however significantly intrusive)
(their reasonableness, must, must judged in light of availability of less invasive alternative of breath test)
(their reasonableness, must, must judged in light)
(their reasonableness, must, must judged in light of availability of invasive alternative)
(their reasonableness, must, must judged in light of availability)
(nothing, seeking, relying on circumstances exception)
(nothing, seeking, warrant)
(blood tests, might, where might preferable)
(nothing, prevents, police)
(blood tests, might, might preferable)
(driver, has, ability operate safely)
(nothing, seeking, relying)
(nothing, seeking, relying on exigent circumstances exception)
(breath tests, are, less intrusive)
(breath tests, are, intrusive)
(breath tests, are less intrusive than, blood tests)
(breath tests, serve law enforcement interests in, most cases)
(breath tests, amply serve law enforcement interests in, cases)
(breath tests, are intrusive than, blood tests)
(breath tests, serve blood test in, most cases)
(breath tests, amply serve blood test in, most cases)
(breath tests, amply serve law enforcement interests in, most cases)
(breath tests, serve law enforcement interests in, cases)
(breath tests, serve blood test in, cases)
(breath tests, amply serve blood test in, cases)
(breath tests, are significantly less intrusive than, blood tests)
(breath tests, are, significantly less intrusive)
(State, impose, criminal penalties)
(State, impose, penalties)
(State, insist upon, blood test)
(State, insist upon, intrusive blood test)
(State, impose penalties on, refusal submit)
(motorists, consented by, virtue of decision drive on roads)
(motorists, consented by, virtue)
(motorists, may, may deemed)
(motorists, consented by, virtue of decision drive on public roads)
(motorists, consented by, virtue of decision drive)
(legal conclusions, resolve, three cases)
(conclusions, resolve, three cases)
(conclusions, resolve, three present cases)
(legal conclusions, resolve, three present cases)
(he, was threatened with, search)
(he, was threatened with, unlawful search)
(he, was, threatened)
(Bernard, was, criminally prosecuted)
(Bernard, was, prosecuted)
(Bernard, refusing, breath test)
(Bernard, refusing, warrantless breath test)
(test, was, search incident to his arrest)
(test, was, permissible)
(test, was, search incident to his arrest for drunk driving)
(test, was, search incident)
(test, was, permissible search incident to his arrest for drunk driving)
(test, was, permissible search incident to his arrest)
(test, was, permissible search incident to his arrest for driving)
(test, was, search incident to his arrest for driving)
(test, was, permissible search incident)
(police, told, him)
(Beylund, submitted to, blood test)
(Beylund, has, consent)
(Beylund, has, consent)
(State, compel, blood tests)
(Beylund 's consent, was voluntary on, erroneous assumption)
(officer, of, advisory)
(Beylund 's consent, was, voluntary)
(N. W., 2d, 403)
(859 N. W., 2d affirmed, 762)
(859 N. W., 2d, 762)
(N. W., 2d affirmed, 762)
(N. W., 2d, 762)
(859 N. W., 2d, 403)
(N. W., 2d, 302)
(858 N. W., 2d, 302)
(ALITO, delivered, opinion)
(KENNEDY, joined, BREYER)
(KENNEDY, joined, KAGAN)
(SOTOMAYOR, filed, opinion concurring)
(SOTOMAYOR, filed opinion concurring in, part)
(THOMAS, filed opinion concurring in, judgment)
(THOMAS, filed, opinion concurring)
(THOMAS, filed opinion concurring in, part)
(THOMAS, dissenting in, part)
(opinion, is subject to, revision in print of United States Reports)
(opinion, is subject to, formal revision in preliminary print)
(opinion, is subject to, revision)
(opinion, is subject to, formal revision)
(opinion, is subject to, revision in print)
(opinion, is subject to, formal revision before publication)
(opinion, is subject to, formal revision in print of United States Reports)
(formal revision, is in, preliminary print of United States Reports)
(opinion, is subject to, revision before publication in preliminary print)
(opinion, is subject to, formal revision before publication in preliminary print)
(opinion, is subject to, formal revision before publication in print of United States Reports)
(opinion, is subject to, revision before publication)
(opinion, is subject to, formal revision in print)
(opinion, is, subject)
(opinion, is subject to, revision in preliminary print)
(opinion, is subject to, revision before publication in print)
(opinion, is subject to, formal revision in preliminary print of United States Reports)
(opinion, is subject to, revision before publication in preliminary print of United States Reports)
(opinion, is subject to, revision in preliminary print of United States Reports)
(opinion, is subject to, formal revision before publication in print)
(opinion, is subject to, revision before publication in print of United States Reports)
(opinion, is subject to, formal revision before publication in preliminary print of United States Reports)
(Readers, notify, Reporter)
(Readers, notify, Reporter of Decisions)
(Supreme Court, is in, order)
(Readers, are, requested)
(typographical formal errors, of States is, Washington)
(typographical formal errors, of States is, D. C. 20543)
(WILLIAM ROBERT BERNARD, PETITIONER v., MINNESOTA)
(GRANT LEVI, DEPARTMENT OF, TRANSPORTATION)
(STEVE MICHAEL BEYLUND, PETITIONER v., GRANT LEVI)
(DANNY BIRCHFIELD, PETITIONER v., NORTH DAKOTA)
(JUSTICE ALITO, delivered, opinion)
(JUSTICE ALITO, delivered, opinion of Court)
(billions, is in, property damage)
(toll, injuring, many more victims)
(Nation, on, roads)
(Drunk drivers, take, grisly toll)
(grisly toll, injuring, many more victims)
(Drunk drivers, take toll on, Nation 's roads)
(toll, injuring, more victims)
(Drunk drivers, take, toll)
(grisly toll, injuring, more victims)
(States, fight, problem)
(driver, has, BAC)
(determining, requires, test)
(driver 's BAC, is over, legal limit)
(driver 's BAC, is over, limit)
(State, has, drunk-driving laws)
(laws, impose, penalties)
(penalty, was suspension In, past)
(typical penalty, was suspension of, motorist 's license)
(typical penalty, was, In past suspension of motorist 's license)
(typical penalty, was, suspension)
(typical penalty, was suspension In, past)
(suspension, is In, past)
(penalty, was suspension of, motorist 's license)
(penalty, was, suspension)
(penalty, was, In past suspension of motorist 's license)
(motorist, of, license)
(motorist, be, tested)
(motorist, refuse, tested)
(motorist, be tested, arrested)
(motorist, be tested, lawfully arrested)
(it, crime, motorist refuse)
(laws, violate, Fourth Amendment 's prohibition)
(laws, violate, Amendment 's prohibition against searches)
(such laws, violate, Fourth Amendment 's prohibition against unreasonable searches)
(such laws, violate, Amendment 's prohibition)
(laws, violate, Fourth Amendment 's prohibition against unreasonable searches)
(such laws, violate, Amendment 's prohibition against searches)
(such laws, violate, Fourth Amendment 's prohibition)
(such laws, violate, Amendment 's prohibition against unreasonable searches)
(laws, violate, Amendment 's prohibition)
(Fourth Amendment, has, prohibition against unreasonable searches)
(laws, violate, Fourth Amendment 's prohibition against searches)
(laws, violate, Amendment 's prohibition against unreasonable searches)
(such laws, violate, Fourth Amendment 's prohibition against searches)
(Nation 's first drunk-driving law, is in, 1906)
(early laws, made, it drive)
(it, drive, while)
(laws, made, it drive)
(defendant, showing, signs of intoxication)
(defendant, showing signs like, imbalance)
(prosecutors, normally had As, result)
(defendant, showing, outward signs)
(defendant, showing, outward signs of intoxication)
(prosecutors, had to, testimony)
(prosecutors, normally had to, testimony)
(prosecutors, had As, result)
(prosecutors, had to, present testimony)
(defendant, showing, signs)
(prosecutors, normally had to, present testimony)
(more, were, perceptible)
(one early case, put, it)
(one, can, can shown)
(it, is, necessary)
(it, is necessary, witness prove)
(more, were perceptible to, him)
(1930, saw, rise in number of motor vehicles on roads)
(rise, is in, number of motor vehicles on roads)
(1930, saw, continued rise)
(1930, saw, rise in number on roads)
(1930, saw, rise)
(1930, saw, rise in number)
(1930, saw, continued rise in number of motor vehicles)
(1930, saw, end)
(1930, saw, continued rise in number of motor vehicles on roads)
(1930, saw, continued rise in number on roads)
(1930, saw, continued rise in number)
(1930, saw, rise in number of motor vehicles)
(1930, saw, end to Prohibition)
(Measuring Alcohol, is in, Blood)
(driver, is with, BAC of 0.15 %)
(driver, be presumed, inebriated)
(driver, be, presumed)
(National Safety Council, study, problem)
(American Medical Association, set up, committees)
(driver, be, inebriated)
(National Safety Council, set up, committees)
(Indiana, using, standard)
(Indiana, using, 0.15 % standard)
(Indiana, using, recommended 0.15 % standard)
(Indiana, using, recommended standard)
(Other States, lowered presumption in, response to updated guidance from national organizations)
(Other States, lowered presumption in, response to guidance from organizations)
(States, lowered presumption in, response to guidance from organizations)
(States, lowered presumption in, response to guidance from national organizations)
(Other States, lowered, presumption)
(States, lowered presumption in, response to updated guidance)
(States, lowered presumption in, response to updated guidance from national organizations)
(Other States, lowered presumption in, response to guidance)
(Other States, lowered presumption in, response to updated guidance)
(States, lowered presumption to, BAC level of 0.10 %)
(Other States, lowered presumption to, BAC level)
(States, lowered presumption in, response)
(States, lowered, presumption)
(States, lowered presumption in, response to updated guidance from organizations)
(Other States, lowered presumption to, BAC level of 0.10 %)
(States, lowered presumption in, response to guidance)
(Other States, lowered presumption in, response to guidance from national organizations)
(Other States, lowered presumption in, response)
(States, lowered presumption to, BAC level)
(Other States, lowered presumption in, response to updated guidance from organizations)
(driving, was, se illegal)
(driving, was, per illegal)
(driving, was, illegal)
(States, adopted, laws providing)
(States, adopted, laws)
(driving, was, per se illegal)
(Enforcement, requires, measurement of BAC)
(Enforcement, obviously requires, measurement of BAC)
(Enforcement, requires, measurement)
(Enforcement, obviously requires, measurement)
(driver, of, blood)
(sample, is, then shipped)
(sample, is shipped to, separate laboratory)
(sample, is, then shipped to laboratory for measurement of its alcohol concentration)
(sample, is shipped for, measurement of its alcohol concentration)
(sample, is, then shipped for measurement of its alcohol concentration)
(sample, is, then shipped to separate laboratory for measurement of its alcohol concentration)
(sample, is, then shipped to laboratory)
(sample, is shipped to, laboratory)
(sample, is, shipped to separate laboratory for measurement)
(technician, draw, blood sample)
(sample, is, then shipped to laboratory for measurement)
(technician, is with, medical training)
(sample, is, then shipped to separate laboratory for measurement)
(sample, is, then shipped to separate laboratory)
(technician, uses, syringe)
(sample, is, then shipped for measurement)
(sample, is, shipped to laboratory for measurement of its alcohol concentration)
(sample, is shipped for, measurement)
(sample, is, shipped)
(sample, is, shipped to laboratory for measurement)
(sample, is, shipped to separate laboratory for measurement of its alcohol concentration)
(2 R. Erwin, Defense of, Drunk Driving Cases)
(subject, be, immobilized)
(it, is possible, forcibly immobilized)
(subject, be, forcibly immobilized)
(States, drawing, blood)
(sample, may, may drawn)
(it, is, possible)
(many States, prohibit, possible)
(subject, be forcibly immobilized, may drawn)
(it, is possible, immobilized)
(practice, avoid, confrontations)
(States, prohibit, possible)
(many States, drawing, blood)
(practice, avoid, violent confrontations)
(subject, be immobilized, may drawn)
(person, in, breath)
(E. Haire, Use of, Warrants)
(test subject, would inflate, small balloon)
(test analyst, would release, breath)
(test subject, would inflate, balloon)
(test analyst, would release, captured breath)
(test analyst, could observe, amount of breath required)
(subject, has, breath alcohol concentration)
(test analyst, could observe, amount of breath)
(test analyst, could observe, amount required)
(test analyst, could observe, amount)
(color change, calculate, subject 's breath alcohol concentration)
(figure, from extension is, BAC)
(breath test machines, were, developed)
(such devices, can detect, presence)
(presence, using, infrared technology)
(devices, can detect quickly, presence of alcohol)
(devices, can detect, presence)
(presence, typically using, technology)
(devices, can detect quickly, presence)
(such devices, can detect more quickly and accurately, presence)
(devices, can detect, presence of alcohol)
(such devices, can detect more quickly and accurately, presence of alcohol)
(devices, can detect more quickly and accurately, presence)
(presence, using, technology)
(such devices, can detect more quickly, presence of alcohol)
(such devices, can detect quickly and accurately, presence of alcohol)
(such devices, can detect quickly and accurately, presence)
(devices, can detect quickly and accurately, presence of alcohol)
(such devices, can detect more quickly, presence)
(devices, can detect more quickly, presence of alcohol)
(presence, typically using, infrared technology)
(devices, can detect quickly and accurately, presence)
(such devices, can detect, presence of alcohol)
(such devices, can detect quickly, presence)
(devices, can detect more quickly, presence)
(devices, can detect more quickly and accurately, presence of alcohol)
(such devices, can detect quickly, presence of alcohol)
(machines, are, regarded)
(machines, are generally regarded, standards require)
(test, results from, low)
(test, results from, very low)
(machines, are generally regarded as, very reliable)
(accurate test, results from, low to high)
(test, results from, low to high)
(accurate test, results from, very low to high)
(machines, are, generally regarded)
(machines, are generally regarded as, reliable)
(test, results from, low to very high)
(accurate test, results from, low to very high)
(accurate test, results from, very low)
(test, results from, very low to high)
(accurate test, results from, low)
(accurate test, results from, very low to very high)
(machines, are regarded as, very reliable)
(machines, are generally regarded, federal standards require)
(machines, are regarded, federal standards require)
(machines, are regarded as, reliable)
(machines, are regarded, standards require)
(test, results from, very low to very high)
(Measurement, requires, cooperation)
(Measurement, requires, cooperation of person)
(subject, must take, deep breath)
(subject, must take, breath)
(analysts, can compare samples, ensure)
(test subject, must blow air into, device)
(analysts, ensure, device 's accuracy)
(analysts, can compare, multiple samples)
(test subject, must blow, air)
(test subject, Typically must blow, air)
(process, is, sometimes repeated)
(device, has, accuracy)
(process, is, repeated)
(analysts, can compare, samples)
(21-14, at Erwin is, b)
(21-14, at Erwin is, L)
(481, at Trombetta is, supra)
(Modern breath test machines, capture, so-called deep lung)
(Modern breath test machines, are, designed)
(Modern breath test machines, capture, air)
(Modern breath test machines, capture, so-called lung)
(Modern breath test machines, capture, alveolar air)
(Modern breath test machines, capture, deep lung)
(Modern breath test machines, capture, lung)
(481, at Trombetta is, supra)
(it, is in, part)
(alcohol vapor, are, exchanged between blood)
(it, is in, part of lungs)
(alcohol vapor, are, exchanged)
(test subject, has, BAC)
(standard device, is, When used)
(whole process, takes minutes from, start finish)
(whole process, takes, few minutes)
(process, takes, few minutes)
(device, is, When used)
(process, takes, minutes)
(process, takes minutes from, start finish)
(device, is, used)
(standard infrared device, is, When used)
(whole process, takes, only few minutes)
(process, takes, only few minutes)
(process, takes, only minutes)
(standard device, is, used)
(infrared device, is, used)
(standard infrared device, is, used)
(whole process, takes, only minutes)
(infrared device, is, When used)
(whole process, takes, minutes)
(18A-14, at 18A is, 2)
(officer, in, patrol vehicle)
(controlled environment, is, where conducive)
(controlled environment, is, conducive)
(environment, is, where conducive to testing)
(controlled environment, is conducive to, reliable testing)
(cases, is in, special mobile testing facilities)
(controlled environment, is especially conducive to, testing)
(environment, is, where especially conducive to reliable testing)
(environment, is, especially conducive)
(controlled environment, is, where conducive to testing)
(controlled environment, is especially conducive to, reliable testing)
(environment, is especially conducive to, reliable testing)
(environment, is, where conducive to reliable testing)
(environment, is, conducive)
(controlled environment, is, where especially conducive)
(controlled environment, is, where conducive to reliable testing)
(environment, is especially conducive to, testing)
(controlled environment, is conducive to, testing)
(controlled environment, is, where especially conducive to reliable testing)
(cases, is in, officer 's patrol vehicle)
(controlled environment, is, especially conducive)
(controlled environment, is, where especially conducive to testing)
(environment, is, where especially conducive)
(environment, is, where conducive)
(environment, is conducive to, reliable testing)
(environment, is conducive to, testing)
(environment, is, where especially conducive to testing)
(A. Berning, Refusal of, Intoxication Testing)
(n. 5, No. at_time, Sept. 2008)
(blood sample, is, when taken)
(So-called implied consent laws, achieve, result)
(So-called consent laws, achieve, result)
(enactment, made, necessary)
(breath test, is, administered)
(blood sample, is, taken)
(cooperation, is, necessary)
(implied consent laws, achieve, result)
(So-called implied consent laws, were, enacted)
(So-called consent laws, were, enacted)
(consent laws, were, enacted)
(breath test, is, when administered)
(implied consent laws, were, enacted)
(consent laws, achieve, result)
(cooperation, is with, BAC testing)
(cooperation, was condition of, privilege driving)
(drunk driver, honor, condition)
(cooperation, was, condition)
(privilege, would, would rescinded)
(suspected driver, honor, condition)
(suspected drunk driver, honor, condition)
(driver, honor, condition)
(cooperation, was condition of, privilege driving on state roads)
(law, was, enacted)
(first such law, was enacted in, 1953)
(first law, was, enacted by New York in 1953)
(first law, was, enacted)
(such law, was, enacted by New York in 1953)
(law, was enacted by, New York)
(first law, was enacted in, 1953)
(law, was, enacted by New York in 1953)
(first such law, was, enacted)
(such law, was enacted in, 1953)
(first such law, was enacted by, New York)
(such law, was enacted by, New York)
(such law, was, enacted)
(first such law, was, enacted by New York in 1953)
(law, was enacted in, 1953)
(first law, was enacted by, New York)
(they, are arrested on, suspicion of drunk-driving offense)
(they, are arrested on, suspicion of offense)
(they, are arrested on, suspicion)
(they, are, arrested)
(revocation, consequence of, refusal)
(Suspension, remains, legal consequence)
(Suspension, remains, consequence)
(revocation, remains, legal consequence of refusal)
(Suspension, remains, legal consequence of refusal)
(revocation, standard consequence of, refusal)
(revocation, remains, standard legal consequence of refusal)
(revocation, remains, standard consequence of refusal)
(Suspension, remains, standard consequence)
(motorist, has, driver)
(revocation, legal consequence of, refusal)
(Suspension, remains, standard legal consequence)
(revocation, remains, consequence)
(revocation, remains, consequence of refusal)
(revocation, standard legal consequence of, refusal)
(revocation, remains, legal consequence)
(Suspension, remains, consequence of refusal)
(Suspension, remains, standard legal consequence of refusal)
(driver, of, license)
(revocation, remains, standard consequence)
(Suspension, remains, standard consequence of refusal)
(revocation, remains, standard legal consequence)
(evidence, is admitted as, evidence of likely intoxication in prosecution)
(evidence, is, In addition admitted as evidence of likely intoxication in drunk-driving prosecution)
(evidence, is admitted as, evidence)
(evidence, is admitted as, evidence of likely intoxication in drunk-driving prosecution)
(evidence, is, In addition admitted as evidence of likely intoxication)
(likely intoxication, is in, drunk-driving prosecution)
(evidence, is admitted In, addition)
(evidence, is admitted as, evidence of likely intoxication)
(evidence, is, In addition admitted as evidence)
(evidence, is, admitted)
(evidence, is, In addition admitted as evidence of likely intoxication in prosecution)
(motorist, of, refusal)
(Federal Government, have toughened laws In, recent decades)
(efforts, have corresponded to, decrease in fatalities)
(efforts, have corresponded to, decrease in alcohol-related fatalities)
(efforts, have corresponded to, dramatic decrease in alcohol-related fatalities)
(States, have toughened laws In, recent decades)
(States, have toughened, drunk-driving laws)
(States, have toughened, laws)
(efforts, have corresponded to, dramatic decrease)
(efforts, have corresponded to, dramatic decrease in fatalities)
(States, have toughened laws In, decades)
(Federal Government, have toughened laws In, decades)
(Federal Government, have toughened, laws)
(Federal Government, have toughened, drunk-driving laws)
(dramatic decrease, is in, alcohol-related fatalities)
(efforts, have corresponded to, decrease)
(number, had fallen to, to 10,000)
(many States, impose penalties In, addition)
(States, now impose penalties In, addition)
(States, impose, increased penalties for drivers)
(States, now impose, increased penalties for recidivists)
(States, impose, penalties for recidivists)
(many States, impose, increased penalties)
(States, now impose, increased penalties)
(States, now impose, increased penalties for drivers)
(States, impose, increased penalties)
(States, impose, penalties for recidivists for drivers)
(many States, now impose, penalties for recidivists)
