(February 29 2016, Decided at_time, June 9 2016)
(his subsequent judicial participation, violated, Process Clause of Amendment)
(his subsequent participation, violated, Process Clause of Amendment)
(his judicial participation, violated, Process Clause of Fourteenth Amendment)
(his participation, violated, Due Clause of Fourteenth Amendment)
(his subsequent participation, violated, Due Process Clause of Fourteenth Amendment)
(his judicial participation, violated, Due Process Clause)
(his judicial participation, violated, Due Clause of Fourteenth Amendment)
(his subsequent participation, violated, Clause of Fourteenth Amendment)
(his participation, violated, Due Process Clause)
(his subsequent judicial participation, violated, Due Process Clause of Fourteenth Amendment)
(his judicial participation, violated, Due Clause of Amendment)
(Chief Justice Castille 's denial, violated, Due Clause of Fourteenth Amendment)
(Chief Justice Castille 's denial, violated, Clause of Fourteenth Amendment)
(Chief Justice Castille 's denial, violated, Clause of Amendment)
(his subsequent participation, violated, Due Clause of Fourteenth Amendment)
(Chief Justice Castille 's denial, violated, Due Process Clause of Amendment)
(his subsequent judicial participation, violated, Due Clause of Amendment)
(his participation, violated, Due Clause of Amendment)
(his judicial participation, violated, Due Process Clause of Amendment)
(Chief Justice Castille 's denial, violated, Due Clause)
(his subsequent participation, violated, Due Process Clause)
(his participation, violated, Clause)
(his subsequent judicial participation, violated, Due Process Clause of Amendment)
(Chief Justice Castille, has, denial)
(his subsequent judicial participation, violated, Clause)
(his judicial participation, violated, Clause)
(his participation, violated, Clause of Amendment)
(his participation, violated, Process Clause of Amendment)
(his participation, violated, Process Clause)
(Chief Justice Castille 's denial, violated, Due Process Clause)
(his participation, violated, Due Process Clause of Fourteenth Amendment)
(his subsequent judicial participation, violated, Due Clause)
(his participation, violated, Process Clause of Fourteenth Amendment)
(his subsequent judicial participation, violated, Clause of Fourteenth Amendment)
(his subsequent participation, violated, Due Clause of Amendment)
(his judicial participation, violated, Process Clause of Amendment)
(his judicial participation, violated, Due Clause)
(judge, had, significant personal involvement)
(judge, earlier had, personal involvement)
(judge, earlier had, significant personal involvement)
(judge, earlier had, involvement)
(judge, earlier had, involvement as prosecutor)
(judge, earlier had, significant personal involvement as prosecutor)
(judge, had, personal involvement)
(judge, personal involvement as, prosecutor)
(judge, earlier had involvement in, critical decision)
(Court, has, due process precedents)
(judge, had involvement in, decision)
(judge, earlier had, significant involvement)
(judge, significant personal involvement as, prosecutor)
(judge, had involvement in, critical decision)
(judge, had, significant involvement as prosecutor)
(judge, had, involvement as prosecutor)
(judge, involvement as, prosecutor)
(judge, had, involvement)
(judge, earlier had, significant involvement as prosecutor)
(judge, earlier had involvement in, decision)
(defendant, has, case)
(judge, had, significant involvement)
(judge, significant involvement as, prosecutor)
(judge, had, personal involvement as prosecutor)
(judge, earlier had, personal involvement as prosecutor)
(judge, had, significant personal involvement as prosecutor)
(likelihood, is, when too high)
(likelihood, is, when high)
(likelihood, is, high)
(likelihood, is, too high)
(person, serves in, case)
(same person, serves in, case)
(same person, serves as, accuser)
(person, serves as, accuser)
(serious question, arises As, result)
(court, is, asked)
(court, is asked, adjudicate)
(question, arises As, result)
(question, arises, would influenced)
(court, is now asked, adjudicate)
(serious question, arises, would influenced)
(court, is, now asked)
(involvement, is in, case)
(passage, relieves, former prosecutor)
(passage, withdraw, ensure)
(passage, relieves, former prosecutor of duty)
(Chief Justice Castille, has, authorization seek)
(significant personal involvement, is in, critical trial decision)
(Williams, from, case)
(Chief Justice Castille, had, significant role)
(Chief Justice Castille, had, role)
(critical choice, is in, adversary process)
(Chief Justice Castille, had role in, decision)
(decision, is, critical)
(Commonwealth, pursue, death sentence against Williams)
(it, be, exercise)
(responsible prosecutor, would deem, it)
(it, be, most significant exercise)
(prosecutor, would deem, it)
(it, be, significant exercise)
(it, be exercise of, his official discretion)
(it, be most significant exercise of, his official discretion)
(it, be, significant)
(it, be exercise of, his discretion)
(it, be significant exercise of, his discretion)
(it, be most significant exercise of, his discretion)
(it, be significant exercise of, his official discretion)
(today, has, decision)
(professional codes, already require recusal under, circumstances of case)
(today 's decision, significant change in, recusal practice)
(judge, has, vote)
(appellate panel 's deliberations, are, generally confidential)
(panel 's deliberations, are, generally confidential)
(it, is, possible)
(jurist, is in, question)
(panel 's deliberations, are, confidential)
(jurist, influenced views during, decisionmaking process)
(jurist, influenced, views of his colleagues)
(appellate panel, has, deliberations)
(views, jurist in, question)
(jurist, influenced, views)
(it, is possible, generally confidential)
(appellate panel 's deliberations, are, confidential)
(it, is possible, confidential)
(jurist, influenced during, decisionmaking process)
(jurist, views of, his colleagues)
(jurists, reexamine, old ideas)
(jurists, reexamine, ideas)
(interested judge, has, vote)
(State Supreme Court, has, whole adjudicatory framework below)
(Williams, in, case)
(Chief Justice Castille 's participation, is in, Williams 's case)
(court, unburdened by, possible temptation)
(Chief Justice Castille, has, participation in case)
(105 A., 3d, vacated)
(105 A., 3d, remanded)
(KENNEDY, delivered, opinion)
(THOMAS, filed, opinion)
(THOMAS, filed, dissenting opinion)
(opinion, is subject to, revision in print of United States Reports)
(opinion, is subject to, formal revision in preliminary print)
(opinion, is subject to, revision)
(opinion, is subject to, formal revision)
(opinion, is subject to, revision in print)
(opinion, is subject to, formal revision before publication)
(opinion, is subject to, formal revision in print of United States Reports)
(formal revision, is in, preliminary print of United States Reports)
(opinion, is subject to, revision before publication in preliminary print)
(opinion, is subject to, formal revision before publication in preliminary print)
(opinion, is subject to, formal revision before publication in print of United States Reports)
(opinion, is subject to, revision before publication)
(opinion, is subject to, formal revision in print)
(opinion, is, subject)
(opinion, is subject to, revision in preliminary print)
(opinion, is subject to, revision before publication in print)
(opinion, is subject to, formal revision in preliminary print of United States Reports)
(opinion, is subject to, revision before publication in preliminary print of United States Reports)
(opinion, is subject to, revision in preliminary print of United States Reports)
(opinion, is subject to, formal revision before publication in print)
(opinion, is subject to, revision before publication in print of United States Reports)
(opinion, is subject to, formal revision before publication in preliminary print of United States Reports)
(Readers, notify, Reporter)
(Readers, notify, Reporter of Decisions)
(Supreme Court, is in, order)
(Readers, are, requested)
(typographical formal errors, of States is, Washington)
(typographical formal errors, of States is, D. C. 20543)
(TERRANCE WILLIAMS, PETITIONER v., PENNSYLVANIA)
(JUSTICE KENNEDY, delivered, opinion of Court)
(JUSTICE KENNEDY, delivered, opinion)
(Supreme Court, vacated, decision)
(Supreme Court, vacated decision In, case)
(prisoner, in, case)
(justice, is in, question)
(prisoner, has, motion for recusal)
(justice, denied, prisoner 's motion for recusal)
(justice, denied, prisoner 's motion)
(justice 's denial, violated, Clause)
(justice, has, denial of recusal motion)
(justice 's denial, violated, Process Clause of Fourteenth Amendment)
(justice 's denial, violated, Due Clause)
(justice 's denial, violated, Due Clause of Amendment)
(justice 's denial, violated, Process Clause)
(justice 's denial, violated, Process Clause of Amendment)
(justice 's denial, violated, Due Process Clause of Fourteenth Amendment)
(justice 's denial, violated, Due Process Clause)
(justice 's denial, violated, Clause of Amendment)
(justice 's denial, violated, Due Clause of Fourteenth Amendment)
(justice 's denial, violated, Due Process Clause of Amendment)
(justice 's denial, violated, Clause of Fourteenth Amendment)
(likelihood, is, when too high)
(likelihood, is, when high)
(likelihood, is, high)
(Court, has, precedents)
(likelihood, is, too high)
(Court, Applying, standard)
(Court, concludes, that)
(justice, has, recusal)
(Petitioner, is, Terrance Williams)
(he, murdered Amos Norwood, Williams turned)
(he, murdered Amos Norwood in, Philadelphia)
(he, murdered Amos Norwood, soon Williams turned)
(he, murdered, Amos Norwood)
(Williams, soon turned, 18)
(Williams, turned, 18)
(he, murdered, 56-year-old Amos Norwood)
(he, murdered Amos Norwood In, 1984)
(Williams, standing on, street corner)
(Commonwealth, presented, evidence)
(friend, standing on, street corner)
(Commonwealth, presented evidence At, trial)
(Draper, requested, ride home)
(Williams, requested, ride home)
(him, drive toward, cemetery)
(Williams, ordered Norwood out of, car)
(Williams, ordered, Norwood)
(Williams, ordered Norwood into, cemetery)
(Draper, ordered, Norwood)
(Draper, ordered Norwood out of, car)
(Draper, ordered Norwood into, cemetery)
(men, tied Norwood in, his clothes)
(men, tied Norwood in, his own clothes)
(two men, There tied Norwood in, his own clothes)
(men, There tied Norwood in, his own clothes)
(men, tied, Norwood)
(two men, There tied, Norwood)
(two men, beat, him)
(two men, tied Norwood in, his clothes)
(men, There tied, Norwood)
(men, beat, him)
(two men, tied Norwood in, his own clothes)
(two men, tied, Norwood)
(men, There tied Norwood in, his clothes)
(two men, There tied Norwood in, his clothes)
(robbery, was motive for, crime)
(robbery, was, motive)
(Draper, Testifying for, Commonwealth)
(Williams, took stand in, his own defense)
(Williams, took, stand)
(Williams, took stand in, his defense)
(prosecutor, seek, death penalty against Williams)
(prosecutor, requested permission During, trial)
(prosecutor, requested, permission from her supervisors)
(prosecutor, seek, death penalty)
(district attorney, in, office)
(prosecutor, requested, permission)
(her supervisors, is in, district attorney 's office)
(prosecutor, requested, permission from her supervisors in district attorney 's office)
(information, supporting, two factors)
(information, supporting, two aggravating factors)
(information, supporting, two statutory aggravating factors)
(she, prepared, information)
(information, supporting, two statutory factors)
(she, support, request)
(facts, is in, mitigation)
(she, facts in, mitigation)
(she, prepared, memorandum setting forth)
(she, prepared, facts in mitigation)
(she, prepared, memorandum setting)
(she, prepared, facts)
(attorney, reviewing, memorandum)
(attorney, wrote, note)
(then-district attorney, reviewing, memorandum)
(then-district attorney, wrote note at, bottom of document)
(then-district attorney, wrote note at, bottom)
(attorney, wrote note at, bottom)
(then-district attorney, wrote, note)
(attorney, wrote note at, bottom of document)
(kind man, offered, ride home)
(prosecutor, argued During, penalty phase of trial)
(kind man, offered, him)
(Williams, deserved, death sentence)
(prosecutor, argued During, penalty phase)
(Williams, had, history of violent felony convictions)
(Williams, had, history of felony convictions)
(Williams, had, significant history of violent felony convictions)
(Williams, history of, felony convictions)
(Williams, had, history)
(Williams, had, significant history)
(Williams, had, significant history of felony convictions)
(Williams, significant history of, felony convictions)
(Williams, significant history of, violent felony convictions)
(jurors, found, two circumstances)
(Williams, history of, violent felony convictions)
(jurors, found, two aggravating circumstances)
(history, included, previous conviction)
(he, had committed at, age 17)
(criminal history, included, previous conviction)
(history, included, conviction)
(criminal history, included, conviction)
(jury, sentenced Williams to, death)
(jury, sentenced, Williams)
(Williams 's conviction, were, upheld)
(Williams 's conviction, were, Over period of 26 years upheld on appeal)
(Williams 's conviction, were, Over period of 26 years upheld on direct appeal)
(Williams 's conviction, were, upheld on appeal)
(Williams 's conviction, were, Over period upheld on appeal)
(Williams 's conviction, were, Over period of 26 years upheld)
(Williams 's conviction, were, Over period upheld on direct appeal)
(Williams 's conviction, were, Over period upheld)
(Williams 's conviction, were, upheld on direct appeal)
(Williams, has, conviction)
(Williams, filed, petition)
(Williams, filed, successive petition)
(Pennsylvania, pursuant to, Post Conviction Relief Act)
(Pennsylvania, 's Act is, 42 Pa.)
(Pennsylvania, 's Act is, PCRA)
(Williams, filed petition In, 2012)
(petition, was based on, information)
(petition, was based on, new information)
(petition, was, based)
(Williams, with, attorneys)
(Williams, been, sexual)
(Draper, told, Williams 's counsel)
(had sexual relationship, is with, Norwood)
(Norwood, for, murder)
(Williams, has, counsel)
(Williams, killed, Norwood)
(Commonwealth, had instructed, him)
(Williams, rob, him)
(him, give, false testimony)
(he, received, benefit in exchange)
(he, received, undisclosed benefit)
(he, received, undisclosed benefit in exchange)
(trial prosecutor, write, letter on his behalf)
(trial prosecutor, write, letter)
(he, benefit in, exchange)
(trial prosecutor, write, letter to state parole board)
(he, received, undisclosed benefit in exchange for his testimony)
(trial prosecutor, write, letter to state parole board on his behalf)
(he, undisclosed benefit in, exchange)
(undisclosed benefit, is in, exchange for his testimony)
(he, undisclosed benefit in, exchange for his testimony)
(he, received, benefit in exchange for his testimony)
(he, received, benefit)
(he, benefit in, exchange for his testimony)
(his agreement, plead in, exchange for testimony)
(his only agreement, was, plead)
(his agreement, plead in, exchange)
(his only agreement, plead in, exchange)
(his agreement, plead, guilty)
(his only agreement, was, plead in exchange for testimony)
(his agreement, was, plead in exchange for testimony)
(his only agreement, is with, prosecution)
(his only agreement, plead in, exchange for testimony)
(prosecutor, had elicited testimony from, Draper)
(his agreement, was, plead in exchange)
(his only agreement, was, plead in exchange for truthful testimony)
(prosecutor, had elicited, testimony)
(prosecutor, had elicited testimony At, trial)
(his only agreement, plead, guilty)
(his only agreement, plead in, exchange for truthful testimony)
(his agreement, was, plead in exchange for truthful testimony)
(his only agreement, was, plead in exchange)
(his agreement, was, plead)
(his agreement, plead in, exchange for truthful testimony)
(Philadelphia Court, held, evidentiary hearing)
(Williams, on, claims)
(Philadelphia Court, held, hearing on Williams 's claims)
(Philadelphia Court, held, hearing)
(Philadelphia Court, held, evidentiary hearing on Williams 's claims)
(prosecutor, suppressed evidence regarding, Norwood 's sexual relationship)
(prosecutor, evidence regarding, Norwood 's relationship with Williams)
(prosecutor, evidence regarding, Norwood 's sexual relationship with Williams)
(prosecutor, evidence regarding, Norwood 's relationship)
(prosecutor, false testimony from, Draper)
(prosecutor, suppressed evidence regarding, Norwood 's relationship)
(prosecutor, evidence regarding, Norwood 's sexual relationship)
(prosecutor, procured, false testimony)
(Norwood 's sexual relationship, is with, Williams)
(Williams, alleged in, his petition)
(prosecutor, suppressed evidence regarding, Norwood 's relationship with Williams)
(prosecutor, procured, false testimony from Draper)
(Norwood, regarding, sexual relationship with Williams)
(prosecutor, suppressed evidence regarding, Norwood 's sexual relationship with Williams)
(trial prosecutor, regarding, allegations)
(trial prosecutor, testified At, hearing)
(district attorney 's office, produce, files)
(district attorney 's office, produce, previously undisclosed files of prosecutor)
(district attorney 's office, produce, undisclosed files of prosecutor)
(district attorney 's office, produce, undisclosed files)
(PCRA court, ordered, district attorney 's office)
(district attorney, has, office)
(district attorney 's office, produce, previously undisclosed files)
(district attorney 's office, produce, files of prosecutor)
(then-District Attorney Castille, has, authorization pursue)
(trial prosecutor, has, sentencing memorandum bearing)
(documents, included, trial prosecutor 's sentencing memorandum)
(exculpatory evidence, is in, violation of Brady)
(trial prosecutor, suppressed, exculpatory evidence in violation)
(trial prosecutor, suppressed, evidence in violation of Brady)
(trial prosecutor, suppressed, material)
(material, evidence in, violation)
(material, evidence in, violation of Brady)
(trial prosecutor, suppressed, evidence in violation)
(material, exculpatory evidence in, violation of Brady)
(Commonwealth, Based on, files)
(trial prosecutor, suppressed, exculpatory evidence in violation of Brady)
(material, evidence in, violation of Brady)
(trial prosecutor, suppressed, evidence)
(PCRA court, found Based on, Commonwealth 's files)
(material, exculpatory evidence in, violation)
(trial prosecutor, suppressed, exculpatory evidence)
(Williams, has, execution)
(court, ordered, new sentencing hearing)
(court, stayed, Williams 's execution)
(court, ordered, sentencing hearing)
(Commonwealth, submitted emergency application to, Pennsylvania Supreme Court)
(Commonwealth, submitted, emergency application)
(decades, had passed since, Williams 's prosecution)
(Williams, since, prosecution)
(decades, had passed By, time)
(Castille, had, had elected to seat on State Supreme Court)
(Castille, serving as, its chief justice)
(Castille, had, had elected to seat)
(Castille, had, had elected)
(Castille, serving as, its justice)
(Commonwealth, to, application)
(Williams, filed, response)
(Williams, filed, response to Commonwealth 's application)
(Chief Justice Castille 's involvement, is in, decision seek)
(disclosure, had alerted Williams to, Chief Justice Castille 's involvement)
(disclosure, had alerted, Williams)
(trial prosecutor 's sentencing memorandum, is in, PCRA proceedings)
(trial prosecutor, of, sentencing memorandum in PCRA proceedings)
(Chief Justice Castille, to, involvement in decision seek in case)
(Williams, filed, motion)
(he, declined, do)
(he, refer, motion)
(Williams, also filed, motion)
(he, refer motion to, full court)
(he, declined, refer to full court for decision)
(he, declined, refer to court)
(he, refer motion for, decision)
(he, declined, refer)
(he, declined, refer for decision)
(he, declined, refer to full court)
(he, refer for, decision)
(Chief Justice Castille, recuse, himself)
(Williams, filed motion For, reason)
(he, refer to, full court)
(he, refer, recusal motion)
(he, refer to, court)
(Williams, also filed motion For, reason)
(he, refer motion to, court)
(he, declined, refer to court for decision)
(motion, asking, Chief Justice Castille)
(he, declined, do so)
(Commonwealth, opposed, Williams 's recusal motion)
(Williams, has, recusal motion)
(Commonwealth, opposed, Williams 's motion)
(Chief Justice Castille, denied, motion)
(Chief Justice Castille, denied, motion for recusal)
(Chief Justice Castille, denied motion Without, explanation)
(stay, ordered briefing on, issues)
(stay, ordered briefing on, issues raised in appeal)
(stay, ordered, briefing)
(stay, ordered briefing on, issues raised)
(stay, ordered, full briefing)
(Williams, has, death sentence)
(State Supreme Court, vacated, PCRA court 's order)
(State Supreme Court, reinstated, Williams 's death sentence)
(PCRA court, has, order granting)
(Stevens, joined, majority opinion)
(Justices Baer, joined, majority opinion)
(Chief Justice Castille, joined, majority opinion written by Justice Eakin)
(Justices Baer, joined, majority opinion written by Justice Eakin)
(Chief Justice Castille, joined, majority opinion written)
(Stevens, joined, majority opinion written)
(Stevens, joined, majority opinion written by Justice Eakin)
(Justices Baer, joined, majority opinion written)
(majority opinion, written by, Justice Eakin)
(Chief Justice Castille, joined, majority opinion)
(Todd, issuing, opinion)
(Todd, issuing, separate opinion)
(Todd, concurred in, result)
(Justices Saylor, concurred in, result)
(Chief Justice Castille, authored, concurrence)
(Williams, has, execution)
(PCRA court, lost sight as, officer)
(PCRA court, lost sight as, judicial officer)
(PCRA court, lost sight as, neutral judicial officer)
(PCRA court, lost, sight of its role)
(PCRA court, lost, sight)
(PCRA court, sight of, its role)
(PCRA court, lost sight as, neutral officer)
(condemning, officers of, court)
(Williams, of, attorneys from Federal Community Defender Office)
(Chief Justice Castille, denounced In, addition)
(it, comes to, activities)
(it, comes to, activities of particular advocacy group)
(ringmasters, is with, their parrots as sideshow)
(PCRA courts, need, vigilant)
(it, comes to, activities of advocacy group)
(Defender Office lawyers, turn, postconviction proceedings)
(Defender Office lawyers, turn postconviction proceedings into, circus)
(PCRA courts, need throughout, Pennsylvania)
(Williams, has, case)
(Chief Justice Castille, retired from, bench)
(Chief Justice Castille, retired, Pennsylvania Supreme Court decided)
(Pennsylvania Supreme Court, decided, Williams 's case)
(Court, granted, Williams 's petition for certiorari)
(Williams, has, petition for certiorari)
(Court, granted, Williams 's petition)
(Williams, has, petition)
(Chief Justice Castille, has, decision as district attorney seek)
(Chief Justice Castille, violated, Due Clause of Amendment)
(Chief Justice Castille, violated, Clause)
(Chief Justice Castille, violated Clause, acting)
(Chief Justice Castille, violated, Due Process Clause)
(Chief Justice Castille, acting as, accuser)
(Chief Justice Castille, violated, Clause of Amendment)
(Chief Justice Castille, violated, Due Clause)
(Chief Justice Castille, violated Clause, acting as accuser)
(Chief Justice Castille, violated, Due Process Clause of Amendment)
(Chief Justice Castille, violated, Due Process Clause of Fourteenth Amendment)
(Chief Justice Castille, acting in, his case)
(Chief Justice Castille, violated, Process Clause of Fourteenth Amendment)
(Chief Justice Castille, violated, Process Clause of Amendment)
(Chief Justice Castille, violated, Clause of Fourteenth Amendment)
(Chief Justice Castille, violated Clause, acting as accuser in his case)
(Chief Justice Castille, violated, Process Clause)
(Chief Justice Castille, violated Clause, acting in his case)
(Chief Justice Castille, violated, Due Clause of Fourteenth Amendment)
(Court, has, due process precedents)
(judge, had, significant personal involvement)
(judge, earlier had, personal involvement)
(judge, earlier had, significant personal involvement)
(judge, earlier had, involvement)
(impermissible risk, is under, Process Clause)
(risk, is under, Due Process Clause)
(judge, earlier had, involvement as prosecutor)
(judge, earlier had, significant personal involvement as prosecutor)
(risk, is under, Process Clause)
(judge, had, personal involvement)
(judge, personal involvement as, prosecutor)
(judge, earlier had involvement in, critical decision)
(judge, had involvement in, decision)
(judge, earlier had, significant involvement)
(judge, significant personal involvement as, prosecutor)
(judge, had involvement in, critical decision)
(judge, had, significant involvement as prosecutor)
(judge, had, involvement as prosecutor)
(judge, involvement as, prosecutor)
(judge, had, involvement)
(impermissible risk, is under, Due Process Clause)
(judge, earlier had, significant involvement as prosecutor)
(judge, earlier had involvement in, decision)
(defendant, has, case)
(judge, had, significant involvement)
(judge, significant involvement as, prosecutor)
(judge, had, personal involvement as prosecutor)
(judge, earlier had, personal involvement as prosecutor)
(judge, had, significant personal involvement as prosecutor)
(Bias, attribute to, others)
(Bias, is, easy)
(actual bias, is, present)
(bias, is, present)
(Court, has, precedents)
(Court 's precedents, establish, framework)
(Court 's precedents, establish, enforceable framework)
(average judge, is in, his position)
(881, at Caperton is, 556 U. S.)
(person, serves in, case)
(Court, has determined Of, relevance to case)
(Court, has determined Of, particular relevance)
(same person, serves in, case)
(same person, serves as, accuser)
(person, serves as, accuser)
(Court, has determined Of, relevance)
(he, has, interest in outcome)
(objective risk, is, reflected)
(interest, is in, outcome)
(he, interest in, outcome)
(risk, is, reflected)
(he, has, interest)
(he, had made, decision)
(she, had made, decision)
(she, had made, critical decision)
(it, sitting in, judgment)
(he, had made, critical decision)
(Court, from, analysis in In re Murchison)
(Court 's analysis, is In, in re Murchison)
(conclusion, follows from, Court 's analysis in In Murchison)
(conclusion, follows from, Court 's analysis)
(conclusion, follows from, Court 's analysis in In re Murchison)
(judge, called, witnesses)
(witnesses, testify about, crimes)
(judge, called, testify about suspected crimes)
(judge, called, testify)
(judge, called, testify about crimes)
(witnesses, testify about, suspected crimes)
(witnesses, obstructing, proceeding)
(judge, became During, course)
(judge, became During, course of examinations)
(judge, became, convinced)
(two witnesses, obstructing, proceeding)
(He, charged, one witness)
(judge, charged, witness)
(judge, charged, other witness)
(judge, charged witness with, contempt)
(judge, has, dual position as accuser in contempt trials)
(Court, overturned, convictions)
(Court, overturned, convictions on ground)
(judge 's dual position, is in, contempt trials)
(judge, has served as, advocate for State)
(court, is, asked)
(judge, personal interest in, outcome)
(court, is asked, adjudicate)
(judge, could set aside, personal interest in outcome)
(judge, has served as, advocate)
(court, is now asked, adjudicate)
(court, is, now asked)
(judge, be, wedded to his position as prosecutor)
(judge, be, psychologically wedded to his previous position as prosecutor)
(judge, be, wedded)
(judge, be psychologically wedded to, his position)
(judge, be psychologically wedded as, prosecutor)
(judge, be so psychologically wedded as, prosecutor)
(judge, be, psychologically wedded to his position as prosecutor)
(judge, consciously or unconsciously avoid, appearance having erred)
(judge, be, so psychologically wedded)
(judge, be wedded as, prosecutor)
(judge, be wedded to, his position)
(judge, be so psychologically wedded to, his position)
(judge, be, wedded to his previous position as prosecutor)
(judge, avoid, appearance having erred)
(judge, be wedded to, his previous position)
(judge, be psychologically wedded to, his previous position)
(judge, be, so psychologically wedded to his position as prosecutor)
(judge, consciously avoid, appearance having erred)
(judge, be, psychologically wedded)
(judge, be so psychologically wedded to, his previous position)
(judge, be, so psychologically wedded to his previous position as prosecutor)
(57, at Withrow is, 421 U. S.)
(judge 's own knowledge, may carry, weight)
(judge 's own knowledge, impression of, case)
(judge 's knowledge, may carry weight than, parties ' arguments to court)
(impression, may carry weight than, parties ' arguments)
(judge 's own knowledge, may carry, more weight)
(impression, may carry, far more weight)
(impression, may carry weight with, judge)
(impression, may carry, weight)
(judge 's knowledge, may carry weight In, addition)
(judge 's knowledge, may carry, far more weight)
(judge 's personal knowledge, impression of, case)
(his role, is in, prosecution)
(judge 's knowledge, may carry, more weight)
(judge 's own knowledge, may carry weight than, parties ' arguments)
(judge 's knowledge, may carry, weight)
(judge 's knowledge, impression of, case)
(impression, may carry, more weight)
(judge 's knowledge, may carry weight than, parties ' arguments)
(judge, has, knowledge)
(judge 's knowledge, may carry weight with, judge)
(judge 's own knowledge, may carry weight In, addition)
(judge 's own knowledge, may carry, far more weight)
(judge 's own personal knowledge, impression of, case)
(impression, may carry weight than, parties ' arguments to court)
(judge 's own knowledge, may carry weight with, judge)
(impression, may carry weight In, addition)
(881, at Caperton is, supra)
(138, at Murchison is, supra)
(it, should, should acknowledged)
(single official, conducted investigation over, course of weeks)
(official, conducted, investigation)
(single official, judgments of, conviction)
(official, conducted, investigation into suspected crimes)
(official, conducted investigation over, course of several weeks)
(single official, conducted investigation over, course of several weeks)
(official, judgments of, conviction)
(official, investigation into, crimes)
(single official, conducted, investigation into suspected crimes)
(single official, investigation into, crimes)
(official, heard, evidence)
(single official, issued judgments of, conviction)
(official, conducted, investigation into crimes)
(single official, conducted, investigation into crimes)
(official, conducted investigation over, course)
(official, investigation into, suspected crimes)
(single official, conducted investigation over, course)
(single official, investigation into, suspected crimes)
(single official, conducted, investigation)
(official, conducted investigation over, course of weeks)
(official, issued judgments of, conviction)
(single official, heard, evidence)
(prosecutor, has, immediate role)
(prosecutor 's role, might, might have limited to particular aspect of prosecution)
(prosecutor 's role, might, might have limited to particular aspect)
(prosecutor 's immediate role, might, might have limited to particular aspect)
(prosecutor 's immediate role, might, might have limited)
