(January 14 2015, Decided at_time, June 1 2015)
(underlying crime, falls by, definition)
(state conviction, triggers removal, crime falls)
(state conviction, triggers removal, by definition underlying crime falls within category of offenses defined by federal law)
(state conviction, triggers removal, only by definition crime falls within category)
(state conviction, triggers removal, crime falls within category of removable offenses defined by law)
(underlying crime, falls within, category)
(state conviction, triggers removal, only by definition underlying crime falls within category of removable offenses defined by law)
(underlying crime, only falls within, category of offenses)
(state conviction, triggers removal, only crime falls within category of removable offenses defined by federal law)
(state conviction, triggers removal, only by definition crime falls within category of removable offenses defined by federal law)
(crime, only falls within, category of offenses defined by law)
(state conviction, triggers removal, underlying crime falls)
(state conviction, triggers removal, only crime falls within category of removable offenses)
(underlying crime, only falls by, definition)
(underlying crime, only falls within, category of offenses defined by law)
(state conviction, triggers removal, only underlying crime falls within category of offenses defined by federal law)
(state conviction, triggers removal, underlying crime falls within category of removable offenses defined by law)
(state conviction, triggers removal, only by definition crime falls within category of offenses)
(state conviction, triggers removal, by definition underlying crime falls within category of removable offenses defined)
(underlying crime, only falls within, category of removable offenses)
(crime, falls within, category of offenses defined by federal law)
(state conviction, triggers removal, only by definition crime falls)
(underlying crime, falls within, category of removable offenses)
(crime, only falls within, category of offenses defined)
(state conviction, triggers removal, underlying crime falls within category of offenses defined by law)
(state conviction, triggers removal, by definition crime falls within category of removable offenses defined by law)
(underlying crime, only falls within, category of removable offenses defined by law)
(state conviction, triggers removal, by definition crime falls within category of offenses defined by federal law)
(crime, falls by, definition)
(crime, only falls within, category of removable offenses defined by federal law)
(state conviction, triggers removal, only by definition underlying crime falls within category of removable offenses)
(crime, only falls within, category)
(state conviction, triggers removal, by definition underlying crime falls within category of offenses)
(state conviction, triggers removal, only underlying crime falls within category of removable offenses defined)
(crime, falls within, category of offenses defined)
(state conviction, triggers removal, only by definition crime falls within category of removable offenses defined by law)
(state conviction, triggers removal, only underlying crime falls within category of removable offenses)
(crime, falls within, category of removable offenses)
(state conviction, triggers removal, crime falls within category of removable offenses)
(state conviction, triggers removal, only crime falls within category of removable offenses defined)
(state conviction, triggers removal, by definition crime falls within category of offenses defined by law)
(underlying crime, falls within, category of offenses)
(state conviction, triggers removal, only crime falls within category of offenses defined by law)
(state conviction, triggers removal, by definition underlying crime falls within category)
(state conviction, triggers, removal)
(crime, only falls within, category of offenses)
(state conviction, triggers removal, only by definition crime falls within category of offenses defined)
(state conviction, triggers removal, crime falls within category of offenses defined by federal law)
(state conviction, triggers removal, by definition crime falls within category)
(state conviction, triggers removal, only crime falls within category of offenses defined)
(state conviction, triggers removal, only underlying crime falls within category of removable offenses defined by federal law)
(state conviction, triggers removal, only by definition underlying crime falls within category of offenses defined)
(state conviction, triggers removal, by definition underlying crime falls within category of offenses defined by law)
(crime, falls within, category of removable offenses defined)
(state conviction, triggers removal, by definition crime falls within category of removable offenses defined)
(underlying crime, only falls within, category of offenses defined by federal law)
(state conviction, triggers removal, underlying crime falls within category)
(state conviction, triggers removal, by definition crime falls within category of removable offenses)
(underlying crime, falls within, category of removable offenses defined by law)
(underlying crime, falls within, category of offenses defined by federal law)
(state conviction, triggers removal, crime falls within category of removable offenses defined by federal law)
(crime, falls within, category)
(state conviction, triggers removal, only by definition underlying crime falls within category of offenses defined by federal law)
(state conviction, triggers removal, by definition crime falls within category of offenses)
(state conviction, triggers removal, underlying crime falls within category of removable offenses defined by federal law)
(crime, only falls within, category of removable offenses)
(state conviction, triggers removal, only by definition underlying crime falls within category of offenses)
(underlying crime, falls within, category of offenses defined)
(state conviction, triggers removal, only by definition underlying crime falls)
(state conviction, triggers removal, by definition underlying crime falls within category of removable offenses defined by federal law)
(state conviction, triggers removal, only crime falls within category of offenses defined by federal law)
(state conviction, triggers removal, crime falls within category of offenses defined by law)
(state conviction, triggers removal, only underlying crime falls within category)
(state conviction, triggers removal, only underlying crime falls within category of offenses)
(underlying crime, only falls within, category of offenses defined)
(state conviction, triggers removal, underlying crime falls within category of offenses)
(state conviction, triggers removal, crime falls within category of removable offenses defined)
(state conviction, triggers removal, only underlying crime falls within category of removable offenses defined by law)
(state conviction, triggers removal, only crime falls)
(underlying crime, falls within, category of offenses defined by law)
(crime, only falls within, category of removable offenses defined by law)
(underlying crime, only falls within, category of removable offenses defined)
(crime, falls within, category of removable offenses defined by law)
(underlying crime, only falls within, category of removable offenses defined by federal law)
(state conviction, triggers removal, by definition underlying crime falls within category of removable offenses defined by law)
(state conviction, triggers removal, by definition underlying crime falls)
(state conviction, triggers removal, underlying crime falls within category of removable offenses)
(state conviction, triggers removal, only by definition crime falls within category of removable offenses defined)
(state conviction, triggers removal, only by definition crime falls within category of offenses defined by federal law)
(state conviction, triggers removal, only crime falls within category of removable offenses defined by law)
(state conviction, triggers removal, underlying crime falls within category of offenses defined)
(crime, falls within, category of removable offenses defined by federal law)
(state conviction, triggers removal, only underlying crime falls within category of offenses defined)
(state conviction, triggers removal, only underlying crime falls within category of offenses defined by law)
(crime, only falls by, definition)
(state conviction, triggers removal, only by definition crime falls within category of offenses defined by law)
(state conviction, triggers removal, by definition crime falls within category of removable offenses defined by federal law)
(state conviction, triggers removal, by definition crime falls)
(state conviction, triggers removal, only crime falls within category)
(crime, falls within, category of offenses defined by law)
(underlying crime, falls within, category of removable offenses defined)
(crime, only falls within, category of offenses defined by federal law)
(crime, only falls within, category of removable offenses defined)
(state conviction, triggers removal, only by definition underlying crime falls within category of removable offenses defined)
(state conviction, triggers removal, underlying crime falls within category of offenses defined by federal law)
(state conviction, triggers removal, only crime falls within category of offenses)
(state conviction, triggers removal, by definition underlying crime falls within category of removable offenses)
(state conviction, triggers removal, crime falls within category of offenses defined)
(underlying crime, falls within, category of removable offenses defined by federal law)
(state conviction, triggers removal, only by definition underlying crime falls within category of offenses defined by law)
(state conviction, triggers removal, by definition crime falls within category of offenses defined)
(state conviction, triggers removal, only by definition underlying crime falls within category of removable offenses defined by federal law)
(BIA, has long applied, categorical approach assess)
(state drug conviction, triggers, removal)
(BIA, has applied, approach assess)
(BIA, has applied, categorical approach assess)
(BIA, has long applied, approach assess)
(conviction, was, deportable)
(conviction, involved, substance)
(conviction, involved, substance controlled only under California)
(conviction, involved, substance controlled)
(alien, has, California conviction offering)
(conviction, involved, substance controlled under California)
(it, included, substances controlled)
(it, included, substances controlled only under state)
(it, also included, substances controlled only under state)
(it, included, substances controlled under state)
(Mellouli, in, conviction)
(California statute, is in, Paulus)
(it, included, substances)
(it, also included, substances controlled)
(it, also included, substances controlled under state)
(state law, involved in, Mellouli conviction)
(it, also included, substances)
(BIA, however announced, approach in Matter)
(BIA, however announced, different approach in Matter of Martinez Espinoza)
(BIA, announced, approach in Matter)
(BIA, however announced, different approach)
(BIA, announced, different approach in Matter of Martinez Espinoza)
(BIA, however announced, approach)
(different approach, is in, Matter of Martinez Espinoza)
(BIA, announced, different approach in Matter)
(BIA, announced, different approach)
(BIA, however announced, different approach in Matter)
(BIA, however announced, approach in Matter of Martinez Espinoza)
(BIA, announced, approach)
(BIA, announced, approach in Matter of Martinez Espinoza)
(BIA, There ranked, paraphernalia statutes)
(BIA, There ranked reasoning, relating)
(BIA, There ranked reasoning, relating to drug trade in general)
(BIA, ranked reasoning, relating to drug trade in general)
(BIA, ranked reasoning, relating)
(BIA, ranked, reasoning)
(BIA, ranked paraphernalia statutes, relating)
(BIA, relating to, drug trade in general)
(BIA, There ranked paraphernalia statutes, relating)
(BIA, ranked, paraphernalia statutes)
(BIA, There ranked, reasoning)
(BIA, has, disparate approach to drug possession)
(alien, possessing, substance controlled only under Kansas law)
(he, is, removable)
(he, using, sock)
(BIA, has, interpretation)
(it, makes, scant sense)
(it, makes, sense)
(doctrine, described in, Chevron U. S. A. Inc.)
(Government, has, interpretation of statute)
(Government 's interpretation, is, similarly flawed)
(Government 's interpretation, is, flawed)
(drug schedules, substantially overlap, schedules)
(drug schedules, overlap, federal schedules)
(drug schedules, overlap, schedules)
(drug schedules, substantially overlap, federal schedules)
(aliens, is in, States)
(States, in aliens is, just paraphernalia offenses)
(words, relating, broad)
(Government 's reading, stretches, construction)
(construction, reaching, state-court convictions)
(construction, reaching, convictions)
(Government, has, reading)
(Government 's reading, stretches construction, words relating)
(Construction, must, must faithful)
(Government, connect, element)
(alien, of, conviction to drug defined in § 802)
(Government, connect, element of alien 's conviction to drug)
(Government, connect element under, B)
(Government, connect, element of alien 's conviction)
(Government, connect, element of alien 's conviction to drug defined)
(Government, connect, element of alien 's conviction to drug defined in § 802)
(GINSBURG, delivered, opinion)
(SCALIA, joined, KAGAN)
(SCALIA, joined, BREYER)
(SCALIA, joined, KENNEDY)
(SCALIA, joined, SOTOMAYOR)
(opinion, is subject to, revision in print of United States Reports)
(opinion, is subject to, formal revision in preliminary print)
(opinion, is subject to, revision)
(opinion, is subject to, formal revision)
(opinion, is subject to, revision in print)
(opinion, is subject to, formal revision before publication)
(opinion, is subject to, formal revision in print of United States Reports)
(formal revision, is in, preliminary print of United States Reports)
(opinion, is subject to, revision before publication in preliminary print)
(opinion, is subject to, formal revision before publication in preliminary print)
(opinion, is subject to, formal revision before publication in print of United States Reports)
(opinion, is subject to, revision before publication)
(opinion, is subject to, formal revision in print)
(opinion, is, subject)
(opinion, is subject to, revision in preliminary print)
(opinion, is subject to, revision before publication in print)
(opinion, is subject to, formal revision in preliminary print of United States Reports)
(opinion, is subject to, revision before publication in preliminary print of United States Reports)
(opinion, is subject to, revision in preliminary print of United States Reports)
(opinion, is subject to, formal revision before publication in print)
(opinion, is subject to, revision before publication in print of United States Reports)
(opinion, is subject to, formal revision before publication in preliminary print of United States Reports)
(Readers, notify, Reporter)
(Readers, notify, Reporter of Decisions)
(Supreme Court, is in, order)
(Readers, are, requested)
(typographical formal errors, of States is, Washington)
(typographical formal errors, of States is, D. C. 20543)
(MOONES MELLOULI, PETITIONER v., LORETTA E.)
(JUSTICE GINSBURG, delivered, opinion of Court)
(JUSTICE GINSBURG, delivered, opinion)
(immigration judges, apply, deportation provision)
(case, requires, us)
(case, defined with, reference to federal drug laws)
(case, defined with, reference)
(case, defined to, alien)
(case, defined to, alien convicted of state drug-paraphernalia misdemeanor)
(case, defined with, reference to drug laws)
(case, defined to, alien convicted)
(permanent resident Moones Mellouli, pleaded, guilty to misdemeanor offense under Kansas law)
(Lawful resident Moones Mellouli pleaded, otherwise introduce, controlled substance)
(Lawful permanent resident Moones Mellouli pleaded, otherwise introduce substance into, body)
(resident Moones Mellouli pleaded, introduce substance into, human body)
(permanent resident Moones Mellouli pleaded, otherwise introduce, controlled substance)
(Lawful permanent resident Moones Mellouli pleaded, introduce substance into, human body)
(Lawful resident Moones Mellouli, pleaded, guilty)
(permanent resident Moones Mellouli pleaded, otherwise introduce substance into, human body)
(resident Moones Mellouli, pleaded, guilty to misdemeanor offense)
(Lawful permanent resident Moones Mellouli, pleaded, guilty to misdemeanor offense)
(Lawful resident Moones Mellouli pleaded, otherwise introduce, substance)
(Lawful resident Moones Mellouli pleaded, otherwise introduce substance into, body)
(Lawful permanent resident Moones Mellouli, pleaded, guilty)
(resident Moones Mellouli pleaded, introduce, controlled substance)
(Lawful permanent resident Moones Mellouli pleaded, otherwise introduce, substance)
(Lawful permanent resident Moones Mellouli, pleaded, guilty to misdemeanor offense under Kansas law)
(resident Moones Mellouli pleaded, otherwise introduce, controlled substance)
(Lawful permanent resident Moones Mellouli pleaded, introduce, controlled substance)
(resident Moones Mellouli pleaded, otherwise introduce substance into, human body)
(resident Moones Mellouli pleaded, introduce substance into, body)
(permanent resident Moones Mellouli pleaded, otherwise introduce, substance)
(permanent resident Moones Mellouli pleaded, introduce substance into, human body)
(permanent resident Moones Mellouli pleaded, introduce, substance)
(permanent resident Moones Mellouli pleaded, introduce, controlled substance)
(Lawful resident Moones Mellouli pleaded, introduce substance into, body)
(permanent resident Moones Mellouli, pleaded, guilty)
(resident Moones Mellouli pleaded, otherwise introduce substance into, body)
(Lawful resident Moones Mellouli pleaded, otherwise introduce substance into, human body)
(resident Moones Mellouli pleaded, introduce, substance)
(permanent resident Moones Mellouli pleaded, otherwise introduce substance into, body)
(permanent resident Moones Mellouli, pleaded, guilty to misdemeanor offense)
(resident Moones Mellouli, pleaded, guilty)
(resident Moones Mellouli, pleaded, guilty to misdemeanor offense under Kansas law)
(resident Moones Mellouli pleaded, otherwise introduce, substance)
(Lawful resident Moones Mellouli, pleaded, guilty to misdemeanor offense)
(Lawful resident Moones Mellouli, pleaded, guilty to misdemeanor offense under Kansas law)
(Lawful resident Moones Mellouli pleaded, introduce, controlled substance)
(permanent resident Moones Mellouli pleaded, introduce substance into, body)
(Lawful permanent resident Moones Mellouli, is in, 2010)
(Lawful permanent resident Moones Mellouli pleaded, otherwise introduce, controlled substance)
(Lawful permanent resident Moones Mellouli pleaded, introduce substance into, body)
(Lawful resident Moones Mellouli pleaded, introduce, substance)
(Lawful permanent resident Moones Mellouli pleaded, introduce, substance)
(Lawful resident Moones Mellouli pleaded, introduce substance into, human body)
(Lawful permanent resident Moones Mellouli pleaded, otherwise introduce substance into, human body)
(sole paraphernalia Mellouli, was, charged)
(paraphernalia Mellouli, was, charged)
(he, had placed, four tablets)
(he, had placed, four orange tablets)
(tablets, were, Adderall)
(Mellouli, was sentenced to, suspended term)
(Mellouli, was sentenced to, suspended term of 359 days)
(Mellouli, was, sentenced)
(Mellouli, was sentenced to, term)
(Mellouli, was sentenced to, term of 359 days)
(foreign country, relating to, controlled substance)
(country, relating to, substance)
(country, relating to, controlled substance)
(foreign country, relating to, substance)
(Mellouli, has, Kansas conviction concealing in sock)
(he, was, convicted)
(definition related, by § is, b)
(Kansas statute, made, it use with intent)
(it, use with, intent)
(it, use drug paraphernalia to, store)
(it, use, drug paraphernalia)
(Kansas statute, made, it use)
(substance, was defined in, 21 U. S. C. § 802)
(it, was, immaterial)
(it, was immaterial under, law)
(substance, was, defined)
(Mellouli, possessed, substance)
(Mellouli, substance on, § 802 schedules)
(Mellouli, possessed, substance on § 802 schedules)
(case, involves, interplay between federal statutes)
(case, involves, interplay between several statutes)
(case, involves, interplay between several federal statutes)
(case, involves, interplay between statutes)
(case, involves, interplay)
(B, provision of, Immigration Act)
(foreign country, relating to, controlled substance)
(163, authorizes, removal)
(country, relating to, substance)
(163, authorizes, removal of alien)
(one, for, own use of 30 grams)
(country, relating to, controlled substance)
(foreign country, relating to, substance)
(163, authorizes, removal of alien convicted)
(Mellouli, pleaded, guilty)
(Mellouli, pleaded, Kan.)
(intent, with possess is, ion)
(drug, included on, its own schedules)
(Kansas, defines substance, drug included on its schedules)
(drug, included on, its schedules)
(Kansas, defines substance, drug included on its own schedules)
(Kansas, defines substance, drug included)
(Kansas, defines, controlled substance)
(Kansas, defines, substance)
(Mellouli, of, conviction)
(Mellouli, citizen of, Tunisia)
(Mellouli, citizen of, Tunisia)
(Mellouli, entered United States in, 2004)
(Mellouli, entered United States on, student visa)
(Mellouli, entered, United States)
(He, attended, U. S. universities)
(He, earning, bachelor)
(He, earning, bachelor of arts degree)
(master, has, degrees in applied mathematics)
(master 's degrees, is in, applied mathematics)
(Mellouli, taught mathematics at, University of Missouri-Columbia)
(Mellouli, worked as, actuary)
(Mellouli, completing, his education)
(Mellouli, taught, mathematics)
(Mellouli, taught mathematics at, University)
(he, conditional permanent resident in, lawful permanent resident)
(he, permanent resident in, lawful resident)
(he, permanent resident in, lawful permanent resident)
(he, conditional permanent resident in, resident)
(he, resident in, lawful permanent resident)
(he, became, conditional resident)
(he, resident in, permanent resident)
(he, conditional permanent resident in, lawful resident)
(he, conditional permanent resident in, permanent resident)
(he, resident in, resident)
(resident, is in, 2011)
(he, permanent resident in, resident)
(he, conditional resident in, lawful resident)
(he, became, resident)
(he, resident in, lawful resident)
(he, permanent resident in, permanent resident)
(he, conditional resident in, permanent resident)
(he, conditional resident in, resident)
(he, became, permanent resident)
(he, became, conditional permanent resident)
(he, conditional resident in, lawful permanent resident)
(he, became In, 2009)
(Mellouli, be, married)
(Mellouli, be married to, U. S. citizen)
(Mellouli, has, has engaged)
(Mellouli, has, Since December 2011 has engaged)
(Mellouli, was arrested, driving)
(Mellouli, was arrested In, 2010)
(Mellouli, driving under, influence)
(Mellouli, was, arrested)
(Mellouli, was arrested, driving under influence)
(deputies, discovered, four tablets)
(deputies, discovered, four orange tablets hidden)
(postarrest search, is in, Kansas detention facility)
(deputies, discovered, four orange tablets)
(deputies, discovered, four tablets hidden in Mellouli 's sock)
(deputies, discovered, four orange tablets hidden in Mellouli 's sock)
(deputies, discovered, four tablets hidden)
(Mellouli, in, sock)
(Mellouli, acknowledged According to, affidavit submitted)
(he, prescription for, drugs)
(Mellouli, acknowledged According to, probable-cause affidavit)
(Mellouli, acknowledged According to, probable-cause affidavit submitted)
(Mellouli, acknowledged According to, probable-cause affidavit submitted in state prosecution)
(Mellouli, acknowledged According to, affidavit submitted in state prosecution)
(Mellouli, acknowledged According to, affidavit)
(Adderall, is, controlled)
(complaint, was filed Based on, affidavit)
(complaint, charging, Mellouli)
(criminal complaint, was filed Based on, affidavit)
(criminal complaint, charging, Mellouli)
(criminal complaint, was, filed)
(criminal complaint, charging Mellouli with, trafficking contraband)
(criminal complaint, was filed Based on, probable-cause affidavit)
(trafficking contraband, is in, jail)
(complaint, was filed Based on, probable-cause affidavit)
(complaint, charging Mellouli with, trafficking contraband)
(complaint, charging Mellouli with, trafficking contraband in jail)
(complaint, was, filed)
(criminal complaint, charging Mellouli with, trafficking contraband in jail)
(Mellouli, was, charged)
(Mellouli, was, Ultimately charged)
(sock, otherwise introduce, substance)
(sock, introduce, substance)
(sock, introduce substance into, body)
(Mellouli, had, d)
(sock, otherwise introduce substance into, body)
(sock, introduce, controlled substance)
(sock, otherwise introduce substance into, human body)
(sock, introduce substance into, human body)
(sock, otherwise introduce, controlled substance)
(Mellouli, had, possess)
(Mellouli, had, use)
(he, also pleaded, guilty)
(he, pleaded, guilty)
(Mellouli, was, For offenses sentenced to term of 359 days)
(Mellouli, was, For offenses sentenced to term)
(Mellouli, was, For offenses sentenced to suspended term of 359 days)
(Mellouli, was, For offenses sentenced to suspended term)
(Mellouli, was sentenced For, offenses)
(order, Board of, Immigration Appeals)
(Immigration Appeals, of Board is, BIA)
(Board, affirmed, order)
(Mellouli, was deported in, 2012)
(Mellouli, was, deported)
(Mellouli, has, concealment of controlled-substance tablets in sock)
(Mellouli 's concealment, is in, his sock)
(connection, is with, various drug-related activities)
(use, is in, connection with various drug-related activities)
(criminal offense, is In, 19 States as)
(Mellouli, was, convicted)
(it, is, low-level)
(Eighth Circuit, denied, Mellouli 's petition)
(Mellouli, has, petition for review)
(Eighth Circuit, denied, Mellouli 's petition for review)
(We, granted, 573 U. S. ___)
(We, granted, certiorari)
(We, granted, 2014)
(We, address, rationale)
(We, address first, rationale offered)
(We, address first, rationale)
(We, address, rationale offered)
(We, address first, rationale offered by BIA)
(We, address, rationale offered by BIA)
(background, is, categorical approach)
(Essential background, is, categorical approach historically taken)
(background, is, approach taken)
(Essential background, evaluating, rationale shared by BIA)
(state conviction, renders, removable under immigration statute .3)
(background, evaluating, rationale)
(background, evaluating, rationale shared)
(Essential background, is, approach)
(Essential background, is, approach taken)
(Essential background, taken, determining)
(Essential background, is, categorical approach)
(state conviction, renders, alien removable)
(Essential background, evaluating, rationale shared)
(background, is, approach historically taken)
(background, is, categorical approach taken)
(background, historically taken, determining)
(background, evaluating, rationale shared by BIA)
(Essential background, historically taken, determining)
(background, is, categorical approach historically taken)
(state conviction, renders, removable)
(Essential background, is, approach historically taken)
(background, is, approach)
(Essential background, evaluating, rationale)
(Essential background, is, categorical approach taken)
(state conviction, renders, alien removable under immigration statute .3)
(background, taken, determining)
(Resurrecting Categorical Analysis, is in, Immigration Law)
(Das, Penalties of, Criminal Convictions)
(state conviction, triggers removal, crime falls within category of offenses)
(state conviction, triggers removal, by definition underlying crime falls within category of offenses defined)
(crime, falls within, category of offenses)
(state conviction, triggers removal, crime falls within category)
(underlying crime, only falls within, category)
(state conviction, triggers removal, only by definition crime falls within category of removable offenses)
(state conviction, triggers removal, only underlying crime falls)
(state conviction, triggers removal, only by definition underlying crime falls within category)
(state conviction, triggers removal, underlying crime falls within category of removable offenses defined)
(state conviction, triggers removal, crime falls)
(underlying crime, falls by, definition)
(state conviction, triggers removal, by definition underlying crime falls within category of offenses defined by federal law)
(state conviction, triggers removal, only by definition crime falls within category)
(state conviction, triggers removal, crime falls within category of removable offenses defined by law)
(underlying crime, falls within, category)
(state conviction, triggers removal, only by definition underlying crime falls within category of removable offenses defined by law)
(underlying crime, only falls within, category of offenses)
(state conviction, triggers removal, only crime falls within category of removable offenses defined by federal law)
(state conviction, triggers removal, only by definition crime falls within category of removable offenses defined by federal law)
(crime, only falls within, category of offenses defined by law)
(state conviction, triggers removal, underlying crime falls)
(state conviction, triggers removal, only crime falls within category of removable offenses)
(underlying crime, only falls by, definition)
(underlying crime, only falls within, category of offenses defined by law)
(state conviction, triggers removal, only underlying crime falls within category of offenses defined by federal law)
(state conviction, triggers removal, underlying crime falls within category of removable offenses defined by law)
(crime, falls within, category of offenses defined by federal law)
(state conviction, triggers removal, only by definition crime falls within category of offenses)
(underlying crime, only falls within, category of removable offenses)
(state conviction, triggers removal, by definition underlying crime falls within category of removable offenses defined)
(state conviction, triggers removal, only by definition crime falls)
(underlying crime, falls within, category of removable offenses)
(crime, only falls within, category of offenses defined)
(state conviction, triggers removal, underlying crime falls within category of offenses defined by law)
(state conviction, triggers removal, by definition crime falls within category of removable offenses defined by law)
(underlying crime, only falls within, category of removable offenses defined by law)
(state conviction, triggers removal, by definition crime falls within category of offenses defined by federal law)
(crime, falls by, definition)
(crime, only falls within, category of removable offenses defined by federal law)
(state conviction, triggers removal, only by definition underlying crime falls within category of removable offenses)
(crime, only falls within, category)
(state conviction, triggers removal, by definition underlying crime falls within category of offenses)
(state conviction, triggers removal, only underlying crime falls within category of removable offenses defined)
(crime, falls within, category of offenses defined)
(state conviction, triggers removal, only by definition crime falls within category of removable offenses defined by law)
(crime, falls within, category of removable offenses)
(state conviction, triggers removal, only underlying crime falls within category of removable offenses)
(state conviction, triggers removal, crime falls within category of removable offenses)
(state conviction, triggers removal, only crime falls within category of removable offenses defined)
(state conviction, triggers removal, by definition crime falls within category of offenses defined by law)
(underlying crime, falls within, category of offenses)
(state conviction, triggers removal, by definition underlying crime falls within category)
(state conviction, triggers removal, only crime falls within category of offenses defined by law)
(state conviction, triggers, removal)
(crime, only falls within, category of offenses)
(state conviction, triggers removal, only by definition crime falls within category of offenses defined)
(state conviction, triggers removal, crime falls within category of offenses defined by federal law)
(state conviction, triggers removal, by definition crime falls within category)
(state conviction, triggers removal, only crime falls within category of offenses defined)
(state conviction, triggers removal, only underlying crime falls within category of removable offenses defined by federal law)
(state conviction, triggers removal, by definition underlying crime falls within category of offenses defined by law)
(state conviction, triggers removal, only by definition underlying crime falls within category of offenses defined)
(crime, falls within, category of removable offenses defined)
(state conviction, triggers removal, by definition crime falls within category of removable offenses defined)
(underlying crime, only falls within, category of offenses defined by federal law)
(state conviction, triggers removal, underlying crime falls within category)
(state conviction, triggers removal, by definition crime falls within category of removable offenses)
(underlying crime, falls within, category of removable offenses defined by law)
(state conviction, triggers removal, crime falls within category of removable offenses defined by federal law)
(underlying crime, falls within, category of offenses defined by federal law)
(state conviction, triggers removal, only by definition underlying crime falls within category of offenses defined by federal law)
(crime, falls within, category)
(state conviction, triggers removal, by definition crime falls within category of offenses)
(state conviction, triggers removal, underlying crime falls within category of removable offenses defined by federal law)
(crime, only falls within, category of removable offenses)
(state conviction, triggers removal, only by definition underlying crime falls within category of offenses)
(underlying crime, falls within, category of offenses defined)
(state conviction, triggers removal, only by definition underlying crime falls)
(state conviction, triggers removal, by definition underlying crime falls within category of removable offenses defined by federal law)
(state conviction, triggers removal, only crime falls within category of offenses defined by federal law)
(state conviction, triggers removal, crime falls within category of offenses defined by law)
(state conviction, triggers removal, only underlying crime falls within category)
(state conviction, triggers removal, only underlying crime falls within category of offenses)
(underlying crime, only falls within, category of offenses defined)
(state conviction, triggers removal, underlying crime falls within category of offenses)
(state conviction, triggers removal, crime falls within category of removable offenses defined)
(state conviction, triggers removal, only underlying crime falls within category of removable offenses defined by law)
(state conviction, triggers removal, only crime falls)
(underlying crime, falls within, category of offenses defined by law)
(crime, only falls within, category of removable offenses defined by law)
(underlying crime, only falls within, category of removable offenses defined)
(crime, falls within, category of removable offenses defined by law)
(state conviction, triggers removal, by definition underlying crime falls within category of removable offenses defined by law)
(underlying crime, only falls within, category of removable offenses defined by federal law)
(state conviction, triggers removal, by definition underlying crime falls)
(state conviction, triggers removal, underlying crime falls within category of removable offenses)
(state conviction, triggers removal, only by definition crime falls within category of removable offenses defined)
(state conviction, triggers removal, only by definition crime falls within category of offenses defined by federal law)
(state conviction, triggers removal, only crime falls within category of removable offenses defined by law)
