(October 11 2016, Decided at_time, March 6 2017)
(rule, gives finality to, verdicts)
(rule, gives stability to, verdicts)
(racial bias, is in, deliberations)
(jurisdictions, 16 At, least)
(jurisdictions, have recognized, exception for juror testimony about racial bias)
(jurisdictions, have recognized, exception for juror testimony about racial bias in deliberations)
(jurisdictions, have recognized, exception for juror testimony)
(jurisdictions, have recognized, exception)
(jurisdictions, have recognized, exception for juror testimony about bias)
(jurisdictions, have recognized, exception for juror testimony about bias in deliberations)
(Court, noted, possibility)
(exception, is in, gravest)
(Court, noted, possibility of exception in gravest)
(Court, noted, possibility of exception)
(Court, addressing, common-law no-impeachment rule)
(366, at Reid is, supra)
(Constitution, mandates just twice, exception to Rule 606)
(Constitution, exception to, Rule 606)
(Constitution, mandates twice, exception to Rule 606)
(Constitution, exception to, b)
(exception, rejecting exception at_time, time)
(Constitution, mandates twice, exception)
(Constitution, mandates, exception)
(Constitution, mandates, exception to Rule 606)
(Constitution, mandates just twice, exception)
(Court, has addressed, question)
(jurors, were under, influence of drugs during trial)
(jurors, were under, influence of drugs)
(jurors, were under, influence during trial)
(Court, identified, long-recognized concerns)
(Court, supporting, no-impeachment rule)
(Court, identified, concerns)
(jurors, were under, influence)
(jurors, can report misconduct, rendered)
(jurors, can report, misconduct to court)
(members, can, can examined for impartiality)
(members, can, can examined)
(defendant, for, right to impartial jury beyond post-trial juror testimony)
(juror misconduct, may, may observed during trial)
(members, can, can examined during voir dire)
(members, can, can examined for impartiality during voir dire)
(misconduct, jurors, themselves)
(jurors, can report, misconduct)
(verdict, is, rendered)
(juror misconduct, may, may observed)
(Court, again put reliance on, safeguards)
(Court, put reliance for, fair trial)
(Court, again put reliance for, fair trial)
(jury forewoman, disclose, prodefendant bias)
(Court, put, substantial reliance)
(Court, put, reliance)
(Court, again put reliance In, Warger)
(Court, again put reliance for, trial)
(Court, put reliance In, Warger)
(jury forewoman, disclose prodefendant bias during, voir dire)
(Court, again put, reliance)
(Court, again put, substantial reliance)
(Court, put reliance on, safeguards)
(Court, put reliance for, trial)
(Court, warned as, as Reid)
(Court, also warned as, as Reid)
(no-impeachment rule, admit of, exceptions for juror bias so extreme)
(no-impeachment rule, admit of, exceptions)
(no-impeachment rule, admit of, exceptions for juror bias extreme)
(no-impeachment rule, admit of, exceptions for juror bias)
(racial animus, was motivating factor in, his finding)
(Constitution, requires, exception)
(animus, was factor in, his finding of guilt)
(animus, was, significant factor)
(racial animus, was significant factor in, his finding)
(McDonald, left open here, question)
(animus, was motivating factor in, his finding of guilt)
(McDonald, left open, question)
(Warger, left open here, question)
(racial animus, was factor in, his finding of guilt)
(racial animus, was, significant factor)
(animus, was factor in, his finding)
(significant motivating factor, is in, his finding of guilt)
(racial animus, was significant motivating factor in, his finding of guilt)
(racial animus, was significant motivating factor in, his finding)
(animus, was, factor)
(animus, was, significant)
(Warger, left open, question)
(animus, was motivating factor in, his finding)
(Constitution, requires, exception to no-impeachment rule)
(racial animus, was factor in, his finding)
(racial animus, was, significant motivating factor)
(racial animus, was, factor)
(racial animus, was motivating factor in, his finding of guilt)
(Reid, left open, question)
(animus, was, significant motivating factor)
(animus, was significant factor in, his finding of guilt)
(juror, has, statements)
(Reid, left open here, question)
(animus, was significant motivating factor in, his finding)
(animus, was significant factor in, his finding)
(animus, was, motivating factor)
(Constitution, exception to, no-impeachment rule)
(racial animus, was significant factor in, his finding of guilt)
(racial animus, was, motivating factor)
(animus, was significant motivating factor in, his finding of guilt)
(animus, was, motivating)
(discrimination, emanating from, sources in States)
(discrimination, emanating from, official sources in States)
(he, purpose of, Amendment)
(racial discrimination, emanating from, sources)
(discrimination, emanating from, official sources)
(racial discrimination, emanating from, official sources in States)
(he, central purpose of, Amendment)
(official sources, is in, States)
(he, purpose of, Fourteenth Amendment)
(racial discrimination, emanating from, official sources)
(discrimination, emanating from, sources)
(he, central purpose of, Fourteenth Amendment)
(racial discrimination, emanating from, sources in States)
(state-sponsored racial discrimination, is in, jury system)
(Court, has enforced, Constitution 's guarantee against discrimination in jury system)
(Court, has enforced, Constitution 's guarantee against state-sponsored discrimination in jury system)
(Constitution, has, guarantee against state-sponsored racial discrimination in jury system)
(Court, has enforced, Constitution 's guarantee against racial discrimination in jury system)
(Court, has enforced, Constitution 's guarantee against discrimination)
(Court, has enforced, Constitution 's guarantee against state-sponsored racial discrimination in jury system)
(Court, has enforced, Constitution 's guarantee against state-sponsored racial discrimination)
(Court, has enforced, Constitution 's guarantee against state-sponsored discrimination)
(Court, has enforced, Constitution 's guarantee)
(Court, has enforced, Constitution 's guarantee against racial discrimination)
(Court, prohibit, exclusion of jurors)
(Court, prohibit, exclusion)
(race, Strauder v., West Virginia)
(discrimination, is, pernicious)
(discrimination, is pernicious in, administration of justice)
(discrimination, is, especially pernicious)
(discrimination, is especially pernicious in, administration of justice)
(discrimination, is pernicious in, administration)
(discrimination, is especially pernicious in, administration)
(jury, of, role as vital check against wrongful exercise of power by State)
(case, lies at, intersection)
(case, lies at, intersection of Court 's decisions)
(Court, of, decisions endorsing)
(Racial bias, risk, injury)
(systemic injury, left, unaddressed)
(behavior, is in, McDonald)
(bias, implicates, unique concerns)
(bias, risk, systemic injury)
(bias, implicates, unique historical concerns)
(bias, risk, injury)
(Racial bias, risk, systemic injury)
(bias, implicates, concerns)
(bias, implicates, historical concerns)
(bias, risk injury to, administration)
(bias, implicates concerns unlike, behavior in McDonald)
(bias, implicates concerns unlike, behavior)
(Racial bias, risk injury to, administration)
(injury, left, unaddressed)
(bias, risk injury to, administration of justice)
(Racial bias, risk injury to, administration of justice)
(It, is also distinct in, sense)
(It, is, also distinct)
(It, is distinct in, sense)
(It, is, distinct)
(It, is also distinct in, pragmatic sense)
(It, is distinct in, pragmatic sense)
(challenges, forms of, improper bias)
(bias, be addressed including, has entered)
(constitutional rule, prevent, loss of confidence)
(rule, prevent, systemic loss of confidence)
(racial bias, be addressed including, has entered)
(bias, be addressed including, after verdict has entered)
(rule, prevent, loss)
(constitutional rule, prevent, systemic loss)
(rule, prevent, loss of confidence)
(confidence, is in, jury verdicts)
(rule, prevent, loss of confidence in jury verdicts)
(racial bias, is in, justice system)
(constitutional rule, prevent, systemic loss of confidence)
(constitutional rule, is, necessary)
(bias, been including, entered)
(racial bias, be addressed including, after verdict has entered)
(constitutional rule, prevent, loss of confidence in jury verdicts)
(racial bias, be, addressed)
(rule, is, necessary)
(bias, been including, after verdict entered)
(constitutional rule, prevent, loss)
(racial bias, been including, after verdict entered)
(rule, prevent, systemic loss)
(racial bias, been including, entered)
(constitutional rule, prevent, systemic loss of confidence in jury verdicts)
(bias, be, addressed)
(rule, prevent, systemic loss of confidence in jury verdicts)
(no-impeachment bar, allow, further inquiry)
(no-impeachment bar, can, can set)
(bar, allow, further inquiry)
(bar, allow, inquiry)
(bar, allow, judicial inquiry)
(bar, can, can set aside)
(bar, allow, further judicial inquiry)
(jurors, made, statements)
(no-impeachment bar, allow, inquiry)
(no-impeachment bar, can, can set aside)
(no-impeachment bar, allow, further judicial inquiry)
(jury, of, deliberations)
(no-impeachment bar, allow, judicial inquiry)
(bar, can, can set)
(racial animus, was, significant motivating factor)
(statement, must tend, show)
(racial animus, was, factor)
(statement, must tend, qualify)
(racial animus, was significant motivating factor in, juror 's vote convict)
(animus, was, significant factor)
(animus, was, significant motivating factor)
(animus, was significant factor in, juror 's vote convict)
(juror, in, vote convict)
(racial animus, was, significant factor)
(racial animus, was motivating factor in, juror 's vote convict)
(animus, was motivating factor in, juror 's vote convict)
(racial animus, was significant factor in, juror 's vote convict)
(animus, was factor in, juror 's vote convict)
(animus, was, factor)
(significant motivating factor, is in, juror 's vote convict)
(animus, was, significant)
(animus, was, motivating factor)
(racial animus, was, motivating factor)
(racial animus, was factor in, juror 's vote convict)
(animus, was significant motivating factor in, juror 's vote convict)
(animus, was, motivating)
(substantial discretion, is in, light of circumstances including content of alleged statements)
(threshold showing, been, has satisfied)
(experience, will inform, exercise of trial judge discretion)
(experience, will inform, exercise of trial judge discretion)
(experience, will inform, proper exercise of trial judge discretion)
(experience, will inform, proper exercise of trial judge discretion)
(experience, will inform, proper exercise)
(experience, will inform, proper exercise)
(experience, will inform, exercise)
(experience, will inform, exercise)
(existing safeguards, may also help, free)
(Standard, may help, free from bias of kind)
(Standard, may help, free)
(Standard, may also help, free from bias of kind)
(Standard, may also help, free)
(safeguards, may also help, free)
(safeguards, may help, free)
(bias, reach verdict in, fair way)
(safeguards, may help, free from bias of kind)
(racial bias, reach, verdict)
(existing safeguards, may help, free)
(safeguards, may also help, free from bias of kind)
(existing safeguards, may also help, free from bias of kind)
(racial bias, reach verdict in, fair way)
(existing safeguards, may help, free from bias of kind)
(bias, reach, verdict)
(racial bias, reach verdict in, way)
(trial court, has, instructions to jurors about duty review)
(bias, reach verdict in, way)
(Kennedy, delivered, opinion)
(Thomas, filed, opinion)
(Thomas, filed, dissenting opinion)
(opinion, is subject to, revision in print of United States Reports)
(opinion, is subject to, formal revision in preliminary print)
(opinion, is subject to, revision)
(opinion, is subject to, formal revision)
(opinion, is subject to, revision in print)
(opinion, is subject to, formal revision before publication)
(opinion, is subject to, formal revision in print of United States Reports)
(formal revision, is in, preliminary print of United States Reports)
(opinion, is subject to, revision before publication in preliminary print)
(opinion, is subject to, formal revision before publication in preliminary print)
(opinion, is subject to, formal revision before publication in print of United States Reports)
(opinion, is subject to, revision before publication)
(opinion, is subject to, formal revision in print)
(opinion, is, subject)
(opinion, is subject to, revision in preliminary print)
(opinion, is subject to, revision before publication in print)
(opinion, is subject to, formal revision in preliminary print of United States Reports)
(opinion, is subject to, revision before publication in preliminary print of United States Reports)
(opinion, is subject to, revision in preliminary print of United States Reports)
(opinion, is subject to, formal revision before publication in print)
(opinion, is subject to, revision before publication in print of United States Reports)
(opinion, is subject to, formal revision before publication in preliminary print of United States Reports)
(Readers, notify, Reporter)
(Readers, notify, Reporter of Decisions)
(Supreme Court, is in, order)
(Readers, are, requested)
(typographical formal errors, of States is, Washington)
(typographical formal errors, of States is, D. C. 20543)
(MIGUEL ANGEL PENA-RODRIGUEZ, PETITIONER v., COLORADO)
(Justice Kennedy, delivered, opinion)
(Justice Kennedy, delivered, opinion of Court)
(jury, is, central foundation)
(jury, is, foundation)
(jury, is central foundation of, our justice system)
(jury, is, central)
(jury, is foundation of, our justice system)
(its imperfections, is in, particular case)
(jury, is check on, governmental power)
(jury, is, check)
(jury, is, necessary check)
(jury, is check on, power)
(jury, is, necessary)
(jury, is necessary check on, power)
(jury, is necessary check on, governmental power)
(disputes, determining, ultimate questions)
(disputes, determining, ultimate questions of guilt)
(factual disputes, determining, ultimate questions)
(disputes, determining questions in, criminal cases)
(disputes, determining, questions of guilt)
(factual disputes, determining questions in, criminal cases)
(factual disputes, determining, questions of guilt)
(factual disputes, determining questions in, cases)
(factual disputes, determining, ultimate questions of guilt)
(factual disputes, determining, questions)
(jury, been, inspired)
(disputes, determining, questions)
(disputes, determining questions in, cases)
(its judgments, find acceptance Over, long course)
(acceptance, is in, community)
(its judgments, find, acceptance in community)
(its judgments, find, acceptance)
(its judgments, find acceptance Over, course)
(jury, is, implementation)
(jury, is, tangible)
(jury, is implementation of, principle)
(jury, is tangible implementation of, principle)
(law, comes from, people)
(jury, is, tangible implementation)
(Nation, of, founding)
(jury, fundamental safeguard of, liberty)
(jury, safeguard of, liberty)
(jury, was considered, fundamental safeguard of liberty)
(jury, safeguard of, individual liberty)
(jury, was considered, safeguard of individual liberty)
(jury, was, considered)
(jury, was considered, safeguard of liberty)
(jury, fundamental safeguard of, individual liberty)
(jury, was considered, safeguard)
(jury, was considered, fundamental safeguard of individual liberty)
(jury, was considered, fundamental safeguard)
(right, was part, drawn)
(right, was, part)
(jury trial, is in, criminal cases)
(right, was part of, Constitution)
(it, was restated in, Sixth Amendment)
(right, was part, first drawn)
(it, was, restated)
(it, is, By operation applicable to States)
(it, is, applicable)
(it, is, By operation of Amendment applicable to States)
(it, is applicable By, operation of Amendment)
(it, is applicable By, operation)
(it, is applicable By, operation of Fourteenth Amendment)
(it, is, By operation of Fourteenth Amendment applicable to States)
(it, is applicable to, States)
(court, has, instructions)
(verdicts, be, reached)
(fair verdicts, be, reached)
(undertakes deliberations, are, honest)
(their verdict, has, has entered)
(their verdict, has, once has entered)
(principle, is, often referred to)
(principle old, is, often referred)
(principle, is, often referred)
(principle old, is often referred as, no-impeachment rule)
(principle, is referred as, no-impeachment rule)
(principle old, is, referred)
(principle old, is referred as, no-impeachment rule)
(principle, is often referred as, no-impeachment rule)
(principle old, is, often referred to)
(principle, is, referred to)
(principle, is, referred to as no-impeachment rule)
(principle, is, often referred to as no-impeachment rule)
(principle, is, referred)
(principle old, is, often referred to as no-impeachment rule)
(principle old, is, referred to as no-impeachment rule)
(principle old, is, referred to)
(racial animus, was motivating factor in, his vote convict)
(juror, comes forward with, compelling evidence)
(juror, comes, discharged)
(juror, comes forward with, evidence)
(animus, was motivating factor in, his vote convict)
(case, presents, question)
(animus, was, significant factor)
(racial animus, was, significant factor)
(animus, was factor in, his vote convict)
(jury, is, discharged)
(animus, was, factor)
(animus, was, significant)
(juror, comes forward, discharged)
(racial animus, was significant motivating factor in, his vote convict)
(significant motivating factor, is in, his vote convict)
(racial animus, was factor in, his vote convict)
(racial animus, was, significant motivating factor)
(racial animus, was, factor)
(animus, was significant motivating factor in, his vote convict)
(instant case, presents, question)
(animus, was, significant motivating factor)
(racial animus, was significant factor in, his vote convict)
(animus, was, motivating factor)
(juror, comes with, evidence)
(racial animus, was, motivating factor)
(animus, was significant factor in, his vote convict)
(juror, comes with, compelling evidence)
(animus, was, motivating)
(State prosecutors, brought, criminal charges)
(State prosecutors, brought, charges against petitioner)
(State prosecutors, is in, Colorado)
(State prosecutors, brought, criminal charges against petitioner)
(State prosecutors, brought, charges)
(man, sexually assaulted, two teenage sisters)
(man, assaulted, two teenage sisters)
(man, sexually assaulted, two sisters)
(man, assaulted, two sisters)
(girls, identified man as, employee)
(girls, identified, man)
(girls, identified man as, employee of racetrack)
(girls, told, their father)
(girl, separately identified, petitioner)
(girl, identified, petitioner)
(State, charged, petitioner)
(State, charged petitioner with, harassment)
(members, were, repeatedly asked)
(members, were repeatedly asked, empaneled)
(members, were, asked)
(members, were asked, empaneled)
(jury, was, empaneled)
(it, be, fair juror)
(you, be, juror)
(it, be, juror)
(you, be, fair juror)
(you, be, fair)
(it, be, fair)
(court, repeated, question)
(court, repeated, question to panel)
(court, encouraged, jurors)
(jurors, speak in, private)
(they, had, concerns about their impartiality)
(jurors, speak with, court)
(court, repeated, question to panel of jurors)
(they, concerns about, impartiality)
(they, concerns about, their impartiality)
(they, had, concerns about impartiality)
(court, repeated, question to panel of prospective jurors)
(them, be, fair)
(them, be, juror)
(them, be, fair juror)
(none, asked, speak)
(none, speak with, trial judge)
(none, asked, speak with trial judge)
(jury, found, petitioner guilty of unlawful sexual contact)
(it, reach, verdict)
(it, reach, verdict on attempted assault charge)
(jury, found, petitioner guilty of unlawful contact)
(jury, found petitioner After, trial)
(jury, found, petitioner guilty)
(petitioner, guilty of, unlawful contact)
(jury, found, petitioner guilty of contact)
(jury, found, petitioner)
(petitioner, guilty of, contact)
(petitioner, guilty of, sexual contact)
(jury, found petitioner After, 3-day trial)
(it, reach, verdict on attempted sexual assault charge)
(jury, found, petitioner guilty of sexual contact)
(it, reach, verdict on sexual assault charge)
(petitioner, guilty of, unlawful sexual contact)
(it, reach, verdict on assault charge)
(jury, was, When discharged)
(jury, was, discharged)
(court, gave, them)
(court, gave instruction, mandated)
(court, gave, instruction)
(court, gave instruction, mandated by Colorado law)
(court, mandated by, Colorado law)
(you, discuss, case)
(you, discuss case with, lawyers)
(you, now discuss, case)
(you, now discuss case with, lawyers)
(you talk, is, your own decision)
(you talk, is, entirely your decision)
(you talk, is, entirely your own decision)
(court, instructs, you)
(you, talk to, anyone)
(you talk, is, your decision)
(person, discussing, case)
(person, becomes, critical)
(person, becomes, critical of your service)
(person, discussing case over, your objection)
(petitioner 's counsel, entered jury room Following, discharge)
(petitioner 's counsel, entered jury room Following, discharge of jury)
(petitioner 's counsel, discuss, trial with jurors)
(trial, is with, jurors)
(petitioner 's counsel, discuss, trial)
(petitioner, has, counsel)
(petitioner 's counsel, entered, jury room)
(two jurors, remained, room was emptying)
(jurors, speak in, private)
(jurors, remained, speak with counsel)
(jurors, speak with, counsel)
(jurors, remained, speak)
(two jurors, speak in, private)
(jurors, remained, room was emptying)
(two jurors, remained, speak with counsel)
(two jurors, remained, speak)
(two jurors, speak with, counsel)
(petitioner, has, alibi witness)
(Petitioner 's counsel, reported with, obtained sworn affidavits from two jurors)
(Petitioner 's counsel, reported with, court 's supervision)
(court 's supervision, affidavits from, two jurors)
(court, 's supervision is, obtained sworn affidavits from two jurors)
(court, with, supervision)
(Petitioner 's counsel, reported to, court)
(Petitioner 's counsel, reported with, affidavits from two jurors)
(Petitioner 's counsel, reported with, sworn affidavits)
(Petitioner 's counsel, reported with, obtained affidavits from two jurors)
(Petitioner, has, counsel)
(Petitioner 's counsel, reported with, obtained affidavits)
(Petitioner 's counsel, reported with, affidavits)
(Petitioner 's counsel, reported with, sworn affidavits from two jurors)
(Petitioner 's counsel, reported with, obtained sworn affidavits)
(ex-law enforcement officer, experience 's, H. C.)
(H. C., told jurors According to, two jurors)
(H. C., told, other jurors)
(H. C., told, jurors)
(H. C., explained According to, jurors)
(nine times, were guilty in, his experience)
(nine times, were guilty, aggressive)
(times, were guilty in, his experience)
(times, were guilty, aggressive)
(times, were, guilty)
(nine times, were guilty, aggressive toward women)
(H. C., further explained According to, jurors)
(nine times, were, guilty)
(times, were guilty, aggressive toward women)
(he, was legal resident of, United States)
(he, was, legal resident)
(he, was, resident)
(witness, testified during, trial)
(he, was, legal)
(he, was resident of, United States)
(witness, testified In, fact)
(H. C., has, apparent bias)
(trial court, reviewing, affidavits)
(trial court, acknowledged, H. C. 's apparent bias)
(court, denied, petitioner 's motion)
(petitioner, has, motion for new trial)
(court, denied, petitioner 's motion for trial)
(court, denied, petitioner 's motion for new trial)
(Colorado Rule, reads, follows)
(validity, into Inquiry is, b)
(juror, has, affidavit)
(petitioner, was, required)
(petitioner, was required, register as sex offender)
(petitioner, was, sentenced)
(petitioner, was required, register)
(petitioner, was sentenced to, two years ' probation)
(H. C., has, alleged statements)
(panel, affirmed, petitioner 's conviction)
(petitioner, has, conviction)
(divided panel, affirmed, petitioner 's conviction)
(___ P., 3d, 2012 WL 5457362)
(Colorado Supreme Court, affirmed by, vote)
(opinion, relied on, two decisions)
(prevailing opinion, relied on, two decisions)
(prevailing opinion, relied on, two decisions of Court)
(opinion, relied on, two decisions of Court)
(court, reviewing, precedents)
(Court, granted certiorari, decide)
(Court, granted, certiorari)
(petitioner, on, Hispanic identity)
(Court, is in, prior cases)
(Juror H. C. 's bias, was, based)
(that, be, instructive)
(Juror H. C., has, bias)
(Court, has referred as, ethnicity)
(we, discussing, relevant principles)
(we, have used, language)
(we, have also used, language)
(we, have also used, language of race)
(we, discussing principles in, cases)
(we, Yet have also used, language)
(we, discussing, principles)
(we, have used, language of race)
(we, discussing, constitutional principles)
(we, Yet have used, language of race)
(we, Yet have used, language)
(we, Yet have also used, language of race)
(we, discussing, relevant constitutional principles)
(Petitioner, refer to, race)
(race, is in, more expansive sense)
(respondent, refer to, race)
(expansive sense, is in, their briefs to Court)
(opinion, refers to, nature of bias)
(opinion, refers to, nature)
(opinion, refers as, racial)
(rule, originated in, Vaise)
(jury, decided case through, game of chance)
(jury, decided, case)
(jury, decided case through, game)
(jury, decided through, game)
(Lord Mansfield, There excluded, juror testimony)
(Lord Mansfield, excluded, juror testimony)
(jury, decided through, game of chance)
(American courts, adopted Mansfield rule as, matter of common law)
(American courts, adopted Mansfield rule as, matter)
(American courts, adopted Mansfield rule as, matter of law)
(courts, adopted Mansfield rule as, matter)
(courts, adopted, Mansfield rule)
(courts, adopted Mansfield rule as, matter of common law)
(courts, adopted Mansfield rule as, matter of law)
(American courts, adopted, Mansfield rule)
(jurisdictions, adopted, different version)
(jurisdictions, adopted, more flexible version of bar known as Iowa rule)
(jurisdictions, adopted, more flexible version of no-impeachment bar known)
(jurisdictions, adopted, different version of bar known)
(jurisdictions, adopted, different version of no-impeachment bar known as Iowa rule)
(jurisdictions, adopted, flexible version of bar)
(jurisdictions, adopted, flexible version of no-impeachment bar known)
(jurisdictions, adopted, different version of bar)
(jurisdictions, adopted, different flexible version of no-impeachment bar known)
(jurisdictions, adopted, different more flexible version of bar known)
(jurisdictions, adopted, different flexible version of no-impeachment bar)
(jurisdictions, adopted, flexible version of bar known)
(jurisdictions, adopted, different more flexible version of no-impeachment bar)
(jurisdictions, adopted, different more flexible version of no-impeachment bar known as Iowa rule)
(jurisdictions, adopted, different version of no-impeachment bar known)
(jurisdictions, adopted, version of bar known as Iowa rule)
(jurisdictions, adopted, version of no-impeachment bar)
(jurisdictions, adopted, different more flexible version of bar)
(jurisdictions, adopted, different version of no-impeachment bar)
(jurisdictions, adopted, different more flexible version of no-impeachment bar known)
(jurisdictions, adopted, version of bar)
(jurisdictions, adopted, different more flexible version of bar known as Iowa rule)
(jurisdictions, adopted, more flexible version of no-impeachment bar)
(jurisdictions, adopted, flexible version of no-impeachment bar)
(jurisdictions, adopted, more flexible version of bar)
(jurisdictions, adopted, flexible version of no-impeachment bar known as Iowa rule)
(jurisdictions, adopted, version of no-impeachment bar known as Iowa rule)
(jurisdictions, adopted, version)
(jurisdictions, adopted, more flexible version of no-impeachment bar known as Iowa rule)
(jurisdictions, adopted, different flexible version of bar known)
(jurisdictions, adopted, flexible version of bar known as Iowa rule)
(jurisdictions, adopted, flexible version)
(jurisdictions, adopted, different more flexible version)
(jurisdictions, adopted, different flexible version of bar)
(jurisdictions, adopted, more flexible version)
(jurisdictions, adopted, different flexible version of no-impeachment bar known as Iowa rule)
(jurisdictions, adopted, more flexible version of bar known)
(jurisdictions, adopted, different flexible version of bar known as Iowa rule)
(jurisdictions, adopted, different version of bar known as Iowa rule)
(jurisdictions, adopted, version of bar known)
(jurisdictions, adopted, version of no-impeachment bar known)
(jurisdictions, adopted, different flexible version)
(jurors, testifying about, their own beliefs)
(jurors, testifying about, their own subjective beliefs)
(jurors, were prevented Under, rule)
(jurors, only testifying about, their own subjective beliefs)
(jurors, were prevented, testifying about their own subjective beliefs)
(jurors, only testifying about, their beliefs)
(jurors, were prevented, testifying about their beliefs)
(jurors, were prevented, only testifying about their own beliefs)
(jurors, were, prevented)
(jurors, were prevented, only testifying about their own subjective beliefs)
(jurors, were prevented, only testifying)
(jurors, were prevented, testifying)
(jurors, testifying about, their beliefs)
(jurors, were prevented, only testifying about their beliefs)
(jurors, were prevented, testifying about their own beliefs)
(jurors, were prevented, only testifying about their subjective beliefs)
(jurors, only testifying about, their own beliefs)
(jurors, were prevented, testifying about their subjective beliefs)
(jurors, testifying about, their subjective beliefs)
(jurors, only testifying about, their subjective beliefs)
(events, occurring during, deliberations)
(other jurors, could corroborate, testimony)
(Jurors, could however testify about, facts)
(jurors, could corroborate testimony in, part)
(other jurors, could corroborate testimony in, part)
(jurors, could corroborate, testimony)
(Jurors, could testify about, objective facts)
(Jurors, could however testify about, objective facts)
(Jurors, could testify about, facts)
(approach, later referred to, to federal approach)
(approach, later referred to, to approach)
(alternative approach, later referred to, to approach)
(approach, referred to, to federal approach)
(approach, referred to, to approach)
(alternative approach, later referred to, to federal approach)
(stayed, closer to, Mansfield rule)
(stayed, closer to, original Mansfield rule)
(alternative approach, referred to, to approach)
(alternative approach, referred to, to federal approach)
(bar, permitted, exception for testimony about events)
(bar, permitted, exception only for testimony)
(bar, permitted, exception for testimony)
(bar, permitted, exception only for testimony about events)
(no-impeachment bar, permitted, exception only for testimony about events extraneous to process)
(bar, permitted, exception only for testimony about events extraneous to process)
(bar, permitted, exception for testimony about events extraneous)
(no-impeachment bar, permitted, exception for testimony about events extraneous to process)
(no-impeachment bar, permitted, exception for testimony)
(bar, permitted, exception only for testimony about events extraneous)
(bar, permitted, exception for testimony about events extraneous to process)
(bar, permitted, exception)
(no-impeachment bar, permitted, exception)
(no-impeachment bar, permitted, exception only for testimony)
(no-impeachment bar, permitted, exception for testimony about events)
(no-impeachment bar, permitted, exception for testimony about events extraneous)
(no-impeachment bar, permitted, exception only for testimony about events)
(no-impeachment bar, permitted, exception only for testimony about events extraneous)
(Court, has, early decisions)
(jurors, consulted, newspapers)
(jurors, consulted newspapers during, deliberations)
(Court, appeared, open)
(Court, appeared, open to admission of juror testimony)
(Court, appeared at_time, 1852)
(Court, appeared, open to admission)
(it, refuse, juror testimony)
