(December 10 2014, Decided at_time, April 22 2015)
(Government 's invocation, is, peculiarly inapt)
(Government 's invocation, is, also peculiarly inapt here)
(Government 's invocation, is, inapt)
(Government 's invocation, is, inapt here)
(Government, has, invocation of sovereign immunity principles)
(Government 's invocation, is, also inapt)
(Court, construe narrowly merely, Act)
(Court, construe, Act)
(FTCA, treats Government like, much private party)
(FTCA, treats Government Unlike, waivers)
(Court, construe merely, Act)
(FTCA, treats Government like, party)
(FTCA, treats, Government)
(Government, has, immunity)
(it, waives, Government 's immunity)
(FTCA, treats Government like, much party)
(FTCA, treats Government like, private party)
(KAGAN, delivered, opinion)
(SCALIA, ROBERTS, THOMAS)
(SCALIA, joined, THOMAS)
(opinion, is subject to, revision in print of United States Reports)
(opinion, is subject to, formal revision in preliminary print)
(opinion, is subject to, revision)
(opinion, is subject to, formal revision)
(opinion, is subject to, revision in print)
(opinion, is subject to, formal revision before publication)
(opinion, is subject to, formal revision in print of United States Reports)
(formal revision, is in, preliminary print of United States Reports)
(opinion, is subject to, revision before publication in preliminary print)
(opinion, is subject to, formal revision before publication in preliminary print)
(opinion, is subject to, formal revision before publication in print of United States Reports)
(opinion, is subject to, revision before publication)
(opinion, is subject to, formal revision in print)
(opinion, is, subject)
(opinion, is subject to, revision in preliminary print)
(opinion, is subject to, revision before publication in print)
(opinion, is subject to, formal revision in preliminary print of United States Reports)
(opinion, is subject to, revision before publication in preliminary print of United States Reports)
(opinion, is subject to, revision in preliminary print of United States Reports)
(opinion, is subject to, formal revision before publication in print)
(opinion, is subject to, revision before publication in print of United States Reports)
(opinion, is subject to, formal revision before publication in preliminary print of United States Reports)
(Readers, notify, Reporter)
(Readers, notify, Reporter of Decisions)
(Supreme Court, is in, order)
(Readers, are, requested)
(typographical formal errors, of States is, Washington)
(typographical formal errors, of States is, D. C. 20543)
(JUSTICE KAGAN, delivered, opinion of Court)
(JUSTICE KAGAN, delivered, opinion)
(it, is presented to, agency)
(it, brought to, federal court)
(it, brought within, six months)
(it, is, presented)
(it, is presented to, Federal agency)
(tort claim, be forever barred, presented)
(tort claim, be barred, presented)
(it, brought, agency acts on claim)
(tort claim, be, forever barred)
(it, is presented, claim accrues)
(it, brought to, court)
(tort claim, be forever barred, presented to appropriate Federal agency)
(tort claim, be forever barred, presented to appropriate agency)
(tort claim, be forever barred, presented to Federal agency)
(tort claim, be barred, presented to appropriate agency)
(it, is presented, such claim accrues)
(it, is presented to, appropriate Federal agency)
(tort claim, be forever barred, presented to agency)
(tort claim, be barred, presented to Federal agency)
(it, is presented to, appropriate agency)
(agency, acts on, claim)
(tort claim, be barred, presented to appropriate Federal agency)
(it, brought, agency acts)
(tort claim, be barred, presented to agency)
(tort claim, be, barred)
(claimant, requested, equitable tolling)
(she, had, good reason)
(she, had, reason)
(she, had late, good reason)
(we, resolve here In, each of two cases)
(she, good reason for, filing)
(we, resolve In, each of two cases)
(she, had late, reason)
(requested, equitable tolling on, ground)
(she, had late, good reason for filing)
(requested, tolling on, ground)
(we, resolve here In, each two cases)
(claimant, requested, tolling on ground)
(she, had late, reason for filing)
(we, resolve In, each two cases)
(claimant, requested, equitable tolling on ground)
(she, had, reason for filing)
(she, had, good reason for filing)
(claimant, requested, tolling)
(she, reason for, filing)
(§ 2401, has, time limits)
(Government, has, argument)
(we, reject, Government 's argument)
(courts, toll, both of FTCA 's limitations periods)
(FTCA, of, limitations periods)
(courts, toll, both)
(respondent Kwai Fun Wong, asserts In, first case)
(respondent Kwai Fun Wong, asserts In, case)
(Wong, first presented, that)
(Wong, presented, that)
(INS, denied, complaint on December 3 2001)
(INS, denied, complaint)
(INS, denied, administrative complaint)
(INS, denied, administrative complaint on December 3 2001)
(Wong, had filed suit at_time, months)
(Wong, had filed suit at_time, months prior to INS 's decision)
(Wong, had filed, suit)
(suit, asserting, various non-FTCA claims)
(suit, asserting, claims against Government)
(suit, asserting, various non-FTCA claims arising)
(Wong, had filed suit at_time, Several months)
(suit, asserting, non-FTCA claims against Government)
(Wong, had filed suit at_time, Several months prior to INS 's decision)
(suit, asserting, claims)
(Wong, had filed suit at_time, Several months prior)
(suit, asserting, claims against Government arising)
(suit, asserting, various claims arising)
(suit, asserting, non-FTCA claims against Government arising)
(Wong, had filed suit in, district court)
(Wong, had filed suit in, federal district court)
(suit, asserting, various claims)
(suit, asserting, various claims against Government arising)
(suit, asserting, non-FTCA claims)
(suit, asserting, non-FTCA claims arising)
(Wong, had filed suit at_time, months prior)
(suit, asserting, various claims against Government)
(suit, asserting, various non-FTCA claims against Government arising)
(suit, asserting, claims arising)
(suit, asserting, various non-FTCA claims against Government)
(INS, to, decision)
(Wong, amend, complaint in suit)
(INS, has, ruling)
(Wong, amend, complaint)
(complaint, is in, suit)
(Wong, moved in, mid-November 2001)
(Wong, Anticipating, INS 's ruling)
(Magistrate Judge, recommended On, April 5 2002)
(Magistrate Judge, recommended, granting)
(Wong, leave, amend)
(Government, dismiss, tort claim on ground)
(Government, dismiss, tort claim)
(District Court, rejected, motion)
(District Court, first rejected, motion)
(Wong, add, her FTCA claim)
(after § 2401, has, 6-month time period)
(court, bringing, Wong 's FTCA claim)
(Wong, has, FTCA claim)
(court, thus bringing, Wong 's FTCA claim)
(Government, moved based on, intervening Ninth Circuit decision)
(Government, later moved for, reconsideration)
(Government, moved for, reconsideration of ruling)
(Government, later moved based on, Ninth Circuit decision)
(Government, moved based on, Ninth Circuit decision)
(Government, moved for, reconsideration)
(Government, later moved based on, intervening Ninth Circuit decision)
(Government, later moved for, reconsideration of ruling)
(Wong, has, claim)
(Wong, 's claim is, reasoning)
(2401, has, 6-month time bar)
(District Court, dismissed at_time, time)
(Ninth Circuit, agreed On, appeal)
(tolling, is, available)
(equitable tolling, is, available)
(It, confirmed, District Court 's ruling)
(It, confirmed, District Court 's prior ruling)
(District Court, has, prior ruling)
(circumstances, justify, tolling)
(circumstances, here justify, tolling)
(Andrew Booth, was killed in, 2005)
(Andrew Booth, was, killed)
(respondent Marlene June, acting on behalf of, Booth 's son)
(respondent Marlene June, filed, wrongful death action)
(State, negligently constructed, median barrier)
(respondent Marlene June, filed death action at_time, year)
(respondent Marlene June, acting on behalf of, Booth 's young son)
(median barrier, State of, Arizona)
(State, negligently constructed, barrier)
(State, constructed, median barrier)
(barrier, State of, Arizona)
(State, constructed, barrier)
(respondent Marlene June, filed, death action)
(Booth, on behalf of, young son)
(Federal Highway Administration, approved, installation)
(Federal Highway Administration, approved, installation of barrier)
(June, Relying on, information)
(June, presented, tort claim)
(June, Relying on, new information)
(June, presented, tort claim to FHWA)
(June, presented tort claim in, 2010)
(June, filed action in, federal district court)
(June, promptly filed, action)
(June, promptly filed action in, federal district court)
(June, promptly filed action in, district court)
(June, filed, action)
(June, filed action in, district court)
(FHWA, denied, claim)
(court, dismissed, suit)
(court, dismissed suit, June had failed)
(June, submit, her claim to FHWA)
(June, submit, her claim)
(FTCA, has, 2-year bar)
(Ninth Circuit, reversed in, light of its decision in Wong)
(Ninth Circuit, reversed in, light of its recent decision in Wong)
(Ninth Circuit, reversed, thus holding)
(Ninth Circuit, reversed in, light of its decision)
(Ninth Circuit, reversed On, appeal)
(Ninth Circuit, reversed, holding)
(Ninth Circuit, reversed in, light)
(§ 2401, has, 2-year deadline like 6-month counterpart)
(Ninth Circuit, reversed in, light of its recent decision)
(its recent decision, is in, Wong)
(We, granted certiorari in, cases)
(§ 2401, has, two time limits)
(curiam, per 190-191 is, CA5 2011)
(Department, v. Irwin is, 498 U. S. 89 95)
(time bars, are presumptively subject to, tolling)
(time bars, are, presumptively subject)
(time bars, are presumptively subject to, equitable tolling)
(time bars, are subject to, equitable tolling)
(we, recognized In, Irwin)
(time bars, is in, suits between private parties)
(time bars, are subject to, tolling)
(time bars, are, subject)
(court, pause, running)
(court, pause, running in private litigation)
(extraordinary circumstance, prevents, him)
(party, has pursued diligently, his rights)
(running, is in, private litigation)
(court, pause, running in litigation)
(court, pause, running of limitations statute in litigation)
(court, running in, private litigation)
(court, usually pause, running of limitations statute in private litigation)
(court, usually pause, running in private litigation)
(court, usually pause, running of limitations statute)
(court, running of, limitations statute)
(court, pause, running of limitations statute)
(court, running in, litigation)
(court, usually pause, running in litigation)
(court, usually pause, running of limitations statute in litigation)
(court, usually pause, running)
(circumstance, prevents, him)
(circumstance, meeting, deadline)
(court, pause, running of limitations statute in private litigation)
(party, has pursued, his rights)
(extraordinary circumstance, meeting, deadline)
(same rebuttable presumption, also apply to, suits brought under statute)
(presumption, apply to, suits brought against United States under statute)
(same presumption, apply to, suits brought against United States)
(same presumption, also apply to, suits brought under statute)
(same presumption, apply to, suits brought against United States under statute)
(rebuttable presumption, apply to, suits brought under statute)
(same presumption, apply to, suits brought)
(rebuttable presumption, also apply to, suits)
(same rebuttable presumption, apply to, suits)
(presumption, also apply to, suits brought)
(rebuttable presumption, also apply to, suits brought)
(same rebuttable presumption, apply to, suits brought)
(same presumption, also apply to, suits brought against United States)
(rebuttable presumption, apply to, suits brought)
(same presumption, also apply to, suits brought)
(rebuttable presumption, apply to, suits)
(rebuttable presumption, apply to, suits brought against United States under statute)
(same rebuttable presumption, apply to, suits brought against United States under statute)
(presumption, apply to, suits brought under statute)
(rebuttable presumption, also apply to, suits brought against United States under statute)
(presumption, apply to, suits)
(same presumption, apply to, suits brought under statute)
(rebuttable presumption, also apply to, suits brought against United States)
(same presumption, also apply to, suits)
(same rebuttable presumption, also apply to, suits brought)
(same rebuttable presumption, also apply to, suits)
(same rebuttable presumption, also apply to, suits brought against United States)
(same rebuttable presumption, apply to, suits brought against United States)
(presumption, also apply to, suits brought against United States under statute)
(same presumption, apply to, suits)
(same presumption, also apply to, suits brought against United States under statute)
(same rebuttable presumption, also apply to, suits brought against United States under statute)
(presumption, apply to, suits brought against United States)
(rebuttable presumption, apply to, suits brought against United States)
(presumption, also apply to, suits)
(presumption, apply to, suits brought)
(We, held in, Irwin)
(presumption, also apply to, suits brought under statute)
(same rebuttable presumption, apply to, suits brought under statute)
(rebuttable presumption, also apply to, suits brought under statute)
(presumption, also apply to, suits brought against United States)
(little, Adopting, general rule)
(little, Adopting, rule used in litigation)
(rule, used in, private litigation)
(rule, used in, litigation)
(little, Adopting, rule used)
(little, Adopting, rule used in private litigation)
(little, Adopting, rule)
(little, Adopting, general rule used)
(little, Adopting, general rule used in private litigation)
(general rule, used in, private litigation)
(general rule, used in, litigation)
(little, Adopting, general rule used in litigation)
(we, thought, likely)
(we, Accordingly thought, likely)
(Congress, enacting, time bar for suit against Government)
(Congress, may reverse rule, it chooses)
(Congress, enacting, time bar for suit)
(Congress, may reverse, usual rule)
(Congress, enacting, time bar)
(Congress, may reverse, rule)
(Government, may therefore attempt, establish through evidence)
(Government, establish through, evidence relating to particular statute)
(Government, may therefore attempt, establish through evidence relating to statute)
(Government, may attempt, establish through evidence relating to particular statute of limitations)
(Government, may attempt, establish)
(Congress, forbid, equitable tolling)
(Government, may attempt, establish through evidence relating to statute)
(Government, may attempt, establish through evidence relating)
(Government, may therefore attempt, establish through evidence relating to particular statute of limitations)
(Government, may therefore attempt, establish through evidence relating to statute of limitations)
(Government, establish through, evidence relating to particular statute of limitations)
(Government, may attempt, establish through evidence relating to statute of limitations)
(Government, may therefore attempt, establish through evidence relating to particular statute)
(Government, may therefore attempt, establish through evidence relating)
(Government, establish through, evidence relating)
(Government, establish through, evidence relating to statute)
(Government, establish through, evidence)
(Government, establish through, evidence relating to statute of limitations)
(Government, may attempt, establish through evidence)
(Congress, forbid, tolling)
(Government, may attempt, establish through evidence relating to particular statute)
(Government, may therefore attempt, establish)
(litigant, has, failure comply with bar)
(Congress, made, time bar at issue .2)
(Congress, made, time bar)
(time, bar at, issue jurisdictional .2)
(Congress, made, time bar at issue jurisdictional .2)
(time, bar at, issue .2)
(court, must enforce, limitation)
(other party, even has waived, timeliness objection)
(court, Hence must enforce, limitation)
(party, even has waived, timeliness objection)
(other party, has waived, timeliness objection)
(party, has waived, timeliness objection)
(considerations, extending, time period)
(court, more crucially here must do, so even considerations would support)
(court, crucially here must do, considerations would support)
(court, crucially here must do, so even equitable considerations would support)
(court, here must do, so even equitable considerations would support)
(court, crucially here must do, so even considerations would support)
(court, crucially here must do, even equitable considerations would support)
(court, crucially here must do, even considerations would support)
(court, must do, even equitable considerations would support)
(court, more crucially here must do, even considerations would support)
(court, must do, considerations would support)
(court, here must do, equitable considerations would support)
(court, here must do, considerations would support)
(court, must do, so even considerations would support)
(court, here must do, so even considerations would support)
(court, more crucially here must do, considerations would support)
(court, here must do, even considerations would support)
(court, crucially here must do, equitable considerations would support)
(court, must do, so even equitable considerations would support)
(equitable considerations, extending, time period)
(court, more crucially here must do, even equitable considerations would support)
(court, must do, even considerations would support)
(considerations, extending, prescribed time period)
(court, here must do, even equitable considerations would support)
(court, must do, equitable considerations would support)
(court, more crucially here must do, equitable considerations would support)
(equitable considerations, extending, prescribed time period)
(court, more crucially here must do, so even equitable considerations would support)
(Government, must clear, bar establish)
(statute, is, jurisdictional)
(Government, must clear, high bar establish)
(we, have repeatedly held, that)
(we, have held, that)
(time bars, power 's, court)
(courts, should treat, restriction)
(courts, should treat restriction as, nonjurisdictional)
(___, at Regional is, 568 U. S.)
(___, at Regional is, 568 U. S.)
(Congress, imbued bar with, consequences)
(Congress, imbued, bar)
(Congress, imbued bar with, jurisdictional consequences)
(Congress, imbued, procedural bar)
(most time bars, are, nonjurisdictional)
(clear statement rule, made, plain)
(statement rule, made, plain)
(time bars, are, nonjurisdictional)
(noting, rarity of, jurisdictional time limits)
(noting, rarity of, time limits)
(we, filing, deadlines)
(439, at Henderson is, 562 U. S.)
(dissent, contrary to, suggestion)
(Congress, tag, statute of limitations)
(Congress, tag statute as, jurisdictional)
(Congress, setting, exception-free deadline)
(Congress, must do, something)
(Congress, must do, something special)
(Congress, tag, statute)
(Congress, setting, deadline)
(Congress, did, nothing of kind)
(Congress, enacting, FTCA)
(Congress, did, nothing)
(it, is presented to, agency)
(agency, of, denial of claim)
(it, is, presented)
(it, is, presented to agency within two years)
(tort claim, be forever barred, presented within two years)
(tort claim, be forever barred, presented to agency within two years)
(tort claim, be forever barred, presented)
(action, is begun within, six months of agency 's denial of claim)
(action, is begun within, six months)
(tort claim, be forever barred, presented to agency)
(action, is begun within, six months of agency 's denial)
(tort claim, be barred, presented)
(action, is, begun)
(tort claim, be, forever barred)
(it, is presented within, two years)
(tort claim, be barred, presented to agency within two years)
(tort claim, be barred, presented within two years)
(tort claim, be barred, presented to agency)
(tort claim, be, barred)
(___, at Gonzalez is, 565 U. S.)
(___, slip op. at, 10-11)
(___, slip at, 10-11)
(___, slip at, 10-11)
(language, might, Too might viewed)
(language, might, might viewed forever)
(language, might, might viewed)
(language, might, Too might viewed forever)
(439, at Henderson is, 562 U. S.)
(81, at Pacific is, 558 U. S.)
(515, at Arbaugh is, 546 U. S.)
(litigant, has, filing obligations)
(court, has, authority)
(short, in Section is, b)
(Section 2401, is in, short)
(context, confirms, reading)
(Statutory context, confirms, reading)
(Congress, has, separation of filing deadline from jurisdictional grant)
(515, at Arbaugh is, 546 U. S.)
(393-394, at Zipes is, 455 U. S.)
(FTCA, has, time limitations)
(jurisdictional, would thus disregard, structural divide built into statute)
(jurisdictional, would thus disregard, structural divide)
(jurisdictional, would thus disregard, divide built into statute)
(jurisdictional, would disregard, structural divide)
(jurisdictional, would disregard, structural divide built into statute)
(jurisdictional, would disregard, divide)
(jurisdictional, would thus disregard, structural divide built)
(jurisdictional, would disregard, structural divide built)
(§ 2401, has, time bars)
(jurisdictional, would disregard, divide built)
(jurisdictional, would disregard, divide built into statute)
(jurisdictional, would thus disregard, divide built)
(jurisdictional, would thus disregard, divide)
(history, provide, statement)
(legislative history, provide, clear statement)
(history, provide, clear statement)
(legislative history, provide, statement)
(Congress, declined again, say)
(Congress, say, anything specific)
(Congress, amending, b)
(Congress, say, anything)
(Congress, declined, say)
(four times, 2401, b)
(Congress, provide, anything like statement)
(Congress, provide, anything like clear statement)
(court, has, power)
(Congress, provide, anything)
(Court, deeming, statute)
(Court, deeming, statute of limitations)
(equitable tolling, is, available)
(tolling, is available in, suits against Government)
(equitable tolling, is available in, suits)
(tolling, is, available)
(we, started with, Irwin 's general rule)
(equitable tolling, is available in, suits against Government)
(we, started with, Irwin 's rule)
(Irwin, with, general rule)
(tolling, is available in, suits)
(Government, departing, principle fails)
(Government, offers, departing)
(time limits, are, just time limits)
(time limits, are, time limits)
(time limits, is in, FTCA)
(court, can toll, them)
(they, Even govern, litigation)
(they, govern, litigation)
(Government, balks at, straightforward analysis)
(Government, balks at, analysis)
(our precedents, foreclose, them)
(our precedents, foreclose both, them)
(our precedents, Indeed foreclose both, them)
(our precedents, Indeed foreclose, them)
(our precedents, is in, area)
(it, includes, language)
(it, includes, same language as statute)
(it, includes, same language)
(it, includes, language as statute of limitations)
(it, includes, same language as statute of limitations)
(it, includes, language as statute)
(Court, held, that)
(Court, repeatedly held, that)
(language, shall, shall barred)
(same language, shall, shall barred)
(it, used, same language)
(same language, shall, shall forever barred)
(language, shall, shall forever barred)
(same language, selecting, shorter limitations period)
(FTCA, has, time bar)
(it, used, language)
(same language, selecting, limitations period)
(language, selecting, limitations period)
(Congress, drafted, FTCA 's time bar)
(language, selecting, shorter limitations period)
(FTCA, has, identically worded time limit jurisdictional bar)
(words, similarly preclude, tolling)
(FTCA, serve as, tort-law analogue to Tucker Act)
(Congress, wanted, FTCA)
(words, be, barred)
(words, be, forever barred)
(words, similarly preclude, equitable tolling)
(words, preclude, equitable tolling)
(words, preclude, tolling)
(FTCA, serve as, tort-law analogue)
(Congress, wanted FTCA According to, Government)
(Reply Brief, is in, Wong 4)
(dissent, relies heavily on, argument)
(dissent, relies on, same argument)
(dissent, relies on, argument)
(dissent, relies heavily on, same argument)
(unremarkable phrase, of 2401 is, b)
(Government, takes, too much)
(Congress, from, use in § 2401 of utterly unremarkable phrase)
(Congress 's use, is in, § 2401 of utterly unremarkable phrase)
(Government, takes, much)
(commonplace, is in, federal limitations statutes)
(Congress, has, enactment of FTCA .7)
(formulation, shall, shall barred)
(formulation, shall, shall forever barred)
(we, be barred language in, 15 U. S. C. § 15b)
(we, be forever barred, language)
(Clayton Act, has, statute of limitations subject)
(nothing, is in, provision)
(we, be barred, language)
(we, be forever barred language in, 15 U. S. C. § 15b)
(T hat type, has, more do with legal rhetoric)
(T hat type, be to, barred)
(Clayton Act, from, jurisdictional provisions)
(T hat type, has, more do)
(T hat type, has, more do with rhetoric)
(T hat type, be to, forever barred)
(some, allow, tolling)
(Congress, has, inclusion of phrase endemic to limitations statutes of era)
(Government, relies on, here)
(Tucker Act, has, statute of limitations)
(Court, Indeed dismissed, idea)
(Court, dismissed idea in, two decisions)
(Court, Indeed dismissed idea in, two decisions)
(Court, dismissed, idea)
(words, is in, provision)
(status, has, precious little do with its phrasing)
(status, has, precious little do)
(we, twice made, clear)
(jurisdictional status, has, precious little do with its phrasing)
(status, has, little do)
(status, has, little do with its phrasing)
(jurisdictional status, has, precious little do)
(jurisdictional status, has, little do with its phrasing)
(jurisdictional status, has, little do)
(Tucker Act, of, time bar)
(we, made, clear)
(We, did so in, Irwin)
(We, first did in, Irwin)
(We, did in, Irwin)
(We, first did so in, Irwin)
(agency, of, denial of claim)
(employee, file, action)
(employee, file, civil action)
(employee, file action within, 30 days of agency 's denial)
(we, reaching, conclusion)
(§ 2000e-16, has, text)
(employee, file action within, 30 days of agency 's denial of her claim)
(we, compared, § 2000e-16 's text)
(Tucker Act, of, time bar)
(employee, file action within, 30 days)
(Tucker Act, has, limitations statute)
(we, formerly held, Tucker Act 's limitations statute)
(we, held, Tucker Act 's limitations statute)
(94-95, at Irwin is, 498 U. S.)
(Court, Leaving, question what did account for jurisdictional status)
(Court, ruled out, reliance on its language)
(Court, Leaving, question what did account)
(Court, Leaving, question what did account for status of Tucker Act 's time bar)
(Court, Leaving, question what did account for jurisdictional status of Tucker Act 's time bar)
(Court, Leaving, question what did account for status)
(Court, ruled out, reliance)
(Court, thus ruled out, reliance on its language)
(Court, thus ruled out, reliance)
(Tucker Act, of, time bar)
(phrase, used in, Tucker Act)
(phrase, shall, shall forever barred)
(phrase, shall, shall barred)
(John R. Sand, recently reaffirmed, that)
(John R. Sand, More recently reaffirmed, that)
(Tucker Act, has, time bar)
(John R. Sand, reaffirmed, that)
(Irwin, has, statement)
(Tucker Act, between, time bar)
(Tucker Act, has, time limit like § 2000e-16)
(John R. Sand, were, asked)
(John R. Sand, were, so asked)
(Tucker Act 's bar, was different, had subject of definitive interpretation)
(it, had, had subject of definitive earlier interpretation)
(Tucker Act 's bar, was different, had subject of interpretation)
(it, had, had subject)
(Tucker Act 's bar, was different, had subject of earlier interpretation)
(Tucker Act 's bar, was different, had subject of definitive earlier interpretation)
(it, had, had subject of earlier interpretation)
(it, had, had subject of interpretation)
(Tucker Act 's bar, was, different)
(it, had, had subject of definitive interpretation)
(Tucker Act 's bar, was different, had subject)
(Tucker Act, has, bar)
(Tucker Act, of, time limit)
(John R. Sand, left, our construction)
(John R. Sand, left, our prior construction of Tucker Act 's time limit)
(John R. Sand, left, our construction of Tucker Act 's time limit)
(John R. Sand, left, our prior construction)
(Justice Brandeis, in, words)
(Court, from, prior rulings from choice of wording)
(Tucker Act, about, deadline)
(Congress, from, choice of wording)
(core language, is in, provision)
(It, is, materially indistinguishable)
(language, is in, one nonjurisdictional time bar)
(It, is indistinguishable from, language in one time bar)
(It, is materially indistinguishable from, language in one nonjurisdictional time bar)
(It, is indistinguishable from, language)
(It, is, indistinguishable)
(It, is materially indistinguishable from, language)
(It, is indistinguishable from, language in one nonjurisdictional time bar)
(It, is materially indistinguishable from, language in one time bar)
(137, at Sand is, 552 U. S.)
(it, is, identical)
(language, is in, another)
(it, is identical to, language in another)
(it, is identical to, language)
(court, has, power hear)
