(UNITED STATES, v. RODRIGUEZ is, 2015)
(officer 's mission, includes, determining)
(driver, has, license)
(driver 's license, inspecting, automobile 's registration)
(officer, has, mission during traffic stop)
(driver 's license, inspecting, automobile 's registration of insurance)
(officer 's mission, typically includes, determining)
(vehicles, are, operated safely)
(vehicles, are, operated)
(dog, Lacking, same close connection as ordinary inquiries)
(dog, Lacking, same close connection to roadway safety as inquiries)
(dog, Lacking, connection to roadway safety as ordinary inquiries)
(dog, Lacking, same connection)
(dog, Lacking, connection to roadway safety as inquiries)
(dog, Lacking, same close connection to roadway safety as ordinary inquiries)
(dog, Lacking, same close connection)
(dog, Lacking, same connection as inquiries)
(dog, Lacking, close connection to roadway safety as inquiries)
(dog, Lacking, close connection to roadway safety)
(dog, Lacking, connection)
(dog, Lacking, same connection to roadway safety as ordinary inquiries)
(dog, Lacking, same close connection as inquiries)
(dog, Lacking, close connection as inquiries)
(dog, Lacking, connection as inquiries)
(dog, Lacking, close connection)
(dog, Lacking, same connection to roadway safety)
(dog, Lacking, close connection to roadway safety as ordinary inquiries)
(dog, Lacking, connection as ordinary inquiries)
(dog, Lacking, connection to roadway safety)
(dog, Lacking, close connection as ordinary inquiries)
(dog, Lacking, same close connection to roadway safety)
(dog, Lacking, same connection as ordinary inquiries)
(dog, Lacking, same connection to roadway safety as inquiries)
(de minimis intrusion, be, offset)
(Eighth Circuit, relied on, Pennsylvania)
(Government, by, interest stopping)
(Eighth Circuit, relied, 434 U. S. 106)
(Eighth Circuit, relied, concluding)
(government 's legitimate interest, is in, officer safety)
(government, has, legitimate interest in officer safety)
(interest, stop, itself)
(officer-safety interest, however stemmed from, danger to officer)
(interest, however stemmed from, danger to officer)
(interest, stemmed from, danger to officer associated)
(interest, however stemmed from, danger to officer associated)
(officer-safety interest, however stemmed from, danger to officer associated with traffic)
(officer-safety interest, stop, itself)
(officer-safety interest, stemmed from, danger to officer associated)
(interest, stemmed from, danger to officer)
(officer-safety interest, stemmed from, danger to officer associated with traffic)
(officer-safety interest, however stemmed from, danger)
(interest, stemmed from, danger)
(interest, stemmed from, danger to officer associated with traffic)
(officer-safety interest, stemmed from, danger)
(interest, however stemmed from, danger)
(interest, however stemmed from, danger to officer associated with traffic)
(officer-safety interest, recognized in, Mimms)
(interest, recognized in, Mimms)
(officer-safety interest, however stemmed from, danger to officer associated)
(officer-safety interest, stemmed from, danger to officer)
(On-scene investigation, detours in, contrast)
(On-scene investigation, detours from, officer 's traffic-control mission)
(On-scene investigation, detours from, officer 's mission)
(investigation, detours in, contrast)
(investigation, detours from, officer 's mission)
(investigation, detours from, officer 's traffic-control mission)
(officer, from, traffic-control mission)
(Government, has, argument)
(officer, complete, his traffic-based inquiries)
(officer, complete, his inquiries)
(unpersuasive, is, unlawful)
(question, therefore remains for, consideration)
(question, remains for, consideration)
(question, remains for, consideration on remand)
(question, remains, open)
(question, therefore remains, open)
(question, therefore remains for, consideration on remand)
(GINSBURG, delivered, opinion)
(SCALIA, joined, KAGAN)
(SCALIA, joined, SOTOMAYOR)
(SCALIA, joined, BREYER)
(KENNEDY, filed, dissenting opinion)
(KENNEDY, filed, opinion)
(KENNEDY, joined as to, all)
(ALITO, filed, opinion)
(ALITO, filed, dissenting opinion)
(opinion, is subject to, revision in print of United States Reports)
(opinion, is subject to, formal revision in preliminary print)
(opinion, is subject to, revision)
(opinion, is subject to, formal revision)
(opinion, is subject to, revision in print)
(opinion, is subject to, formal revision before publication)
(opinion, is subject to, formal revision in print of United States Reports)
(formal revision, is in, preliminary print of United States Reports)
(opinion, is subject to, revision before publication in preliminary print)
(opinion, is subject to, formal revision before publication in preliminary print)
(opinion, is subject to, formal revision before publication in print of United States Reports)
(opinion, is subject to, revision before publication)
(opinion, is subject to, formal revision in print)
(opinion, is, subject)
(opinion, is subject to, revision in preliminary print)
(opinion, is subject to, revision before publication in print)
(opinion, is subject to, formal revision in preliminary print of United States Reports)
(opinion, is subject to, revision before publication in preliminary print of United States Reports)
(opinion, is subject to, revision in preliminary print of United States Reports)
(opinion, is subject to, formal revision before publication in print)
(opinion, is subject to, revision before publication in print of United States Reports)
(opinion, is subject to, formal revision before publication in preliminary print of United States Reports)
(Readers, notify, Reporter)
(Readers, notify, Reporter of Decisions)
(Supreme Court, is in, order)
(Readers, are, requested)
(typographical formal errors, of States is, Washington)
(typographical formal errors, of States is, D. C. 20543)
(JUSTICE GINSBURG, delivered, opinion of Court)
(JUSTICE GINSBURG, delivered, opinion)
(case, presents, question)
(sniff, conducted after, completion)
(Amendment, tolerates, dog)
(sniff, conducted after, completion of traffic stop)
(Fourth Amendment, tolerates, dog)
(Constitution, has, shield against unreasonable seizures)
(police, exceeding, time)
(stop, was, made)
(police, exceeding, time needed)
(seizure, justified by, traffic violation)
(seizure, justified by, only traffic violation therefore)
(seizure, justified by, police-observed traffic violation therefore)
(seizure, justified by, traffic violation therefore)
(seizure, justified by, only traffic violation)
(it, is prolonged beyond, time required)
(it, is prolonged beyond, time)
(seizure, justified by, police-observed traffic violation)
(it, is prolonged beyond, time reasonably required)
(it, is, prolonged)
(Court, so recognized in, Caballes)
(Court, recognized in, Caballes)
(we, adhere to, line)
(we, adhere to, line drawn)
(we, adhere to, line drawn in decision)
(police officer Morgan Struble, observed after, Just midnight)
(police officer Morgan Struble, observed after, midnight on March 27 2012)
(Mercury Mountaineer, jerk onto, road)
(Mercury Mountaineer, veer onto, shoulder of Nebraska State Highway 275)
(police officer Morgan Struble, observed after, midnight)
(police officer Morgan Struble, observed after, Just midnight on March 27 2012)
(Mercury Mountaineer, veer slowly onto, shoulder)
(Mercury Mountaineer, jerk back onto, road)
(Mercury Mountaineer, veer onto, shoulder)
(Mercury Mountaineer, veer slowly onto, shoulder of Nebraska State Highway 275)
(Nebraska law, prohibits, driving on highway shoulders)
(Nebraska law, driving on, highway shoulders)
(Nebraska law, prohibits, driving)
(Struble, is, at 12:06 K-9 officer in Ne-braska)
(Struble, is, K-9 officer with Valley Police Department)
(Struble, is, at 12:06 K-9 officer with Valley Police Department)
(his dog Floyd, was in, his patrol car)
(Struble, is, at 12:06 K-9 officer)
(Struble, is, K-9 officer with Valley Police Department in Ne-braska)
(his dog Floyd, was in, his patrol car night)
(Struble, pulled, Mountaineer)
(Struble, is, K-9 officer)
(K-9 officer, is in, Ne-braska)
(Struble, is, K-9 officer in Ne-braska)
(K-9 officer, is with, Valley Police Department)
(Struble, is, at 12:06 K-9 officer with Valley Police Department in Ne-braska)
(Two men, were in, Mountaineer)
(men, were in, Mountaineer)
(passenger, on, side)
(Struble, approached Mountaineer on, passenger 's side)
(Struble, approached, Mountaineer)
(he, had driven onto, shoulder)
(Struble, asked, him)
(Rodriguez, identified, himself)
(he, avoid, pothole)
(Struble, gathered, proof)
(Struble, gathered, proof of insurance)
(Struble, gathered, registration)
(Rodriguez, accompany, him)
(Struble, gathered, Rodriguez 's license)
(Struble, asked, Rodriguez)
(Rodriguez, has, license)
(he, was required, do so)
(he, was required, do)
(Rodriguez, asked, required)
(he, was, required)
(Rodriguez, decided, wait in his vehicle)
(Rodriguez, decided, wait in his own vehicle)
(Rodriguez, decided, wait)
(Rodriguez, wait in, his own vehicle)
(Rodriguez, wait in, his vehicle)
(Struble, returned to, Mountaineer)
(Struble, returned, running)
(records, check on, Rodriguez)
(driver, for, license)
(Struble, asked passenger Pollman for, his driver 's license)
(Struble, asked, passenger Pollman)
(they, traveled to, Omaha)
(they, traveled to, Nebraska)
(they, were returning to, Norfolk)
(they, were returning to, Ne-braska)
(they, traveled, look)
(Struble, called for, officer)
(Struble, called for, second officer)
(records, check on, Pollman)
(Struble, writing, warning ticket)
(Struble, writing warning ticket, driving)
(Struble, writing warning ticket, driving on shoulder)
(Struble, writing warning ticket, driving on shoulder of road)
(Struble, writing, warning ticket for Rodriguez)
(Struble, returned to, Rodriguez 's vehicle)
(Rodriguez, to, vehicle)
(Struble, given back, documents obtained from them)
(Struble, given back documents to, Rodriguez)
(Struble, given, documents obtained)
(explaining, warning to, Rodriguez)
(Struble, given back, documents)
(Struble, given, documents obtained from them)
(Struble, explaining, warning to Rodriguez)
(Struble, given back, documents obtained)
(Struble, given documents to, Rodriguez)
(Struble, explaining, warning)
(Struble, given, documents)
(Struble, testified at, point)
(Rodriguez, had documents, Struble testified)
(Rodriguez, had documents, Struble testified at point)
(Struble, later testified at, point)
(Pollman, had documents, Struble testified at point)
(Rodriguez, had documents back, Struble testified)
(Pollman, copy of, warning)
(Pollman, had back, their documents)
(Rodriguez, had documents, Struble later testified at point)
(Rodriguez, had, documents)
(Pollman, had documents back, Struble testified)
(Pollman, had documents back, Struble testified at point)
(Pollman, had documents, Struble later testified)
(Rodriguez, had back, documents)
(Pollman, had, their documents)
(Rodriguez, had documents back, Struble later testified at point)
(Rodriguez, had back, their documents)
(Pollman, had, documents)
(Pollman, had documents back, Struble later testified at point)
(Pollman, had documents, Struble testified)
(Pollman, had documents back, Struble later testified)
(Rodriguez, had documents back, Struble later testified)
(Pollman, had documents, Struble later testified at point)
(Pollman, copy of, written warning)
(Rodriguez, had, their documents)
(Pollman, had back, documents)
(Rodriguez, had documents, Struble later testified)
(Rodriguez, had documents back, Struble testified at point)
(Struble, id. asked at, 70)
(Struble, asked at, 70)
(Struble, id. asked out of, way)
(justification, was out of, way)
(Struble, asked out of, way)
(Rodriguez, around, vehicle)
(Struble, stand in front of, patrol car)
(Struble, stand, wait for second officer)
(Struble, instructed, Rodriguez)
(Struble, stand, wait)
(Struble, exit, vehicle)
(Struble, stand, wait for officer)
(Struble, turn off, ignition)
(deputy sheriff, arrived At, 12:33 a.m.)
(Struble, led twice, him)
(Struble, led, him)
(Struble, retrieved, his dog)
(dog, alerted to, presence)
(dog, alerted to, presence of drugs)
(dog, alerted to, presence of drugs through Struble 's second pass)
(dog, alerted to, presence of drugs halfway through Struble 's pass)
(dog, alerted to, presence of drugs halfway through Struble 's second pass)
(dog, alerted to, presence of drugs through Struble 's pass)
(search, revealed, bag of methamphetamine)
(search, revealed, large bag)
(search, revealed, bag)
(search, revealed, large bag of methamphetamine)
(Rodriguez, was, indicted in United States District Court on one count of possession in violation)
(Rodriguez, was, indicted for District on one count of possession)
(Rodriguez, was indicted on, one count)
(Rodriguez, was, indicted on one count in violation of 21 U. S. C. § § 841)
(Rodriguez, was, indicted in United States District Court for District)
(Rodriguez, was, indicted for District on one count in violation)
(Rodriguez, was indicted for, District)
(Rodriguez, was indicted in, violation)
(Rodriguez, was, indicted in United States District Court for District in violation of 21 U. S. C. § § 841)
(Rodriguez, was, indicted in United States District Court on one count)
(Rodriguez, was, indicted for District on one count)
(Rodriguez, was, indicted for District on one count of possession in violation of 21 U. S. C. § § 841)
(Rodriguez, was, indicted)
(Rodriguez, was, indicted in United States District Court in violation of 21 U. S. C. § § 841)
(Rodriguez, was indicted in, violation of 21 U. S. C. § § 841)
(Rodriguez, was, indicted in United States District Court on one count of possession)
(Rodriguez, was, indicted in United States District Court for District on one count of possession in violation of 21 U. S. C. § § 841)
(Rodriguez, was indicted on, one count of possession)
(Rodriguez, was, indicted in United States District Court for District on one count of possession)
(Rodriguez, was indicted in, United States District Court)
(Rodriguez, was, indicted for District in violation)
(Rodriguez, was, indicted in United States District Court for District on one count)
(Rodriguez, was, indicted in United States District Court on one count in violation of 21 U. S. C. § § 841)
(Rodriguez, was, indicted in United States District Court for District on one count of possession in violation)
(Rodriguez, was, indicted on one count of possession in violation of 21 U. S. C. § § 841)
(Rodriguez, was, indicted in United States District Court for District on one count in violation)
(Rodriguez, was, indicted in United States District Court on one count of possession in violation of 21 U. S. C. § § 841)
(Rodriguez, was, indicted for District on one count of possession in violation)
(one count, is with, intent distribute)
(Rodriguez, was, indicted in United States District Court for District in violation)
(Rodriguez, was, indicted in United States District Court in violation)
(Rodriguez, was, indicted on one count in violation)
(Rodriguez, was, indicted in United States District Court on one count in violation)
(Rodriguez, was, indicted on one count of possession in violation)
(Rodriguez, was, indicted for District on one count in violation of 21 U. S. C. § § 841)
(Rodriguez, was, indicted in United States District Court for District on one count in violation of 21 U. S. C. § § 841)
(Rodriguez, was, indicted for District in violation of 21 U. S. C. § § 841)
(Struble, conduct sniff, dog)
(Struble, prolonged traffic stop without, reasonable suspicion)
(evidence, seized from, his car)
(Struble, prolonged, traffic stop)
(evidence, seized on, ground)
(Struble, prolonged traffic stop without, suspicion)
(He, moved, suppress)
(evidence, seized among, others)
(Struble, conduct, dog)
(Magistrate Judge, receiving, evidence)
(motion, be, denied)
(Officer Struble, had apart from, information given by dog)
(Officer Struble, had apart from, information given)
(Officer Struble, had apart from, information)
(Rodriguez, on, Fourth Amendment rights)
(extension, sniff under, Eighth Circuit precedent)
(District Court, denied, Rodriguez 's motion suppress)
(District Court, adopted, Magistrate Judge 's findings)
(District Court, adopted, legal conclusions)
(Rodriguez, has, motion suppress)
(District Court, adopted, conclusions)
(Magistrate Judge, has, findings)
(District Court, adopted, Magistrate Judge 's factual findings)
(court, agreed with, Magistrate Judge)
(court, thus agreed with, Magistrate Judge)
(Rodriguez, was sentenced to, five years in prison)
(Rodriguez, was sentenced to, five years)
(Rodriguez, Impelled by, decision)
(Rodriguez, entered, plea)
(Rodriguez, entered, guilty plea)
(Rodriguez, entered, conditional plea)
(five years, is in, prison)
(Rodriguez, was, sentenced)
(Rodriguez, entered, conditional guilty plea)
(court, ranked as, permissible)
(delay, is in, case)
(court, previously ranked as, permissible)
(delay, constituted, de minimis intrusion on Rodriguez 's personal liberty)
(delay, constituted, acceptable de minimis intrusion on Rodriguez 's liberty)
(delay, here constituted, acceptable de minimis intrusion on Rodriguez 's liberty)
(delay, constituted, acceptable de minimis intrusion)
(delay, constituted, de minimis intrusion on Rodriguez 's liberty)
(delay, here constituted, de minimis intrusion on Rodriguez 's liberty)
(delay, here constituted, acceptable de minimis intrusion)
(delay, constituted, acceptable de minimis intrusion on Rodriguez 's personal liberty)
(delay, here constituted, acceptable de minimis intrusion on Rodriguez 's personal liberty)
(delay, constituted, de minimis intrusion)
(delay, here constituted, de minimis intrusion)
(Rodriguez, on, personal liberty)
(delay, here constituted, de minimis intrusion on Rodriguez 's personal liberty)
(Struble, had, suspicion continue)
(court, declined Given, ruling)
(court, reach, question)
(Struble, had, reasonable suspicion continue)
(suspicion, continue, Rodriguez 's detention)
(reasonable suspicion, continue, Rodriguez 's detention)
(Rodriguez, has, detention)
(suspicion, conduct, dog)
(police, extend, traffic stop)
(We, resolve, division among courts)
(reason-able suspicion, conduct, dog)
(police, routinely extend, otherwise-completed traffic stop)
(We, resolve, division)
(police, extend, otherwise-completed traffic stop)
(absent suspicion, conduct, dog)
(police, routinely extend, traffic stop)
(We, resolve, division among lower courts on question)
(We, resolve, division among lower courts)
(We, granted, certiorari)
(absent reason-able suspicion, conduct, dog)
(We, resolve, division on question)
(We, resolve, division among courts on question)
(Morgan, delay under, of well ten minutes permissible)
(United States, is with, State ¶ 13 658 2010)
(seizure, justifies, police investigation of violation)
(seizure, justifies, police investigation)
(traffic stop, is, more analogous)
(routine traffic stop, is more analogous to, Terry stop)
(encounter, is analogous to, Terry stop)
(brief encounter, is, more analogous)
(brief encounter, is more analogous to, Terry stop than to arrest)
(brief encounter, is more analogous to, Terry stop than to formal arrest)
(routine traffic stop, is analogous to, Terry stop)
(traffic stop, is analogous to, Terry stop)
(routine traffic stop, is, more analogous)
(brief encounter, is more analogous to, Terry stop)
(brief encounter, is, more analogous to stop than to arrest)
(routine traffic stop, is, analogous)
(traffic stop, is, analogous)
(encounter, is, analogous)
(encounter, is, more analogous to stop)
(traffic stop, is analogous to, Terry stop than to arrest)
(routine traffic stop, is more analogous to, Terry stop than to formal arrest)
(encounter, is, analogous to stop than to arrest)
(encounter, is more analogous to, Terry stop than to arrest)
(encounter, is, analogous to stop)
(brief encounter, is, analogous to stop than to formal arrest)
(brief encounter, is, analogous)
(encounter, is more analogous to, Terry stop than to formal arrest)
(brief encounter, is analogous to, Terry stop than to formal arrest)
(traffic stop, is analogous to, Terry stop than to formal arrest)
(brief encounter, is analogous to, Terry stop)
(brief encounter, is, analogous to stop)
(brief encounter, is, more analogous to stop than to formal arrest)
(routine traffic stop, is analogous to, Terry stop than to formal arrest)
(routine traffic stop, is more analogous to, Terry stop than to arrest)
(encounter, is, more analogous)
(encounter, is more analogous to, Terry stop)
(traffic stop, is more analogous to, Terry stop)
(encounter, is analogous to, Terry stop than to formal arrest)
(brief encounter, is, more analogous to stop)
(traffic stop, is more analogous to, Terry stop than to formal arrest)
(encounter, is, analogous to stop than to formal arrest)
(encounter, is, more analogous to stop than to arrest)
(brief encounter, is, analogous to stop than to arrest)
(encounter, is analogous to, Terry stop than to arrest)
(encounter, is, more analogous to stop than to formal arrest)
(brief encounter, is analogous to, Terry stop than to arrest)
(routine traffic stop, is analogous to, Terry stop than to arrest)
(traffic stop, is more analogous to, Terry stop than to arrest)
(turn, citing, Terry)
(turn, citing, Ohio)
(seizure, by, mission)
(6-7, at concerns is, infra)
(police inquiries, is in, traffic-stop context)
(scope, must, Florida 500 1983 must carefully tailored to its underlying justification)
(scope, must, Florida 500 1983 must tailored to its underlying justification)
(scope, must, Florida 500 1983 must tailored)
(scope, must, Florida 500 1983 must carefully tailored)
(scope, must, Florida 500 1983 must carefully tailored to its justification)
(scope, must, Florida 500 1983 must tailored to its justification)
(tasks, are, reasonably should have completed)
(tasks, are, should have completed)
(tasks, are, when should have completed)
(tasks, tied to, traffic infraction)
(tasks, are, when reasonably should have completed)
(Our decisions, is in, Caballes)
(Our decisions, heed, constraints)
(we, concluded In, cases)
(406, at Caballes is, dog)
(406, at Caballes is, 543 U. S.)
(we, however cautioned In, Caballes)
(it, is prolonged beyond, time required)
(it, is prolonged beyond, time)
(it, is prolonged beyond, time reasonably required)
(it, is, prolonged)
(we, cautioned In, Caballes)
(admonition, is in, Johnson)
(officer, may conduct checks in, other words)
(officer, may conduct checks in, words)
(officer, may conduct checks during, traffic stop)
(officer, may conduct, certain unrelated checks)
(officer, may conduct, certain checks)
(officer, may conduct, checks)
(officer, may conduct checks during, otherwise lawful traffic stop)
(officer, may conduct, unrelated checks)
(officer, may conduct checks during, lawful traffic stop)
(JUSTICE ALITO, contrary to, suggestion at 4)
(4, at suggestion is, post)
(JUSTICE ALITO, 's suggestion is, post)
(dissent, on, own finding of reasonable suspicion)
(officer 's mission, includes, inquiries incident)
(ordinary inquiries, incident to, stop)
(officer 's mission, includes, ordinary inquiries incident)
(officer 's mission, includes, inquiries)
(officer 's mission, includes inquiries, determining)
(inquiries, incident to, stop)
(officer 's mission, includes, ordinary inquiries)
(officer, has, mission)
(officer 's mission, includes, inquiries incident to stop)
(officer 's mission, includes, ordinary inquiries incident to stop)
(408, at Caballes is, 543 U. S.)
(such inquiries, inspecting, automobile 's registration)
(inquiries, inspecting, automobile 's registration)
(inquiries, Typically involve, determining)
(such inquiries, checking, driver 's license)
(such inquiries, involve, determining)
(such inquiries, inspecting, automobile 's registration of insurance)
(inquiries, involve, determining)
(automobile, has, registration)
(inquiries, inspecting, proof)
(inquiries, inspecting, automobile 's registration of insurance)
(such inquiries, inspecting, proof)
(inquiries, checking, driver 's license)
(driver, has, license)
(vehicles, are, operated safely)
(vehicles, are, operated)
(warrant check, makes, it determine)
(apparent traffic violator, is, wanted)
(warrant check, makes at, 516)
(dog, sniff by, contrast)
(Government, acknowledged at, argument)
(Government, Candidly acknowledged at, argument)
(Government, acknowledged at, oral argument)
(Government, Candidly acknowledged at, oral argument)
(dog, Lacking, same close connection as ordinary inquiries)
(dog, Lacking, same close connection to roadway safety as inquiries)
(dog, Lacking, connection to roadway safety as ordinary inquiries)
(dog, Lacking, connection to roadway safety as inquiries)
(dog, Lacking, same connection)
(dog, Lacking, same close connection to roadway safety as ordinary inquiries)
(dog, Lacking, same close connection)
(dog, Lacking, close connection to roadway safety as inquiries)
(dog, Lacking, same connection as inquiries)
(dog, Lacking, close connection to roadway safety)
(dog, Lacking, connection)
(dog, Lacking, same connection to roadway safety as ordinary inquiries)
(dog, Lacking, same close connection as inquiries)
(dog, Lacking, close connection as inquiries)
(dog, Lacking, connection as inquiries)
(dog, Lacking, close connection)
(dog, Lacking, same connection to roadway safety)
(dog, Lacking, close connection to roadway safety as ordinary inquiries)
(dog, Lacking, connection as ordinary inquiries)
(dog, Lacking, connection to roadway safety)
(dog, Lacking, close connection as ordinary inquiries)
(dog, Lacking, same close connection to roadway safety)
(dog, Lacking, same connection as ordinary inquiries)
(dog, Lacking, same connection to roadway safety as inquiries)
(Eighth Circuit, advancing, its rule)
(Eighth Circuit, relied on, our decision)
(curiam, per S. is, 1977)
(Eighth Circuit, relied heavily on, our decision in Pennsylvania)
(Eighth Circuit, relied on, our decision in Pennsylvania)
(our decision, is in, Pennsylvania)
(Eighth Circuit, advancing, its de rule)
(Eighth Circuit, relied heavily on, our decision)
(we, reasoned In, Mimms)
(government 's legitimate interest, is in, officer safety)
(government, has, legitimate interest in officer safety)
(passengers, may, may required)
(vehicle, stopped for, traffic violation)
(JUSTICE THOMAS, in, dissent)
(Eighth Circuit, echoed in, JUSTICE THOMAS dissent)
(nation, along, highways)
(Government, by, strong interest interdicting)
(government 's officer safety interest, stems Unlike, interest)
(government 's officer safety interest, stems Unlike, general interest in enforcement)
(government 's officer safety interest, stems Unlike, interest in criminal enforcement)
(government 's officer safety interest, however stems Unlike, interest in enforcement)
(government 's officer safety interest, however stems Unlike, general interest in criminal enforcement)
(government 's officer safety interest, however stems from, mission of stop itself)
(government 's officer safety interest, stems from, mission)
(government 's officer safety interest, however stems Unlike, general interest in enforcement)
(government 's officer safety interest, however stems Unlike, interest in criminal enforcement)
(government, has, officer safety interest)
(government 's officer safety interest, however stems Unlike, general interest)
(government 's officer safety interest, however stems Unlike, interest)
(government 's officer safety interest, stems Unlike, interest in enforcement)
(government 's officer safety interest, stems from, mission of stop)
(government 's officer safety interest, however stems from, mission of stop)
(government 's officer safety interest, stems Unlike, general interest)
(general interest, is in, criminal enforcement)
(government 's officer safety interest, stems Unlike, general interest in criminal enforcement)
(government 's officer safety interest, however stems from, mission)
(government 's officer safety interest, stems from, mission of stop itself)
(officer, take, certain precautions)
(officer, take, precautions)
(officer, take, certain burdensome precautions)
(officer, take, burdensome precautions)
(officer, take, negligibly burdensome precautions)
(officer, take, certain negligibly burdensome precautions)
(Cf. United States, abrogated, recognized in United States)
(banc, en 1221-1222 is, CA10 2001)
(Cf. United States, abrogated, recognized)
(Cf. United States, abrogated on, other grounds)
(Cf. United States, abrogated on, grounds)
(On-scene investigation, detours from, mission)
(investigation, however detours from, mission)
(On-scene investigation, however detours from, mission)
(investigation, detours from, mission)
(cf., post at, ALITO)
(Government, from, endeavor detect in general in particular)
(Highway safety, are, interests different in kind)
(Highway safety, are, interests different)
(Highway safety, are, interests)
(duration, remains in, relation to duration of traffic)
(duration, remains, reasonable)
(overall duration, remains in, relation)
(duration, remains in, relation to duration of other traffic)
(duration, remains, stops)
(overall duration, remains, reasonable)
(overall duration, remains in, relation to duration)
(duration, remains in, relation to duration)
(overall duration, remains, stops)
(overall duration, remains in, relation to duration of other traffic)
(overall duration, remains in, relation to duration of traffic)
(duration, remains in, relation)
(Government, has, argument)
(officer, completing expeditiously, traffic-related tasks)
(Government 's argument, is in, effect)
(officer, completing, traffic-related tasks)
(Government, has, argument)
(officer, always has, reasonably diligent)
(officer, has, diligent)
(Government, acknowledges In, regard)
(officer, always has, diligent)
(officer, has, reasonably diligent)
(he, did, it)
(diligence, could, How could gauged)
(diligence, could, could gauged)
(stop, has, mission)
(officer, can complete, inquiries)
(that, is amount of, time)
(that, is amount of, time reasonably required)
(that, is, amount)
(officer, can complete, traffic-based inquiries)
(officer, can complete expeditiously, inquiries)
(officer, can complete expeditiously, traffic-based inquiries)
(that, is amount of, time required)
(407, at Caballes is, 543 U. S.)
(we, reiterate at_time, today)
(traffic, stop, prolonged)
(traffic, stop, we said in Caballes)
(point, is beyond, unlawful)
(we, said in, Caballes)
(traffic, prolonged beyond, unlawful)
(traffic, stop, we said)
(District Court, adopted, Magistrate Judge 's findings)
(Magistrate Judge, has, findings)
(Court, has, answer)
(case, is remanded for, further proceedings consistent)
(case, is remanded for, further proceedings)
(judgment, is, vacated)
(case, is remanded for, proceedings)
(judgment, is vacated For, reasons)
(judgment, is vacated For, reasons stated)
(case, is remanded for, further proceedings consistent with opinion)
(case, is, remanded)
(case, is remanded for, proceedings consistent)
(case, is remanded for, proceedings consistent with opinion)
(It, is, ordered)
(It, is, so ordered)
(DENNYS RODRIGUEZ, PETITIONER v., UNITED STATES)
