(UNITED STATES, v. LOCKHART is, 2016)
(three items, is in, § 2252 's)
(it, is doubtful, Congress had intended)
(Congress, had intended, result)
(it, is, doubtful)
(c Lockhart 's counterarguments, are, rejected)
(rule, be, overcome)
(rule, be overcome by, indicia)
(last-antecedent rule, be overcome by, indicia)
(rule, be overcome by, contextual indicia)
(last-antecedent rule, be overcome by, contextual indicia)
(Court, observed In, cases)
(last-antecedent rule, be overcome by, contextual indicia of meaning)
(Court, simply observed In, cases)
(last-antecedent rule, be, overcome)
(rule, be overcome by, contextual indicia of meaning)
(rule, be overcome by, indicia of meaning)
(last-antecedent rule, be overcome by, indicia of meaning)
(Lockhart, has, attempts identify)
(Lockhart, has, reading)
(Lockhart 's reading, results in, much redundancy running into rule)
(Lockhart 's reading, transforming, list of separate predicates)
(Lockhart 's reading, transforming list into, set)
(Lockhart 's reading, transforming, list)
(Lockhart 's reading, results in, much redundancy running)
(Lockhart 's reading, results in, redundancy running)
(Lockhart 's reading, results in, redundancy running into rule)
(Lockhart 's reading, transforming, list of predicates)
(Lockhart 's reading, results in, too much redundancy running)
(Lockhart 's reading, transforming list into, set of near-synonyms)
(Lockhart 's reading, results in, redundancy)
(Lockhart 's reading, results in, too much redundancy)
(Lockhart 's reading, results in, much redundancy)
(Lockhart, contends, that)
(Court, has, construction)
(Court 's construction, However relies on, contextual cues)
(Court 's construction, However relies on, cues)
(Court 's construction, relies on, cues particular to sexual-abuse)
(Court 's construction, However relies on, contextual cues particular)
(Court 's construction, relies on, contextual cues)
(Court 's construction, However relies on, cues particular to sexual-abuse)
(Court 's construction, relies on, contextual cues particular)
(Court 's construction, relies on, cues)
(Court 's construction, However relies on, contextual cues particular to sexual-abuse)
(Court 's construction, relies on, cues particular)
(Court 's construction, However relies on, cues particular)
(Court 's construction, relies on, contextual cues particular to sexual-abuse)
(provision, has, legislative history)
(provision 's legislative history, speaks with, clarity of purpose)
(provision 's history, speaks with, clarity)
(provision 's legislative history, hardly speaks with, clarity)
(provision 's legislative history, speaks with, clarity)
(provision 's history, hardly speaks with, clarity of purpose)
(provision 's history, hardly speaks with, clarity)
(provision 's history, speaks with, clarity of purpose)
(provision 's legislative history, hardly speaks with, clarity of purpose)
(rule, is, triggered)
(rule, is, triggered here)
(rule, resolve, ambiguity)
(rule, is, used)
(rule, is, well supported)
(rule, is, Here well supported)
(rule, Here however is well supported by, context)
(rule, is well supported by, context)
(rule, is supported by, context)
(rule, is, supported)
(rule, is, however supported)
(rule, is, Here however supported)
(rule, Here is supported by, context)
(rule, is, Here supported)
(rule, is, however well supported)
(rule, is, Here however well supported)
(rule, however is supported by, context)
(rule, however is well supported by, context)
(rule, Here is well supported by, context)
(rule, Here however is supported by, context)
(Lockhart, has, alternative)
(KENNEDY, joined, ALITO)
(KENNEDY, joined, THOMAS)
(KENNEDY, joined, GINSBURG)
(SOTOMAYOR, delivered, opinion)
(opinion, is subject to, revision in print of United States Reports)
(opinion, is subject to, formal revision in preliminary print)
(opinion, is subject to, revision)
(opinion, is subject to, formal revision)
(opinion, is subject to, revision in print)
(opinion, is subject to, formal revision before publication)
(opinion, is subject to, formal revision in print of United States Reports)
(formal revision, is in, preliminary print of United States Reports)
(opinion, is subject to, revision before publication in preliminary print)
(opinion, is subject to, formal revision before publication in preliminary print)
(opinion, is subject to, formal revision before publication in print of United States Reports)
(opinion, is subject to, revision before publication)
(opinion, is subject to, formal revision in print)
(opinion, is, subject)
(opinion, is subject to, revision in preliminary print)
(opinion, is subject to, revision before publication in print)
(opinion, is subject to, formal revision in preliminary print of United States Reports)
(opinion, is subject to, revision before publication in preliminary print of United States Reports)
(opinion, is subject to, revision in preliminary print of United States Reports)
(opinion, is subject to, formal revision before publication in print)
(opinion, is subject to, revision before publication in print of United States Reports)
(opinion, is subject to, formal revision before publication in preliminary print of United States Reports)
(Readers, notify, Reporter)
(Readers, notify, Reporter of Decisions)
(Supreme Court, is in, order)
(Readers, are, requested)
(typographical formal errors, of States is, Washington)
(typographical formal errors, of States is, D. C. 20543)
(JUSTICE SOTOMAYOR, delivered, opinion)
(JUSTICE SOTOMAYOR, delivered, opinion of Court)
(they, have, conviction)
(they, have, prior conviction)
(Defendants, are, subject)
(Defendants, are subject to, sentence)
(Defendants, are subject to, 10-year sentence)
(Court, Below joined, Courts of Appeals)
(Court, Below joined, other Courts)
(Court, joined, other Courts)
(it, modifies, abusive sexual conduct)
(Court, joined, Courts of Appeals)
(it, modifies, only sexual conduct)
(Court, Below joined, several Courts of Appeals)
(Court, Below joined, several other Courts)
(Court, Below joined, other Courts of Appeals)
(it, modifies, abusive conduct)
(Court, joined, several other Courts of Appeals)
(Court, joined, several Courts of Appeals)
(it, modifies, conduct)
(Court, Below joined, several Courts)
(Court, joined, several other Courts)
(Court, joined, other Courts of Appeals)
(it, modifies, only abusive conduct)
(it, modifies, sexual conduct)
(it, modifies, only abusive sexual conduct)
(Court, Below joined Courts, holding)
(Court, Below joined, Courts)
(Court, joined, several Courts)
(Court, joined, Courts)
(it, modifies, only conduct)
(Court, Below joined, several other Courts of Appeals)
(Court, joined Courts, holding)
(Eighth Circuit, has reached, contrary result)
(Eighth Circuit, has reached, result)
(We, resolve, split)
(We, granted, certiorari)
(Avondale Lockhart, was convicted of, abuse)
(Avondale Lockhart, was, convicted of abuse in degree)
(Avondale Lockhart, was convicted in, degree under N. Y. Penal Law Ann)
(Avondale Lockhart, was, In April 2000 convicted of abuse in first degree)
(Avondale Lockhart, was convicted In, April 2000)
(Avondale Lockhart, was, convicted of sexual abuse in first degree under N. Y. Penal Law Ann)
(Avondale Lockhart, was convicted in, first degree under N. Y. Penal Law Ann)
(Avondale Lockhart, was, In April 2000 convicted of sexual abuse)
(Avondale Lockhart, was convicted of, sexual abuse)
(Avondale Lockhart, was, In April 2000 convicted of abuse in first degree under N. Y. Penal Law Ann)
(Avondale Lockhart, was, In April 2000 convicted of abuse in degree)
(Avondale Lockhart, was, convicted of abuse in first degree)
(Avondale Lockhart, was, convicted)
(Avondale Lockhart, was, convicted of sexual abuse in degree under N. Y. Penal Law Ann)
(Avondale Lockhart, was convicted in, degree)
(Avondale Lockhart, was, In April 2000 convicted in first degree under N. Y. Penal Law Ann)
(Avondale Lockhart, was, convicted of abuse in first degree under N. Y. Penal Law Ann)
(Avondale Lockhart, was, convicted of sexual abuse in first degree)
(Avondale Lockhart, was convicted in, first degree)
(Avondale Lockhart, was, In April 2000 convicted in degree under N. Y. Penal Law Ann)
(Avondale Lockhart, was, In April 2000 convicted in degree)
(Avondale Lockhart, was, In April 2000 convicted in first degree)
(Avondale Lockhart, was, In April 2000 convicted of sexual abuse in degree under N. Y. Penal Law Ann)
(Avondale Lockhart, was, In April 2000 convicted of sexual abuse in degree)
(Avondale Lockhart, was, In April 2000 convicted of sexual abuse in first degree)
(Avondale Lockhart, was, In April 2000 convicted of abuse in degree under N. Y. Penal Law Ann)
(Avondale Lockhart, was, convicted of sexual abuse in degree)
(Avondale Lockhart, was, In April 2000 convicted of abuse)
(Avondale Lockhart, was, convicted of abuse in degree under N. Y. Penal Law Ann)
(Avondale Lockhart, was, In April 2000 convicted of sexual abuse in first degree under N. Y. Penal Law Ann)
(crime, involved, his girlfriend)
(crime, involved, his then-53-year-old girlfriend)
(Presentence Investigation Report, is in, No. 11-CR-231-01)
(No. 11-CR-231-01, in Report is, PSR)
(Lockhart, was indicted in, Eastern District of New York)
(Lockhart, was, Eleven years later indicted in Eastern District of New York)
(Lockhart, was, indicted)
(Lockhart, later was indicted in, Eastern District)
(Lockhart, was, later indicted)
(Lockhart, was indicted, attempting)
(Lockhart, was, Eleven years later indicted)
(Lockhart, was, Eleven years later indicted in Eastern District)
(Lockhart, was indicted in, Eastern District)
(Lockhart, later was indicted, attempting)
(Lockhart, later was indicted in, Eastern District of New York)
(Lockhart, pleaded, guilty)
(Lockhart, pleaded, guilty to possession offense)
(Lockhart, has, presentence report)
(Lockhart, was, subject)
(abusive conduct, involving, minor)
(Lockhart, §, b)
(abusive conduct, involving, ward)
(sexual conduct, involving, ward)
(his prior New York abuse conviction, related to, aggravated abuse)
(conduct, involving, ward)
(conduct, involving, minor)
(abusive sexual conduct, involving, minor)
(his prior New York abuse conviction, related to, abuse)
(his New York abuse conviction, related to, abuse)
(sexual conduct, involving, minor)
(abusive sexual conduct, involving, ward)
(his New York abuse conviction, related to, aggravated abuse)
(Lockhart, arguing, that)
(Lockhart, arguing, statutory phrase)
(Lockhart, arguing, phrase)
(his conviction, fell outside, enhancement 's ambit)
(enhancement, outside, ambit)
(his prior conviction, fell outside, enhancement 's ambit)
(Lockhart, has, argument)
(District Court, applied, minimum)
(District Court, rejected, Lockhart 's argument)
(District Court, applied, mandatory minimum)
(Second Circuit, affirmed, his sentence)
(provision, has, list of state sexual-abuse offenses)
(We, hold, that)
(provision 's text, reveal, reading)
(context, reveal, reading)
(provision, has, text)
(context, reveal, straightforward reading)
(provision 's text, reveal, straightforward reading)
(timeworn textual canon, is confirmed by, structure of scheme)
(textual canon, is confirmed by, structure of statutory scheme)
(timeworn textual canon, is, confirmed)
(textual canon, is confirmed by, structure of scheme)
(textual canon, is, confirmed)
(timeworn textual canon, is confirmed by, structure)
(timeworn canon, is confirmed by, structure of scheme)
(timeworn textual canon, is confirmed by, structure of statutory scheme)
(timeworn canon, is confirmed by, structure)
(canon, is confirmed by, structure of scheme)
(canon, is confirmed by, structure of statutory scheme)
(canon, is confirmed by, structure)
(textual canon, is confirmed by, structure)
(timeworn canon, is, confirmed)
(canon, is, confirmed)
(timeworn canon, is confirmed by, structure of statutory scheme)
(we, have applied, strategy called)
(we, have typically applied, interpretive strategy)
(we, have applied, strategy)
(we, have applied, interpretive strategy)
(we, have applied, interpretive strategy called)
(we, have typically applied, strategy)
(we, have typically applied, strategy called)
(we, have typically applied, interpretive strategy called)
(it, follows, phrase)
(phrase, be, read)
(it, immediately follows, phrase)
(phrase, be, ordinarily read)
(extension, is, necessary)
(extension, is necessary from, context)
(Court, has applied rule to, our more recent)
(Court, has applied rule to, our recent)
(Court, has applied rule from, our earliest decisions)
(Court, has applied, rule)
(Court, has applied rule from, our decisions)
(it, apply modifier to, item)
(it, apply, modifier)
(modifier, appears at, end of list)
(it, is, easier)
(it, apply modifier before, directly it)
(rule, reflects, intuition)
(modifier, appears at, end)
(it, apply modifier before, it)
(rule, reflects, basic intuition)
(it, apply modifier to, only item)
(it, takes, more)
(it, process, individual entries)
(it, takes, more than little mental energy)
(individual entries, is in, list)
(it, carry, modifier)
(it, takes, more than mental energy)
(it, takes, more than energy)
(it, process, entries in list)
(it, takes, more than little energy)
(it, process, entries)
(it, process, individual entries in list)
(you, are, general manager)
(you, are, manager)
(you, are manager of, Yankees)
(you, are general manager of, Yankees)
(you, are rounding out, your 2016 roster)
(your scouts, find, pitcher)
(You, tell, your scouts)
(last year, from, World Champion Kansas City Royals)
(your scouts, find, shortstop)
(your scouts, find, pitcher from year 's World Champion Kansas City Royals)
(your scouts, find, defensive catcher)
(your scouts, find, catcher)
(your scouts, find, quick-footed shortstop)
(your scouts, find, pitcher from last year 's World Champion Kansas City Royals)
(It, would, would natural)
(your scouts, confine, their search for pitcher)
(It, look broadly for, catchers)
(your scouts, confine, their search)
(last year, to, championship team)
(It, look more broadly for, catchers)
(It, look for, catchers)
(It, is, fundamental)
(their place, is in, overall statutory scheme)
(26, at Barnhart is, 540 U. S.)
(it, carry, clause)
(it, carry, final clause)
(reader, carry, modifying clause)
(varied syntax, is in, list)
(reader, carry, clause)
(it, carry, modifying clause)
(reader, carry, final modifying clause)
(it, carry, final modifying clause)
(reader, carry, final clause)
(§ 2252, has, context)
(second third, imposes, 10-year minimum)
(third, imposes, 20-year maximum)
(third, imposes, maximum)
(second third, imposes, minimum)
(third, imposes, minimum)
(third, imposes, 10-year minimum)
(second third, imposes, 20-year maximum)
(second third, imposes, maximum)
(third, imposes, aggravated sexual abuse)
(third, imposes, abusive sexual conduct)
(third, imposes, abusive conduct)
(third, imposes, abuse)
(third, imposes, aggravated abuse)
(third, imposes, sexual abuse)
(third, imposes, conduct)
(third, imposes, sexual conduct)
(recidivist enhancement, are crimes under, chapter 109A)
(recidivist enhancement, are, crimes)
(enhancement, are crimes under, chapter 109A)
(enhancement, are, crimes)
(it, places, federal sexual-abuse crimes)
(it, places, sexual-abuse crimes)
(first section, is titled, sexual abuse)
(first section, is in, Chapter 109A)
(first section, is titled, Aggravated sexual abuse)
(section, is titled, Aggravated sexual abuse)
(first section, is titled, Aggravated abuse)
(section, is, titled)
(section, is titled, abuse)
(first section, is titled, abuse)
(section, is titled, sexual abuse)
(section, is titled, Aggravated abuse)
(first section, is, titled)
(second, is titled, abuse)
(second, is, titled)
(second, is titled, Sexual abuse)
(third, is titled, abuse)
(third, abuse of, minor)
(third, Sexual abuse of, minor)
(third, is titled, abuse of minor)
(third, is titled, Sexual abuse of minor)
(third, is titled, Sexual abuse)
(third, is, titled)
(sections, Applying, rule)
(sections, mirror, order)
(sections, Applying, rule of antecedent)
(sections, mirror precisely, order)
(sections, Applying, rule of last antecedent)
(similarity, appears, more)
(similarity, appears, more than coincidence)
(offenders, is with, prior federal sexual-abuse convictions)
(Congress, limit, each state)
(offenders, is with, nearly identical state priors)
(Congress, limit, each of state)
(Congress had intended, predicates, conduct)
(next door, is in, Manhattan municipal building)
(minor, modify, three state sexual-abuse)
(Lockhart, argues to, contrary)
(ward, should, should interpreted)
(so-called series-qualifier principle, supports, his reading)
(series-qualifier principle, supports, his reading)
(so-called principle, supports, his reading)
(principle, supports, his reading)
(modifier, apply to, items in series)
(evidence, rebut, last antecedent inference)
(evidence, rebut, last inference)
(evidence, rebut, inference)
(evidence, rebut, antecedent inference)
(instance, is in, Porto Rico)
(404 U. S. 336, declined In, United States)
(Court, apply, rule)
(U. S. 336, declined In, United States)
(___, is in, Paroline)
(Court, did describe in, none of cases)
(Court, did describe in, none)
(context, sometimes weighs against, application)
(context, weighs against, application)
(context, sometimes weighs against, application of rule of antecedent)
(context, sometimes weighs against, application of rule of last antecedent)
(context, weighs against, application of rule of antecedent)
(context, sometimes weighs against, application of rule)
(context, weighs against, application of rule of last antecedent)
(context, weighs against, application of rule)
(26, at Barnhart is, 540 U. S.)
(single list, set of, items)
(set, form, single integrated list)
(acceptance, application of, rule)
(application, would require, acceptance of unlikely premise)
(set, form, integrated list)
(set, form, single list)
(integrated list, set of, items)
(last words, is in, list)
(set, form, list)
(application, would require, acceptance)
(single integrated list, set of, items)
(list, set of, items)
(two state, predicates, sexual abuse)
(final two state, predicates, sexual abuse)
(two state, predicates, abuse)
(final two state, predicates, abuse)
(state, predicates, abuse)
(state, predicates, sexual abuse)
(final state, predicates, sexual abuse)
(final state, predicates, abuse)
(items, is in, list)
(items, is in, list of state)
(Lockhart, has, effort demonstrate)
(they, are, hopelessly redundant)
(they, are, redundant)
(it, is, clear)
(it, intended, term)
(term, have, meaning)
(term, have, particular nonsuperfluous meaning)
(Congress, used, two terms)
(term, have, particular meaning)
(term, have, nonsuperfluous meaning)
(It, tolerate, degree of surplusage)
(It, tolerate, degree)
(It, is, appropriate)
(Chapter 109A, in, federal template)
(It, follows, categories)
(It, categories in, Chapter 109A 's template)
(categories, is in, Chapter 109A 's federal template)
(It, follows, categories in Chapter 109A 's federal template)
(It, follows, categories in Chapter 109A 's template)
(It, categories in, Chapter 109A 's federal template)
(dissent, offers, suggestion)
(dissent, offers, suggestion rooted in its impressions how people speak)
(dissent, offers, suggestion rooted in its impressions how people ordinarily speak)
(dissent, offers, suggestion rooted in its impressions people ordinarily speak)
(dissent, offers, suggestion rooted)
(dissent, offers, suggestion rooted in its impressions people speak)
(you, asked for, fruit)
(you, obviously asked for, fruit)
(you, obviously asked only for, Mexican fruit)
(she, using, customary speech)
(you, brought back lemons from, California)
(you, obviously asked for, Mexican fruit)
(you, asked only for, Mexican fruit)
(you, obviously asked only for, fruit)
(you, brought lemons from, California)
(you, brought, lemons)
(you, asked only for, fruit)
(she, using, speech)
(you, brought back, lemons)
(you, would, would forgiven)
(you, disagreeing on, counts)
(you, asked for, Mexican fruit)
(we, Faced with, b)
(we, do interpret, provision)
(we, viewing, it)
(we, do look, see)
(we, do look around, see)
(we, see, might provenance to its peculiarity)
(we, see, might provenance)
(we, are unpersuaded by, our dissenting colleague 's invocation of basic examples)
(dissenting colleague, by, invocation of basic examples from day-to-day life)
(we, are, With Chapter 109A so readily unpersuaded by our dissenting colleague 's invocation of basic examples)
(we, are, With Chapter 109A readily unpersuaded by our dissenting colleague 's invocation of basic examples from life)
(we, are, With Chapter 109A readily unpersuaded by our dissenting colleague 's invocation of basic examples)
(we, are, With Chapter 109A readily at hand unpersuaded by our colleague 's invocation of basic examples)
(we, are, With Chapter 109A unpersuaded by our dissenting colleague 's invocation of examples)
(we, are unpersuaded by, our colleague 's invocation)
(we, are unpersuaded by, our dissenting colleague 's invocation of basic examples from life)
(we, are, With Chapter 109A so readily at hand unpersuaded by our dissenting colleague 's invocation of basic examples from day-to-day life)
(we, are, With Chapter 109A so readily at hand unpersuaded by our dissenting colleague 's invocation)
(we, are unpersuaded by, our colleague 's invocation of examples from day-to-day life)
(we, are, With Chapter 109A readily at hand unpersuaded by our dissenting colleague 's invocation of basic examples from day-to-day life)
(we, are, With Chapter 109A readily unpersuaded by our colleague 's invocation of examples from day-to-day life)
(we, are, With Chapter 109A so readily unpersuaded by our colleague 's invocation of examples from day-to-day life)
(we, are, With Chapter 109A unpersuaded by our dissenting colleague 's invocation)
(we, are, With Chapter 109A so readily at hand unpersuaded by our colleague 's invocation of examples from life)
(we, are, With Chapter 109A so readily at hand unpersuaded by our dissenting colleague 's invocation of examples)
(we, are, With Chapter 109A so readily at hand unpersuaded by our colleague 's invocation)
(we, are, With Chapter 109A readily at hand unpersuaded by our dissenting colleague 's invocation of basic examples)
(we, are, With Chapter 109A readily at hand unpersuaded by our dissenting colleague 's invocation of basic examples from life)
(we, are, With Chapter 109A so readily at hand unpersuaded by our colleague 's invocation of examples)
(we, are, With Chapter 109A so readily at hand unpersuaded by our dissenting colleague 's invocation of basic examples from life)
(we, are, With Chapter 109A readily unpersuaded by our dissenting colleague 's invocation of basic examples from day-to-day life)
(we, are unpersuaded by, our dissenting colleague 's invocation of examples from day-to-day life)
(we, are, With Chapter 109A readily at hand unpersuaded by our colleague 's invocation of basic examples from life)
(we, are, With Chapter 109A unpersuaded by our dissenting colleague 's invocation of examples from day-to-day life)
(we, are, With Chapter 109A so readily unpersuaded by our colleague 's invocation of basic examples)
(we, are, With Chapter 109A readily at hand unpersuaded by our colleague 's invocation of examples)
(we, are unpersuaded by, our dissenting colleague 's invocation of basic examples from day-to-day life)
(we, are unpersuaded With, Chapter 109A so readily at hand)
(we, are, With Chapter 109A so readily at hand unpersuaded by our dissenting colleague 's invocation of basic examples)
(we, are, With Chapter 109A unpersuaded by our colleague 's invocation of examples)
(we, are, With Chapter 109A readily at hand unpersuaded by our colleague 's invocation)
(we, are, With Chapter 109A so readily unpersuaded by our colleague 's invocation of basic examples from life)
(we, are, With Chapter 109A readily at hand unpersuaded by our dissenting colleague 's invocation of examples from day-to-day life)
(we, are unpersuaded by, our colleague 's invocation of examples from life)
(we, are, With Chapter 109A readily unpersuaded by our colleague 's invocation)
(we, are, unpersuaded)
(we, are, With Chapter 109A readily unpersuaded by our colleague 's invocation of examples from life)
(we, are, With Chapter 109A unpersuaded by our dissenting colleague 's invocation of basic examples from life)
(we, are, With Chapter 109A so readily at hand unpersuaded by our colleague 's invocation of basic examples from life)
(we, are unpersuaded With, Chapter 109A so readily)
(we, are, With Chapter 109A so readily at hand unpersuaded by our dissenting colleague 's invocation of examples from day-to-day life)
(we, are, With Chapter 109A readily unpersuaded by our colleague 's invocation of examples)
(we, are, With Chapter 109A so readily unpersuaded by our dissenting colleague 's invocation of examples)
(we, are, With Chapter 109A unpersuaded by our dissenting colleague 's invocation of basic examples)
(we, are, With Chapter 109A unpersuaded by our colleague 's invocation of examples from life)
(we, are, With Chapter 109A readily at hand unpersuaded by our dissenting colleague 's invocation)
(we, are, With Chapter 109A readily at hand unpersuaded by our colleague 's invocation of basic examples from day-to-day life)
(we, are, With Chapter 109A so readily unpersuaded by our colleague 's invocation of basic examples from day-to-day life)
(we, are, With Chapter 109A readily at hand unpersuaded by our colleague 's invocation of examples from day-to-day life)
(we, are unpersuaded With, Chapter 109A readily)
(we, are, With Chapter 109A unpersuaded by our dissenting colleague 's invocation of examples from life)
(we, are, With Chapter 109A readily at hand unpersuaded by our dissenting colleague 's invocation of examples)
(we, are unpersuaded With, Chapter 109A readily at hand)
(we, are unpersuaded by, our colleague 's invocation of basic examples from life)
(we, are, With Chapter 109A so readily at hand unpersuaded by our colleague 's invocation of basic examples from day-to-day life)
(we, are, With Chapter 109A so readily unpersuaded by our colleague 's invocation of examples)
(we, are unpersuaded by, our dissenting colleague 's invocation of examples)
(we, are, With Chapter 109A so readily unpersuaded by our dissenting colleague 's invocation of basic examples from day-to-day life)
(we, are, With Chapter 109A readily unpersuaded by our dissenting colleague 's invocation of examples)
(we, are, With Chapter 109A unpersuaded by our colleague 's invocation of basic examples)
(we, are, With Chapter 109A readily unpersuaded by our dissenting colleague 's invocation of examples from day-to-day life)
(we, are unpersuaded by, our dissenting colleague 's invocation of examples from life)
(we, are, With Chapter 109A readily unpersuaded by our colleague 's invocation of basic examples from life)
(we, are, With Chapter 109A so readily unpersuaded by our dissenting colleague 's invocation of examples from day-to-day life)
(we, are, With Chapter 109A so readily unpersuaded by our colleague 's invocation of examples from life)
(we, are, With Chapter 109A unpersuaded by our colleague 's invocation of basic examples from life)
(we, are unpersuaded by, our colleague 's invocation of basic examples from day-to-day life)
(we, are, With Chapter 109A readily at hand unpersuaded by our dissenting colleague 's invocation of examples from life)
(we, are, With Chapter 109A so readily at hand unpersuaded by our colleague 's invocation of examples from day-to-day life)
(we, are, With Chapter 109A readily unpersuaded by our colleague 's invocation of basic examples)
(we, are unpersuaded by, our colleague 's invocation of examples)
(we, are, With Chapter 109A so readily at hand unpersuaded by our dissenting colleague 's invocation of examples from life)
(we, are, With Chapter 109A readily unpersuaded by our dissenting colleague 's invocation)
(we, are, With Chapter 109A readily at hand unpersuaded by our colleague 's invocation of examples from life)
(we, are, With Chapter 109A so readily unpersuaded by our dissenting colleague 's invocation of examples from life)
(we, are unpersuaded by, our colleague 's invocation of basic examples)
(we, are, With Chapter 109A unpersuaded by our colleague 's invocation of basic examples from day-to-day life)
(we, are, With Chapter 109A so readily unpersuaded by our dissenting colleague 's invocation)
(we, are unpersuaded by, our dissenting colleague 's invocation)
(we, are unpersuaded With, Chapter 109A)
(we, are, With Chapter 109A so readily unpersuaded by our dissenting colleague 's invocation of basic examples from life)
(we, are, With Chapter 109A so readily at hand unpersuaded by our colleague 's invocation of basic examples)
(we, are, With Chapter 109A readily unpersuaded by our colleague 's invocation of basic examples from day-to-day life)
(we, are, With Chapter 109A unpersuaded by our colleague 's invocation)
(we, are, With Chapter 109A unpersuaded by our colleague 's invocation of examples from day-to-day life)
(we, are, With Chapter 109A unpersuaded by our dissenting colleague 's invocation of basic examples from day-to-day life)
(we, are, With Chapter 109A readily unpersuaded by our dissenting colleague 's invocation of examples from life)
(we, are, With Chapter 109A so readily unpersuaded by our colleague 's invocation)
(colloquial practice, is of, much use)
(colloquial practice, is of, use)
(dissent, of, broader point)
(practice, is of, use)
(practice, is of, much use)
(they, had started from, scratch)
(Lockhart, next takes aim at, our construction)
(Lockhart, takes, aim)
(Lockhart, avoid, disparity between state)
(Lockhart, takes aim at, our construction)
(Lockhart, next takes, aim)
(Lockhart, avoid, disparity)
(other disparities, is in, § 2252)
(offenders, is with, prior federal convictions)
(sex trafficking, involving, adults)
(§ 2252, has, neighbor provision)
(It, relies on, contextual cues particular)
(It, relies instead on, contextual cues)
(It, relies instead on, contextual cues particular)
(It, relies on, cues particular to sexual-abuse)
(It, relies on, cues)
(It, relies on, cues particular)
(It, relies instead on, cues particular to sexual-abuse)
(It, relies on, contextual cues particular to sexual-abuse)
(It, relies on, contextual cues)
(It, relies instead on, cues particular)
(It, relies instead on, cues)
(It, relies instead on, contextual cues particular to sexual-abuse)
(language, similar to, that)
(Congress, used, language similar to that in Chapter 109A)
(Congress, used, language)
(Congress, used language, enumerate)
(language, similar to, that in Chapter 109A)
(Congress, used, enumerate)
(Congress, used, language similar)
(Congress, used, language similar to that)
(conduct, involving, children)
(conduct, involving, adults)
(Lockhart, see, post)
(provision, has, legislative history)
(Lockhart, joined by, dissent)
(Lockhart, see post at, 9-11)
(They, rely on, two sources)
