(March 30 2015, Decided at_time, June 18 2015)
(Court 's precedent, imposition on, intellectually disabled persons)
(Court 's precedent, permitted imposition At, time)
(Court 's precedent, permitted At, time)
(Court 's precedent, permitted, imposition of death penalty on disabled persons)
(Court 's precedent, permitted At, time of Brumfield 's trial)
(Court 's precedent, permitted, imposition on disabled persons)
(Court 's precedent, permitted, imposition of death penalty on intellectually disabled persons)
(Court 's precedent, permitted, imposition on intellectually disabled persons)
(State, on, power take)
(Court, held in, Atkins)
(Court, subsequently held in, Atkins)
(alterations, is in, original)
(Atkins ' mandate, is in, State 2001-1650)
(significant impairment, diagnosis of, retardation)
(diagnosis, has, manifestations of disorder in stage)
(diagnosis, has, manifestations of neuro-psychological disorder in stage)
(significant impairment, manifestations of, neuro-psychological disorder in developmental stage)
(diagnosis, has, three distinct components)
(impairment, diagnosis of, retardation)
(impairment, diagnosis of, mental retardation)
(significant impairment, manifestations of, neuro-psychological disorder in stage)
(diagnosis, has, three components)
(impairment, manifestations of, disorder)
(impairment, is in, several areas of adaptive skills)
(neuro-psychological disorder, is in, developmental stage)
(significant impairment, diagnosis of, mental retardation)
(impairment, manifestations of, neuro-psychological disorder in stage)
(diagnosis, has, manifestations of disorder in developmental stage)
(significant impairment, manifestations of, neuro-psychological disorder)
(impairment, manifestations of, disorder in stage)
(diagnosis, has, significant impairment)
(diagnosis, has, manifestations of disorder)
(diagnosis, has, manifestations)
(impairment, manifestations of, neuro-psychological disorder in developmental stage)
(significant impairment, manifestations of, disorder in stage)
(diagnosis, has, impairment)
(significant impairment, manifestations of, disorder in developmental stage)
(impairment, manifestations of, neuro-psychological disorder)
(significant impairment, manifestations of, disorder)
(diagnosis, has, manifestations of neuro-psychological disorder)
(impairment, manifestations of, disorder in developmental stage)
(diagnosis, has, manifestations of neuro-psychological disorder in developmental stage)
(enacted statute, governing, Atkins)
(enacted statute, adopting, three Williams criteria)
(statute, adopting, three Williams criteria)
(statute, governing, Atkins)
(Atkins evidentiary hearing, is, required)
(Atkins hearing, believe, disabled)
(Atkins hearing, believe, him)
(Atkins evidentiary hearing, believe, intellectually disabled)
(sufficient evidence, raise, ground)
(competency inquiry, is, when necessary)
(sufficient evidence, raise, reasonable ground)
(competency inquiry, is, necessary)
(Atkins hearing, is required, believe)
(pretrial competency inquiry, is, when necessary)
(Atkins evidentiary hearing, is required, believe)
(Atkins hearing, believe, intellectually disabled)
(evidence, raise, reasonable ground)
(Atkins hearing, is, required)
(Atkins evidentiary hearing, believe, him)
(evidence, raise, ground)
(pretrial competency inquiry, is, necessary)
(Atkins evidentiary hearing, believe, disabled)
(Brumfield, amended, his state postconviction petition)
(Brumfield, amended, his pending state postconviction petition)
(Brumfield, raise, Atkins claim)
(He, sought, hearing on issue)
(He, sought, hearing)
(He, sought, evidentiary hearing on issue)
(He, sought, evidentiary hearing)
(Brumfield, pointed to, mitigation evidence introduced at sentencing phase of his trial)
(Brumfield, pointed to, mitigation evidence)
(Brumfield, pointed to, mitigation evidence introduced)
(Brumfield, pointed to, mitigation evidence introduced at sentencing phase)
(Brumfield, pointed In, support)
(He, focused on, testimony)
(He, focused in, particular)
(He, focused on, testimony of three witnesses)
(records, conducting, interviews with family members)
(available records, conducting, interviews with family members)
(interviews, is with, family members)
(records, conducting, interviews)
(conducting, interviews with, family members)
(available records, conducting, interviews)
(psychologist, prepared, report)
(evidence, showed among, things)
(evidence, showed among, other things)
(evidence, been prescribed, numerous medications)
(medications, treated at, hospitals)
(he, registered, IQ score)
(numerous medications, been, identified)
(numerous medications, treated at, hospitals)
(medications, been placed in, education classes)
(medications, been, placed)
(medications, treated as, child)
(medications, been, identified)
(he, registered, IQ score of 75)
(numerous medications, been placed in, special education classes)
(numerous medications, been, placed)
(medications, treated at, psychiatric hospitals)
(numerous medications, treated at, psychiatric hospitals)
(medications, been placed in, special education classes)
(numerous medications, treated as, child)
(evidence, been prescribed, medications)
(numerous medications, been placed in, education classes)
(Brumfield, requested, resources necessary to proper presentation of his case)
(Brumfield, further requested, resources necessary to proper presentation of case)
(Brumfield, requested, resources necessary to proper presentation of case)
(Brumfield, further requested, resources necessary to proper presentation of his case)
(state trial court, holding, hearing)
(state trial court, dismissed, Brumfield 's petition)
(Brumfield, has, petition)
(hearing, granting, funds)
(evidentiary hearing, granting, funds)
(state trial court, holding, evidentiary hearing)
(court, stated to, to request)
(court, stated to, to request for Atkins hearing)
(I, portions on, issue)
(I, portions of, transcript)
(Dr. Bolter, including, testimony)
(portions, evidence including, Dr. Bolter 's testimony)
(testimony, was by, all)
(Dr. Jordan, has, report)
(Dr. Guinn, has, testimony)
(portions, evidence based on, those)
(portions, evidence based on, those since issue)
(testimony, was by, all of those)
(Dr. Jordan, in, report)
(testimony, was by, all of those in Dr. Jordan 's report)
(he, had, IQ)
(Dr. Jordan, actually came up with, IQ)
(Dr. Jordan, actually came up with, little bit higher IQ)
(Dr. Jordan, came up with, higher IQ)
(Dr. Jordan, actually came up with, higher IQ)
(Dr. Jordan, actually came up with, bit higher IQ)
(Dr. Jordan, came up with, bit higher IQ)
(Dr. Jordan, came up with, little bit higher IQ)
(Dr. Jordan, came up with, IQ)
(someone, is with, conscience)
(he, have, anti-social personality)
(doctor, explained, it)
(he, have, sociopath)
(he, have, personality)
(Louisiana Supreme Court, review, trial court 's ruling)
(Louisiana Supreme Court, denied, his application)
(Louisiana Supreme Court, denied, his application for writ)
(Louisiana Supreme Court, summarily denied, his application)
(Louisiana Supreme Court, review, Brumfield)
(trial court, has, ruling)
(Louisiana Supreme Court, denied, his application for supervisory writ)
(trial court, 's ruling is, Brumfield)
(Louisiana Supreme Court, summarily denied, his application for supervisory writ)
(Louisiana Supreme Court, summarily denied, his application for writ)
(Brumfield, filed petition at_time, 2d 580)
(Brumfield, again pressing, his Atkins claim)
(Brumfield, filed petition in, federal court)
(Brumfield, pressing, his Atkins claim)
(Brumfield, filed petition in, court)
(Brumfield, filed, petition for habeas corpus)
(Brumfield, filed, petition)
(application, was based on, determination of facts in light of evidence)
(application, was based on, determination in light of evidence)
(unreasonable application, was based on, unreasonable determination of facts in light)
(application, was based on, unreasonable determination of facts in light)
(Brumfield, could secure, relief)
(unreasonable application, was, based)
(Brumfield, could secure relief, contrary)
(application, was based on, unreasonable determination)
(application, was based on, determination)
(state court 's rejection, involved, application)
(state court 's rejection, involved, application of clearly established Federal law)
(Brumfield, could secure relief Pursuant to, AEDPA)
(unreasonable application, was based on, unreasonable determination in light of evidence)
(state court 's rejection, involved, application of Federal law)
(unreasonable application, was based on, unreasonable determination)
(unreasonable application, was based on, unreasonable determination of facts in light of evidence)
(application, was based on, determination in light)
(unreasonable application, was based on, determination in light of evidence presented)
(state court 's rejection, involved, unreasonable application of Federal law)
(unreasonable application, was based on, determination of facts in light of evidence presented)
(application, was based on, unreasonable determination of facts)
(unreasonable application, was based on, determination of facts)
(unreasonable application, was based on, determination in light of evidence)
(application, was based on, unreasonable determination of facts in light of evidence)
(state court 's rejection, involved, application of established Federal law)
(state court 's rejection, involved, unreasonable application of clearly established Federal law)
(application, was based on, determination in light of evidence presented)
(Brumfield, could secure relief Pursuant to, Antiterrorism of 1996)
(application, was based on, determination in light of evidence presented in State court proceeding)
(1996, of Antiterrorism is, AEDPA)
(application, was based on, determination of facts in light of evidence presented)
(application, was based on, determination of facts)
(application, was based on, unreasonable determination in light)
(state court 's rejection, involved, unreasonable application of established Federal law)
(state court 's rejection, was, contrary)
(unreasonable application, was based on, determination in light)
(application, was, based)
(unreasonable application, was based on, unreasonable determination in light)
(application, was based on, unreasonable determination of facts in light of evidence presented in State court proceeding)
(application, was based on, unreasonable determination in light of evidence)
(unreasonable application, was based on, determination of facts in light of evidence presented in State court proceeding)
(Brumfield, could secure relief Pursuant to, Antiterrorism)
(unreasonable determination, is in, light of evidence presented)
(application, was based on, determination of facts in light)
(application, was based on, determination of facts in light of evidence presented in State court proceeding)
(unreasonable application, was based on, unreasonable determination of facts)
(state court 's rejection, was, only contrary)
(application, was based on, unreasonable determination in light of evidence presented)
(unreasonable application, was based on, determination of facts in light of evidence)
(unreasonable application, was based on, unreasonable determination of facts in light of evidence presented)
(unreasonable application, was based on, determination)
(unreasonable application, was based on, determination of facts in light)
(state court 's rejection, involved, unreasonable application)
(state court, has, rejection of claim)
(application, was based on, unreasonable determination in light of evidence presented in State court proceeding)
(Brumfield, could secure relief, only contrary)
(unreasonable application, was based on, unreasonable determination in light of evidence presented)
(unreasonable application, was based on, unreasonable determination of facts in light of evidence presented in State court proceeding)
(application, was based on, unreasonable determination of facts in light of evidence presented)
(unreasonable application, was based on, determination in light of evidence presented in State court proceeding)
(unreasonable application, was based on, unreasonable determination in light of evidence presented in State court proceeding)
(his Atkins claim, unreasonable application of, process law)
(his Atkins claim, application of, then-existing due process law)
(his Atkins claim, represented, unreasonable application of process law)
(his Atkins claim, represented, unreasonable application of then-existing due process law)
(his Atkins claim, represented, unreasonable application)
(his Atkins claim, unreasonable application of, then-existing process law)
(his Atkins claim, unreasonable application of, due process law)
(his Atkins claim, application of, then-existing process law)
(his Atkins claim, represented, application of due process law)
(his Atkins claim, application of, process law)
(his Atkins claim, represented, application of process law)
(his Atkins claim, represented, application of then-existing due process law)
(him, funding, develop)
(his Atkins claim, represented, application)
(his Atkins claim, application of, due process law)
(his Atkins claim, represented, unreasonable application of then-existing process law)
(his Atkins claim, represented, unreasonable application of due process law)
(his Atkins claim, represented, application of then-existing process law)
(his Atkins claim, unreasonable application of, then-existing due process law)
(unreasonable determination, is in, light of evidence presented)
(state court, has, decision denying)
(District Court, further determined, intellectually disabled)
(District Court, further determined, Brumfield)
(District Court, determined, disabled)
(District Court, determined, Brumfield)
(it, received during, evidentiary hearing)
(it, received during, hearing)
(District Court, further determined, disabled)
(District Court, determined, intellectually disabled)
(evidence, included, results)
(Brumfield, had, IQ score)
(deficits, functioning exhibited, themselves)
(Brumfield, regarding, adaptive behavior)
(Brumfield, reached, adulthood)
(he, is, retarded)
(he, is mentally retarded, defined by Louisiana law)
(he, is mentally retarded, defined)
(he, defined by, Louisiana law)
(he, is retarded, defined)
(he, is retarded, defined by Louisiana law)
(he, is, mentally retarded)
(Brumfield, has, federal habeas petition)
(Brumfield 's habeas petition, satisfy, either)
(Brumfield 's federal habeas petition, satisfy, either)
(state court, applied, established federal law)
(state court, applied, established law)
(Fifth Circuit, rejected, notion)
(Fifth Circuit, rejected notion With respect to, District Court 's conclusion)
(District Court, With respect to, conclusion)
(state court, unreasonably applied, clearly established federal law)
(state court, applied, federal law)
(state court, applied, clearly established law)
(state court, applied, clearly established federal law)
(state court, unreasonably applied, law)
(state court, grant, Atkins claimant)
(state court, unreasonably applied, established federal law)
(state court, unreasonably applied, clearly established law)
(state court, unreasonably applied, federal law)
(state court, applied, law)
(state court, unreasonably applied, established law)
(state court, has, decision)
(Fifth Circuit, declared, District Court 's holding)
(state court 's decision, rested on, unreasonable determination of facts)
(state court 's decision, rested on, determination)
(state court 's decision, rested on, determination of facts)
(state court 's decision, rested on, unreasonable determination)
(Brumfield, has, petition)
(Fifth Circuit, 's 2254 is, d)
(We, now vacate, its decision)
(We, now vacate, its decision for proceedings)
(We, now vacate, its decision for further proceedings)
(We, vacate, remand)
(We, vacate, its decision for further proceedings)
(We, vacate, its decision)
(We, now vacate, remand)
(We, vacate, its decision for proceedings)
(Brumfield, of, request for Atkins hearing)
(state court 's rejection, was premised on, unreasonable determination of facts)
(state court 's rejection, was premised on, determination of facts within meaning)
(state court 's rejection, was premised on, determination)
(state court 's rejection, was premised on, unreasonable determination)
(state court 's rejection, was premised on, determination of facts)
(state court 's rejection, was premised on, unreasonable determination of facts within meaning)
(state court 's rejection, was, premised)
(state court, has, rejection of request for Atkins hearing)
(Brumfield, of, petition for review)
(we, evaluate, state trial court 's decision refusing)
(state trial court, has, reasoned decision refusing)
(we, look like, courts below)
(we, look like, courts)
(we, look through, Louisiana Supreme Court 's summary denial)
(we, evaluate, state trial court 's decision)
(we, evaluate, state trial court 's reasoned decision refusing)
(Louisiana Supreme Court, through, summary denial of petition for review)
(we, evaluate, state trial court 's reasoned decision)
(rule, is consistent with, our decision in Atkins)
(rule, is, consistent)
(our decision, is in, Atkins)
(rule, is consistent with, our decision)
(Brumfield, has, IQ score)
(trial court 's decision, was, premised)
(Brumfield 's IQ score, was inconsistent with, diagnosis of disability)
(we, train, our attention)
(Brumfield 's IQ score, was inconsistent with, diagnosis of intellectual disability)
(trial court, has, decision)
(we, Instead train, our attention)
(Brumfield 's IQ score, was, inconsistent)
(Brumfield 's IQ score, was inconsistent with, diagnosis)
(we, accord, state trial court)
(r minds, reviewing, record)
(r minds, might disagree about, finding in question)
(r minds, might disagree about, finding)
(r easonable minds, reviewing, record)
(r easonable minds, might disagree about, finding)
(finding, is in, question)
(r easonable minds, might disagree about, finding in question)
(ven, is in, context of federal habeas)
(Brumfield, of, request for Atkins hearing)
(state trial court, has, rejection of request for Atkins hearing)
(state trial court 's rejection, rested on, Dr. Bolter 's testimony)
(state trial court 's rejection, rested first on, Dr. Bolter 's testimony)
(Dr. Bolter, on, testimony)
(Brumfield, scored, 75)
(evidence, was, in fact entirely consistent with intellectual disability)
(evidence, was consistent with, disability)
(evidence, was entirely consistent in, fact)
(evidence, was entirely consistent with, intellectual disability)
(evidence, was, in fact entirely consistent with disability)
(evidence, was consistent in, fact)
(evidence, was, consistent)
(evidence, was, in fact consistent with intellectual disability)
(evidence, was, in fact consistent with disability)
(evidence, was entirely consistent with, disability)
(evidence, was, entirely consistent)
(evidence, was consistent with, intellectual disability)
(one, qualify in, Louisiana)
(one, qualify as, significantly subaverage in general functioning)
(one, qualify as, significantly subaverage in intellectual functioning)
(one, qualify as, significantly subaverage in general intellectual functioning)
(one, qualify as, subaverage in functioning)
(one, qualify as, subaverage in intellectual functioning)
(one, qualify as, subaverage in general intellectual functioning)
(one, qualify as, significantly subaverage in functioning)
(one, qualify as, subaverage in general functioning)
(one, qualify as, subaverage)
(one, qualify as, significantly subaverage)
(Louisiana Supreme Court, cautioned in, Williams)
(court, explained In, accord with statistical methods)
(court, explained In, accord with sound statistical methods)
(he assessment, be, tempered)
(court, explained In, accord with sound methods)
(possible errors, is in, measurement)
(court, explained In, accord with methods)
(he assessment, be tempered with, attention)
(he assessment, be tempered to, possible errors)
(he assessment, be, tempered with attention to possible errors)
(he assessment, be tempered to, possible errors in measurement)
(he assessment, be, tempered with attention to possible errors in measurement)
(court, explained In, accord)
(accord, is with, sound statistical methods)
(lthough Louisiana, has, definition of significantly subaverage intellectual functioning)
(Brumfield, has, reported IQ test result of 75)
(Brumfield 's IQ test result, was in, squarely range of potential intellectual disability)
(Brumfield 's IQ test result, was in, squarely range of potential disability)
(Brumfield 's reported IQ test result, was in, squarely range of potential intellectual disability)
(Brumfield 's IQ test result, Accounting for, margin)
(Brumfield 's reported IQ test result, was in, squarely range)
(Brumfield 's reported IQ test result, was in, range)
(Brumfield 's reported IQ test result, was in, range of potential intellectual disability)
(Brumfield 's IQ test result, was in, range of potential intellectual disability)
(Brumfield 's IQ test result, was in, squarely range)
(Brumfield 's IQ test result, was in, range of potential disability)
(Brumfield 's reported IQ test result, was in, range of potential disability)
(Brumfield 's reported IQ test result, Accounting for, margin)
(Brumfield 's reported IQ test result, was in, squarely range of potential disability)
(Brumfield 's reported IQ test result, Accounting for, margin of error)
(Brumfield 's IQ test result, was in, range)
(Brumfield 's IQ test result, Accounting for, margin of error)
(Williams, defining, subaverage intelligence)
(Williams, defining, intelligence)
(IQ, is typically considered, IQ score for intellectual function prong of mental retardation definition)
(IQ, is considered, IQ score for intellectual function prong of retardation definition)
(IQ, is typically considered, cutoff IQ score for function prong)
(IQ, is considered, cutoff IQ score for function prong of retardation definition)
(IQ, is considered, cutoff IQ score for function prong of mental retardation definition)
(IQ, is considered, IQ score for function prong)
(IQ, is typically considered, cutoff IQ score for function prong of retardation definition)
(IQ, is typically considered, IQ score for function prong)
(IQ, is typically considered, cutoff IQ score)
(IQ, is considered, cutoff IQ score for intellectual function prong of retardation definition)
(IQ, is typically considered, cutoff IQ score for intellectual function prong of retardation definition)
(IQ, is typically considered, IQ score for intellectual function prong of retardation definition)
(IQ, is considered, cutoff IQ score for intellectual function prong of mental retardation definition)
(IQ, is, typically considered)
(IQ, is typically considered, cutoff IQ score for intellectual function prong of mental retardation definition)
(IQ, is considered, IQ score for intellectual function prong)
(IQ, is, considered)
(IQ, is considered, IQ score)
(IQ, is considered, cutoff IQ score for function prong)
(IQ, is considered, IQ score for function prong of mental retardation definition)
(IQ, is typically considered, IQ score for function prong of mental retardation definition)
(IQ, is considered, IQ score for intellectual function prong of mental retardation definition)
(IQ, is typically considered, IQ score for function prong of retardation definition)
(IQ, is considered, cutoff IQ score)
(IQ, is typically considered, cutoff IQ score for intellectual function prong)
(IQ, is typically considered, cutoff IQ score for function prong of mental retardation definition)
(IQ, is typically considered, IQ score)
(IQ, is typically considered, IQ score for intellectual function prong)
(IQ, is considered, cutoff IQ score for intellectual function prong)
(IQ, is considered, IQ score for function prong of retardation definition)
(Louisiana Supreme Court, anticipated, our holding)
(capital defendant, have IQ above, 70)
(Louisiana Supreme Court, anticipated, our holding in Hall)
(capital defendant, have, IQ)
(our, holding, 572 U. S. ___)
(capital defendant, is, deemed)
(it, is unconstitutional, simply deemed)
(capital defendant, is, simply deemed)
(it, is unconstitutional, deemed)
(Louisiana Supreme Court, Indeed anticipated, our holding in Hall)
(Louisiana Supreme Court, adopting, definitions)
(Hall, in holding is, 572 U. S. ___)
(Louisiana Supreme Court, Indeed anticipated, our holding)
(it, foreclose, further exploration of intellectual disability)
(it, is, unconstitutional)
(our holding, is in, Hall)
(individual, has, IQ score)
(subaverage intelligence, therefore reflected, determination)
(he, therefore reflected, determination of facts)
(subaverage intelligence, reflected, determination of facts)
(he, therefore reflected, determination)
(he, therefore reflected, unreasonable determination)
(Brumfield, has, reported IQ score of 75)
(subaverage intelligence, reflected, unreasonable determination)
(subaverage intelligence, reflected, determination)
(he, reflected, determination)
(he, reflected, determination of facts)
(he, reflected, unreasonable determination of facts)
(he, reflected, unreasonable determination)
(subaverage intelligence, reflected, unreasonable determination of facts)
(subaverage intelligence, therefore reflected, determination of facts)
(he, therefore reflected, unreasonable determination of facts)
(subaverage intelligence, therefore reflected, unreasonable determination)
(subaverage intelligence, therefore reflected, unreasonable determination of facts)
(Dr. Jordan, rated just little higher, his intelligence)
(Dr. Jordan, rated, his intelligence)
(existence, was, At trial mentioned during cross-examination)
(existence, was mentioned during, only cross-examination)
(existence, was mentioned At, trial)
(Dr. Jordan, rated higher, his intelligence)
(existence, was mentioned during, cross-examination)
(existence, was, At trial mentioned only during cross-examination)
(Dr. Jordan, rated just higher, his intelligence)
(existence, was, mentioned)
(Dr. Jordan, rated little higher, his intelligence)
(I, standardized measure of, functioning)
(Dr. Jordan, only did, test)
(Dr. Jordan, also did, screening test)
(Dr. Jordan, did, test)
(I, standardized measure of, intellectual functioning)
(I, gave, measure of functioning)
(I, gave, measure of intellectual functioning)
(I, measure of, functioning)
(Dr. Jordan, only did, screening test)
(I, gave, standardized measure of intellectual functioning)
(Dr. Jordan, also did, test)
(I, measure of, intellectual functioning)
(Dr. Jordan, did, screening test)
(Dr. Jordan, also only did, test)
(I, gave, standardized measure)
(Dr. Jordan, also only did, screening test)
(I, gave, measure)
(I, gave, standardized measure of functioning)
(Dr. Jordan, has, written report)
(Brumfield, has, request for Atkins evidentiary hearing)
(state court, has, refusal grant)
(determination, was, also unreasonable)
(determination, was, unreasonable)
(adaptive impairment prong, requires, evaluation)
(individual, of, ability function dimensions)
(impairment prong, requires, evaluation of individual 's ability function)
(impairment prong, requires, evaluation)
(adaptive impairment prong, requires, evaluation of individual 's ability function)
