(UNITED STATES, v. OCASIO is, 2016)
(crime, be committed by, member)
(underlying crime, be, committed)
(crime, be committed by, member of conspiracy capable)
(underlying crime, be committed by, member of conspiracy capable)
(crime, be, committed)
(crime, be committed by, member of conspiracy)
(It, is, sufficient)
(principles, resolve, case)
(basic principles, resolve, case)
(conspirator, element of, substantive offense)
(Government, establish, Hobbs Act conspiracy)
(conspirator, commit, element of substantive offense)
(Government, establish, alleged Hobbs Act conspiracy)
(Government, prove, agreement)
(Government, needed, prove)
(Government, only needed, prove)
(petitioner, obtain, property)
(They, shared, purpose)
(police officers, obtain, property)
(They, shared, common purpose)
(other police officers, obtain, property)
(petitioner, Contrary to, claims)
(decision, commit, extortion)
(it, does transform, bribe of public official)
(his argument, would create, serious problems)
(his argument, would create, practical problems)
(petitioner, exaggerates, impact of decision)
(his argument, would create, serious practical problems)
(petitioner, exaggerates, impact)
(his argument, would create, problems)
(petitioner, impact of, decision)
(little, do with, culpability)
(validity, would often depend on, property-law questions)
(validity, would depend Under, his approach)
(validity, would often depend on, difficult property-law questions)
(validity, would often depend Under, his approach)
(validity, would depend on, property-law questions)
(validity, would depend on, difficult property-law questions)
(ALITO, delivered, opinion)
(BREYER, filed, opinion)
(BREYER, filed, concurring opinion)
(THOMAS, filed, opinion)
(THOMAS, filed, dissenting opinion)
(opinion, is subject to, revision in print of United States Reports)
(opinion, is subject to, formal revision in preliminary print)
(opinion, is subject to, revision)
(opinion, is subject to, formal revision)
(opinion, is subject to, revision in print)
(opinion, is subject to, formal revision before publication)
(opinion, is subject to, formal revision in print of United States Reports)
(formal revision, is in, preliminary print of United States Reports)
(opinion, is subject to, revision before publication in preliminary print)
(opinion, is subject to, formal revision before publication in preliminary print)
(opinion, is subject to, formal revision before publication in print of United States Reports)
(opinion, is subject to, revision before publication)
(opinion, is subject to, formal revision in print)
(opinion, is, subject)
(opinion, is subject to, revision in preliminary print)
(opinion, is subject to, revision before publication in print)
(opinion, is subject to, formal revision in preliminary print of United States Reports)
(opinion, is subject to, revision before publication in preliminary print of United States Reports)
(opinion, is subject to, revision in preliminary print of United States Reports)
(opinion, is subject to, formal revision before publication in print)
(opinion, is subject to, revision before publication in print of United States Reports)
(opinion, is subject to, formal revision before publication in preliminary print of United States Reports)
(Readers, notify, Reporter)
(Readers, notify, Reporter of Decisions)
(Supreme Court, is in, order)
(Readers, are, requested)
(typographical formal errors, of States is, Washington)
(typographical formal errors, of States is, D. C. 20543)
(SAMUEL OCASIO, PETITIONER v., UNITED STATES)
(JUSTICE ALITO, delivered, opinion)
(JUSTICE ALITO, delivered, opinion of Court)
(Petitioner Samuel Ocasio, participated in, kickback scheme)
(Petitioner Samuel Ocasio, participated in, kickback scheme with owners of auto repair shop)
(Petitioner Samuel Ocasio, participated in, kickback scheme with owners of local auto repair shop)
(Petitioner Samuel Ocasio, officer in, Baltimore Police Department)
(former officer, is in, Baltimore Police Department)
(Petitioner Samuel Ocasio, participated in, kickback scheme with owners)
(kickback scheme, is with, owners of local auto repair shop)
(officers, payments from, shopowners)
(petitioner, reported to, scene of auto accident)
(officers, received, payments)
(they, persuaded, owners of cars)
(officers, received payments in, exchange for service)
(Baltimore officers, reported to, scene)
(officers, received payments in, exchange)
(they, owners of, damaged cars)
(they, persuaded, owners)
(officers, received, payments from shopowners)
(they, persuaded, owners of damaged cars)
(petitioner, reported to, scene)
(Baltimore officers, reported to, scene of auto accident)
(other Baltimore officers, reported to, scene)
(they, owners of, cars)
(their vehicles, towed to, repair shop)
(other Baltimore officers, reported to, scene of auto accident)
(Petitioner, was, convicted in violation in violation of 18 U. S. C. § 371)
(Petitioner, was convicted in, violation of 18 U. S. C. § 371)
(Petitioner, was, convicted in violation in violation)
(Petitioner, was, convicted in violation of Hobbs Act in violation of 18 U. S. C. § 371)
(Petitioner, was convicted in, violation)
(Petitioner, was convicted in, violation)
(Petitioner, obtaining, money)
(Petitioner, was, convicted in violation of Hobbs Act in violation)
(Petitioner, obtaining money from, shopowners)
(Petitioner, was, convicted)
(Petitioner, was convicted in, violation of Hobbs Act)
(Petitioner, obtaining money under, color of right)
(Petitioner, obtaining money under, color)
(Petitioner, obtaining money under, color of official right)
(He, challenges, his conspiracy conviction)
(He, now challenges, his conspiracy conviction)
(We, reject, argument)
(We, reject argument contrary to, principles of conspiracy law)
(it, is contrary to, principles)
(it, is contrary to, age-old principles)
(We, reject argument contrary to, age-old principles)
(it, is contrary to, principles of conspiracy law)
(We, reject argument contrary to, age-old principles of conspiracy law)
(We, reject argument contrary to, principles)
(it, is contrary to, age-old principles of conspiracy law)
(Moreno, made, deal)
(Moreno, made deal with, Jhonn Corona)
(Mejia, made, deal)
(Majestic, attract, customers)
(Mejia, made deal with, Jhonn Corona)
(Moreno, made deal with, Baltimore police officer)
(Mejia, made deal with, Baltimore police officer)
(cars, were, damaged in accidents to Majestic for towing)
(cars, were damaged for, towing)
(Officer Corona, would refer In, exchange for kickbacks)
(Officer Corona, would refer In, exchange)
(cars, were, damaged)
(cars, were damaged in, accidents)
(cars, were, damaged in accidents for towing)
(cars, were damaged in, accidents to Majestic)
(Officer Corona, spread word to, members of force)
(Officer Corona, spread word to, other members of force)
(Officer Corona, spread, word)
(Officer Corona, spread word to, members)
(Officer Corona, spread word to, other members)
(Petitioner, began, participate in 2009)
(Petitioner, participate in, 2009)
(Petitioner, participate in, scheme)
(Petitioner, began, participate in scheme)
(Petitioner, began, participate in scheme in 2009)
(Petitioner, began, participate)
(he, convinced accident victims On, occasions)
(he, convinced, have)
(he, convinced On, several occasions)
(he, convinced accident victims On, several occasions from 2009 to 2011)
(he, convinced On, occasions from 2009 to 2011)
(he, convinced On, several occasions from 2009 to 2011)
(he, convinced accident victims On, occasions from 2009 to 2011)
(he, convinced On, occasions)
(he, convinced, accident victims)
(their cars, towed to, Majestic)
(he, convinced accident victims On, several occasions)
(model, allow, shopowners)
(shopowners, turn, profit on repairs)
(car 's insurance coverage, allow, shopowners)
(make, allow, shopowners)
(petitioner, Often called Moreno from, scene of accident)
(petitioner, called, ensure)
(petitioner, Often called Moreno, ensure)
(petitioner, called, Moreno)
(petitioner, Often called from, scene)
(shopowners, make of, car)
(petitioner, Often called from, scene of accident)
(petitioner, called Moreno from, scene)
(petitioner, sending, car)
(petitioner, called Moreno from, scene of accident)
(petitioner, Often called Moreno from, scene)
(extent, allow, shopowners)
(extent, make of, car)
(petitioner, sending car to, Majestic)
(car, has, insurance coverage)
(petitioner, Often called, Moreno)
(petitioner, called from, scene)
(shopowners, extent of, damage)
(petitioner, called from, scene of accident)
(petitioner, called Moreno, ensure)
(shopowners, turn, profit)
(petitioner, Often called, ensure)
(petitioner, would call, Moreno request his payment)
(petitioner, directing, vehicle)
(petitioner, would call, Moreno his payment)
(petitioner, directing vehicle to, Majestic)
(petitioner, would call, request his payment)
(Baltimore officers, were, positioned)
(Baltimore officers, were positioned to, route damaged vehicles)
(police, arrive at, scene)
(police, are among, often first)
(Baltimore officers, were positioned to, route vehicles)
(Baltimore officers, were positioned among, first)
(Baltimore officers, were well positioned among, first)
(Baltimore officers, were well positioned to, route vehicles to Majestic)
(Baltimore officers, were well positioned among, often first)
(Baltimore officers, were positioned among, often first)
(Baltimore officers, were well positioned to, route damaged vehicles to Majestic)
(police, are among, first)
(Baltimore officers, were, well positioned)
(Baltimore officers, were well positioned to, route vehicles)
(Baltimore officers, were positioned to, route vehicles to Majestic)
(Baltimore officers, were well positioned to, route damaged vehicles)
(Baltimore officers, were positioned to, route damaged vehicles to Majestic)
(police, arrive at, scene of accident)
(It, increased, Majestic 's volume)
(It, increased, Majestic 's volume of business)
(It, substantially increased, Majestic 's volume of business)
(It, substantially increased, Majestic 's volume)
(Majestic, has, volume of business)
(Moreno, were, indicted in 2011)
(Moreno, were, indicted)
(most, pleaded pursuant to, guilty plea deals)
(most, pleaded pursuant to, plea deals)
(shopowners, pleaded pursuant to, guilty plea deals)
(most, eventually pleaded pursuant to, plea deals)
(shopowners, pleaded pursuant to, plea deals)
(shopowners, eventually pleaded pursuant to, guilty plea deals)
(most, eventually pleaded pursuant to, guilty plea deals)
(shopowners, eventually pleaded pursuant to, plea deals)
(petitioner, was charged In, indictment)
(petitioner, was, charged)
(petitioner, was charged In, superseding indictment)
(we, taking, bribe)
(petitioner, was, convicted)
(payment, was made in, return)
(payment, was, made)
(payment, was made in, return for acts)
(Government, prove, offense)
(payment, was made in, return for official acts)
(Government, need, prove)
(Petitioner, were, charged)
(Petitioner, were, also charged)
(petitioner, was, charged)
(petitioner, conspired with, Moreno)
(petitioner, began Before, trial)
(petitioner, raise, variant)
(He, sought, jury instruction)
(He, sought, jury instruction stating)
(petitioner, relied In, support of instruction)
(Sixth Circuit 's decision, is in, United States)
(petitioner, relied In, support)
(petitioner, relied on, Sixth Circuit 's decision)
(Sixth Circuit, on, decision in United States)
(o, be covered by, Hobbs Act)
(o, be, covered)
(o, be covered by, conspirators)
(o, be covered by, alleged conspirators)
(petitioner, moved at, again close of evidence)
(conspiracy count, based on, Brock)
(petitioner, moved at, close of evidence)
(petitioner, moved at, close)
(Petitioner 's codefendant, pleaded, guilty)
(Petitioner, 's codefendant is, Manrich)
(petitioner, moved at, close of prosecution 's case)
(petitioner, moved on, conspiracy count)
(petitioner, moved on, conspiracy count based)
(petitioner, moved for, judgment of acquittal)
(prosecution, of, case)
(Petitioner, has, codefendant)
(petitioner, moved for, judgment)
(petitioner, moved on, conspiracy count based on Brock)
(District Court, denied, motions)
(Fourth Circuit, already rejected, Brock 's holding in United States)
(Circuit, already rejected, Brock 's holding)
(Fourth Circuit, already rejected, Brock 's holding)
(Circuit, rejected, Brock 's holding)
(Brock 's holding, is in, United States)
(Fourth Circuit, rejected, Brock 's holding)
(Fourth Circuit, rejected, Brock 's holding in United States)
(Circuit, rejected, Brock 's holding in United States)
(Circuit, already rejected, Brock 's holding in United States)
(Brock, has, holding in United States)
(District Court, give, petitioner 's instruction)
(petitioner, has, proposed instruction)
(District Court, give, petitioner 's proposed instruction)
(court, Instead adopted, sort)
(court, adopted, sort)
(prosecution, was, required)
(jury, convict, petitioner of conspiracy charge)
(jury, convict, petitioner)
(prosecution, was required, prove)
(jury, was, told)
(acquiescence, membership in, conspiracy)
(participation, is in, unlawful plan)
(jury, found, petitioner guilty on conspiracy count)
(18 months, is in, prison)
(jury, found, petitioner guilty)
(District Court, sentenced, him)
(petitioner, guilty on, conspiracy count)
(petitioner 's primary argument, was one, he had pressed before District Court)
(he, had pressed before, District Court)
(petitioner 's primary argument, was one, he had pressed)
(petitioner 's argument, was same one, he had pressed)
(petitioner 's argument, was same one, he had pressed before District Court)
(petitioner, has, primary argument)
(petitioner 's primary argument, was same one, he had pressed before District Court)
(petitioner 's argument, was one, he had pressed)
(petitioner 's primary argument, was same one, he had pressed)
(petitioner 's argument, was one, he had pressed before District Court)
(Fourth Circuit, affirmed, his convictions)
(Circuit, rejected, petitioner 's argument)
(Circuit, affirmed, his convictions)
(petitioner, has, argument)
(Fourth Circuit, rejected, petitioner 's argument)
(We, granted, 574 U. S. ___)
(We, granted, we affirm)
(We, granted, we now affirm)
(We, granted, certiorari)
(We, granted, 2015)
(conspirator, is with, his consent)
(defendant, may, Under longstanding principles may convicted)
(defendant, may, Under principles of conspiracy law may convicted)
(defendant, may, may convicted)
(defendant, may, Under principles may convicted)
(defendant, may, Under longstanding principles of conspiracy law may convicted)
(we, analyzing, petitioner 's arguments)
(he, was, convicted)
(we, begin with, text)
(it, crime to, conspire)
(petitioner, has, arguments)
(statute, of text is, general federal conspiracy statute)
(we, begin with, text namely)
(Section 371, has, use of term)
(conspiracy, characteristic of is, under established case law joint commitment)
(characteristic, is, commitment)
(conspiracy, characteristic of is, under case law commitment)
(fundamental characteristic, is, joint commitment)
(conspiracy, fundamental characteristic of is, under case law joint commitment)
(fundamental characteristic, is commitment under, case law)
(conspiracy, characteristic of is, joint commitment)
(conspiracy, fundamental characteristic of is, joint commitment)
(fundamental characteristic, is, commitment)
(fundamental characteristic, is commitment under, established case law)
(conspiracy, fundamental characteristic of is, commitment)
(conspiracy, fundamental characteristic of is, under case law commitment)
(characteristic, is commitment under, case law)
(fundamental characteristic, is joint commitment under, case law)
(characteristic, is, joint)
(conspiracy, fundamental characteristic of is, under established case law joint commitment)
(conspiracy, characteristic of is, commitment)
(fundamental characteristic, is joint commitment under, established case law)
(characteristic, is joint commitment under, case law)
(characteristic, is commitment under, established case law)
(conspiracy, characteristic of is, under established case law commitment)
(characteristic, is joint commitment under, established case law)
(characteristic, is, joint commitment)
(conspiracy, characteristic of is, under case law joint commitment)
(conspiracy, fundamental characteristic of is, under established case law commitment)
(2 J. Bishop, Commentaries on, Criminal Law § 175)
(Conspiracy, accomplish, purpose)
(Conspiracy, accomplish, unlawful purpose)
(Conspiracy, is in, modern law)
(conspirators, must pursue, objective)
(conspirators, must pursue, same objective)
(conspirators, must pursue, same criminal objective)
(conspirators, must pursue, criminal objective)
(63, at Salinas is, supra)
(underlying crime, be committed by, member)
(underlying crime, be committed by, member of conspiracy)
(defendant, must reach, agreement)
(defendant, must merely reach, agreement with specific intent)
(underlying crime, be, committed)
(crime, be, committed)
(crime, be committed by, member of conspiracy)
(defendant, must reach, agreement with intent)
(crime, be committed by, member)
(defendant, must merely reach, agreement with intent)
(defendant, must merely reach, agreement)
(agreement, is with, specific intent)
(defendant, must reach, agreement with specific intent)
(226, at Id. is, § 31:03)
(supporters, are guilty as, perpetrators)
(supporters, are as guilty as, perpetrators)
(conspirators, perpetrate, crime)
(supporters, are, guilty)
(supporters, are, as guilty)
(64, at Salinas is, supra)
(simple examples, illustrate, point)
(few examples, illustrate, point)
(few simple examples, illustrate, point)
(examples, illustrate, important point)
(few examples, illustrate, important point)
(examples, illustrate, point)
(simple examples, illustrate, important point)
(few simple examples, illustrate, important point)
(person, commit burglary, agreeing)
(person, commit, burglary)
(It, is, enough)
(It, is enough, conspirator agrees)
(Agreeing, be, may sufficient)
(one, at, house)
(64, at Salinas is, supra)
(person, conspiring, although)
(19-3, at Sand is, § 19.01)
(person, may, may guilty)
(19-3, at Sand is, supra)
(Court, applied, principles)
(Court, applied principles in, two cases)
(her, be transported for, purpose .1)
(it, transport, woman)
(her, be transported for, immoral purpose .1 In United States)
(woman, cause, her)
(her, be, transported across state lines for purpose .1)
(her, be, transported across state lines for purpose .1 In United States)
(her, be, transported across state lines for immoral purpose .1 In United States)
(immoral purpose .1, is In, United States)
(her, be, transported across state lines for immoral purpose .1)
(her, be transported for, purpose .1 In United States)
(her, be transported across, state lines)
(her, be, transported)
(her, be transported for, immoral purpose .1)
(District Court, dismissed, charge)
(District Court, dismissed, charge against Holte)
(Court, rejected argument In, opinion)
(Court, rejected argument In, succinct opinion by Justice Holmes)
(Court, rejected argument In, succinct opinion)
(Court, rejected argument In, opinion by Justice Holmes)
(Court, rejected, argument)
(dissent, Id. argued at, 144-145 .2)
(dissent, argued at, 144-145 .2)
(woman, cause, transported)
(it, rule out, possibility)
(woman, conspire, cause)
(Court, provided, example)
(Court, illustrate, point)
(active role, carrying out, trip .3)
(role, carrying out, trip .3)
(Court, expanded in, Gebardi States)
(Court, expanded on, points)
(woman, were, convicted)
(Gebardi Court, deciding, case)
(Court, Moreover accepted, Holte 's holding)
(Court, Moreover fully accepted, Holte 's holding)
(woman, be convicted, conspiring)
(Court, fully accepted, Holte 's holding)
(Court, accepted, Holte 's holding)
(woman, be, convicted)
(herself, be transported across, state lines)
(herself, be, transported)
(Court, held, that)
(person, be, convicted)
(Holte, make, perfectly clear)
(Holte, make, clear)
(Gebardi, make, clear)
(person, be convicted, conspiring)
(Gebardi, make, perfectly clear)
(acquiescence, is, when inherent in offense)
(person 's consent, is, inherent in underlying offense)
(acquiescence, is, when inherent)
(person 's consent, is, when inherent in underlying substantive offense)
(acquiescence, is inherent in, underlying substantive offense)
(acquiescence, is, when inherent in substantive offense)
(person 's consent, is, when inherent in underlying offense)
(person 's consent, is inherent in, offense)
(acquiescence, is, inherent)
(acquiescence, is inherent in, offense)
(acquiescence, is inherent in, substantive offense)
(person 's consent, is, when inherent in offense)
(person 's consent, is inherent in, substantive offense)
(acquiescence, is inherent in, underlying offense)
(something, be, needed)
(person 's consent, is inherent in, underlying substantive offense)
(person 's consent, is, inherent in substantive offense)
(acquiescence, is, when inherent in underlying offense)
(person 's consent, is inherent in, underlying offense)
(person 's consent, is, inherent in underlying substantive offense)
(acquiescence, is, when inherent in underlying substantive offense)
(something, be needed, prove)
(person, has, consent)
(person 's consent, is, when inherent)
(person 's consent, is, inherent in offense)
(person, was, conspirator)
(person 's consent, is, when inherent in substantive offense)
(person 's consent, is, inherent)
(principles, resolve, case)
(basic principles, resolve, case)
(underlying crime, be committed by, member)
(crime, be committed by, member)
(underlying crime, be, committed)
(crime, be, committed)
(It, is, sufficient)
(conspirator, commit, element of substantive offense .5)
(conspirator, element of, substantive offense .5)
(63-64, at Salinas is, 522 U. S.)
(Petitioner, would obtain property under, color of right)
(Petitioner, would obtain property under, color of official right)
(Petitioner, would obtain something under, color)
(Petitioner, would obtain, something)
(officers, would obtain property under, color of official right)
(Petitioner, would obtain, property)
(officers, would obtain property under, color of right)
(Petitioner, would obtain something under, color of official right)
(Petitioner, would obtain property under, color)
(officers, would obtain property under, color)
(officers, would obtain something under, color of official right)
(Petitioner, would obtain something under, color of right)
(officers, would obtain something under, color)
(officers, would obtain something under, color of right)
(officers, would obtain, something)
(officers, would obtain, property)
(officers, would obtain, money)
(petitioner, would obtain money from, another)
(officers, would obtain money from, another from Moreno)
(petitioner, would obtain, money)
(other officers, would obtain money from, another from Moreno)
(petitioner, would obtain money from, another from Moreno)
(other officers, would obtain, money)
(officers, would obtain money from, another)
(other officers, would obtain money from, another)
(other officers, commit, substantive offense)
(petitioner, commit, offense)
(petitioner, commit, substantive offense)
(Mejia, committing, substantive offense)
(other officers, commit, offense)
(officers, commit, substantive offense)
(Mejia, committing, underlying offense)
(Moreno, were, incapable)
(Mejia, were, incapable)
(Mejia, committing, offense)
(Mejia, committing, underlying substantive offense)
(officers, commit, offense)
(conspiracy, is with, officer of government)
(86, at Rabinowich is, 238 U. S.)
(120-121, at Gebardi is, supra)
(63-64, at Salinas is, supra)
(shopowners, is with, their consent)
(it, is clear For, reasons)
(it, is, clear)
(petitioner, be, convicted)
(petitioner, be convicted, conspiring)
(His argument, is, follows)
(His basic argument, is, follows)
(clarified ,7, is, follows)
(,7, is, follows)
(objective, obtain money from, another)
(objective, obtain money under, color of right)
(objective, obtain money under, color)
(objective, obtain money with, his consent)
(objective, obtain money under, color of official right)
(objective, obtain, money)
(they, being members of, conspiracy)
(they, were incapable, members)
(they, being members of, conspiracy charged in case)
(they, were incapable, members of conspiracy charged in case)
(they, were, Accordingly incapable)
(they, being members of, conspiracy charged)
(they, Accordingly were incapable, members of conspiracy charged)
(they, Accordingly were incapable, members of conspiracy charged in case)
(they, Accordingly were incapable, members of conspiracy)
(they, were, incapable)
(they, being, members)
(they, were incapable, members of conspiracy charged)
(they, Accordingly were incapable, members)
(they, were incapable, members of conspiracy)
(petitioner, conspired with, anyone other than Moreno)
(insufficient evidence, is, show)
(petitioner, conspired with, anyone)
(insufficient evidence, is in, record)
(evidence, is in, record)
(petitioner, conspired with, anyone other)
(evidence, is, show)
(he, must, must acquitted)
(shopowners, did have objective Contrary to, petitioner 's claim)
(shopowners, did have, objective)
(argument, fails for, simple reason)
(shopowners, did have, criminal objective)
(argument, fails for, very simple reason)
(petitioner, Contrary to, claim)
(he, did have, criminal objective)
(shopowners, did have, common objective)
(he, did have objective Contrary to, petitioner 's claim)
(shopowners, did have, common criminal objective)
(argument, fails for, reason)
(he, did have, common criminal objective)
(he, did have, objective)
(he, did have, common objective)
(purpose, is in, exchange for BPD Officers ' exercise of their official positions)
(exchange, in purpose is, Baltimore Police Department)
(conspiracy, of purpose is, Baltimore Police Department)
(Baltimore officers, commit, substantive violations)
(Baltimore officers, commit, violations of nature)
(other Baltimore officers, commit, violations of nature)
(other Baltimore officers, commit, substantive violations of nature)
(other Baltimore officers, commit, violations)
(Baltimore officers, commit, substantive violations of nature)
(other Baltimore officers, violations of, nature)
(petitioner, commit, violations)
(petitioner, commit, violations of nature)
(Baltimore officers, violations of, nature)
(other Baltimore officers, substantive violations of, nature)
(petitioner, commit, substantive violations)
(other Baltimore officers, commit, substantive violations)
(Baltimore officers, substantive violations of, nature)
(petitioner, commit, substantive violations of nature)
(Baltimore officers, commit, violations)
(petitioner, was, under rules properly charged with conspiring with shopowners)
(petitioner, was charged under, well-established rules)
(petitioner, was, Thus under well-established rules of conspiracy law charged with conspiring)
(petitioner, Thus was properly charged under, rules of conspiracy law)
(petitioner, was, under rules of conspiracy law charged with conspiring)
(petitioner, was, under well-established rules of conspiracy law charged with conspiring with shopowners)
(petitioner, was charged with, conspiring with shopowners)
(petitioner, Thus was charged under, well-established rules)
(petitioner, was, Thus under well-established rules properly charged with conspiring with shopowners)
(petitioner, was, under rules charged with conspiring)
(petitioner, was charged with, conspiring)
(petitioner, was, Thus under well-established rules charged with conspiring)
(petitioner, was, Thus under rules of conspiracy law charged with conspiring with shopowners)
(petitioner, was, under well-established rules charged with conspiring)
(petitioner, was, Thus under rules of conspiracy law charged with conspiring)
(petitioner, was, under rules of conspiracy law charged with conspiring with shopowners)
(petitioner, was, under well-established rules of conspiracy law properly charged with conspiring)
(petitioner, was, Thus under rules of conspiracy law properly charged with conspiring with shopowners)
(petitioner, Thus was properly charged with, conspiring)
(petitioner, was, under rules properly charged with conspiring)
(petitioner, was, under well-established rules charged with conspiring with shopowners)
(petitioner, was, under rules of conspiracy law properly charged with conspiring with shopowners)
(petitioner, was, under well-established rules properly charged with conspiring)
(petitioner, was, under well-established rules properly charged with conspiring with shopowners)
(petitioner, was properly charged under, rules)
(petitioner, was, Thus under rules charged with conspiring)
(petitioner, Thus was charged under, rules)
(petitioner, was properly charged with, conspiring)
(petitioner, was charged under, well-established rules of conspiracy law)
(petitioner, was properly charged under, rules of conspiracy law)
(petitioner, was, under rules charged with conspiring with shopowners)
(petitioner, was properly charged under, well-established rules of conspiracy law)
(petitioner, was charged under, rules of conspiracy law)
(petitioner, Thus was charged under, rules of conspiracy law)
(petitioner, was, Thus under rules of conspiracy law properly charged with conspiring)
(petitioner, was, properly charged)
(petitioner, Thus was charged with, conspiring)
(petitioner, was properly charged under, well-established rules)
(petitioner, was, Thus under rules properly charged with conspiring with shopowners)
(petitioner, was, Thus under rules properly charged with conspiring)
(petitioner, was, Thus charged)
(petitioner, was charged under, rules)
(petitioner, was, Thus under well-established rules of conspiracy law properly charged with conspiring with shopowners)
(petitioner, was, Thus under well-established rules of conspiracy law charged with conspiring with shopowners)
(petitioner, Thus was properly charged under, rules)
(petitioner, was, under well-established rules of conspiracy law charged with conspiring)
(petitioner, Thus was properly charged with, conspiring with shopowners)
(petitioner, was properly charged with, conspiring with shopowners)
(petitioner, was, Thus under well-established rules charged with conspiring with shopowners)
(petitioner, was, under rules of conspiracy law properly charged with conspiring)
(petitioner, Thus was charged under, well-established rules of conspiracy law)
(petitioner, Thus was properly charged under, well-established rules)
(petitioner, Thus was properly charged under, well-established rules of conspiracy law)
(petitioner, was, charged)
(petitioner, Thus was charged with, conspiring with shopowners)
(petitioner, was, Thus under rules charged with conspiring with shopowners)
(petitioner, was, Thus under well-established rules of conspiracy law properly charged with conspiring)
(petitioner, was, Thus properly charged)
(petitioner, was, under well-established rules of conspiracy law properly charged with conspiring with shopowners)
(petitioner, was, Thus under well-established rules properly charged with conspiring)
(petitioner 's invocation, is, unavailing)
(Nothing, remotely undermines, conclusion)
(petitioner, has, invocation of rule of lenity8 of federalism9)
(Nothing, undermines, conclusion)
(Nothing, even remotely undermines, conclusion)
(Nothing, is in, text of Hobbs Act)
(law, displacing, crafted network)
(national law, displacing, crafted network of state statutes)
(law, displacing, network of state statutes)
(antibribery law, displacing, crafted network)
(law, displacing, carefully crafted network)
(national antibribery law, displacing, carefully crafted network of state statutes)
(our interpretation, makes too broadly, Hobbs Act sweep)
(national law, displacing, crafted network)
(law, displacing, crafted network of state statutes)
(national law, displacing, network)
(antibribery law, displacing, network)
(national law, displacing, network of state statutes)
(national antibribery law, displacing, crafted network)
(national law, displacing, carefully crafted network)
(displacing, crafted network of, state statutes)
(our interpretation, makes, Hobbs Act sweep)
(antibribery law, displacing, crafted network of state statutes)
(displacing, network of, state statutes)
(antibribery law, displacing, network of state statutes)
(national antibribery law, displacing, network)
(displacing, carefully crafted network of, state statutes)
(law, displacing, carefully crafted network of state statutes)
(antibribery law, displacing, carefully crafted network of state statutes)
(national antibribery law, displacing, carefully crafted network)
(national antibribery law, displacing, network of state statutes)
(law, displacing, network)
