(April 19 2017, Decided at_time, June 22 2017)
(it, is, raised on direct review in ineffective-assistance claim)
(error, depending, raised on direct review in ineffective-assistance claim)
(it, is raised on, direct review)
(error, depending, raised on direct review in claim)
(structural error, depending, raised in ineffective-assistance claim)
(error, depending, raised on review)
(it, is raised in, claim)
(it, is, raised)
(structural error, depending, raised on direct review)
(it, is raised in, ineffective-assistance claim)
(error, depending, raised on direct review)
(public, been, present)
(petitioner 's family, been present, potential jurors might have behaved)
(public, been present, potential jurors might have behaved)
(public, been present, potential jurors might have behaved differently)
(petitioner 's family, been present, potential jurors might have behaved differently)
(petitioner, has, family)
(petitioner 's family, been, present)
(He, demonstrate, fundamental unfairness)
(He, demonstrate, unfairness)
(His mother, were, indeed excluded)
(His mother, were, excluded)
(His mother, were, excluded during jury selection)
(His mother, were, indeed excluded during jury selection)
(courtroom, remained, open)
(courtroom, remained during, evidentiary phase)
(closure decision, was, made)
(closure decision, was, apparently made)
(courtroom, remained during, evidentiary phase of trial)
(courtroom, remained during, phase)
(closure, was limited to, jury)
(courtroom, remained during, phase of trial)
(closure, was, limited)
(closure, was limited to, jury voir dire)
(case, even comes on, assumption)
(violation, lead to, unfairness)
(violation, lead to, basic unfairness)
(case, even comes here on, assumption)
(case, comes on, assumption)
(case, comes here on, assumption)
(closure, was, Sixth Amendment violation)
(N. E., 3d, 495)
(54 N. E., 3d, 495)
(Thomas, joined, Sotomayor)
(Thomas, joined, Ginsburg)
(Thomas, joined, Gorsuch)
(Kennedy, delivered, opinion)
(Alito, filed, opinion concurring)
(opinion, is subject to, revision in print of United States Reports)
(opinion, is subject to, formal revision in preliminary print)
(opinion, is subject to, revision)
(opinion, is subject to, formal revision)
(opinion, is subject to, revision in print)
(opinion, is subject to, formal revision before publication)
(opinion, is subject to, formal revision in print of United States Reports)
(formal revision, is in, preliminary print of United States Reports)
(opinion, is subject to, revision before publication in preliminary print)
(opinion, is subject to, formal revision before publication in preliminary print)
(opinion, is subject to, formal revision before publication in print of United States Reports)
(opinion, is subject to, revision before publication)
(opinion, is subject to, formal revision in print)
(opinion, is, subject)
(opinion, is subject to, revision in preliminary print)
(opinion, is subject to, revision before publication in print)
(opinion, is subject to, formal revision in preliminary print of United States Reports)
(opinion, is subject to, revision before publication in preliminary print of United States Reports)
(opinion, is subject to, revision in preliminary print of United States Reports)
(opinion, is subject to, formal revision before publication in print)
(opinion, is subject to, revision before publication in print of United States Reports)
(opinion, is subject to, formal revision before publication in preliminary print of United States Reports)
(Readers, notify, Reporter)
(Readers, notify, Reporter of Decisions)
(Supreme Court, is in, order)
(Readers, are, requested)
(typographical formal errors, of States is, Washington)
(typographical formal errors, of States is, D. C. 20543)
(KENTEL MYRONE WEAVER, PETITIONER v., MASSACHUSETTS)
(Justice Kennedy, delivered, opinion)
(Justice Kennedy, delivered, opinion of Court)
(courtroom, was occupied During, petitioner 's trial on state criminal charges)
(petitioner, During, trial on state criminal charges)
(courtroom, was occupied by, potential jurors)
(courtroom, was, occupied)
(courtroom, was, During petitioner 's trial occupied by potential jurors)
(courtroom, was occupied During, petitioner 's trial on state charges)
(courtroom, closed for, two days)
(courtroom, was, During petitioner 's trial on state criminal charges occupied by potential jurors)
(courtroom, closed to, public)
(courtroom, closed for, two days of jury selection process)
(courtroom, was occupied During, petitioner 's trial)
(courtroom, was, During petitioner 's trial on state charges occupied by potential jurors)
(Defense counsel, raised, issue)
(Defense counsel, raised issue on, direct review)
(Defense counsel, objected at, trial)
(Defense counsel, raised issue on, review)
(Defense counsel, objected to, closure)
(defense counsel, failing, object)
(defense counsel, provided assistance, failing)
(defense counsel, provided, ineffective assistance)
(case, comes on, assumption)
(case, comes to, Court)
(defense counsel, provided, assistance)
(constitutional violation, has, In review context has treated by Court as error)
(constitutional violation, has, In direct review context has treated as error)
(underlying violation, has, In review context has treated by Court as error)
(constitutional violation, has, In direct review context has treated by Court as error)
(underlying violation, has, In review context has treated as error)
(constitutional violation, has, has treated as structural error)
(violation, has, In review context has treated by Court)
(violation, has, has treated by Court as error)
(violation, has, In direct review context has treated as error)
(violation, has, has treated as error)
(violation, has, In direct review context has treated by Court)
(constitutional violation, has, In review context has treated)
(underlying violation, has, In direct review context has treated)
(underlying constitutional violation, has, In direct review context has treated as error)
(underlying constitutional violation, has, In review context has treated by Court)
(underlying violation, has, has treated by Court)
(constitutional violation, has, has treated)
(violation, has, has treated by Court as structural error)
(violation, has, has treated)
(constitutional violation, has, has treated by Court as error)
(violation, has, In review context has treated by Court as error)
(constitutional violation, has, In direct review context has treated as structural error)
(underlying constitutional violation, has, has treated by Court as error)
(underlying constitutional violation, has, In direct review context has treated by Court as structural error)
(violation, has, In review context has treated by Court as structural error)
(underlying violation, has, has treated)
(violation, has, has treated by Court)
(underlying violation, has, In review context has treated)
(underlying violation, has, In review context has treated by Court)
(underlying constitutional violation, has, has treated)
(constitutional violation, has, has treated as error)
(underlying constitutional violation, has, has treated by Court as structural error)
(underlying constitutional violation, has, In review context has treated by Court as error)
(violation, has, has treated as structural error)
(violation, has, In review context has treated as structural error)
(constitutional violation, has, In direct review context has treated)
(underlying violation, has, In direct review context has treated by Court as error)
(underlying constitutional violation, has, In direct review context has treated by Court)
(constitutional violation, has, In review context has treated by Court)
(violation, has, In direct review context has treated as structural error)
(constitutional violation, has, In direct review context has treated by Court as structural error)
(underlying violation, has, has treated by Court as error)
(constitutional violation, has, In review context has treated as error)
(underlying violation, has, In direct review context has treated by Court as structural error)
(underlying constitutional violation, has, In direct review context has treated as structural error)
(violation, has, In review context has treated)
(constitutional violation, has, has treated by Court as structural error)
(underlying violation, has, In review context has treated by Court as structural error)
(underlying constitutional violation, has, In direct review context has treated)
(constitutional violation, has, In review context has treated as structural error)
(underlying violation, has, In direct review context has treated by Court)
(underlying constitutional violation, has, has treated as error)
(underlying constitutional violation, has, In review context has treated by Court as structural error)
(violation, has, In direct review context has treated)
(underlying violation, has, has treated by Court as structural error)
(constitutional violation, has, has treated by Court)
(underlying violation, has, has treated as error)
(underlying violation, has, In direct review context has treated as error)
(underlying constitutional violation, has, In review context has treated as error)
(underlying violation, has, In review context has treated as structural error)
(underlying constitutional violation, has, has treated by Court)
(underlying violation, has, has treated as structural error)
(underlying constitutional violation, has, has treated as structural error)
(violation, has, In direct review context has treated by Court as structural error)
(constitutional violation, has, In direct review context has treated by Court)
(violation, has, In direct review context has treated by Court as error)
(violation, has, In review context has treated as error)
(underlying constitutional violation, has, In direct review context has treated by Court as error)
(underlying violation, has, In direct review context has treated as structural error)
(underlying constitutional violation, has, In review context has treated)
(underlying constitutional violation, has, In review context has treated as structural error)
(constitutional violation, has, In review context has treated by Court as structural error)
(error, is, when raised in context)
(error, is raised in, context of ineffective-assistance-of-counsel claim)
(structural error, is raised in, context)
(error, is, when raised)
(structural error, is, when raised in context of claim)
(invalidation, is, required)
(invalidation, is, required here)
(prejudice inquiry, is, altered)
(structural error, is, when raised)
(error, is raised in, context)
(structural error, is raised in, context of ineffective-assistance-of-counsel claim)
(structural error, is, when raised in context of ineffective-assistance-of-counsel claim)
(error, is, raised)
(structural error, is, when raised in context)
(error, is, when raised in context of claim)
(structural error, is raised in, context of claim)
(structural error, is, raised)
(error, is, when raised in context of ineffective-assistance-of-counsel claim)
(error, is raised in, context of claim)
(boy, was, shot)
(boy, was, In 2003 shot in Boston)
(15-year-old boy, was shot in, Boston)
(15-year-old boy, was, shot)
(boy, was shot in, Boston)
(15-year-old boy, was, In 2003 shot in Boston)
(15-year-old boy, was shot In, 2003)
(boy, was shot In, 2003)
(fleeing, scene of, crime)
(him, pull out, pistol)
(witness, saw, man)
(witness, saw, young man)
(hat, has, distinctive markings)
(hat 's distinctive markings, linked, it)
(hat 's markings, linked, it)
(He, is, petitioner)
(He, is, petitioner here)
(DNA, matched, petitioner 's DNA)
(petitioner, has, DNA)
(DNA, obtained from, hat)
(police, went to, petitioner 's house)
(police, question, him)
(police, went after, Two weeks)
(petitioner, to, house)
(He, losing, his hat)
(He, being, involved)
(Petitioner, has, mother)
(she, questioned, petitioner)
(she, questioned, petitioner herself)
(she, Later questioned, petitioner herself)
(she, Later questioned, petitioner)
(he, been at, scene of shooting)
(he, been at, scene)
(petitioner, said, nothing)
(petitioner, put down, his head)
(she, asked, shooter)
(petitioner, put, his head)
(he, was, shooter)
(petitioner, go to, police station)
(petitioner, go, confess)
(Petitioner, was indicted in, Massachusetts state court)
(Petitioner, was indicted for, murder)
(Petitioner, was, indicted)
(Petitioner, was, indicted in Massachusetts state court for first-degree murder)
(Petitioner, was indicted for, first-degree murder)
(Petitioner, was, indicted in Massachusetts state court for murder)
(He, proceeded to, trial)
(pool, was, large)
(assigned courtroom, could accommodate, 60)
(courtroom, could accommodate, 60)
(he, ask, questions of entire panel)
(he, ask, preliminary questions)
(he, ask, preliminary questions of panel)
(he, ask, questions of entire venire panel)
(he, ask, questions)
(he, ask, questions of panel)
(he, ask, preliminary questions of entire venire panel)
(he, ask, certain preliminary questions of entire venire panel)
(he, ask, certain preliminary questions of entire panel)
(he, ask, certain questions of entire venire panel)
(he, ask, certain questions)
(trial judge, brought, potential jurors)
(he, ask, certain preliminary questions)
(he, ask, preliminary questions of venire panel)
(he, ask, certain preliminary questions of venire panel)
(he, ask, certain questions of venire panel)
(he, ask, preliminary questions of entire panel)
(he, ask, certain preliminary questions of panel)
(he, ask, certain questions of entire panel)
(he, could introduce, case)
(he, ask, certain questions of panel)
(he, ask, questions of venire panel)
(potential jurors, had, stand in courtroom)
(potential jurors, had, stand)
(venire panel, officer of, court excluded from courtroom)
(they, were, turned away)
(they, were, So turned)
(they, were, turned)
(petitioner, has, mother)
(petitioner 's mother, came to, courtroom)
(they, were, So turned away)
(her minister, observe, two days)
(her minister, observe, two days of jury selection)
(her minister, came to, courtroom)
(curiam, per S. is, 2010)
(Court, 's decision is, 558 U. S. 209 per curiam)
(Court 's decision, S. per, curiam)
(this, occurred before, Court 's decision)
(this, occurred before, 558 U. S. 209)
(Court 's decision, is in, Presley)
(Presley, in decision is, 558 U. S. 209 per curiam)
(this, occurred before, 558 U. S. 209 per curiam)
(Court, before, decision in Presley)
(this, occurred before, Court 's decision in Presley)
(Presley, made, right extends to jury selection)
(Presley, made, it extends to portions of trial)
(Presley, made, right extends)
(Presley, made, it public-trial right extends to jury selection to portions of trial)
(Presley, made, public-trial right extends to other portions)
(Presley, made, it extends to jury selection to portions of trial)
(Presley, made, it right extends to other portions of trial)
(it, extends to, portions)
(Presley, made, it extends to other portions of trial)
(public-trial right, extends to, other portions)
(Presley, made, it extends to jury selection)
(right, extends to, jury selection)
(Presley, made, right extends to jury selection to portions of trial)
(Presley, made, it right extends to jury selection)
(Presley, made, it public-trial right extends to other portions)
(Presley, made, it extends to jury selection to portions)
(Presley, made, it extends to other portions)
(right, extends to, other portions of trial)
(Presley, made, it public-trial right extends to jury selection to other portions)
(it, extends to, other portions of trial)
(Presley, made, it right extends to portions of trial)
(Presley, made, it public-trial right extends to jury selection to portions)
(Presley, made, it right extends to jury selection to portions of trial)
(Presley, made, public-trial right extends to jury selection to portions of trial)
(Presley, made, it right extends to jury selection to portions)
(Presley, made, it extends)
(Presley, made, right extends to other portions)
(public-trial right, extends to, portions of trial)
(Presley, made, public-trial right extends to jury selection to other portions)
(Presley, made, it right extends)
(Presley, made, it extends to jury selection to other portions)
(Presley, made, it right extends to other portions)
(Presley, made, it public-trial right extends to jury selection)
(Presley, made, right extends to other portions of trial)
(Presley, made, it extends to jury selection to other portions of trial)
(public-trial right, extends to, portions)
(Presley, made, right extends to jury selection to other portions of trial)
(it, extends to, jury selection)
(Presley, made, it right extends to portions)
(right, extends to, portions of trial)
(Presley, made, right extends to portions)
(Presley, made, public-trial right extends to jury selection to other portions of trial)
(Presley, made, it public-trial right extends to portions of trial)
(Presley, made, right extends to jury selection to portions)
(Presley, made, it public-trial right extends to other portions of trial)
(public-trial right, extends to, jury selection)
(Presley, made, it public-trial right extends to jury selection to other portions of trial)
(Presley, made, it extends to portions)
(right, extends to, portions)
(it, extends to, portions of trial)
(public-trial right, extends to, other portions of trial)
(Presley, made, public-trial right extends to jury selection)
(Presley, made, right extends to jury selection to other portions)
(Presley, made, public-trial right extends to portions)
(Presley, made, it right extends to jury selection to other portions)
(Presley, made, it right extends to jury selection to other portions of trial)
(Presley, made, it public-trial right extends)
(Presley, made, right extends to portions of trial)
(it, extends to, other portions)
(Presley, made, it public-trial right extends to portions)
(Presley, made, public-trial right extends)
(right, extends to, other portions)
(Presley, made, public-trial right extends to jury selection to portions)
(Presley, made, public-trial right extends to portions of trial)
(Presley, made, public-trial right extends to other portions of trial)
(Massachusetts courts, would close courtrooms Before, Presley)
(Massachusetts courts, would often close courtrooms during, jury selection)
(Massachusetts courts, would close courtrooms in, particular during murder trials)
(Massachusetts courts, would often close courtrooms Before, Presley)
(Massachusetts courts, would close, courtrooms)
(Massachusetts courts, would often close courtrooms to, public)
(Massachusetts courts, would often close, courtrooms)
(Massachusetts courts, would close courtrooms during, jury selection)
(Massachusetts courts, would often close courtrooms in, particular)
(Massachusetts courts, would often close courtrooms in, particular during murder trials)
(Massachusetts courts, would close courtrooms in, particular)
(Massachusetts courts, would close courtrooms to, public)
(petitioner 's mother, told defense counsel at, point)
(petitioner 's mother, told defense counsel during, jury selection)
(petitioner, has, mother)
(petitioner 's mother, told defense counsel In, case)
(petitioner 's mother, told, defense counsel)
(petitioner 's mother, told defense counsel about, closure)
(government, presented evidence During, trial)
(government, presented, strong evidence of petitioner 's guilt)
(government, presented, evidence)
(government, presented evidence During, ensuing trial)
(petitioner, of, guilt)
(government, presented, evidence of petitioner 's guilt)
(government, presented, strong evidence)
(Its case, consisted of, incriminating details outlined above including petitioner 's confession to police)
(petitioner, including, confession to police)
(Its case, consisted of, details including petitioner 's confession)
(Its case, consisted of, incriminating details outlined including petitioner 's confession to police)
(Its case, consisted of, incriminating details including petitioner 's confession)
(Its case, consisted of, details outlined)
(Its case, consisted of, incriminating details)
(Its case, consisted of, details outlined including petitioner 's confession to police)
(Its case, consisted of, details outlined including petitioner 's confession)
(Its case, consisted of, details including petitioner 's confession to police)
(Its case, consisted of, incriminating details outlined including petitioner 's confession)
(Its case, consisted of, incriminating details including petitioner 's confession to police)
(Its case, consisted of, details outlined above including petitioner 's confession to police)
(Its case, consisted of, incriminating details outlined)
(Its case, consisted of, details)
(Its case, consisted of, incriminating details outlined above)
(Its case, consisted of, incriminating details outlined above including petitioner 's confession)
(Its case, consisted of, details outlined above)
(Its case, consisted of, details outlined above including petitioner 's confession)
(jury, convicted petitioner on, counts)
(court, sentenced, him)
(about year, is in, prison)
(life, is in, prison)
(new trial, is in, Massachusetts state court)
(petitioner, filed motion for, trial)
(petitioner, later filed, motion)
(petitioner, later filed motion for, trial in Massachusetts state court)
(petitioner, filed motion for, trial in Massachusetts state court)
(petitioner, filed motion for, new trial)
(petitioner, filed motion for, new trial in Massachusetts state court)
(petitioner, later filed motion for, new trial in Massachusetts state court)
(petitioner, filed, motion)
(petitioner, later filed motion for, trial)
(petitioner, later filed motion for, new trial)
(he, argued As, relevant)
(his attorney, failing, object)
(his attorney, provided, ineffective assistance)
(he, argued As, relevant here)
(his attorney, failing, object to courtroom closure)
(his attorney, provided, assistance)
(his attorney, provided assistance, failing)
(closure, was, unjustified)
(trial court, recognized violation After, evidentiary hearing)
(trial court, recognized, violation)
(closure, was, full)
(trial court, recognized violation After, hearing)
(defense counsel, failed, object)
(978 N. E., 2d, 96)
(N. E., 2d, 96)
(Petitioner, appealed, denial of motion)
(Petitioner, appealed for, new trial to Massachusetts Supreme Judicial Court)
(Petitioner, appealed for, new trial)
(Petitioner, appealed for, trial)
(Petitioner, appealed denial for, new trial)
(Petitioner, appealed, denial)
(Petitioner, appealed for, trial to Massachusetts Supreme Judicial Court)
(Petitioner, appealed denial for, trial)
(Petitioner, appealed denial for, new trial to Massachusetts Supreme Judicial Court)
(Petitioner, appealed denial for, trial to Massachusetts Supreme Judicial Court)
(petitioner, with, direct appeal)
(court, consolidated, that)
(appeal, is with, petitioner 's direct appeal)
(Supreme Judicial Court, affirmed in, part)
(Supreme Judicial Court, affirmed in, relevant part)
(structural error, violation of, Sixth Amendment right to trial)
(violation, constitutes, structural error)
(structural error, violation of, Sixth Amendment right)
(structural error, violation of, Sixth Amendment right to public trial)
(trial counsel, has, conduct)
(violation, constitutes, error)
(court, stated, it recognized)
(prejudice, warranting, trial)
(petitioner, failed, show)
(error, violation of, Sixth Amendment right to public trial)
(trial counsel 's conduct, caused, prejudice)
(prejudice, warranting, new trial)
(error, violation of, Sixth Amendment right)
(error, violation of, Sixth Amendment right to trial)
(54 N. E., 3d, 520 2016)
(N. E., 3d, 520 2016)
(court, rejected, petitioner 's claim of ineffective assistance)
(court, rejected, petitioner 's claim of assistance)
(court, rejected, petitioner 's claim of ineffective assistance of counsel)
(court, rejected, petitioner 's claim of assistance of counsel)
(court, rejected, petitioner 's claim)
(petitioner, has, claim of ineffective assistance of counsel)
(defendant, must demonstrate, prejudice)
(defendant, must demonstrate prejudice in, case)
(his attorney, object to, error)
(defendant, is entitled without, inquiry)
(defendant, is, entitled to new trial without further inquiry)
(his attorney, failed, object)
(his attorney, object to, structural error)
(defendant, is, entitled to trial without further inquiry)
(his attorney, failed, object to error)
(his attorney, unreasonably failed, object to error)
(defendant, is, entitled to trial without inquiry)
(his attorney, unreasonably failed, object)
(defendant, is, entitled to new trial without inquiry)
(his attorney, unreasonably failed, object to structural error)
(defendant, is entitled to, trial)
(defendant, is entitled to, new trial)
(defendant, is entitled without, further inquiry)
(defendant, is, entitled)
(his attorney, failed, object to structural error)
(she, only can show, prejudice)
(defendant, is entitled to, relief)
(he, can show, prejudice)
(defendant, is, entitled)
(she, can show, prejudice)
(he, only can show, prejudice)
(Court, resolve, disagreement)
(Court, granted, certiorari)
(trial counsel, of, failure object to closure of courtroom during jury selection)
(case, requires, discussion)
(case, application of, two doctrines)
(case, proper application of, two doctrines)
(error, is, deemed)
(error, is deemed, structural)
(concept, can, can discussed first)
(concept, can, can discussed)
(Chapman, In S. is, 1967)
(constitutional error, reversal of, conviction)
(error, reversal of, conviction)
(386 U. S. 18, is In, Chapman)
(purpose, ensure, insistence)
(purpose, is, ensure)
(it, affect, s)
(error, is in, trial process itself)
(error, instead protects, interest)
(error, protects, interest)
(error, instead protects, other interest)
(error, protects, other interest)
(right, protect defendant from, erroneous conviction)
(defendant, of, right conduct)
(defendant, make, his choices)
(defendant, be, allowed)
(defendant, make, his own choices)
(right, is based on, fundamental legal principle)
(right, is based on, fundamental principle)
(right, is based on, legal principle)
(right, is, based)
(right, is based on, principle)
(Court, has deemed, violation of structural error)
(Court, has deemed, violation of right structural error)
(Court, has deemed, irrelevant)
(harm, is, irrelevant)
(Court, has deemed violation, irrelevant to basis)
(Court, has deemed, violation of error)
(Court, has deemed, violation of right error)
(Court, has deemed violation, irrelevant)
(Court, has deemed, irrelevant to basis)
(harm, is irrelevant to, basis)
(Court, has deemed, violation)
(error, has, Second has deemed)
(effects, are, hard)
(effects, are, too hard)
(effects, are, simply hard)
(effects, are, simply too hard)
(error, has, has deemed)
(error, was, harmless)
(24, at Chapman is, efficiency costs letting)
(error, was harmless beyond, doubt)
(24, at Chapman is, supra)
