(UNITED STATES, v. TAYLOR is, 2016)
(drugs, were, present)
(evidence, included, information)
(explicit statements, made during, course)
(money, were, present)
(gang members, targeted, victims)
(gang members, targeted victims because of, their drug)
(statements, made during, course)
(proof, is, sufficient)
(Such proof, is, sufficient)
(proof, meet, Hobbs Act 's commerce element)
(Such proof, meet, Hobbs Act 's commerce element)
(Hobbs Act, has, commerce element)
(ALITO, delivered, opinion)
(KENNEDY, joined, BREYER)
(KENNEDY, joined, KAGAN)
(KENNEDY, joined, GINSBURG)
(KENNEDY, joined, SOTOMAYOR)
(THOMAS, filed, opinion)
(THOMAS, filed, dissenting opinion)
(opinion, is subject to, revision in print of United States Reports)
(opinion, is subject to, formal revision in preliminary print)
(opinion, is subject to, revision)
(opinion, is subject to, formal revision)
(opinion, is subject to, revision in print)
(opinion, is subject to, formal revision before publication)
(opinion, is subject to, formal revision in print of United States Reports)
(formal revision, is in, preliminary print of United States Reports)
(opinion, is subject to, revision before publication in preliminary print)
(opinion, is subject to, formal revision before publication in preliminary print)
(opinion, is subject to, formal revision before publication in print of United States Reports)
(opinion, is subject to, revision before publication)
(opinion, is subject to, formal revision in print)
(opinion, is, subject)
(opinion, is subject to, revision in preliminary print)
(opinion, is subject to, revision before publication in print)
(opinion, is subject to, formal revision in preliminary print of United States Reports)
(opinion, is subject to, revision before publication in preliminary print of United States Reports)
(opinion, is subject to, revision in preliminary print of United States Reports)
(opinion, is subject to, formal revision before publication in print)
(opinion, is subject to, revision before publication in print of United States Reports)
(opinion, is subject to, formal revision before publication in preliminary print of United States Reports)
(Readers, notify, Reporter)
(Readers, notify, Reporter of Decisions)
(Supreme Court, is in, order)
(Readers, are, requested)
(typographical formal errors, of States is, Washington)
(typographical formal errors, of States is, D. C. 20543)
(JUSTICE ALITO, delivered, opinion)
(JUSTICE ALITO, delivered, opinion of Court)
(it, attempt by, robbery)
(it, affect, commerce)
(it, attempt, do so)
(it, attempt, do)
(Act, defines, commerce)
(case, requires, us)
(Hobbs Act, has, commerce element)
(marijuana dealer, has, drugs)
(answer, is, straightforward)
(answer, dictated by, our precedent)
(authority, regulate, market)
(We, held in, Gonzales)
(authority, regulate, market for marijuana)
(Commerce Clause, gives, Congress)
(authority, regulate, national market for marijuana)
(authority, regulate, national market)
(Congress, regulate, drug theft)
(Congress, regulate, intrastate drug theft)
(Congress, also regulate, intrastate drug theft)
(Congress, may regulate, intrastate activities)
(Congress, also regulate, drug theft)
(Congress, may regulate, activities)
(Act, has, commerce element)
(prosecution, is in, Hobbs Act robbery case)
(Hobbs Act, criminalizes, robberies)
(defendant, rob, drug dealer)
(prosecution, satisfies, Act 's commerce element)
(defendant, rob, drug dealer of drugs)
(United States, has, jurisdiction)
(robber, targeting drug dealer in, way)
(robber, targeting, drug dealer)
(petitioner Anthony Taylor, was convicted on, two Hobbs Act)
(petitioner Anthony Taylor, was, convicted)
(he, rob, marijuana dealers of their drugs)
(petitioner Anthony Taylor, was convicted, counts)
(petitioner Anthony Taylor, was, In case convicted on two Hobbs Act)
(petitioner Anthony Taylor, counts based on, proof)
(petitioner Anthony Taylor, was convicted In, case)
(he, rob, marijuana dealers)
(Act, has, commerce element)
(evidence, was, sufficient)
(evidence, satisfy, Act 's commerce element)
(drug dealers, keep, large quantities)
(drug dealers, keep, quantities of cash)
(drug dealers, are more likely than, citizens)
(drug dealers, are, likely)
(drug dealers, are likely than, citizens)
(drug dealers, are likely than, ordinary citizens)
(drug dealers, are more likely than, ordinary citizens)
(drug dealers, are, more likely)
(drug dealers, keep quantities in, their homes)
(drug dealers, keep, quantities)
(drug dealers, keep, large quantities of cash)
(Taylor, participating in, two home invasions)
(Taylor, was convicted in, violation of § 924)
(Taylor, was, convicted)
(Taylor, was, convicted of two counts of Hobbs Act robbery in violation)
(Taylor, was, convicted of two counts of Hobbs Act robbery in violation of § 924)
(Taylor, was, convicted of two counts in violation of § 924)
(Taylor, was convicted, participating in two home invasions)
(two counts, is in, violation of § 1951)
(Taylor, was convicted of, two counts)
(Taylor, was convicted of, two counts of Hobbs Act robbery)
(Taylor, was, convicted of two counts in violation)
(Taylor, was convicted, participating)
(Taylor, was convicted in, violation)
(Taylor, participating in, two such home invasions)
(Taylor, was convicted, participating in two such home invasions)
(Taylor, was, convicted)
(others, targeted, home)
(Whorley, dealt, grade marijuana)
(Taylor, targeted, home of Josh Whorley)
(others, targeted, home of Josh Whorley)
(others, obtained, information)
(Taylor, targeted, home)
(Whorley, dealt, exotic grade marijuana)
(robbers, find, money)
(robbers, find drugs in, Whorley 's home)
(robbers, find money in, Whorley 's home)
(Whorley, in, home)
(robbers, find, drugs)
(others, broke into, home)
(Taylor, broke into, home)
(Taylor, assaulted, Whorley)
(Taylor, assaulted, his girlfriend)
(Taylor, searched, it)
(They, location of, money)
(second attempted drug robbery, occurred later at, home)
(drug robbery, occurred in, October 2009)
(attempted drug robbery, occurred later at, home of William Lynch)
(drug robbery, occurred later in, October 2009)
(second drug robbery, occurred at, home of William Lynch)
(second attempted drug robbery, occurred in, October 2009)
(second attempted drug robbery, occurred later at, home of William Lynch)
(second drug robbery, occurred later in, October 2009)
(second attempted drug robbery, occurred at, home)
(attempted drug robbery, occurred later in, October 2009)
(second attempted drug robbery, occurred at, home of William Lynch)
(attempted drug robbery, occurred at, home)
(drug robbery, occurred later at, home of William Lynch)
(second drug robbery, occurred at, home)
(second attempted drug robbery, occurred later in, October 2009)
(attempted drug robbery, occurred in, October 2009)
(attempted drug robbery, occurred later at, home)
(attempted drug robbery, occurred at, home of William Lynch)
(second drug robbery, occurred later at, home)
(second drug robbery, occurred later at, home of William Lynch)
(drug robbery, occurred at, home of William Lynch)
(second drug robbery, occurred in, October 2009)
(drug robbery, occurred at, home)
(drug robbery, occurred later at, home)
(source, robbed, Lynch of 20 pounds)
(source, Lynch of, 20 pounds)
(source, robbed, Lynch of 20 pounds of marijuana)
(source, robbed Lynch in front of, Lynch 's home)
(source, informed, leader)
(Lynch, in front of, home)
(source, Lynch of, 20 pounds of marijuana)
(source, informed, leader of gang)
(source, robbed Lynch on, prior occasion)
(source, robbed, Lynch)
(source, robbed Lynch on, occasion)
(Lynch, continued, deal)
(gang, also received, information)
(gang, received, information)
(Lynch, deal, drugs)
(others, held, children)
(others, broke into, Lynch 's home)
(others, demanded, know)
(Taylor, broke into, Lynch 's home)
(others, held, his wife)
(others, held, young children)
(others, held children at, gunpoint)
(Lynch, into, home)
(others, assaulted, his wife)
(robbers, made off with, cell phone)
(robbers, made off with, only cell phone)
(Taylor, was, For his participation in two home invasions indicted under Hobbs Act)
(Taylor, was, indicted)
(Taylor, was, For his participation indicted under Hobbs Act)
(commerce, attempting, do through robbery)
(commerce, attempting, do so through robbery)
(Taylor, was indicted For, his participation)
(Taylor, was indicted under, Hobbs Act)
(Taylor, was indicted For, his participation in two home invasions)
(commerce, attempting, do so)
(his participation, is in, two home invasions)
(commerce, attempting, do)
(His first trial, resulted in, hung jury)
(His trial, resulted in, hung jury)
(His trial, resulted in, jury)
(His first trial, resulted in, jury)
(District Court, introducing, evidence)
(District Court, precluded, Taylor)
(District Court, precluded Taylor at, urging of Government)
(District Court, precluded Taylor On, retrial)
(District Court, precluded Taylor at, urging)
(Taylor, moved for, judgment of acquittal)
(prosecution, meet, its burden)
(Taylor, twice moved for, judgment on ground)
(Taylor, moved for, judgment on ground)
(Taylor, twice moved During, second trial)
(Taylor, twice moved During, trial)
(Taylor, twice moved for, judgment of acquittal)
(Taylor, moved During, trial)
(prosecution, meet, its burden on commerce element)
(Taylor, moved for, judgment)
(Taylor, moved for, judgment of acquittal on ground)
(Taylor, moved During, second trial)
(Taylor, twice moved for, judgment of acquittal on ground)
(Taylor, twice moved for, judgment)
(proof, satisfy, element)
(proof, was sufficient as, matter of law)
(Taylor, rob, drug dealers)
(proof, was sufficient as, matter)
(proof, was, sufficient)
(jury, found, Taylor guilty)
(Taylor, challenged sufficiency On, appeal)
(Taylor, challenged, sufficiency of evidence prove)
(Taylor, challenged, sufficiency)
(Taylor, deplete, assets)
(drug, dealing in, court reasoned)
(drug, was, simply required)
(drug, was, required)
(We, resolve, conflict)
(We, resolve, conflict regarding demands of Hobbs Act 's commerce element)
(We, resolve, conflict in Circuits)
(conflict, is in, Circuits)
(We, resolve, conflict in Circuits regarding demands)
(Hobbs Act, of, commerce element in cases involving)
(We, resolve, conflict regarding demands)
(We, resolve, conflict in Circuits regarding demands of Hobbs Act 's commerce element)
(We, granted, certiorari)
(We, resolve, conflict regarding demands of Hobbs Act 's commerce element in cases)
(Hobbs Act 's commerce element, is in, cases involving)
(We, resolve, conflict in Circuits regarding demands of Hobbs Act 's commerce element in cases)
(Hobbs Act, provides, follows)
(Hobbs Act, provides in, relevant part)
(Hobbs Act, provides in, part)
(conspires, shall, shall fined)
(article, is in, commerce)
(Act, defines term commerce, mean)
(Act, defines, term commerce)
(point, is in, State)
(language, is, broad)
(language, is, unmistakably broad)
(Act, has, definition of commerce)
(We, have noted, sweep)
(sweep, is in, past cases)
(We, have noted, sweep of Act)
(We, have noted, sweep of Act in past cases)
(We, have noted, sweep in past cases)
(we, look to, our Commerce Clause cases)
(persons, is in, interstate commerce)
(activities, be regulated, minimal)
(activities, be regulated, even minimal)
(their individual impact, is, minimal)
(activities, is in, third category)
(activities, be regulated long, even minimal)
(their impact, is, minimal)
(activities, be regulated long, minimal)
(interstate commerce, is in, aggregate)
(their individual impact, is, even minimal)
(their impact, is, even minimal)
(activities, be, regulated)
(activities, be, regulated long)
(it, exerts, substantial economic effect on commerce)
(it, effect on, commerce)
(it, exerts, substantial economic effect on interstate commerce)
(it, substantial effect on, commerce)
(it, substantial economic effect on, commerce)
(it, effect on, interstate commerce)
(appellee, has, activity)
(it, exerts, effect on commerce)
(appellee 's activity, be, local)
(it, substantial economic effect on, interstate commerce)
(it, exerts, substantial effect)
(it, exerts, substantial effect on commerce)
(it, exerts, substantial effect on interstate commerce)
(it, exerts, economic effect)
(it, substantial effect on, interstate commerce)
(it, exerts, economic effect on commerce)
(it, exerts, substantial economic effect)
(it, exerts, effect on interstate commerce)
(it, exerts, economic effect on interstate commerce)
(it, exerts, effect)
(it, economic effect on, interstate commerce)
(it, economic effect on, commerce)
(Nation, in, history)
(final category, is, broad)
(category, is, broad)
(activity, is unquestionably economic activity In, case)
(economic activity, is In, case)
(activity, is, activity)
(activity, is unquestionably activity In, case)
(activity, is, unquestionably economic activity)
(activity, is economic activity In, case)
(activity, is activity In, case)
(issue, at activity is, sale of marijuana)
(activity, is, unquestionably activity)
(activity, is, economic activity)
(activity, sale of, marijuana)
(activity, is, economic)
(It, is, sure)
(Court, addressed, Congress 's authority)
(Congress, has, authority)
(Court, regulate, marijuana market)
(activities, occur entirely within, boundaries of State)
(activities, occur within, boundaries of single State)
(activities, occur entirely within, boundaries)
(activities, even occur within, boundaries of single State)
(activities, occur within, boundaries)
(activities, even occur within, boundaries)
(activities, occur within, boundaries of State)
(activities, even occur within, boundaries of State)
(activities, even occur entirely within, boundaries of single State)
(activities, even occur entirely within, boundaries of State)
(activities, occur entirely within, boundaries of single State)
(activities, even occur entirely within, boundaries)
(Congress, in, regulatory scheme)
(gaping enforcement hole, is in, Congress 's regulatory scheme)
(our holding, is in, Raich)
(Hobbs Act, criminalizes, robberies)
(United States, has, jurisdiction)
(United States, has, jurisdiction)
(It, therefore follows as, simple matter)
(It, therefore follows as, matter of logic)
(United States, has, jurisdiction)
(It, follows as, matter of logic)
(It, follows as, simple matter)
(It, follows as, matter)
(It, therefore follows as, matter)
(attempted robbery, violates Hobbs Act, only Government proves)
(attempted robbery, violates Hobbs Act, Government proves)
(Government, only proves, something)
(Government, proves, something)
(attempted robbery, robbery of, drug dealer 's inventory)
(drug dealer, of, inventory)
(Government, proves, something more)
(Hobbs Act, robbery of, drug dealer 's inventory)
(robbery, violates Hobbs Act, only Government proves)
(robbery, violates Hobbs Act, only Government proves)
(Taylor, takes, position)
(Taylor, Rejecting, logic)
(attempted robbery, violates, Hobbs Act)
(robbery, violates Hobbs Act, Government proves)
(robbery, violates Hobbs Act, Government proves)
(Government, only proves, something more)
(robbery, violates, Hobbs Act)
(robbery, violates, Hobbs Act)
(robbery, robbery of, drug dealer 's inventory)
(Raich, concerned, CSA)
(argument, rests on, fact)
(argument, rests in, part)
(criminal provisions, lack, jurisdictional element)
(provisions, lack, jurisdictional element)
(criminal provisions, lack, element)
(provisions, lack, element)
(Taylor reasons, must prove beyond, doubt)
(particular drugs, is in, question)
(particular drugs, were, destined)
(prosecution, Therefore must prove beyond, doubt)
(prosecution, must prove beyond, doubt)
(drugs, were destined for, sale)
(particular drugs, were destined for, sale)
(Taylor reasons, Therefore must prove beyond, doubt)
(drugs, were, destined)
(Circuits, have adopted, same argument)
(Second Circuits, have adopted, argument)
(Circuits, have adopted, argument)
(Second Circuits, have adopted, same argument)
(argument, is, flawed)
(It, confuses, standard of proof)
(It, confuses standard with, meaning)
(It, confuses, standard)
(Act, has, commerce element)
(defendant, engaged in, conduct)
(Federal Government, has, jurisdiction)
(sale, production of, marijuana)
(sale, intrastate production of, marijuana)
(sale, purely intrastate production of, marijuana)
(Raich, established, noted)
(Hobbs Act, full measure of, commerce power)
(Hobbs Act, full measure of, Congress 's commerce power)
(opposite conclusion, see, Stirone)
(conclusion, see Stirone at, 215)
(opposite conclusion, see, 361 U. S.)
(conclusion, see, Stirone)
(conclusion, see, 361 U. S.)
(opposite conclusion, see Stirone at, 215)
(Act, has, commerce element)
(Congress 's authority, applications of, Act)
(authority, applications of, Act)
(defendant 's conduct, is in, itself)
(defendant, has, conduct in itself)
(defendant 's conduct, affected, commerce)
(defendant, has, conduct)
(Raich, has, interpretation of scope of power under Commerce Clause)
(Congress, of, power)
(Raich, is, based)
(dissent, resists, approach)
(dissent, resists, substantial-effects approach)
(we, reconsider, Raich)
(our decision, is in, Raich)
(our decision, So controls, outcome)
(our decision, So controls here, outcome)
(our decision, controls here, outcome)
(our decision, controls, outcome)
(Congress, long may criminalize, theft of drugs)
(Congress, As long may criminalize, theft of drugs)
(Congress, As long may criminalize, theft of same drugs)
(Congress, As long may criminalize, theft)
(Congress, As long may criminalize, theft)
(Congress, may criminalize, theft)
(Congress, may criminalize, theft)
(Congress, may criminalize, theft of same drugs)
(Congress, may criminalize, theft of drugs)
(Congress, long may criminalize, theft of same drugs)
(Congress, long may criminalize, theft)
(Congress, long may criminalize, theft)
(Government, obtain, conviction under Hobbs Act)
(Government, obtain conviction for, robbery of drug dealer)
(Government, obtain, conviction)
(Government, obtain conviction for, robbery)
(Act, has, commerce element)
(class, is within, reach)
(class, is within, reach of federal power)
(class, is within, reach of power)
(Taylor 's gang, obtain, drug proceeds)
(Government, introducing, evidence)
(Taylor 's gang, targeted, drug dealers)
(Taylor 's gang, obtain, drugs)
(Taylor, has, gang)
(Government, met, its burden)
(Taylor 's gang, intentionally targeted, drug dealers)
(other, possess, marijuana)
(other, possess, high-grade marijuana)
(other, was, thought)
(his residence, is in, past)
(robbers, made statements in, course of robberies revealing)
(robbers, made, statements)
(robbers, also made, explicit statements)
(robbers, also made statements in, course of robberies)
(robbers, also made, statements)
(robbers, made, explicit statements)
(robbers, also made statements in, course)
(robbers, made statements in, course of robberies)
(robbers, also made statements in, course of robberies revealing)
(robbers, made statements in, course)
(359, asking, Lynch)
(robberies, were, committed)
(proof, is, sufficient)
(Such proof, is, sufficient)
(Such proof, meet, commerce element)
(proof, meet, commerce element of Hobbs Act)
(proof, meet, commerce element)
(Such proof, meet, commerce element of Hobbs Act)
(Our, holding at_time, today)
(defendant, targets, drug dealers)
(Our, is, limited)
(judgment, is, affirmed)
(It, is, ordered)
(It, is, so ordered)
(DAVID ANTHONY TAYLOR, PETITIONER v., UNITED STATES)
(United States, has, jurisdiction)
(Government, can obtain, Hobbs Act conviction)
(defendant 's robbery, is in, fact)
(Government, can obtain Hobbs Act conviction Under, Court 's decision)
(defendant, has, robbery in fact)
(Court, Under, decision)
(Government, can obtain Hobbs Act conviction at_time, today)
(Government, can obtain Hobbs Act conviction, proving)
(Court 's holding, extends, our flawed commerce-power precedents)
(Court 's holding, extends, our already expansive precedents)
(Court 's holding, extends, our flawed precedents)
(Court 's holding, extends, our precedents)
(Court 's holding, creates, problems)
(Court 's holding, creates, constitutional problems)
(Court 's holding, creates, serious constitutional problems)
(Court 's holding, extends, our expansive precedents)
(Court 's holding, extends, our already expansive flawed commerce-power precedents)
(Court 's holding, extends, our commerce-power precedents)
(Court 's holding, extends, our expansive flawed commerce-power precedents)
(Court 's holding, extends, our already expansive commerce-power precedents)
(Court 's holding, creates, serious problems)
(Court 's holding, extends, our already expansive flawed precedents)
(Court 's holding, extends, our expansive flawed precedents)
(Court 's holding, extends, our expansive commerce-power precedents)
(Act, punishes, robbery)
(I, would construe Hobbs Act in accordance with, constitutional limits)
(robbery, affected, interstate commerce)
(interstate commerce, robbery, itself)
(I, would construe, Hobbs Act)
(commerce, robbery, itself)
(I, would construe Hobbs Act in accordance with, limits)
(robbery, affected, commerce)
(it, commit, robbery)
(Act, defines, commerce)
(Hobbs Act, has, reach)
(I, examining, limitations)
(I, start, determine)
(I, determine, Hobbs Act 's reach)
(it, proves beyond, doubt)
(it, only proves beyond, doubt)
(Hobbs Act, in accordance with, text)
(I, would hold In, light of limitations)
(Government, obtain conviction, only it proves beyond reasonable doubt)
(defendant 's robbery, affected, commerce)
(Government, obtain conviction, it proves)
(Government, obtain conviction, it proves beyond reasonable doubt)
(Government, obtain conviction, it proves beyond doubt)
(Government, obtain, conviction for robbery)
(I, would hold In, light)
(Government, obtain conviction, only it proves)
(it, only proves beyond, reasonable doubt)
(it, proves beyond, reasonable doubt)
(Government, obtain, conviction)
(defendant, has, robbery itself)
(defendant 's robbery, affected, interstate commerce)
(Government, is in, Hobbs Act case)
(conviction, Government in, Hobbs Act case)
(Government, obtain conviction, only it proves beyond doubt)
(Constitution, Government of, powers)
(Constitution, Government of, enumerated powers)
(Constitution, Federal Government of, enumerated powers)
(Constitution, Federal Government of, powers)
(Congress, has, authority)
(Congress, has, only limited authority over crime)
(Congress, has authority As, As its powers generally)
(Congress, has, limited authority)
(Congress, has, only limited authority)
(Congress, has, limited authority over crime)
(Congress, has authority As, As its powers)
(Congress, has, authority over crime)
(Government, possesses, general authority)
(Government, possesses, authority in territories)
(Government, possesses, general authority in territories)
(Government, possesses, authority)
(Government, possesses, broad authority)
(broad general authority, is in, territories)
(Government, possesses, broad authority in territories)
(Government, possesses, broad general authority in territories)
(Government, possesses, broad general authority)
(Congress, shall have, Power dispose)
(Congress, shall have, Power dispose of)
(its power, is, very different)
(its power, is, different)
(Constitution, expressly delegates to, Congress)
(Constitution, delegates to, Congress)
(Constitution, withhold, s)
(Constitution, withhold, s from Congress)
(Constitution, withhold s in, short)
(566, at Lopez is, supra)
(Congress, may enact laws to, only extent)
(doing, is, necessary)
(Congress, may validly enact, laws)
(four, express, grants of authority)
(four, grants of, authority)
(Congress, may enact laws to, extent)
(Congress, may enact, laws)
(four, grants of, federal authority)
(four, grants of, criminal authority)
(four, express, grants of criminal authority)
(four, grants of, federal criminal authority)
(Congress, may enact, criminal laws)
(Congress, may validly enact, criminal laws)
(doing, is necessary, carrying)
(Congress, may validly enact laws to, extent)
(four, express, grants of federal authority)
(four, express, grants of federal criminal authority)
(Congress, may validly enact laws to, only extent)
(Constitution vests, is in, Federal Government)
(four, express, grants)
(government, may legitimately punish, violation of its laws)
(government, may punish, violation of its laws)
(government, may punish, violation of laws)
(government, may legitimately punish, violation of laws)
(Congress, will accumulate, general police power)
(Congress, will accumulate, police power)
(Congress, regulate Commerce among, several States)
(Congress, regulate, Commerce)
(Congress, regulate Commerce among, States)
(Clause, authorizes, Congress)
(585, at Lopez is, supra)
(selling, buying of, goods)
(Congress, regulate, selling)
(Commerce Clause, thus empowers, Congress)
(Congress, regulate, buying)
(Congress, regulate, buying of goods trafficked across state lines)
(selling, buying of, goods trafficked across state lines)
(selling, buying of, goods trafficked)
(Commerce Clause, empowers, Congress)
(Congress, regulate, buying of goods)
(Congress, regulate, buying of goods trafficked)
(doing, is, necessary)
(Congress, punish robbery to, only extent)
(Congress, punish robbery to, extent)
(Congress, punish, robbery)
(Congress ' prohibition, be, plainly adapted)
(Congress ' prohibition, regulating, interstate commerce)
(Congress ' prohibition, regulating, commerce)
(Congress ' prohibition, be, adapted)
(421, at McCulloch is, supra)
(Congress ' robbery prohibition, have, simple)
(Congress ' robbery prohibition, have, relation with regulation)
(obvious simple, relation with, regulation)
(Congress ' robbery prohibition, have, obvious simple)
(Congress ' robbery prohibition, have, direct relation with regulation of commerce)
(direct relation, is with, regulation of interstate commerce)
(Congress ' robbery prohibition, have, direct relation with regulation)
(obvious simple, direct relation with, regulation)
(Congress ' robbery prohibition, direct relation with, regulation)
(simple, direct relation with, regulation of commerce)
(Congress ' robbery prohibition, direct relation with, regulation of commerce)
(simple, direct relation with, regulation)
(simple, relation with, regulation of interstate commerce)
(obvious simple, direct relation with, regulation of interstate commerce)
(obvious simple, direct relation with, regulation of commerce)
(Congress ' robbery prohibition, have, relation)
(Congress ' robbery prohibition, relation with, regulation of commerce)
(Congress ' robbery prohibition, have, direct relation with regulation of interstate commerce)
(simple, direct relation with, regulation of interstate commerce)
(Congress ' robbery prohibition, have, direct relation)
(Congress ' robbery prohibition, direct relation with, regulation of interstate commerce)
(obvious simple, relation with, regulation of interstate commerce)
(Congress ' robbery prohibition, have, relation with regulation of interstate commerce)
(simple, relation with, regulation)
(simple, relation with, regulation of commerce)
(Congress ' robbery prohibition, relation with, regulation of interstate commerce)
(Congress ' robbery prohibition, have, relation with regulation of commerce)
(Congress ' robbery prohibition, relation with, regulation)
(obvious simple, relation with, regulation of commerce)
(61, at Raich is, supra)
(Congress ' robbery prohibition, be, proper)
(421, at McCulloch is, supra)
(I, turn With, principles in mind)
(principles, is in, mind)
(I, turn to, Hobbs Act)
(I, turn With, principles)
(article, is in, commerce)
(Hobbs Act crime, central feature of is, effect on commerce)
(feature, is, effect)
(central feature, is effect on, commerce)
(Hobbs Act crime, feature of is, effect)
(Hobbs Act crime, feature of is, effect on commerce)
(feature, is effect on, commerce)
(Hobbs Act crime, central feature of is, effect)
(central feature, is, effect)
(robbery, relate to, commerce)
(delays, describe, making)
(Act, begins, focusing)
(defendant 's robbery, affect, commerce)
(defendant, has, robbery)
(Act, focusing on, commerce)
(Act, begins, focusing on commerce)
(Act, has, reach)
(Act 's reach, depends on, meaning)
(point, is in, State)
(provision, is, comprehensive)
(provision, is comprehensive, noted above)
(provision, is comprehensive, noted)
(first clause, invokes, Congress ' broad police power including power)
(first clause, invokes, Congress ' police power including power over commerce in District of Columbia)
(clause, invokes, Congress ' broad police power including power over internal commerce)
(first clause, invokes, Congress ' broad police power including power over internal commerce in District of Columbia)
(first clause, invokes, Congress ' broad police power in District)
(clause, invokes, Congress ' broad police power including power over internal commerce in District of Columbia)
(clause, invokes, Congress ' police power including power over internal commerce)
(first clause, invokes, Congress ' police power including power in District)
(clause, invokes, Congress ' police power including power)
(clause, invokes, Congress ' broad police power including power in District)
(clause, invokes, Congress ' broad police power including power)
(first clause, invokes, Congress ' police power including power over commerce in District)
(clause, invokes, Congress ' police power)
(clause, invokes, Congress ' broad police power including power over commerce)
(clause, invokes, Congress ' broad police power including power over commerce in District of Columbia)
(first clause, invokes, Congress ' broad police power including power over internal commerce)
(first clause, invokes, Congress ' police power including power in District of Columbia)
(clause, invokes, Congress ' broad police power including power over internal commerce in District)
(first clause, invokes, Congress ' police power including power over internal commerce in District of Columbia)
(clause, invokes, Congress ' police power in District of Columbia)
(first clause, invokes, Congress ' police power in District)
(first clause, invokes, Congress ' broad police power including power in District of Columbia)
(clause, invokes, Congress ' police power including power over commerce in District of Columbia)
(clause, invokes, Congress ' police power including power in District of Columbia)
(clause, invokes, Congress ' broad police power in District)
(clause, invokes, Congress ' police power including power over commerce in District)
(first clause, invokes, Congress ' broad police power in District of Columbia)
(clause, invokes, Congress ' police power including power over commerce)
(first clause, invokes, Congress ' broad police power including power in District)
(first clause, invokes, Congress ' broad police power including power over commerce)
(clause, invokes, Congress ' broad police power including power in District of Columbia)
(first clause, invokes, Congress ' broad police power including power over commerce in District of Columbia)
(clause, invokes, Congress ' broad police power including power over commerce in District)
(first clause, invokes, Congress ' police power in District of Columbia)
(first clause, invokes, Congress ' broad police power including power over internal commerce in District)
(first clause, invokes, Congress ' broad police power including power over commerce in District)
(clause, invokes, Congress ' police power including power over internal commerce in District of Columbia)
(first clause, invokes, Congress ' police power including power over internal commerce in District)
(clause, invokes, Congress ' police power including power over internal commerce in District)
(first clause, invokes, Congress ' broad police power)
