(April 19 2016, Decided at_time, June 13 2016)
(Bryant, also invokes, Process Clause)
(Bryant, also invokes, Clause of Fifth Amendment)
(ICRA, however process of, law)
(ICRA, accords, procedural safeguards)
(ICRA, accords, safeguards)
(ICRA, process of, law)
(ICRA, accords, other procedural safeguards)
(ICRA, however due process of, law)
(ICRA, accords, other safeguards)
(ICRA, due process of, law)
(proceedings, ensure, reliability of tribal-court convictions)
(proceedings, reliability of, tribal-court convictions)
(proceedings, is in, compliance with ICRA)
(compliance, is with, ICRA)
(proceedings, ensure, reliability)
(proceedings, sufficiently ensure, reliability of tribal-court convictions)
(use, is in, federal prosecution)
(proceedings, sufficiently ensure, reliability)
(GINSBURG, delivered, opinion)
(GINSBURG, delivered opinion for, Court)
(GINSBURG, delivered opinion for, unanimous Court)
(THOMAS, filed, concurring opinion)
(THOMAS, filed, opinion)
(opinion, is subject to, revision in print of United States Reports)
(opinion, is subject to, formal revision in preliminary print)
(opinion, is subject to, revision)
(opinion, is subject to, formal revision)
(opinion, is subject to, revision in print)
(opinion, is subject to, formal revision before publication)
(opinion, is subject to, formal revision in print of United States Reports)
(formal revision, is in, preliminary print of United States Reports)
(opinion, is subject to, revision before publication in preliminary print)
(opinion, is subject to, formal revision before publication in preliminary print)
(opinion, is subject to, formal revision before publication in print of United States Reports)
(opinion, is subject to, revision before publication)
(opinion, is subject to, formal revision in print)
(opinion, is, subject)
(opinion, is subject to, revision in preliminary print)
(opinion, is subject to, revision before publication in print)
(opinion, is subject to, formal revision in preliminary print of United States Reports)
(opinion, is subject to, revision before publication in preliminary print of United States Reports)
(opinion, is subject to, revision in preliminary print of United States Reports)
(opinion, is subject to, formal revision before publication in print)
(opinion, is subject to, revision before publication in print of United States Reports)
(opinion, is subject to, formal revision before publication in preliminary print of United States Reports)
(Readers, notify, Reporter)
(Readers, notify, Reporter of Decisions)
(Supreme Court, is in, order)
(Readers, are, requested)
(typographical formal errors, of States is, Washington)
(typographical formal errors, of States is, D. C. 20543)
(JUSTICE GINSBURG, delivered, opinion of Court)
(JUSTICE GINSBURG, delivered, opinion)
(high incidence, is in, 2005)
(person, has, at least two convictions for violence)
(person, has, at least two prior final convictions)
(person, has, at least two convictions)
(person, has, at least two prior convictions for domestic violence)
(person, has, at least two prior final convictions for violence rendered)
(person, has, at least two prior convictions)
(person, has, at least two prior final convictions for domestic violence)
(person, has, at least two prior final convictions for domestic violence rendered)
(person, has, at least two convictions for domestic violence rendered)
(person, has, at least two prior final convictions for violence)
(person, has, at least two final convictions for domestic violence)
(person, has, at least two convictions for violence rendered)
(person, has, at least two prior convictions for violence)
(person, has, at least two prior convictions for domestic violence rendered)
(person, has, at least two final convictions)
(person, has, at least two convictions rendered)
(person, has, at least two prior convictions for violence rendered)
(person, has, at least two final convictions rendered)
(person, has, at least two prior convictions rendered)
(person, has, at least two final convictions for domestic violence rendered)
(person, has, at least two prior final convictions rendered)
(person, has, at least two final convictions for violence rendered)
(person, has, at least two convictions for domestic violence)
(person, has, at least two final convictions for violence)
(Women, Against Violence is, Pub)
(Women, Against Violence is, VAWA Reauthorization Act)
(he, was, sentenced)
(he, was sentenced For, most)
(he, was, For most of convictions sentenced to terms of imprisonment)
(he, was, For most of convictions sentenced to terms)
(he, was, For most sentenced to terms)
(he, was, For most sentenced to terms of imprisonment)
(terms, none of, them)
(one year, has, duration)
(he, was sentenced to, terms)
(he, was sentenced For, most of convictions)
(he, was sentenced to, terms of imprisonment)
(he, was sentenced to, none of them)
(he, was sentenced to, none)
(Sixth Amendment, guarantees, indigent defendants)
(appointed counsel, is in, case)
(Sixth Amendment, guarantees defendants in, state proceedings)
(Sixth Amendment, guarantees defendants in, state criminal proceedings)
(Sixth Amendment, guarantees, defendants)
(one year, of, imprisonment)
(it, is, undisputed)
(Bryant, has, tribal-court convictions)
(convictions, rank as, predicate offenses)
(convictions, rank as, predicate offenses within compass)
(convictions, rank as, predicate offenses within compass of § 117)
(case, presents, question)
(they, retain, their validity)
(Bryant, has, tribal-court convictions)
(they, invoked in, § 117 prosecution)
(Native women, experience, highest rates)
(Native women, experience, rates of violence)
(American women, rates of, domestic violence)
(Native women, highest rates of, domestic violence)
(Native American women, experience, rates of domestic violence)
(American women, highest rates of, violence)
(Native American women, experience, rates of violence)
(American women, experience, highest rates)
(American women, experience, highest rates of domestic violence)
(Native American women, experience, highest rates)
(American women, experience, rates of violence)
(women, highest rates of, domestic violence)
(Native American women, experience, highest rates of domestic violence)
(Native American women, highest rates of, violence)
(Native women, experience, rates of domestic violence)
(American women, experience, highest rates of violence)
(women, experience, highest rates)
(women, experience, highest rates of domestic violence)
(women, rates of, domestic violence)
(American women, experience, rates of domestic violence)
(women, experience, rates of violence)
(Native American women, rates of, violence)
(Native women, experience, highest rates of violence)
(Native women, rates of, domestic violence)
(Native American women, highest rates of, domestic violence)
(Native women, experience, rates)
(American women, highest rates of, domestic violence)
(Native American women, experience, highest rates of violence)
(women, experience, rates)
(Native women, rates of, violence)
(women, rates of, violence)
(Native American women, experience, rates)
(Native women, experience, highest rates of domestic violence)
(women, highest rates of, violence)
(Native women, highest rates of, violence)
(American women, rates of, violence)
(American women, experience, rates)
(women, experience, highest rates of violence)
(women, experience, rates of domestic violence)
(Native American women, rates of, domestic violence)
(Centers, Center for, Injury Prevention)
(Disease Control, for Centers is, M. Black et)
(Centers, online at, http://www.cdc.gov/ ViolencePrevention/pdf/NISVS_report2010-a.pdf)
(Disease Control, for Centers is, National Center)
(Disease Control, for Centers is, online at http://www.cdc.gov/ ViolencePrevention/pdf/NISVS_report2010-a.pdf)
(women, is in, United States)
(Indian, are, more likely)
(Indian, are, likely)
(American Indian, are, likely)
(American Indian, are, more likely)
(pages/attachments/2015, _, can_thrive.pdf)
(Attorney General, has, Advisory Committee on American Indian)
(pages/attachments/2015, 03/23/ending, _ violence_so_children)
(pages/attachments/2015 can_thrive.pdf, 03/23/ending, violence_so_children)
(default/files/defendingchildhood pages/attachments/2015 can_thrive.pdf, 03/23/ending, _ violence_so_children)
(38, online at, https)
(default/files/defendingchildhood pages/attachments/2015, _, can_thrive.pdf)
(Children, online at, https)
(default/files/defendingchildhood pages/attachments/2015, 03/23/ending, violence_so_children)
(Attorney General 's Advisory Committee, Exposed to, Violence)
(pages/attachments/2015 can_thrive.pdf, 03/23/ending, _ violence_so_children)
(pages/attachments/2015, 03/23/ending, violence_so_children)
(default/files/defendingchildhood pages/attachments/2015 can_thrive.pdf, 03/23/ending, violence_so_children)
(default/files/defendingchildhood pages/attachments/2015, 03/23/ending, _ violence_so_children)
(American women, experience, battery)
(American Indian women, experience, battery)
(Indian women, experience, battery)
(1,000, per 4 is, 3)
(women, experience, battery)
(domestic abusers, exhibit, high rates)
(abusers, exhibit, high rates of recidivism)
(their violence, often escalates in, severity)
(abusers, exhibit rates, Court has noted)
(their violence, escalates over, time)
(abusers, exhibit, rates of recidivism)
(domestic abusers, exhibit, high rates of recidivism)
(abusers, exhibit, high rates)
(their violence, often escalates over, time)
(domestic abusers, exhibit, rates of recidivism)
(abusers, exhibit, rates)
(their violence, escalates in, severity)
(domestic abusers, exhibit, rates)
(domestic abusers, exhibit rates, Court has noted)
(same offender, online at, http://www.bjs.gov/content/pub/pdf/ipv9310.pdf)
(same offender, Bureau of, Justice Statistics)
(multiple times, Dept. of, Justice)
(multiple times, Institute of, Justice)
(Intimate Partner Violence, online at, https://www.ncjrs.gov/pdffiles1/nij/181867.pdf)
(same offender, Dept. of, Justice)
(percent, were, killed)
(homicide, was cause of, death of Indian females)
(homicide, was leading cause of, death of females aged)
(homicide, was cause of, death)
(homicide, was third leading cause of, death of females aged)
(homicide, was, third cause)
(homicide, was third cause of, death of Indian females aged)
(homicide, was third cause of, death of females)
(homicide, was leading cause of, death of females)
(homicide, was leading cause of, death of Indian females)
(homicide, was third leading cause of, death of Indian females aged)
(homicide, was, leading cause)
(homicide, was leading cause of, death)
(homicide, was third cause of, death)
(percent, were killed by, family members)
(homicide, was, third leading cause)
(75 percent, were, killed)
(homicide, was third cause of, death of Indian females)
(homicide, was leading cause of, death of Indian females aged)
(homicide, was cause of, death of females)
(homicide, was third leading cause of, death of females)
(homicide, was cause of, death of females aged)
(homicide, was, cause)
(homicide, was third leading cause of, death of Indian females)
(homicide, was cause of, death of Indian females aged)
(75 percent, were killed by, family members)
(homicide, was third leading cause of, death)
(homicide, was third cause of, death of females aged)
(it, stem, tide of domestic violence experienced)
(it, stem, tide of domestic violence)
(it, stem, tide of violence experienced)
(it, stem, tide of domestic violence experienced by Native American women)
(it, stem, tide of domestic violence experienced by Native women)
(it, tide of, domestic violence experienced by women)
(it, tide of, violence)
(federal law, of patchwork is, Duro)
(it, stem, tide of violence experienced by Native American women)
(it, tide of, domestic violence experienced)
(it, stem, tide of violence experienced by American women)
(it, stem, tide of violence experienced by women)
(it, tide of, violence experienced by Native women)
(it, tide of, domestic violence experienced by Native women)
(it, tide of, violence experienced)
(it, tide of, domestic violence experienced by American women)
(it, stem, tide of domestic violence experienced by American women)
(it, stem, tide)
(it, tide of, violence experienced by women)
(it, stem, tide of domestic violence experienced by women)
(it, tide of, domestic violence)
(it, stem, tide of violence experienced by Native women)
(it, tide of, violence experienced by Native American women)
(it, stem, tide of violence)
(it, tide of, violence experienced by American women)
(it, tide of, domestic violence experienced by Native American women)
(courts, may enforce, tribe 's criminal laws against defendants)
(tribal courts, may enforce, tribe 's criminal laws against defendants)
(courts, may enforce, tribe 's laws)
(tribal courts, may enforce, tribe 's laws)
(Congress, has curbed, tribal courts ' sentencing authority)
(courts, may enforce, tribe 's laws against Indian defendants)
(courts, may enforce, tribe 's criminal laws)
(courts, may enforce, tribe 's criminal laws against Indian defendants)
(tribal courts, may enforce, tribe 's criminal laws)
(tribal courts, may enforce, tribe 's laws against defendants)
(tribal courts, may enforce, tribe 's laws against Indian defendants)
(courts, may enforce, tribe 's laws against defendants)
(tribe, has, criminal laws against Indian defendants)
(Congress, has curbed, courts ' sentencing authority)
(tribal courts, may enforce, tribe 's criminal laws against Indian defendants)
(ICRA limited sentences, is in, tribal court)
(passage, sentences in, tribal court)
(one year, of, imprisonment)
(passage, sentences to, maximum of one year 's imprisonment)
(.2 Congress, allowing, them)
(.2 Congress, has since expanded, courts ' sentencing authority)
(.2 Congress, has since expanded, tribal courts ' sentencing authority)
(them, impose, contingent)
(them, impose, contingent on adoption of safeguards)
(three years, ' imprisonment is, contingent on adoption of additional procedural safeguards)
(three years ' imprisonment, contingent on, adoption of additional procedural safeguards)
(them, impose, contingent on adoption of additional procedural safeguards)
(.2 Congress, has expanded, tribal courts ' sentencing authority)
(them, impose, contingent on adoption of additional safeguards)
(them, impose, contingent on adoption of procedural safeguards)
(them, impose, contingent on adoption)
(.2 Congress, has expanded, courts ' sentencing authority)
(25 U. S. C. § 1302, at codified is, c)
(few tribes, have employed, sentencing authority)
(few tribes, have employed, enhanced sentencing authority)
(tribes, have employed, enhanced sentencing authority)
(tribes, have employed, sentencing authority)
(States, fill, enforcement gap)
(States, are, unable)
(States, lack, jurisdiction)
(Most States, lack, jurisdiction over crimes committed in Indian country against victims)
(Most States, lack, jurisdiction over crimes committed in country)
(Most States, lack, jurisdiction over crimes committed)
(Most States, lack, jurisdiction over crimes committed in Indian country against Indian victims)
(States, lack, jurisdiction over crimes committed)
(Most States, lack, jurisdiction over crimes committed against Indian victims)
(States, lack, jurisdiction over crimes)
(States, lack, jurisdiction over crimes committed in country against victims)
(States, lack, jurisdiction over crimes committed in Indian country against victims)
(States, lack, jurisdiction over crimes committed in Indian country)
(Most States, lack, jurisdiction over crimes committed in Indian country)
(Most States, lack, jurisdiction over crimes)
(Most States, lack, jurisdiction)
(Most States, lack, jurisdiction over crimes committed in country against Indian victims)
(States, lack, jurisdiction over crimes committed against victims)
(States, lack, jurisdiction over crimes committed in country)
(States, lack, jurisdiction over crimes committed against Indian victims)
(Most States, lack, jurisdiction over crimes committed against victims)
(States, lack, jurisdiction over crimes committed in Indian country against Indian victims)
(States, lack, jurisdiction over crimes committed in country against Indian victims)
(Most States, lack, jurisdiction over crimes committed in country against victims)
(Congress, increased potential In, 1953)
(Congress, increased, potential)
(Congress, giving, six States)
(assumption, for provid is, ing)
(207, at Band is, 480 U. S.)
(Native Women 7-8, online at, http://www.tribal-institute.org/download/Final %)
(federal law, governs in, country)
(Congress, has excluded, federal law governs)
(law, generally governs in, country)
(Congress, has long excluded, law governs in Indian country)
(law, governs in, Indian country)
(Congress, has excluded, federal law generally governs)
(Congress, has excluded, federal law generally governs in Indian country)
(law, governs in, country)
(Congress, has long excluded, federal law governs in country)
(Congress, has long excluded, law generally governs in Indian country)
(Congress, has excluded, federal law governs in Indian country)
(Congress, has excluded from, federal-court jurisdiction crimes committed)
(Congress, has excluded from, jurisdiction crimes committed by Indian)
(Congress, has long excluded from, federal-court jurisdiction crimes committed by Indian)
(Congress, has long excluded from, federal-court jurisdiction crimes)
(Congress, has long excluded, law generally governs)
(Congress, has excluded from, jurisdiction crimes committed)
(Congress, has long excluded from, jurisdiction crimes committed)
(Congress, has excluded, federal law generally governs in country)
(Congress, has excluded, law governs in Indian country)
(Congress, has long excluded from, federal-court jurisdiction crimes committed)
(Congress, has excluded, law generally governs in country)
(Congress, has long excluded from, jurisdiction crimes committed by Indian)
(Congress, has long excluded, federal law generally governs)
(Congress, has excluded, law generally governs in Indian country)
(Congress, has excluded, law generally governs)
(Congress, has long excluded, law governs)
(Congress, has long excluded, law generally governs in country)
(Congress, has long excluded from, jurisdiction crimes)
(Congress, has long excluded, federal law generally governs in country)
(federal law, generally governs in, Indian country)
(Congress, has long excluded, law governs in country)
(Congress, has long excluded, federal law governs in Indian country)
(federal law, generally governs in, country)
(Congress, has long excluded, federal law governs)
(Congress, has excluded from, federal-court jurisdiction crimes committed by Indian)
(law, generally governs in, Indian country)
(Congress, has excluded from, federal-court jurisdiction crimes)
(Congress, has long excluded, federal law generally governs in Indian country)
(Congress, has excluded, law governs)
(Congress, has excluded, law governs in country)
(Congress, has excluded from, jurisdiction crimes)
(Congress, has excluded, federal law governs in country)
(federal law, governs in, Indian country)
(clear expression, confer, federal jurisdiction)
(109 U. S. 556 572, requiring, clear expression)
(expression, confer jurisdiction over, crimes committed by Indian)
(clear expression, confer jurisdiction over, crimes committed)
(expression, confer jurisdiction over, crimes committed)
(clear expression, confer jurisdiction over, crimes committed by Indian)
(crimes, committed by, Indian)
(109 U. S. 556 572, requiring, expression of intention of Congress)
(clear expression, confer, jurisdiction)
(expression, confer, jurisdiction)
(expression, confer jurisdiction over, crimes)
(109 U. S. 556 572, requiring, clear expression of intention of Congress)
(109 U. S. 556 572, requiring, clear expression of intention)
(expression, confer, federal jurisdiction)
(109 U. S. 556 572, requiring, expression of intention)
(109 U. S. 556 572, requiring, expression)
(clear expression, confer jurisdiction over, crimes)
(Congress, authorized, federal jurisdiction over criminal offenses)
(victim, are, Indians)
(Congress, authorized, jurisdiction over criminal offenses)
(Congress, authorized, federal jurisdiction over grave criminal offenses)
(Congress, authorized, jurisdiction over enumerated grave criminal offenses)
(Congress, authorized, jurisdiction over enumerated grave offenses)
(victim, are, when Indians)
(Congress, authorized, federal jurisdiction)
(Congress, authorized, jurisdiction over enumerated offenses)
(victim, are, when Indians including murder)
(Congress, authorized, jurisdiction over enumerated criminal offenses)
(victim, are Indians including, murder)
(Congress, authorized, jurisdiction over grave criminal offenses)
(Congress, authorized, federal jurisdiction over enumerated grave criminal offenses)
(Congress, authorized jurisdiction In, Major Crimes Act)
(Congress, authorized, federal jurisdiction over grave offenses)
(Congress, authorized, federal jurisdiction over enumerated offenses)
(Congress, authorized, jurisdiction)
(Congress, authorized, federal jurisdiction over offenses)
(Congress, authorized, jurisdiction over offenses)
(Congress, authorized, federal jurisdiction over enumerated grave offenses)
(Congress, authorized, jurisdiction over grave offenses)
(Congress, authorized, federal jurisdiction over enumerated criminal offenses)
(enactment, subject to, federal prosecution)
(meaning, risk of, death)
(meaning, substantial risk of, death)
(§ 117, was before, Congress)
(§ 117, was before, when Congress)
(Congress, perpetrators of, domestic violence)
(§, was before, when Congress)
(§, was before, Congress)
(serial domestic violence offenders, faced As, result of limitations on jurisdiction in country)
(serial violence offenders, prior faced As, result of limitations)
(serial violence offenders, faced As, result of limitations on tribal jurisdiction)
(serial violence offenders, faced at, most)
(serial violence offenders, prior faced As, result of limitations on jurisdiction)
(serial domestic violence offenders, faced As, result)
(serial domestic violence offenders, faced As, result of limitations on tribal jurisdiction in country)
(serial domestic violence offenders, prior faced at, most)
(serial violence offenders, prior faced As, result of limitations on jurisdiction in Indian country)
(serial domestic violence offenders, faced As, result of limitations)
(serial violence offenders, prior faced As, result of limitations on tribal jurisdiction in Indian country)
(serial domestic violence offenders, faced As, result of limitations on tribal jurisdiction)
(serial domestic violence offenders, prior faced As, result)
(tribal jurisdiction, is in, Indian country)
(serial domestic violence offenders, prior faced As, result of limitations on tribal jurisdiction)
(serial violence offenders, prior faced at, most)
(serial domestic violence offenders, faced As, result of limitations on tribal jurisdiction in Indian country)
(serial domestic violence offenders, prior faced As, result of limitations on jurisdiction)
(serial domestic violence offenders, prior faced As, result of limitations on jurisdiction in country)
(serial domestic violence offenders, prior faced As, result of limitations on jurisdiction in Indian country)
(serial violence offenders, faced As, result of limitations on jurisdiction in Indian country)
(serial domestic violence offenders, prior faced As, result of limitations)
(serial domestic violence offenders, faced As, result of limitations on jurisdiction)
(serial violence offenders, faced As, result of limitations on tribal jurisdiction in Indian country)
(serial violence offenders, prior faced As, result of limitations on jurisdiction in country)
(serial violence offenders, faced As, result of limitations on tribal jurisdiction in country)
(serial violence offenders, prior faced As, result of limitations on tribal jurisdiction in country)
(serial domestic violence offenders, prior faced As, result of limitations on tribal jurisdiction in Indian country)
(serial violence offenders, faced As, result of limitations on jurisdiction in country)
(serial violence offenders, prior faced As, result of limitations on tribal jurisdiction)
(serial domestic violence offenders, prior faced As, result of limitations on tribal jurisdiction in country)
(serial violence offenders, faced As, result of limitations on jurisdiction)
(serial domestic violence offenders, faced As, result of limitations on jurisdiction in Indian country)
(serial violence offenders, prior faced As, result)
(serial violence offenders, faced As, result of limitations)
(serial domestic violence offenders, faced at, most)
(serial violence offenders, faced As, result)
(year, has, imprisonment per offense)
(Congress, created felony offense by, offender)
(Congress, created, federal felony offense of assault in Indian country)
(Congress, created, federal felony offense of assault in country)
(Congress, created, federal felony offense of domestic assault in country)
(Congress, created, federal felony offense of domestic assault)
(Congress, created, felony offense of domestic assault in country)
(Congress, created, felony offense in country)
(Congress, created, felony offense of assault in Indian country)
(Congress, created, felony offense of assault in country)
(Congress, created, federal felony offense of assault)
(Congress, ratchet up, punishment of serial offenders)
(Congress, created, federal felony offense in country)
(Congress, created felony offense by, habitual offender)
(Congress, created, federal felony offense of domestic assault in Indian country)
(Congress, created, felony offense in Indian country)
(Congress, created, felony offense)
(Congress, created, federal felony offense in Indian country)
(Congress, created, felony offense of domestic assault in Indian country)
(federal felony offense, is in, Indian country)
(Congress, created, federal felony offense)
(Congress, created, felony offense of assault)
(Congress, ratchet up, punishment)
(Congress, created, felony offense of domestic assault)
(No. 12-30177, CA9 at_time, July 6 2015)
(117, provides, punishment)
(117, provides, felony-level punishment for violence offenders)
(117, provides, punishment for domestic violence offenders)
(117, felony-level punishment for, violence offenders)
(117, punishment for, violence offenders)
(117, provides, felony-level punishment for serial violence offenders)
(117, provides, punishment for serial violence offenders)
(117, provides, punishment for serial domestic violence offenders)
(117, punishment for, serial violence offenders)
(117, provides, felony-level punishment for domestic violence offenders)
(117, provides, felony-level punishment for serial domestic violence offenders)
(117, provides, felony-level punishment)
(117, punishment for, serial domestic violence offenders)
(117, felony-level punishment for, serial domestic violence offenders)
(117, felony-level punishment for, serial violence offenders)
(117, felony-level punishment for, domestic violence offenders)
(117, punishment for, domestic violence offenders)
(117, provides, punishment for violence offenders)
(section, provides in, part)
(section, provides in, pertinent part)
(case, requires, us)
(Sixth Amendment, with, right to counsel)
(Sixth Amendment, guarantees, criminal defendant)
