(October 4 2016, Decided at_time, November 29 2016)
(petitioners ' convictions, were vacated because of, error in judge 's instructions unrelated)
(petitioners ' convictions, were, however later vacated)
(petitioners ' convictions, were vacated because of, error)
(error, is in, judge 's instructions unrelated to verdicts ' inconsistency)
(petitioners ' convictions, were, however vacated)
(petitioners ' convictions, were vacated because of, error in judge 's instructions unrelated to verdicts ' inconsistency)
(petitioners ' convictions, however were vacated because of, error)
(petitioners ' convictions, were, Unlike verdicts later vacated on appeal)
(petitioners ' convictions, were vacated Unlike, verdicts)
(petitioners ' convictions, however were vacated on, appeal)
(petitioners ' convictions, however were vacated Unlike, guilty verdicts in Powell)
(petitioners ' convictions, however were later vacated on, appeal)
(petitioners ' convictions, however were later vacated Unlike, guilty verdicts in Powell)
(petitioners ' convictions, were, vacated)
(petitioners ' convictions, were, Unlike guilty verdicts in Powell vacated on appeal)
(petitioners ' convictions, were later vacated Unlike, verdicts in Powell)
(petitioners ' convictions, were vacated because of, error in judge 's instructions)
(petitioners ' convictions, however were later vacated because of, error in judge 's instructions unrelated)
(petitioners ' convictions, were, Unlike guilty verdicts later vacated on appeal)
(petitioners ' convictions, were, Unlike verdicts in Powell however later vacated on appeal)
(petitioners ' convictions, were later vacated because of, error in judge 's instructions unrelated)
(petitioners ' convictions, were, Unlike guilty verdicts in Powell however vacated on appeal)
(petitioners ' convictions, were later vacated because of, error in judge 's instructions)
(petitioners ' convictions, were later vacated Unlike, guilty verdicts)
(petitioners ' convictions, however were later vacated because of, error in judge 's instructions)
(petitioners ' convictions, however were vacated because of, error in judge 's instructions unrelated)
(petitioners ' convictions, were vacated Unlike, guilty verdicts)
(petitioners ' convictions, were, later vacated)
(petitioners ' convictions, however were vacated Unlike, guilty verdicts)
(petitioners ' convictions, however were vacated because of, error in judge 's instructions unrelated to verdicts ' inconsistency)
(petitioners ' convictions, however were vacated Unlike, verdicts)
(petitioners ' convictions, were later vacated on, appeal)
(charge, yet had permitted, jury)
(§ 666, proscribes, quid quo bribery)
(First Circuit, In, view)
(§, proscribes, quid quo bribery)
(§, proscribes, only quo bribery)
(§, proscribes, only quid pro quo bribery)
(§ 666, proscribes, only quo bribery)
(§, proscribes, only quid quo bribery)
(jury, find, petitioners guilty)
(§ 666, proscribes, only pro quo bribery)
(charge, had permitted, jury)
(§, proscribes, quid pro quo bribery)
(§ 666, proscribes, pro quo bribery)
(§, proscribes quo bribery In, First Circuit 's view)
(§, proscribes, quo bribery)
(§ 666, proscribes, quid pro quo bribery)
(charge, had permitted, find)
(§ 666, proscribes, only quid quo bribery)
(petitioners, guilty on, gratuity theory)
(§, proscribes, pro quo bribery)
(§, proscribes, only pro quo bribery)
(charge, yet had permitted, find)
(jury, find, petitioners guilty on gratuity theory)
(§ 666, proscribes, only quid pro quo bribery)
(§ 666, proscribes quo bribery In, First Circuit 's view)
(§ 666, proscribes, quo bribery)
(Bravo, moved On, remand)
(Martínez, moved on, § 666 charges)
(Bravo, moved on, standalone § 666 charges)
(Bravo, moved for, judgments)
(Martínez, moved for, judgments)
(Martínez, moved on, standalone § 666 charges)
(Martínez, moved On, remand)
(Bravo, moved for, judgments of acquittal)
(Martínez, moved for, judgments of acquittal)
(Bravo, moved on, § 666 charges)
(issue-preclusion component, barred, Government)
(issue-preclusion component, retrying, them)
(they, violating, § 666)
(District Court, denied, motions)
(Powell 's instruction, eventual invalidation of, petitioners ' § 666 convictions)
(Powell 's instruction, eventual invalidation of, petitioners ' § convictions)
(instruction, eventual invalidation of, petitioners ' § convictions)
(instruction, eventual invalidation of, petitioners ' § 666 convictions)
(instruction, invalidation of, petitioners ' § convictions)
(Powell 's instruction, invalidation of, petitioners ' § convictions)
(Powell 's instruction, invalidation of, petitioners ' § 666 convictions)
(instruction, invalidation of, petitioners ' § 666 convictions)
(issue-preclusion component, retrying, defendants)
(petitioners ' trial, yielded, jury verdicts)
(petitioners ' trial, yielded, incompatible jury verdicts)
(Government, of, inability obtain)
(68, at acquittals is, Powell)
(trial record, is with, eye to circumstances of proceedings)
(courts, approach, task)
(realism, is in, particular)
(Ashe, instructs, courts)
(convictions, are vacated on, appeal for unrelated trial error)
(convictions, are vacated on, appeal for trial error)
(convictions, even are vacated on, appeal for trial error)
(convictions, are, even vacated)
(convictions, even are later vacated on, appeal for trial error)
(convictions, even are later vacated on, appeal for unrelated trial error)
(convictions, are later vacated on, appeal for trial error)
(convictions, are vacated on, appeal)
(convictions, even are later vacated on, appeal)
(convictions, even are vacated on, appeal)
(convictions, are, later vacated)
(convictions, are, even later vacated)
(convictions, even are vacated on, appeal for unrelated trial error)
(convictions, are later vacated on, appeal)
(convictions, are, vacated)
(convictions, are later vacated on, appeal for unrelated trial error)
(trial error, apparent inconsistency in, jury 's verdicts)
(trial error, could resolve, apparent inconsistency in jury 's verdicts)
(trial error, could resolve, apparent inconsistency)
(jury, in, verdicts)
(apparent inconsistency, is in, jury 's verdicts)
(evidence, convict, petitioners)
(evidence, was, here sufficient)
(evidence, was, sufficient)
(jury, for, inconsistent determinations for error applied equally to § 666-related count)
(vacated judgments, be excluded, nullities)
(hung counts, is in, Yeager)
(judgments, be excluded, legal nullities)
(convictions, are, legal nullities)
(convictions, are, nullities)
(judgments, be excluded, nullities)
(vacated judgments, be excluded, legal nullities)
(vacated convictions, are, legal nullities)
(judgments, be, excluded)
(vacated convictions, are, nullities)
(judgments, be excluded from, Ashe inquiry)
(vacated judgments, be excluded from, Ashe inquiry)
(vacated judgments, be, excluded)
(124, at Yeager is, 557 U. S.)
(argument, misapprehends, Ashe inquiry)
(Bravo, bear, burden showing)
(issue, been determined by, valid judgment)
(issue, been, determined)
(Martínez, bear, burden showing)
(issue, been determined by, judgment)
(issue, been determined by, valid judgment of acquittal)
(issue, been determined by, judgment of acquittal)
(they, violated, § 666)
(they, carried, that)
(444, at Ashe is, 397 U. S.)
(§ convictions, are, meaningless)
(§ 666 convictions, are, meaningless)
(jury, was allowed, convict)
(jury, convict on, basis)
(jury, was, allowed)
(§ 666 convictions, are meaningless under, Yeager)
(§ convictions, are meaningless, allowed)
(jury, was allowed, convict on basis)
(§ convictions, are meaningless under, Yeager)
(§ 666 convictions, are meaningless, allowed)
(verdict, is, By contrast jury decision)
(guilt, verdict of is, jury decision)
(verdict, is, jury decision)
(guilt, verdict of is, By contrast jury decision)
(Ginsburg, delivered opinion for, Court)
(Ginsburg, delivered opinion for, unanimous Court)
(Ginsburg, delivered, opinion)
(Thomas, filed, opinion)
(Thomas, filed, concurring opinion)
(opinion, is subject to, revision in print of United States Reports)
(opinion, is subject to, formal revision in preliminary print)
(opinion, is subject to, revision)
(opinion, is subject to, formal revision)
(opinion, is subject to, revision in print)
(opinion, is subject to, formal revision before publication)
(opinion, is subject to, formal revision in print of United States Reports)
(formal revision, is in, preliminary print of United States Reports)
(opinion, is subject to, revision before publication in preliminary print)
(opinion, is subject to, formal revision before publication in preliminary print)
(opinion, is subject to, formal revision before publication in print of United States Reports)
(opinion, is subject to, revision before publication)
(opinion, is subject to, formal revision in print)
(opinion, is, subject)
(opinion, is subject to, revision in preliminary print)
(opinion, is subject to, revision before publication in print)
(opinion, is subject to, formal revision in preliminary print of United States Reports)
(opinion, is subject to, revision before publication in preliminary print of United States Reports)
(opinion, is subject to, revision in preliminary print of United States Reports)
(opinion, is subject to, formal revision before publication in print)
(opinion, is subject to, revision before publication in print of United States Reports)
(opinion, is subject to, formal revision before publication in preliminary print of United States Reports)
(Readers, notify, Reporter)
(Readers, notify, Reporter of Decisions)
(Supreme Court, is in, order)
(Readers, are, requested)
(typographical formal errors, of States is, Washington)
(typographical formal errors, of States is, D. C. 20543)
(Justice Ginsburg, delivered, opinion of Court)
(Justice Ginsburg, delivered, opinion)
(issue, has, has determined)
(issue, has, has once determined by judgment)
(issue, has, when has determined)
(issue, has, has once determined by valid judgment)
(issue, has, when has once determined by judgment)
(issue, has, has determined by judgment)
(issue, has, when has determined by judgment)
(issue-preclusion component, is in, as civil litigation)
(issue, has, has once determined)
(issue, has, has determined by valid judgment)
(issue, has, when has once determined by valid judgment)
(issue-preclusion component, is In, criminal prosecutions)
(issue, has, when has determined by valid judgment)
(issue, has, when has once determined)
(jury, returns, verdicts)
(jury, returns, inconsistent verdicts)
(Government, is barred by, Double Jeopardy Clause)
(Government, is, barred)
(verdicts, are, rationally irreconcilable)
(verdicts, are, irreconcilable)
(Government, is barred by, Jeopardy Clause)
(Government, challenging, acquittal)
(same jury, reach, verdict on different count turning on same issue)
(jury, reach, verdict on count turning)
(jury, reach, verdict on different count turning on critical issue)
(jury, has, acquittal verdict)
(jury, reach, verdict)
(jury, reach, verdict on different count turning on same critical issue)
(same jury, reach, verdict on count)
(same jury, reach, verdict on count turning)
(issue preclusion, Does attend, jury 's acquittal verdict)
(same jury, reach, verdict on count turning on critical issue)
(same jury, reach, verdict)
(jury, reach, verdict on count turning on same critical issue)
(jury, reach, verdict on count turning on same issue)
(jury, reach, verdict on different count turning on issue)
(jury, reach, verdict on count turning on critical issue)
(same jury, reach, verdict on different count turning)
(same jury, reach, verdict on count turning on issue)
(jury, reach, verdict on different count)
(same jury, reach, verdict on count turning on same issue)
(same jury, reach, verdict on different count turning on same critical issue)
(same jury, reach, verdict on different count turning on critical issue)
(jury, reach, verdict on different count turning)
(jury, reach, verdict on different count turning on same issue)
(same jury, reach, verdict on different count)
(same jury, reach, verdict on different count turning on issue)
(same jury, reach, verdict on count turning on same critical issue)
(same jury, is in, same proceeding)
(jury, reach, verdict on count turning on issue)
(jury, reach, verdict on count)
(acquittal, yes has, preclusive force)
(acquittal, has, force)
(acquittal, has, preclusive force)
(acquittal, yes has force in, circumstances)
(acquittal, yes has, force)
(acquittal, has force in, circumstances)
(we, reasoned, jury 's failure decide)
(jury, has, failure decide)
(jury, returned, inconsistent verdicts)
(jury, returned, irreconcilably inconsistent verdicts of conviction)
(jury, returned verdicts In, case before us)
(jury, returned In, case)
(jury, returned, verdicts of conviction)
(jury, returned, inconsistent verdicts of conviction)
(jury, returned In, case before us)
(jury, returned, verdicts)
(jury, returned verdicts In, case)
(jury, returned, irreconcilably inconsistent verdicts)
(Powell, would control Without, more)
(guilty verdicts, were vacated unlike, Powell)
(guilty verdicts, were vacated because of, error in judge 's instructions)
(guilty verdicts, however were vacated In, case)
(verdicts, were vacated because of, error in judge 's instructions)
(judge, in, instructions unrelated to inconsistency)
(verdicts, were, In case unlike Powell vacated on appeal)
(guilty verdicts, were, In case however vacated on appeal)
(verdicts, however were vacated on, appeal)
(guilty verdicts, were, vacated)
(guilty verdicts, were, unlike Powell vacated on appeal)
(verdicts, were vacated because of, error)
(verdicts, were, however vacated)
(verdicts, were vacated because of, error in judge 's instructions unrelated)
(verdicts, were, In case however vacated on appeal)
(guilty verdicts, were, In case however unlike Powell vacated on appeal)
(guilty verdicts, were vacated because of, error)
(guilty verdicts, were vacated because of, error in judge 's instructions unrelated)
(guilty verdicts, however were vacated because of, error)
(verdicts, were, vacated)
(verdicts, were vacated because of, error in judge 's instructions unrelated to verdicts ' inconsistency)
(guilty verdicts, were, In case however unlike Powell vacated)
(verdicts, were vacated In, case)
(error, is in, judge 's instructions unrelated to verdicts ' inconsistency)
(guilty verdicts, were vacated In, case)
(verdicts, however were vacated In, case)
(guilty verdicts, were, In case unlike Powell vacated)
(verdicts, were, however unlike Powell vacated on appeal)
(verdicts, however were vacated because of, error in judge 's instructions unrelated)
(verdicts, were, In case however unlike Powell vacated)
(guilty verdicts, however were vacated unlike, Powell)
(verdicts, however were vacated because of, error in judge 's instructions)
(verdicts, were, In case however unlike Powell vacated on appeal)
(guilty verdicts, however were vacated on, appeal)
(guilty verdicts, however were vacated because of, error in judge 's instructions)
(guilty verdicts, were vacated on, appeal)
(guilty verdicts, were, however vacated)
(guilty verdicts, were, In case unlike Powell vacated on appeal)
(verdicts, however were vacated because of, error)
(verdicts, were, In case unlike Powell vacated)
(verdicts, were vacated on, appeal)
(guilty verdicts, were, however unlike Powell vacated on appeal)
(guilty verdicts, were, In case vacated on appeal)
(verdicts, however were vacated because of, error in judge 's instructions unrelated to verdicts ' inconsistency)
(guilty verdicts, were vacated because of, error in judge 's instructions unrelated to verdicts ' inconsistency)
(verdicts, however were vacated unlike, Powell)
(guilty verdicts, however were vacated because of, error in judge 's instructions unrelated to verdicts ' inconsistency)
(verdicts, were vacated unlike, Powell)
(guilty verdicts, however were vacated because of, error in judge 's instructions unrelated)
(verdicts, were, In case vacated on appeal)
(verdicts, were, unlike Powell vacated on appeal)
(sharp dis-agreement, confusion about, issues)
(sharp dis-agreement, exhaustion after, long trial)
(jury, for, failure decide)
(121, at Yeager is, 557 U. S.)
(jury 's inconsistent returns, vacatur of, conviction for unrelated error)
(jury 's inconsistent returns, vacatur of, conviction)
(jury 's inconsistent returns, vacatur of, conviction for legal error)
(inconsistent returns, vacatur of, conviction for error)
(inconsistent returns, vacatur of, conviction for unrelated error)
(inconsistent returns, vacatur of, conviction)
(inconsistent returns, vacatur of, conviction for legal error)
(jury 's inconsistent returns, vacatur of, conviction for error)
(jury 's inconsistent returns, vacatur of, conviction for unrelated legal error)
(inconsistent returns, vacatur of, conviction for unrelated legal error)
(jury, in, verdicts)
(actual inconsistency, is in, jury 's verdicts)
(We, therefore bracket, case)
(We, bracket, case)
(We bracket, is with, Powell)
(We, affirm, judgment)
(doctrine, instructs, that)
(doctrine, avoid, suits between same parties)
(doctrine, avoid, multiple suits on entitlements between same parties)
(doctrine, avoid, suits on identical entitlements between same parties)
(doctrine, avoid, multiple suits)
(doctrine, avoid, multiple suits on entitlements)
(doctrine, avoid, suits between parties)
(doctrine, avoid, suits on entitlements between parties)
(doctrine, avoid, multiple suits on identical entitlements)
(doctrine, avoid, suits on entitlements)
(doctrine, avoid, multiple suits between parties)
(doctrine, avoid, multiple suits on entitlements between parties)
(doctrine, avoid, multiple suits on identical entitlements between parties)
(doctrine, avoid, multiple suits on identical entitlements between same parties)
(doctrine, avoid, suits on identical entitlements)
(doctrine, avoid, suits)
(doctrine, avoid, multiple suits between same parties)
(doctrine, avoid, suits on identical entitlements between parties)
(doctrine, avoid, suits on entitlements between same parties)
(Long operative, is, also essential to Constitution 's prohibition against prosecutions)
(Long operative, is essential at, 2)
(Long operative, is essential to, Constitution 's prohibition against successive prosecutions)
(Long operative, is, at 2 essential to Constitution 's prohibition against criminal prosecutions)
(claim preclusion, is, essential)
(operative, is, at 2 also essential to Constitution 's prohibition)
(claim preclusion, is, also essential)
(claim preclusion, is essential to, Constitution 's prohibition against criminal prosecutions)
(operative, is also essential to, Constitution 's prohibition against successive criminal prosecutions)
(claim preclusion, is essential at, 2)
(operative, is also essential to, Constitution 's prohibition against prosecutions)
(Long operative, is also essential at, 2)
(claim preclusion, is essential to, Constitution 's prohibition)
(operative, is, essential to Constitution 's prohibition against criminal prosecutions)
(claim preclusion, is, at 2 essential to Constitution 's prohibition)
(claim preclusion, is also essential to, Constitution 's prohibition against prosecutions)
(Constitution, to, prohibition against successive criminal prosecutions)
(claim preclusion, is also essential at, 2)
(operative, is essential to, Constitution 's prohibition against successive criminal prosecutions)
(Long operative, is, also essential)
(Long operative, is, at 2 essential to Constitution 's prohibition against successive prosecutions)
(claim preclusion, is, at 2 essential to Constitution 's prohibition against successive criminal prosecutions)
(operative, is essential at, 2)
(operative, is, at 2 also essential to Constitution 's prohibition against successive prosecutions)
(Long operative, is also essential to, Constitution 's prohibition)
(operative, is, also essential to Constitution 's prohibition)
(Long operative, is in, civil litigation)
(Long operative, is, essential)
(Long operative, is, at 2 also essential to Constitution 's prohibition against criminal prosecutions)
(operative, is, essential)
(operative, is, also essential to Constitution 's prohibition against prosecutions)
(Long operative, is, at 2 essential to Constitution 's prohibition against successive criminal prosecutions)
(operative, is, at 2 essential to Constitution 's prohibition)
(operative, is, at 2 essential to Constitution 's prohibition against criminal prosecutions)
(claim preclusion, is, at 2 also essential to Constitution 's prohibition against prosecutions)
(Long operative, is also essential to, Constitution 's prohibition against prosecutions)
(claim preclusion, is, at 2 essential to Constitution 's prohibition against successive prosecutions)
(operative, is, essential to Constitution 's prohibition against successive criminal prosecutions)
(claim preclusion, is, at 2 essential to Constitution 's prohibition against prosecutions)
(Long operative, is, at 2 also essential to Constitution 's prohibition)
(claim preclusion, is also essential to, Constitution 's prohibition against criminal prosecutions)
(claim preclusion, is essential to, Constitution 's prohibition against successive prosecutions)
(claim preclusion, is, at 2 essential to Constitution 's prohibition against criminal prosecutions)
(Long operative, is essential to, Constitution 's prohibition against prosecutions)
(claim preclusion, is also essential to, Constitution 's prohibition)
(operative, is, at 2 also essential to Constitution 's prohibition against criminal prosecutions)
(operative, is, essential to Constitution 's prohibition against prosecutions)
(operative, is, essential to Constitution 's prohibition against successive prosecutions)
(claim preclusion, is, at 2 also essential to Constitution 's prohibition)
(claim preclusion, is also essential to, Constitution 's prohibition against successive criminal prosecutions)
(Long operative, is also essential to, Constitution 's prohibition against successive prosecutions)
(claim preclusion, is essential to, Constitution 's prohibition against successive criminal prosecutions)
(operative, is essential to, Constitution 's prohibition against prosecutions)
(operative, is, at 2 also essential to Constitution 's prohibition against prosecutions)
(claim preclusion, is, at 2 also essential to Constitution 's prohibition against successive prosecutions)
(Long operative, is, also essential to Constitution 's prohibition)
(claim preclusion, is also essential to, Constitution 's prohibition against successive prosecutions)
(Long operative, is, also essential to Constitution 's prohibition against successive prosecutions)
(operative, is, at 2 also essential to Constitution 's prohibition against successive criminal prosecutions)
(Long operative, is, at 2 essential to Constitution 's prohibition)
(Long operative, is, essential to Constitution 's prohibition)
(Long operative, is essential to, Constitution 's prohibition)
(operative, is, essential to Constitution 's prohibition)
(operative, is also essential to, Constitution 's prohibition against criminal prosecutions)
(Long operative, is also essential to, Constitution 's prohibition against criminal prosecutions)
(claim preclusion, is, at 2 also essential to Constitution 's prohibition against criminal prosecutions)
(operative, is, also essential to Constitution 's prohibition against successive prosecutions)
(operative, is also essential to, Constitution 's prohibition against successive prosecutions)
(operative, is, also essential to Constitution 's prohibition against successive criminal prosecutions)
(Long operative, is, also essential to Constitution 's prohibition against criminal prosecutions)
(operative, is, also essential)
(Long operative, is, at 2 also essential to Constitution 's prohibition against successive criminal prosecutions)
(claim preclusion, is, at 2 also essential to Constitution 's prohibition against successive criminal prosecutions)
(operative, is essential to, Constitution 's prohibition against successive prosecutions)
(operative, is, also essential to Constitution 's prohibition against criminal prosecutions)
(operative, is, at 2 essential to Constitution 's prohibition against successive criminal prosecutions)
(Long operative, is, essential to Constitution 's prohibition against criminal prosecutions)
(Long operative, is, essential to Constitution 's prohibition against prosecutions)
(Long operative, is essential to, Constitution 's prohibition against criminal prosecutions)
(operative, is also essential at, 2)
(Long operative, is, essential to Constitution 's prohibition against successive prosecutions)
(operative, is essential to, Constitution 's prohibition against criminal prosecutions)
(Long operative, is, at 2 also essential to Constitution 's prohibition against prosecutions)
(Long operative, is essential to, Constitution 's prohibition against successive criminal prosecutions)
(Long operative, is, essential to Constitution 's prohibition against successive criminal prosecutions)
(claim preclusion, is essential to, Constitution 's prohibition against prosecutions)
(Long operative, is also essential to, Constitution 's prohibition against successive criminal prosecutions)
(Long operative, is, at 2 essential to Constitution 's prohibition against prosecutions)
(operative, is, at 2 essential to Constitution 's prohibition against prosecutions)
(operative, is, at 2 also essential)
(operative, is, at 2 essential)
(Long operative, is, at 2 also essential)
(operative, is essential to, Constitution 's prohibition)
(Long operative, is, at 2 also essential to Constitution 's prohibition against successive prosecutions)
(Long operative, is, also essential to Constitution 's prohibition against successive criminal prosecutions)
(operative, is also essential to, Constitution 's prohibition)
(Long operative, is, at 2 essential)
(operative, is, at 2 essential to Constitution 's prohibition against successive prosecutions)
(i t, protects against, second prosecution for offense)
(i t, protects after, acquittal)
(i t, protects against, prosecution for offense)
(i t, protects against, prosecution for same offense)
(i t, protects against, prosecution)
(i t, well protects after, acquittal)
(i t, well protects against, second prosecution)
(i t, well protects against, second prosecution for offense)
(i t, well protects against, second prosecution for same offense)
(i t, well protects against, prosecution for same offense)
(i t, well protects against, prosecution)
(i t, protects against, second prosecution)
(i t, protects against, second prosecution for same offense)
(i t, well protects against, prosecution for offense)
(verdict, is in, our justice system)
(verdict, is, final)
(relitigation, raised by, judgment)
(relitigation, raised by, prior judgment)
(It, applies in, proceedings)
(It, applies with, distinction)
(It, applies in, civil proceedings)
(It, applies with, important distinction)
(review, availability of is, key factor)
(appellate review, availability of is, factor)
(appellate review, availability of is, key factor)
(availability, is, key factor)
(availability, is, key)
(review, availability of is, factor)
(availability, is, factor)
(key factor, is In, civil litigation)
(Reporter, has, Note)
(pervasive importance, is in, application of preclusion doctrine)
(284, at § is, Reporter 's Note)
(274, at § is, Comment a)
(preclusion doctrine, is premised on, confidence)
(preclusion doctrine, is premised In, part)
(preclusion doctrine, is, In significant part premised on confidence)
(result, was, substantially correct)
(preclusion doctrine, is, In part premised on confidence)
(result, was, correct)
(preclusion doctrine, is premised on, underlying confidence)
(preclusion doctrine, is premised In, significant part)
(preclusion doctrine, is, premised)
(preclusion doctrine, is, In significant part premised on underlying confidence)
(preclusion doctrine, is, In part premised on underlying confidence)
(such confidence, is, often unwarranted)
(we, have observed In, absence)
(confidence, is, often unwarranted)
(confidence, is, unwarranted)
(such confidence, is, unwarranted)
(we, have observed In, absence of appellate review)
(we, have observed In, absence of review)
(23, at Standefer is, 447 U. S.)
(inability, obtain, review)
(controversy, has become, moot)
(Government, appellate review of, acquittal)
(Juries, enjoy, power)
(Government, is precluded, appealing)
(Government, is precluded, appealing by Constitution 's Double Jeopardy Clause)
(Constitution, by, Double Jeopardy Clause)
(Government, is precluded, appealing by Constitution 's Jeopardy Clause)
(Government, is, precluded)
(Government, appealing by, Constitution 's Double Jeopardy Clause)
(Juries, enjoy, unreviewable power)
(Government, appealing by, Constitution 's Jeopardy Clause)
(Juries, enjoy power, precluded)
(guarded application, is in, criminal cases)
(jury, has, verdict)
(jury 's verdict, is, result)
(jury 's verdict, is result of, compromise)
(Government, has, inability gain)
(jury, from, verdict)
(court 's vacatur, alters, issue-preclusion analysis)
(appellate court, has, vacatur of conviction)
(case, requires, us)
(appellate court 's vacatur, alters issue-preclusion analysis under, Jeopardy Clause)
(appellate court 's vacatur, alters issue-preclusion analysis under, Double Jeopardy Clause)
(court 's vacatur, alters issue-preclusion analysis under, Jeopardy Clause)
(appellate court 's vacatur, alters, issue-preclusion analysis)
(court 's vacatur, alters issue-preclusion analysis under, Double Jeopardy Clause)
(Three prior decisions, guide, our disposition)
(prior decisions, guide, our disposition)
(U. S. 436 .2 Ashe, involved, robbery of six poker players)
(397 U. S. 436 1970 .2 Ashe, involved robbery by, group of masked men)
(U. S. 436 1970 .2 Ashe, involved robbery in, Ashe)
(U. S. 436 1970 .2 Ashe, involved robbery by, group of masked men)
(397 U. S. 436 .2 Ashe, involved robbery by, group)
(397 U. S. 436 .2 Ashe, involved, robbery of six poker players)
(Court, first interpreted, Jeopardy Clause)
(397 U. S. 436 .2 Ashe, involved robbery by, group of masked men)
(U. S. 436 .2 Ashe, involved robbery in, Ashe)
(U. S. 436 1970 .2 Ashe, involved, robbery)
(U. S. 436 1970 .2 Ashe, involved robbery by, group)
(Court, first interpreted, Double Jeopardy Clause)
(U. S. 436 1970 .2 Ashe, involved robbery by, group of men)
(U. S. 436 .2 Ashe, involved robbery by, group)
(397 U. S. 436 1970 .2 Ashe, robbery of, six poker players)
(397 U. S. 436 1970 .2 Ashe, involved robbery in, Ashe)
