from	 criminal_triples/case_11.txt	 Petitioner Jae Lee	 moved from	 South Korea 	 Petitioner Jae Lee moved to the United States from South Korea with his parents when he was 13
marijuana	 criminal_triples/case_11.txt	 Lee	 sold	 marijuana 	 In 2008, federal officials received a tip from a confidential informant that Lee had sold the informant ecstasy and marijuana
they	 criminal_triples/case_11.txt	 they	 found	 rifle 	 After obtaining a warrant, the officials searched Lee's house, where they found drugs, cash, and a loaded rifle
found	 criminal_triples/case_11.txt	 they	 found	 rifle 	 After obtaining a warrant, the officials searched Lee's house, where they found drugs, cash, and a loaded rifle
rifle	 criminal_triples/case_11.txt	 they	 found	 rifle 	 After obtaining a warrant, the officials searched Lee's house, where they found drugs, cash, and a loaded rifle
house	 criminal_triples/case_11.txt	 Lee	 has	 house 	 After obtaining a warrant, the officials searched Lee's house, where they found drugs, cash, and a loaded rifle
drugs	 criminal_triples/case_11.txt	 they	 found	 drugs 	 After obtaining a warrant, the officials searched Lee's house, where they found drugs, cash, and a loaded rifle
loaded	 criminal_triples/case_11.txt	 they	 found	 loaded rifle 	 After obtaining a warrant, the officials searched Lee's house, where they found drugs, cash, and a loaded rifle
cash	 criminal_triples/case_11.txt	 they	 found	 cash 	 After obtaining a warrant, the officials searched Lee's house, where they found drugs, cash, and a loaded rifle
obtaining	 criminal_triples/case_11.txt	 officials	 obtaining	 warrant 	 After obtaining a warrant, the officials searched Lee's house, where they found drugs, cash, and a loaded rifle
warrant	 criminal_triples/case_11.txt	 officials	 obtaining	 warrant 	 After obtaining a warrant, the officials searched Lee's house, where they found drugs, cash, and a loaded rifle
jury	 criminal_triples/case_11.txt	 jury	 indicted	 him 	 Lee admitted that the drugs were his, and a grand jury indicted him on one count of possessing ecstasy with intent to distribute
indicted	 criminal_triples/case_11.txt	 jury	 indicted	 him 	 Lee admitted that the drugs were his, and a grand jury indicted him on one count of possessing ecstasy with intent to distribute
him	 criminal_triples/case_11.txt	 jury	 indicted	 him 	 Lee admitted that the drugs were his, and a grand jury indicted him on one count of possessing ecstasy with intent to distribute
were	 criminal_triples/case_11.txt	 drugs	 were	 his 	 Lee admitted that the drugs were his, and a grand jury indicted him on one count of possessing ecstasy with intent to distribute
plea	 criminal_triples/case_11.txt	 plea discussions	 is with	 Government 	 Lee retained counsel and entered into plea discussions with the Government
discussions	 criminal_triples/case_11.txt	 plea discussions	 is with	 Government 	 Lee retained counsel and entered into plea discussions with the Government
is	 criminal_triples/case_11.txt	 plea discussions	 is with	 Government 	 Lee retained counsel and entered into plea discussions with the Government
entered	 criminal_triples/case_11.txt	 Lee	 entered into	 plea discussions with Government 	 Lee retained counsel and entered into plea discussions with the Government
into	 criminal_triples/case_11.txt	 Lee	 entered into	 plea discussions with Government 	 Lee retained counsel and entered into plea discussions with the Government
retained	 criminal_triples/case_11.txt	 Lee	 retained	 counsel 	 Lee retained counsel and entered into plea discussions with the Government
counsel	 criminal_triples/case_11.txt	 Lee	 retained	 counsel 	 Lee retained counsel and entered into plea discussions with the Government
face	 criminal_triples/case_11.txt	 he	 face	 deportation 	 During the plea process, Lee repeatedly asked his attorney whether he would face deportation; his attorney assured him that he would not be deported as a result of pleading guilty
deportation	 criminal_triples/case_11.txt	 he	 face	 deportation 	 During the plea process, Lee repeatedly asked his attorney whether he would face deportation; his attorney assured him that he would not be deported as a result of pleading guilty
was	 criminal_triples/case_11.txt	 Lee	 was sentenced to	 year 	 Based on that assurance, Lee accepted a plea and was sentenced to a year and a day in prison
sentenced	 criminal_triples/case_11.txt	 Lee	 was sentenced to	 year 	 Based on that assurance, Lee accepted a plea and was sentenced to a year and a day in prison
year	 criminal_triples/case_11.txt	 Lee	 was sentenced to	 year 	 Based on that assurance, Lee accepted a plea and was sentenced to a year and a day in prison
accepted	 criminal_triples/case_11.txt	 Lee	 accepted	 plea 	 Based on that assurance, Lee accepted a plea and was sentenced to a year and a day in prison
on	 criminal_triples/case_11.txt	 Lee	 accepted plea Based on	 assurance 	 Based on that assurance, Lee accepted a plea and was sentenced to a year and a day in prison
day	 criminal_triples/case_11.txt	 day	 is in	 prison 	 Based on that assurance, Lee accepted a plea and was sentenced to a year and a day in prison
prison	 criminal_triples/case_11.txt	 day	 is in	 prison 	 Based on that assurance, Lee accepted a plea and was sentenced to a year and a day in prison
contrary	 criminal_triples/case_11.txt	 he	 was contrary to	 so his attorney 's advice subject to deportation as result 	 Lee had in fact pleaded guilty to an "aggravated felony" under the Immigration and Nationality Act, 8 U. S. C. §1101(a)(43)(B), so he was, contrary to his attorney's advice, subject to mandatory deportation as a result of that plea
so	 criminal_triples/case_11.txt	 he	 was contrary to	 so his attorney 's advice subject to deportation as result 	 Lee had in fact pleaded guilty to an "aggravated felony" under the Immigration and Nationality Act, 8 U. S. C. §1101(a)(43)(B), so he was, contrary to his attorney's advice, subject to mandatory deportation as a result of that plea
attorney	 criminal_triples/case_11.txt	 he	 was contrary to	 so his attorney 's advice subject to deportation as result 	 Lee had in fact pleaded guilty to an "aggravated felony" under the Immigration and Nationality Act, 8 U. S. C. §1101(a)(43)(B), so he was, contrary to his attorney's advice, subject to mandatory deportation as a result of that plea
advice	 criminal_triples/case_11.txt	 he	 was contrary to	 so his attorney 's advice subject to deportation as result 	 Lee had in fact pleaded guilty to an "aggravated felony" under the Immigration and Nationality Act, 8 U. S. C. §1101(a)(43)(B), so he was, contrary to his attorney's advice, subject to mandatory deportation as a result of that plea
subject	 criminal_triples/case_11.txt	 he	 was contrary to	 so his attorney 's advice subject to deportation as result 	 Lee had in fact pleaded guilty to an "aggravated felony" under the Immigration and Nationality Act, 8 U. S. C. §1101(a)(43)(B), so he was, contrary to his attorney's advice, subject to mandatory deportation as a result of that plea
result	 criminal_triples/case_11.txt	 he	 was contrary to	 so his attorney 's advice subject to deportation as result 	 Lee had in fact pleaded guilty to an "aggravated felony" under the Immigration and Nationality Act, 8 U. S. C. §1101(a)(43)(B), so he was, contrary to his attorney's advice, subject to mandatory deportation as a result of that plea
mandatory	 criminal_triples/case_11.txt	 he	 was contrary to	 so his attorney 's advice subject to mandatory deportation as result 	 Lee had in fact pleaded guilty to an "aggravated felony" under the Immigration and Nationality Act, 8 U. S. C. §1101(a)(43)(B), so he was, contrary to his attorney's advice, subject to mandatory deportation as a result of that plea
of	 criminal_triples/case_11.txt	 he	 was contrary to	 so his attorney 's advice subject to deportation as result of plea 	 Lee had in fact pleaded guilty to an "aggravated felony" under the Immigration and Nationality Act, 8 U. S. C. §1101(a)(43)(B), so he was, contrary to his attorney's advice, subject to mandatory deportation as a result of that plea
learned	 criminal_triples/case_11.txt	 Lee	 learned of	 consequence 	 When Lee learned of this consequence, he filed a motion to vacate his conviction and sentence, arguing that his attorney had provided constitutionally ineffective assistance
consequence	 criminal_triples/case_11.txt	 Lee	 learned of	 consequence 	 When Lee learned of this consequence, he filed a motion to vacate his conviction and sentence, arguing that his attorney had provided constitutionally ineffective assistance
filed	 criminal_triples/case_11.txt	 he	 filed	 motion 	 When Lee learned of this consequence, he filed a motion to vacate his conviction and sentence, arguing that his attorney had provided constitutionally ineffective assistance
motion	 criminal_triples/case_11.txt	 he	 filed	 motion 	 When Lee learned of this consequence, he filed a motion to vacate his conviction and sentence, arguing that his attorney had provided constitutionally ineffective assistance
vacate	 criminal_triples/case_11.txt	 he	 vacate	 his conviction 	 When Lee learned of this consequence, he filed a motion to vacate his conviction and sentence, arguing that his attorney had provided constitutionally ineffective assistance
conviction	 criminal_triples/case_11.txt	 he	 vacate	 his conviction 	 When Lee learned of this consequence, he filed a motion to vacate his conviction and sentence, arguing that his attorney had provided constitutionally ineffective assistance
provided	 criminal_triples/case_11.txt	 his attorney	 provided	 ineffective assistance 	 When Lee learned of this consequence, he filed a motion to vacate his conviction and sentence, arguing that his attorney had provided constitutionally ineffective assistance
assistance	 criminal_triples/case_11.txt	 his attorney	 provided	 ineffective assistance 	 When Lee learned of this consequence, he filed a motion to vacate his conviction and sentence, arguing that his attorney had provided constitutionally ineffective assistance
sentence	 criminal_triples/case_11.txt	 he	 vacate	 sentence 	 When Lee learned of this consequence, he filed a motion to vacate his conviction and sentence, arguing that his attorney had provided constitutionally ineffective assistance
constitutionally	 criminal_triples/case_11.txt	 his attorney	 provided	 constitutionally ineffective assistance 	 When Lee learned of this consequence, he filed a motion to vacate his conviction and sentence, arguing that his attorney had provided constitutionally ineffective assistance
testified	 criminal_triples/case_11.txt	 his plea-stage counsel	 testified At	 hearing 	 At an evidentiary hearing, both Lee and his plea-stage counsel testified that "deportation was the determinative issue" to Lee in deciding whether to accept a plea, and Lee's counsel acknowledged that although Lee's defense to the charge was weak, if he had known Lee would be deported upon pleading guilty, he would have advised him to go to trial
hearing	 criminal_triples/case_11.txt	 his plea-stage counsel	 testified At	 hearing 	 At an evidentiary hearing, both Lee and his plea-stage counsel testified that "deportation was the determinative issue" to Lee in deciding whether to accept a plea, and Lee's counsel acknowledged that although Lee's defense to the charge was weak, if he had known Lee would be deported upon pleading guilty, he would have advised him to go to trial
be	 criminal_triples/case_11.txt	 Lee	 be deported	 weak 	 At an evidentiary hearing, both Lee and his plea-stage counsel testified that "deportation was the determinative issue" to Lee in deciding whether to accept a plea, and Lee's counsel acknowledged that although Lee's defense to the charge was weak, if he had known Lee would be deported upon pleading guilty, he would have advised him to go to trial
deported	 criminal_triples/case_11.txt	 Lee	 be deported	 weak 	 At an evidentiary hearing, both Lee and his plea-stage counsel testified that "deportation was the determinative issue" to Lee in deciding whether to accept a plea, and Lee's counsel acknowledged that although Lee's defense to the charge was weak, if he had known Lee would be deported upon pleading guilty, he would have advised him to go to trial
pleading	 criminal_triples/case_11.txt	 Lee	 pleading	 guilty 	 At an evidentiary hearing, both Lee and his plea-stage counsel testified that "deportation was the determinative issue" to Lee in deciding whether to accept a plea, and Lee's counsel acknowledged that although Lee's defense to the charge was weak, if he had known Lee would be deported upon pleading guilty, he would have advised him to go to trial
go	 criminal_triples/case_11.txt	 him	 go to	 trial 	 At an evidentiary hearing, both Lee and his plea-stage counsel testified that "deportation was the determinative issue" to Lee in deciding whether to accept a plea, and Lee's counsel acknowledged that although Lee's defense to the charge was weak, if he had known Lee would be deported upon pleading guilty, he would have advised him to go to trial
trial	 criminal_triples/case_11.txt	 him	 go to	 trial 	 At an evidentiary hearing, both Lee and his plea-stage counsel testified that "deportation was the determinative issue" to Lee in deciding whether to accept a plea, and Lee's counsel acknowledged that although Lee's defense to the charge was weak, if he had known Lee would be deported upon pleading guilty, he would have advised him to go to trial
had	 criminal_triples/case_11.txt	 Lee	 be deported	 he had known 	 At an evidentiary hearing, both Lee and his plea-stage counsel testified that "deportation was the determinative issue" to Lee in deciding whether to accept a plea, and Lee's counsel acknowledged that although Lee's defense to the charge was weak, if he had known Lee would be deported upon pleading guilty, he would have advised him to go to trial
known	 criminal_triples/case_11.txt	 Lee	 be deported	 he had known 	 At an evidentiary hearing, both Lee and his plea-stage counsel testified that "deportation was the determinative issue" to Lee in deciding whether to accept a plea, and Lee's counsel acknowledged that although Lee's defense to the charge was weak, if he had known Lee would be deported upon pleading guilty, he would have advised him to go to trial
defense	 criminal_triples/case_11.txt	 Lee 's defense	 was	 weak 	 At an evidentiary hearing, both Lee and his plea-stage counsel testified that "deportation was the determinative issue" to Lee in deciding whether to accept a plea, and Lee's counsel acknowledged that although Lee's defense to the charge was weak, if he had known Lee would be deported upon pleading guilty, he would have advised him to go to trial
charge	 criminal_triples/case_11.txt	 Lee	 has	 defense to charge 	 At an evidentiary hearing, both Lee and his plea-stage counsel testified that "deportation was the determinative issue" to Lee in deciding whether to accept a plea, and Lee's counsel acknowledged that although Lee's defense to the charge was weak, if he had known Lee would be deported upon pleading guilty, he would have advised him to go to trial
set	 criminal_triples/case_11.txt	 Lee 's plea	 be	 set 	 A Magistrate Judge recommended that Lee's plea be set aside and his conviction vacated
aside	 criminal_triples/case_11.txt	 Lee 's plea	 be	 set aside 	 A Magistrate Judge recommended that Lee's plea be set aside and his conviction vacated
however	 criminal_triples/case_11.txt	 District Court	 however denied	 relief 	 The District Court, however, denied relief, and the Sixth Circuit affirmed
denied	 criminal_triples/case_11.txt	 District Court	 however denied	 relief 	 The District Court, however, denied relief, and the Sixth Circuit affirmed
relief	 criminal_triples/case_11.txt	 District Court	 however denied	 relief 	 The District Court, however, denied relief, and the Sixth Circuit affirmed
by	 criminal_triples/case_11.txt	 counsel	 by	 erroneous advice 	 Held: Lee has demonstrated that he was prejudiced by his counsel's erroneous advice
erroneous	 criminal_triples/case_11.txt	 counsel	 by	 erroneous advice 	 Held: Lee has demonstrated that he was prejudiced by his counsel's erroneous advice
prejudiced	 criminal_triples/case_11.txt	 he	 was	 prejudiced 	 Held: Lee has demonstrated that he was prejudiced by his counsel's erroneous advice
deficient	 criminal_triples/case_11.txt	 counsel	 has	 deficient performance 	 (a) When a defendant claims that his counsel's deficient performance deprived him of a trial by causing him to accept a plea, the defendant can show prejudice by demonstrating a "reasonable probability that, but for counsel's errors, he would not have pleaded guilty and would have insisted on going to trial.
performance	 criminal_triples/case_11.txt	 counsel	 has	 deficient performance 	 (a) When a defendant claims that his counsel's deficient performance deprived him of a trial by causing him to accept a plea, the defendant can show prejudice by demonstrating a "reasonable probability that, but for counsel's errors, he would not have pleaded guilty and would have insisted on going to trial.
for	 criminal_triples/case_11.txt	 counsel	 for	 errors 	 (a) When a defendant claims that his counsel's deficient performance deprived him of a trial by causing him to accept a plea, the defendant can show prejudice by demonstrating a "reasonable probability that, but for counsel's errors, he would not have pleaded guilty and would have insisted on going to trial.
defendant	 criminal_triples/case_11.txt	 defendant	 demonstrating	 probability 	 (a) When a defendant claims that his counsel's deficient performance deprived him of a trial by causing him to accept a plea, the defendant can show prejudice by demonstrating a "reasonable probability that, but for counsel's errors, he would not have pleaded guilty and would have insisted on going to trial.
demonstrating	 criminal_triples/case_11.txt	 defendant	 demonstrating	 probability 	 (a) When a defendant claims that his counsel's deficient performance deprived him of a trial by causing him to accept a plea, the defendant can show prejudice by demonstrating a "reasonable probability that, but for counsel's errors, he would not have pleaded guilty and would have insisted on going to trial.
probability	 criminal_triples/case_11.txt	 defendant	 demonstrating	 probability 	 (a) When a defendant claims that his counsel's deficient performance deprived him of a trial by causing him to accept a plea, the defendant can show prejudice by demonstrating a "reasonable probability that, but for counsel's errors, he would not have pleaded guilty and would have insisted on going to trial.
can	 criminal_triples/case_11.txt	 defendant	 can show	 prejudice 	 (a) When a defendant claims that his counsel's deficient performance deprived him of a trial by causing him to accept a plea, the defendant can show prejudice by demonstrating a "reasonable probability that, but for counsel's errors, he would not have pleaded guilty and would have insisted on going to trial.
show	 criminal_triples/case_11.txt	 defendant	 can show	 prejudice 	 (a) When a defendant claims that his counsel's deficient performance deprived him of a trial by causing him to accept a plea, the defendant can show prejudice by demonstrating a "reasonable probability that, but for counsel's errors, he would not have pleaded guilty and would have insisted on going to trial.
prejudice	 criminal_triples/case_11.txt	 defendant	 can show	 prejudice 	 (a) When a defendant claims that his counsel's deficient performance deprived him of a trial by causing him to accept a plea, the defendant can show prejudice by demonstrating a "reasonable probability that, but for counsel's errors, he would not have pleaded guilty and would have insisted on going to trial.
make	 criminal_triples/case_11.txt	 he	 make	 showing 	 Lee contends that he can make this showing because he never would have accepted a guilty plea had he known the result would be deportation
showing	 criminal_triples/case_11.txt	 he	 make	 showing 	 Lee contends that he can make this showing because he never would have accepted a guilty plea had he known the result would be deportation
urging	 criminal_triples/case_11.txt	 Government	 urging	 adoption of rule 	 (b) The Government makes two errors in urging the adoption of a per se rule that a defendant with no viable defense cannot show prejudice from the denial of his right to trial
adoption	 criminal_triples/case_11.txt	 Government	 urging	 adoption of rule 	 (b) The Government makes two errors in urging the adoption of a per se rule that a defendant with no viable defense cannot show prejudice from the denial of his right to trial
rule	 criminal_triples/case_11.txt	 Government	 urging	 adoption of rule 	 (b) The Government makes two errors in urging the adoption of a per se rule that a defendant with no viable defense cannot show prejudice from the denial of his right to trial
makes	 criminal_triples/case_11.txt	 Government	 makes	 two errors 	 (b) The Government makes two errors in urging the adoption of a per se rule that a defendant with no viable defense cannot show prejudice from the denial of his right to trial
two	 criminal_triples/case_11.txt	 Government	 makes	 two errors 	 (b) The Government makes two errors in urging the adoption of a per se rule that a defendant with no viable defense cannot show prejudice from the denial of his right to trial
per	 criminal_triples/case_11.txt	 Government	 urging	 adoption of per rule 	 (b) The Government makes two errors in urging the adoption of a per se rule that a defendant with no viable defense cannot show prejudice from the denial of his right to trial
categorical	 criminal_triples/case_11.txt	 categorical rules	 are	 ill 	 First, it forgets that categorical rules are ill suited to an inquiry that demands a "case-by-case examination" of the "totality of the evidence.
rules	 criminal_triples/case_11.txt	 categorical rules	 are	 ill 	 First, it forgets that categorical rules are ill suited to an inquiry that demands a "case-by-case examination" of the "totality of the evidence.
are	 criminal_triples/case_11.txt	 categorical rules	 are	 ill 	 First, it forgets that categorical rules are ill suited to an inquiry that demands a "case-by-case examination" of the "totality of the evidence.
ill	 criminal_triples/case_11.txt	 categorical rules	 are	 ill 	 First, it forgets that categorical rules are ill suited to an inquiry that demands a "case-by-case examination" of the "totality of the evidence.
at	 criminal_triples/case_11.txt	 695	 at Strickland is	 466 U. S. 	 Williams v. Taylor, 529 U. S. 362, 391 (internal quotation marks omitted); Strickland, 466 U. S., at 695
chance	 criminal_triples/case_11.txt	 chance	 may look	 attractive 	 When those consequences are, from the defendant's perspective, similarly dire, even the smallest chance of success at trial may look attractive
may	 criminal_triples/case_11.txt	 chance	 may look	 attractive 	 When those consequences are, from the defendant's perspective, similarly dire, even the smallest chance of success at trial may look attractive
look	 criminal_triples/case_11.txt	 chance	 may look	 attractive 	 When those consequences are, from the defendant's perspective, similarly dire, even the smallest chance of success at trial may look attractive
smallest	 criminal_triples/case_11.txt	 smallest chance	 may look	 attractive 	 When those consequences are, from the defendant's perspective, similarly dire, even the smallest chance of success at trial may look attractive
perspective	 criminal_triples/case_11.txt	 defendant	 from	 perspective 	 When those consequences are, from the defendant's perspective, similarly dire, even the smallest chance of success at trial may look attractive
time	 criminal_triples/case_11.txt	 time	 is in	 prison 	 For Lee, deportation after some time in prison was not meaningfully different from deportation after somewhat less time; he says he accordingly would have rejected any plea leading to deportation in favor of throwing a "Hail Mary" at trial
statement	 criminal_triples/case_11.txt	 statement	 however was made	 applied 	 That statement, however, was made in the context of discussing the presumption of reliability applied to judicial proceedings, which has no place where, as here, a defendant was deprived of a proceeding altogether
made	 criminal_triples/case_11.txt	 statement	 however was made	 applied 	 That statement, however, was made in the context of discussing the presumption of reliability applied to judicial proceedings, which has no place where, as here, a defendant was deprived of a proceeding altogether
applied	 criminal_triples/case_11.txt	 statement	 however was made	 applied 	 That statement, however, was made in the context of discussing the presumption of reliability applied to judicial proceedings, which has no place where, as here, a defendant was deprived of a proceeding altogether
inquiry	 criminal_triples/case_11.txt	 inquiry	 is	 focused 	 When the inquiry is focused on what an individual defendant would have done, the possibility of even a highly improbable result may be pertinent to the extent it would have affected the defendant's decisionmaking
focused	 criminal_triples/case_11.txt	 inquiry	 is	 focused 	 When the inquiry is focused on what an individual defendant would have done, the possibility of even a highly improbable result may be pertinent to the extent it would have affected the defendant's decisionmaking
possibility	 criminal_triples/case_11.txt	 possibility	 may	 may pertinent 	 When the inquiry is focused on what an individual defendant would have done, the possibility of even a highly improbable result may be pertinent to the extent it would have affected the defendant's decisionmaking
pertinent	 criminal_triples/case_11.txt	 possibility	 may	 may pertinent 	 When the inquiry is focused on what an individual defendant would have done, the possibility of even a highly improbable result may be pertinent to the extent it would have affected the defendant's decisionmaking
expressed	 criminal_triples/case_11.txt	 defendant	 has	 expressed preferences 	 Rather, they should look to contemporaneous evidence to substantiate a defendant's expressed preferences
preferences	 criminal_triples/case_11.txt	 defendant	 has	 expressed preferences 	 Rather, they should look to contemporaneous evidence to substantiate a defendant's expressed preferences
issue	 criminal_triples/case_11.txt	 deportation	 was determinative issue to	 Lee 	 In the unusual circumstances of this case, Lee has adequately demonstrated a reasonable probability that he would have rejected the plea had he known that it would lead to mandatory deportation: Both Lee and his attorney testified that "deportation was the determinative issue" to Lee; his responses during his plea colloquy confirmed the importance he placed on deportation; and he had strong connections to the United States, while he had no ties to South Korea
connections	 criminal_triples/case_11.txt	 he	 had	 strong connections 	 In the unusual circumstances of this case, Lee has adequately demonstrated a reasonable probability that he would have rejected the plea had he known that it would lead to mandatory deportation: Both Lee and his attorney testified that "deportation was the determinative issue" to Lee; his responses during his plea colloquy confirmed the importance he placed on deportation; and he had strong connections to the United States, while he had no ties to South Korea
it	 criminal_triples/case_11.txt	 it	 lead to	 mandatory deportation 	 In the unusual circumstances of this case, Lee has adequately demonstrated a reasonable probability that he would have rejected the plea had he known that it would lead to mandatory deportation: Both Lee and his attorney testified that "deportation was the determinative issue" to Lee; his responses during his plea colloquy confirmed the importance he placed on deportation; and he had strong connections to the United States, while he had no ties to South Korea
lead	 criminal_triples/case_11.txt	 it	 lead to	 mandatory deportation 	 In the unusual circumstances of this case, Lee has adequately demonstrated a reasonable probability that he would have rejected the plea had he known that it would lead to mandatory deportation: Both Lee and his attorney testified that "deportation was the determinative issue" to Lee; his responses during his plea colloquy confirmed the importance he placed on deportation; and he had strong connections to the United States, while he had no ties to South Korea
placed	 criminal_triples/case_11.txt	 he	 placed on	 deportation 	 In the unusual circumstances of this case, Lee has adequately demonstrated a reasonable probability that he would have rejected the plea had he known that it would lead to mandatory deportation: Both Lee and his attorney testified that "deportation was the determinative issue" to Lee; his responses during his plea colloquy confirmed the importance he placed on deportation; and he had strong connections to the United States, while he had no ties to South Korea
since	 criminal_triples/case_11.txt	 deportation	 since Padilla is	 559 U. S. 356 372 	 The Government argues that Lee cannot "convince the court that a decision to reject the plea bargain would have been rational under the circumstances," Padilla v. Kentucky, 559 U. S. 356, 372, since deportation would almost certainly result from a trial
delivered	 criminal_triples/case_11.txt	 Roberts	 delivered	 opinion 	 Roberts, C. J., delivered the opinion of the Court, in which Kennedy, Ginsburg, Breyer, Sotomayor, and Kagan, JJ., joined
opinion	 criminal_triples/case_11.txt	 Roberts	 delivered	 opinion 	 Roberts, C. J., delivered the opinion of the Court, in which Kennedy, Ginsburg, Breyer, Sotomayor, and Kagan, JJ., joined
joined	 criminal_triples/case_11.txt	 Alito	 joined except	 J. 	 Thomas, J., filed a dissenting opinion, in which Alito, J., joined except as to Part I. Gorsuch, J., took no part in the consideration or decision of the case
except	 criminal_triples/case_11.txt	 Alito	 joined except	 J. 	 Thomas, J., filed a dissenting opinion, in which Alito, J., joined except as to Part I. Gorsuch, J., took no part in the consideration or decision of the case
revision	 criminal_triples/case_11.txt	 opinion	 is subject to	 revision in print of United States Reports 	 NOTICE: This opinion is subject to formal revision before publication in the preliminary print of the United States Reports
print	 criminal_triples/case_11.txt	 opinion	 is subject to	 revision in print of United States Reports 	 NOTICE: This opinion is subject to formal revision before publication in the preliminary print of the United States Reports
formal	 criminal_triples/case_11.txt	 opinion	 is subject to	 formal revision in preliminary print 	 NOTICE: This opinion is subject to formal revision before publication in the preliminary print of the United States Reports
preliminary	 criminal_triples/case_11.txt	 opinion	 is subject to	 formal revision in preliminary print 	 NOTICE: This opinion is subject to formal revision before publication in the preliminary print of the United States Reports
before	 criminal_triples/case_11.txt	 opinion	 is subject to	 formal revision before publication 	 NOTICE: This opinion is subject to formal revision before publication in the preliminary print of the United States Reports
